date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Reed Arena, College Station, Texas",Northwestern State,Texas A&M,Home,53.6,15,11.4,4,90.0,62.5,30,0.6,50,0.56,28,0.56,28,0.607,17,0,200,110.0,29.6,8,11,77,5.7,4,0.3,15,0.267,4,50.7,38,0.608,18.3,14,35,0.686,24,1.0,1
2019-11-11,"Reed Arena, College Station, Texas",Louisiana-Monroe,Texas A&M,Home,39.1,9,14.8,4,83.8,70.0,21,0.472,54,0.426,23,0.389,21,0.571,12,0,200,92.6,29.4,10,7,63,11.8,8,0.222,12,0.417,5,48.4,31,0.492,17.1,13,42,0.429,18,1.0,2
2019-11-15,"Reed Arena, College Station, Texas",Gonzaga,Texas A&M,Away,29.4,5,11.4,5,109.7,51.6,16,0.33,56,0.304,17,0.286,16,0.75,12,1,200,68.1,22.9,8,15,49,12.5,9,0.357,20,0.15,3,36.4,24,0.385,22.2,18,36,0.389,14,0.667,2
2019-11-20,"Reed Arena, College Station, Texas",Troy,Texas A&M,Home,58.8,10,22.2,8,71.2,76.7,33,0.368,53,0.321,17,0.434,23,0.739,17,1,200,76.7,19.4,7,16,56,5.5,4,0.528,28,0.179,5,50.6,40,0.438,18.2,14,25,0.48,12,0.75,3
2019-11-28,"HP Field House, Orlando, Florida",Texas A&M,Harvard,Home,43.8,7,12.5,3,87.3,72.7,24,0.363,51,0.314,16,0.451,23,0.609,14,2,200,71.8,16.2,6,19,51,15.5,11,0.392,20,0.25,5,42.9,30,0.412,20.7,16,31,0.355,11,0.6,3
2019-11-29,"HP Field House, Orlando, Florida",Temple,Texas A&M,Away,61.5,8,0.0,0,98.5,82.1,23,0.276,58,0.224,13,0.224,13,0.769,10,3,200,63.6,23.3,10,15,42,10.6,7,0.569,33,0.182,6,46.5,33,0.327,16.9,13,25,0.28,7,0.5,3
2019-12-01,"HP Field House, Orlando, Florida",Texas A&M,Fairfield,Home,73.7,14,4.5,1,109.8,65.4,17,0.547,43,0.442,19,0.419,18,0.833,15,4,200,101.6,16.0,4,16,62,14.8,9,0.628,27,0.333,9,41.2,21,0.601,19.1,12,16,0.625,10,0.429,3
2019-12-15,"Reed Arena, College Station, Texas",Texas A&M-Corpus Christi,Texas A&M,Home,60.0,12,9.1,2,101.7,71.0,22,0.459,49,0.408,20,0.469,23,0.783,18,5,200,106.8,39.4,13,14,63,8.5,5,0.449,22,0.227,5,54.7,35,0.526,15.7,11,27,0.556,15,0.444,4
2019-12-21,"Reed Arena, College Station, Texas",Oregon State,Texas A&M,Home,70.0,14,22.2,8,70.0,84.2,32,0.469,49,0.408,20,0.633,31,0.581,18,5,200,91.4,32.4,11,16,64,5.7,4,0.449,22,0.273,6,59.7,43,0.502,20.3,16,27,0.519,14,0.5,5
2019-12-30,"Reed Arena, College Station, Texas",Texas Southern,Texas A&M,Home,63.6,14,10.5,4,79.7,77.1,27,0.4,60,0.367,22,0.25,15,0.667,10,5,200,84.1,35.9,14,19,58,13.0,9,0.4,24,0.167,4,55.4,41,0.432,18.4,15,36,0.5,18,0.545,6
2020-01-04,"Bud Walton Arena, Fayetteville, Arkansas",Texas A&M,Arkansas,Home,38.1,8,3.4,1,106.2,78.1,25,0.511,45,0.467,21,0.444,20,0.65,13,6,200,90.8,30.8,8,15,59,9.2,6,0.311,14,0.286,4,56.9,33,0.541,22.9,16,31,0.548,17,0.5,6
2020-01-07,"Reed Arena, College Station, Texas",Ole Miss,Texas A&M,Home,42.1,8,21.2,7,75.8,72.5,29,0.427,48,0.396,19,0.396,19,0.842,16,6,200,91.9,25.0,7,13,57,4.8,3,0.354,17,0.176,3,52.9,36,0.5,17.6,12,31,0.516,16,0.538,7
2020-01-11,"Memorial Gymnasium, Nashville, Tennessee",Texas A&M,Vanderbilt,Away,40.0,12,10.0,2,76.9,73.7,28,0.57,57,0.526,30,0.123,7,0.571,4,6,200,106.2,29.2,7,19,69,10.8,7,0.281,16,0.313,5,56.5,35,0.572,16.6,12,41,0.61,25,0.571,8
2020-01-14,"Reed Arena, College Station, Texas",LSU,Texas A&M,Away,53.6,15,9.1,2,117.1,50.0,14,0.486,72,0.389,28,0.319,23,0.652,15,7,225,111.8,26.8,11,15,85,5.3,4,0.486,35,0.4,14,36.2,25,0.513,6.8,6,37,0.378,14,0.533,8
2020-01-18,"Reed Arena, College Station, Texas",South Carolina,Texas A&M,Away,50.0,9,10.0,3,117.4,59.3,16,0.443,44,0.409,18,0.932,41,0.683,28,8,200,97.1,20.7,6,14,67,8.7,6,0.318,14,0.214,3,39.3,22,0.528,17.3,13,30,0.5,15,0.5,8
2020-01-21,"Mizzou Arena, Columbia, Missouri",Texas A&M,Missouri,Away,40.9,9,0.0,0,101.6,65.7,23,0.521,48,0.458,22,0.542,26,0.615,16,8,200,104.8,26.7,8,20,66,7.9,5,0.354,17,0.353,6,47.7,31,0.547,16.8,12,31,0.516,16,0.529,9
2020-01-25,"Reed Arena, College Station, Texas",Oklahoma State,Texas A&M,Away,65.2,15,3.3,1,115.9,72.0,18,0.449,59,0.39,23,0.237,14,0.643,9,9,200,98.4,28.1,9,15,62,9.5,6,0.424,25,0.28,7,47.4,27,0.472,12.1,9,34,0.471,16,0.5,9
2020-01-28,"Thompson-Boling Arena, Knoxville, Tennessee",Texas A&M,Tennessee,Away,41.2,7,8.7,2,90.6,85.7,18,0.366,56,0.304,17,0.518,29,0.759,22,9,200,98.4,50.0,16,17,63,12.5,8,0.464,26,0.269,7,64.2,34,0.451,16.9,14,30,0.333,10,0.526,10
2020-02-01,"Stegeman Coliseum, Athens, Georgia",Texas A&M,Georgia,Home,42.1,8,6.7,2,92.6,60.6,20,0.364,59,0.322,19,0.153,9,0.556,5,10,200,70.6,30.8,12,17,48,8.8,6,0.424,25,0.2,5,44.4,32,0.379,20.3,16,34,0.412,14,0.5,10
2020-02-04,"Reed Arena, College Station, Texas",Missouri,Texas A&M,Home,57.9,11,22.7,5,77.3,69.4,25,0.391,55,0.345,19,0.673,37,0.676,25,10,200,103.0,55.6,20,19,68,9.1,6,0.382,21,0.238,5,62.5,45,0.468,17.4,15,34,0.412,14,0.524,11
2020-02-08,"The Colonial Life Arena, Columbia, South Carolina",Texas A&M,South Carolina,Home,33.3,5,16.7,6,97.4,72.2,26,0.336,55,0.273,15,0.418,23,0.739,17,11,200,71.1,29.0,9,20,54,9.2,7,0.491,27,0.259,7,52.2,35,0.41,23.5,20,28,0.286,8,0.5,11
2020-02-12,"Reed Arena, College Station, Texas",Florida,Texas A&M,Away,35.0,7,4.0,1,125.8,47.8,11,0.489,47,0.426,20,0.489,23,0.652,15,12,200,98.4,20.0,5,17,61,8.1,5,0.489,23,0.261,6,33.3,16,0.527,16.1,11,24,0.583,14,0.478,11
2020-02-15,"Reed Arena, College Station, Texas",Georgia,Texas A&M,Home,60.9,14,4.3,1,101.5,65.5,19,0.52,51,0.451,23,0.569,29,0.724,21,12,200,108.8,28.1,9,15,74,14.7,10,0.431,22,0.318,7,45.9,28,0.571,14.7,11,29,0.552,16,0.5,12
2020-02-19,"Coleman Coliseum , Tuscaloosa, Alabama",Texas A&M,Alabama,Away,57.1,12,6.7,1,94.4,71.4,25,0.552,48,0.438,21,0.563,27,0.778,21,12,200,102.8,29.2,7,15,74,13.9,10,0.5,24,0.458,11,54.2,32,0.608,24.1,19,24,0.417,10,0.52,13
2020-02-22,"Reed Arena, College Station, Texas",Mississippi State,Texas A&M,Home,58.1,18,9.5,4,110.3,57.7,15,0.683,52,0.596,31,0.346,18,0.889,16,12,200,127.9,23.8,5,15,87,11.8,8,0.327,17,0.529,9,42.6,20,0.718,15.5,11,35,0.629,22,0.538,14
2020-02-25,"Reed Arena, College Station, Texas",Kentucky,Texas A&M,Away,65.0,13,8.3,2,111.3,72.7,16,0.521,48,0.417,20,0.292,14,0.714,10,13,200,96.8,13.8,4,16,60,4.8,3,0.458,22,0.455,10,39.2,20,0.549,19.4,13,26,0.385,10,0.519,14
2020-02-29,"Maravich Assembly Center, Baton Rouge, Louisiana",Texas A&M,LSU,Home,60.0,12,3.8,1,112.3,68.8,22,0.5,49,0.408,20,0.184,9,0.111,1,14,200,87.7,21.4,6,11,50,3.5,2,0.469,23,0.391,9,46.7,28,0.469,17.2,11,26,0.423,11,0.5,14
2020-03-04,"Auburn Arena, Auburn, Alabama",Texas A&M,Auburn,Away,46.4,13,3.6,1,101.4,70.0,21,0.542,59,0.475,28,0.373,22,0.636,14,14,200,105.4,25.9,7,16,78,10.8,8,0.356,21,0.381,8,49.1,28,0.562,14.9,12,38,0.526,20,0.517,15
2020-03-07,"Reed Arena, College Station, Texas",Arkansas,Texas A&M,Home,60.0,15,10.5,2,95.8,85.7,24,0.547,53,0.472,25,0.585,31,0.613,19,14,200,106.9,34.5,10,15,77,8.3,6,0.377,20,0.4,8,59.6,34,0.568,20.3,17,33,0.515,17,0.533,16
