date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Strahan Coliseum, San Marcos, Texas","Texas Lutheran
			",Texas State,Home,40.0,14,6.9,2,60.8,60.9,28,0.608,60,0.583,35,0.567,34,0.882,30,0,200,139.2,54.5,12,17,103,16.2,12,0.1,6,0.5,3,58.8,40,0.676,13.8,12,54,0.593,32,1.0,1
2019-11-09,"Clune Arena , Colorado Springs, Colorado",Texas State,Air Force,Home,31.0,9,18.2,4,111.4,75.0,21,0.477,64,0.453,29,0.313,20,0.5,10,1,200,101.4,22.2,8,24,71,7.1,5,0.281,18,0.167,3,45.3,29,0.483,7.6,6,46,0.565,26,0.5,1
2019-11-12,"Strahan Coliseum, San Marcos, Texas",Prairie View,Texas State,Home,58.3,14,11.1,4,67.6,87.1,27,0.609,46,0.522,24,0.478,22,0.864,19,1,200,105.6,21.1,4,17,75,9.9,7,0.37,17,0.471,8,62.0,31,0.664,25.4,19,29,0.552,16,0.667,2
2019-11-15,"Ferrell Center, Waco, Texas",Texas State,Baylor,Home,42.3,11,15.8,6,101.4,57.9,22,0.475,61,0.426,26,0.115,7,0.714,5,2,200,88.7,33.3,9,17,63,11.3,8,0.279,17,0.353,6,47.7,31,0.49,21.9,18,44,0.455,20,0.5,2
2019-11-18,"Strahan Coliseum, San Marcos, Texas",Jackson State,Texas State,Home,58.3,14,5.0,2,86.6,73.5,25,0.561,49,0.49,24,0.469,23,0.783,18,2,200,109.0,40.9,9,11,73,7.5,5,0.327,16,0.438,7,60.7,34,0.609,21.3,16,33,0.515,17,0.6,3
2019-11-20,"Thomas & Mack Center, Las Vegas, Nevada",Texas State,UNLV,Away,59.1,13,26.7,8,89.1,67.7,21,0.443,53,0.415,22,0.415,22,0.773,17,2,200,100.0,25.9,7,22,64,12.5,8,0.245,13,0.231,3,48.3,28,0.504,12.6,9,40,0.475,19,0.667,4
2019-11-25,"Strahan Coliseum, San Marcos, Texas",Abilene Christian,Texas State,Home,50.0,12,11.6,5,82.4,67.6,23,0.53,50,0.48,24,0.34,17,0.471,8,2,200,89.7,17.9,5,14,61,13.2,9,0.3,15,0.333,5,45.2,28,0.525,18.4,13,35,0.543,19,0.714,5
2019-11-30,"Strahan Coliseum, San Marcos, Texas",Hartford,Texas State,Home,48.0,12,16.7,4,82.1,78.8,26,0.473,55,0.455,25,0.418,23,0.739,17,2,200,103.0,33.3,11,20,69,10.4,7,0.182,10,0.2,2,56.1,37,0.523,13.3,10,45,0.511,23,0.75,6
2019-12-04,"Hofheinz Pavilion, Houston, Texas",Texas State,Houston,Home,73.7,14,5.7,2,101.5,61.1,22,0.375,56,0.339,19,0.446,25,0.72,18,3,200,89.6,21.6,8,28,60,4.5,3,0.286,16,0.25,4,41.1,30,0.442,10.7,8,40,0.375,15,0.667,6
2019-12-07,"Strahan Coliseum, San Marcos, Texas",UTSA,Texas State,Away,28.0,7,5.9,2,114.9,74.1,20,0.518,55,0.455,25,0.4,22,0.636,14,4,200,106.0,25.0,9,17,71,4.5,3,0.309,17,0.412,7,46.0,29,0.542,12.2,9,38,0.474,18,0.6,6
