date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-18,"Texas Hall, Arlington, Texas",NORTH-TEXAS,TEXAS-ARLINGTON,Away,37.1,13,14.3,6,104.1,65.5,21,0.458,84,0.417,35,0.357,30,0.733,22,1,250.0,102.1,35.6,14,36,99,10.3,10,0.25,21.0,0.333,7.0,47.3,35,0.504,14.1,16,63.0,0.444,28.0,0.5,1
2009-12-20,"Ferrell Center, Waco, Texas",TEXAS-ARLINGTON,BAYLOR,Home,50.0,10,7.1,3,114.6,41.2,19,0.387,62,0.323,20,0.339,21,0.714,15,4,200.0,76.8,28.3,8,25,63,7.3,6,0.371,23.0,0.348,8.0,33.8,27,0.438,25.2,24,39.0,0.308,12.0,0.5,4
2009-12-30,"Breslin Events Center, East Lansing, Michigan",TEXAS-ARLINGTON,MICHIGAN-STATE,Home,45.8,11,7.3,3,119.2,48.4,17,0.527,55,0.436,24,0.218,12,0.833,10,5,200.0,93.2,33.3,7,22,68,6.8,5,0.418,23.0,0.435,10.0,41.4,24,0.56,26.7,20,32.0,0.438,14.0,0.5,5
2010-01-13,"Montagne Center, Beaumont, Texas",TEXAS-ARLINGTON,LAMAR,Home,60.0,15,14.0,6,97.3,56.1,26,0.399,69,0.362,25,0.348,24,0.542,13,7,200.0,93.2,39.6,16,28,68,9.6,7,0.333,23.0,0.217,5.0,47.2,42,0.423,12.1,11,46.0,0.435,20.0,0.5,7
2010-01-16,"Texas Hall, Arlington, Texas",TEXAS-SAN-ANTONIO,TEXAS-ARLINGTON,Home,24.0,6,13.6,6,97.1,65.0,27,0.518,56,0.446,25,0.393,22,0.636,14,7,200.0,105.9,34.3,11,20,72,4.4,3,0.393,22.0,0.364,8.0,50.7,38,0.542,17.6,14,34.0,0.5,17.0,0.533,8
2010-01-20,"William Johnson Coliseum, Nacogdoches, Texas",TEXAS-ARLINGTON,STEPHEN-F-AUSTIN,Home,31.6,6,15.0,6,104.3,59.3,18,0.438,48,0.396,19,0.708,34,0.676,23,8,200.0,94.2,25.7,7,25,65,8.7,6,0.375,18.0,0.222,4.0,40.3,25,0.507,20.3,16,30.0,0.5,15.0,0.5,8
2010-02-13,"Convocation Center, San Antonio, Texas",TEXAS-ARLINGTON,TEXAS-SAN-ANTONIO,Home,36.4,8,2.3,1,105.0,58.6,21,0.445,55,0.4,22,0.345,19,0.632,12,10,200.0,101.7,56.7,13,15,61,6.7,4,0.545,30.0,0.167,5.0,57.6,34,0.476,15.9,12,25.0,0.68,17.0,0.565,13
2010-02-24,"Texas Hall, Arlington, Texas",LAMAR,TEXAS-ARLINGTON,Home,72.0,18,5.3,2,95.9,50.0,24,0.549,51,0.49,25,0.51,26,0.731,19,10,200.0,101.4,17.2,4,25,75,12.2,9,0.333,17.0,0.353,6.0,37.3,28,0.592,19.4,14,34.0,0.559,19.0,0.615,16
2010-03-10,"Leonard E. Merrell Center, Katy, Texas",STEPHEN-F-AUSTIN,TEXAS-ARLINGTON,Away,52.9,9,13.5,5,124.2,38.1,8,0.4,50,0.34,17,0.38,19,0.737,14,14,200.0,87.1,24.2,8,17,54,9.7,6,0.44,22.0,0.273,6.0,29.6,16,0.457,15.9,11,28.0,0.393,11.0,0.533,16
2010-11-14,"Gill Coliseum, Corvallis, Oregon",TEXAS-ARLINGTON,OREGON-STATE,Home,66.7,14,5.7,2,102.9,68.8,22,0.57,43,0.488,21,0.256,11,0.636,7,1,200.0,81.2,22.7,5,17,56,2.9,2,0.372,16.0,0.438,7.0,50.0,27,0.581,32.5,23,27.0,0.519,14.0,0.5,1
2010-11-20,"Frank and Lucille Sharp Gymnasium, Houston, Texas",TEXAS-ARLINGTON,HOUSTON-BAPTIST,Away,36.0,9,9.5,4,83.3,72.1,31,0.549,51,0.49,25,0.471,24,0.75,18,1,200.0,94.9,32.0,8,23,74,11.5,9,0.353,18.0,0.333,6.0,57.4,39,0.593,27.2,23,33.0,0.576,19.0,0.75,3
2010-11-30,"Super Pit, Denton, Texas",TEXAS-ARLINGTON,NORTH-TEXAS,Home,50.0,16,6.7,2,116.0,58.6,17,0.481,79,0.405,32,0.127,10,0.7,7,2,200.0,110.7,28.6,12,25,83,10.7,8,0.468,37.0,0.324,12.0,40.8,29,0.496,5.7,5,42.0,0.476,20.0,0.714,5
2010-12-11,"Pete Hanna Center, Birmingham, Alabama",TEXAS-ARLINGTON,SAMFORD,Home,63.6,14,11.8,2,103.0,81.5,22,0.491,56,0.393,22,0.107,6,0.833,5,3,200.0,90.9,31.0,9,16,60,9.1,6,0.536,30.0,0.367,11.0,55.4,31,0.51,22.5,17,26.0,0.423,11.0,0.625,5
2010-12-18,"Thomas Assembly Center, Ruston, Louisiana",TEXAS-ARLINGTON,LOUISIANA-TECH,Home,45.0,9,0.0,0,89.9,61.9,13,0.48,51,0.392,20,0.373,19,0.632,12,4,200.0,88.4,28.6,8,20,61,10.1,7,0.49,25.0,0.36,9.0,42.9,21,0.508,23.3,18,26.0,0.423,11.0,0.556,5
2010-12-22,"United Spirit Arena, Lubbock, Texas",TEXAS-ARLINGTON,TEXAS-TECH,Home,47.1,8,7.0,3,92.4,65.7,23,0.336,58,0.293,17,0.328,19,0.895,17,5,200.0,70.9,23.7,9,25,56,8.9,7,0.379,22.0,0.227,5.0,43.8,32,0.418,22.3,19,36.0,0.333,12.0,0.5,5
2010-12-29,"Allen Fieldhouse, Lawrence, Kansas",TEXAS-ARLINGTON,KANSAS,Home,45.8,11,9.1,3,126.2,51.7,15,0.473,56,0.429,24,0.161,9,0.444,4,6,200.0,87.7,28.1,9,16,57,9.2,6,0.304,17.0,0.294,5.0,39.3,24,0.473,16.7,12,39.0,0.487,19.0,0.455,5
2010-12-31,"Bud Walton Arena, Fayetteville, Arkansas",TEXAS-ARLINGTON,ARKANSAS,Home,48.1,13,12.1,4,117.6,64.7,22,0.5,59,0.458,27,0.339,20,0.75,15,7,200.0,100.0,35.5,11,25,74,5.4,4,0.271,16.0,0.313,5.0,50.8,33,0.54,19.1,16,43.0,0.512,22.0,0.417,5
2011-01-05,"Texas Hall, Arlington, Texas",HOUSTON-BAPTIST,TEXAS-ARLINGTON,Home,52.0,13,10.8,4,78.1,61.5,24,0.472,54,0.463,25,0.519,28,0.75,21,7,200.0,98.6,44.0,11,27,72,13.7,10,0.222,12.0,0.083,1.0,54.7,35,0.535,21.3,18,42.0,0.571,24.0,0.462,6
2011-01-08,"David Stopher Gymnasium, Thibodaux, Louisiana",TEXAS-ARLINGTON,NICHOLLS-STATE,Home,50.0,9,0.0,0,106.5,63.6,14,0.672,29,0.621,18,0.483,14,0.643,9,8,200.0,77.4,28.6,4,22,48,12.9,8,0.379,11.0,0.273,3.0,50.0,18,0.673,46.9,31,18.0,0.833,15.0,0.429,6
2011-01-12,"Johnson Coliseum, Huntsville, Texas",TEXAS-ARLINGTON,SAM-HOUSTON-STATE,Away,81.0,17,10.0,3,79.5,61.0,25,0.447,57,0.368,21,0.404,23,0.609,14,8,200.0,89.0,31.0,13,30,65,9.6,7,0.474,27.0,0.333,9.0,45.8,38,0.478,23.0,20,30.0,0.4,12.0,0.467,7
2011-01-15,"Texas Hall, Arlington, Texas",LAMAR,TEXAS-ARLINGTON,Away,32.0,8,3.7,1,96.2,46.7,14,0.401,71,0.352,25,0.352,25,0.6,15,9,200.0,91.1,41.9,18,20,72,8.9,7,0.239,17.0,0.412,7.0,43.8,32,0.434,15.5,15,54.0,0.333,18.0,0.438,7
2011-01-19,"Texas Hall, Arlington, Texas",TEXAS-AM-CORPUS-CHRISTI,TEXAS-ARLINGTON,Home,36.0,9,13.9,5,71.0,79.4,27,0.538,52,0.481,25,0.365,19,0.737,14,9,200.0,101.4,22.2,6,18,70,8.7,6,0.404,21.0,0.286,6.0,54.1,33,0.574,15.4,11,31.0,0.613,19.0,0.471,8
2011-01-22,"William Johnson Coliseum, Nacogdoches, Texas",TEXAS-ARLINGTON,STEPHEN-F-AUSTIN,Away,45.0,9,2.8,1,88.1,60.6,20,0.585,41,0.488,20,0.39,16,0.875,14,9,200.0,105.1,37.5,6,12,62,8.5,5,0.463,19.0,0.421,8.0,53.1,26,0.638,25.0,16,22.0,0.545,12.0,0.5,9
2011-01-29,"Texas Hall, Arlington, Texas",TEXAS-STATE,TEXAS-ARLINGTON,Home,63.0,17,2.4,1,88.0,69.4,25,0.609,55,0.491,27,0.418,23,0.696,16,9,200.0,110.7,14.3,4,24,83,6.7,5,0.491,27.0,0.481,13.0,45.3,29,0.63,16.6,13,28.0,0.5,14.0,0.526,10
2011-02-02,"Convocation Center, San Antonio, Texas",TEXAS-ARLINGTON,TEXAS-SAN-ANTONIO,Home,47.8,11,9.4,3,100.0,66.7,22,0.57,50,0.46,23,0.14,7,0.714,5,10,200.0,88.6,24.0,6,17,62,8.6,6,0.52,26.0,0.423,11.0,48.3,28,0.581,28.3,21,24.0,0.5,12.0,0.5,10
2011-02-07,"Texas Hall, Arlington, Texas",CENTRAL-ARKANSAS,TEXAS-ARLINGTON,Home,52.9,18,2.9,1,88.6,74.4,29,0.676,51,0.667,34,0.608,31,0.774,24,10,200.0,117.7,35.3,6,26,93,6.3,5,0.137,7.0,0.143,1.0,62.5,35,0.707,22.7,19,44.0,0.75,33.0,0.524,11
2011-02-09,"Texas Hall, Arlington, Texas",SAM-HOUSTON-STATE,TEXAS-ARLINGTON,Away,24.0,6,6.9,2,102.6,62.1,18,0.482,56,0.446,25,0.464,26,0.769,20,11,200.0,97.4,28.6,8,20,74,10.5,8,0.232,13.0,0.308,4.0,45.6,26,0.541,22.0,19,43.0,0.488,21.0,0.5,11
2011-02-12,"Strahan Coliseum, San Marcos, Texas",TEXAS-ARLINGTON,TEXAS-STATE,Home,52.0,13,3.6,1,103.9,76.7,23,0.491,55,0.455,25,0.418,23,0.739,17,12,200.0,93.4,33.3,9,28,71,7.9,6,0.273,15.0,0.267,4.0,56.1,32,0.538,23.5,20,40.0,0.525,21.0,0.478,11
2011-02-16,"Texas Hall, Arlington, Texas",STEPHEN-F-AUSTIN,TEXAS-ARLINGTON,Home,38.5,10,10.2,5,95.6,62.9,22,0.5,60,0.433,26,0.233,14,0.429,6,12,225.0,97.1,22.2,8,22,66,5.9,4,0.383,23.0,0.348,8.0,42.3,30,0.495,13.1,10,37.0,0.486,18.0,0.5,12
2011-02-19,"University Center, Hammond, Louisiana",TEXAS-ARLINGTON,SOUTHEASTERN-LOUISIANA,Away,47.8,11,6.3,2,90.4,79.5,35,0.531,48,0.479,23,0.521,25,0.68,17,12,225.0,93.2,37.0,10,24,68,2.7,2,0.208,10.0,0.5,5.0,63.4,45,0.568,27.2,22,38.0,0.474,18.0,0.52,13
2011-02-23,"Texas Hall, Arlington, Texas",MCNEESE-STATE,TEXAS-ARLINGTON,Away,53.8,14,5.9,2,114.1,71.4,20,0.508,64,0.406,26,0.25,16,0.438,7,13,200.0,101.4,27.0,10,17,72,8.5,6,0.438,28.0,0.464,13.0,46.2,30,0.503,13.4,11,36.0,0.361,13.0,0.5,13
2011-02-26,"Prather Coliseum, Natchitoches, Louisiana",TEXAS-ARLINGTON,NORTHWESTERN-STATE,Home,37.0,10,5.0,2,94.0,56.9,29,0.401,76,0.355,27,0.237,18,0.556,10,14,225.0,85.5,40.8,20,31,71,9.6,8,0.408,31.0,0.226,7.0,49.0,49,0.42,19.2,20,45.0,0.444,20.0,0.481,13
2011-03-02,"American Bank Center, Corpus Christi, Texas",TEXAS-ARLINGTON,TEXAS-AM-CORPUS-CHRISTI,Home,61.5,16,3.6,1,117.3,77.8,21,0.524,62,0.419,26,0.355,22,0.818,18,15,200.0,102.5,25.0,9,19,83,8.6,7,0.548,34.0,0.382,13.0,47.6,30,0.573,21.8,20,28.0,0.464,13.0,0.464,13
2011-03-05,"Texas Hall, Arlington, Texas",TEXAS-SAN-ANTONIO,TEXAS-ARLINGTON,Away,62.5,15,15.4,4,117.2,66.7,20,0.491,57,0.421,24,0.246,14,0.5,7,16,200.0,108.6,58.1,18,16,63,10.3,6,0.421,24.0,0.333,8.0,62.3,38,0.495,18.1,14,33.0,0.485,16.0,0.448,13
2011-11-19,"Texas Hall, Arlington, Texas",LOUISIANA-TECH,TEXAS-ARLINGTON,Home,38.1,8,12.5,5,70.9,76.1,35,0.393,56,0.375,21,0.75,42,0.571,24,0,200.0,79.1,45.7,16,16,68,5.8,5,0.179,10.0,0.2,2.0,63.0,51,0.448,26.6,27,46.0,0.413,19.0,1.0,2
2011-11-22,"Texas Hall, Arlington, Texas",NORTH-TEXAS,TEXAS-ARLINGTON,Home,54.1,20,14.7,5,83.1,68.8,22,0.633,64,0.578,37,0.375,24,0.667,16,0,200.0,126.0,55.2,16,23,97,16.9,13,0.281,18.0,0.389,7.0,62.3,38,0.643,18.6,17,46.0,0.652,30.0,1.0,3
2011-11-23,"Ferrell Center, Waco, Texas",TEXAS-ARLINGTON,BAYLOR,Home,52.2,12,12.2,5,96.2,50.0,16,0.408,65,0.354,23,0.323,21,0.571,12,1,200.0,83.3,31.8,14,26,65,15.4,12,0.354,23.0,0.304,7.0,39.5,30,0.433,18.6,17,42.0,0.381,16.0,0.75,3
2011-11-26,"Texas Hall, Arlington, Texas",SAMFORD,TEXAS-ARLINGTON,Away,52.4,11,11.1,1,106.0,64.3,18,0.471,52,0.404,21,0.481,25,0.8,20,2,200.0,103.0,34.6,9,22,69,9.0,6,0.346,18.0,0.389,7.0,50.0,27,0.54,18.2,14,34.0,0.412,14.0,0.6,3
2011-11-28,"Texas Hall, Arlington, Texas",TEXAS-PAN-AMERICAN,TEXAS-ARLINGTON,Home,62.5,20,15.0,6,80.0,74.4,32,0.602,59,0.542,32,0.458,27,0.778,21,2,200.0,122.7,37.0,10,15,92,13.3,10,0.305,18.0,0.389,7.0,60.0,42,0.64,15.5,13,41.0,0.61,25.0,0.667,4
2011-12-06,"Frank Erwin Center, Austin, Texas",TEXAS-ARLINGTON,TEXAS,Home,45.0,9,15.2,5,112.7,67.7,21,0.408,60,0.333,20,0.283,17,0.765,13,3,200.0,87.3,33.3,12,21,62,8.5,6,0.383,23.0,0.391,9.0,49.3,33,0.455,17.2,14,37.0,0.297,11.0,0.571,4
2011-12-17,"Donald W. Reynolds Center, Tulsa, Oklahoma",TEXAS-ARLINGTON,TULSA,Home,56.0,14,3.4,1,93.0,71.4,20,0.46,63,0.397,25,0.476,30,0.567,17,4,225.0,87.2,12.5,5,28,75,11.6,10,0.397,25.0,0.32,8.0,36.8,25,0.485,17.4,16,38.0,0.447,17.0,0.5,4
2011-12-20,"Dee Glen Smith Spectrum, Logan, Utah",TEXAS-ARLINGTON,UTAH-STATE,Home,48.1,13,3.8,1,114.1,53.8,14,0.492,61,0.443,27,0.213,13,0.692,9,5,200.0,107.8,42.9,15,18,69,7.8,5,0.377,23.0,0.261,6.0,47.5,29,0.514,15.2,12,38.0,0.553,21.0,0.444,4
2011-12-21,"Dee Glen Smith Spectrum, Logan, Utah",TEXAS-ARLINGTON,KENT-STATE,Away,78.3,18,15.8,6,105.8,61.8,21,0.509,55,0.418,23,0.455,25,0.72,18,5,200.0,107.2,40.0,14,17,74,11.6,8,0.436,24.0,0.417,10.0,50.7,35,0.553,18.5,15,31.0,0.419,13.0,0.5,5
2011-12-22,"Dee Glen Smith Spectrum, Logan, Utah",TEXAS-ARLINGTON,SAINT-PETERS,Away,66.7,14,14.3,6,87.2,70.3,26,0.441,59,0.356,21,0.492,29,0.724,21,5,200.0,93.6,35.0,14,17,73,10.3,8,0.373,22.0,0.455,10.0,51.9,40,0.502,20.9,19,37.0,0.297,11.0,0.545,6
2011-12-29,"UTPA Fieldhouse, Edinburg, Texas",TEXAS-ARLINGTON,TEXAS-PAN-AMERICAN,Away,43.8,14,13.6,3,87.5,84.8,28,0.569,65,0.492,32,0.2,13,0.692,9,5,200.0,129.7,42.4,14,20,83,10.9,7,0.323,21.0,0.476,10.0,63.6,42,0.583,11.3,9,44.0,0.5,22.0,0.583,7
2012-01-04,"Texas Hall, Arlington, Texas",SOUTHEASTERN-LOUISIANA,TEXAS-ARLINGTON,Home,40.0,12,17.9,7,61.3,75.0,27,0.523,65,0.462,30,0.323,21,0.81,17,5,200.0,113.3,27.6,8,16,85,9.3,7,0.385,25.0,0.32,8.0,53.8,35,0.567,13.9,12,40.0,0.55,22.0,0.615,8
2012-01-07,"Texas Hall, Arlington, Texas",NICHOLLS-STATE,TEXAS-ARLINGTON,Home,63.3,19,13.2,5,74.3,78.0,32,0.558,60,0.5,30,0.433,26,0.692,18,5,200.0,114.9,40.6,13,18,85,12.2,9,0.383,23.0,0.304,7.0,61.6,45,0.587,16.4,14,37.0,0.622,23.0,0.643,9
2012-01-11,"Texas Hall, Arlington, Texas",SAM-HOUSTON-STATE,TEXAS-ARLINGTON,Home,40.9,9,8.3,3,57.1,72.7,24,0.49,51,0.431,22,0.431,22,0.727,16,5,200.0,94.3,40.0,12,15,66,17.1,12,0.294,15.0,0.4,6.0,57.1,36,0.537,23.8,19,36.0,0.444,16.0,0.667,10
2012-01-14,"Montagne Center, Beaumont, Texas",TEXAS-ARLINGTON,LAMAR,Away,50.0,16,10.6,5,112.3,58.7,27,0.617,60,0.533,32,0.417,25,0.68,17,5,200.0,124.7,41.9,13,22,91,4.1,3,0.333,20.0,0.5,10.0,51.9,40,0.633,15.5,13,40.0,0.55,22.0,0.688,11
2012-01-18,"American Bank Center, Corpus Christi, Texas",TEXAS-ARLINGTON,TEXAS-AM-CORPUS-CHRISTI,Away,59.1,13,3.0,1,104.3,72.0,18,0.593,43,0.512,22,0.744,32,0.813,26,5,200.0,110.0,30.4,7,19,77,12.9,9,0.349,15.0,0.467,7.0,52.1,25,0.662,24.0,18,28.0,0.536,15.0,0.706,12
2012-01-21,"Texas Hall, Arlington, Texas",STEPHEN-F-AUSTIN,TEXAS-ARLINGTON,Home,52.6,10,8.6,3,78.3,74.1,20,0.477,44,0.432,19,0.614,27,0.778,21,5,200.0,91.3,22.2,6,16,63,13.0,9,0.295,13.0,0.308,4.0,48.1,26,0.554,23.3,17,31.0,0.484,15.0,0.722,13
2012-01-24,"Frank and Lucille Sharp Gymnasium, Houston, Texas",TEXAS-ARLINGTON,HOUSTON-BAPTIST,Away,55.0,11,7.3,3,89.2,63.6,28,0.511,45,0.444,20,0.889,40,0.825,33,5,200.0,95.2,19.2,5,24,79,6.0,5,0.333,15.0,0.4,6.0,47.1,33,0.617,26.9,23,30.0,0.467,14.0,0.737,14
2012-01-28,"Strahan Coliseum, San Marcos, Texas",TEXAS-ARLINGTON,TEXAS-STATE,Away,46.2,12,12.1,4,94.0,74.4,29,0.483,59,0.441,26,0.644,38,0.658,25,5,200.0,97.6,35.3,12,21,82,6.0,5,0.339,20.0,0.25,5.0,56.2,41,0.532,23.3,23,39.0,0.538,21.0,0.75,15
2012-02-01,"College Park Center, Arlington, Texas",TEXAS-SAN-ANTONIO,TEXAS-ARLINGTON,Home,57.1,12,7.5,3,86.8,78.9,30,0.481,52,0.404,21,0.481,25,0.68,17,5,200.0,88.2,39.4,13,20,67,13.2,10,0.385,20.0,0.4,8.0,60.6,43,0.524,26.7,23,32.0,0.406,13.0,0.762,16
2012-02-04,"Jeff Farris Center, Conway, Arkansas",TEXAS-ARLINGTON,CENTRAL-ARKANSAS,Away,65.2,15,16.7,5,80.3,78.9,30,0.403,62,0.371,23,0.419,26,0.731,19,5,200.0,90.8,33.3,14,15,69,13.2,10,0.226,14.0,0.286,4.0,55.0,44,0.464,17.0,15,48.0,0.396,19.0,0.773,17
2012-02-08,"Johnson Coliseum, Huntsville, Texas",TEXAS-ARLINGTON,SAM-HOUSTON-STATE,Away,77.8,21,7.3,3,94.0,52.6,20,0.604,53,0.509,27,0.264,14,0.786,11,5,200.0,111.9,25.9,7,20,75,11.9,8,0.396,21.0,0.476,10.0,41.5,27,0.629,20.2,15,32.0,0.531,17.0,0.783,18
2012-02-11,"College Park Center, Arlington, Texas",TEXAS-STATE,TEXAS-ARLINGTON,Home,43.3,13,11.8,4,69.7,82.1,32,0.516,64,0.469,30,0.203,13,0.538,7,5,200.0,96.1,47.1,16,15,73,14.5,11,0.375,24.0,0.25,6.0,65.8,48,0.52,24.8,23,40.0,0.6,24.0,0.792,19
2012-02-15,"William Johnson Coliseum, Nacogdoches, Texas",TEXAS-ARLINGTON,STEPHEN-F-AUSTIN,Away,61.5,8,14.3,6,73.4,65.9,27,0.372,43,0.302,13,0.698,30,0.633,19,5,200.0,79.7,20.6,7,22,51,9.4,6,0.419,18.0,0.333,6.0,45.3,34,0.445,18.8,13,25.0,0.28,7.0,0.8,20
2012-02-18,"Dee Events Center, Ogden, Utah",TEXAS-ARLINGTON,WEBER-STATE,Home,44.4,12,0.0,0,97.3,82.4,28,0.5,60,0.45,27,0.3,18,0.556,10,6,200.0,94.6,22.9,8,17,70,14.9,11,0.35,21.0,0.286,6.0,52.2,36,0.511,16.1,13,39.0,0.538,21.0,0.769,20
2012-02-22,"Burton Coliseum, Lake Charles, Louisiana",TEXAS-ARLINGTON,MCNEESE-STATE,Away,50.0,14,7.5,3,125.4,60.0,21,0.635,52,0.538,28,0.577,30,0.9,27,6,200.0,131.0,36.4,8,19,93,4.2,3,0.346,18.0,0.556,10.0,50.9,29,0.702,15.5,12,34.0,0.529,18.0,0.778,21
2012-02-25,"College Park Center, Arlington, Texas",NORTHWESTERN-STATE,TEXAS-ARLINGTON,Home,38.5,10,3.7,1,98.6,63.0,17,0.458,59,0.441,26,0.678,40,0.625,25,6,200.0,111.3,55.6,20,18,79,11.3,8,0.305,18.0,0.111,2.0,58.7,37,0.506,15.5,14,41.0,0.585,24.0,0.786,22
