date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Athletics-Recreation Center, Valparaiso, Indiana",Toledo,Valparaiso,Home,61.5,16,6.0,3,102.6,58.3,21,0.594,53,0.491,26,0.321,17,0.824,14,1,200,100.0,23.1,6,19,77,11.7,9,0.528,28,0.393,11,43.5,27,0.63,25.8,21,25,0.6,15,0.0,0
2019-11-10,"Henderson Center, Huntington, West Virginia",Toledo,Marshall,Away,54.3,19,7.9,3,86.4,82.9,29,0.618,68,0.515,35,0.221,15,0.8,12,1,200,118.5,34.4,11,14,96,13.6,11,0.368,25,0.56,14,59.7,40,0.639,19.4,18,43,0.488,21,0.5,1
2019-11-16,"John F. Savage Hall, Toledo, Ohio",Robert Morris,Toledo,Home,70.8,17,4.8,2,83.6,72.7,32,0.548,52,0.462,24,0.404,21,0.619,13,1,200,104.5,15.6,5,9,70,7.5,5,0.385,20,0.45,9,48.7,37,0.565,14.0,10,32,0.469,15,0.667,2
2019-11-17,"John F. Savage Hall, Toledo, Ohio",Howard,Toledo,Home,50.0,17,11.4,5,90.7,68.4,26,0.675,57,0.596,34,0.772,44,0.795,35,1,200,149.3,48.3,14,15,112,8.0,6,0.316,18,0.5,9,59.7,40,0.719,11.6,10,39,0.641,25,0.75,3
2019-11-21,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",Toledo,Notre Dame,Home,50.0,12,5.3,2,77.1,84.0,42,0.391,69,0.348,24,0.188,13,0.615,8,2,225,74.7,24.4,11,22,62,8.4,7,0.391,27,0.222,6,55.8,53,0.412,21.9,21,42,0.429,18,0.6,3
2019-11-23,"John F. Savage Hall, Toledo, Ohio","Northwestern Ohio
			",Toledo,Home,67.6,25,24.2,8,51.9,84.2,32,0.567,75,0.493,37,0.253,19,0.789,15,2,200,126.6,41.7,15,7,100,16.5,13,0.467,35,0.314,11,63.5,47,0.595,9.7,9,40,0.65,26,0.667,4
2019-11-30,"John F. Savage Hall, Toledo, Ohio",Oakland,Toledo,Home,68.2,15,9.1,3,98.4,67.6,23,0.519,53,0.415,22,0.283,15,0.667,10,2,200,101.6,37.0,10,16,65,10.9,7,0.604,32,0.344,11,54.1,33,0.541,16.8,12,21,0.524,11,0.714,5
2019-12-04,"Wolstein Center, Cleveland, Ohio",Toledo,Cleveland State,Away,68.2,15,24.5,13,90.3,67.3,33,0.561,49,0.449,22,0.673,33,0.758,25,2,200,111.1,16.7,5,20,80,11.1,8,0.49,24,0.458,11,48.1,38,0.618,14.8,11,25,0.44,11,0.75,6
2019-12-08,"John F. Savage Hall, Toledo, Ohio",Marshall,Toledo,Home,64.0,16,5.9,2,96.0,69.4,25,0.476,62,0.403,25,0.532,33,0.697,23,2,200,109.3,36.8,14,9,82,14.7,11,0.419,26,0.346,9,52.7,39,0.528,12.6,11,36,0.444,16,0.778,7
2019-12-14,"Calihan Hall, Detroit, Michigan",Toledo,Detroit,Away,65.2,15,8.8,3,104.3,73.5,25,0.492,59,0.39,23,0.475,28,0.786,22,2,200,115.9,34.3,12,12,80,5.8,4,0.424,25,0.48,12,53.6,37,0.553,11.2,9,34,0.324,11,0.8,8
