date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"SECU Arena, Towson, Maryland",George Washington,Towson,Home,48.3,14,4.5,1,87.9,79.3,23,0.524,62,0.468,29,0.145,9,0.778,7,0,200,109.1,25.0,8,17,72,10.6,7,0.194,12,0.583,7,50.8,31,0.543,12.0,9,50,0.44,22,1.0,1
2019-11-08,"SECU Arena, Towson, Maryland","Bryn Athyn
			",Towson,Home,41.9,18,21.1,8,40.8,80.6,29,0.559,85,0.506,43,0.118,10,0.5,5,0,200,131.6,59.5,22,17,100,25.0,19,0.294,25,0.36,9,69.9,51,0.557,10.1,10,60,0.567,34,1.0,2
2019-11-11,"SECU Arena, Towson, Maryland",Kent State,Towson,Away,32.0,8,7.7,3,107.7,71.9,23,0.412,68,0.368,25,0.441,30,0.8,24,1,225,102.6,25.6,10,22,80,5.1,4,0.368,25,0.24,6,46.5,33,0.486,9.0,8,43,0.442,19,0.667,2
2019-11-14,"Stephen C. O'Connell Center, Gainesville, Florida",Towson,Florida,Home,47.6,10,9.1,3,103.1,77.4,24,0.5,48,0.438,21,0.333,16,0.75,12,2,200,93.8,20.0,5,20,60,7.8,5,0.396,19,0.316,6,51.8,29,0.54,17.9,12,29,0.517,15,0.5,2
2019-11-21,"TD Arena, Charleston, South Carolina",Xavier,Towson,Away,33.3,6,8.6,3,107.4,72.4,21,0.339,59,0.305,18,0.305,18,0.611,11,3,200,75.0,19.5,8,16,51,5.9,4,0.271,16,0.25,4,41.4,29,0.377,13.0,10,43,0.326,14,0.4,2
2019-11-22,"TD Arena, Charleston, South Carolina",Buffalo,Towson,Away,56.0,14,14.6,6,96.2,59.1,26,0.449,59,0.424,25,0.441,26,0.769,20,4,200,92.4,37.5,12,24,73,11.4,9,0.22,13,0.231,3,50.0,38,0.512,23.0,21,46,0.478,22,0.333,2
2019-11-24,"TD Arena, Charleston, South Carolina",St. Joseph's,Towson,Home,60.7,17,11.4,4,83.1,73.8,31,0.532,62,0.452,28,0.177,11,0.909,10,4,200,98.7,20.0,6,15,76,9.1,7,0.371,23,0.435,10,51.4,37,0.565,19.3,16,39,0.462,18,0.429,3
2019-12-04,"Hill Field House, Baltimore, Maryland",Towson,Morgan State,Away,50.0,12,9.4,3,89.4,72.0,18,0.539,51,0.471,24,0.549,28,0.75,21,4,200,115.2,44.4,12,19,76,15.2,10,0.333,17,0.412,7,57.7,30,0.591,18.1,14,34,0.5,17,0.5,4
2019-12-07,"Roy L. Patrick Gymnasium, Burlington, Vermont",Towson,Vermont,Home,38.5,5,8.0,2,90.2,63.6,21,0.292,53,0.245,13,0.264,14,0.5,7,5,200,62.3,33.3,13,24,38,13.1,8,0.472,25,0.2,5,47.2,34,0.319,20.2,15,28,0.286,8,0.444,4
2019-12-10,"SECU Arena, Towson, Maryland",UMBC,Towson,Home,40.0,10,6.3,2,114.5,87.0,20,0.556,54,0.463,25,0.407,22,0.773,17,5,200,124.2,38.7,12,19,77,4.8,3,0.407,22,0.455,10,59.3,32,0.597,12.4,9,32,0.469,15,0.5,5
2019-12-20,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Towson,Liberty,Home,47.6,10,3.4,1,104.8,82.8,24,0.5,48,0.438,21,0.292,14,0.429,6,6,200,85.7,17.9,5,18,54,7.9,5,0.417,20,0.3,6,50.9,29,0.494,18.1,12,28,0.536,15,0.455,5
2019-12-21,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Tulane,Towson,Home,40.7,11,7.4,2,110.8,85.7,30,0.534,59,0.458,27,0.441,26,0.885,23,6,225,116.2,34.5,10,22,86,2.7,2,0.525,31,0.29,9,62.5,40,0.603,15.6,13,28,0.643,18,0.5,6
2019-12-28,"SECU Arena, Towson, Maryland",Northeastern,Towson,Away,47.1,8,9.1,3,89.7,84.4,27,0.35,50,0.34,17,0.3,15,0.667,10,7,200,66.2,8.8,3,14,45,5.9,4,0.22,11,0.091,1,45.5,30,0.394,20.9,15,39,0.41,16,0.462,6
2019-12-30,"SECU Arena, Towson, Maryland",Hofstra,Towson,Away,37.0,10,10.8,4,105.6,83.3,30,0.469,64,0.422,27,0.156,10,0.7,7,8,200,94.4,25.0,9,20,67,4.2,3,0.297,19,0.316,6,54.2,39,0.487,14.9,12,45,0.467,21,0.429,6
2020-01-02,"TD Arena, Charleston, South Carolina",Towson,College of Charleston,Home,23.8,5,5.6,2,122.7,73.0,27,0.415,59,0.356,21,0.39,23,0.87,20,9,200,104.5,29.7,11,20,69,1.5,1,0.475,28,0.25,7,51.4,38,0.493,10.4,8,31,0.452,14,0.4,6
2020-01-04,"Trask Coliseum, Wilmington, North Carolina",Towson,UNC Wilmington,Away,50.0,12,10.3,4,89.6,74.3,26,0.473,56,0.429,24,0.393,22,0.636,14,9,200,100.0,41.2,14,11,67,11.9,8,0.25,14,0.357,5,58.0,40,0.504,18.6,15,42,0.452,19,0.438,7
2020-01-09,"SECU Arena, Towson, Maryland",Drexel,Towson,Home,51.5,17,5.4,2,104.3,75.9,22,0.629,58,0.569,33,0.328,19,0.842,16,9,200,127.1,28.0,7,19,89,12.9,9,0.328,19,0.368,7,53.7,29,0.664,13.1,10,39,0.667,26,0.471,8
2020-01-11,"SECU Arena, Towson, Maryland",Delaware,Towson,Home,64.3,18,12.1,4,98.6,75.0,24,0.551,59,0.475,28,0.356,21,0.905,19,9,200,121.7,35.7,10,16,84,13.0,9,0.39,23,0.391,9,56.7,34,0.609,10.5,8,36,0.528,19,0.5,9
2020-01-18,"SECU Arena, Towson, Maryland",James Madison,Towson,Home,47.8,11,5.0,2,87.1,67.4,31,0.454,54,0.426,23,0.389,21,0.952,20,9,200,98.6,23.3,7,14,69,5.7,4,0.333,18,0.167,3,50.0,38,0.539,15.9,12,36,0.556,20,0.526,10
2020-01-23,"Schar Center, Elon, North Carolina",Towson,Elon,Away,47.4,9,17.2,5,95.3,61.9,26,0.573,41,0.463,19,0.707,29,0.862,25,9,200,112.5,27.3,6,23,72,6.3,4,0.463,19,0.474,9,50.0,32,0.657,20.7,14,22,0.455,10,0.55,11
2020-01-25,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",Towson,William & Mary,Away,34.6,9,13.8,4,92.1,81.5,22,0.571,49,0.531,26,0.388,19,0.737,14,9,200,111.1,32.0,8,16,70,9.5,6,0.204,10,0.4,4,57.7,30,0.603,14.8,10,39,0.564,22,0.571,12
2020-01-30,"SECU Arena, Towson, Maryland",UNC Wilmington,Towson,Home,66.7,16,6.3,2,94.3,80.6,25,0.537,54,0.444,24,0.556,30,0.633,19,9,200,110.0,38.7,12,19,77,4.3,3,0.37,20,0.5,10,59.7,37,0.564,16.2,13,34,0.412,14,0.591,13
2020-02-01,"SECU Arena, Towson, Maryland",College of Charleston,Towson,Away,47.8,11,5.3,1,121.5,85.0,17,0.474,57,0.404,23,0.298,17,0.941,16,10,200,107.7,26.7,8,20,70,10.8,7,0.368,21,0.381,8,50.0,25,0.538,12.2,9,36,0.417,15,0.565,13
2020-02-06,"Bob Carpenter Center, Newark, Delaware",Towson,Delaware,Home,40.7,11,5.3,1,125.4,72.0,18,0.579,57,0.474,27,0.263,15,0.8,12,11,200,116.4,25.0,7,24,78,7.5,5,0.456,26,0.462,12,47.2,25,0.608,14.7,11,31,0.484,15,0.542,13
2020-02-08,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Towson,Drexel,Away,19.2,5,10.5,4,103.0,80.6,25,0.475,59,0.441,26,0.39,23,0.87,20,11,200,113.4,32.3,10,19,76,4.5,3,0.153,9,0.444,4,56.5,35,0.543,9.2,7,50,0.44,22,0.56,14
2020-02-12,"SECU Arena, Towson, Maryland","Regent
			",Towson,Home,44.8,13,16.1,5,84.6,86.7,26,0.5,63,0.46,29,0.19,12,0.667,8,11,200,109.2,42.9,15,15,71,7.7,5,0.333,21,0.238,5,63.1,41,0.517,14.9,12,42,0.571,24,0.577,15
2020-02-15,"JMU Convocation Center, Harrisonburg, Virginia",Towson,James Madison,Away,33.3,8,16.7,6,73.8,81.6,31,0.465,57,0.421,24,0.211,12,0.833,10,11,200,96.9,39.3,11,13,63,7.7,5,0.263,15,0.333,5,63.6,42,0.502,18.4,14,42,0.452,19,0.593,16
2020-02-20,"SECU Arena, Towson, Maryland",William & Mary,Towson,Away,58.8,10,13.8,4,95.3,82.4,28,0.323,62,0.274,17,0.21,13,0.846,11,12,200,79.7,27.5,11,17,51,4.7,3,0.274,17,0.353,6,52.7,39,0.374,10.6,8,45,0.244,11,0.571,16
2020-02-22,"SECU Arena, Towson, Maryland",Elon,Towson,Home,70.8,17,7.4,2,114.5,71.4,25,0.594,48,0.5,24,0.667,32,0.844,27,12,200,135.5,36.4,8,20,84,6.5,4,0.417,20,0.45,9,57.9,33,0.665,11.4,8,28,0.536,15,0.586,17
2020-02-27,"Mack Sports Complex, Hempstead, New York",Towson,Hofstra,Away,56.3,18,3.7,1,106.6,72.7,24,0.507,69,0.464,32,0.13,9,0.667,6,12,200,124.6,61.1,22,15,76,11.5,7,0.261,18,0.333,6,66.7,46,0.519,11.0,9,51,0.51,26,0.6,18
2020-03-01,"Matthews Arena, Boston, Massachusetts",Towson,Northeastern,Away,40.0,10,14.8,4,112.5,71.4,20,0.559,51,0.49,25,0.451,23,0.783,18,12,200,117.2,28.6,8,15,75,6.3,4,0.314,16,0.438,7,50.0,28,0.606,12.8,9,35,0.514,18,0.613,19
2020-03-08,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",Northeastern,Towson,Away,50.0,11,8.6,3,118.0,82.6,19,0.5,49,0.449,22,0.367,18,0.722,13,13,200,101.6,35.5,11,20,62,4.9,3,0.367,18,0.278,5,55.6,30,0.539,19.7,14,31,0.548,17,0.594,19
