date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-20,"Stephen C. O'Connell Center, Gainesville, Florida",Troy,Florida,Home,50.0,11,5.4,2,117.6,55.3,25,0.387,62,0.355,22,0.274,17,0.588,10,1,200.0,85.3,42.1,12,15,58,8.8,6,0.355,22.0,0.182,4.0,48.7,37,0.414,14.7,12,40.0,0.45,18.0,0.667,2
2009-11-24,"Bartow Arena, Birmingham, Alabama",Troy,Alabama-Birmingham,Home,45.5,10,0.0,0,114.9,48.4,15,0.432,59,0.373,22,0.203,12,0.667,8,2,200.0,88.1,29.7,11,20,59,11.9,8,0.356,21.0,0.333,7.0,38.2,26,0.456,15.7,12,38.0,0.395,15.0,0.5,2
2009-12-04,"Beard-Eaves-Memorial, Auburn, Alabama",Troy,Auburn,Away,65.5,19,9.3,4,100.0,63.6,30,0.657,54,0.537,29,0.296,16,0.625,10,3,200.0,105.2,30.4,5,16,81,6.5,5,0.463,25.0,0.52,13.0,52.2,35,0.657,27.4,23,29.0,0.552,16.0,0.625,5
2009-12-12,"Henderson Center, Huntington, West Virginia",Troy,Marshall,Home,44.0,11,9.3,4,143.5,51.4,19,0.459,61,0.41,25,0.344,21,0.667,14,4,200.0,101.4,31.6,11,15,70,5.8,4,0.295,18.0,0.333,6.0,41.1,30,0.493,12.5,10,43.0,0.442,19.0,0.556,5
2009-12-14,"Hofheinz Pavilion, Houston, Texas",Troy,Houston,Home,35.9,14,3.1,1,125.7,68.8,22,0.593,70,0.557,39,0.057,4,0.5,2,5,200.0,114.9,35.5,11,19,85,12.2,9,0.286,20.0,0.25,5.0,52.4,33,0.591,15.3,13,50.0,0.68,34.0,0.5,5
2009-12-28,"Trojan Arena, Troy, Alabama",Marshall,Troy,Away,50.0,14,0.0,0,109.9,45.5,15,0.552,58,0.483,28,0.362,21,0.524,11,6,200.0,105.6,23.5,8,15,75,19.7,14,0.31,18.0,0.444,8.0,34.3,23,0.552,11.8,9,40.0,0.5,20.0,0.5,6
2010-01-02,"Trojan Arena, Troy, Alabama",Denver,Troy,Home,23.8,5,13.0,3,82.1,84.6,23,0.548,42,0.5,21,0.69,29,0.621,18,6,200.0,114.3,29.2,6,10,64,14.3,8,0.262,11.0,0.364,4.0,58.0,29,0.574,12.7,7,31.0,0.548,17.0,0.571,8
2010-01-09,"US Century Bank Arena, Miami, Florida",Troy,Florida International,Away,70.0,21,10.8,4,109.7,52.9,19,0.702,52,0.577,30,0.385,20,0.55,11,7,200.0,135.5,39.1,8,17,84,14.5,9,0.442,23.0,0.565,13.0,47.4,27,0.683,12.9,8,29.0,0.586,17.0,0.562,9
2010-01-16,"Mitchell Center, Mobile, Alabama",Troy,South Alabama,Home,48.1,13,10.9,5,98.6,77.4,25,0.447,66,0.409,27,0.182,12,0.667,8,9,200.0,95.7,43.6,16,13,67,7.1,5,0.318,21.0,0.238,5.0,58.6,41,0.467,16.4,14,45.0,0.489,22.0,0.5,9
2010-01-21,"Trojan Arena, Troy, Alabama",Western Kentucky,Troy,Home,45.2,14,8.6,3,101.5,60.0,22,0.605,57,0.544,31,0.298,17,0.471,8,9,200.0,113.2,35.7,9,12,77,16.2,11,0.281,16.0,0.438,7.0,49.2,31,0.592,15.7,12,41.0,0.585,24.0,0.526,10
