date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Jenny Craig Pavillion, San Diego, California",UC-Irvine,San Diego,Away,52.0,13,5.6,2,100.0,72.2,26,0.491,53,0.472,25,0.509,27,0.889,24,0,200,104.1,39.1,9,22,76,6.8,5,0.208,11,0.182,2,59.3,35,0.577,19.8,16,42,0.548,23,1.0,1
2019-11-09,"Firestone Fieldhouse, Malibu, California",UC-Irvine,Pepperdine,Home,61.5,16,6.1,2,108.5,78.1,25,0.509,56,0.464,26,0.429,24,0.667,16,1,200,102.8,32.4,11,20,73,11.3,8,0.286,16,0.313,5,54.5,36,0.542,16.3,13,40,0.525,21,0.5,1
2019-11-15,"ExtraMile Arena, Boise, Idaho",UC-Irvine,Boise State,Away,55.2,16,8.8,3,78.9,84.2,32,0.534,59,0.492,29,0.136,8,0.75,6,1,200,90.8,20.0,5,28,69,6.6,5,0.288,17,0.294,5,58.7,37,0.549,22.4,18,42,0.571,24,0.75,3
2019-11-18,"Coors Events/Conference Center, Boulder, Colorado",UC-Irvine,Colorado,Home,47.6,10,16.7,7,101.5,78.9,30,0.462,53,0.396,21,0.075,4,1.0,4,2,200,77.9,26.7,8,17,53,8.8,6,0.264,14,0.5,7,55.9,38,0.483,28.7,22,39,0.359,14,0.6,3
2019-11-21,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",UC-Irvine,TCU,Home,47.6,10,16.2,6,86.8,71.1,27,0.423,52,0.404,21,0.365,19,0.737,14,3,200,85.3,45.5,10,13,58,10.3,7,0.154,8,0.25,2,61.7,37,0.475,22.0,17,44,0.432,19,0.5,3
2019-11-24,"Ed Clark High School, Las Vegas, Nevada",Detroit,UC-Irvine,Away,63.0,17,8.7,2,113.2,78.8,26,0.42,69,0.391,27,0.275,19,0.842,16,4,200,97.4,32.4,12,22,74,6.6,5,0.348,24,0.167,4,54.3,38,0.474,13.4,12,45,0.511,23,0.429,3
2019-11-26,"Ed Clark High School, Las Vegas, Nevada",Louisiana,UC-Irvine,Home,65.7,23,2.4,1,91.8,80.0,36,0.684,57,0.614,35,0.333,19,0.737,14,4,200,126.0,33.3,7,20,92,8.2,6,0.333,19,0.421,8,65.2,43,0.697,17.6,14,38,0.711,27,0.5,4
2019-11-30,"Bren Events Center, Irvine, California",Eastern Michigan,UC-Irvine,Home,71.4,20,15.0,6,72.7,85.7,36,0.614,57,0.491,28,0.246,14,0.5,7,4,200,100.0,19.4,6,21,77,13.0,10,0.561,32,0.438,14,57.5,42,0.605,21.2,17,25,0.56,14,0.556,5
2019-12-07,"Bren Events Center, Irvine, California",California Baptist,UC-Irvine,Away,39.1,9,14.3,6,98.6,76.7,23,0.377,65,0.354,23,0.308,20,0.55,11,5,200,87.0,21.4,9,18,60,8.7,6,0.338,22,0.136,3,44.4,32,0.403,5.1,4,43,0.465,20,0.5,5
2019-12-14,"Bren Events Center, Irvine, California","Pacific Union
			",UC-Irvine,Home,62.2,28,12.5,4,74.1,89.5,34,0.699,68,0.662,45,0.441,30,0.833,25,5,200,141.2,56.5,13,19,120,11.8,10,0.221,15,0.333,5,77.0,47,0.729,16.5,16,53,0.755,40,0.545,6
