date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Pauley Pavilion, Los Angeles, California",Long Beach State,UCLA,Home,61.9,13,18.2,6,94.2,85.7,24,0.443,53,0.396,21,0.585,31,0.71,22,0,200,100.0,38.2,13,16,69,15.9,11,0.358,19,0.263,5,59.7,37,0.509,16.3,13,34,0.471,16,1.0,1
2019-11-10,"Pauley Pavilion, Los Angeles, California",UCSB,UCLA,Home,42.3,11,10.7,3,93.8,81.5,22,0.483,60,0.433,26,0.45,27,0.704,19,0,200,118.5,45.5,15,15,77,7.7,5,0.2,12,0.5,6,61.7,37,0.529,10.0,8,48,0.417,20,1.0,2
2019-11-15,"Pauley Pavilion, Los Angeles, California",UNLV,UCLA,Home,45.8,11,14.7,5,83.1,75.8,25,0.592,49,0.49,24,0.327,16,0.813,13,0,200,109.2,30.8,8,11,71,12.3,8,0.469,23,0.435,10,55.9,33,0.627,22.2,16,26,0.538,14,1.0,3
2019-11-18,"Pauley Pavilion, Los Angeles, California",Southern Utah,UCLA,Home,54.2,13,27.0,10,78.2,81.8,27,0.455,56,0.429,24,0.696,39,0.641,25,0,200,97.4,32.4,11,22,76,14.1,11,0.196,11,0.273,3,56.7,38,0.51,17.0,15,45,0.467,21,1.0,4
2019-11-21,"Pauley Pavilion, Los Angeles, California",Hofstra,UCLA,Away,75.9,22,3.4,1,125.7,89.7,26,0.525,61,0.475,29,0.295,18,0.778,14,1,200,111.4,31.3,10,22,78,1.4,1,0.361,22,0.273,6,59.0,36,0.561,13.8,11,39,0.59,23,0.8,4
2019-11-25,"Lahaina Civic Center, Lahaina, Hawaii",BYU,UCLA,Away,60.0,15,0.0,0,125.8,70.0,14,0.5,55,0.455,25,0.273,15,0.533,8,2,200,101.6,38.7,12,16,63,16.1,10,0.255,14,0.357,5,51.0,26,0.507,17.4,13,41,0.488,20,0.667,4
2019-11-26,"Lahaina Civic Center, Lahaina, Hawaii",UCLA,"Chaminade
			",Away,48.3,14,17.9,7,65.8,79.5,35,0.594,53,0.547,29,0.321,17,0.647,11,2,200,101.4,39.1,9,18,74,12.3,9,0.264,14,0.357,5,65.7,44,0.606,22.9,18,39,0.615,24,0.714,5
2019-11-27,"Lahaina Civic Center, Lahaina, Hawaii",Michigan State,UCLA,Away,22.7,5,6.5,2,123.0,67.9,19,0.411,56,0.393,22,0.375,21,0.762,16,3,200,101.6,32.3,10,19,62,1.6,1,0.268,15,0.133,2,49.2,29,0.47,9.7,7,41,0.488,20,0.625,5
2019-12-01,"Pauley Pavilion, Los Angeles, California",San Jose State,UCLA,Home,61.8,21,0.0,0,80.0,73.7,28,0.554,65,0.523,34,0.415,27,0.778,21,3,200,116.3,30.3,10,22,93,11.3,9,0.2,13,0.308,4,53.5,38,0.597,15.4,14,52,0.577,30,0.667,6
2019-12-08,"Pauley Pavilion, Los Angeles, California",Denver,UCLA,Home,50.0,14,7.1,2,91.2,83.3,25,0.517,59,0.475,28,0.458,27,0.741,20,3,200,119.1,42.9,15,22,81,11.8,8,0.373,22,0.227,5,61.5,40,0.564,11.3,9,37,0.622,23,0.7,7
