date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Holmes Convocation Center, Boone, North Carolina",UNC Wilmington,Appalachian State,Home,60.9,14,13.2,5,112.9,50.0,14,0.422,58,0.397,23,0.431,25,0.76,19,1,200.0,97.1,39.5,10,30,68,7.1,5,0.276,16.0,0.188,3.0,42.9,24,0.487,17.9,15,42.0,0.476,20.0,0.0,0
2009-11-19,"Carolina First Arena, Charleston, South Carolina",UNC Wilmington,Penn State,Away,63.0,17,11.4,5,104.5,59.5,26,0.681,48,0.563,27,0.447,21,0.762,16,2,200.0,121.2,27.8,4,21,80,3.0,2,0.34,16.0,0.625,10.0,50.0,30,0.702,21.1,15,32.0,0.531,17.0,0.333,1
2009-11-20,"Carolina First Arena, Charleston, South Carolina",Miami (FL),UNC Wilmington,Away,42.9,9,9.8,4,98.5,31.8,12,0.436,55,0.382,21,0.309,17,0.706,12,3,200.0,88.2,55.6,10,21,60,7.4,5,0.345,19.0,0.316,6.0,44.9,22,0.476,22.4,18,36.0,0.417,15.0,0.25,1
2009-11-22,"Carolina First Arena, Charleston, South Carolina",South Florida,UNC Wilmington,Away,42.9,12,2.4,1,108.8,60.6,21,0.508,59,0.475,28,0.169,10,0.6,6,4,200.0,97.1,55.2,15,21,66,10.3,7,0.254,15.0,0.267,4.0,58.1,36,0.518,22.1,18,44.0,0.545,24.0,0.2,1
2009-11-24,"Trask Coliseum, Wilmington, North Carolina",VMI,UNC Wilmington,Home,59.5,25,20.0,11,102.2,64.9,37,0.689,66,0.636,42,0.561,37,0.649,24,4,200.0,123.7,40.0,10,20,115,10.8,10,0.227,15.0,0.467,7.0,57.3,47,0.688,18.8,19,51.0,0.686,35.0,0.333,2
2009-11-29,"Alumni Gym, Elon, North Carolina",UNC Wilmington,Elon,Away,50.0,18,15.1,8,77.8,61.1,34,0.59,67,0.537,36,0.119,8,0.875,7,4,200.0,119.4,41.7,9,16,86,13.9,10,0.194,13.0,0.538,7.0,55.1,43,0.607,14.5,12,54.0,0.537,29.0,0.429,3
2009-12-14,"Trask Coliseum, Wilmington, North Carolina",Campbell,UNC Wilmington,Home,62.5,15,23.2,13,86.8,59.1,28,0.62,46,0.522,24,0.609,28,0.786,22,5,200.0,116.2,28.0,5,21,79,5.9,4,0.457,21.0,0.429,9.0,47.8,33,0.666,20.5,14,25.0,0.6,15.0,0.444,4
2009-12-16,"Trask Coliseum, Wilmington, North Carolina",Wake Forest,UNC Wilmington,Away,41.7,10,15.4,8,105.3,63.6,21,0.45,60,0.4,24,0.467,28,0.536,15,6,200.0,90.8,36.6,15,26,69,3.9,3,0.383,23.0,0.261,6.0,48.6,36,0.471,19.9,16,37.0,0.486,18.0,0.4,4
2009-12-28,"Robins Center, Richmond, Virginia",UNC Wilmington,Richmond,Home,59.1,13,7.9,3,100.0,69.4,28,0.447,57,0.386,22,0.298,17,0.765,13,7,200.0,97.0,58.8,17,23,64,3.0,2,0.351,20.0,0.35,7.0,64.3,45,0.492,23.7,20,37.0,0.405,15.0,0.364,4
2010-01-02,"Alltel Pavilion at the Stuart C. Siegel Center, Richmond, Virginia",UNC Wilmington,VCU,Home,42.1,8,8.0,4,108.3,56.8,25,0.321,67,0.284,19,0.254,17,0.824,14,8,200.0,67.9,36.0,18,20,57,3.6,3,0.239,16.0,0.313,5.0,45.7,43,0.38,27.3,28,51.0,0.275,14.0,0.333,4
2010-01-04,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",UNC Wilmington,William & Mary,Away,43.5,10,18.8,6,101.7,69.0,23,0.422,64,0.359,23,0.188,12,0.667,8,8,200.0,103.3,47.5,16,13,62,3.3,2,0.391,25.0,0.32,8.0,56.5,39,0.445,11.5,9,39.0,0.385,15.0,0.385,5
2010-01-06,"Trask Coliseum, Wilmington, North Carolina",Georgia State,UNC Wilmington,Home,60.0,12,15.7,8,74.6,66.7,32,0.44,50,0.4,20,0.42,21,0.619,13,8,200.0,85.1,46.7,12,12,57,11.9,8,0.34,17.0,0.235,4.0,58.7,44,0.475,26.2,21,33.0,0.485,16.0,0.429,6
2010-01-09,"Patriot Center, Fairfax, Virginia",UNC Wilmington,George Mason,Home,60.0,9,0.0,0,89.4,56.7,18,0.393,42,0.357,15,0.476,20,0.65,13,9,200.0,69.7,17.2,4,22,46,7.6,5,0.405,17.0,0.176,3.0,37.3,22,0.447,29.2,21,25.0,0.48,12.0,0.4,6
