date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Cameron Hall, Lexington, Virginia",ARMY,VIRGINIA-MILITARY-INSTITUTE,Home,59.3,16,7.5,3,91.5,64.3,19,0.516,63,0.429,27,0.587,37,0.757,28,0,200.0,98.9,22.5,8,22,93,21.3,20,0.508,32.0,0.344,11.0,39.7,27,0.577,21.7,22,31.0,0.516,16.0,1.0,1
2009-11-16,"Robins Center, Richmond, Virginia",VIRGINIA-MILITARY-INSTITUTE,RICHMOND,Home,55.0,11,8.7,4,128.8,55.6,18,0.421,63,0.317,20,0.254,16,0.375,6,1,200.0,73.8,26.7,9,20,59,10.0,8,0.587,37.0,0.351,13.0,37.5,27,0.418,22.2,20,26.0,0.269,7.0,0.5,1
2009-11-24,"Trask Coliseum, Wilmington, North Carolina",VIRGINIA-MILITARY-INSTITUTE,NORTH-CAROLINA-WILMINGTON,Home,29.4,10,7.8,4,123.7,60.0,18,0.448,86,0.395,34,0.326,28,0.643,18,2,200.0,102.2,35.1,17,26,95,11.8,11,0.36,31.0,0.29,9.0,42.7,35,0.478,12.5,14,55.0,0.455,25.0,0.5,2
2009-12-09,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-MILITARY-INSTITUTE,VIRGINIA-TECH,Home,46.2,12,11.8,9,116.7,38.6,21,0.429,70,0.371,26,0.243,17,0.765,13,4,200.0,86.9,32.6,10,21,73,6.0,5,0.357,25.0,0.32,8.0,35.6,31,0.467,18.9,18,45.0,0.4,18.0,0.5,4
2009-12-12,"Prudential Center, Newark, New Jersey",VIRGINIA-MILITARY-INSTITUTE,SETON-HALL,Home,45.0,18,2.1,1,132.7,59.5,23,0.511,95,0.421,40,0.137,13,0.769,10,5,200.0,105.9,30.2,15,16,107,9.9,10,0.453,43.0,0.395,17.0,42.2,38,0.529,14.4,17,52.0,0.442,23.0,0.444,4
2009-12-22,"Patriot Center, Fairfax, Virginia",VIRGINIA-MILITARY-INSTITUTE,GEORGE-MASON,Home,43.8,14,8.9,4,111.3,57.1,17,0.543,69,0.464,32,0.232,16,0.688,11,6,200.0,107.5,25.6,9,26,86,17.5,14,0.464,32.0,0.344,11.0,38.8,26,0.561,14.6,13,37.0,0.568,21.0,0.4,4
2010-01-02,"Cameron Hall, Lexington, Virginia",LIBERTY,VIRGINIA-MILITARY-INSTITUTE,Away,41.2,14,9.4,5,125.0,54.5,18,0.603,68,0.5,34,0.397,27,0.741,20,7,200.0,115.9,8.8,3,20,102,10.2,9,0.485,33.0,0.424,14.0,31.3,21,0.631,12.1,11,35.0,0.571,20.0,0.364,4
2010-01-07,"Winthrop Coliseum, Rock Hill, South Carolina",VIRGINIA-MILITARY-INSTITUTE,WINTHROP,Home,57.1,12,8.3,4,123.1,55.6,24,0.432,59,0.356,21,0.305,18,0.667,12,8,200.0,80.8,26.3,6,13,63,9.0,7,0.441,26.0,0.346,9.0,40.5,30,0.466,23.9,20,33.0,0.364,12.0,0.333,4
2010-01-14,"Cameron Hall, Lexington, Virginia",NORTH-CAROLINA-ASHEVILLE,VIRGINIA-MILITARY-INSTITUTE,Away,33.3,10,16.1,9,105.4,63.2,29,0.392,83,0.361,30,0.349,29,0.655,19,10,200.0,91.3,47.8,17,23,84,10.9,10,0.422,35.0,0.143,5.0,54.8,46,0.434,16.6,18,48.0,0.521,25.0,0.333,5
2010-01-28,"Vines Center, Lynchburg, Virginia",VIRGINIA-MILITARY-INSTITUTE,LIBERTY,Home,48.0,12,3.8,2,119.7,46.4,16,0.433,67,0.373,25,0.313,21,0.714,15,13,200.0,96.1,19.0,5,20,73,10.5,8,0.507,34.0,0.235,8.0,30.0,21,0.474,9.5,8,33.0,0.515,17.0,0.35,7
2010-02-06,"Cameron Hall, Lexington, Virginia",WINTHROP,VIRGINIA-MILITARY-INSTITUTE,Away,40.0,10,9.8,6,102.4,55.8,26,0.423,71,0.352,25,0.493,35,0.657,23,15,200.0,97.6,25.0,10,23,83,9.4,8,0.577,41.0,0.244,10.0,39.6,36,0.474,10.4,10,30.0,0.5,15.0,0.348,8
2010-02-13,"Charlie Justice Center, Asheville, North Carolina",VIRGINIA-MILITARY-INSTITUTE,NORTH-CAROLINA-ASHEVILLE,Home,39.4,13,12.5,7,128.1,54.3,20,0.476,85,0.388,33,0.306,26,0.615,16,16,200.0,109.0,40.0,19,27,97,12.4,11,0.576,49.0,0.306,15.0,45.9,39,0.498,9.4,10,36.0,0.5,18.0,0.36,9
2010-11-14,"RAC Arena, Baltimore, Maryland",VIRGINIA-MILITARY-INSTITUTE,MARYLAND-BALTIMORE-COUNTY,Away,50.0,16,9.3,4,92.8,78.9,30,0.591,66,0.485,32,0.348,23,0.696,16,0,200.0,113.3,21.6,8,18,94,6.0,5,0.485,32.0,0.438,14.0,50.7,38,0.611,16.5,15,34.0,0.529,18.0,1.0,2
2010-11-18,"Cameron Hall, Lexington, Virginia",JACKSONVILLE-STATE,VIRGINIA-MILITARY-INSTITUTE,Home,52.9,9,18.8,9,75.3,68.2,30,0.488,40,0.425,17,0.925,37,0.703,26,0,200.0,89.0,13.0,3,15,65,12.3,9,0.425,17.0,0.294,5.0,49.3,33,0.564,24.2,18,23.0,0.522,12.0,1.0,4
2010-11-27,"WVU Coliseum, Morgantown, West Virginia",VIRGINIA-MILITARY-INSTITUTE,WEST-VIRGINIA,Home,39.1,9,5.8,3,106.5,70.3,26,0.404,68,0.338,23,0.235,16,0.688,11,1,200.0,85.7,21.4,9,21,66,7.8,6,0.5,34.0,0.265,9.0,44.3,35,0.437,11.8,10,34.0,0.412,14.0,0.833,5
2010-12-02,"Cameron Hall, Lexington, Virginia",WINTHROP,VIRGINIA-MILITARY-INSTITUTE,Away,43.5,10,14.3,8,91.7,71.8,28,0.403,67,0.343,23,0.507,34,0.824,28,2,225.0,85.4,14.3,6,27,82,14.6,14,0.478,32.0,0.25,8.0,42.0,34,0.493,20.4,21,35.0,0.429,15.0,0.75,6
2010-12-04,"Cameron Hall, Lexington, Virginia",PRESBYTERIAN,VIRGINIA-MILITARY-INSTITUTE,Away,46.4,13,4.4,2,117.9,65.5,19,0.485,66,0.424,28,0.273,18,0.778,14,3,200.0,100.0,28.2,11,20,78,9.0,7,0.439,29.0,0.276,8.0,44.1,30,0.523,15.9,14,37.0,0.541,20.0,0.667,6
2010-12-08,"Alltel Pavilion at the Stuart C. Siegel Center, Richmond, Virginia",VIRGINIA-MILITARY-INSTITUTE,VIRGINIA-COMMONWEALTH,Home,42.3,11,12.0,6,110.3,62.2,23,0.5,61,0.426,26,0.41,25,0.76,19,4,200.0,102.6,28.1,9,21,80,10.3,8,0.459,28.0,0.321,9.0,46.4,32,0.549,18.2,16,33.0,0.515,17.0,0.6,6
2010-12-11,"Cameron Hall, Lexington, Virginia",LONGWOOD,VIRGINIA-MILITARY-INSTITUTE,Home,53.5,23,2.0,1,96.5,80.0,36,0.647,78,0.551,43,0.282,22,0.591,13,4,200.0,134.1,35.9,14,20,114,5.9,5,0.436,34.0,0.441,15.0,59.5,50,0.644,10.2,10,44.0,0.636,28.0,0.636,7
2010-12-19,"Henderson Center, Huntington, West Virginia",VIRGINIA-MILITARY-INSTITUTE,MARSHALL,Home,40.0,10,6.5,3,122.5,48.1,13,0.37,77,0.325,25,0.26,20,0.65,13,5,200.0,87.5,30.0,15,22,70,8.8,7,0.403,31.0,0.226,7.0,36.4,28,0.405,8.5,8,46.0,0.391,18.0,0.583,7
2010-12-31,"Charlie Justice Center, Asheville, North Carolina",VIRGINIA-MILITARY-INSTITUTE,NORTH-CAROLINA-ASHEVILLE,Away,55.6,15,10.4,5,93.5,62.2,28,0.524,62,0.435,27,0.484,30,0.6,18,5,200.0,107.8,47.5,19,22,83,7.8,6,0.484,30.0,0.367,11.0,55.3,47,0.544,19.3,18,32.0,0.5,16.0,0.615,8
2011-01-02,"Paul Porter Arena, Boiling Springs, North Carolina",VIRGINIA-MILITARY-INSTITUTE,GARDNER-WEBB,Away,48.6,18,11.4,4,102.7,67.7,21,0.667,63,0.587,37,0.302,19,0.684,13,5,200.0,131.1,32.0,8,20,97,8.1,6,0.397,25.0,0.4,10.0,51.8,29,0.673,14.4,12,38.0,0.711,27.0,0.643,9
2011-01-06,"Cameron Hall, Lexington, Virginia",COASTAL-CAROLINA,VIRGINIA-MILITARY-INSTITUTE,Away,33.3,10,3.2,2,121.1,60.6,20,0.5,73,0.411,30,0.274,20,0.7,14,6,200.0,96.7,20.9,9,23,87,7.8,7,0.521,38.0,0.342,13.0,38.2,29,0.527,15.5,15,35.0,0.486,17.0,0.6,9
2011-01-08,"Cameron Hall, Lexington, Virginia",CHARLESTON-SOUTHERN,VIRGINIA-MILITARY-INSTITUTE,Away,46.7,14,8.3,5,101.1,50.0,19,0.452,73,0.411,30,0.288,21,0.667,14,7,200.0,92.0,21.4,9,22,80,13.8,12,0.384,28.0,0.214,6.0,35.0,28,0.482,14.5,14,45.0,0.533,24.0,0.562,9
2011-01-13,"Donald N. Dedmon Center, Radford, Virginia",VIRGINIA-MILITARY-INSTITUTE,RADFORD,Away,54.1,20,15.6,7,86.6,67.6,25,0.645,69,0.536,37,0.362,25,0.64,16,7,200.0,128.0,34.2,13,21,105,12.2,10,0.435,30.0,0.5,15.0,50.7,38,0.649,13.0,12,39.0,0.564,22.0,0.588,10
2011-01-15,"Millis Center, High Point, North Carolina",VIRGINIA-MILITARY-INSTITUTE,HIGH-POINT,Away,39.3,11,14.5,8,102.2,61.7,29,0.556,63,0.444,28,0.556,35,0.771,27,7,200.0,109.0,18.9,7,22,97,18.0,16,0.46,29.0,0.483,14.0,42.9,36,0.609,19.5,19,34.0,0.412,14.0,0.611,11
2011-01-20,"Vines Center, Lynchburg, Virginia",VIRGINIA-MILITARY-INSTITUTE,LIBERTY,Home,55.6,15,11.3,6,128.2,61.5,16,0.571,56,0.482,27,0.464,26,0.692,18,8,200.0,105.1,16.7,5,24,82,7.7,6,0.446,25.0,0.4,10.0,37.5,21,0.6,19.2,16,31.0,0.548,17.0,0.579,11
2011-01-27,"Cameron Hall, Lexington, Virginia",GARDNER-WEBB,VIRGINIA-MILITARY-INSTITUTE,Home,51.7,15,10.5,4,98.5,66.7,22,0.643,56,0.518,29,0.286,16,0.813,13,8,200.0,126.9,33.3,9,14,85,11.9,8,0.589,33.0,0.424,14.0,51.7,31,0.668,14.9,11,23.0,0.652,15.0,0.6,12
2011-01-29,"Cameron Hall, Lexington, Virginia",NORTH-CAROLINA-ASHEVILLE,VIRGINIA-MILITARY-INSTITUTE,Away,62.5,20,9.3,5,128.2,65.5,19,0.59,67,0.478,32,0.269,18,0.444,8,9,200.0,111.5,27.0,10,19,87,3.8,3,0.567,38.0,0.395,15.0,43.9,29,0.576,16.7,15,29.0,0.586,17.0,0.571,12
2011-02-03,"CSU Fieldhouse, Charleston, South Carolina",VIRGINIA-MILITARY-INSTITUTE,CHARLESTON-SOUTHERN,Home,46.9,15,4.8,2,142.3,61.5,16,0.667,60,0.533,32,0.217,13,0.769,10,10,200.0,126.8,27.6,8,17,90,2.8,2,0.433,26.0,0.615,16.0,43.6,24,0.68,15.4,12,34.0,0.471,16.0,0.545,12
2011-02-05,"Kimbel Arena, Conway, South Carolina",VIRGINIA-MILITARY-INSTITUTE,COASTAL-CAROLINA,Home,27.3,9,7.3,4,123.8,53.8,21,0.475,81,0.407,33,0.21,17,0.529,9,11,200.0,107.5,31.4,16,33,86,8.8,7,0.432,35.0,0.314,11.0,41.1,37,0.483,7.3,7,46.0,0.478,22.0,0.522,12
2011-02-10,"Cameron Hall, Lexington, Virginia",HIGH-POINT,VIRGINIA-MILITARY-INSTITUTE,Home,53.3,16,7.5,3,102.8,70.3,26,0.548,63,0.476,30,0.413,26,0.692,18,11,200.0,120.8,51.4,18,14,87,6.9,5,0.397,25.0,0.36,9.0,61.1,44,0.577,15.8,14,38.0,0.553,21.0,0.542,13
2011-02-12,"Cameron Hall, Lexington, Virginia",RADFORD,VIRGINIA-MILITARY-INSTITUTE,Home,65.2,15,4.2,2,75.3,65.7,23,0.444,63,0.365,23,0.381,24,0.625,15,11,200.0,92.2,34.1,15,14,71,16.9,13,0.476,30.0,0.333,10.0,48.1,38,0.477,18.8,17,33.0,0.394,13.0,0.56,14
2011-02-15,"Cameron Hall, Lexington, Virginia",LIBERTY,VIRGINIA-MILITARY-INSTITUTE,Home,62.1,18,16.3,7,98.6,59.0,23,0.545,66,0.439,29,0.121,8,0.875,7,11,200.0,112.9,34.3,12,15,79,8.6,6,0.545,36.0,0.389,14.0,47.3,35,0.566,12.6,10,30.0,0.5,15.0,0.577,15
2011-02-19,"Hill Field House, Baltimore, Maryland",VIRGINIA-MILITARY-INSTITUTE,MORGAN-STATE,Home,56.5,13,8.9,4,106.3,58.6,17,0.459,61,0.377,23,0.148,9,0.667,6,12,200.0,98.4,36.1,13,16,62,4.8,3,0.541,33.0,0.303,10.0,46.2,30,0.475,14.5,11,28.0,0.464,13.0,0.556,15
2011-02-24,"Ross E.Templeton Center, Clinton, South Carolina",VIRGINIA-MILITARY-INSTITUTE,PRESBYTERIAN,Away,40.0,10,13.9,5,105.7,73.9,17,0.516,61,0.41,25,0.311,19,0.895,17,12,200.0,114.3,25.7,9,11,80,8.6,6,0.492,30.0,0.433,13.0,44.8,26,0.571,9.2,7,31.0,0.387,12.0,0.571,16
2011-02-26,"Winthrop Coliseum, Rock Hill, South Carolina",VIRGINIA-MILITARY-INSTITUTE,WINTHROP,Away,48.3,14,6.5,3,113.3,60.5,23,0.558,60,0.483,29,0.517,31,0.71,22,12,200.0,118.7,23.5,8,16,89,14.7,11,0.367,22.0,0.409,9.0,43.1,31,0.596,9.8,8,38.0,0.526,20.0,0.586,17
2011-03-01,"Cameron Hall, Lexington, Virginia",WINTHROP,VIRGINIA-MILITARY-INSTITUTE,Home,47.8,11,7.8,4,102.8,60.0,24,0.56,50,0.46,23,0.56,28,0.786,22,12,200.0,109.9,13.8,4,16,78,4.2,3,0.5,25.0,0.4,10.0,40.6,28,0.616,13.8,10,25.0,0.52,13.0,0.6,18
2011-03-03,"Kimbel Arena, Conway, South Carolina",VIRGINIA-MILITARY-INSTITUTE,COASTAL-CAROLINA,Home,37.9,11,0.0,0,123.6,53.8,14,0.515,67,0.433,29,0.224,15,0.8,12,13,200.0,112.5,21.6,8,21,81,8.3,6,0.478,32.0,0.344,11.0,34.9,22,0.546,8.7,7,35.0,0.514,18.0,0.581,18
