date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Memorial Gymnasium, Nashville, Tennessee",Southeast Missouri State,Vanderbilt,Home,56.7,17,17.8,8,90.3,66.7,24,0.607,61,0.492,30,0.23,14,0.643,9,0,200,115.3,23.3,7,18,83,11.1,8,0.557,34,0.412,14,47.0,31,0.613,15.2,12,27,0.593,16,1.0,1
2019-11-11,"Memorial Gymnasium, Nashville, Tennessee",Texas A&M-Corpus Christi,Vanderbilt,Home,38.5,10,25.9,7,98.5,78.3,18,0.577,52,0.5,26,0.346,18,0.611,11,0,200,106.0,31.0,9,13,71,19.4,13,0.423,22,0.364,8,51.9,27,0.586,16.7,12,30,0.6,18,1.0,2
2019-11-14,"Robins Center, Richmond, Virginia",Vanderbilt,Richmond,Home,45.5,15,11.9,5,112.0,78.4,29,0.614,66,0.5,33,0.242,16,0.688,11,1,225,110.8,25.8,8,21,92,8.4,7,0.53,35,0.429,15,54.4,37,0.625,18.0,16,31,0.581,18,0.667,2
2019-11-20,"Memorial Gymnasium, Nashville, Tennessee",Austin Peay,Vanderbilt,Home,56.3,18,0.0,0,104.3,71.0,22,0.629,58,0.552,32,0.466,27,0.63,17,1,200,130.4,33.3,10,23,90,7.2,5,0.414,24,0.375,9,52.5,32,0.635,11.4,9,34,0.676,23,0.75,3
2019-11-22,"Memorial Gymnasium, Nashville, Tennessee",South Carolina State,Vanderbilt,Home,54.3,19,6.3,2,85.7,93.3,28,0.707,58,0.603,35,0.483,28,0.536,15,1,200,138.6,39.3,11,18,97,12.9,9,0.431,25,0.48,12,67.2,39,0.68,13.5,11,33,0.697,23,0.8,4
2019-11-25,"Memorial Gymnasium, Nashville, Tennessee",Southeastern Louisiana,Vanderbilt,Home,66.7,16,5.6,3,92.1,67.5,27,0.509,58,0.414,24,0.483,28,0.679,19,1,200,102.6,30.6,11,16,78,5.3,4,0.517,30,0.367,11,50.0,38,0.547,16.6,14,28,0.464,13,0.833,5
2019-11-30,"Memorial Gymnasium, Nashville, Tennessee",Tulsa,Vanderbilt,Away,60.0,12,21.1,8,95.7,72.0,18,0.429,56,0.357,20,0.286,16,0.625,10,2,200,82.9,31.0,9,16,58,14.3,10,0.429,24,0.333,8,50.0,27,0.456,19.2,15,32,0.375,12,0.714,5
2019-12-03,"Memorial Gymnasium, Nashville, Tennessee",Buffalo,Vanderbilt,Home,40.6,13,13.3,6,89.4,72.1,31,0.493,69,0.464,32,0.377,26,0.846,22,2,200,105.9,26.3,10,24,90,9.4,8,0.261,18,0.222,4,50.6,41,0.553,13.9,13,51,0.549,28,0.75,6
2019-12-14,"Memorial Gymnasium, Nashville, Tennessee",Liberty,Vanderbilt,Away,50.0,9,22.6,7,92.4,78.6,22,0.422,51,0.353,18,0.373,19,0.684,13,3,200,84.8,15.2,5,15,56,10.6,7,0.471,24,0.292,7,44.3,27,0.466,15.6,11,27,0.407,11,0.667,6
2019-12-18,"Talking Stick Resort Arena, Phoenix, Arizona",Vanderbilt,Loyola (IL),Home,44.0,11,7.5,3,105.4,89.3,25,0.538,53,0.472,25,0.415,22,0.591,13,4,200,94.6,18.8,6,23,70,8.1,6,0.396,21,0.333,7,51.7,31,0.552,19.3,15,32,0.563,18,0.6,6
2019-12-21,"Memorial Gymnasium, Nashville, Tennessee",UNC Wilmington,Vanderbilt,Home,66.7,18,12.9,4,96.1,82.6,19,0.58,56,0.482,27,0.518,29,0.793,23,4,200,115.8,25.9,7,15,88,18.4,14,0.446,25,0.44,11,52.0,26,0.631,16.9,14,31,0.516,16,0.636,7
