date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Reitz Arena, Baltimore, Maryland",Vermont,Loyola (MD),Home,52.6,10,18.2,8,109.7,38.7,16,0.375,56,0.339,19,0.589,33,0.727,24,1,200.0,91.7,48.4,11,20,66,9.7,7,0.25,14.0,0.286,4.0,43.5,27,0.46,18.5,16,42.0,0.357,15.0,0.0,0
2009-11-15,"Alumni Arena, Buffalo, New York",Vermont,Buffalo,Away,60.0,12,7.7,3,83.8,65.7,25,0.367,60,0.333,20,0.317,19,0.737,14,1,200.0,85.3,33.3,11,19,58,11.8,8,0.317,19.0,0.211,4.0,48.6,36,0.42,13.9,11,41.0,0.39,16.0,0.5,1
2009-11-22,"Louis Brown Athletic Center, New Brunswick, New Jersey",Vermont,Rutgers,Away,35.7,10,16.7,6,100.0,61.5,19,0.461,64,0.438,28,0.344,22,0.818,18,1,200.0,108.5,44.4,13,19,77,18.3,13,0.203,13.0,0.231,3.0,51.6,32,0.517,15.0,13,51.0,0.49,25.0,0.667,2
2009-11-24,"Dunkin' Donuts Center, Providence, Rhode Island",Vermont,Providence,Home,50.0,11,13.7,7,126.2,43.9,18,0.383,60,0.367,22,0.45,27,0.667,18,2,200.0,76.2,38.2,13,18,64,10.7,9,0.233,14.0,0.143,2.0,41.3,31,0.439,24.2,23,46.0,0.435,20.0,0.5,2
2009-11-27,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Vermont,Drexel,Home,57.9,11,4.9,2,107.2,70.0,22,0.4,55,0.345,19,0.509,28,0.607,17,3,200.0,88.4,30.0,11,16,61,7.2,5,0.291,16.0,0.375,6.0,47.1,33,0.447,15.1,12,39.0,0.333,13.0,0.4,2
2009-11-28,"The Palestra, Philadelphia, Pennsylvania",Cornell,Vermont,Away,70.0,14,10.0,4,100.0,51.4,19,0.478,45,0.444,20,0.533,24,0.667,16,4,200.0,88.1,29.2,7,20,59,9.0,6,0.289,13.0,0.231,3.0,42.6,26,0.523,25.5,19,32.0,0.531,17.0,0.333,2
2009-11-29,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Vermont,Toledo,Away,68.8,22,6.8,3,73.1,60.0,22,0.563,63,0.508,32,0.286,18,0.611,11,4,200.0,122.4,43.8,10,14,82,9.0,6,0.349,22.0,0.318,7.0,51.6,32,0.573,13.4,11,41.0,0.61,25.0,0.429,3
2009-12-01,"Leede Arena, Hanover, New Hampshire",Vermont,Dartmouth,Away,40.9,9,6.7,3,84.1,78.0,32,0.47,50,0.44,22,0.38,19,0.842,16,4,200.0,91.3,28.6,8,16,63,7.2,5,0.14,7.0,0.429,3.0,58.0,40,0.534,23.6,16,43.0,0.442,19.0,0.5,4
2009-12-05,"Prudential Center, Newark, New Jersey",Vermont,NJIT,Away,63.3,19,15.2,5,77.8,69.4,25,0.684,49,0.612,30,0.633,31,0.677,21,4,200.0,139.7,50.0,12,18,88,14.3,9,0.224,11.0,0.636,7.0,61.7,37,0.69,16.1,12,38.0,0.605,23.0,0.556,5
2009-12-07,"John J. Lee Ampitheater, New Haven, Connecticut",Vermont,Yale,Away,62.5,15,4.5,2,89.6,55.9,21,0.596,47,0.511,24,0.489,23,0.696,16,4,200.0,107.5,29.2,5,16,72,13.4,9,0.362,17.0,0.471,8.0,44.8,26,0.621,21.9,15,30.0,0.533,16.0,0.6,6
2009-12-13,"Roy L. Patrick Gymnasium, Burlington, Vermont",Quinnipiac,Vermont,Home,44.0,11,7.4,4,101.3,65.6,21,0.519,54,0.463,25,0.593,32,0.75,24,4,200.0,105.3,17.9,5,15,80,9.2,7,0.241,13.0,0.462,6.0,43.3,26,0.578,16.0,13,41.0,0.463,19.0,0.636,7
2009-12-20,"Roy L. Patrick Gymnasium, Burlington, Vermont",Delaware,Vermont,Away,47.1,8,5.4,2,82.4,55.6,21,0.33,56,0.304,17,0.393,22,0.591,13,5,200.0,73.5,32.4,11,17,50,20.6,14,0.357,20.0,0.15,3.0,43.8,32,0.376,15.4,12,36.0,0.389,14.0,0.583,7
2009-12-28,"McCann Recreation Center, Poughkeepsie, New York",Vermont,Marist,Away,27.3,6,20.0,6,98.4,61.3,20,0.461,51,0.431,22,0.784,40,0.625,25,5,200.0,114.3,80.6,24,18,72,19.0,12,0.314,16.0,0.188,3.0,71.0,44,0.514,19.9,17,35.0,0.543,19.0,0.615,8
