date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Wells Fargo Arena, Tempe, Arizona",WESTERN-ILLINOIS,ARIZONA-STATE,Home,58.3,7,11.8,4,140.3,47.6,13,0.269,52,0.231,12,0.192,10,0.7,7,1,200.0,56.5,35.9,11,21,35,8.1,5,0.212,11.0,0.364,4.0,40.0,24,0.308,24.2,16,41.0,0.195,8.0,0.0,0
2009-11-15,"Bramlage Coliseum, Manhattan, Kansas",WESTERN-ILLINOIS,KANSAS-STATE,Home,58.8,10,6.8,3,120.6,45.7,17,0.314,59,0.288,17,0.322,19,0.684,13,2,200.0,73.5,33.3,12,20,50,13.2,9,0.186,11.0,0.273,3.0,39.2,29,0.368,15.1,12,48.0,0.292,14.0,0.0,0
2009-12-03,"Western Hall, Macomb, Illinois",NORTH-DAKOTA-STATE,WESTERN-ILLINOIS,Away,42.9,9,14.6,7,88.2,66.7,22,0.341,66,0.318,21,0.212,14,0.714,10,4,200.0,80.9,18.6,8,18,55,8.8,6,0.258,17.0,0.176,3.0,39.5,30,0.379,6.5,5,49.0,0.367,18.0,0.429,3
2009-12-12,"Western Hall, Macomb, Illinois",EASTERN-ILLINOIS,WESTERN-ILLINOIS,Away,73.3,11,20.0,8,71.0,67.6,25,0.327,55,0.273,15,0.182,10,0.5,5,6,200.0,66.1,28.2,9,15,41,19.4,12,0.418,23.0,0.261,6.0,46.6,34,0.343,16.8,12,32.0,0.281,9.0,0.4,4
2009-12-31,"Athletics Center O'rena, Rochester, Michigan",WESTERN-ILLINOIS,OAKLAND,Home,50.0,11,13.7,7,115.4,52.8,23,0.544,45,0.489,22,0.489,22,0.636,14,7,200.0,96.9,44.0,7,21,63,3.1,2,0.289,13.0,0.385,5.0,49.2,30,0.568,25.8,19,32.0,0.531,17.0,0.417,5
2010-01-09,"The Jungle, Indianapolis, Indiana",WESTERN-ILLINOIS,IUPUI,Home,52.6,10,3.1,1,111.7,45.5,13,0.448,48,0.396,19,0.333,16,0.688,11,9,200.0,90.0,40.0,9,20,54,11.7,7,0.292,14.0,0.357,5.0,42.3,22,0.486,22.5,16,34.0,0.412,14.0,0.4,6
2010-01-16,"Western Hall, Macomb, Illinois",ORAL-ROBERTS,WESTERN-ILLINOIS,Away,39.1,9,7.5,3,108.8,47.8,13,0.366,67,0.343,23,0.269,18,0.722,13,10,200.0,91.2,30.2,11,20,62,8.8,6,0.164,11.0,0.273,3.0,36.4,24,0.41,9.6,8,56.0,0.357,20.0,0.412,7
2010-01-21,"Municipal Auditorium, Kansas City, Missouri",WESTERN-ILLINOIS,MISSOURI-KANSAS-CITY,Home,57.9,11,9.7,3,105.2,64.0,18,0.451,51,0.373,19,0.314,16,0.688,11,11,200.0,98.3,32.3,8,15,57,10.3,6,0.314,16.0,0.5,8.0,46.4,26,0.486,14.7,10,35.0,0.314,11.0,0.389,7
2010-01-30,"Western Hall, Macomb, Illinois",OAKLAND,WESTERN-ILLINOIS,Away,63.6,14,9.1,3,109.7,63.0,18,0.5,46,0.478,22,0.63,29,0.621,18,13,200.0,103.2,37.5,8,21,64,11.3,7,0.174,8.0,0.25,2.0,51.0,26,0.535,14.5,10,38.0,0.526,20.0,0.381,8
2010-02-06,"Western Hall, Macomb, Illinois",IUPUI,WESTERN-ILLINOIS,Away,60.0,9,5.9,2,120.7,68.4,14,0.438,40,0.375,15,0.325,13,0.538,7,14,200.0,72.4,16.7,3,18,42,8.6,5,0.4,16.0,0.313,5.0,39.5,17,0.455,25.9,15,24.0,0.417,10.0,0.391,9
