date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Wake Forest,Boston College,Home,46.2,12,2.3,1,102.7,80.6,29,0.46,62,0.419,26,0.274,17,0.765,13,1,200,93.3,32.4,11,23,70,2.7,2,0.226,14,0.357,5,57.1,40,0.499,19.7,17,48,0.438,21,0.0,0
2019-11-10,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Columbia,Wake Forest,Home,36.4,8,2.7,1,81.8,91.9,34,0.371,62,0.355,22,0.468,29,0.655,19,1,200,84.4,22.2,10,15,65,3.9,3,0.161,10,0.2,2,53.7,44,0.429,14.8,13,52,0.385,20,0.5,1
2019-11-13,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",UNC Asheville,Wake Forest,Home,69.7,23,5.9,2,105.3,86.7,26,0.745,47,0.702,33,0.851,40,0.7,28,1,200,130.7,33.3,7,23,98,4.0,3,0.17,8,0.5,4,64.7,33,0.742,20.8,17,39,0.744,29,0.667,2
2019-11-17,"Dale F. Halton Arena, Charlotte, North Carolina",Wake Forest,Charlotte,Home,54.2,13,22.7,10,90.5,79.4,27,0.453,64,0.375,24,0.188,12,0.583,7,2,225,87.8,26.8,11,14,65,10.8,8,0.391,25,0.4,10,50.7,38,0.466,17.8,15,39,0.359,14,0.5,2
2019-11-22,"Spectrum Center, Charlotte, North Carolina",Wake Forest,Davidson,Away,48.4,15,13.9,5,97.2,91.2,31,0.563,64,0.484,31,0.188,12,0.833,10,2,200,113.9,30.3,10,17,82,5.6,4,0.344,22,0.455,10,61.2,41,0.588,14.8,12,42,0.5,21,0.6,3
2019-11-28,"Anaheim Convention Center, Anaheim, California",Wake Forest,College of Charleston,Away,68.4,13,10.8,4,86.2,83.3,30,0.415,53,0.358,19,0.509,27,0.778,21,2,200,100.0,33.3,12,18,65,6.2,4,0.396,21,0.286,6,58.3,42,0.494,14.5,11,32,0.406,13,0.667,4
2019-11-29,"Anaheim Convention Center, Anaheim, California",Long Beach State,Wake Forest,Home,63.3,19,7.3,3,96.2,85.7,24,0.464,69,0.435,30,0.362,25,0.96,24,2,200,112.8,44.1,15,17,88,10.3,8,0.304,21,0.19,4,62.9,39,0.544,14.9,14,48,0.542,26,0.714,5
2019-12-01,"Anaheim Convention Center, Anaheim, California",Wake Forest,Arizona,Home,73.7,14,7.1,3,102.8,71.4,25,0.364,59,0.322,19,0.441,26,0.885,23,3,200,93.0,24.3,9,21,66,7.0,5,0.271,16,0.313,5,47.2,34,0.463,11.3,9,43,0.326,14,0.625,5
2019-12-04,"Bryce Jordan Center, University Park, Pennsylvania",Wake Forest,Penn State,Home,52.9,9,5.0,2,98.7,60.5,23,0.328,58,0.293,17,0.379,22,0.727,16,4,200,70.1,22.0,9,17,54,9.1,7,0.207,12,0.333,4,40.5,32,0.394,21.9,19,46,0.283,13,0.556,5
2019-12-07,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NC State,Wake Forest,Away,37.0,10,7.0,3,115.2,65.6,21,0.596,52,0.519,27,0.558,29,0.69,20,5,200,103.8,19.2,5,18,82,10.1,8,0.288,15,0.533,8,44.8,26,0.623,22.7,19,37,0.514,19,0.5,5
2019-12-14,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Xavier,Wake Forest,Home,42.3,11,6.7,3,101.3,72.5,29,0.536,55,0.473,26,0.491,27,0.778,21,5,200,103.9,10.3,3,22,80,7.8,6,0.291,16,0.438,7,46.4,32,0.59,16.3,13,39,0.487,19,0.545,6
2019-12-21,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",North Carolina A&T,Wake Forest,Home,57.7,15,7.9,3,85.3,73.5,25,0.467,61,0.426,26,0.443,27,0.704,19,5,200,101.3,34.3,12,18,76,14.7,11,0.393,24,0.208,5,53.6,37,0.515,16.1,14,37,0.568,21,0.583,7
2020-01-04,"Petersen Events Center, Pittsburgh, Pennsylvania",Wake Forest,Pitt,Away,71.4,15,7.9,3,100.0,75.0,27,0.567,45,0.467,21,0.556,25,0.72,18,5,200,106.2,18.5,5,15,69,4.6,3,0.511,23,0.391,9,50.8,32,0.607,20.0,14,22,0.545,12,0.615,8
2020-01-08,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Florida State,Wake Forest,Away,36.8,7,5.1,2,108.3,66.7,22,0.458,48,0.396,19,0.667,32,0.75,24,6,200,94.4,26.9,7,22,68,1.4,1,0.375,18,0.333,6,49.2,29,0.538,20.5,16,30,0.433,13,0.571,8
2020-01-11,"Cameron Indoor Stadium, Durham, North Carolina",Wake Forest,Duke,Home,34.8,8,0.0,0,126.8,61.8,21,0.455,55,0.418,23,0.291,16,0.563,9,7,200,83.1,25.0,7,18,59,8.5,6,0.236,13,0.308,4,45.2,28,0.471,20.5,16,42,0.452,19,0.533,8
2020-01-14,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Virginia Tech,Wake Forest,Away,43.5,10,10.0,3,106.7,85.3,29,0.482,55,0.418,23,0.418,23,0.739,17,8,200,93.3,18.2,6,27,70,1.3,1,0.364,20,0.35,7,52.2,35,0.531,21.7,18,35,0.457,16,0.5,8
2020-01-19,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Boston College,Wake Forest,Home,61.5,16,5.9,2,86.1,81.6,31,0.574,54,0.481,26,0.5,27,0.667,18,8,200,111.1,33.3,9,17,80,0.0,0,0.426,23,0.435,10,61.5,40,0.599,19.5,16,31,0.516,16,0.529,9
2020-01-21,"Littlejohn Coliseum, Clemson, South Carolina",Wake Forest,Clemson,Home,24.0,6,3.2,1,109.2,82.9,29,0.5,57,0.439,25,0.263,15,0.733,11,9,200,104.6,16.7,5,18,68,7.7,5,0.526,30,0.233,7,52.3,34,0.53,9.9,7,27,0.667,18,0.5,9
2020-01-26,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Virginia,Wake Forest,Away,47.1,8,6.1,2,95.6,61.9,26,0.389,54,0.315,17,0.444,24,0.875,21,10,225,92.6,35.1,13,17,63,11.8,8,0.352,19,0.421,8,49.4,39,0.482,18.9,15,35,0.257,9,0.474,9
2020-01-29,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",Wake Forest,Notre Dame,Home,48.3,14,5.0,2,121.6,69.4,25,0.525,60,0.483,29,0.35,21,0.81,17,11,200,108.1,25.8,8,23,80,5.4,4,0.233,14,0.357,5,49.3,33,0.572,15.8,13,46,0.522,24,0.45,9
2020-02-01,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Clemson,Wake Forest,Home,63.2,12,5.3,2,66.7,79.5,31,0.409,55,0.345,19,0.291,16,0.688,11,11,200,84.8,28.6,10,13,56,10.6,7,0.455,25,0.28,7,55.4,41,0.447,16.2,12,30,0.4,12,0.476,10
2020-02-05,"KFC Yum! Center, Louisville, Kentucky",Wake Forest,Louisville,Home,55.6,15,4.5,1,122.9,75.9,22,0.517,60,0.45,27,0.317,19,0.737,14,12,200,108.6,26.5,9,22,76,8.6,6,0.417,25,0.32,8,49.2,31,0.551,13.9,11,35,0.543,19,0.455,10
2020-02-08,"Carrier Dome, Syracuse, New York",Wake Forest,Syracuse,Home,65.2,15,8.6,3,98.7,78.8,26,0.426,61,0.377,23,0.443,27,0.778,21,13,200,96.1,34.4,11,23,73,7.9,6,0.443,27,0.222,6,56.9,37,0.494,17.1,15,34,0.5,17,0.435,10
2020-02-11,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",UNC,Wake Forest,Home,60.9,14,10.6,5,81.4,65.8,25,0.509,54,0.426,23,0.407,22,0.864,19,13,200,105.7,25.8,8,16,74,8.6,6,0.426,23,0.391,9,47.8,33,0.574,15.9,12,31,0.452,14,0.458,11
2020-02-15,"BankUnited Center, Coral Gables, Florida",Wake Forest,Miami (FL),Home,42.9,9,12.2,5,100.0,77.5,31,0.444,54,0.389,21,0.241,13,0.462,6,14,200,76.1,11.1,4,21,54,2.8,2,0.296,16,0.375,6,46.1,35,0.449,19.0,14,38,0.395,15,0.44,11
2020-02-19,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Georgia Tech,Wake Forest,Away,28.0,7,11.1,4,114.7,81.5,22,0.539,51,0.49,25,0.647,33,0.727,24,15,200,105.3,15.6,5,26,79,5.3,4,0.314,16,0.313,5,45.8,27,0.592,15.5,12,35,0.571,20,0.423,11
2020-02-25,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Duke,Wake Forest,Home,40.0,14,7.7,4,104.1,75.7,28,0.559,68,0.515,35,0.735,50,0.74,37,15,250,116.5,22.9,8,25,113,9.3,9,0.162,11,0.545,6,50.0,36,0.616,11.8,12,57,0.509,29,0.444,12
2020-02-29,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Notre Dame,Wake Forest,Home,66.7,18,4.7,2,102.8,78.6,33,0.526,58,0.466,27,0.466,27,0.852,23,15,200,118.3,27.6,8,16,84,1.4,1,0.259,15,0.467,7,57.7,41,0.593,10.3,8,43,0.465,20,0.464,13
2020-03-03,"Dean Smith Center, Chapel Hill, North Carolina",Wake Forest,UNC,Home,60.7,17,4.5,2,124.0,79.4,27,0.56,58,0.483,28,0.379,22,0.818,18,16,200,110.7,21.4,6,23,83,6.7,5,0.345,20,0.45,9,53.2,33,0.606,16.1,13,38,0.5,19,0.448,13
2020-03-06,"PNC Arena, Raleigh, North Carolina",Wake Forest,NC State,Home,48.1,13,2.7,1,120.0,80.8,21,0.535,57,0.474,27,0.123,7,0.429,3,17,200,91.4,13.3,4,10,64,8.6,6,0.316,18,0.389,7,44.6,25,0.53,20.0,15,39,0.513,20,0.433,13
2020-03-10,"Greensboro Coliseum, Greensboro, North Carolina",Pitt,Wake Forest,Away,55.6,15,6.1,3,117.4,67.7,21,0.525,59,0.458,27,0.237,14,0.714,10,18,200,104.3,43.3,13,17,72,2.9,2,0.373,22,0.364,8,55.7,34,0.548,21.6,18,37,0.514,19,0.419,13
