date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-12-02,"McCarthey Athletic Center, Spokane, Washington",Washington State,Gonzaga,Home,30.8,8,12.9,4,104.2,65.4,18,0.452,63,0.413,26,0.317,20,0.6,12,1,200.0,97.2,41.5,16,21,69,18.3,13,0.222,14.0,0.357,5.0,50.7,34,0.476,17.3,13,49.0,0.429,21.0,0.857,6
2009-12-05,"Bramlage Coliseum, Manhattan, Kansas",Washington State,Kansas State,Home,70.0,14,12.8,5,113.2,54.3,19,0.488,42,0.476,20,0.833,35,0.8,28,2,200.0,90.8,42.1,8,24,69,9.2,7,0.143,6.0,0.167,1.0,50.0,27,0.588,30.3,25,36.0,0.528,19.0,0.75,6
2009-12-19,"Toyota Center, Kennewick, Washington",Washington State,Portland State,Away,75.8,25,7.9,3,104.5,63.2,25,0.76,52,0.635,33,0.365,19,0.737,14,2,200.0,140.9,45.0,8,16,93,7.6,5,0.308,16.0,0.813,13.0,56.9,33,0.762,18.8,13,36.0,0.556,20.0,0.818,9
2009-12-22,"KeyArena, Seattle, Washington",Washington State,LSU,Away,57.9,11,4.8,2,94.6,60.0,26,0.418,49,0.388,19,0.816,40,0.775,31,2,225.0,97.3,23.3,5,21,72,10.8,8,0.306,15.0,0.2,3.0,44.3,31,0.529,16.3,13,34.0,0.471,16.0,0.833,10
2009-12-31,"Friel Court, Pullman, Washington",Oregon,Washington State,Away,42.3,11,9.4,5,111.0,55.3,22,0.437,63,0.413,26,0.667,42,0.81,34,3,250.0,108.5,42.4,13,14,89,7.3,6,0.254,16.0,0.188,3.0,49.3,35,0.536,13.8,13,47.0,0.489,23.0,0.769,10
2010-01-02,"Friel Court, Pullman, Washington",Oregon State,Washington State,Home,59.1,13,10.7,3,96.8,61.3,19,0.57,43,0.512,22,0.674,29,0.552,16,3,200.0,104.8,40.9,9,15,65,12.9,8,0.302,13.0,0.385,5.0,52.8,28,0.572,20.1,14,30.0,0.567,17.0,0.786,11
2010-01-08,"McKale Center, Tucson, Arizona",Washington State,Arizona,Away,39.3,11,11.1,4,108.6,71.0,22,0.545,55,0.509,28,0.455,25,0.72,18,3,200.0,111.4,48.0,12,18,78,4.3,3,0.182,10.0,0.4,4.0,60.7,34,0.583,19.5,16,45.0,0.533,24.0,0.8,12
2010-01-10,"Wells Fargo Arena, Tempe, Arizona",Washington State,Arizona State,Home,35.3,6,10.8,4,114.5,68.0,19,0.316,57,0.298,17,0.281,16,0.625,10,4,200.0,74.2,32.5,11,10,46,3.2,2,0.228,13.0,0.154,2.0,46.2,30,0.356,14.7,11,44.0,0.341,15.0,0.75,12
2010-01-14,"Friel Court, Pullman, Washington",California,Washington State,Away,36.4,12,10.0,4,125.7,63.0,19,0.578,64,0.516,33,0.266,17,0.824,14,5,200.0,118.9,40.0,10,18,88,8.1,6,0.359,23.0,0.348,8.0,50.9,29,0.61,16.4,14,41.0,0.61,25.0,0.706,12
2010-01-21,"Galen Center, Los Angeles, California",Washington State,USC,Away,45.5,10,14.6,7,92.3,59.5,25,0.51,49,0.449,22,0.592,29,0.586,17,5,200.0,103.1,33.3,6,15,67,4.6,3,0.286,14.0,0.429,6.0,48.4,31,0.534,15.1,11,35.0,0.457,16.0,0.737,14
2010-01-23,"Pauley Pavilion, Los Angeles, California",Washington State,UCLA,Home,47.6,10,0.0,0,112.1,73.9,20,0.441,59,0.356,21,0.254,15,0.667,10,6,200.0,93.9,36.8,11,23,62,3.0,2,0.475,28.0,0.357,10.0,50.8,31,0.469,17.6,14,31.0,0.355,11.0,0.7,14
2010-01-30,"Bank of America Arena, Seattle, Washington",Washington State,Washington,Home,55.0,11,9.6,5,117.9,57.9,24,0.371,62,0.323,20,0.548,34,0.529,18,7,200.0,82.1,28.9,11,22,64,5.1,4,0.323,20.0,0.3,6.0,42.2,35,0.409,15.4,14,42.0,0.333,14.0,0.667,14
2010-02-04,"Friel Court, Pullman, Washington",Arizona State,Washington State,Away,29.2,7,10.3,3,117.4,72.7,17,0.447,57,0.421,24,0.526,30,0.633,19,8,200.0,101.4,37.1,12,23,70,15.9,11,0.316,18.0,0.167,3.0,50.9,29,0.491,11.4,9,39.0,0.538,21.0,0.636,14
2010-02-06,"Friel Court, Pullman, Washington",Arizona,Washington State,Home,46.2,12,19.4,7,93.8,67.9,20,0.539,51,0.51,26,0.549,28,0.821,23,8,200.0,121.9,48.1,12,15,78,9.4,6,0.196,10.0,0.3,3.0,58.2,32,0.607,18.1,13,41.0,0.561,23.0,0.652,15
2010-02-11,"Maples Pavilion, Stanford, California",Washington State,Stanford,Home,56.5,13,8.7,2,93.8,76.2,19,0.464,55,0.418,23,0.182,10,0.7,7,9,200.0,90.6,20.0,3,21,58,12.5,8,0.309,17.0,0.294,5.0,43.1,22,0.485,15.6,11,38.0,0.474,18.0,0.625,15
2010-02-13,"Haas Pavilion, Berkeley, California",Washington State,California,Home,48.1,13,30.8,12,128.4,58.8,20,0.575,53,0.509,27,0.245,13,0.692,9,10,200.0,104.5,50.0,11,17,70,6.0,4,0.34,18.0,0.389,7.0,55.4,31,0.591,24.4,18,35.0,0.571,20.0,0.6,15
2010-02-18,"Friel Court, Pullman, Washington",UCLA,Washington State,Away,44.4,8,3.1,1,118.3,64.3,12,0.39,50,0.36,18,0.3,15,0.8,12,11,200.0,85.0,37.5,9,14,51,15.0,9,0.38,19.0,0.158,3.0,45.7,21,0.446,19.8,14,31.0,0.484,15.0,0.577,15
2010-02-20,"Friel Court, Pullman, Washington",USC,Washington State,Home,58.8,10,13.9,5,81.0,69.0,23,0.42,44,0.386,17,0.545,24,0.583,14,11,200.0,87.9,43.3,10,10,51,8.6,5,0.295,13.0,0.231,3.0,55.9,33,0.46,21.6,15,31.0,0.452,14.0,0.593,16
2010-02-27,"Friel Court, Pullman, Washington",Washington,Washington State,Away,55.6,10,14.3,5,86.8,64.3,18,0.328,61,0.295,18,0.295,18,0.667,12,12,200.0,76.5,34.9,15,16,52,11.8,8,0.23,14.0,0.286,4.0,46.5,33,0.374,16.9,14,47.0,0.298,14.0,0.571,16
2010-03-04,"Gill Coliseum, Corvallis, Oregon",Washington State,Oregon State,Home,53.3,8,14.7,5,93.7,61.3,20,0.45,40,0.375,15,0.575,23,0.826,19,13,200.0,87.3,34.8,7,16,55,11.1,7,0.35,14.0,0.429,6.0,50.0,27,0.54,28.5,20,26.0,0.346,9.0,0.552,16
2010-03-06,"McArthur Court, Eugene, Oregon",Washington State,Oregon,Home,60.0,12,7.7,3,105.7,75.0,23,0.429,56,0.357,20,0.411,23,0.783,18,14,200.0,94.3,25.7,7,20,66,7.1,5,0.518,29.0,0.276,8.0,47.6,30,0.493,14.3,11,27.0,0.444,12.0,0.533,16
2010-03-10,"Staples Center, Los Angeles, California",Oregon,Washington State,Away,62.1,18,10.2,5,110.8,62.1,18,0.54,63,0.46,29,0.397,25,0.48,12,15,225.0,108.1,46.3,19,11,80,8.1,6,0.333,21.0,0.476,10.0,52.9,37,0.534,18.7,17,42.0,0.452,19.0,0.516,16
2010-11-13,"Friel Court, Pullman, Washington",Southern,Washington State,Home,37.5,12,3.1,1,63.5,87.8,36,0.574,61,0.525,32,0.344,21,0.762,16,0,200.0,116.2,50.0,13,16,86,12.2,9,0.344,21.0,0.286,6.0,73.1,49,0.606,17.6,15,40.0,0.65,26.0,1.0,1
2010-11-16,"Friel Court, Pullman, Washington",Idaho,Washington State,Home,61.8,21,17.1,6,95.9,74.1,20,0.627,59,0.576,34,0.305,18,0.778,14,0,200.0,118.9,17.4,4,20,88,12.2,9,0.305,18.0,0.333,6.0,48.0,24,0.651,15.2,12,41.0,0.683,28.0,1.0,2
2010-11-23,"KeyArena, Seattle, Washington",Portland,Washington State,Home,40.0,12,28.9,11,98.6,58.3,21,0.696,51,0.588,30,0.373,19,0.684,13,0,200.0,121.7,26.1,6,18,84,7.2,5,0.412,21.0,0.524,11.0,45.8,27,0.7,20.2,15,30.0,0.633,19.0,1.0,3
2010-11-26,"Save Mart Center, Fresno, California",Washington State,Fresno State,Away,50.0,13,0.0,0,82.1,66.7,28,0.545,56,0.464,26,0.179,10,0.5,5,0,200.0,98.5,12.0,3,16,66,9.0,6,0.446,25.0,0.36,9.0,46.3,31,0.543,14.2,10,31.0,0.548,17.0,1.0,4
2010-11-30,"Friel Court, Pullman, Washington",Sacramento State,Washington State,Home,60.6,20,6.3,2,52.2,81.3,26,0.587,63,0.524,33,0.333,21,0.476,10,0,200.0,121.7,31.4,11,18,84,18.8,13,0.317,20.0,0.4,8.0,55.2,37,0.576,8.8,7,43.0,0.581,25.0,1.0,5
2010-12-03,"Friel Court, Pullman, Washington",Kansas State,Washington State,Away,38.1,8,11.1,4,87.5,51.5,17,0.395,57,0.368,21,0.404,23,0.565,13,1,200.0,80.6,30.6,11,18,58,12.5,9,0.281,16.0,0.188,3.0,40.6,28,0.427,18.3,15,41.0,0.439,18.0,0.833,5
2010-12-08,"Friel Court, Pullman, Washington",Gonzaga,Washington State,Home,70.0,21,10.0,3,83.1,59.3,16,0.592,60,0.5,30,0.283,17,0.588,10,1,200.0,114.1,24.2,8,21,81,19.7,14,0.35,21.0,0.524,11.0,40.0,24,0.595,12.9,10,39.0,0.487,19.0,0.857,6
2010-12-10,"Spokane Veterans Memorial Arena, Spokane, Washington",Texas-Rio Grande Valley,Washington State,Home,56.7,17,16.7,5,80.0,72.7,24,0.583,60,0.5,30,0.133,8,0.5,4,1,200.0,113.8,29.4,10,18,74,6.2,4,0.367,22.0,0.455,10.0,50.7,34,0.58,13.6,10,38.0,0.526,20.0,0.875,7
2010-12-19,"Leavey Center, Santa Clara, California",Washington State,Santa Clara,Away,57.7,15,21.4,6,97.5,66.7,26,0.467,61,0.426,26,0.607,37,0.757,28,1,225.0,104.9,28.2,11,24,85,8.6,7,0.279,17.0,0.294,5.0,47.4,37,0.541,15.3,14,44.0,0.477,21.0,0.889,8
