date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-18,"Frank Erwin Center, Austin, Texas",Western Carolina,Texas,Home,41.2,7,8.8,3,102.8,56.5,16,0.285,65,0.262,17,0.169,11,0.364,4,1,200.0,57.7,32.0,13,26,41,15.5,11,0.292,19.0,0.158,3.0,39.7,29,0.292,17.7,15,46.0,0.304,14.0,0.5,1
2009-12-07,"Carver Arena, Peoria, Illinois",Western Carolina,Bradley,Away,60.7,17,0.0,0,103.1,70.3,26,0.57,57,0.491,28,0.211,12,0.833,10,1,200.0,115.4,27.6,8,23,75,10.8,7,0.474,27.0,0.333,9.0,51.5,34,0.598,15.0,10,30.0,0.633,19.0,0.889,8
2009-12-10,"Ramsey Center, Cullowhee, North Carolina",Campbell,Western Carolina,Home,68.2,15,22.4,11,86.8,65.8,26,0.519,52,0.423,22,0.288,15,0.8,12,1,200.0,97.1,30.8,7,17,66,8.8,6,0.423,22.0,0.455,10.0,51.6,33,0.558,21.4,15,30.0,0.4,12.0,0.9,9
2009-12-12,"Freedom Hall, Louisville, Kentucky",Western Carolina,Louisville,Away,46.2,12,5.9,2,100.0,69.4,25,0.608,51,0.51,26,0.804,41,0.707,29,1,200.0,109.6,26.7,8,25,91,12.0,10,0.529,27.0,0.37,10.0,50.0,33,0.646,22.5,20,24.0,0.667,16.0,0.909,10
2009-12-22,"Littlejohn Coliseum, Clemson, South Carolina",Western Carolina,Clemson,Home,69.6,16,0.0,0,116.2,56.5,15,0.421,63,0.365,23,0.111,7,0.571,4,2,200.0,83.8,35.9,12,21,57,8.8,6,0.476,30.0,0.233,7.0,43.5,27,0.43,18.5,15,33.0,0.485,16.0,0.833,10
2009-12-30,"Ramsey Center, Cullowhee, North Carolina",UNC Asheville,Western Carolina,Home,69.0,20,3.0,1,90.5,61.3,20,0.559,59,0.492,29,0.525,31,0.677,21,2,200.0,103.6,18.2,5,27,87,17.9,15,0.339,20.0,0.4,8.0,39.1,25,0.59,18.1,16,39.0,0.538,21.0,0.846,11
2010-01-14,"Ramsey Center, Cullowhee, North Carolina",UNC Greensboro,Western Carolina,Home,50.0,12,12.8,5,94.5,58.1,19,0.509,55,0.436,24,0.509,28,0.821,23,3,200.0,108.2,40.7,10,20,79,13.7,10,0.309,17.0,0.471,8.0,50.0,29,0.578,18.2,14,38.0,0.421,16.0,0.812,13
2010-01-16,"Ramsey Center, Cullowhee, North Carolina",Elon,Western Carolina,Home,50.0,15,13.3,4,119.1,68.0,19,0.548,63,0.476,30,0.27,17,0.824,14,3,200.0,122.1,35.5,9,22,83,13.2,9,0.349,22.0,0.409,9.0,50.0,28,0.584,10.2,8,41.0,0.512,21.0,0.824,14
2010-01-20,"Belk Arena, Davidson, North Carolina",Western Carolina,Davidson,Away,44.0,11,3.8,1,95.7,62.2,24,0.557,53,0.472,25,0.566,30,0.6,18,3,200.0,110.0,16.1,4,28,77,7.1,5,0.358,19.0,0.474,9.0,41.2,28,0.572,10.8,8,34.0,0.471,16.0,0.833,15
2010-01-23,"Holmes Convocation Center, Boone, North Carolina",Western Carolina,Appalachian State,Home,63.0,17,0.0,0,119.2,69.6,17,0.449,69,0.391,27,0.362,25,0.48,12,4,200.0,101.4,43.2,18,32,74,11.0,8,0.377,26.0,0.308,8.0,52.2,35,0.457,12.1,11,43.0,0.442,19.0,0.789,15
