date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Charles Koch Arena, Wichita, Kansas",Omaha,Wichita State,Home,57.7,15,18.9,7,77.1,87.5,28,0.444,71,0.366,26,0.169,12,0.417,5,0,200,97.1,29.5,13,14,68,11.4,8,0.437,31,0.355,11,53.9,41,0.443,8.4,7,40,0.375,15,1.0,1
2019-11-09,"Charles Koch Arena, Wichita, Kansas",Texas Southern,Wichita State,Home,37.5,6,17.5,7,78.8,77.8,28,0.265,66,0.242,16,0.636,42,0.81,34,0,200,86.3,35.1,13,23,69,12.5,10,0.242,16,0.188,3,56.2,41,0.401,8.7,8,50,0.26,13,1.0,2
2019-11-16,"Charles Koch Arena, Wichita, Kansas",UT-Martin,Wichita State,Home,72.5,29,7.7,2,86.1,80.6,29,0.669,71,0.563,40,0.141,10,0.8,8,0,200,143.1,37.9,11,15,103,11.1,8,0.394,28,0.536,15,61.5,40,0.68,9.6,8,43,0.581,25,1.0,3
2019-11-19,"Charles Koch Arena, Wichita, Kansas",Gardner-Webb,Wichita State,Home,59.3,16,8.3,2,81.3,85.2,23,0.553,57,0.474,27,0.263,15,0.733,11,0,200,115.6,37.0,10,15,74,9.4,6,0.509,29,0.31,9,61.1,33,0.577,14.7,11,28,0.643,18,1.0,4
2019-11-23,"Charles Koch Arena, Wichita, Kansas",Oral Roberts,Wichita State,Home,60.7,17,19.0,8,85.5,70.7,29,0.526,58,0.483,28,0.207,12,0.583,7,0,200,98.6,29.0,9,16,68,1.4,1,0.259,15,0.333,5,52.8,38,0.534,17.0,13,43,0.535,23,1.0,5
2019-11-26,"Hard Rock Hotel Riviera Maya, Cancun",Wichita State,South Carolina,Away,73.9,17,6.5,3,64.4,74.4,29,0.473,56,0.411,23,0.411,23,0.739,17,0,200,95.9,31.3,10,19,70,12.3,9,0.482,27,0.259,7,54.9,39,0.523,19.5,16,29,0.552,16,1.0,6
2019-11-27,"Hard Rock Hotel Riviera Maya, Cancun",Wichita State,West Virginia,Home,31.6,6,11.4,5,102.7,55.9,19,0.355,62,0.306,19,0.452,28,0.679,19,1,200,86.3,26.8,11,26,63,4.1,3,0.403,25,0.24,6,40.0,30,0.418,10.8,9,37,0.351,13,0.857,6
2019-12-05,"Charles Koch Arena, Wichita, Kansas",Central Arkansas,Wichita State,Home,62.9,22,7.1,2,78.4,89.3,25,0.547,74,0.473,35,0.243,18,0.778,14,1,200,108.0,28.1,9,22,95,18.2,16,0.378,28,0.393,11,56.7,34,0.575,16.3,16,46,0.522,24,0.875,7
2019-12-08,"Gallagher-Iba Arena, Stillwater, Oklahoma",Wichita State,Oklahoma State,Away,64.3,18,11.1,4,82.4,73.0,27,0.532,63,0.444,28,0.317,20,0.65,13,1,200,108.1,37.5,12,20,80,13.5,10,0.413,26,0.423,11,56.5,39,0.552,18.2,16,37,0.459,17,0.889,8
2019-12-14,"Intrust Bank Arena, Wichita, Kansas",Oklahoma,Wichita State,Home,51.9,14,8.3,3,98.7,92.1,35,0.47,66,0.409,27,0.303,20,0.9,18,1,200,105.3,32.4,12,14,80,2.6,2,0.333,22,0.364,8,62.7,47,0.53,11.8,10,44,0.432,19,0.9,9
2019-12-21,"Charles Koch Arena, Wichita, Kansas",VCU,Wichita State,Home,60.0,15,17.6,6,85.1,70.6,24,0.466,59,0.424,25,0.525,31,0.581,18,1,200,98.6,38.1,16,20,73,12.2,9,0.237,14,0.357,5,52.6,40,0.495,18.1,16,45,0.444,20,0.909,10
2019-12-29,"Charles Koch Arena, Wichita, Kansas",Abilene Christian,Wichita State,Home,55.2,16,15.2,5,86.8,83.3,25,0.561,57,0.509,29,0.509,29,0.69,20,1,200,110.5,39.4,13,20,84,10.5,8,0.298,17,0.353,6,60.3,38,0.593,18.7,16,40,0.575,23,0.917,11
2020-01-01,"Charles Koch Arena, Wichita, Kansas",East Carolina,Wichita State,Home,60.0,15,7.0,3,95.8,75.9,22,0.518,57,0.439,25,0.509,29,0.552,16,1,200,104.2,31.4,11,11,75,16.7,12,0.474,27,0.333,9,51.6,33,0.53,13.6,11,30,0.533,16,0.923,12
2020-01-04,"Charles Koch Arena, Wichita, Kansas",Ole Miss,Wichita State,Home,39.1,9,5.9,2,79.4,79.4,27,0.542,48,0.479,23,0.688,33,0.667,22,1,200,108.8,30.8,8,19,74,11.8,8,0.438,21,0.286,6,58.3,35,0.581,13.8,10,27,0.63,17,0.929,13
2020-01-09,"Charles Koch Arena, Wichita, Kansas",Memphis,Wichita State,Home,45.5,10,8.6,3,87.0,64.1,25,0.388,67,0.328,22,0.522,35,0.686,24,1,200,98.7,34.9,15,24,76,9.1,7,0.328,22,0.364,8,48.8,40,0.454,10.8,10,45,0.311,14,0.933,14
2020-01-12,"XL Center, Hartford, Connecticut",Wichita State,UConn,Away,50.0,16,8.2,4,93.5,60.9,28,0.467,75,0.427,32,0.32,24,0.792,19,1,250,96.7,28.6,10,28,89,10.9,10,0.253,19,0.316,6,46.9,38,0.515,17.4,18,56,0.464,26,0.938,15
2020-01-15,"Liacouras Center, Philadelphia, Pennsylvania",Wichita State,Temple,Home,42.1,8,8.8,3,86.7,86.4,19,0.325,63,0.302,19,0.254,16,0.75,12,2,200,70.7,26.3,10,20,53,13.3,10,0.333,21,0.143,3,48.3,29,0.375,15.7,13,42,0.381,16,0.882,15
2020-01-18,"Charles Koch Arena, Wichita, Kansas",Houston,Wichita State,Away,70.6,12,0.0,0,98.5,73.1,19,0.366,56,0.304,17,0.429,24,0.542,13,3,200,81.8,33.3,14,18,54,6.1,4,0.446,25,0.28,7,48.5,33,0.401,16.3,13,31,0.323,10,0.833,15
2020-01-21,"Sun Dome, Tampa, Florida",Wichita State,South Florida,Away,52.6,10,8.0,2,72.9,88.9,24,0.442,52,0.365,19,0.25,13,0.769,10,3,200,94.9,29.0,9,19,56,15.3,9,0.423,22,0.364,8,56.9,33,0.481,12.2,8,30,0.367,11,0.842,16
