date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Sanford Pentagon, Sioux Falls, South Dakota",Saint Mary's,Wisconsin,Away,36.4,8,9.3,4,92.9,64.5,20,0.471,52,0.423,22,0.385,20,0.7,14,1,225,90.0,21.4,6,14,63,1.4,1,0.365,19,0.263,5,44.1,26,0.512,18.7,14,33,0.515,17,0.0,0
2019-11-08,"Kohl Center, Madison, Wisconsin",Eastern Illinois,Wisconsin,Home,33.3,7,27.3,12,77.6,74.4,29,0.409,55,0.382,21,0.436,24,0.833,20,1,198,97.0,34.3,12,13,65,9.0,6,0.327,18,0.167,3,55.4,41,0.489,14.4,11,37,0.486,18,0.5,1
2019-11-13,"Kohl Center, Madison, Wisconsin",McNeese State,Wisconsin,Home,65.5,19,12.5,3,94.0,81.8,18,0.618,55,0.527,29,0.327,18,0.833,15,1,200,123.9,26.1,6,15,83,14.9,10,0.509,28,0.357,10,53.3,24,0.653,12.5,9,27,0.704,19,0.667,2
2019-11-17,"Kohl Center, Madison, Wisconsin",Marquette,Wisconsin,Home,45.8,11,9.4,3,88.4,82.8,24,0.527,56,0.429,24,0.357,20,0.9,18,1,200,111.6,29.0,9,19,77,8.7,6,0.411,23,0.478,11,55.0,33,0.588,15.6,12,33,0.394,13,0.75,3
2019-11-21,"Kohl Center, Madison, Wisconsin",Green Bay,Wisconsin,Home,75.0,24,2.4,1,97.2,90.9,30,0.637,62,0.516,32,0.161,10,0.9,9,1,200,122.2,28.6,8,15,88,4.2,3,0.5,31,0.484,15,62.3,38,0.659,16.4,13,31,0.548,17,0.8,4
2019-11-25,"Barclays Center, Brooklyn, New York",Wisconsin,Richmond,Home,41.2,7,5.1,2,96.9,87.5,28,0.41,50,0.34,17,0.28,14,0.786,11,2,200,81.3,18.2,6,14,52,9.4,6,0.54,27,0.259,7,52.3,34,0.459,18.8,13,23,0.435,10,0.667,4
2019-11-26,"Barclays Center, Brooklyn, New York",Wisconsin,New Mexico,Home,33.3,6,2.7,1,95.2,75.9,22,0.358,53,0.34,18,0.302,16,0.75,12,3,200,80.6,31.4,11,16,50,8.1,5,0.491,26,0.077,2,51.6,33,0.413,16.7,12,27,0.593,16,0.571,4
2019-12-04,"PNC Arena, Raleigh, North Carolina",Wisconsin,NC State,Home,33.3,7,11.1,4,113.1,87.5,21,0.42,56,0.375,21,0.268,15,0.467,7,4,200,88.5,39.4,13,11,54,4.9,3,0.411,23,0.217,5,59.6,34,0.428,12.6,9,33,0.485,16,0.5,4
2019-12-07,"Kohl Center, Madison, Wisconsin",Indiana,Wisconsin,Home,43.3,13,16.7,6,101.6,66.7,20,0.607,56,0.536,30,0.321,18,0.889,16,4,200,133.3,25.0,6,18,84,7.9,5,0.357,20,0.4,8,48.1,26,0.651,5.9,4,36,0.611,22,0.556,5
2019-12-11,"Louis Brown Athletic Center, New Brunswick, New Jersey",Wisconsin,Rutgers,Home,39.1,9,9.1,4,105.9,63.3,19,0.563,48,0.479,23,0.333,16,0.688,11,5,200,95.6,11.5,3,17,65,7.4,5,0.479,23,0.348,8,39.3,22,0.585,20.3,14,25,0.6,15,0.5,5
2019-12-21,"Kohl Center, Madison, Wisconsin",Milwaukee,Wisconsin,Home,65.4,17,11.4,4,97.0,81.8,27,0.596,52,0.5,26,0.5,26,0.808,21,5,200,125.8,25.9,7,19,83,9.1,6,0.423,22,0.455,10,56.7,34,0.645,12.4,9,30,0.533,16,0.545,6
2019-12-28,"Thompson-Boling Arena, Knoxville, Tennessee",Wisconsin,Tennessee,Away,52.0,13,7.1,2,75.0,68.8,22,0.535,57,0.439,25,0.158,9,0.778,7,5,200,106.3,13.8,4,20,68,10.9,7,0.456,26,0.423,11,42.6,26,0.555,12.9,9,31,0.452,14,0.583,7
2019-12-31,"Kohl Center, Madison, Wisconsin",Rider,Wisconsin,Home,75.0,18,14.9,7,53.6,87.2,34,0.555,55,0.436,24,0.127,7,0.571,4,5,200,94.2,15.6,5,14,65,8.7,6,0.564,31,0.419,13,54.9,39,0.557,19.4,14,24,0.458,11,0.615,8
2020-01-03,"Value City Arena, Columbus, Ohio",Wisconsin,Ohio State,Away,38.1,8,0.0,0,91.9,78.6,22,0.429,56,0.375,21,0.286,16,0.813,13,5,200,98.4,30.3,10,16,61,8.1,5,0.411,23,0.261,6,52.5,32,0.48,11.3,8,33,0.455,15,0.643,9
2020-01-08,"Kohl Center, Madison, Wisconsin",Illinois,Wisconsin,Away,21.7,5,14.6,6,110.9,78.6,22,0.472,53,0.434,23,0.434,23,0.87,20,6,200,109.4,31.0,9,16,70,4.7,3,0.283,15,0.267,4,54.4,31,0.548,10.0,7,38,0.5,19,0.6,9
2020-01-11,"Bryce Jordan Center, University Park, Pennsylvania",Wisconsin,Penn State,Away,45.5,10,6.5,2,77.8,83.9,26,0.455,55,0.4,22,0.255,14,0.571,8,6,200,92.1,25.0,9,17,58,4.8,3,0.382,21,0.286,6,52.2,35,0.47,12.8,9,34,0.471,16,0.625,10
2020-01-14,"Kohl Center, Madison, Wisconsin",Maryland,Wisconsin,Home,50.0,11,8.0,2,96.4,65.5,19,0.52,49,0.449,22,0.163,8,0.625,5,6,200,100.0,13.8,4,13,56,8.9,5,0.429,21,0.333,7,39.7,23,0.53,10.3,6,28,0.536,15,0.647,11
2020-01-17,"Breslin Events Center, East Lansing, Michigan",Wisconsin,Michigan State,Home,52.4,11,7.1,3,101.5,71.9,23,0.39,59,0.356,21,0.186,11,0.818,9,7,200,83.3,16.7,6,12,55,7.6,5,0.322,19,0.211,4,42.6,29,0.428,12.4,9,40,0.425,17,0.611,11
2020-01-21,"Kohl Center, Madison, Wisconsin",Nebraska,Wisconsin,Home,79.3,23,10.5,4,100.0,78.4,29,0.603,63,0.46,29,0.127,8,0.75,6,7,200,120.6,26.5,9,16,82,7.4,5,0.54,34,0.529,18,53.5,38,0.614,13.1,10,29,0.379,11,0.632,12
2020-01-24,"Mackey Arena, West Lafayette, Indiana",Wisconsin,Purdue,Home,60.0,12,12.2,5,116.7,46.4,13,0.511,46,0.435,20,0.174,8,0.5,4,8,200,85.0,7.7,2,9,51,5.0,3,0.478,22,0.318,7,27.8,15,0.512,18.2,11,24,0.542,13,0.6,12
2020-01-27,"Carver-Hawkeye Arena, Iowa City, Iowa",Wisconsin,Iowa,Home,50.0,12,10.0,4,95.8,72.5,29,0.438,64,0.375,24,0.172,11,0.545,6,9,200,87.3,22.5,9,28,62,2.8,2,0.438,28,0.286,8,47.5,38,0.448,11.6,9,36,0.444,16,0.571,12
2020-02-01,"Kohl Center, Madison, Wisconsin",Michigan State,Wisconsin,Home,45.5,10,10.5,4,91.3,78.8,26,0.481,54,0.407,22,0.278,15,0.8,12,9,200,92.8,9.7,3,9,64,11.6,8,0.463,25,0.32,8,45.3,29,0.524,14.2,10,29,0.483,14,0.591,13
2020-02-05,"Williams Arena, Minneapolis, Minnesota",Wisconsin,Minnesota,Home,47.4,9,7.7,3,107.7,77.1,27,0.336,67,0.284,19,0.164,11,0.636,7,10,200,80.0,28.3,13,15,52,1.5,1,0.433,29,0.241,7,49.4,40,0.36,7.7,6,38,0.316,12,0.565,13
2020-02-09,"Kohl Center, Madison, Wisconsin",Ohio State,Wisconsin,Home,70.8,17,16.7,5,93.4,66.7,18,0.517,58,0.414,24,0.207,12,0.833,10,10,200,114.8,32.3,10,16,70,11.5,7,0.552,32,0.375,12,48.3,28,0.549,11.2,8,26,0.462,12,0.583,14
2020-02-15,"Pinnacle Bank Arena, Lincoln, Nebraska",Wisconsin,Nebraska,Away,61.3,19,10.0,4,88.9,80.0,32,0.611,63,0.492,31,0.079,5,0.8,4,10,200,112.5,18.8,6,14,81,4.2,3,0.492,31,0.484,15,52.8,38,0.62,14.4,11,32,0.5,16,0.6,15
