date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Ervin J. Nutter Center, Dayton, Ohio","Central State (OH)
			",Wright State,Home,51.4,19,7.5,3,97.5,69.4,25,0.614,70,0.529,37,0.171,12,0.833,10,0,200,121.5,38.7,12,14,96,16.5,13,0.429,30,0.4,12,55.2,37,0.634,17.5,16,40,0.625,25,1.0,1
2019-11-09,"Millett Hall, Oxford, Ohio",Wright State,Miami (OH),Away,22.9,8,9.8,4,101.3,81.1,30,0.507,75,0.467,35,0.267,20,0.6,12,0,200,110.0,40.5,17,18,88,10.0,8,0.24,18,0.333,6,59.5,47,0.521,13.4,13,57,0.509,29,1.0,2
2019-11-12,"Eblen Center, Cookeville, Tennessee",Wright State,Tennessee Tech,Away,54.8,17,4.3,2,102.6,80.6,29,0.48,74,0.419,31,0.23,17,0.824,14,0,225,109.0,46.5,20,13,85,6.4,5,0.392,29,0.31,9,62.0,49,0.518,15.5,15,45,0.489,22,1.0,3
2019-11-16,"Ervin J. Nutter Center, Dayton, Ohio",Kent State,Wright State,Away,42.3,11,6.1,2,97.3,72.4,21,0.484,62,0.419,26,0.274,17,0.647,11,1,200,95.9,25.0,9,18,71,6.8,5,0.371,23,0.348,8,46.2,30,0.507,15.8,13,39,0.462,18,0.75,3
2019-11-20,"Ervin J. Nutter Center, Dayton, Ohio","Urbana
			",Wright State,Home,63.6,21,12.9,4,72.9,75.7,28,0.644,59,0.559,33,0.305,18,0.667,12,1,200,125.7,40.0,10,10,88,15.7,11,0.339,20,0.5,10,61.3,38,0.651,15.2,12,39,0.59,23,0.8,4
2019-11-25,"Germain Arena, Estero, Florida",Weber State,Wright State,Home,32.1,9,5.1,2,86.4,73.0,27,0.526,58,0.483,28,0.241,14,0.786,11,1,200,109.1,22.2,6,9,72,10.6,7,0.293,17,0.294,5,51.6,33,0.557,9.8,7,41,0.561,23,0.833,5
2019-11-26,"Germain Arena, Estero, Florida",La Salle,Wright State,Away,50.0,11,7.7,3,96.0,80.6,25,0.482,55,0.4,22,0.527,29,0.586,17,2,200,93.3,21.9,7,18,70,12.0,9,0.491,27,0.333,9,50.8,32,0.509,15.0,12,28,0.464,13,0.714,5
2019-11-27,"Germain Arena, Estero, Florida",Miami (OH),Wright State,Home,37.5,9,4.9,2,91.7,68.2,30,0.465,57,0.421,24,0.526,30,0.6,18,2,200,98.6,23.7,9,16,71,6.9,5,0.333,19,0.263,5,47.6,39,0.498,10.2,8,38,0.5,19,0.75,6
2019-12-03,"Ervin J. Nutter Center, Dayton, Ohio",Western Kentucky,Wright State,Home,39.3,11,7.8,4,96.1,84.8,28,0.47,66,0.424,28,0.303,20,0.7,14,2,200,98.7,26.3,10,11,76,7.8,6,0.379,25,0.24,6,53.5,38,0.503,12.8,11,41,0.537,22,0.778,7
2019-12-07,"Ervin J. Nutter Center, Dayton, Ohio",Indiana State,Wright State,Away,55.2,16,4.2,2,103.7,64.7,22,0.479,71,0.408,29,0.183,13,0.692,9,3,225,95.1,22.0,9,14,77,7.4,6,0.394,28,0.357,10,41.3,31,0.499,13.5,12,43,0.442,19,0.7,7
2019-12-12,"Ervin J. Nutter Center, Dayton, Ohio",Southern,Wright State,Home,37.9,11,12.3,7,81.6,66.7,30,0.5,60,0.483,29,0.467,28,0.893,25,3,200,111.8,21.4,6,14,85,9.2,7,0.233,14,0.143,2,49.3,36,0.58,10.0,8,46,0.587,27,0.727,8
2019-12-17,"Ervin J. Nutter Center, Dayton, Ohio",Mississippi Valley State,Wright State,Home,57.1,20,5.5,3,60.2,70.4,38,0.535,72,0.486,35,0.375,27,0.556,15,3,200,110.8,40.0,16,11,92,4.8,4,0.361,26,0.269,7,57.4,54,0.542,16.0,16,46,0.609,28,0.75,9
2019-12-21,"John F. Savage Hall, Toledo, Ohio",Wright State,Toledo,Away,26.9,7,10.5,4,93.5,75.0,33,0.46,62,0.419,26,0.452,28,0.786,22,3,200,102.6,22.9,8,17,79,10.4,8,0.29,18,0.278,5,51.9,41,0.525,12.9,11,44,0.477,21,0.769,10
2019-12-28,"Ervin J. Nutter Center, Dayton, Ohio",Green Bay,Wright State,Home,55.2,16,10.5,4,107.7,81.8,27,0.539,64,0.453,29,0.547,35,0.6,21,3,200,115.4,39.5,15,16,90,2.6,2,0.391,25,0.44,11,59.2,42,0.558,15.9,15,39,0.462,18,0.786,11
2019-12-30,"Ervin J. Nutter Center, Dayton, Ohio",Milwaukee,Wright State,Home,66.7,20,2.7,1,93.3,83.3,25,0.634,56,0.536,30,0.339,19,0.579,11,3,200,109.3,27.6,8,16,82,2.7,2,0.339,19,0.579,11,55.9,33,0.631,20.9,17,37,0.514,19,0.8,12
2020-01-03,"Athletics Center O'rena, Rochester, Michigan",Wright State,Oakland,Away,58.3,21,7.1,3,92.0,72.7,24,0.643,63,0.571,36,0.317,20,0.75,15,3,200,128.0,44.4,12,17,96,10.7,8,0.302,19,0.474,9,60.0,36,0.662,15.3,13,44,0.614,27,0.812,13
2020-01-05,"Calihan Hall, Detroit, Michigan",Wright State,Detroit,Away,52.0,13,13.2,5,100.0,75.0,21,0.406,69,0.362,25,0.304,21,0.667,14,3,200,101.4,38.6,17,12,70,11.6,8,0.246,17,0.353,6,52.8,38,0.443,9.3,8,52,0.365,19,0.824,14
2020-01-10,"Indiana Farmers Coliseum, Indianapolis, Indiana",Wright State,IUPUI,Away,62.1,18,23.5,8,89.7,74.4,32,0.486,69,0.42,29,0.464,32,0.531,17,3,200,107.7,35.9,14,25,84,7.7,6,0.333,23,0.391,9,56.1,46,0.499,9.8,9,46,0.435,20,0.833,15
2020-01-12,"UIC Pavilion, Chicago, Illinois",Wright State,UIC,Home,45.8,11,14.6,7,98.7,65.2,15,0.417,66,0.364,24,0.424,28,0.607,17,4,200,93.5,37.8,17,15,72,15.6,12,0.364,24,0.292,7,47.1,32,0.454,14.2,13,42,0.405,17,0.789,15
2020-01-16,"Ervin J. Nutter Center, Dayton, Ohio",Cleveland State,Wright State,Home,63.0,17,11.8,6,86.1,59.0,23,0.492,63,0.429,27,0.381,24,0.542,13,4,200,104.2,35.9,14,22,75,8.3,6,0.317,20,0.4,8,47.4,37,0.504,16.0,14,43,0.442,19,0.8,16
2020-01-18,"Ervin J. Nutter Center, Dayton, Ohio",Youngstown State,Wright State,Home,44.4,12,14.6,7,98.6,61.5,24,0.447,66,0.409,27,0.455,30,0.667,20,4,200,108.2,34.1,14,14,79,8.2,6,0.197,13,0.385,5,47.5,38,0.492,7.0,6,53,0.415,22,0.81,17
2020-01-24,"Ervin J. Nutter Center, Dayton, Ohio",Northern Kentucky,Wright State,Home,55.6,20,6.8,3,88.7,75.0,30,0.712,59,0.61,36,0.288,17,0.647,11,4,200,133.8,39.1,9,15,95,5.6,4,0.373,22,0.545,12,61.9,39,0.708,17.4,14,37,0.649,24,0.818,18
2020-01-31,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",Wright State,Milwaukee,Away,22.7,5,4.9,2,81.3,82.9,29,0.411,56,0.393,22,0.464,26,0.731,19,4,200,86.7,25.8,8,18,65,6.7,5,0.196,11,0.182,2,56.1,37,0.475,19.2,16,45,0.444,20,0.826,19
2020-02-02,"Resch Center, Green Bay, Wisconsin",Wright State,Green Bay,Home,50.0,15,9.3,4,109.5,73.3,22,0.479,71,0.423,30,0.394,28,0.75,21,5,200,106.0,38.2,13,27,89,9.5,8,0.31,22,0.364,8,54.7,35,0.528,13.5,13,49,0.449,22,0.792,19
2020-02-06,"Ervin J. Nutter Center, Dayton, Ohio",Detroit,Wright State,Home,57.9,22,5.6,2,113.2,72.7,24,0.667,66,0.576,38,0.197,13,0.769,10,5,200,128.9,10.3,3,15,98,7.9,6,0.364,24,0.5,12,43.5,27,0.679,8.9,7,42,0.619,26,0.8,20
2020-02-08,"Ervin J. Nutter Center, Dayton, Ohio",Oakland,Wright State,Home,55.6,15,2.2,1,97.3,78.9,30,0.625,52,0.519,27,0.462,24,0.75,18,5,200,113.7,17.4,4,22,83,1.4,1,0.385,20,0.55,11,55.7,34,0.655,17.2,13,32,0.5,16,0.808,21
2020-02-14,"Ervin J. Nutter Center, Dayton, Ohio",UIC,Wright State,Home,44.0,11,7.7,3,74.4,78.0,32,0.491,57,0.439,25,0.368,21,0.905,19,5,200,96.2,24.1,7,15,75,9.0,7,0.386,22,0.273,6,55.7,39,0.56,21.4,18,35,0.543,19,0.815,22
2020-02-16,"Ervin J. Nutter Center, Dayton, Ohio",IUPUI,Wright State,Home,55.6,20,2.1,1,84.6,70.0,28,0.702,62,0.581,36,0.403,25,0.76,19,5,200,135.9,37.9,11,13,106,10.3,8,0.468,29,0.517,15,56.5,39,0.717,16.1,14,33,0.636,21,0.821,23
2020-02-20,"Beeghly Center, Youngstown, Ohio",Wright State,Youngstown State,Home,42.3,11,10.5,4,122.2,50.0,14,0.475,60,0.433,26,0.3,18,0.722,13,6,200,97.2,15.2,5,17,70,6.9,5,0.3,18,0.278,5,31.1,19,0.511,12.8,10,42,0.5,21,0.793,23
2020-02-22,"Wolstein Center, Cleveland, Ohio",Wright State,Cleveland State,Away,39.3,11,11.1,6,91.4,65.0,26,0.565,54,0.519,28,0.556,30,0.667,20,6,225,100.0,10.3,3,20,81,8.6,7,0.333,18,0.278,5,42.0,29,0.593,18.2,15,36,0.639,23,0.8,24
2020-02-28,"Bank of Kentucky Center, Highland Heights, Kentucky",Wright State,Northern Kentucky,Away,18.2,4,0.0,0,92.5,68.2,30,0.429,56,0.393,22,0.5,28,0.571,16,6,200,95.5,42.1,16,21,64,9.0,6,0.286,16,0.25,4,56.1,46,0.462,17.0,14,40,0.45,18,0.806,25
2020-03-09,"Indiana Farmers Coliseum, Indianapolis, Indiana",UIC,Wright State,Away,64.7,11,9.1,4,97.3,71.4,20,0.342,60,0.283,17,0.483,29,0.517,15,7,200,74.7,20.9,9,13,56,10.7,8,0.467,28,0.25,7,40.8,29,0.38,12.1,10,32,0.313,10,0.781,25
