date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-25,"Magness Arena, Denver, Colorado",Wyoming,Denver,Home,16.7,3,24.2,8,100.0,65.7,23,0.419,43,0.419,18,1.186,51,0.804,41,2,200.0,96.3,45.8,11,34,77,12.5,10,0.07,3.0,0.0,0.0,57.6,34,0.573,26.8,24,40.0,0.45,18.0,0.5,2
2009-11-27,"Arena-Auditorium, Laramie, Wyoming",Monmouth,Wyoming,Away,39.3,11,9.4,3,98.7,70.0,21,0.433,67,0.418,28,0.328,22,0.682,15,3,200.0,96.1,33.3,12,21,73,14.5,11,0.269,18.0,0.111,2.0,50.0,33,0.471,13.5,12,49.0,0.531,26.0,0.4,2
2009-11-28,"Arena-Auditorium, Laramie, Wyoming",Hampton,Wyoming,Away,65.0,13,10.5,4,100.0,77.1,27,0.347,59,0.339,20,0.593,35,0.743,26,4,200.0,85.9,40.5,15,26,67,9.0,7,0.356,21.0,0.048,1.0,58.3,42,0.443,19.5,18,38.0,0.5,19.0,0.333,2
2009-12-12,"Casper Events Center, Casper, Wyoming",Wyoming,Northern Colorado,Away,47.6,10,8.3,3,88.6,72.5,29,0.433,52,0.404,21,0.827,43,0.721,31,4,200.0,96.2,28.6,10,20,76,7.6,6,0.327,17.0,0.176,3.0,52.0,39,0.525,20.2,18,35.0,0.514,18.0,0.556,5
2009-12-15,"Thompson-Boling Arena, Knoxville, Tennessee",Wyoming,Tennessee,Home,52.9,9,2.3,1,104.1,64.7,25,0.422,45,0.378,17,0.556,25,0.8,20,5,200.0,78.4,39.3,8,20,58,10.8,8,0.467,21.0,0.19,4.0,53.2,33,0.51,34.1,29,24.0,0.542,13.0,0.5,5
2009-12-23,"McLeod Center, Cedar Falls, Iowa",Wyoming,Northern Iowa,Home,14.3,3,15.8,6,114.3,64.7,22,0.478,46,0.457,21,0.261,12,0.833,10,6,200.0,85.7,26.1,6,17,54,7.9,5,0.326,15.0,0.133,2.0,49.1,28,0.522,24.9,17,31.0,0.613,19.0,0.5,6
2009-12-30,"Arena-Auditorium, Laramie, Wyoming",Akron,Wyoming,Away,28.0,7,12.2,5,106.3,60.6,22,0.455,56,0.446,25,0.625,35,0.714,25,7,200.0,95.0,40.6,11,28,76,15.0,12,0.161,9.0,0.111,1.0,50.8,33,0.523,22.7,21,47.0,0.511,24.0,0.462,6
2010-01-06,"Arena-Auditorium, Laramie, Wyoming",Colorado State,Wyoming,Away,53.8,14,7.7,3,122.1,34.8,11,0.508,61,0.426,26,0.328,20,0.55,11,8,200.0,107.4,45.5,12,19,73,8.8,6,0.393,24.0,0.417,10.0,41.1,23,0.518,14.7,12,37.0,0.432,16.0,0.467,7
2010-01-09,"Arena-Auditorium, Laramie, Wyoming",San Diego State,Wyoming,Home,55.6,15,7.3,3,118.6,42.3,12,0.543,58,0.466,27,0.466,27,0.815,22,8,200.0,121.4,40.7,10,20,85,12.9,9,0.345,20.0,0.45,9.0,41.5,22,0.6,11.4,9,38.0,0.474,18.0,0.5,8
2010-01-12,"Daniel-Meyer Coliseum, Fort Worth, Texas",Wyoming,TCU,Home,63.2,12,10.3,3,101.6,60.5,26,0.458,48,0.396,19,0.5,24,0.625,15,9,200.0,96.7,41.9,10,20,59,6.6,4,0.292,14.0,0.429,6.0,52.2,36,0.497,19.3,14,34.0,0.382,13.0,0.471,8
2010-01-16,"Arena-Auditorium, Laramie, Wyoming",New Mexico,Wyoming,Away,60.0,15,7.3,3,88.6,68.8,25,0.483,59,0.424,25,0.322,19,0.579,11,10,200.0,86.1,33.3,9,25,68,15.2,12,0.356,21.0,0.333,7.0,50.0,34,0.5,25.5,23,38.0,0.474,18.0,0.444,8
2010-01-27,"Arena-Auditorium, Laramie, Wyoming",Utah,Wyoming,Home,44.0,11,10.3,3,89.6,80.6,27,0.448,58,0.431,25,0.759,44,0.523,23,11,200.0,97.4,28.9,9,26,75,9.1,7,0.155,9.0,0.222,2.0,52.2,36,0.475,11.4,10,49.0,0.469,23.0,0.45,9
2010-02-03,"Arena-Auditorium, Laramie, Wyoming",UNLV,Wyoming,Away,50.0,7,8.1,3,113.0,74.1,23,0.337,49,0.286,14,0.633,31,0.548,17,13,200.0,72.5,23.7,6,11,50,4.3,3,0.388,19.0,0.263,5.0,44.6,29,0.392,18.3,14,30.0,0.3,9.0,0.409,9
2010-02-06,"Moby Arena, Fort Collins, Colorado",Wyoming,Colorado State,Home,42.9,9,8.8,3,117.6,45.8,13,0.435,54,0.389,21,0.63,34,0.5,17,14,200.0,94.1,29.7,9,25,64,10.3,7,0.296,16.0,0.313,5.0,36.1,22,0.456,13.8,10,38.0,0.421,16.0,0.391,9
2010-02-10,"Viejas Arena, San Diego, California",Wyoming,San Diego State,Home,55.0,11,17.0,8,120.5,48.5,16,0.431,51,0.392,20,0.471,24,0.542,13,15,200.0,78.1,32.4,11,24,57,8.2,6,0.294,15.0,0.267,4.0,40.3,27,0.457,24.5,20,36.0,0.444,16.0,0.375,9
2010-02-13,"Arena-Auditorium, Laramie, Wyoming",TCU,Wyoming,Away,47.4,9,5.6,2,115.2,75.0,21,0.5,41,0.463,19,0.854,35,0.771,27,16,200.0,103.0,20.8,5,20,68,7.6,5,0.268,11.0,0.273,3.0,50.0,26,0.59,17.5,12,30.0,0.533,16.0,0.36,9
2010-02-17,"The Pit/Bob King Court, Albuquerque, New Mexico",Wyoming,New Mexico,Home,63.6,14,3.4,1,123.9,71.4,23,0.49,52,0.423,22,0.269,14,0.714,10,17,200.0,91.0,28.6,5,15,61,1.5,1,0.442,23.0,0.304,7.0,50.0,28,0.52,20.5,15,29.0,0.517,15.0,0.346,9
2010-02-27,"Jon M. Huntsman Center, Salt Lake City, Utah",Wyoming,Utah,Home,30.8,8,18.9,7,107.2,67.7,21,0.5,53,0.491,26,0.34,18,0.611,11,19,200.0,92.8,14.8,4,18,64,11.6,8,0.245,13.0,0.077,1.0,43.1,25,0.52,17.6,13,40.0,0.625,25.0,0.321,9
2010-03-06,"Thomas & Mack Center, Las Vegas, Nevada",Wyoming,UNLV,Home,28.6,6,10.3,4,104.2,64.5,21,0.441,51,0.412,21,0.431,22,0.5,11,20,200.0,78.9,26.5,8,8,56,8.5,6,0.373,19.0,0.158,3.0,44.6,29,0.456,23.8,19,32.0,0.563,18.0,0.333,10
2010-11-16,"Butler Hancock Sports Pavilion, Greeley, Colorado",Wyoming,Northern Colorado,Home,62.5,10,15.2,5,103.1,62.5,20,0.404,47,0.34,16,0.511,24,0.625,15,1,200.0,81.5,29.4,10,18,53,10.8,7,0.489,23.0,0.261,6.0,45.5,30,0.454,22.8,17,24.0,0.417,10.0,0.5,1
2010-11-18,"Arena-Auditorium, Laramie, Wyoming",North Florida,Wyoming,Away,52.6,10,11.9,5,113.4,60.0,21,0.457,47,0.404,19,0.511,24,0.708,17,2,200.0,89.6,25.9,7,14,60,1.5,1,0.383,18.0,0.278,5.0,45.2,28,0.514,21.8,16,29.0,0.483,14.0,0.333,1
2010-11-20,"Arena-Auditorium, Laramie, Wyoming",Western Illinois,Wyoming,Home,36.4,8,14.3,4,83.3,88.0,22,0.461,51,0.431,22,0.49,25,0.68,17,2,200.0,97.0,17.2,5,16,64,10.6,7,0.255,13.0,0.231,3.0,50.0,27,0.509,13.9,10,38.0,0.5,19.0,0.5,2
2010-11-23,"Aventura Spa Palace Resort, Riviera Maya",Wyoming,Missouri,Home,30.0,6,10.0,4,97.3,55.0,22,0.422,51,0.392,20,0.588,30,0.633,19,3,200.0,83.8,28.6,10,16,62,12.2,9,0.275,14.0,0.214,3.0,42.7,32,0.475,22.8,19,37.0,0.459,17.0,0.4,2
2010-11-24,"Aventura Spa Palace Resort, Riviera Maya",Wyoming,Providence,Home,37.9,11,8.1,3,121.7,55.2,16,0.574,54,0.537,29,0.315,17,0.882,15,4,200.0,111.6,39.1,9,25,77,4.3,3,0.296,16.0,0.25,4.0,48.1,25,0.62,20.7,16,38.0,0.658,25.0,0.333,2
2010-12-01,"DakotaDome , Vermillion, South Dakota",Wyoming,South Dakota,Home,38.5,10,5.0,2,105.3,81.3,26,0.492,59,0.441,26,0.39,23,0.522,12,5,200.0,92.1,22.2,8,19,70,13.2,10,0.288,17.0,0.353,6.0,50.0,34,0.501,16.8,14,42.0,0.476,20.0,0.286,2
2010-12-04,"Arena-Auditorium, Laramie, Wyoming",Indiana State,Wyoming,Home,40.7,11,13.9,5,76.1,48.5,16,0.556,54,0.5,27,0.519,28,0.75,21,5,200.0,120.9,35.7,10,22,81,23.9,16,0.333,18.0,0.333,6.0,42.6,26,0.602,10.8,8,36.0,0.583,21.0,0.375,3
2010-12-10,"Bren Events Center, Irvine, California",Wyoming,UC-Irvine,Home,52.2,12,3.3,1,123.9,68.2,15,0.49,52,0.442,23,0.404,21,0.81,17,6,200.0,101.5,41.9,13,19,68,10.4,7,0.423,22.0,0.227,5.0,52.8,28,0.549,22.7,18,30.0,0.6,18.0,0.333,3
2010-12-14,"Arena-Auditorium, Laramie, Wyoming",Denver,Wyoming,Home,33.3,6,7.7,1,81.4,90.5,19,0.514,36,0.5,18,0.833,30,0.8,24,6,200.0,103.4,44.4,8,17,61,10.2,6,0.111,4.0,0.25,1.0,69.2,27,0.607,28.9,20,32.0,0.531,17.0,0.4,4
2010-12-20,"Arena-Auditorium, Laramie, Wyoming",Centenary (LA),Wyoming,Home,44.0,11,7.1,3,64.5,77.1,27,0.538,52,0.481,25,0.596,31,0.645,20,6,200.0,100.0,34.4,11,20,76,18.4,14,0.404,21.0,0.286,6.0,56.7,38,0.57,23.4,20,31.0,0.613,19.0,0.5,6
2010-12-22,"Arena-Auditorium, Laramie, Wyoming",Green Bay,Wyoming,Away,43.8,7,14.8,4,109.7,57.1,16,0.417,42,0.381,16,0.833,35,0.771,27,7,200.0,100.0,17.9,5,16,62,14.5,9,0.333,14.0,0.214,3.0,37.5,21,0.529,14.8,10,28.0,0.464,13.0,0.462,6
2010-12-28,"Arena-Auditorium, Laramie, Wyoming",Kennesaw State,Wyoming,Home,54.2,13,13.9,5,85.9,59.4,19,0.5,52,0.462,24,0.615,32,0.5,16,7,200.0,106.3,33.3,12,17,68,15.6,10,0.212,11.0,0.364,4.0,45.6,31,0.506,13.1,10,41.0,0.488,20.0,0.5,7
2011-01-04,"Moby Arena, Fort Collins, Colorado",Wyoming,Colorado State,Home,60.0,12,20.0,5,121.7,65.5,19,0.5,48,0.417,20,0.417,20,0.6,12,8,200.0,100.0,20.0,6,16,60,10.0,6,0.479,23.0,0.348,8.0,42.4,25,0.522,12.3,8,25.0,0.48,12.0,0.467,7
2011-01-08,"Arena-Auditorium, Laramie, Wyoming",New Mexico,Wyoming,Home,59.1,13,17.2,5,100.0,70.4,19,0.607,42,0.524,22,0.524,22,0.727,16,8,200.0,101.5,20.8,5,19,67,6.1,4,0.357,15.0,0.467,7.0,47.1,24,0.639,26.9,19,27.0,0.556,15.0,0.5,8
2011-01-12,"Daniel-Meyer Coliseum, Fort Worth, Texas",Wyoming,TCU,Home,54.5,12,2.9,1,121.9,68.0,17,0.5,48,0.458,22,0.354,17,0.706,12,9,200.0,93.8,20.0,5,10,60,6.3,4,0.375,18.0,0.222,4.0,44.0,22,0.535,20.1,14,30.0,0.6,18.0,0.471,8
2011-01-15,"Arena-Auditorium, Laramie, Wyoming",Utah,Wyoming,Away,36.8,7,16.1,5,100.0,74.2,23,0.377,53,0.358,19,0.34,18,0.611,11,10,200.0,75.0,8.3,3,16,51,5.9,4,0.189,10.0,0.2,2.0,38.8,26,0.414,12.9,9,43.0,0.395,17.0,0.444,8
2011-01-22,"Clune Arena , Colorado Springs, Colorado",Wyoming,Air Force,Home,50.0,11,7.4,2,120.0,89.5,17,0.414,58,0.379,22,0.103,6,0.5,3,11,200.0,85.0,33.3,12,11,51,8.3,5,0.397,23.0,0.174,4.0,52.7,29,0.419,16.5,12,35.0,0.514,18.0,0.421,8
2011-01-25,"Arena-Auditorium, Laramie, Wyoming",UNLV,Wyoming,Away,45.8,11,10.8,4,112.1,60.0,18,0.473,55,0.436,24,0.345,19,0.684,13,12,200.0,98.5,20.0,6,14,65,10.6,7,0.218,12.0,0.333,4.0,40.0,24,0.508,12.4,9,43.0,0.465,20.0,0.4,8
2011-01-29,"Viejas Arena, San Diego, California",Wyoming,San Diego State,Home,31.6,6,6.3,2,133.3,63.6,21,0.328,64,0.297,19,0.344,22,0.682,15,13,200.0,79.2,28.9,13,16,57,8.3,6,0.25,16.0,0.25,4.0,43.6,34,0.383,13.0,11,48.0,0.313,15.0,0.381,8
2011-02-02,"Arena-Auditorium, Laramie, Wyoming",BYU,Wyoming,Away,28.6,6,14.3,5,93.2,72.2,26,0.451,51,0.412,21,0.431,22,0.727,16,14,200.0,83.8,20.0,6,21,62,10.8,8,0.275,14.0,0.286,4.0,48.5,32,0.504,22.9,18,37.0,0.459,17.0,0.364,8
2011-02-05,"Arena-Auditorium, Laramie, Wyoming",Colorado State,Wyoming,Away,36.4,8,2.8,1,95.2,67.6,23,0.43,57,0.386,22,0.228,13,0.538,7,15,200.0,90.3,24.2,8,18,56,8.1,5,0.263,15.0,0.333,5.0,46.3,31,0.443,11.3,8,42.0,0.405,17.0,0.348,8
2011-02-09,"The Pit/Bob King Court, Albuquerque, New Mexico",Wyoming,New Mexico,Home,31.8,7,12.2,5,91.9,68.4,26,0.418,55,0.4,22,0.255,14,0.786,11,16,200.0,77.0,22.6,7,27,57,8.1,6,0.291,16.0,0.125,2.0,47.8,33,0.462,23.7,19,39.0,0.513,20.0,0.333,8
2011-02-12,"Arena-Auditorium, Laramie, Wyoming",TCU,Wyoming,Home,61.5,16,19.4,7,87.0,77.4,24,0.565,54,0.481,26,0.389,21,0.762,16,16,200.0,100.0,17.2,5,19,77,14.3,11,0.463,25.0,0.36,9.0,48.3,29,0.602,23.1,19,29.0,0.586,17.0,0.36,9
2011-02-16,"Jon M. Huntsman Center, Salt Lake City, Utah",Wyoming,Utah,Home,32.1,9,5.1,2,112.7,76.0,19,0.47,66,0.424,28,0.197,13,0.615,8,17,200.0,98.6,34.2,13,26,70,8.5,6,0.288,19.0,0.316,6.0,50.8,32,0.485,15.3,13,47.0,0.468,22.0,0.346,9
2011-02-23,"Arena-Auditorium, Laramie, Wyoming",Air Force,Wyoming,Home,77.3,17,26.5,9,87.1,79.2,19,0.464,55,0.4,22,0.509,28,0.429,12,17,200.0,90.0,27.0,10,17,63,12.9,9,0.509,28.0,0.25,7.0,47.5,29,0.461,14.0,11,27.0,0.556,15.0,0.37,10
2011-02-26,"Thomas & Mack Center, Las Vegas, Nevada",Wyoming,UNLV,Home,46.4,13,7.7,3,109.8,61.5,16,0.423,71,0.394,28,0.31,22,0.773,17,18,200.0,93.9,40.0,16,23,77,14.6,12,0.296,21.0,0.19,4.0,48.5,32,0.473,16.5,16,50.0,0.48,24.0,0.357,10
2011-03-01,"Arena-Auditorium, Laramie, Wyoming",San Diego State,Wyoming,Away,30.4,7,8.3,4,113.3,64.3,18,0.444,54,0.426,23,0.333,18,0.556,10,19,200.0,77.3,18.9,7,19,58,9.3,7,0.296,16.0,0.125,2.0,38.5,25,0.464,21.5,17,38.0,0.553,21.0,0.345,10
2011-03-05,"Marriott Center, Provo, Utah",Wyoming,BYU,Home,46.4,13,7.3,3,137.8,63.3,19,0.56,58,0.483,28,0.379,22,0.591,13,20,200.0,105.4,17.2,5,24,78,8.1,6,0.241,14.0,0.643,9.0,40.7,24,0.57,11.7,9,44.0,0.432,19.0,0.333,10
2011-03-09,"Thomas & Mack Center, Las Vegas, Nevada",TCU,Wyoming,Away,33.3,7,10.0,5,101.4,70.0,21,0.429,56,0.375,21,0.321,18,0.722,13,21,200.0,88.4,35.1,13,17,61,11.6,8,0.375,21.0,0.286,6.0,50.7,34,0.473,21.0,17,35.0,0.429,15.0,0.323,10
2011-11-15,"Arena-Auditorium, Laramie, Wyoming",Northern Colorado,Wyoming,Home,55.0,11,11.5,3,87.5,73.1,19,0.535,43,0.465,20,0.86,37,0.784,29,0,200.0,117.2,30.8,8,26,75,12.5,8,0.465,20.0,0.3,6.0,51.9,27,0.619,13.2,9,23.0,0.609,14.0,1.0,2
2011-11-19,"Resch Center, Green Bay, Wisconsin",Wyoming,Green Bay,Home,53.3,8,14.3,6,81.3,65.7,23,0.362,47,0.319,15,0.362,17,0.588,10,1,200.0,68.8,27.3,9,19,44,15.6,10,0.319,15.0,0.267,4.0,47.1,32,0.399,21.6,15,32.0,0.344,11.0,0.667,2
2011-11-22,"Arena-Auditorium, Laramie, Wyoming",South Dakota,Wyoming,Home,37.5,9,12.8,5,88.9,84.8,28,0.532,47,0.511,24,0.532,25,0.68,17,1,200.0,106.3,16.0,4,21,67,6.3,4,0.213,10.0,0.2,2.0,55.2,32,0.569,9.4,6,37.0,0.595,22.0,0.75,3
2011-11-25,"Arena-Auditorium, Laramie, Wyoming",Portland State,Wyoming,Home,51.9,14,0.0,0,85.0,89.5,17,0.566,53,0.509,27,0.189,10,0.5,5,1,200.0,108.3,23.1,6,16,65,8.3,5,0.321,17.0,0.353,6.0,51.1,23,0.563,12.2,8,36.0,0.583,21.0,0.8,4
2011-11-26,"Arena-Auditorium, Laramie, Wyoming",Maryland-Eastern Shore,Wyoming,Home,68.0,17,11.4,4,62.3,81.3,26,0.57,50,0.5,25,0.4,20,0.8,16,1,200.0,105.8,12.0,3,13,73,15.9,11,0.34,17.0,0.412,7.0,50.9,29,0.613,18.1,13,33.0,0.545,18.0,0.833,5
2011-11-27,"Arena-Auditorium, Laramie, Wyoming",Louisiana Tech,Wyoming,Home,57.1,12,9.1,3,95.1,69.0,20,0.602,44,0.477,21,0.477,21,0.952,20,1,200.0,119.7,28.6,6,14,73,6.6,4,0.5,22.0,0.5,11.0,52.0,26,0.676,18.4,12,22.0,0.455,10.0,0.857,6
