date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Arena at Harbor Yard, Bridgeport, Connecticut",Sacred Heart,Yale,Away,53.8,14,0.0,0,115.0,62.1,22,0.433,67,0.388,26,0.463,31,0.903,28,1,200.0,107.5,41.0,12,20,86,15.0,12,0.269,18.0,0.333,6.0,50.0,34,0.526,14.8,14,49.0,0.408,20.0,0.0,0
2009-11-16,"Harry A. Gampel Pavilion, Storrs, Connecticut",Hofstra,Yale,Away,70.0,14,4.5,2,94.4,46.2,12,0.434,53,0.377,20,0.434,23,0.739,17,2,200.0,87.5,23.3,7,17,63,18.1,13,0.283,15.0,0.4,6.0,33.9,19,0.493,20.2,14,38.0,0.368,14.0,0.0,0
2009-11-17,"Harry A. Gampel Pavilion, Storrs, Connecticut",Yale,Colgate,Away,47.6,10,11.1,2,90.2,68.0,19,0.411,56,0.375,21,0.429,24,0.792,19,2,200.0,106.6,54.5,16,15,65,18.0,11,0.339,19.0,0.211,4.0,60.3,35,0.482,15.3,12,37.0,0.459,17.0,0.333,1
2009-11-21,"John J. Lee Ampitheater, New Haven, Connecticut",Quinnipiac,Yale,Away,56.0,14,7.5,4,98.6,42.9,18,0.427,62,0.403,25,0.258,16,0.688,11,3,200.0,88.9,29.7,11,21,64,13.9,10,0.21,13.0,0.231,3.0,36.7,29,0.46,16.9,14,49.0,0.449,22.0,0.25,1
2009-11-23,"Mack Sports Complex, Hempstead, New York",Charlotte,Yale,Away,58.3,14,11.1,4,133.3,53.6,16,0.5,54,0.444,24,0.426,23,0.87,20,4,200.0,112.1,37.9,10,21,74,9.1,6,0.278,15.0,0.4,6.0,45.6,26,0.57,15.8,12,39.0,0.462,18.0,0.2,1
2009-11-24,"Mack Sports Complex, Hempstead, New York",Yale,Elon,Away,48.0,12,10.7,3,98.5,64.7,13,0.52,50,0.5,25,0.38,19,0.895,17,4,200.0,104.5,38.5,8,16,69,18.2,12,0.14,7.0,0.286,2.0,48.8,21,0.584,20.4,15,43.0,0.535,23.0,0.333,2
2009-11-28,"Christl Arena, West Point, New York",Yale,Army,Home,44.4,8,7.7,3,104.9,54.5,15,0.4,50,0.36,18,0.38,19,0.421,8,5,200.0,78.7,39.4,10,18,48,13.1,8,0.42,21.0,0.19,4.0,45.5,25,0.407,20.4,14,29.0,0.483,14.0,0.286,2
2009-12-02,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Yale,Hartford,Away,33.3,6,6.7,2,90.2,78.6,24,0.444,45,0.4,18,0.4,18,0.444,8,5,200.0,94.1,45.2,12,16,48,2.0,1,0.289,13.0,0.308,4.0,61.0,36,0.448,18.5,12,32.0,0.438,14.0,0.375,3
2009-12-07,"John J. Lee Ampitheater, New Haven, Connecticut",Vermont,Yale,Away,70.8,17,10.0,3,107.5,70.8,17,0.422,58,0.414,24,0.259,15,0.733,11,6,200.0,89.6,44.1,15,21,60,14.9,10,0.241,14.0,0.071,1.0,55.2,32,0.461,19.9,16,44.0,0.523,23.0,0.333,3
2009-12-09,"John J. Lee Ampitheater, New Haven, Connecticut","Bryant
			",Yale,Home,64.0,16,13.6,6,79.4,73.5,26,0.466,59,0.424,25,0.356,21,0.667,14,6,200.0,101.5,32.4,11,15,69,8.8,6,0.203,12.0,0.417,5.0,52.1,37,0.5,13.9,11,47.0,0.426,20.0,0.4,4
2009-12-21,"Dunkin' Donuts Center, Providence, Rhode Island",Yale,Providence,Home,43.8,14,4.2,2,116.0,57.6,21,0.486,71,0.451,32,0.183,13,0.692,9,7,200.0,104.0,44.4,14,19,78,8.0,6,0.211,15.0,0.333,5.0,50.7,35,0.505,15.4,14,56.0,0.482,27.0,0.364,4
