date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"Strahan Coliseum, San Marcos, Texas",Abilene Christian,Texas State,Home,36.8,7,14.3,5,89.7,82.1,23,0.384,56,0.339,19,0.304,17,0.765,13,4,200,82.4,32.4,11,20,56,7.4,5,0.232,13,0.385,5,54.8,34,0.437,20.1,16,43,0.326,14,0.333,2,56.660000000000004,56.660000000000004,60.314814814814824,16.0,16.0,17.45679012345679,5.46,5.46,6.258024691358026,1.6,1.6,1.8148148148148149,89.67999999999999,89.67999999999999,86.44197530864199,76.03999999999999,76.03999999999999,77.60000000000001,21.4,21.4,22.222222222222225,0.49560000000000004,0.49560000000000004,0.49949382716049395,63.2,63.2,64.08641975308643,0.44160000000000005,0.44160000000000005,0.446925925925926,28.2,28.2,28.92592592592593,0.33819999999999995,0.33819999999999995,0.3213703703703704,20.4,20.4,19.888888888888893,0.73,0.73,0.7355185185185186,14.8,14.8,14.530864197530866,1.8,1.8,2.0617283950617287,205.0,205.0,202.46913580246917,105.17999999999999,105.17999999999999,107.7135802469136,28.6,28.6,32.64197530864198,9.8,9.8,11.333333333333334,20.2,20.2,19.12345679012346,78.0,78.0,79.08641975308643,13.34,13.34,12.349382716049385,10.0,10.0,9.160493827160497,0.38380000000000003,0.38380000000000003,0.3848024691358025,24.2,24.2,24.58024691358025,0.2818,0.2818,0.2737037037037038,6.8,6.8,6.703703703703704,49.82,49.82,52.8925925925926,31.2,31.2,33.55555555555556,0.5317999999999999,0.5317999999999999,0.533962962962963,13.16,13.16,13.419753086419753,10.8,10.8,11.17283950617284,39.0,39.0,39.50617283950618,0.5386,0.5386,0.5522345679012346,21.4,21.4,22.222222222222225,0.49660000000000004,0.49660000000000004,0.485135802469136,1.2,1.2,1.3333333333333335
2019-11-29,"Moody Coliseum, Dallas, Texas",Abilene Christian,SMU,Home,47.1,8,0.0,0,116.7,77.8,14,0.375,52,0.327,17,0.288,15,0.8,12,5,200,85.0,20.6,7,16,51,11.7,7,0.365,19,0.263,5,40.4,21,0.431,13.3,9,33,0.364,12,0.286,2,52.9,53.35,52.47654320987655,13.4,14.5,13.971193415637863,6.9,6.933333333333334,8.938683127572018,2.2,2.1666666666666665,2.8765432098765435,97.62,89.68333333333334,87.52798353909466,76.24000000000001,77.05,79.10000000000001,20.0,21.666666666666668,22.481481481481485,0.46840000000000004,0.47700000000000004,0.46099588477366266,59.4,62.0,61.39094650205762,0.41340000000000005,0.42450000000000004,0.4109506172839507,24.8,26.666666666666668,25.61728395061729,0.35359999999999997,0.33249999999999996,0.31558024691358033,20.4,19.833333333333332,18.92592592592593,0.7418,0.7358333333333333,0.7453456790123458,15.0,14.5,14.020576131687246,2.6,2.1666666666666665,2.7078189300411526,205.0,204.16666666666666,201.64609053497946,98.58000000000001,101.38333333333333,99.27572016460907,28.919999999999998,29.233333333333334,32.56131687242799,9.6,10.0,11.222222222222223,20.0,20.166666666666668,19.415637860082306,71.2,74.33333333333333,71.39094650205763,10.72,12.35,10.699588477366259,7.8,9.166666666666666,7.7736625514403315,0.3582,0.3585,0.33386831275720175,21.4,22.333333333333332,20.7201646090535,0.3144,0.299,0.31080246913580256,6.6,6.5,6.135802469135804,49.720000000000006,50.65,53.5283950617284,29.6,31.666666666666668,33.70370370370371,0.5108,0.516,0.5016419753086421,15.620000000000001,14.316666666666668,15.64650205761317,12.6,11.666666666666666,12.781893004115227,38.0,39.666666666666664,40.67078189300412,0.4788,0.5031666666666667,0.47682304526748975,18.2,20.166666666666668,19.481481481481485,0.3632,0.4693333333333333,0.43442386831275737,1.4,1.3333333333333333,1.5555555555555558
2019-12-05,"Moody Coliseum , Abilene, Texas",Southeast Missouri State,Abilene Christian,Home,47.8,11,4.9,2,86.5,80.0,28,0.455,56,0.411,23,0.482,27,0.815,22,5,200,98.6,23.3,7,20,73,10.8,8,0.339,19,0.263,5,53.8,35,0.53,16.1,13,37,0.486,18,0.375,3,53.660000000000004,52.457142857142856,50.68436213991771,12.4,13.571428571428571,11.980795610425243,5.640000000000001,5.942857142857143,5.959122085048013,1.8,1.8571428571428572,1.9176954732510292,99.46000000000001,93.54285714285713,97.25198902606311,78.75999999999999,77.15714285714286,78.66666666666667,19.8,20.571428571428573,19.654320987654323,0.4372,0.46242857142857147,0.4323305898491085,56.8,60.57142857142857,58.26063100137175,0.3864,0.4105714285714286,0.3829670781893005,22.2,25.285714285714285,22.744855967078195,0.3496,0.3261428571428571,0.30638683127572025,19.4,19.142857142857142,17.61728395061729,0.7618,0.745,0.7635637860082306,14.6,14.142857142857142,13.347050754458165,3.4,2.5714285714285716,3.4718792866941017,200.0,203.57142857142858,201.09739368998632,94.82000000000001,99.04285714285713,94.51714677640605,31.279999999999994,28.0,28.574211248285327,10.4,9.571428571428571,9.814814814814817,18.0,19.571428571428573,18.277091906721537,64.8,71.0,64.59396433470509,10.059999999999999,12.257142857142856,11.03305898491084,6.8,8.857142857142858,7.515775034293554,0.3542,0.35942857142857143,0.3442455418381345,20.2,21.857142857142858,20.14677640603567,0.29500000000000004,0.2938571428571429,0.2948683127572017,5.8,6.285714285714286,5.757201646090536,51.48,49.18571428571429,49.1522633744856,30.2,30.142857142857142,29.469135802469143,0.4856,0.5038571428571429,0.4780946502057614,16.32,14.171428571428573,14.864334705075448,12.8,11.285714285714286,11.521262002743486,36.6,38.714285714285715,38.11385459533608,0.4466,0.48328571428571426,0.4392153635116599,16.4,19.0,16.98765432098766,0.3204,0.4431428571428571,0.3849492455418383,1.6,1.4285714285714286,1.7037037037037042
2019-12-07,"Moody Coliseum , Abilene, Texas","Dallas Christian
			",Abilene Christian,Home,62.8,27,5.7,2,44.2,81.6,31,0.582,79,0.544,43,0.203,16,0.625,10,5,200,132.5,44.4,16,17,102,11.7,9,0.342,27,0.222,6,63.5,47,0.589,9.5,9,52,0.712,37,0.444,4,54.21999999999999,51.875,49.72290809327848,12.8,13.25,11.653863740283496,6.62,5.8125,5.606081390032009,2.2,1.875,1.9451303155006863,96.76,92.6625,93.66799268404208,78.46,77.5125,79.11111111111111,21.0,21.5,22.43621399176955,0.4382,0.4615,0.4398870598994057,58.0,60.0,57.507087334247835,0.3886,0.410625,0.3923113854595337,22.8,25.0,22.82990397805213,0.31399999999999995,0.34562499999999996,0.36492455418381353,18.2,20.125,20.744855967078195,0.7794,0.75375,0.7807091906721537,14.2,15.125,16.231367169638776,4.0,2.875,3.981252857796068,200.0,203.125,200.73159579332423,95.64,98.9875,95.87809785093737,29.939999999999998,27.4125,26.816140832190218,10.0,9.25,8.876543209876544,18.0,19.625,18.851394604481026,65.6,71.25,67.39597622313673,9.48,12.075,10.955372656607228,6.4,8.75,7.6771833561957035,0.35,0.356875,0.3424970278920897,20.4,21.5,19.76451760402378,0.29200000000000004,0.29000000000000004,0.2842455418381345,5.8,6.125,5.504801097393691,51.36,49.762499999999996,50.70150891632373,31.0,30.75,31.3127572016461,0.4866,0.507125,0.49539643347050766,15.760000000000002,14.412500000000001,15.276223136716967,12.4,11.5,12.014174668495658,37.6,38.5,37.742569730224055,0.45,0.483625,0.4548102423411066,17.0,18.875,17.32510288065844,0.32880000000000004,0.434625,0.3816328303612256,2.0,1.625,2.135802469135803
2019-12-12,"Moody Coliseum , Abilene, Texas","Howard Payne
			",Abilene Christian,Home,65.8,25,10.0,2,47.4,86.7,26,0.583,78,0.487,38,0.218,17,0.824,14,5,200,138.2,50.0,21,13,105,25.0,19,0.526,41,0.366,15,65.3,47,0.61,10.5,10,37,0.622,23,0.5,5,52.239999999999995,53.08888888888889,54.08193872885232,15.0,14.777777777777779,16.76924249352233,7.040000000000001,5.800000000000001,5.637387593354672,2.4,1.8888888888888888,1.963420210333791,83.1,87.27777777777777,77.1786617893614,80.86,77.96666666666665,79.94074074074075,24.0,22.555555555555557,25.290809327846368,0.46820000000000006,0.4748888888888889,0.48725803993293715,62.0,62.111111111111114,64.67139155616523,0.42279999999999995,0.42544444444444446,0.4428742569730225,27.0,27.0,29.55326931870142,0.32399999999999995,0.3297777777777778,0.310949702789209,19.6,19.666666666666668,19.163237311385465,0.7487999999999999,0.7394444444444445,0.7288061271147692,14.8,14.555555555555555,14.154244779759185,4.4,3.111111111111111,4.320835238530712,200.0,202.77777777777777,200.48773052888282,104.01999999999998,102.71111111111111,108.08539856729158,33.019999999999996,29.299999999999997,32.67742722146015,11.4,10.0,11.251028806584364,18.0,19.333333333333332,18.23426306965402,74.4,74.66666666666667,78.93065081542449,9.94,12.033333333333333,11.203581771071486,7.0,8.777777777777779,8.118122237463803,0.3302,0.3552222222222222,0.3423313519280598,20.6,22.11111111111111,22.17634506934919,0.2826,0.2824444444444445,0.2634970278920897,5.6,6.111111111111111,5.669867398262461,54.8,51.288888888888884,54.96767261088249,35.4,32.55555555555556,36.54183813443073,0.5128,0.5162222222222222,0.5265976223136718,14.680000000000001,13.866666666666667,13.350815424477979,12.0,11.222222222222221,11.009449778997107,41.4,40.0,42.49504648681604,0.5014,0.5089999999999999,0.5405401615607378,21.4,20.88888888888889,23.883401920438963,0.36760000000000004,0.4356666666666667,0.4024218869074837,2.6,1.8888888888888888,2.7572016460905355
2019-12-18,"Kiefer Lakefront Arena, New Orleans , Louisiana",Abilene Christian,New Orleans,Away,75.0,18,7.7,3,91.0,84.6,22,0.55,50,0.48,24,0.6,30,0.733,22,5,200,98.7,27.6,8,22,77,14.1,11,0.3,15,0.467,7,54.5,30,0.599,24.9,21,35,0.486,17,0.545,6,52.06,54.36,57.987959152568216,15.6,15.8,19.512828329014887,6.980000000000001,6.220000000000001,7.091591728903115,2.2,1.9,1.9756134735558608,76.9,83.28999999999999,67.25244119290761,81.64,78.84,82.19382716049384,24.4,22.9,25.527206218564245,0.4758,0.4857,0.5191720266219582,64.2,63.7,69.1142610374435,0.42160000000000003,0.4316,0.45758283798201504,28.0,28.1,32.368846212467616,0.299,0.3186,0.2799664685261394,18.4,19.4,18.44215820759031,0.7657999999999999,0.7479,0.7605374180765128,14.2,14.5,14.102829853172791,4.8,3.3,4.547223492353808,200.0,202.5,200.3251536859219,107.34,106.25999999999999,118.12359904486105,34.14,31.369999999999997,38.451618147640104,12.4,11.1,14.500685871056243,17.2,18.7,16.48950871310268,77.4,77.7,87.62043387694966,13.319999999999999,13.330000000000002,15.80238784738099,9.6,9.8,11.74541482497587,0.3608,0.37229999999999996,0.40355423461870654,23.8,24.0,28.45089671289946,0.2998,0.2908,0.2976646852613931,7.2,7.0,8.779911598841641,55.55999999999999,52.69,58.41178174058833,36.8,34.0,40.027892089620494,0.5194,0.5256000000000001,0.5543984148757812,13.9,13.530000000000001,12.400543616318654,11.4,11.1,10.672966519331405,40.4,39.7,40.66336432454403,0.502,0.5203,0.5676934410404919,20.8,21.1,23.588934613625977,0.3876,0.44210000000000005,0.4349479246049892,3.2,2.2,3.5048010973936905
2019-12-21,"Moody Coliseum , Abilene, Texas",Nicholls State,Abilene Christian,Home,73.3,22,14.7,5,79.2,68.6,24,0.582,55,0.545,30,0.345,19,0.789,15,5,200,102.6,25.9,7,25,79,14.3,11,0.327,18,0.222,4,50.0,31,0.617,23.1,19,37,0.703,26,0.583,7,59.7,56.23636363636364,63.65863943504548,17.8,16.0,19.008552219343258,5.66,6.354545454545455,7.294394485935411,1.8,2.0,2.317075649037241,77.16,83.99090909090908,75.16829412860508,82.14000000000001,79.36363636363636,82.99588477366257,24.2,22.818181818181817,24.351470812376164,0.509,0.49154545454545456,0.5294480177479721,63.0,62.45454545454545,62.742840691629,0.44980000000000003,0.436,0.46505522532134336,29.0,27.727272727272727,29.579230808311745,0.35819999999999996,0.3441818181818182,0.3866443123507596,21.0,20.363636363636363,22.29477213839354,0.7594,0.7465454545454545,0.7513582787176752,16.0,15.181818181818182,16.735219902115194,5.0,3.4545454545454546,4.698148994902539,200.0,202.27272727272728,200.21676912394793,110.6,105.57272727272726,111.64906602990737,33.18,31.027272727272727,34.83441209842674,11.8,10.818181818181818,12.333790580704163,17.6,19.0,18.326339142068456,81.6,77.63636363636364,84.08028925129977,14.66,13.4,15.234925231587328,10.8,9.909090909090908,11.49694321665058,0.3744,0.3657272727272727,0.36903615641247106,24.2,23.181818181818183,23.967264475266308,0.3162,0.3068181818181818,0.35410979017426214,7.6,7.0,8.186607732561095,55.5,52.85454545454545,57.107854493725554,36.0,33.63636363636363,36.68526139308033,0.5518000000000001,0.5322727272727273,0.5692656099171876,14.860000000000003,14.563636363636363,16.56702907754577,12.4,12.0,14.115311012887604,38.8,39.27272727272727,38.77557621636269,0.534,0.5171818181818182,0.5404622940269946,21.4,20.727272727272727,21.392623075750652,0.43,0.4514545454545455,0.47163194973665956,4.0,2.5454545454545454,4.336534064929127
2019-12-29,"Charles Koch Arena, Wichita, Kansas",Abilene Christian,Wichita State,Home,42.9,9,10.0,4,110.5,60.6,20,0.435,54,0.389,21,0.426,23,0.826,19,6,200,86.8,16.7,5,23,66,10.5,8,0.389,21,0.238,5,39.7,25,0.508,21.9,18,33,0.485,16,0.538,7,64.94,57.65833333333333,66.87242629003032,20.6,16.5,20.005701479562173,8.6,7.05,9.762929657290274,2.8,2.25,3.2113837660248272,69.66,83.59166666666667,76.51219608573672,80.3,78.46666666666665,78.19725651577505,26.2,22.916666666666668,24.234313874917444,0.5504,0.4990833333333333,0.5469653451653148,63.6,61.833333333333336,60.16189379441934,0.4934,0.44508333333333333,0.4917034835475623,31.6,27.916666666666668,29.719487205541167,0.3696,0.34425,0.3727628749005064,21.8,20.25,21.196514758929027,0.7572,0.7500833333333333,0.763905519145117,16.6,15.166666666666666,16.156813268076796,5.0,3.5833333333333335,4.798765996601693,200.0,202.08333333333334,200.14451274929863,114.11999999999998,105.32499999999999,108.63271068660492,34.239999999999995,30.599999999999998,31.856274732284493,11.8,10.5,10.55586038713611,19.4,19.5,20.550892761378968,87.2,77.75,82.38685950086652,15.180000000000001,13.475,14.923283487724888,11.6,10.0,11.331295477767053,0.3668,0.3625,0.3550241042749807,24.0,22.75,21.978176316844205,0.308,0.29975,0.3100731934495081,7.4,6.75,6.791071821707397,57.42,52.61666666666667,54.738569662483705,38.0,33.416666666666664,34.790174262053554,0.5890000000000001,0.5393333333333333,0.5851770732781251,16.82,15.275,18.74468605169718,14.4,12.583333333333334,15.743540675258405,39.6,39.083333333333336,38.18371747757513,0.6018,0.5326666666666666,0.5946415293513297,24.2,21.166666666666668,22.92841538383377,0.4894,0.4624166666666667,0.508754633157773,5.0,2.9166666666666665,5.224356043286084
2020-01-04,"Montagne Center, Beaumont, Texas",Abilene Christian,Lamar,Away,46.4,13,5.7,2,87.3,70.4,19,0.492,64,0.438,28,0.25,16,0.688,11,6,200,104.2,34.3,12,17,74,12.7,9,0.344,22,0.318,7,50.0,31,0.517,14.5,12,42,0.5,21,0.571,8,63.96,56.52307692307692,58.88161752668688,20.2,15.923076923076923,16.337134319708117,9.620000000000001,7.276923076923077,9.841953104860183,3.2,2.3846153846153846,3.474255844016552,74.46000000000001,85.66153846153846,87.84146405715782,76.42,77.09230769230768,72.33150434385004,24.6,22.692307692307693,22.82287591661163,0.5464,0.49415384615384617,0.5096435634435432,63.2,61.23076923076923,58.107929196279564,0.489,0.4407692307692308,0.45746898903170824,31.2,27.384615384615383,26.81299147036078,0.35839999999999994,0.3505384615384615,0.39050858326700433,21.0,20.46153846153846,21.797676505952687,0.7594000000000001,0.7559230769230769,0.784603679430078,16.0,15.461538461538462,17.104542178717864,5.2,3.769230769230769,5.199177331067796,200.0,201.92307692307693,200.09634183286576,111.75999999999999,103.9,101.35514045773661,32.92,29.53076923076923,26.804183154856332,11.4,10.076923076923077,8.703906924757408,20.0,19.76923076923077,21.367261840919312,85.8,76.84615384615384,76.92457300057768,15.120000000000001,13.246153846153845,13.448855658483259,11.6,9.846153846153847,10.220863651844702,0.3768,0.36453846153846153,0.3663494028499872,24.4,22.615384615384617,21.652117544562806,0.303,0.295,0.28604879563300545,7.4,6.615384615384615,6.194047881138266,54.6,51.62307692307692,49.72571310832247,36.0,32.76923076923077,31.526782841369037,0.5846,0.536923076923077,0.5594513821854168,17.98,15.784615384615384,19.79645736779812,15.4,13.0,16.495693783505605,38.8,38.61538461538461,36.45581165171676,0.6015999999999999,0.529,0.5580943529008865,23.8,20.76923076923077,20.618943589222514,0.522,0.46823076923076923,0.5185030887718487,5.8,3.230769230769231,5.816237362190723
2020-01-08,"Moody Coliseum , Abilene, Texas",McNeese State,Abilene Christian,Away,51.7,15,5.9,2,111.4,68.8,11,0.508,63,0.46,29,0.365,23,0.87,20,7,200,106.3,20.0,6,28,84,6.3,5,0.333,21,0.286,6,37.0,17,0.568,16.1,14,42,0.548,23,0.533,8,60.67999999999999,55.800000000000004,54.72107835112459,17.4,15.714285714285714,15.224756213138747,9.620000000000001,7.164285714285714,8.46130206990679,3.2,2.357142857142857,2.9828372293443683,83.08,85.77857142857144,87.66097603810522,74.17999999999999,76.61428571428571,71.6876695625667,22.2,22.428571428571427,21.548583944407753,0.5284,0.49400000000000005,0.5037623756290288,60.2,61.42857142857143,60.071952797519714,0.4678,0.44057142857142856,0.4509793260211389,28.2,27.428571428571427,27.208660980240523,0.3678,0.3433571428571428,0.34367238884466955,21.0,20.142857142857142,19.865117670635126,0.772,0.7510714285714286,0.7524024529533854,16.2,15.142857142857142,15.06969478581191,5.4,3.9285714285714284,5.466118220711865,200.0,201.78571428571428,200.0642278885772,106.1,103.92142857142856,102.30342697182442,30.9,29.87142857142857,29.302788769904225,10.6,10.214285714285714,9.80260461650494,20.0,19.571428571428573,19.911507893946208,80.2,76.64285714285714,75.94971533371846,15.319999999999999,13.207142857142857,13.199237105655506,11.6,9.785714285714286,9.813909101229802,0.37720000000000004,0.3630714285714286,0.3588996018999915,23.4,22.571428571428573,21.768078363041873,0.3222,0.29664285714285715,0.2966991970886703,7.6,6.642857142857143,6.4626985874255105,51.9,51.50714285714286,49.817142072214985,32.8,32.642857142857146,31.351188560912693,0.5702,0.5355,0.5453009214569446,18.98,15.692857142857141,18.030971578532082,16.0,12.928571428571429,14.997129189003738,36.8,38.857142857142854,38.30387443447784,0.5591999999999999,0.5269285714285714,0.5387295686005911,20.6,20.785714285714285,20.74596239281501,0.5474,0.4755714285714286,0.5360020591812324,6.6,3.5714285714285716,6.544158241460482
