date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-01-06,"Daniel-Meyer Coliseum, Fort Worth, Texas",Air Force,TCU,Home,66.7,12,13.8,4,103.5,61.3,22,0.455,44,0.409,18,0.409,18,0.556,10,6,200.0,87.7,29.0,6,20,50,7.0,4,0.273,12.0,0.333,4.0,45.2,28,0.476,20.0,13,32.0,0.438,14.0,0.571,8,61.879999999999995,61.879999999999995,61.387654320987664,12.0,12.0,12.197530864197534,9.02,9.02,10.582716049382718,2.6,2.6,2.950617283950618,102.64000000000001,102.64000000000001,102.62222222222225,66.9,66.9,67.7888888888889,21.8,21.8,21.46913580246914,0.49420000000000003,0.49420000000000003,0.509925925925926,41.6,41.6,41.97530864197532,0.44960000000000006,0.44960000000000006,0.46938271604938275,18.8,18.8,19.679012345679013,0.5926,0.5926,0.5966419753086422,24.4,24.4,24.790123456790127,0.6849999999999999,0.6849999999999999,0.6785925925925926,16.8,16.8,16.97530864197531,3.4,3.4,3.765432098765432,200.0,200.0,200.0,92.24,92.24,94.83456790123458,23.16,23.16,21.200000000000003,4.6,4.6,4.382716049382717,17.4,17.4,17.506172839506178,58.0,58.0,59.67901234567902,7.74,7.74,7.985185185185187,4.8,4.8,4.987654320987655,0.3614,0.3614,0.34766666666666673,14.8,14.8,14.506172839506176,0.2572,0.2572,0.24411111111111114,3.6,3.6,3.345679012345679,46.839999999999996,46.839999999999996,46.28148148148149,26.4,26.4,25.851851851851855,0.5428,0.5428,0.5529876543209877,21.46,21.46,20.208641975308648,13.6,13.6,12.827160493827163,26.8,26.8,27.46913580246914,0.5538000000000001,0.5538000000000001,0.5844938271604939,15.2,15.2,16.333333333333336,0.6336,0.6336,0.6264074074074075,5.6,5.6,6.049382716049383
2010-01-09,"Moby Arena, Fort Collins, Colorado",Air Force,Colorado State,Home,31.6,6,6.7,2,120.7,58.3,16,0.5,44,0.432,19,0.25,11,0.364,4,7,200.0,82.8,33.3,7,22,48,8.6,5,0.341,15.0,0.4,6.0,45.1,23,0.488,26.9,18,29.0,0.448,13.0,0.533,8,65.22,62.68333333333334,63.158436213991784,13.0,12.0,12.131687242798357,9.919999999999998,9.816666666666668,11.655144032921813,2.6,2.8333333333333335,3.3004115226337456,102.11999999999999,102.78333333333335,102.91481481481485,67.16,65.96666666666667,65.62592592592594,21.6,21.833333333333332,21.64609053497943,0.5199999999999999,0.48766666666666664,0.4916172839506174,41.8,42.0,42.65020576131688,0.4662,0.44283333333333336,0.4492551440329218,19.6,18.666666666666668,19.11934156378601,0.5534,0.5619999999999999,0.5340946502057615,22.8,23.333333333333332,22.52674897119342,0.6577999999999999,0.6635,0.6377283950617285,15.2,15.666666666666666,14.650205761316876,4.4,3.8333333333333335,4.510288065843621,200.0,200.0,200.0,95.84,91.48333333333333,92.45637860082306,24.3,24.133333333333336,23.800000000000004,4.8,4.833333333333333,4.9218106995884785,16.8,17.833333333333332,18.337448559670786,58.8,56.666666666666664,56.45267489711935,7.919999999999999,7.616666666666667,7.656790123456791,4.8,4.666666666666667,4.65843621399177,0.337,0.3466666666666667,0.32277777777777783,13.8,14.333333333333334,13.670781893004119,0.3238,0.2698333333333333,0.2737407407407408,4.4,3.6666666666666665,3.563786008230453,47.260000000000005,46.56666666666666,45.920987654320996,26.4,26.666666666666668,26.567901234567906,0.5548,0.5316666666666666,0.5273251028806585,20.7,21.216666666666665,20.139094650205767,12.8,13.5,12.884773662551442,28.0,27.666666666666668,28.979423868312765,0.5337999999999999,0.5345,0.5356625514403293,15.2,15.0,15.555555555555557,0.6144000000000001,0.6231666666666666,0.6079382716049384,6.8,6.0,6.699588477366255
2010-01-20,"Clune Arena , Colorado Springs, Colorado",New Mexico,Air Force,Away,47.1,8,0.0,0,119.7,66.7,22,0.394,47,0.362,17,0.426,20,0.65,13,9,200.0,82.0,21.9,7,18,50,6.6,4,0.511,24.0,0.125,3.0,44.6,29,0.442,20.1,13,23.0,0.609,14.0,0.471,8,62.3,58.24285714285714,52.63895747599452,13.0,11.142857142857142,10.087791495198905,9.6,9.371428571428572,10.00342935528121,2.6,2.7142857142857144,2.866941015089164,105.16000000000001,105.34285714285714,108.84320987654324,66.4,64.87142857142858,63.18395061728396,21.2,21.0,19.764060356652955,0.526,0.48942857142857144,0.494411522633745,44.0,42.285714285714285,43.100137174211255,0.47379999999999994,0.4412857142857143,0.4435034293552812,20.8,18.714285714285715,19.079561042524006,0.4699999999999999,0.5174285714285715,0.4393964334705077,20.6,21.571428571428573,18.68449931412895,0.576,0.6207142857142857,0.546485596707819,12.6,14.0,11.100137174211252,5.4,4.285714285714286,5.3401920438957475,200.0,200.0,200.0,94.94,90.24285714285715,89.23758573388204,27.32,25.442857142857143,26.96666666666667,5.4,5.142857142857143,5.614540466392318,18.2,18.428571428571427,19.558299039780525,58.8,55.42857142857143,53.63511659807957,7.82,7.757142857142857,7.971193415637861,4.8,4.714285714285714,4.772290809327847,0.3142,0.3458571428571429,0.32885185185185195,13.8,14.428571428571429,14.11385459533608,0.33720000000000006,0.2884285714285714,0.3158271604938272,4.6,4.0,4.375857338820302,47.66,46.357142857142854,45.647325102880664,26.6,26.142857142857142,25.378600823045275,0.542,0.5254285714285715,0.5142167352537723,20.619999999999997,22.02857142857143,22.392729766803846,13.2,14.142857142857142,14.589849108367629,30.2,27.857142857142858,28.986282578875176,0.5346,0.5221428571428571,0.5064417009602196,16.2,14.714285714285714,14.703703703703706,0.5875999999999999,0.6102857142857143,0.5829588477366257,7.6,6.285714285714286,7.1330589849108375
2010-01-23,"Jon M. Huntsman Center, Salt Lake City, Utah",Air Force,Utah,Home,58.8,10,5.9,1,120.3,57.9,12,0.44,42,0.405,17,0.5,21,0.81,17,10,200.0,91.5,25.0,5,22,54,10.2,6,0.333,14.0,0.214,3.0,39.5,17,0.519,21.5,14,28.0,0.5,14.0,0.444,8,55.56,56.85,50.79263831732969,10.4,10.75,9.39186099679927,8.26,8.200000000000001,6.6689529035208075,2.2,2.375,1.9112940100594429,108.52000000000001,107.1375,112.46213991769551,66.4,65.1,64.35596707818931,20.0,21.125,20.50937357110197,0.48599999999999993,0.4775,0.4609410150891634,43.8,42.875,44.400091449474175,0.4378,0.431375,0.4163356195701875,19.0,18.5,18.386374028349337,0.426,0.506,0.4349309556470051,18.4,21.375,19.122999542752634,0.5770000000000001,0.624375,0.5809903978052127,11.2,13.875,11.733424782807502,6.4,4.875,6.560128029263832,200.0,200.0,200.0,89.02000000000001,89.2125,86.82505715592137,23.0,25.0,25.27777777777778,5.6,5.375,6.076360310928212,18.6,18.375,19.038866026520353,53.4,54.75,52.42341106538638,7.980000000000001,7.6125,7.514128943758575,4.8,4.625,4.514860539551899,0.3664,0.36650000000000005,0.38956790123456797,16.2,15.625,17.40923639689072,0.27880000000000005,0.268,0.2522181069958848,4.2,3.875,3.917238225880202,45.06,46.1375,45.29821673525378,25.6,26.5,26.585733882030183,0.5076,0.515,0.49014449016918155,21.16,21.7875,21.628486511202567,13.4,14.0,14.05989940557842,27.6,27.25,26.990855052583456,0.5398,0.533,0.5406278006401464,14.8,14.625,14.469135802469138,0.5546,0.592875,0.5456392318244171,7.8,6.5,7.422039323273893
2010-01-26,"Thomas & Mack Center, Las Vegas, Nevada",Air Force,UNLV,Home,45.0,9,0.0,0,111.1,66.7,18,0.5,45,0.444,20,0.156,7,0.714,5,11,200.0,92.6,20.0,1,13,50,9.3,5,0.4,18.0,0.278,5.0,41.3,19,0.517,18.6,9,27.0,0.556,15.0,0.421,8,50.839999999999996,57.06666666666667,53.4617588782198,9.6,10.666666666666666,9.594573997866181,9.44,7.944444444444445,6.412635269013872,2.4,2.2222222222222223,1.6075293400396287,114.16,108.6,115.07475994513034,62.419999999999995,64.30000000000001,62.20397805212621,18.2,20.11111111111111,17.672915714067983,0.4854,0.47333333333333333,0.45396067672610896,43.4,42.77777777777778,43.60006096631612,0.44159999999999994,0.4284444444444444,0.4125570797134584,19.0,18.333333333333332,17.92424935223289,0.46699999999999997,0.5053333333333333,0.4566206370980035,20.0,21.333333333333332,19.74866636183509,0.616,0.645,0.6573269318701418,13.0,14.222222222222221,13.488949855205002,7.4,5.444444444444445,7.706752019509222,200.0,200.0,200.0,92.4,89.46666666666667,88.38337143728091,24.559999999999995,25.0,25.185185185185187,5.6,5.333333333333333,5.717573540618808,19.6,18.77777777777778,20.025910684346904,54.8,54.666666666666664,52.948940710257595,8.44,7.8999999999999995,8.40941929583905,5.0,4.777777777777778,5.009907026367933,0.3466,0.3627777777777778,0.37071193415637865,15.2,15.444444444444445,16.272824264593815,0.269,0.262,0.23947873799725655,3.8,3.7777777777777777,3.6114921505868014,43.68000000000001,45.400000000000006,43.36547782350252,23.8,25.444444444444443,23.39048925468679,0.5178,0.5154444444444445,0.4997629934461211,20.6,21.755555555555556,21.585657674135046,13.4,14.0,14.039932937052281,28.2,27.333333333333332,27.327236701722306,0.5438,0.5293333333333333,0.5270852004267643,15.2,14.555555555555555,14.312757201646093,0.5267999999999999,0.5763333333333334,0.5117594878829448,8.0,6.666666666666667,7.614692882182595
2010-02-02,"Viejas Arena, San Diego, California",Air Force,San Diego State,Home,57.9,11,6.7,2,129.6,48.3,16,0.522,45,0.422,19,0.133,6,0.167,1,12,200.0,88.9,31.0,7,16,48,3.7,2,0.422,19.0,0.474,9.0,39.7,23,0.502,23.9,14,26.0,0.385,10.0,0.429,9,49.839999999999996,55.86,50.64117258547987,9.0,10.5,9.396382665244122,5.28,7.15,4.275090179342582,1.4,2.0,1.071686226693086,115.05999999999999,108.85,113.74983996342023,62.17999999999999,64.53999999999999,63.70265203475081,18.0,19.9,17.781943809378657,0.45780000000000004,0.476,0.46930711781740597,44.4,43.0,44.06670731087742,0.4104,0.43,0.4230380531423056,18.2,18.5,18.61616623482193,0.34819999999999995,0.4704,0.3564137580653357,15.4,19.9,15.499110907890064,0.6188,0.6519,0.6762179545800946,9.8,13.3,10.659299903470002,8.6,6.0,8.804501346339482,200.0,200.0,200.0,87.32000000000001,89.78,89.78891429152061,25.839999999999996,24.5,23.45679012345679,5.2,4.9,4.145049027079206,19.0,18.2,17.68394045623127,50.4,54.2,51.96596047350506,8.34,8.040000000000001,8.706279530559367,4.8,4.8,5.006604684245289,0.37160000000000004,0.3665,0.38047462277091915,16.6,15.7,16.84854950972921,0.27,0.2636,0.25231915866483773,4.2,3.9,4.074328100391201,43.14,44.989999999999995,42.67698521566835,23.2,24.8,21.926992836457863,0.48840000000000006,0.5156,0.5055086622974141,21.42,21.44,20.590438449423367,13.4,13.5,12.35995529136819,27.8,27.3,27.218157801148205,0.5102,0.532,0.5367234669511762,14.0,14.6,14.54183813443073,0.488,0.5608,0.4815063252552965,8.0,6.8,7.743128588121731
2010-02-06,"Clune Arena , Colorado Springs, Colorado",TCU,Air Force,Away,63.2,12,0.0,0,112.1,84.6,13,0.511,44,0.432,19,0.318,14,0.429,6,13,200.0,87.9,21.4,4,8,51,12.1,7,0.432,19.0,0.368,7.0,41.5,17,0.503,20.6,13,25.0,0.48,12.0,0.409,9,48.08,56.04545454545455,53.06078172365325,8.8,10.545454545454545,9.930921776829415,3.8600000000000003,7.109090909090909,5.083393452895056,1.0,2.0,1.381124151128724,120.28,110.73636363636363,119.03322664228017,59.58,63.06363636363637,58.56843468983388,16.8,19.545454545454547,17.187962539585772,0.47119999999999995,0.4801818181818182,0.48687141187827065,44.6,43.18181818181818,44.37780487391828,0.413,0.42927272727272725,0.42269203542820377,18.4,18.545454545454547,18.74411082321462,0.293,0.4397272727272727,0.2819425053768905,13.0,18.636363636363637,12.332740605260044,0.541,0.6078181818181818,0.5064786363867297,8.0,12.181818181818182,7.439533268980002,9.8,6.545454545454546,9.869667564226322,200.0,200.0,200.0,87.56,89.7,89.49260952768041,26.24,25.09090909090909,25.971193415637863,5.4,5.090909090909091,5.096699351386137,18.2,18.0,17.122626970820846,50.0,53.63636363636363,50.64397364900338,7.68,7.645454545454545,7.037519687039579,4.4,4.545454545454546,4.004403122830193,0.40140000000000003,0.3715454545454545,0.3943164151806128,18.0,16.0,17.565699673152807,0.2982,0.28272727272727277,0.3262127724432251,5.2,4.363636363636363,5.716218733594134,42.04,44.50909090909091,41.684656810445574,22.2,24.636363636363637,22.28466189097191,0.4936,0.5143636363636364,0.5043391081982761,22.2,21.663636363636364,21.693625632948912,13.6,13.545454545454545,12.906636860912126,26.6,27.181818181818183,26.812105200765473,0.49959999999999993,0.5186363636363637,0.4861489779674508,13.2,14.181818181818182,13.027892089620487,0.4596,0.5488181818181818,0.4640042168368643,8.2,7.0,8.162085725414489
2010-02-09,"Clune Arena , Colorado Springs, Colorado",Colorado State,Air Force,Away,64.3,9,0.0,0,89.5,81.8,18,0.356,45,0.311,14,0.467,21,0.714,15,14,200.0,82.5,15.6,5,19,47,12.3,7,0.467,21.0,0.19,4.0,42.6,23,0.427,14.2,9,24.0,0.417,10.0,0.391,9,54.4,56.64166666666667,56.44052114910217,10.0,10.666666666666666,10.620614517886278,2.5200000000000005,6.516666666666667,3.388928968596704,0.6,1.8333333333333333,0.9207494340858161,118.55999999999999,110.85000000000001,116.72215109485344,64.84,64.85833333333333,67.24562312655593,16.2,19.0,15.791975026390517,0.4734,0.48275,0.4949142745855138,44.6,43.25,44.25186991594552,0.413,0.4295,0.42579469028546924,18.4,18.583333333333332,18.829407215476415,0.3066,0.4295833333333334,0.29396167025126035,13.6,18.25,12.88849373684003,0.554,0.5929166666666666,0.48065242425781984,8.4,11.666666666666666,6.959688845986668,11.0,7.083333333333333,10.913111709484216,200.0,200.0,200.0,88.58,89.55,88.96173968512028,23.86,24.78333333333333,24.447462277091912,4.8,5.0,4.7311329009240914,15.4,17.166666666666668,14.081751313880565,50.6,53.416666666666664,50.76264909933559,8.379999999999999,8.016666666666667,8.725013124693053,4.8,4.75,5.002935415220129,0.4196000000000001,0.3765833333333333,0.4068776101204086,18.8,16.25,18.04379978210187,0.2918,0.28983333333333333,0.34014184829548344,5.4,4.583333333333333,6.14414582239609,41.32000000000001,44.25833333333333,41.62310454029705,21.0,24.0,20.52310792731461,0.49660000000000004,0.5134166666666666,0.5038927387988508,20.94,21.575,21.329083755299276,12.6,13.5,12.93775790727475,25.8,27.0,26.20807013384365,0.506,0.5154166666666666,0.48409931864496725,13.0,14.0,12.685261393080326,0.43479999999999996,0.5371666666666667,0.4456694778912429,8.4,7.166666666666667,8.44139048360966
2010-02-20,"The Pit/Bob King Court, Albuquerque, New Mexico",Air Force,New Mexico,Home,52.4,11,0.0,0,113.5,57.7,16,0.585,41,0.512,21,0.244,10,0.8,8,16,200.0,107.7,35.3,5,21,56,3.8,2,0.366,15.0,0.4,6.0,48.8,21,0.612,23.6,12,26.0,0.577,15.0,0.36,9,57.839999999999996,57.23076923076923,59.06034743273478,10.2,10.538461538461538,10.080409678590852,2.5200000000000005,6.015384615384615,2.2592859790644697,0.6,1.6923076923076923,0.6138329560572108,112.51999999999998,109.20769230769231,107.6481007299023,67.85999999999999,66.16153846153847,72.09708208437061,15.4,18.923076923076923,16.527983350927013,0.46580000000000005,0.473,0.4486095163903425,44.2,43.38461538461539,44.501246610630346,0.40279999999999994,0.42038461538461536,0.38752979352364614,17.8,18.23076923076923,17.219604810317612,0.3148,0.43246153846153845,0.35164111350084026,13.8,18.46153846153846,15.592329157893355,0.5668,0.6022307692307692,0.5584349495052132,8.8,11.923076923076923,9.639792563991112,12.0,7.615384615384615,11.942074472989479,200.0,200.0,200.0,88.67999999999999,89.0076923076923,86.80782645674685,22.6,24.076923076923077,21.498308184727943,4.4,5.0,4.820755267282728,15.6,17.307692307692307,15.721167542587043,50.0,52.92307692307692,49.5084327328904,9.52,8.346153846153847,9.916675416462034,5.4,4.923076923076923,5.668623610146753,0.41080000000000005,0.3835384615384616,0.4269184067469391,18.2,16.615384615384617,19.029199854734582,0.3048,0.28215384615384614,0.2900945655303223,5.6,4.538461538461538,5.42943054826406,40.92,44.13076923076923,41.94873636019804,19.8,23.923076923076923,21.34873861820974,0.4936,0.5067692307692307,0.47826182586590055,19.76,21.00769230769231,18.952722503532854,11.8,13.153846153846153,11.625171938183168,26.0,26.76923076923077,25.472046755895768,0.4676,0.5078461538461538,0.46173287909664484,12.2,13.692307692307692,11.79017426205355,0.41879999999999995,0.5259230769230769,0.42744631859416193,8.6,7.3076923076923075,8.627593655739773
2010-02-24,"Clune Arena , Colorado Springs, Colorado",Utah,Air Force,Away,38.9,7,3.8,1,105.9,63.2,13,0.442,43,0.419,18,0.279,12,0.417,5,17,200.0,84.3,17.9,4,22,43,11.8,6,0.395,17.0,0.118,2.0,36.2,17,0.441,12.7,7,26.0,0.615,16.0,0.346,9,56.55999999999999,56.885714285714286,56.84023162182319,10.4,10.571428571428571,10.386939785727236,1.34,5.585714285714286,1.5061906527096467,0.4,1.5714285714285714,0.4092219707048072,111.16,109.51428571428572,109.59873381993486,67.82000000000001,65.55714285714285,67.29805472291375,16.2,18.714285714285715,16.35198890061801,0.4948,0.481,0.49407301092689504,44.0,43.214285714285715,43.3341644070869,0.4242,0.42692857142857144,0.4290198623490975,18.6,18.428571428571427,18.479736540211743,0.2636,0.419,0.3157607423338935,11.6,17.857142857142858,13.72821943859557,0.5648,0.6163571428571428,0.6389566330034755,7.0,11.642857142857142,9.093195042660742,13.2,8.214285714285714,13.294716315326319,200.0,200.0,200.0,91.92,90.34285714285714,93.77188430449792,24.660000000000004,24.87857142857143,26.098872123151963,4.4,5.0,4.880503511521819,15.4,17.571428571428573,17.480778361724695,50.4,53.142857142857146,51.6722884885936,8.24,8.02142857142857,7.87778361097469,4.6,4.714285714285714,4.445749073431169,0.41740000000000005,0.3822857142857143,0.4066122711646261,18.4,16.5,17.686133236489724,0.34199999999999997,0.2905714285714286,0.32672971035354825,6.2,4.642857142857143,5.619620365509373,42.78,44.464285714285715,44.232490906798695,20.6,23.714285714285715,21.232492412139827,0.5122,0.5142857142857143,0.5228412172439337,20.18,21.192857142857143,20.501815002355237,11.4,13.071428571428571,11.750114625455446,25.6,26.714285714285715,25.64803117059718,0.483,0.5127857142857143,0.5001552527310966,12.4,13.785714285714286,12.860116174702368,0.40199999999999997,0.5140714285714286,0.40496421239610797,8.8,7.428571428571429,8.751729103826516
