date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-02,"McKale Center, Tucson, Arizona",NEVADA-LAS-VEGAS,ARIZONA,Away,65.2,15,2.4,1,92.5,76.9,30,0.397,63,0.365,23,0.444,28,0.786,22,3,250.0,90.0,23.1,9,19,72,5.0,4,0.349,22.0,0.182,4.0,50.0,39,0.472,13.7,12,41.0,0.463,19.0,0.5,3,47.4,47.4,43.6,12.6,12.6,11.740740740740742,10.620000000000001,10.620000000000001,10.393827160493828,4.8,4.8,4.666666666666667,97.66,97.66,104.07654320987656,66.36,66.36,66.10123456790124,27.2,27.2,26.135802469135808,0.5124000000000001,0.5124000000000001,0.5178641975308642,56.6,56.6,57.35802469135803,0.4514,0.4514,0.4551975308641976,25.8,25.8,26.296296296296305,0.446,0.446,0.43997530864197537,24.0,24.0,24.30864197530865,0.6736,0.6736,0.6900123456790124,16.8,16.8,17.135802469135804,0.8,0.8,1.037037037037037,205.0,205.0,205.55555555555557,103.4,103.4,105.4382716049383,31.2,31.2,32.84691358024692,8.0,8.0,8.407407407407408,22.4,22.4,23.370370370370374,75.4,75.4,76.96296296296298,7.5,7.5,6.154320987654321,5.4,5.4,4.456790123456791,0.3222,0.3222,0.3257037037037038,18.4,18.4,18.790123456790127,0.3614,0.3614,0.36672839506172844,7.0,7.0,7.234567901234569,51.7,51.7,52.000000000000014,35.2,35.2,34.543209876543216,0.5526,0.5526,0.5573086419753086,17.32,17.32,16.686419753086422,13.8,13.8,13.469135802469136,38.2,38.2,38.56790123456791,0.4875999999999999,0.4875999999999999,0.4905432098765432,18.8,18.8,19.06172839506173,0.8034000000000001,0.8034000000000001,0.7617777777777779,2.2,2.2,2.358024691358025
2009-12-06,"Lloyd Noble Center, Norman, Oklahoma",ARIZONA,OKLAHOMA,Home,59.1,13,6.3,2,116.2,85.7,26,0.53,50,0.44,22,0.26,13,0.692,9,4,200.0,91.2,18.5,3,19,62,7.4,5,0.34,17.0,0.529,9.0,52.7,29,0.552,23.4,16,33.0,0.394,13.0,0.429,3,52.44,50.36666666666667,50.800000000000004,13.2,13.0,12.827160493827162,8.6,9.25,7.729218106995886,3.8,4.166666666666667,3.444444444444445,97.97999999999999,96.8,100.21769547325104,66.17999999999999,68.11666666666666,69.7008230452675,27.4,27.666666666666668,27.423868312757207,0.487,0.4931666666666667,0.4775761316872429,56.8,57.666666666666664,59.238683127572024,0.4276,0.437,0.42513168724279843,24.4,25.333333333333332,25.19753086419754,0.4412,0.44566666666666666,0.44131687242798356,23.8,24.666666666666668,25.53909465020577,0.679,0.6923333333333334,0.7220082304526749,16.8,17.666666666666668,18.757201646090536,1.4,1.1666666666666667,1.691358024691358,215.0,212.5,220.37037037037038,98.8,101.16666666666667,100.29218106995887,29.160000000000004,29.849999999999998,29.59794238683128,8.0,8.166666666666666,8.60493827160494,23.4,21.833333333333332,21.913580246913583,72.4,74.83333333333333,75.30864197530866,6.94,7.083333333333333,5.769547325102881,5.0,5.166666666666667,4.3045267489711945,0.3274,0.32666666666666666,0.3334691358024692,18.8,19.0,19.860082304526752,0.3478,0.33149999999999996,0.30515226337448564,6.8,6.5,6.1563786008230466,50.18,51.416666666666664,51.33333333333334,35.4,35.833333333333336,36.028806584362144,0.5322,0.5391666666666667,0.5288724279835391,17.3,16.716666666666665,15.690946502057615,13.8,13.5,12.97942386831276,38.0,38.666666666666664,39.378600823045275,0.4612,0.4835,0.4813621399176955,17.6,18.833333333333332,19.04115226337449,0.7034,0.7528333333333334,0.6745185185185186,2.6,2.3333333333333335,2.57201646090535
2009-12-09,"McKale Center, Tucson, Arizona",LOUISIANA-TECH,ARIZONA,Home,44.8,13,2.3,1,91.8,62.5,27,0.57,57,0.509,29,0.421,24,0.75,18,4,200.0,113.7,32.3,8,18,83,8.2,6,0.333,19.0,0.368,7.0,49.3,35,0.607,19.1,16,38.0,0.579,22.0,0.5,4,48.699999999999996,51.614285714285714,53.56666666666668,11.6,13.0,12.884773662551442,8.52,8.828571428571427,7.252812071330591,3.6,3.857142857142857,2.9629629629629637,107.22,99.57142857142857,105.5451303155007,71.62,70.62857142857142,75.03388203017833,27.2,27.428571428571427,26.94924554183814,0.49139999999999995,0.4984285714285714,0.49505075445816193,54.8,56.57142857142857,56.15912208504802,0.42560000000000003,0.43742857142857144,0.430087791495199,23.4,24.857142857142858,24.13168724279836,0.4598,0.41914285714285715,0.3808779149519891,24.4,23.0,21.359396433470515,0.7174,0.6922857142857143,0.71200548696845,17.6,16.428571428571427,15.504801097393692,2.2,1.5714285714285714,2.460905349794239,215.0,210.71428571428572,213.58024691358025,98.17999999999999,99.74285714285715,97.26145404663924,25.58,28.228571428571428,25.898628257887523,6.8,7.428571428571429,6.736625514403294,24.4,21.428571428571427,20.942386831275723,71.6,73.0,70.87242798353911,5.279999999999999,7.128571428571428,6.313031550068588,3.8,5.142857142857143,4.536351165980797,0.33199999999999996,0.32857142857142857,0.3356460905349795,18.4,18.714285714285715,18.90672153635117,0.38,0.3597142857142857,0.3797681755829905,7.2,6.857142857142857,7.104252400548698,51.00000000000001,51.6,51.788888888888906,34.0,34.857142857142854,33.68587105624143,0.5406,0.541,0.5365816186556928,17.8,17.67142857142857,18.260631001371742,13.8,13.857142857142858,13.986282578875173,36.4,37.857142857142854,37.252400548696855,0.4424,0.4707142857142857,0.452241426611797,16.2,18.0,17.02743484224966,0.5892000000000001,0.7065714285714285,0.5926790123456791,2.8,2.4285714285714284,2.7146776406035666
2009-12-12,"Viejas Arena, San Diego, California",ARIZONA,SAN-DIEGO-STATE,Home,62.5,10,4.7,2,103.3,41.4,13,0.378,45,0.356,16,0.4,18,0.667,12,5,200.0,75.4,34.5,9,14,46,6.6,4,0.222,10.0,0.2,2.0,37.9,22,0.43,23.2,16,35.0,0.4,14.0,0.444,4,51.4,50.762499999999996,50.64444444444445,13.2,13.0,12.923182441700963,6.659999999999999,8.0125,5.601874714220394,2.8,3.5,2.308641975308643,107.0,98.6,100.96342021033381,70.2,69.6125,70.85592135345223,26.2,27.375,26.966163694558762,0.5258,0.507375,0.5200338363054413,57.4,56.625,56.43941472336535,0.4546,0.446375,0.4563918609967994,26.0,25.375,25.75445816186558,0.3758,0.419375,0.39425194330132607,21.8,23.125,22.239597622313678,0.7268000000000001,0.6995,0.7246703246456334,16.0,16.625,16.33653406492913,2.8,1.875,2.973936899862826,215.0,209.375,209.05349794238685,103.5,101.4875,102.74096936442618,28.339999999999996,28.737499999999997,28.032418838591685,7.4,7.5,7.157750342935531,22.0,21.0,19.961591220850483,76.0,74.25,74.91495198902608,5.5,7.2625,6.942021033379058,4.0,5.25,5.024234110653865,0.3486,0.329125,0.334764060356653,20.0,18.75,18.937814357567447,0.399,0.36075,0.37584545038866035,8.0,6.875,7.069501600365799,50.72,51.3125,50.95925925925927,33.6,34.875,34.12391403749429,0.5630000000000001,0.54925,0.5600544124371285,17.86,17.85,18.540420667581163,14.2,14.125,14.657521719250116,37.4,37.875,37.501600365797906,0.47939999999999994,0.48424999999999996,0.4944942844078647,18.0,18.5,18.684956561499774,0.5558,0.68075,0.5617860082304528,3.2,2.625,3.1431184270690444
2009-12-21,"McKale Center, Tucson, Arizona",LIPSCOMB,ARIZONA,Home,54.2,13,5.7,2,110.8,57.6,20,0.538,53,0.453,24,0.679,36,0.722,26,5,225.0,112.2,32.3,9,15,83,10.8,8,0.396,21.0,0.429,9.0,45.3,29,0.592,15.9,13,32.0,0.469,15.0,0.5,5,53.239999999999995,52.06666666666666,54.5962962962963,12.0,12.666666666666666,11.94878829446731,4.2,7.644444444444444,5.301249809480264,1.6,3.3333333333333335,2.2057613168724286,104.75999999999999,99.12222222222222,101.74228014022253,65.3,66.47777777777777,61.03728090230149,23.4,25.77777777777778,22.31077579637251,0.4715999999999999,0.49300000000000005,0.4726892242036276,55.0,55.333333333333336,52.626276482243576,0.4206,0.43633333333333335,0.4229279073311996,23.2,24.333333333333332,22.502972107910388,0.375,0.4172222222222222,0.3961679622008841,20.8,22.555555555555557,20.826398414875786,0.7123999999999999,0.6958888888888889,0.705446883097089,15.0,16.11111111111111,14.891022709952754,3.6,2.2222222222222223,3.6492912665752177,210.0,208.33333333333334,206.03566529492457,94.64,98.58888888888889,93.62731290961747,30.439999999999998,29.377777777777776,30.188279225727793,8.0,7.666666666666667,7.771833561957021,19.0,20.22222222222222,17.974394147233657,67.0,71.11111111111111,65.27663465935072,6.3,7.188888888888889,6.828014022252706,4.4,5.111111111111111,4.68282274043591,0.3088,0.31722222222222224,0.2971760402377687,17.2,17.77777777777778,15.958542905044965,0.3224,0.34288888888888885,0.3172303002591069,5.6,6.333333333333333,5.3796677335772,48.3,49.82222222222222,46.606172839506186,31.4,33.44444444444444,30.082609358329528,0.5149999999999999,0.536,0.5167029416247524,19.04,18.444444444444443,20.093613778387443,14.6,14.333333333333334,15.105014479500078,37.8,37.55555555555556,36.667733577198604,0.4624,0.4748888888888889,0.46299618960524314,17.6,18.0,17.123304374333184,0.4946,0.6544444444444444,0.5225240054869685,3.4,2.7777777777777777,3.4287456180460296
2009-12-23,"McKale Center, Tucson, Arizona",NORTH-CAROLINA-STATE,ARIZONA,Home,53.8,14,6.4,3,100.0,52.9,20,0.5,57,0.456,26,0.474,27,0.704,19,5,200.0,102.7,25.0,5,15,76,14.9,11,0.228,13.0,0.385,5.0,40.3,25,0.544,13.8,11,44.0,0.477,21.0,0.545,6,57.160000000000004,52.279999999999994,54.46419753086421,12.8,12.7,12.299192196311541,4.279999999999999,7.45,5.434166539653509,1.6,3.2,2.137174211248286,102.92,100.28999999999999,104.76152009348169,64.82000000000001,65.59,59.891520601534324,23.2,25.2,21.540517197581675,0.48260000000000003,0.49749999999999994,0.4944594828024184,53.6,55.1,52.750850988162384,0.4246,0.438,0.4329519382207998,22.8,24.3,23.001981405273593,0.4408,0.4434,0.4904453081339228,23.8,23.9,25.884265609917193,0.7234,0.6985,0.7109645887313927,17.4,17.1,18.594015139968505,4.2,2.5,4.0995275110501455,215.0,210.0,212.3571101966164,96.5,99.95,99.81820860641164,28.139999999999997,29.669999999999998,30.8921861504852,7.6,7.8,8.181222374638015,17.0,19.7,16.982929431489104,69.2,72.3,71.18442310623382,7.6,7.55,8.152009348168471,5.4,5.4,5.78854849362394,0.328,0.3251,0.3301173601585125,17.8,18.1,17.63902860336331,0.3416,0.35150000000000003,0.35448686683940467,6.2,6.6,6.586445155718134,47.04,49.37,46.170781893004126,30.8,33.0,29.72173957221969,0.5306,0.5416000000000001,0.5418019610831682,19.060000000000002,18.19,18.695742518924963,14.6,14.2,14.403342986333385,35.8,37.0,35.11182238479907,0.46099999999999997,0.47430000000000005,0.46499745973682877,16.6,17.7,16.41553624955546,0.4746,0.639,0.5150160036579791,3.8,3.0,3.9524970786973532
2009-12-28,"McKale Center, Tucson, Arizona",BRIGHAM-YOUNG,ARIZONA,Away,42.3,11,5.0,2,135.6,57.7,16,0.491,56,0.464,26,0.411,23,0.609,14,6,200.0,94.5,33.3,10,13,69,6.8,5,0.304,17.0,0.176,3.0,44.1,26,0.516,22.3,19,39.0,0.59,23.0,0.5,6,54.879999999999995,52.41818181818182,54.24279835390948,12.6,12.818181818181818,12.866128130874362,5.08,7.354545454545455,5.756111026435673,2.0,3.1818181818181817,2.4247828074988576,104.42,100.26363636363637,103.1743467289878,60.02,64.43636363636364,57.56101373435622,21.2,24.727272727272727,21.02701146505445,0.5032,0.4977272727272727,0.49630632186827894,52.4,55.27272727272727,54.16723399210826,0.44279999999999997,0.43963636363636366,0.4406346254805332,23.4,24.454545454545453,24.001320936849062,0.4468,0.44618181818181823,0.48496353875594855,23.6,24.181818181818183,26.25617707327813,0.7070000000000001,0.699,0.7086430591542618,16.8,17.272727272727273,18.72934342664567,4.6,2.727272727272727,4.399685007366764,205.0,209.0909090909091,208.23807346441095,99.04,100.2,100.77880573760777,28.52,29.245454545454546,28.928124100323465,6.8,7.545454545454546,7.120814916425344,16.2,19.272727272727273,16.321952954326072,70.0,72.63636363636364,72.78961540415588,9.58,8.218181818181819,10.40133956544565,6.8,5.909090909090909,7.525698995749294,0.3038,0.31627272727272726,0.296078240105675,16.0,17.636363636363637,16.092685735575543,0.3822,0.35454545454545455,0.3646579112262698,6.4,6.454545454545454,6.057630103812089,45.1,48.54545454545455,44.21385459533609,28.0,32.27272727272727,28.147826381479796,0.545,0.5418181818181819,0.5425346407221122,19.080000000000002,17.79090909090909,17.063828345949975,14.4,13.909090909090908,13.268895324222257,36.4,37.63636363636363,38.074548256532715,0.4638,0.47454545454545455,0.4689983064912192,17.0,18.0,17.943690833036975,0.48360000000000003,0.6304545454545454,0.5250106691053195,4.4,3.272727272727273,4.634998052464903
2009-12-31,"Galen Center, Los Angeles, California",ARIZONA,SOUTHERN-CALIFORNIA,Home,46.7,7,5.0,2,90.3,63.0,21,0.34,50,0.3,15,0.36,18,0.889,16,7,200.0,80.6,38.7,8,18,50,6.5,4,0.28,14.0,0.286,4.0,50.0,29,0.427,20.6,15,36.0,0.306,11.0,0.462,6,51.52,51.574999999999996,50.261865569272985,12.2,12.666666666666666,12.244085420582909,4.82,7.158333333333334,5.504074017623783,2.0,3.0833333333333335,2.283188538332572,108.3,103.20833333333333,113.98289781932522,54.42,63.875,57.60734248957082,19.2,24.0,19.351340976702968,0.49539999999999995,0.4971666666666667,0.49453754791218596,53.6,55.333333333333336,54.77815599473884,0.4476,0.44166666666666665,0.4484230836536889,24.2,24.583333333333332,24.667547291232708,0.47700000000000004,0.44325,0.46030902583729905,25.6,24.083333333333332,25.170784715518757,0.6904,0.6915,0.6754287061028412,17.8,17.0,17.152895617763782,5.0,3.0,4.93312333824451,205.0,208.33333333333334,205.49204897627396,99.7,99.72500000000001,98.68587049173853,31.479999999999997,29.583333333333332,30.38541606688231,8.2,7.75,8.080543277616897,15.0,18.75,15.214635302884048,71.4,72.33333333333333,71.52641026943726,9.46,8.1,9.200893043630433,6.8,5.833333333333333,6.6837993304995305,0.29660000000000003,0.31525,0.2987188267371167,16.0,17.583333333333332,16.39512382371703,0.3116,0.3396666666666666,0.3017719408175132,5.2,6.166666666666667,5.03842006920806,43.379999999999995,48.175000000000004,44.1759030635574,27.4,31.75,27.43188425431987,0.5378000000000001,0.5396666666666666,0.5336897604814081,18.86,18.166666666666668,18.809218897299985,15.0,14.333333333333334,15.179263549481504,37.6,37.75,38.38303217102181,0.5029999999999999,0.48416666666666663,0.5093322043274795,19.0,18.416666666666668,19.62912722202465,0.49779999999999996,0.6195833333333333,0.5166737794035463,5.0,3.5,5.089998701643269
2010-01-02,"Pauley Pavilion, Los Angeles, California",ARIZONA,UCLA,Away,50.0,14,17.6,6,92.6,71.9,24,0.534,58,0.483,28,0.362,21,0.714,15,7,200.0,113.2,37.5,11,20,77,10.3,7,0.259,15.0,0.4,6.0,54.7,35,0.566,14.1,11,43.0,0.512,22.0,0.5,7,51.9,51.2,49.074577046182,11.0,12.23076923076923,10.496056947055273,5.36,6.992307692307692,5.336049345082522,2.2,3.0,2.1887923588883815,108.0,102.21538461538461,106.08859854621682,54.52,63.80769230769231,59.404894993047215,18.0,23.76923076923077,19.900893984468645,0.4494000000000001,0.48507692307692307,0.44302503194145737,52.2,54.92307692307692,53.185437329825895,0.4058,0.43076923076923074,0.3989487224357926,21.4,23.846153846153847,21.445031527488474,0.4648,0.4368461538461539,0.4268726838915327,24.4,23.615384615384617,22.780523143679172,0.7182,0.7066923076923076,0.7466191374018942,17.4,16.923076923076923,16.76859707850919,5.6,3.3076923076923075,5.6220822254963405,205.0,207.69230769230768,203.66136598418265,93.08,98.25384615384615,92.65724699449235,32.760000000000005,30.284615384615385,33.15694404458821,8.2,7.769230769230769,8.053695518411265,15.0,18.692307692307693,16.1430902019227,64.8,70.61538461538461,64.35094017962484,9.120000000000001,7.976923076923077,8.300595362420289,6.4,5.6923076923076925,5.789199553666354,0.28600000000000003,0.31253846153846154,0.2924792178247445,15.0,17.307692307692307,15.596749215811354,0.2952,0.33553846153846156,0.29651462721167543,4.6,6.0,4.692280046138707,43.519999999999996,48.315384615384616,46.11726870903827,26.2,31.53846153846154,27.954589502879912,0.5018,0.5309999999999999,0.49812650698760547,19.160000000000004,18.353846153846153,19.406145931533324,14.8,14.384615384615385,15.11950903298767,37.2,37.61538461538461,37.588688114014545,0.4484,0.47046153846153843,0.44155480288498633,16.8,17.846153846153847,16.75275148134977,0.4902,0.6074615384615385,0.4984491862690309,5.4,3.6923076923076925,5.39333246776218
2010-01-08,"McKale Center, Tucson, Arizona",WASHINGTON-STATE,ARIZONA,Away,53.8,14,6.7,3,111.4,52.0,16,0.527,56,0.464,26,0.429,24,0.708,17,8,200.0,108.6,29.0,6,23,76,10.0,7,0.357,20.0,0.35,7.0,39.3,22,0.564,13.1,10,36.0,0.528,19.0,0.467,7,49.4,51.114285714285714,49.383051364121336,11.8,12.357142857142858,11.664037964703516,7.94,7.75,9.424032896721682,3.0,3.2142857142857144,3.459194905925588,105.85999999999999,101.52857142857144,101.59239903081121,60.620000000000005,64.38571428571429,63.56992999536482,20.2,23.785714285714285,21.267262656312433,0.4806,0.48857142857142855,0.4733500212943049,54.8,55.142857142857146,54.79029155321727,0.4312,0.4345,0.4269658149571951,23.8,24.142857142857142,23.63002101832565,0.4572,0.43150000000000005,0.4052484559276885,25.0,23.428571428571427,22.187015429119448,0.7276,0.7072142857142857,0.7357460916012628,18.0,16.785714285714285,16.179064719006128,6.0,3.5714285714285716,6.081388150330894,205.0,207.14285714285714,202.4409106561218,100.64,99.32142857142857,99.50483132966158,33.36,30.8,34.604629363058805,8.6,8.0,9.035797012274177,16.2,18.785714285714285,17.4287268012818,71.0,71.07142857142857,68.56729345308324,9.86,8.142857142857142,8.96706357494686,7.0,5.785714285714286,6.192799702444236,0.2934,0.3087142857142857,0.2813194785498297,16.0,17.142857142857142,15.397832810540903,0.3352,0.3401428571428572,0.33100975147445033,5.4,6.0,5.1281866974258055,46.88,48.771428571428565,48.97817913935885,28.8,31.785714285714285,30.303059668586613,0.529,0.5335,0.5207510046584036,17.34,18.05,17.63743062102222,13.8,14.142857142857142,13.746339355325114,38.8,38.0,39.39245874267637,0.4708,0.4734285714285714,0.46503653525665756,18.4,18.142857142857142,18.501834320899846,0.5014000000000001,0.5997857142857143,0.49896612417935393,6.0,3.9285714285714284,5.928888311841454
