date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"H.O. Clemmons Arena, Pine Bluff, Arkansas","Champion Christian
			",Arkansas-Pine Bluff,Home,75.0,21,15.0,3,91.8,91.7,22,0.526,58,0.483,28,0.362,21,0.667,14,5,200,102.7,51.6,16,21,75,13.7,10,0.31,18,0.278,5,69.1,38,0.552,20.2,17,40,0.575,23,0.167,1,48.8,48.8,54.30370370370371,9.0,9.0,9.4320987654321,6.840000000000001,6.840000000000001,7.112345679012346,2.2,2.2,2.320987654320988,106.34,106.34,102.30740740740742,71.16,71.16,71.84938271604939,22.8,22.8,24.01234567901235,0.4044,0.4044,0.39814814814814825,50.6,50.6,49.16049382716051,0.3718,0.3718,0.3623456790123457,19.0,19.0,17.98765432098766,0.27,0.27,0.2555432098765433,13.6,13.6,12.49382716049383,0.6033999999999999,0.6033999999999999,0.6145432098765433,8.2,8.2,7.617283950617285,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,70.36,70.36,68.43580246913581,18.98,18.98,20.841975308641977,5.8,5.8,6.098765432098767,20.0,20.0,18.901234567901238,49.4,49.4,47.0246913580247,11.14,11.14,10.581481481481484,7.8,7.8,7.3086419753086425,0.256,0.256,0.27101234567901245,12.8,12.8,13.209876543209877,0.24939999999999998,0.24939999999999998,0.2601234567901235,3.2,3.2,3.4320987654321,45.94,45.94,48.244444444444454,28.6,28.6,30.111111111111118,0.4314,0.4314,0.42553086419753094,24.46,24.46,25.871604938271606,18.2,18.2,18.98765432098766,37.8,37.8,35.95061728395062,0.41080000000000005,0.41080000000000005,0.39802469135802476,15.8,15.8,14.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-04,"Donald W. Reynolds Center, Tulsa, Oklahoma",Arkansas-Pine Bluff,Tulsa,Home,35.7,5,17.1,6,107.5,58.6,17,0.36,43,0.326,14,0.326,14,0.571,8,6,200,58.2,20.7,6,10,39,13.4,9,0.302,13,0.231,3,39.7,23,0.393,32.8,24,30,0.367,11,0.143,1,56.1,53.166666666666664,61.20246913580248,12.2,11.0,13.2880658436214,8.02,8.200000000000001,9.741563786008232,2.2,2.3333333333333335,2.547325102880659,104.7,103.91666666666667,98.80493827160495,76.36,74.58333333333333,78.46625514403293,22.6,22.666666666666668,23.341563786008233,0.44299999999999995,0.4246666666666667,0.44076543209876556,53.2,51.833333333333336,52.10699588477368,0.41059999999999997,0.39033333333333337,0.4025637860082305,22.0,20.5,21.32510288065844,0.258,0.2853333333333333,0.2910288065843622,14.0,14.833333333333334,15.329218106995887,0.6209999999999999,0.614,0.6320288065843622,8.8,9.166666666666666,9.744855967078191,3.8,3.3333333333333335,3.9300411522633745,200.0,200.0,200.0,79.17999999999999,75.75,79.85720164609054,25.96,24.416666666666668,31.09465020576132,8.0,7.5,9.39917695473251,20.0,20.166666666666668,19.600823045267493,56.2,53.666666666666664,56.34979423868313,12.74,11.566666666666668,11.62098765432099,9.0,8.166666666666666,8.20576131687243,0.2646,0.265,0.284008230452675,14.0,13.666666666666666,14.806584362139919,0.23840000000000003,0.25416666666666665,0.266082304526749,3.4,3.5,3.954732510288067,51.14,49.79999999999999,55.1962962962963,30.6,30.166666666666668,32.74074074074075,0.466,0.4515,0.467687242798354,22.86,23.75,23.98106995884774,17.4,18.0,18.32510288065844,39.2,38.166666666666664,37.30041152263375,0.47119999999999995,0.43816666666666665,0.45701646090534986,18.6,17.0,17.370370370370374,0.0334,0.027833333333333335,0.05566666666666667,0.2,0.16666666666666666,0.3333333333333333
2019-12-07,"Don Haskins Center, El Paso, Texas",Arkansas-Pine Bluff,UTEP,Home,27.8,5,3.7,1,93.7,80.8,21,0.5,42,0.429,18,0.238,10,0.8,8,7,200,79.4,20.0,5,18,50,11.1,7,0.333,14,0.429,6,51.0,26,0.535,31.2,21,28,0.429,12,0.125,1,55.42,50.67142857142857,52.70164609053499,11.4,10.142857142857142,10.525377229080934,10.84,9.471428571428572,12.194375857338823,3.2,2.857142857142857,3.698216735253773,97.62,104.42857142857143,101.70329218106997,76.22,72.3,71.84417009602195,22.8,21.857142857142858,21.227709190672158,0.42919999999999997,0.4154285714285714,0.4138436213991771,50.6,50.57142857142857,49.071330589849126,0.3936,0.38114285714285717,0.377042524005487,20.2,19.571428571428573,18.883401920438963,0.259,0.2911428571428571,0.30268587105624145,13.2,14.714285714285714,14.886145404663925,0.6018,0.6078571428571429,0.6116858710562415,8.0,9.0,9.163237311385462,4.6,3.7142857142857144,4.62002743484225,200.0,200.0,200.0,75.24,73.24285714285715,72.63813443072704,28.28,23.885714285714283,27.62976680384088,8.6,7.285714285714286,8.266117969821675,16.8,18.714285714285715,16.400548696844996,52.0,51.57142857142857,50.56652949245542,13.86,11.828571428571427,12.213991769547327,9.6,8.285714285714286,8.47050754458162,0.2892,0.2702857142857143,0.29000548696844997,14.6,13.571428571428571,14.204389574759947,0.2446,0.25085714285714283,0.2543882030178327,3.6,3.4285714285714284,3.6364883401920447,52.739999999999995,48.357142857142854,50.030864197530875,31.4,29.142857142857142,29.493827160493836,0.4516,0.44314285714285717,0.4427914951989027,25.419999999999998,25.042857142857144,26.920713305898495,19.0,18.857142857142858,20.216735253772296,36.0,37.0,34.86694101508917,0.4532,0.428,0.4270109739368999,16.6,16.142857142857142,15.246913580246916,0.062,0.04428571428571428,0.08477777777777779,0.4,0.2857142857142857,0.5555555555555556
2019-12-14,"Gill Coliseum, Corvallis, Oregon",Arkansas-Pine Bluff,Oregon State,Home,82.4,14,4.0,1,117.6,73.7,14,0.426,47,0.362,17,0.234,11,0.545,6,8,200,67.6,14.3,4,22,46,14.7,10,0.277,13,0.462,6,38.3,18,0.44,27.8,20,34,0.324,11,0.111,1,52.8,47.8125,44.40109739369,10.6,9.5,8.68358481938729,10.28,8.75,9.362917238225883,3.0,2.625,2.798811156835849,96.94,103.0875,99.03552812071332,76.22,73.3625,74.8294467306813,22.8,21.75,21.151806127114774,0.4452,0.426,0.4425624142661181,47.8,49.5,46.71422039323276,0.4008,0.387125,0.3943616826703247,19.4,19.375,18.588934613625977,0.2566,0.2845,0.2811239140374943,12.4,14.125,13.257430269775952,0.6618,0.631875,0.6744572473708277,8.2,8.875,8.775491540923642,5.4,4.125,5.413351623228166,200.0,200.0,200.0,75.46000000000001,74.0125,74.8920896204847,26.880000000000003,23.4,25.086511202560587,7.6,7.0,7.177411979881118,17.0,18.625,16.93369913123,51.2,51.375,50.37768632830362,12.320000000000002,11.7375,11.842661179698219,8.4,8.125,7.980338363054414,0.3058,0.278125,0.3043369913123,14.6,13.625,14.136259716506633,0.2876,0.273125,0.3125921353452218,4.2,3.75,4.424325560128031,53.1,48.6875,50.353909465020585,30.4,28.75,28.329218106995896,0.47240000000000004,0.454625,0.47352766346593517,27.559999999999995,25.8125,28.347142203932332,20.0,19.125,20.477823502514866,33.2,35.875,32.577960676726114,0.4486,0.428125,0.4276739826246,15.2,15.625,14.164609053497946,0.087,0.054375,0.0981851851851852,0.6,0.375,0.7037037037037037
2019-12-18,"Pan American Center, Las Cruces, New Mexico",Arkansas-Pine Bluff,New Mexico State,Home,37.5,6,4.2,1,112.1,59.3,16,0.38,46,0.348,16,0.13,6,0.833,5,9,200,69.0,17.9,5,21,40,10.3,6,0.261,12,0.25,3,38.2,21,0.409,21.1,13,34,0.382,13,0.1,1,60.17999999999999,51.65555555555555,57.06739826246,11.4,10.0,10.455723212924859,9.02,8.222222222222221,7.575278158817255,2.6,2.4444444444444446,2.1992074378905664,102.74000000000001,104.69999999999999,105.22368541380888,74.84,73.4,74.45296448712087,19.8,20.88888888888889,18.767870751409852,0.4364,0.426,0.43704160951074544,47.2,49.22222222222222,46.809480262155176,0.38520000000000004,0.38433333333333336,0.3835744551135498,18.4,19.11111111111111,18.05928974241732,0.2754,0.27888888888888885,0.2654159426916629,13.2,13.777777777777779,12.504953513183969,0.6566000000000001,0.6222222222222222,0.6313048315805518,8.6,8.555555555555555,7.850327693949096,6.2,4.555555555555555,6.275567748818778,200.0,200.0,200.0,74.4,73.30000000000001,72.46139308032313,27.24,22.38888888888889,21.491007468373727,7.8,6.666666666666667,6.118274653254079,17.2,19.0,18.622466087486668,50.2,50.77777777777778,48.91845755220241,11.84,12.066666666666666,12.795107453132147,8.0,8.333333333333334,8.653558908702943,0.3052,0.278,0.2952246608748667,14.4,13.555555555555555,13.75750647767109,0.33720000000000006,0.29411111111111116,0.36239475689681455,4.8,4.0,4.949550373418687,50.099999999999994,47.53333333333333,46.33593964334706,27.6,27.555555555555557,24.88614540466393,0.46480000000000005,0.453,0.4623517756439568,28.48,26.033333333333335,28.164761469288223,20.8,19.22222222222222,20.31854900167658,32.8,35.666666666666664,33.051973784484076,0.40780000000000005,0.41655555555555557,0.3931159884164,13.6,15.11111111111111,13.109739368998632,0.1092,0.060666666666666674,0.10245679012345679,0.8,0.4444444444444444,0.8024691358024691
2019-12-21,"UNT Coliseum, Denton, Texas",Arkansas-Pine Bluff,North Texas,Home,37.5,6,5.9,2,117.8,68.0,17,0.425,40,0.4,16,0.625,25,0.76,19,10,200,72.6,26.1,6,21,53,9.6,7,0.2,8,0.25,2,47.9,23,0.511,34.6,27,32,0.438,14,0.091,1,51.67999999999999,50.239999999999995,50.54493217497334,10.2,9.6,8.970482141949907,8.8,7.82,6.450185439211504,2.4,2.3,1.7994716252603777,104.54,105.44000000000001,107.51579027587259,72.82000000000001,71.99,69.40197632474724,18.0,20.4,17.84524716760657,0.4384,0.42140000000000005,0.41802773967383033,47.2,48.9,46.539653508103456,0.3896,0.3807,0.3717163034090332,18.6,18.8,17.372859828278216,0.258,0.264,0.2202772951277753,12.4,13.0,10.33663567545598,0.6832,0.6433,0.6985365543870345,8.2,8.2,6.900218462632731,7.0,5.0,7.183711832545852,200.0,200.0,200.0,75.38,72.87,71.3075953868821,24.9,21.94,20.29400497891582,7.2,6.5,5.74551643550272,18.4,19.2,19.41497739165778,50.0,49.7,45.94563836813495,12.64,11.89,11.963404968754766,8.4,8.1,7.769039272468629,0.29660000000000003,0.2763,0.2838164405832445,14.0,13.4,13.17167098511406,0.33,0.2897,0.3249298379312097,4.6,3.9,4.299700248945792,47.260000000000005,46.6,43.62395976223138,25.2,26.9,23.59076360310929,0.46580000000000005,0.4486,0.4445678504293045,26.619999999999997,25.54,25.809840979525482,19.0,18.6,17.879032667784386,33.2,35.5,33.36798252298939,0.4154,0.4131,0.38941065894426674,14.0,14.9,13.073159579332422,0.1292,0.0646,0.10163786008230455,1.0,0.5,0.8683127572016462
2019-12-29,"Beasley Coliseum, Pullman, Washington",Arkansas-Pine Bluff,Washington State,Home,25.0,5,18.9,7,100.0,72.2,26,0.431,51,0.392,20,0.157,8,0.75,6,11,200,76.9,17.9,5,17,50,6.2,4,0.176,9,0.444,4,48.4,31,0.456,20.4,14,42,0.381,16,0.083,1,44.18,49.08181818181818,46.19662144998223,7.2,9.272727272727273,7.980321427966605,6.980000000000001,7.645454545454545,6.26679029280767,2.2,2.272727272727273,1.8663144168402521,109.73999999999998,106.56363636363636,110.94386018391506,68.08,71.62727272727273,68.93465088316484,17.0,20.09090909090909,17.563498111737715,0.4182,0.42172727272727273,0.42035182644922026,43.6,48.09090909090909,44.359769005402306,0.37299999999999994,0.38245454545454544,0.38114420227268886,16.2,18.545454545454547,16.91523988551881,0.3106,0.2968181818181818,0.35518486341851685,13.2,14.090909090909092,15.22442378363732,0.7018,0.6539090909090909,0.7190243695913564,9.2,9.181818181818182,10.933478975088487,8.0,5.454545454545454,8.122474555030568,200.0,200.0,200.0,69.36,72.84545454545454,71.73839692458807,19.8,22.318181818181817,22.22933665261055,5.2,6.454545454545454,5.830344290335147,18.4,19.363636363636363,19.943318261105187,45.6,50.0,48.2970922454233,11.819999999999999,11.681818181818182,11.175603312503178,7.8,8.0,7.51269284831242,0.2746,0.26936363636363636,0.2558776270554964,12.0,12.909090909090908,11.447780656742708,0.3244,0.2860909090909091,0.29995322528747315,4.0,3.727272727272727,3.5331334992971946,43.019999999999996,46.71818181818182,45.04930650815426,22.2,26.545454545454547,23.393842402072863,0.45760000000000006,0.4542727272727273,0.4667119002862031,29.5,26.363636363636363,28.739893986350324,21.0,19.363636363636363,20.91935511185626,31.6,35.18181818181818,32.91198834865959,0.388,0.4153636363636364,0.40560710596284455,12.2,14.818181818181818,13.382106386221615,0.11399999999999999,0.067,0.09809190672153636,1.0,0.5454545454545454,0.9122085048010975
2020-01-04,"Harrison HPER Complex, Itta Bena, Mississippi",Arkansas-Pine Bluff,Mississippi Valley State,Away,29.6,8,21.1,4,89.4,82.1,32,0.43,64,0.422,27,0.563,36,0.694,25,11,200,94.1,44.7,17,20,80,12.9,11,0.234,15,0.067,1,63.6,49,0.493,19.2,19,49,0.531,26,0.154,2,42.04,47.074999999999996,39.13108096665482,7.2,8.916666666666666,6.986880951977737,7.340000000000001,8.583333333333334,10.477860195205114,2.4,2.6666666666666665,3.577542944560168,108.23999999999998,106.01666666666667,107.29590678927671,70.8,71.675,70.02310058877656,18.8,20.583333333333332,20.375665407825146,0.4324,0.42250000000000004,0.4239012176328135,45.2,48.333333333333336,46.57317933693487,0.3862,0.38325000000000004,0.38476280151512593,17.4,18.666666666666668,17.94349325701254,0.2768,0.2851666666666667,0.28912324227901126,12.0,13.583333333333334,12.816282522424881,0.7376,0.6619166666666666,0.729349579727571,8.8,8.916666666666666,9.288985983392326,9.0,5.916666666666667,9.081649703353712,200.0,200.0,200.0,73.1,73.18333333333334,73.45893128305872,19.24,21.95,20.7862244350737,5.0,6.333333333333333,5.5535628602234315,19.8,19.166666666666668,18.962212174070125,47.8,50.0,48.86472816361554,10.379999999999999,11.225,9.517068875002119,6.8,7.666666666666667,6.3417952322082805,0.2494,0.26158333333333333,0.22925175137033094,11.2,12.583333333333334,10.631853771161806,0.367,0.29925,0.34796881685831543,4.2,3.75,3.68875566619813,44.76,46.85833333333333,46.16620433876951,23.8,26.916666666666668,25.929228268048576,0.4702,0.4544166666666667,0.4631412668574687,27.02,25.866666666666664,25.95992932423355,19.0,18.916666666666668,18.612903407904174,34.0,35.75,35.94132556577306,0.3908,0.41250000000000003,0.39740473730856307,13.2,14.916666666666666,14.254737590814411,0.10200000000000001,0.06833333333333334,0.09306127114769092,1.0,0.5833333333333334,0.9414723365340651
2020-01-11,"Elmore Health Science Building , Normal, Alabama",Arkansas-Pine Bluff,Alabama A&M,Home,40.0,8,11.1,5,90.8,64.3,27,0.438,48,0.417,20,0.417,20,0.35,7,12,200,75.4,23.1,6,20,49,12.3,8,0.375,18,0.111,2,48.5,33,0.426,18.6,13,30,0.6,18,0.143,2,42.4,45.73076923076923,35.95405397776989,7.8,8.846153846153847,7.324587301318491,10.819999999999999,9.546153846153846,14.018573463470076,3.0,2.769230769230769,3.7183619630401124,107.38,104.73846153846154,101.33060452618449,71.06,72.47692307692309,74.04873372585104,21.0,21.46153846153846,24.250443605216766,0.4184,0.4230769230769231,0.4259341450885424,49.6,49.53846153846154,52.382119557956585,0.3848,0.3862307692307692,0.39717520101008397,19.2,19.307692307692307,20.96232883800836,0.3418,0.30653846153846154,0.3804154948526742,17.2,15.307692307692308,20.544188348283257,0.7163999999999999,0.6643846153846155,0.7175663864850473,12.2,10.153846153846153,14.525990655594883,9.8,6.3076923076923075,9.721099802235809,200.0,200.0,200.0,76.03999999999999,74.79230769230769,80.33928752203914,24.18,23.700000000000003,28.7574829567158,7.4,7.153846153846154,9.369041906815621,20.2,19.23076923076923,19.308141449380084,53.8,52.30769230769231,59.24315210907703,10.739999999999998,11.353846153846153,10.644712583334746,7.6,7.923076923076923,7.894530154805521,0.22959999999999997,0.25946153846153847,0.23083450091355395,11.4,12.76923076923077,12.08790251410787,0.29460000000000003,0.2813846153846154,0.2543125445722103,3.2,3.5384615384615383,2.7925037774654204,47.28,48.146153846153844,51.97746955917968,28.4,28.615384615384617,33.619485512032384,0.46179999999999993,0.4573846153846154,0.47309417790497915,24.619999999999997,25.353846153846156,23.706619549489034,18.6,18.923076923076923,18.74193560526945,38.2,36.76923076923077,40.29421704384871,0.4112,0.4216153846153846,0.4419364915390421,16.0,15.76923076923077,18.16982506054294,0.1078,0.07492307692307693,0.11337418076512729,1.2,0.6923076923076923,1.2943148910227102
2020-01-18,"H.O. Clemmons Arena, Pine Bluff, Arkansas",Southern,Arkansas-Pine Bluff,Away,76.2,16,7.1,3,111.9,70.6,24,0.523,44,0.477,21,0.545,24,0.417,10,13,200,83.6,22.6,7,20,56,6.0,4,0.273,12,0.333,4,47.7,31,0.505,22.7,16,32,0.531,17,0.188,3,33.92,45.32142857142857,37.302702651846595,6.6,8.785714285714286,7.549724867545661,12.239999999999998,9.657142857142857,13.045715642313384,3.8,2.9285714285714284,4.145574642026742,102.02,103.74285714285715,97.82040301745633,69.17999999999999,71.89285714285714,70.79915581723402,23.6,21.857142857142858,25.166962403477847,0.4208,0.4241428571428571,0.4299560967256949,49.8,49.42857142857143,50.92141303863773,0.3958,0.3884285714285714,0.403783467340056,19.8,19.357142857142858,20.64155255867224,0.37839999999999996,0.31442857142857145,0.3926103299017828,19.0,15.642857142857142,20.362792232188838,0.6773999999999999,0.6419285714285714,0.5950442576566983,12.4,9.928571428571429,12.017327103729922,10.6,6.714285714285714,10.48073320149054,200.0,200.0,200.0,77.6,74.83571428571429,78.6928583480261,25.939999999999998,23.657142857142855,26.8716553044772,7.8,7.071428571428571,8.24602793787708,19.8,19.285714285714285,19.538760966253392,54.4,52.07142857142857,55.82876807271802,10.26,11.421428571428573,11.196475055556498,7.2,7.928571428571429,7.929686769870347,0.2492,0.26771428571428574,0.27888966727570264,12.4,13.142857142857142,14.058601676071914,0.2244,0.26921428571428574,0.20654169638147357,2.4,3.4285714285714284,2.5283358516436136,49.32,48.17142857142857,50.81831303945312,31.4,28.928571428571427,33.41299034135493,0.45899999999999996,0.4551428571428571,0.4573961186033194,22.78,24.87142857142857,22.00441303299269,17.2,18.5,16.827957070179636,37.4,36.285714285714285,36.86281136256581,0.46640000000000004,0.4343571428571429,0.4946243276926947,17.4,15.928571428571429,18.113216707028627,0.1142,0.07978571428571428,0.12324945384341819,1.4,0.7857142857142857,1.529543260681807
