date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-03,"Alumni Arena, Buffalo, New York",Army,Buffalo,Home,51.9,14,10.5,2,105.7,53.8,17,0.5,62,0.435,27,0.161,10,0.5,5,2,200.0,95.7,35.3,9,24,67,20.0,14,0.371,23.0,0.348,8.0,43.3,26,0.502,19.4,16,39.0,0.487,19.0,0.714,5,48.620000000000005,48.620000000000005,48.61481481481482,11.6,11.6,11.753086419753089,13.1,13.1,15.919753086419753,3.0,3.0,3.382716049382717,87.94,87.94,89.22839506172842,63.2,63.2,59.769135802469144,20.0,20.0,19.679012345679016,0.48500000000000004,0.48500000000000004,0.49116049382716054,54.4,54.4,54.40740740740741,0.43760000000000004,0.43760000000000004,0.4440987654320988,23.8,23.8,24.135802469135804,0.398,0.398,0.4030617283950618,21.4,21.4,21.790123456790127,0.6648,0.6648,0.6404814814814815,14.0,14.0,13.827160493827163,1.0,1.0,1.0,200.0,200.0,200.0,96.84,96.84,98.68024691358026,39.5,39.5,40.91358024691359,11.4,11.4,11.4320987654321,22.6,22.6,21.58024691358025,66.6,66.6,67.06172839506175,13.7,13.7,14.241975308641978,9.8,9.8,9.987654320987657,0.2906,0.2906,0.2803333333333334,15.8,15.8,15.23456790123457,0.3182,0.3182,0.3280123456790124,5.0,5.0,4.962962962962964,51.18,51.18,50.6641975308642,31.4,31.4,31.111111111111114,0.5166000000000001,0.5166000000000001,0.5190864197530864,21.4,21.4,21.119753086419756,17.4,17.4,17.024691358024693,38.6,38.6,39.17283950617285,0.48319999999999996,0.48319999999999996,0.486925925925926,18.8,18.8,19.172839506172842,0.5766,0.5766,0.6159382716049382,2.6,2.6,3.098765432098766
2009-12-07,"Rothman Center, Teaneck, New Jersey",Army,Fairleigh Dickinson,Away,81.8,18,9.7,3,63.5,75.9,23,0.616,43,0.512,22,0.349,15,0.533,8,2,200.0,96.8,40.9,8,14,61,9.5,6,0.419,18.0,0.5,9.0,60.8,31,0.608,29.7,21,25.0,0.52,13.0,0.75,6,48.68,49.166666666666664,49.70987654320988,11.2,12.0,12.502057613168727,11.32,12.666666666666666,14.113168724279836,2.2,2.8333333333333335,2.921810699588478,89.3,90.89999999999999,94.71893004115229,58.46,61.63333333333333,57.77942386831276,17.2,19.5,18.78600823045268,0.465,0.48750000000000004,0.4941069958847737,55.6,55.666666666666664,56.93827160493828,0.4138,0.4371666666666667,0.4410658436213992,23.0,24.333333333333332,25.09053497942387,0.31379999999999997,0.3585,0.3223744855967079,17.0,19.5,17.860082304526752,0.6397999999999999,0.6373333333333333,0.5936543209876544,11.0,12.5,10.884773662551442,1.2,1.1666666666666667,1.3333333333333335,200.0,200.0,200.0,97.67999999999999,96.64999999999999,97.68683127572018,39.42,38.800000000000004,39.04238683127573,11.2,11.0,10.621399176954734,22.0,22.833333333333332,22.38683127572017,62.8,66.66666666666667,67.0411522633745,14.5,14.75,16.161316872427985,9.6,10.5,11.325102880658438,0.31020000000000003,0.304,0.3105555555555556,17.4,17.0,17.823045267489714,0.3343999999999999,0.32316666666666666,0.3346748971193416,5.8,5.5,5.975308641975309,47.78,49.86666666666667,48.20946502057613,28.4,30.5,29.407407407407412,0.4944,0.5141666666666667,0.5133909465020576,18.68,21.066666666666666,20.54650205761317,14.0,17.166666666666668,16.683127572016463,38.2,38.666666666666664,39.11522633744857,0.44880000000000003,0.48383333333333334,0.48695061728395067,17.2,18.833333333333332,19.11522633744856,0.7194,0.5995,0.6486255144032922,3.6,3.0,3.732510288065844
2009-12-12,"Leede Arena, Hanover, New Hampshire",Army,Dartmouth,Away,50.0,11,6.5,2,75.4,62.5,24,0.423,52,0.423,22,0.538,28,0.536,15,2,200.0,96.7,36.1,9,14,59,11.5,7,0.135,7.0,0.0,0.0,48.5,33,0.452,12.3,9,45.0,0.489,22.0,0.778,7,54.6,53.82857142857143,60.406584362139924,12.4,12.857142857142858,14.33470507544582,11.440000000000001,12.242857142857144,12.642112482853225,2.4,2.857142857142857,2.9478737997256523,83.64000000000001,86.98571428571428,84.31262002743486,59.8,63.67142857142858,63.81961591220852,18.2,20.0,20.19067215363512,0.4984,0.5058571428571429,0.5347379972565158,52.4,53.857142857142854,52.29218106995886,0.4382,0.44785714285714284,0.4647105624142662,22.8,24.0,24.06035665294925,0.3396,0.35714285714285715,0.33124965706447196,17.4,18.857142857142858,16.90672153635117,0.5926,0.6224285714285714,0.5734362139917696,10.6,11.857142857142858,9.923182441700963,1.4,1.2857142857142858,1.5555555555555558,200.0,200.0,200.0,96.38,96.67142857142858,97.39122085048012,39.36,39.1,39.66159122085048,10.0,10.571428571428571,9.747599451303156,20.4,21.571428571428573,19.591220850480113,62.4,65.85714285714286,65.02743484224968,15.080000000000002,14.0,13.94087791495199,10.0,9.857142857142858,9.550068587105626,0.3262,0.3204285714285714,0.34670370370370374,17.0,17.142857142857142,17.882030178326477,0.3644,0.3484285714285714,0.38978326474622776,6.2,6.0,6.983539094650206,49.28,51.42857142857143,52.40631001371742,28.2,30.571428571428573,29.938271604938276,0.5194,0.5275714285714286,0.5449272976680384,21.939999999999998,22.3,23.59766803840878,16.2,17.714285714285715,18.122085048010977,35.4,36.714285714285715,34.410150891632384,0.4708,0.489,0.49796707818930047,16.6,18.0,17.07681755829904,0.7694,0.6209999999999999,0.6824170096021949,4.6,3.4285714285714284,4.488340192043896
2009-12-22,"Christl Arena, West Point, New York",New Hampshire,Army,Home,55.0,11,15.0,3,79.3,78.8,27,0.451,51,0.392,20,0.275,14,0.571,8,2,200.0,93.1,30.3,9,18,54,5.2,3,0.314,16.0,0.375,6.0,54.5,36,0.468,16.1,11,35.0,0.4,14.0,0.818,9,55.17999999999999,53.35,56.937722908093285,13.0,12.625,13.22313671696388,12.74,11.525,10.594741655235485,2.8,2.75,2.6319158664837685,84.0,85.5375,81.34174668495658,59.260000000000005,63.525000000000006,63.379743941472356,20.0,20.5,21.460448102423413,0.507,0.4955,0.49749199817101053,52.8,53.625,52.19478737997258,0.4548,0.44475,0.4508070416095108,23.8,23.75,23.373571101966167,0.34319999999999995,0.37975,0.40016643804298135,17.8,20.0,20.60448102423411,0.5614000000000001,0.611625,0.5609574759945131,10.0,12.25,11.615454961133976,1.6,1.375,1.7037037037037042,200.0,200.0,200.0,100.16000000000001,96.675,97.1608139003201,40.8,38.725,38.47439414723366,9.6,10.375,9.498399634202105,18.0,20.625,17.727480566986742,63.0,65.0,63.01828989483312,13.5,13.6875,13.127251943301328,8.6,9.5,8.700045724737084,0.2852,0.29725,0.2761358024691358,15.0,15.875,14.254686785550987,0.3174,0.304875,0.25985550983081857,5.4,5.25,4.6556927297668045,50.46,51.0625,51.10420667581162,29.6,30.875,30.95884773662552,0.52,0.518125,0.5139515317786922,19.3,21.05,19.831778692272522,14.0,16.625,15.081390032007318,37.8,37.75,37.940100594421594,0.48979999999999996,0.489,0.49497805212620033,18.4,18.5,18.717878372199362,0.775,0.640625,0.7142780064014633,5.4,3.875,5.325560128029265
2009-12-30,"Moody Coliseum, Dallas, Texas",Army,SMU,Home,31.8,7,4.2,1,114.5,76.5,16,0.447,57,0.386,22,0.211,12,1.0,12,3,200.0,101.6,37.5,9,21,63,8.1,5,0.439,25.0,0.28,7.0,51.0,25,0.502,13.8,10,32.0,0.469,15.0,0.75,9,58.17999999999999,53.53333333333333,56.291815272062195,13.2,12.444444444444445,12.482091144642588,13.680000000000001,11.911111111111111,12.063161103490323,2.8,2.7777777777777777,2.754610577655846,84.12,84.84444444444445,80.66116445663772,62.9,65.22222222222223,68.51982929431492,21.0,21.22222222222222,23.30696540161561,0.4892,0.4905555555555556,0.4819946654473404,53.0,53.333333333333336,51.79652491998173,0.4332,0.4388888888888889,0.43120469440634057,22.8,23.333333333333332,22.24904740131078,0.3382,0.36811111111111106,0.3584442920286543,17.6,19.333333333333332,18.402987349489408,0.5422,0.6071111111111112,0.5643049839963421,9.6,11.777777777777779,10.410303307422652,1.8,1.4444444444444444,1.8024691358024696,200.0,200.0,200.0,97.8,96.27777777777777,95.80720926688007,37.76,37.78888888888889,35.74959609815578,9.8,10.222222222222221,9.332266422801403,17.2,20.333333333333332,17.818320377991164,61.0,63.77777777777778,60.01219326322208,12.24,12.744444444444445,10.484834628867553,7.8,8.777777777777779,6.800030483158056,0.304,0.2991111111111111,0.28875720164609053,16.0,15.88888888888889,14.836457857033992,0.3196,0.31266666666666665,0.2982370065538791,5.8,5.333333333333333,5.10379515317787,50.46,51.44444444444444,52.23613778387441,30.8,31.444444444444443,32.63923182441701,0.5016,0.5125555555555555,0.4986343545191282,18.56,20.5,18.587852461515016,13.6,16.0,13.72092668800488,37.0,37.44444444444444,36.96006706294773,0.4622,0.47911111111111115,0.4633187014174669,17.0,18.0,17.14525224813291,0.7786000000000001,0.6603333333333333,0.7488520042676422,6.4,4.444444444444445,6.550373418686177
2010-01-02,"Chiles Center, Portland, Oregon",Army,Portland,Home,47.1,8,14.3,3,101.5,53.1,17,0.429,49,0.347,17,0.408,20,0.75,15,4,200.0,86.4,25.0,7,26,57,13.6,9,0.347,17.0,0.471,8.0,40.0,24,0.487,20.6,15,32.0,0.281,9.0,0.692,9,54.1,51.36,48.12787684804147,12.2,11.9,10.654727429761728,9.18,11.14,9.442107402326883,2.2,2.6,2.1697403851038977,87.68,87.81,91.94077630442516,69.5,66.35,71.17988619620995,21.4,20.7,20.87131026774374,0.48740000000000006,0.4862,0.47032977696489364,53.0,53.7,53.53101661332116,0.42960000000000004,0.43360000000000004,0.4161364629375604,22.6,23.2,22.166031600873854,0.3068,0.3524,0.3092961946857695,15.8,18.6,16.26865823299294,0.628,0.6464000000000001,0.7095366559975614,9.6,11.8,10.940202204948434,2.2,1.6,2.2016460905349797,200.0,200.0,200.0,96.78,96.81,97.73813951125338,36.02,37.760000000000005,36.333064065437185,8.8,10.1,9.22151094853427,18.2,20.4,18.87888025199411,60.8,63.7,61.00812884214806,10.86,12.28,9.689889752578368,7.0,8.4,6.200020322105372,0.3356,0.31310000000000004,0.338838134430727,17.8,16.8,18.22430523802266,0.30060000000000003,0.3094,0.29215800436925277,6.0,5.5,5.735863435451914,51.61999999999999,51.4,51.82409185591628,30.2,30.8,30.092821216278008,0.5064,0.5115000000000001,0.4997562363460855,18.259999999999998,19.830000000000002,16.99190164101001,13.4,15.4,12.480617792003255,35.2,36.9,35.30671137529849,0.473,0.47809999999999997,0.46521246761164464,16.6,17.7,16.43016816542194,0.762,0.6693,0.7492346695117615,7.2,4.9,7.3669156124574515
2010-01-06,"Christl Arena, West Point, New York",Brown,Army,Home,50.0,11,7.4,2,82.3,77.8,30,0.403,62,0.355,22,0.226,14,0.643,9,4,200.0,95.2,29.5,11,17,59,9.7,6,0.274,17.0,0.353,6.0,51.3,41,0.43,6.8,4,45.0,0.356,16.0,0.714,10,53.14000000000001,50.972727272727276,47.78525123202765,11.0,11.545454545454545,9.76981828650782,9.940000000000001,11.427272727272728,11.061404934884589,2.4,2.6363636363636362,2.4464935900692653,86.84,89.05454545454546,95.1271842029501,69.36,65.14545454545454,65.15325746413997,21.4,20.363636363636363,19.58087351182916,0.4732,0.48100000000000004,0.45655318464326244,50.4,53.27272727272727,52.020677742214104,0.41200000000000003,0.42572727272727273,0.39309097529170695,20.6,22.636363636363637,20.44402106724924,0.35619999999999996,0.35745454545454547,0.34219746312384636,17.8,18.727272727272727,17.512438821995296,0.678,0.6558181818181819,0.7230244373317076,11.6,12.090909090909092,12.29346813663229,2.6,1.8181818181818181,2.801097393689987,200.0,200.0,200.0,94.91999999999999,95.86363636363636,93.95875967416893,33.96,36.6,32.55537604362479,8.4,9.818181818181818,8.481007299022847,18.6,20.90909090909091,21.252586834662743,58.8,63.09090909090909,59.67208589476538,9.58,12.4,10.993259835052246,6.0,8.454545454545455,7.133346881403582,0.3308,0.3161818181818182,0.3415587562871514,16.6,16.818181818181817,17.816203492015106,0.32520000000000004,0.3240909090909091,0.35177200291283517,6.0,5.7272727272727275,6.4905756236346095,50.96,50.36363636363637,47.882727903944186,29.8,30.181818181818183,28.061880810852006,0.5034,0.5092727272727273,0.495504157564057,18.500000000000004,19.900000000000002,18.194601094006675,13.2,15.363636363636363,13.320411861335504,33.8,36.45454545454545,34.204474250199,0.43179999999999996,0.4601818181818182,0.4038083117410965,14.6,16.90909090909091,13.953445443614628,0.7575999999999999,0.6713636363636364,0.7301564463411744,8.0,5.2727272727272725,7.911277074971635
2010-01-09,"Cotterell Court, Hamilton, New York",Army,Colgate,Home,60.9,14,6.5,2,98.6,62.5,20,0.472,54,0.426,23,0.222,12,0.583,7,5,225.0,84.1,31.0,9,22,58,11.6,8,0.296,16.0,0.313,5.0,47.5,29,0.486,23.3,17,38.0,0.474,18.0,0.667,10,46.78,50.89166666666667,48.52350082135177,9.6,11.5,10.17987885767188,9.48,11.091666666666667,9.840936623256393,2.2,2.5833333333333335,2.29766239337951,90.6,88.49166666666667,90.85145613530008,69.73999999999998,66.2,69.36883830942665,22.8,21.166666666666668,23.053915674552776,0.4306,0.4745,0.4387021230955084,54.2,54.0,55.34711849480941,0.3806,0.41983333333333334,0.3803939835278046,20.6,22.583333333333332,20.962680711499495,0.3316,0.34650000000000003,0.30346497541589756,17.6,18.333333333333332,16.3416258813302,0.7,0.65475,0.6963496248878052,11.8,11.833333333333334,11.195645424421528,3.0,2.0,3.2007315957933247,200.0,200.0,200.0,94.6,95.80833333333334,94.37250644944596,31.680000000000007,36.00833333333333,31.536917362416528,9.0,9.916666666666666,9.3206715326819,19.2,20.583333333333332,19.835057889775165,58.4,62.75,59.44805726317692,9.620000000000001,12.174999999999999,10.562173223368164,6.0,8.25,6.755564587602389,0.30179999999999996,0.3126666666666667,0.31903917085810096,16.4,16.833333333333332,17.544135661343404,0.29579999999999995,0.3265,0.35218133527522344,5.4,5.75,6.327050415756407,49.059999999999995,50.44166666666666,49.02181860262946,31.8,31.083333333333332,32.374587207234676,0.4678,0.5026666666666667,0.47366943837603803,13.920000000000002,18.808333333333334,14.396400729337785,9.8,14.416666666666666,10.213607907557005,37.8,37.166666666666664,37.802982833466004,0.399,0.4515,0.3878722078273977,15.2,16.833333333333332,14.635630295743088,0.7504,0.6749166666666667,0.7247709642274496,8.8,5.666666666666667,8.60751804998109
2010-01-13,"Hart Recreation Center, Worcester, Massachusetts",Army,Holy Cross,Away,51.9,14,9.1,3,101.6,51.9,15,0.508,61,0.443,27,0.098,6,0.833,5,5,200.0,106.3,32.4,10,18,67,11.1,7,0.311,19.0,0.421,8.0,41.0,25,0.525,13.6,10,42.0,0.452,19.0,0.688,11,48.96,51.66153846153846,52.649000547567844,10.2,11.692307692307692,11.453252571781254,9.48,10.738461538461538,8.727291082170929,2.2,2.5384615384615383,2.19844159558634,95.24,89.26923076923077,93.43430409020006,69.73999999999998,65.91538461538461,67.07922553961777,22.0,21.076923076923077,22.035943783035187,0.4404,0.4743076923076923,0.44980141539700563,54.6,54.0,54.89807899653961,0.3812,0.4203076923076923,0.39559598901853643,20.8,22.615384615384617,21.641787140999664,0.2684,0.33692307692307694,0.2763099836105984,14.4,17.846153846153847,14.894417254220134,0.7093999999999999,0.6492307692307692,0.6585664165918701,10.2,11.461538461538462,9.797096949614353,3.6,2.230769230769231,3.800487730528883,205.0,201.92307692307693,208.33333333333334,92.08,94.9076923076923,90.94833763296398,30.660000000000004,35.62307692307692,31.357944908277688,9.0,9.846153846153847,9.213781021787934,20.8,20.692307692307693,20.556705259850112,58.2,62.38461538461539,58.965371508784614,9.64,12.13076923076923,10.908115482245442,6.2,8.23076923076923,7.170376391734926,0.33399999999999996,0.31138461538461537,0.311359447238734,18.2,16.76923076923077,17.02942377422894,0.3584,0.32546153846153847,0.33912089018348235,6.4,5.6923076923076925,5.884700277170939,48.86,50.215384615384615,48.514545735086315,31.0,30.923076923076923,31.249724804823117,0.47459999999999997,0.5013846153846153,0.47777962558402537,16.12,19.153846153846153,17.36426715289186,11.4,14.615384615384615,12.475738605038003,36.4,37.23076923076923,37.86865522231067,0.396,0.45323076923076927,0.4165814718849318,14.4,16.923076923076923,15.757086863828727,0.7282,0.6743076923076923,0.7055139761516331,9.4,6.0,9.071678699987395
2010-01-17,"Christl Arena, West Point, New York",Lehigh,Army,Away,52.4,11,2.9,1,109.0,71.4,20,0.381,63,0.333,21,0.19,12,0.583,7,6,200.0,82.1,41.5,17,19,55,10.4,7,0.381,24.0,0.25,6.0,53.6,37,0.4,18.0,15,39.0,0.385,15.0,0.647,11,48.339999999999996,51.67857142857143,52.39933369837856,10.8,11.857142857142858,12.302168381187503,8.3,10.62142857142857,8.851527388113954,2.2,2.5714285714285716,2.4656277303908936,99.7,90.14999999999999,96.15620272680005,64.36,64.91428571428571,62.01948369307851,19.6,20.642857142857142,19.690629188690124,0.4518000000000001,0.47671428571428576,0.4692009435980038,56.6,54.5,56.932052664359745,0.3914,0.42192857142857143,0.4113973260123577,22.2,22.928571428571427,23.427858093999777,0.233,0.31985714285714284,0.21687332240706558,12.8,17.0,11.929611502813424,0.7618,0.6623571428571429,0.71671094439458,9.6,11.0,8.198064633076235,4.2,2.4285714285714284,4.200325153685922,205.0,201.78571428571428,205.55555555555557,94.72,95.72142857142856,96.065558421976,31.080000000000002,35.392857142857146,31.705296605518463,9.2,9.857142857142858,9.47585401452529,20.8,20.5,19.70447017323341,60.8,62.714285714285715,61.64358100585642,10.819999999999999,12.057142857142859,10.972076988163629,7.0,8.142857142857142,7.113584261156618,0.3334,0.31135714285714283,0.31123963149248934,18.8,16.928571428571427,17.686282516152627,0.3676,0.3322857142857143,0.3664139267889882,6.8,5.857142857142857,6.589800184780627,46.16,49.55714285714286,46.009697156724215,28.8,30.5,29.166483203215414,0.48599999999999993,0.5030714285714286,0.49351975038935025,15.62,18.75714285714286,16.10951143526124,11.2,14.285714285714286,11.650492403358669,37.8,37.57142857142857,39.245770148207114,0.4064,0.4531428571428572,0.4283876479232879,15.4,17.071428571428573,16.838057909219152,0.7021999999999999,0.6752857142857144,0.6996759841010888,9.8,6.357142857142857,9.714452466658264
