date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"The HTC Center, Conway, South Carolina",Villanova,Baylor,Home,32.3,10,10.3,3,120.0,65.4,17,0.619,59,0.525,31,0.305,18,0.778,14,1,200,133.8,30.8,8,19,87,9.2,6,0.322,19,0.579,11,48.1,25,0.644,7.0,5,40,0.5,20,0.833,5,58.92,58.92,57.003703703703714,16.4,16.4,16.148148148148152,11.14,11.14,10.128395061728396,3.8,3.8,3.2716049382716053,84.74,84.74,85.76296296296297,76.17999999999999,76.17999999999999,74.92962962962963,23.0,23.0,22.148148148148152,0.5174,0.5174,0.5353950617283951,62.0,62.0,60.5925925925926,0.44639999999999996,0.44639999999999996,0.46146913580246923,27.8,27.8,28.098765432098773,0.324,0.324,0.3442962962962963,19.6,19.6,20.395061728395063,0.7172000000000001,0.7172000000000001,0.7211851851851853,14.2,14.2,14.962962962962965,0.8,0.8,0.8024691358024691,200.0,200.0,200.0,107.52000000000001,107.52000000000001,111.26296296296297,36.32,36.32,36.18518518518519,11.4,11.4,10.987654320987657,15.8,15.8,16.345679012345684,78.8,78.8,80.28395061728396,13.34,13.34,13.441975308641977,9.6,9.6,9.54320987654321,0.38380000000000003,0.38380000000000003,0.4027160493827161,23.8,23.8,24.33333333333334,0.35740000000000005,0.35740000000000005,0.354283950617284,9.0,9.0,9.12345679012346,55.82000000000001,55.82000000000001,55.18518518518519,34.4,34.4,33.13580246913581,0.5516,0.5516,0.5707901234567903,15.1,15.1,14.70246913580247,12.6,12.6,12.012345679012348,38.2,38.2,36.25925925925927,0.5054000000000001,0.5054000000000001,0.5381234567901235,18.8,18.8,18.97530864197531,0.7434000000000001,0.7434000000000001,0.779061728395062,2.2,2.2,2.5925925925925926
2019-12-03,"Ferrell Center, Waco, Texas",Maryland-Eastern Shore,Baylor,Home,66.7,18,15.6,7,62.2,80.0,36,0.485,67,0.403,27,0.328,22,0.591,13,1,200,105.4,38.1,16,14,78,14.9,11,0.463,31,0.355,11,59.8,52,0.504,13.5,12,36,0.444,16,0.857,6,52.879999999999995,54.48333333333333,48.769135802469144,13.4,15.333333333333334,14.09876543209877,12.14,11.0,10.185596707818931,4.0,3.6666666666666665,3.181069958847737,93.67999999999999,90.61666666666667,97.17530864197532,72.06,74.38333333333334,71.75308641975309,19.0,22.0,20.4320987654321,0.5032,0.5343333333333333,0.5632633744855968,59.6,61.5,60.061728395061735,0.43879999999999997,0.45949999999999996,0.48264609053497953,26.0,28.333333333333332,29.065843621399182,0.3456,0.32083333333333336,0.33119753086419756,20.4,19.333333333333332,19.596707818930042,0.7727999999999999,0.7273333333333333,0.7401234567901236,15.6,14.166666666666666,14.641975308641978,1.0,0.8333333333333334,0.8683127572016462,200.0,200.0,200.0,108.35999999999999,111.89999999999999,118.77530864197533,34.620000000000005,35.4,34.39012345679013,10.8,10.833333333333334,9.991769547325106,15.6,16.333333333333332,17.230452674897123,75.2,80.16666666666667,82.52263374485598,13.7,12.65,12.027983539094652,9.6,9.0,8.362139917695474,0.3552,0.3735,0.37581069958847746,21.0,23.0,22.55555555555556,0.36419999999999997,0.39433333333333337,0.4291893004115227,7.6,9.333333333333334,9.74897119341564,51.92,54.53333333333333,52.823456790123466,29.8,32.833333333333336,30.423868312757207,0.5452,0.5670000000000001,0.5951934156378602,13.419999999999998,13.75,12.134979423868316,10.8,11.333333333333334,9.674897119341566,38.6,38.5,37.50617283950618,0.4896,0.5045000000000001,0.5254156378600824,18.4,19.0,19.31687242798354,0.71,0.7583333333333333,0.7970411522633747,3.0,2.6666666666666665,3.3950617283950617
2019-12-07,"Ferrell Center, Waco, Texas",Arizona,Baylor,Home,70.6,12,26.5,9,79.5,73.0,27,0.357,56,0.304,17,0.5,28,0.821,23,1,200,86.3,37.1,13,22,63,12.3,9,0.429,24,0.25,6,55.6,40,0.455,19.0,16,32,0.344,11,0.875,7,49.7,56.228571428571435,54.74609053497944,13.2,15.714285714285714,15.399176954732514,13.16,11.657142857142857,11.99039780521262,4.6,4.142857142857143,4.454046639231825,88.72,86.55714285714285,85.51687242798356,71.76,75.18571428571428,74.50205761316873,21.8,24.0,25.621399176954736,0.5172,0.5272857142857142,0.5371755829903979,60.0,62.285714285714285,62.37448559670783,0.4486,0.45142857142857146,0.45609739368998636,26.8,28.142857142857142,28.37722908093279,0.3742,0.3218571428571429,0.3301316872427984,22.4,19.714285714285715,20.397805212620028,0.7243999999999999,0.7078571428571429,0.6904156378600824,16.2,14.0,14.094650205761319,1.0,0.8571428571428571,0.9122085048010975,200.0,200.0,200.0,112.82000000000001,110.97142857142856,114.31687242798355,36.78,35.785714285714285,35.62674897119342,12.2,11.571428571428571,11.99451303155007,15.2,16.0,16.153635116598082,78.0,79.85714285714286,81.01508916323732,14.86,12.971428571428572,12.985322359396436,10.4,9.285714285714286,9.241426611796983,0.3832,0.3862857142857143,0.4048737997256517,23.0,24.142857142857142,25.370370370370374,0.359,0.38871428571428573,0.40445953360768183,8.2,9.571428571428571,10.165980795610427,53.54,55.285714285714285,55.14897119341565,34.0,35.57142857142857,37.61591220850481,0.5554,0.558,0.5647956104252402,12.42,13.714285714285714,12.589986282578879,10.0,11.428571428571429,10.449931412894378,37.0,38.142857142857146,37.004115226337454,0.5102,0.4958571428571429,0.49827709190672165,18.6,18.571428571428573,18.211248285322363,0.7814,0.7724285714285715,0.8170274348422498,4.0,3.142857142857143,4.263374485596708
2019-12-10,"Ferrell Center, Waco, Texas",Butler,Baylor,Home,52.4,11,19.4,7,83.9,76.9,20,0.4,60,0.35,21,0.183,11,0.455,5,1,200,85.5,30.3,10,14,53,6.5,4,0.45,27,0.222,6,50.8,30,0.406,13.4,10,33,0.455,15,0.889,8,54.220000000000006,58.025,60.03072702331963,13.2,15.25,14.266117969821677,15.280000000000001,13.5125,16.826931870141745,5.0,4.75,5.96936442615455,86.88,85.675,83.51124828532238,73.02000000000001,74.9125,74.0013717421125,23.6,24.375,26.08093278463649,0.4968,0.506,0.477117055326932,59.0,61.5,60.24965706447189,0.4274,0.433,0.40539826245999094,25.2,26.75,24.584819387288526,0.39559999999999995,0.344125,0.3867544581618656,23.2,20.75,22.931870141746685,0.7552,0.722,0.7339437585733883,17.6,15.125,17.063100137174214,1.0,0.875,0.9414723365340651,200.0,200.0,200.0,109.8,107.8875,104.97791495198905,35.78,35.95,36.11783264746228,11.6,11.75,12.329675354366714,17.6,16.75,18.102423411065388,76.2,77.75,75.01005944215822,13.1,12.8875,12.756881572930958,9.2,9.25,9.160951074531322,0.3936,0.391625,0.41291586648376777,23.2,24.125,24.913580246913586,0.3568,0.371375,0.35297302240512124,8.2,9.125,8.777320530406952,54.2,55.325,55.29931412894377,35.2,36.125,38.41060813900321,0.547,0.545125,0.5281970736168269,13.34,14.375,14.726657521719254,10.8,12.0,12.29995427526292,35.8,37.375,35.33607681755831,0.4789999999999999,0.476875,0.4468513946044811,17.0,17.625,15.807498856881576,0.8230000000000001,0.78525,0.8363516232281666,5.0,3.625,5.175582990397805
2019-12-18,"Toyota Center, Houston, Texas",Baylor,UT-Martin,Away,53.8,21,17.1,7,82.9,63.9,23,0.614,70,0.557,39,0.143,10,0.5,5,1,200,119.7,34.5,10,17,91,17.1,13,0.357,25,0.32,8,50.8,33,0.609,12.9,11,45,0.689,31,0.9,9,56.7,57.400000000000006,57.48715134887975,13.4,14.777777777777779,13.177411979881118,15.0,14.166666666666666,17.684621246761164,5.4,5.0,6.312909617436367,88.52000000000001,85.47777777777777,83.64083219021492,72.4,75.13333333333334,74.96758116140833,22.8,23.88888888888889,24.053955189757666,0.4852,0.4942222222222223,0.45141137021795474,59.2,61.333333333333336,60.16643804298126,0.4126,0.4237777777777778,0.3869321749733273,24.4,26.11111111111111,23.389879591525688,0.3372,0.3262222222222222,0.31883630544124375,19.8,19.666666666666668,18.954580094497793,0.689,0.6923333333333334,0.6409625057155923,14.2,14.0,13.042066758116142,1.0,0.8888888888888888,0.9609815576893768,200.0,200.0,200.0,105.17999999999999,105.4,98.48527663465937,33.18,35.32222222222222,34.17855509830819,11.0,11.555555555555555,11.553116902911142,17.4,16.444444444444443,16.73494894071026,71.6,75.0,67.67337296143882,11.26,12.177777777777777,10.671254381953972,7.8,8.666666666666666,7.4406340496875485,0.4328,0.39811111111111114,0.4252772443225119,25.6,24.444444444444443,25.609053497942394,0.3478,0.3547777777777778,0.30931534827008084,8.6,8.777777777777779,7.851547020271302,52.02,54.82222222222222,53.79954275262918,33.8,35.44444444444444,35.60707209266881,0.523,0.5296666666666667,0.4874647157445513,13.559999999999999,14.266666666666667,14.284438347812838,10.8,11.777777777777779,11.533302850175282,33.6,36.888888888888886,34.55738454503887,0.47459999999999997,0.4744444444444444,0.44956759640298743,15.8,17.333333333333332,15.538332571254385,0.8508000000000001,0.7967777777777778,0.8539010821521111,6.0,4.111111111111111,6.117055326931871
2019-12-30,"Ferrell Center, Waco, Texas",Jackson State,Baylor,Home,59.3,16,6.4,3,78.1,70.0,28,0.593,54,0.5,27,0.519,28,0.679,19,1,200,113.7,35.5,11,14,83,13.7,10,0.389,21,0.476,10,54.9,39,0.617,18.4,15,33,0.515,17,0.909,10,55.160000000000004,57.04,56.258100899253165,14.4,15.4,15.784941319920746,17.78,14.459999999999999,17.489747497840778,6.6,5.2,6.5419397449575785,85.7,85.22,83.39388812680995,71.84,74.01,71.2783874409389,24.6,23.8,23.702636793171777,0.495,0.5062,0.5056075801453033,62.4,62.2,63.444292028654175,0.42780000000000007,0.43710000000000004,0.4436214499822183,27.0,27.4,28.593253061017126,0.29179999999999995,0.3079,0.2602242036274959,17.8,18.7,15.96972006299853,0.6289999999999999,0.6731,0.5939750038103949,12.0,13.1,10.361377838744096,1.0,0.9,0.9739877051262513,200.0,200.0,200.0,106.14000000000001,106.83,105.55685108977292,34.160000000000004,35.239999999999995,34.28570339887213,11.4,11.4,11.03541126860743,17.2,16.5,16.82329929380684,74.4,76.6,75.44891530762588,12.0,12.67,12.814169587969316,8.6,9.1,9.293756033125032,0.4042,0.394,0.40251816288167463,25.2,24.5,25.40603566529493,0.3452,0.3513,0.31287689884672054,8.4,8.7,7.901031346847535,53.02,54.42,52.799695168419454,36.0,35.2,34.73804806177921,0.5236000000000001,0.5376000000000001,0.5279764771630342,13.16,14.13,13.822958898541891,10.8,11.7,11.355535233450189,37.2,37.7,38.03825636335925,0.4864,0.49589999999999995,0.5293783976019917,18.6,18.7,20.69222171416959,0.8708,0.8070999999999999,0.8692673881014075,7.0,4.6,7.078036884621247
2020-01-04,"Ferrell Center, Waco, Texas",Texas,Baylor,Home,30.0,6,22.2,8,71.0,77.1,27,0.352,64,0.313,20,0.25,16,0.875,14,1,200,95.2,42.5,17,16,59,8.1,5,0.266,17,0.294,5,58.7,44,0.412,10.1,8,47,0.319,15,0.917,11,60.55999999999999,57.24545454545454,57.27206726616878,15.6,15.454545454545455,15.856627546613833,17.0,13.727272727272727,13.793164998560519,6.6,5.0,5.361293163305053,77.32000000000001,84.57272727272726,81.62925875120663,72.76,73.64545454545454,70.85225829395927,26.8,24.181818181818183,25.135091195447853,0.48979999999999996,0.5140909090909092,0.5347383867635356,61.4,61.45454545454545,60.29619468576946,0.42279999999999995,0.44281818181818183,0.46241429998814554,26.2,27.363636363636363,28.062168707344753,0.3346,0.3270909090909091,0.3464828024183306,19.8,19.545454545454547,19.979813375332355,0.6092000000000001,0.6736363636363637,0.62231666920693,13.0,13.636363636363637,13.240918559162731,1.0,0.9090909090909091,0.9826584700841676,200.0,200.0,200.0,102.11999999999999,107.45454545454545,108.27123405984861,35.1,35.26363636363636,34.690468932581425,12.0,11.363636363636363,11.023607512404954,16.2,16.272727272727273,15.882199529204561,73.6,77.18181818181819,77.96594353841726,12.9,12.763636363636364,13.109446391979544,9.4,9.181818181818182,9.529170688750021,0.4176,0.39354545454545453,0.39801210858778313,25.6,24.181818181818183,23.937357110196622,0.3246,0.36263636363636365,0.3672512658978137,8.2,8.818181818181818,8.600687564565025,54.379999999999995,54.46363636363637,53.499796778946305,38.8,35.54545454545455,36.15869870785281,0.5182,0.5448181818181819,0.5576509847753561,15.440000000000001,14.518181818181818,15.348639265694596,12.8,12.0,12.570356822300127,35.8,37.27272727272727,36.358837575572835,0.4894,0.49763636363636365,0.5245855984013278,18.0,18.545454545454547,19.46148114277973,0.8859999999999999,0.8163636363636364,0.882511592067605,8.0,5.090909090909091,8.052024589747498
2020-01-07,"United Supermarkets Arena, Lubbock, Texas",Baylor,Texas Tech,Away,27.3,6,6.5,2,82.5,74.3,26,0.471,51,0.431,22,0.333,17,0.529,9,1,200,90.5,48.3,14,21,57,9.5,6,0.255,13,0.308,4,62.5,40,0.482,23.5,18,38,0.474,18,0.923,12,53.21999999999999,54.974999999999994,48.18137817744586,13.2,14.666666666666666,12.57108503107589,18.32,14.433333333333332,16.59544333237368,6.8,5.25,6.240862108870036,79.08,83.44166666666666,78.08617250080442,72.17999999999999,73.93333333333334,72.93483886263951,25.0,24.416666666666668,25.756727463631904,0.46319999999999995,0.5005833333333333,0.47382559117569045,60.8,61.666666666666664,61.53079645717965,0.4048,0.432,0.4126095333254304,24.8,26.75,25.37477913822984,0.31900000000000006,0.32066666666666666,0.3143218682788871,18.6,19.25,18.65320891688824,0.666,0.6904166666666667,0.7065444461379533,13.2,13.666666666666666,13.493945706108487,1.0,0.9166666666666666,0.9884389800561117,200.0,200.0,200.0,100.08,106.43333333333334,103.91415603989908,35.980000000000004,35.86666666666667,37.29364595505429,12.2,11.833333333333334,13.015738341603303,16.6,16.25,15.92146635280304,69.8,75.66666666666667,71.64396235894485,11.54,12.375,11.439630927986363,8.2,8.833333333333334,8.019447125833349,0.3782,0.3829166666666666,0.35400807239185544,22.8,23.583333333333332,21.624904740131083,0.3124,0.3569166666666667,0.34283417726520915,7.0,8.5,7.400458376376683,54.160000000000004,54.81666666666666,55.23319785263088,37.2,36.25,38.77246580523521,0.4998,0.5337500000000001,0.5091006565169041,14.76,14.15,13.599092843796399,12.0,11.666666666666666,11.046904548200086,38.0,38.083333333333336,39.90589171704856,0.46440000000000003,0.48275,0.4560570656008852,17.8,18.25,17.974320761853154,0.898,0.82475,0.89400772804507,9.0,5.583333333333333,9.034683059831666
2020-01-11,"Allen Fieldhouse, Lawrence, Kansas",Baylor,Kansas,Away,48.1,13,5.6,2,87.3,70.0,21,0.517,60,0.45,27,0.117,7,0.714,5,1,200,106.3,17.9,5,16,67,14.3,9,0.317,19,0.421,8,44.8,26,0.529,7.3,5,41,0.463,19,0.929,13,44.559999999999995,52.84615384615385,41.220918784963914,12.0,14.0,10.380723354050595,14.319999999999999,13.823076923076922,13.230295554915788,5.4,5.0,4.827241405913358,79.67999999999999,83.36923076923077,79.55744833386962,72.44,73.96153846153847,73.389892575093,24.8,24.53846153846154,25.837818309087936,0.48599999999999993,0.4983076923076923,0.4728837274504603,59.8,60.84615384615385,58.020530971453105,0.43019999999999997,0.43192307692307697,0.4187396888836203,25.8,26.384615384615383,24.249852758819895,0.2856,0.32161538461538464,0.32054791218592477,16.4,19.076923076923077,18.102139277925495,0.6076,0.678,0.6473629640919689,10.4,13.307692307692308,11.995963804072327,1.0,0.9230769230769231,0.9922926533707412,200.0,200.0,200.0,100.92,105.20769230769231,99.44277069326606,38.220000000000006,36.823076923076925,40.96243063670286,12.4,12.0,13.343825561068869,16.4,16.615384615384617,17.614310901868695,68.6,74.23076923076923,66.7626415726299,10.98,12.153846153846153,10.793087285324242,7.6,8.615384615384615,7.346298083888899,0.34340000000000004,0.37307692307692303,0.3210053815945703,20.6,22.76923076923077,18.749936493420723,0.324,0.35315384615384615,0.3312227848434728,6.6,8.153846153846153,6.266972250917789,55.54,55.4076923076923,57.65546523508726,37.2,36.53846153846154,39.181643870156805,0.5052,0.5297692307692308,0.5000671043446028,15.66,14.86923076923077,16.8993952291976,12.4,12.153846153846153,13.364603032133392,39.2,38.07692307692308,39.27059447803238,0.4904,0.482076923076923,0.4620380437339235,19.2,18.23076923076923,17.982880507902102,0.9076000000000001,0.8323076923076923,0.9036718186967134,10.0,6.076923076923077,10.023122039887777
2020-01-15,"Ferrell Center, Waco, Texas",Iowa State,Baylor,Home,52.0,13,11.4,4,82.1,77.4,24,0.444,62,0.403,25,0.355,22,0.591,13,1,200,101.5,39.5,15,13,68,9.0,6,0.323,20,0.25,5,56.5,39,0.469,13.3,11,42,0.476,20,0.933,14,43.7,52.50714285714286,43.51394585664261,12.4,13.928571428571429,11.253815569367063,11.56,13.235714285714286,10.686863703277194,4.4,4.785714285714286,3.884827603942239,80.36,83.64999999999999,82.13829888924641,71.05999999999999,73.67857142857143,72.25992838339533,25.0,24.285714285714285,24.225212206058625,0.5094,0.49964285714285717,0.48758915163364025,59.8,60.785714285714285,58.68035398096874,0.45020000000000004,0.4332142857142857,0.4291597925890802,27.0,26.428571428571427,25.166568505879933,0.27240000000000003,0.307,0.25269860812394984,15.6,18.214285714285715,14.401426185283665,0.6594,0.6805714285714286,0.6695753093946459,10.4,12.714285714285714,9.663975869381552,1.0,0.9285714285714286,0.9948617689138275,200.0,200.0,200.0,105.08,105.28571428571429,101.72851379551071,35.739999999999995,35.471428571428575,33.27495375780191,11.4,11.5,10.562550374045912,16.8,16.571428571428573,17.076207267912466,71.4,73.71428571428571,66.84176104841994,12.540000000000001,12.307142857142859,11.962058190216162,8.6,8.642857142857142,7.897532055925933,0.31679999999999997,0.36907142857142855,0.3196702543963802,19.0,22.5,18.833290995613815,0.3638,0.35800000000000004,0.36114852322898183,7.0,8.142857142857142,6.844648167278526,54.339999999999996,54.65,53.37031015672484,36.4,35.785714285714285,34.78776258010454,0.5298,0.5297142857142857,0.5097114028964018,14.439999999999998,14.328571428571427,13.69959681946507,11.4,11.642857142857142,10.576402021422261,40.8,38.285714285714285,39.847062985354924,0.492,0.4807142857142857,0.4623586958226157,20.0,18.285714285714285,18.3219203386014,0.9156000000000001,0.8392142857142858,0.912114545797809,11.0,6.571428571428571,11.015414693258519
