date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Dunkin' Donuts Center, Providence, Rhode Island",Boston College,Providence,Away,60.6,20,4.0,2,108.5,63.4,28,0.508,65,0.508,33,0.415,27,0.593,16,2,200.0,115.5,47.2,15,14,82,1.4,1,0.154,10.0,0.0,0.0,55.8,43,0.527,11.5,10,55.0,0.6,33.0,0.667,4,56.120000000000005,56.120000000000005,53.314814814814824,15.6,15.6,14.641975308641978,8.540000000000001,8.540000000000001,7.074074074074076,3.6,3.6,3.012345679012347,98.92,98.92,106.77160493827162,70.14,70.14,70.47407407407408,23.6,23.6,21.691358024691365,0.5412,0.5412,0.550567901234568,57.6,57.6,55.38271604938272,0.4864,0.4864,0.495925925925926,27.4,27.4,26.987654320987662,0.38980000000000004,0.38980000000000004,0.4051604938271606,22.0,22.0,22.06172839506173,0.7048,0.7048,0.7118641975308643,16.0,16.0,16.22222222222223,0.8,0.8,1.037037037037037,200.0,200.0,200.0,115.62,115.62,117.63333333333337,47.12,47.12,48.57654320987655,11.8,11.8,11.777777777777779,16.8,16.8,17.19753086419753,77.0,77.0,76.20987654320989,5.220000000000001,5.220000000000001,4.750617283950618,3.6,3.6,3.2098765432098775,0.2786,0.2786,0.2761481481481482,16.2,16.2,15.456790123456793,0.3862,0.3862,0.384567901234568,6.2,6.2,6.012345679012347,58.9,58.9,59.36790123456791,35.4,35.4,33.46913580246914,0.5734,0.5734,0.5846543209876545,15.959999999999999,15.959999999999999,16.40246913580247,12.4,12.4,12.407407407407408,41.4,41.4,39.92592592592593,0.52,0.52,0.5319135802469137,21.2,21.2,20.97530864197531,0.8034000000000001,0.8034000000000001,0.7617777777777779,2.2,2.2,2.358024691358025
2009-12-02,"Crisler Arena, Ann Arbor, Michigan",Boston College,Michigan,Away,78.3,18,19.4,6,98.3,65.1,29,0.5,49,0.469,23,0.408,20,0.65,13,2,200.0,105.1,54.2,12,15,62,1.7,1,0.224,11.0,0.273,3.0,61.2,41,0.53,18.4,13,38.0,0.526,20.0,0.714,5,55.58,56.86666666666667,55.74320987654322,15.8,16.333333333333332,16.427983539094654,5.9399999999999995,7.783333333333334,6.049382716049385,2.4,3.3333333333333335,2.6748971193415647,104.72,100.51666666666667,107.34773662551441,69.28,69.01666666666667,68.11604938271606,24.4,24.333333333333332,23.794238683127578,0.5107999999999999,0.5356666666666666,0.5363786008230453,60.6,58.833333333333336,58.58847736625515,0.46799999999999997,0.49,0.4999506172839507,28.0,28.333333333333332,28.99176954732511,0.34480000000000005,0.39399999999999996,0.4084403292181071,21.0,22.833333333333332,23.707818930041157,0.6796,0.6861666666666667,0.6722427983539095,14.6,16.0,16.148148148148152,1.2,1.0,1.3580246913580247,200.0,200.0,200.0,114.34,115.60000000000001,116.92222222222226,44.56,47.13333333333333,48.11769547325104,13.0,12.333333333333334,12.851851851851853,15.8,16.333333333333332,16.131687242798357,75.6,77.83333333333333,78.13991769547326,4.14,4.583333333333333,3.633744855967079,2.8,3.1666666666666665,2.4732510288065854,0.26539999999999997,0.2578333333333333,0.23543209876543214,16.0,15.166666666666666,13.637860082304531,0.2772,0.32183333333333336,0.25637860082304537,5.0,5.166666666666667,4.008230452674899,57.120000000000005,58.38333333333333,58.17860082304527,37.4,36.666666666666664,36.64609053497943,0.5422,0.5656666666666667,0.5654362139917697,13.680000000000001,15.216666666666667,14.768312757201649,10.6,12.0,11.60493827160494,44.6,43.666666666666664,44.95061728395062,0.517,0.5333333333333333,0.5546090534979425,23.0,23.166666666666668,24.983539094650208,0.7368,0.7806666666666667,0.7301851851851853,2.8,2.5,2.9053497942386834
2009-12-06,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Miami (FL),Boston College,Home,55.0,11,5.7,2,103.4,83.3,23,0.371,58,0.345,20,0.431,25,0.72,18,2,200.0,105.2,60.5,20,10,61,6.9,4,0.31,18.0,0.167,3.0,69.4,43,0.436,13.8,11,40.0,0.425,17.0,0.75,6,56.239999999999995,59.92857142857143,63.26213991769548,15.2,16.571428571428573,16.951989026063103,7.919999999999999,9.442857142857141,10.499588477366256,2.8,3.7142857142857144,3.78326474622771,112.16,100.2,104.33182441700961,67.8,68.45714285714286,67.11069958847737,24.0,25.0,25.529492455418385,0.5107999999999999,0.5305714285714286,0.5242524005486969,58.2,57.42857142857143,55.3923182441701,0.47000000000000003,0.487,0.48963374485596717,27.0,27.571428571428573,26.994513031550078,0.37720000000000004,0.39599999999999996,0.40829355281207136,22.0,22.428571428571427,22.471879286694104,0.663,0.681,0.6648285322359397,15.0,15.571428571428571,15.09876543209877,1.6,1.1428571428571428,1.57201646090535,200.0,200.0,200.0,115.36000000000001,114.10000000000001,112.98148148148151,48.06,48.142857142857146,50.145130315500694,13.6,12.285714285714286,12.567901234567904,16.4,16.142857142857142,15.754458161865573,73.6,75.57142857142857,72.75994513031551,3.6399999999999997,4.171428571428572,2.989163237311386,2.4,2.857142857142857,1.9821673525377237,0.2578,0.253,0.23162139917695476,15.0,14.571428571428571,12.758573388203022,0.2692,0.3148571428571429,0.2619190672153636,4.6,4.857142857142857,3.6721536351165995,57.94,58.785714285714285,59.185733882030185,37.6,37.285714285714285,38.09739368998629,0.5426,0.5605714285714286,0.5536241426611799,13.540000000000001,15.671428571428573,15.978875171467767,10.0,12.142857142857142,12.069958847736627,43.2,42.857142857142854,42.63374485596708,0.52,0.5322857142857143,0.5450727023319617,22.4,22.714285714285715,23.322359396433477,0.6796,0.7711428571428571,0.7247901234567902,3.4,2.857142857142857,3.603566529492456
2009-12-09,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Harvard,Boston College,Away,57.1,12,13.5,5,104.2,66.7,15,0.42,56,0.375,21,0.5,28,0.714,20,3,200.0,94.4,38.7,11,19,67,7.0,5,0.232,13.0,0.385,5.0,50.0,26,0.483,17.0,13,43.0,0.372,16.0,0.667,6,59.54,59.3125,60.50809327846366,15.4,15.875,14.96799268404207,6.839999999999999,8.975,8.899725651577505,2.4,3.5,3.1888431641518067,108.84,100.60000000000001,104.02121627800642,71.34,70.3125,72.50713305898492,23.8,24.75,24.686328303612257,0.5056,0.510625,0.4731682670324646,55.2,57.5,56.2615454961134,0.4678,0.46925,0.4414224965706448,25.8,26.625,24.663008687700056,0.38659999999999994,0.400375,0.4158623685413809,21.4,22.75,23.314586191129404,0.6498,0.685875,0.6832190214906265,14.2,15.875,16.065843621399182,1.8,1.25,1.7146776406035666,200.0,200.0,200.0,113.54,112.9875,110.38765432098768,50.62,49.6875,53.596753543667134,14.0,13.25,15.045267489711936,14.0,15.375,13.836305441243717,69.8,73.75,68.83996342021035,3.02,4.5125,4.292775491540924,1.8,3.0,2.654778235025149,0.2596,0.260125,0.2577475994513032,14.2,15.0,14.50571559213535,0.248,0.296375,0.23027937814357577,4.0,4.625,3.4481024234110667,60.760000000000005,60.1125,62.590489254686794,37.8,38.0,39.731595793324196,0.5372,0.545,0.5144160951074532,15.2,15.4375,15.25258344764518,11.2,12.0,11.713305898491086,41.0,42.5,41.755829903978054,0.5266,0.518875,0.5050484682213079,21.8,22.0,21.214906264288985,0.6961999999999999,0.7685,0.7331934156378601,4.2,3.25,4.402377686328304
2009-12-13,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Rhode Island,Boston College,Away,36.7,11,4.3,2,117.6,57.1,20,0.47,67,0.448,30,0.179,12,0.5,6,4,200.0,101.5,60.0,14,14,69,7.4,5,0.254,17.0,0.176,3.0,58.6,34,0.475,16.2,12,50.0,0.54,27.0,0.6,6,58.54,59.06666666666667,59.37206218564244,14.2,15.444444444444445,13.97866178936138,8.52,9.477777777777778,10.433150434385004,3.0,3.6666666666666665,3.792562109434538,110.34,101.0,104.08081085200429,70.14,69.91111111111111,70.5714220393233,22.0,23.666666666666668,21.457552202408174,0.46179999999999993,0.5005555555555555,0.45544551135497646,55.6,57.333333333333336,56.1743636640756,0.4354,0.45877777777777773,0.4192816643804299,24.2,26.0,23.44200579180004,0.43479999999999996,0.41144444444444445,0.443908245694254,24.2,23.333333333333332,24.87639079408627,0.7068000000000001,0.689,0.6934793476604177,17.0,16.333333333333332,17.37722908093279,2.2,1.4444444444444444,2.1431184270690444,200.0,200.0,200.0,107.42,110.92222222222222,105.0584362139918,50.50000000000001,48.46666666666667,48.631169029111426,14.0,13.0,13.69684499314129,15.4,15.777777777777779,15.557536960829147,68.2,73.0,68.22664228014024,4.08,4.788888888888889,5.195183661027283,2.6,3.2222222222222223,3.4365188233500996,0.23199999999999998,0.257,0.24916506630086882,12.8,14.777777777777779,14.0038103947569,0.21500000000000002,0.30622222222222223,0.28185291876238383,2.8,4.666666666666667,3.965401615607378,59.279999999999994,58.98888888888889,58.39365950312453,36.0,36.666666666666664,35.154397195549464,0.5102,0.5381111111111111,0.5039440634049688,15.74,15.61111111111111,15.835055631763453,12.0,12.11111111111111,12.14220393232739,42.8,42.55555555555556,42.1705532693187,0.4952,0.5025555555555555,0.4606989788142053,21.4,21.333333333333332,19.47660417619266,0.6796,0.7572222222222222,0.7111289437585735,4.8,3.5555555555555554,4.934918457552203
2009-12-20,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts","Bryant
			",Boston College,Home,66.7,20,27.8,10,69.7,78.1,26,0.5,64,0.469,30,0.172,11,0.727,8,4,200.0,109.1,51.7,14,12,72,9.1,6,0.281,18.0,0.222,4.0,65.6,40,0.52,14.8,12,46.0,0.565,26.0,0.636,7,57.54,56.83,51.81470812376163,14.4,15.0,12.98577452624092,9.379999999999999,8.959999999999999,8.38876695625667,3.4,3.5,3.1950414062896924,106.4,102.66,108.58720723466953,67.12,68.63,66.08094802621554,23.0,23.3,20.971701468272116,0.45380000000000004,0.49749999999999994,0.4602970075699844,59.0,58.3,59.78290910938374,0.429,0.4577,0.4288544429202866,25.4,26.4,25.62800386120003,0.38659999999999994,0.3882,0.3556054971295027,22.4,22.2,20.58426052939085,0.6354,0.6700999999999999,0.6289862317736119,14.6,15.3,13.584819387288528,2.6,1.7,2.762078951379363,200.0,200.0,200.0,104.34,109.97999999999999,103.87229080932786,52.120000000000005,49.62,52.42077935274096,14.4,13.1,13.797896662094194,14.4,15.6,15.038357973886098,68.2,72.6,68.48442818676017,4.880000000000001,5.05,5.930122440684856,3.2,3.4,3.957679215566733,0.23479999999999998,0.25670000000000004,0.2507767108672459,13.8,15.0,15.002540263171268,0.20020000000000002,0.2932,0.2465686125082559,2.8,4.5,3.6436010770715854,59.0,58.95,58.46243966874969,37.4,36.4,34.76959813036631,0.4902,0.5317999999999999,0.4942960422699792,15.38,15.669999999999998,15.956703754508968,11.8,12.1,12.094802621551596,45.2,43.3,44.78036884621247,0.49260000000000004,0.5063000000000001,0.4871326525428036,22.6,21.9,21.98440278412844,0.6796,0.7415,0.6740859625057157,5.4,3.8,5.289945638368136
2009-12-23,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",UMass,Boston College,Home,73.3,22,10.6,5,93.1,43.6,18,0.485,68,0.441,30,0.25,17,0.765,13,4,200.0,109.7,33.3,10,20,79,12.5,9,0.25,17.0,0.353,6.0,38.9,28,0.519,7.4,6,51.0,0.471,24.0,0.667,8,58.75999999999999,57.72727272727273,56.77647208250776,14.4,15.454545454545455,15.323849684160614,14.14,10.672727272727274,14.85917797083778,5.0,4.090909090909091,5.463360937526462,98.64,99.66363636363636,95.62480482311304,70.05999999999999,69.49090909090908,70.08729868414369,22.6,23.545454545454547,22.64780097884808,0.45220000000000005,0.4977272727272727,0.4735313383799896,58.8,58.81818181818182,61.1886060729225,0.42119999999999996,0.45872727272727276,0.4422362952801911,24.8,26.727272727272727,27.08533590746669,0.33799999999999997,0.36854545454545456,0.29440366475300184,19.2,21.181818181818183,17.389507019593903,0.6622,0.6752727272727272,0.6616574878490746,13.0,14.636363636363637,11.72321292485902,3.0,1.9090909090909092,3.1747193009195755,200.0,200.0,200.0,103.05999999999999,109.9,105.61486053955191,53.02,49.809090909090905,52.18051956849398,14.2,13.181818181818182,13.86526444139613,14.0,15.272727272727273,14.025571982590733,66.2,72.54545454545455,69.65628545784011,6.42,5.418181818181818,6.986748293789904,4.2,3.6363636363636362,4.638452810377823,0.26020000000000004,0.2589090909090909,0.26085114057816394,15.4,15.272727272727273,16.001693508780846,0.2446,0.2867272727272727,0.23837907500550393,3.6,4.454545454545454,3.762400718047724,60.959999999999994,59.554545454545455,60.84162644583313,36.8,36.72727272727273,36.51306542024421,0.4888,0.5307272727272727,0.5028640281799861,16.04,15.590909090909092,15.571135836339314,12.2,12.090909090909092,12.063201747701065,43.4,43.54545454545455,45.18691256414165,0.4856,0.5116363636363637,0.5130884350285357,21.2,22.272727272727273,23.322935189418963,0.6734,0.731909090909091,0.6613906416704772,6.0,4.090909090909091,5.859963758912091
2009-12-30,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",South Carolina,Boston College,Home,54.8,17,14.0,7,104.1,63.9,26,0.523,65,0.477,31,0.354,23,0.739,17,4,200.0,116.4,50.0,15,11,85,1.4,1,0.215,14.0,0.429,6.0,56.9,41,0.56,16.6,15,51.0,0.49,25.0,0.692,9,57.760000000000005,59.025,62.28431472167184,15.2,16.0,17.549233122773742,12.379999999999999,10.666666666666666,13.439451980558522,4.8,4.166666666666667,5.308907291684308,97.6,99.11666666666667,94.78320321540869,65.76,67.33333333333333,61.25819912276246,20.4,23.083333333333332,21.09853398589872,0.4492,0.49666666666666665,0.47735422558665974,62.6,59.583333333333336,63.45907071528167,0.4156000000000001,0.45725,0.44182419685346075,26.2,27.0,28.056890604977795,0.3064,0.3586666666666667,0.2796024431686679,18.6,20.833333333333332,17.259671346395937,0.6852,0.68275,0.6961049918993831,13.0,14.5,12.14880861657268,3.4,2.0833333333333335,3.449812867279717,200.0,200.0,200.0,103.97999999999999,109.88333333333333,106.97657369303461,48.84,48.43333333333334,45.887013045662655,13.8,12.916666666666666,12.576842960930755,15.0,15.666666666666666,16.017047988393823,69.6,73.08333333333333,72.77085697189341,8.58,6.008333333333333,8.824498862526603,5.8,4.083333333333333,6.092301873585216,0.26539999999999997,0.25816666666666666,0.257234093718776,16.6,15.416666666666666,16.334462339187233,0.2606,0.29225,0.2765860500036693,4.2,4.583333333333333,4.508267145365149,56.5,57.833333333333336,53.52775096388875,34.2,36.0,33.67537694682947,0.48660000000000003,0.52975,0.5082426854533241,13.84,14.908333333333333,12.847423890892877,10.8,11.583333333333334,10.042134498467378,46.0,44.166666666666664,47.124608376094436,0.4746,0.50825,0.4990589566856905,22.0,22.416666666666668,23.548623459612642,0.6639999999999999,0.7265,0.6632604277803182,6.6,4.416666666666667,6.573309172608061
2010-01-02,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",Maine,Boston College,Away,83.3,15,9.3,4,82.5,80.6,26,0.409,55,0.327,18,0.145,8,0.75,6,5,200.0,81.0,28.6,9,13,51,3.2,2,0.509,28.0,0.321,9.0,53.0,35,0.434,19.3,13,27.0,0.333,9.0,0.643,9,57.720000000000006,58.7,59.78954314778123,16.4,16.076923076923077,17.366155415182497,14.040000000000001,10.923076923076923,13.626301320372349,5.8,4.384615384615385,5.8726048611228725,97.74,99.5,97.8888021436058,61.879999999999995,67.06923076923077,62.13879941517498,21.0,23.307692307692307,22.732355990599146,0.4796,0.4986923076923077,0.49256948372443987,64.0,60.0,63.972713810187784,0.442,0.4587692307692307,0.4535494645689738,28.4,27.307692307692307,29.037927069985198,0.291,0.35830769230769227,0.3044016287791119,18.2,21.0,19.173114230930626,0.689,0.6870769230769231,0.7104033279329222,12.8,14.692307692307692,13.765872411048454,3.8,2.230769230769231,3.633208578186478,200.0,200.0,200.0,106.22,110.38461538461539,110.11771579535642,46.74,48.55384615384616,47.25800869710844,12.8,13.076923076923077,13.384561973953838,15.2,15.307692307692308,14.344698658929216,74.4,74.0,76.84723798126228,7.4799999999999995,5.653846153846154,6.34966590835107,5.2,3.8461538461538463,4.394867915723477,0.2464,0.25484615384615383,0.243156062479184,15.8,15.307692307692308,15.556308226124823,0.313,0.3027692307692308,0.3273907000024462,4.8,4.6923076923076925,5.005511430243433,54.0,57.76153846153846,54.65183397592584,33.8,36.38461538461539,36.11691796455298,0.5114,0.5320769230769231,0.5254951236355494,14.4,15.038461538461538,14.098282593928586,11.6,11.846153846153847,11.694756332311586,48.2,44.69230769230769,48.41640558406296,0.48760000000000003,0.5068461538461538,0.496039304457127,23.6,22.615384615384617,24.032415639741764,0.6524,0.7238461538461538,0.6728402851868789,7.2,4.769230769230769,7.382206115072042
2010-01-05,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",NJIT,Boston College,Home,61.8,21,21.6,8,47.8,76.3,30,0.621,62,0.548,34,0.226,14,0.857,12,5,200.0,132.8,59.1,12,8,89,16.4,11,0.21,13.0,0.692,9.0,70.0,42,0.648,13.9,11,49.0,0.51,25.0,0.667,10,62.96,60.457142857142856,67.62636209852081,17.0,16.0,16.577436943454998,13.2,10.807142857142859,12.184200880248234,5.6,4.357142857142857,5.248403240748582,93.4,98.28571428571429,92.75920142907054,64.66,68.03571428571429,68.29253294344998,23.2,23.5,23.82157066039943,0.4774,0.4922857142857143,0.4647129891496266,63.8,59.642857142857146,60.981809206791866,0.4324,0.44935714285714284,0.41136630971264926,27.8,26.642857142857142,25.3586180466568,0.21999999999999997,0.3430714285714286,0.25126775251940797,14.2,20.071428571428573,15.448742820620417,0.6961999999999999,0.6915714285714286,0.7236022186219482,10.0,14.071428571428571,11.177248274032303,4.2,2.4285714285714284,4.088805718790986,200.0,200.0,200.0,103.54,108.28571428571429,100.41181053023762,44.72,47.128571428571426,41.03867246473896,12.4,12.785714285714286,11.923041315969227,14.0,15.142857142857142,13.896465772619479,71.2,72.35714285714286,68.23149198750819,6.720000000000001,5.478571428571429,5.299777272234047,4.6,3.7142857142857144,3.596578610482318,0.30179999999999996,0.273,0.331770708319456,18.8,16.214285714285715,19.704205484083218,0.30019999999999997,0.30407142857142855,0.3252604666682975,5.6,5.0,6.337007620162289,54.6,57.42142857142857,54.10122265061723,35.6,36.285714285714285,35.74461197636866,0.5016,0.5250714285714285,0.4949967490903663,14.86,15.342857142857143,15.832188395952391,11.6,11.928571428571429,12.129837554874392,45.0,43.42857142857143,41.27760372270864,0.4798,0.4944285714285714,0.4416928696380847,22.2,21.642857142857142,19.02161042649451,0.6476,0.7180714285714286,0.6628935234579193,7.8,5.071428571428571,7.921470743381362
