date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2021-01-22,"RIMAC Arena, La Jolla, California",CALIFORNIA-DAVIS,CALIFORNIA-SAN-DIEGO,Home,77.8,28,3.9,2,89.6,68.4,26,0.783,53,0.679,36,0.151,8,0.75,6,3,200.0,115.6,10.5,2,17,89,10.4,8,0.396,21.0,0.524,11.0,49.1,28,0.783,27.1,21,32.0,0.781,25.0,0.5,3,65.26,65.26,61.61358024691358,15.2,15.2,13.728395061728397,7.44,7.44,5.97777777777778,3.2,3.2,2.7160493827160503,90.62,90.62,98.15555555555557,70.4,70.4,67.81481481481482,21.4,21.4,20.901234567901238,0.4904,0.4904,0.4698765432098767,56.2,56.2,55.271604938271615,0.4112,0.4112,0.398246913580247,23.2,23.2,22.111111111111114,0.2294,0.2294,0.2324197530864198,13.0,13.0,12.962962962962965,0.6718,0.6718,0.6970493827160495,9.0,9.0,9.259259259259261,1.2,1.2,1.5925925925925926,200.0,200.0,200.0,89.38,89.38,85.90740740740742,14.3,14.3,14.596296296296298,4.8,4.8,4.938271604938272,13.8,13.8,13.60493827160494,64.4,64.4,61.469135802469154,11.879999999999999,11.879999999999999,9.230864197530867,8.6,8.6,6.703703703703705,0.5236,0.5236,0.49729629629629646,29.6,29.6,27.629629629629637,0.2992,0.2992,0.2845925925925926,9.0,9.0,7.987654320987655,40.9,40.9,39.981481481481495,26.2,26.2,25.839506172839513,0.5132,0.5132,0.4971728395061729,18.04,18.04,18.72962962962963,13.6,13.6,14.000000000000002,26.6,26.6,27.64197530864198,0.541,0.541,0.515,14.2,14.2,14.12345679012346,0.7134,0.7134,0.6395555555555557,1.8,1.8,1.8024691358024696
2021-01-23,"RIMAC Arena, La Jolla, California",CALIFORNIA-DAVIS,CALIFORNIA-SAN-DIEGO,Away,44.0,11,8.6,3,104.0,69.0,20,0.538,52,0.481,25,0.462,24,0.625,15,4,200.0,94.7,28.6,8,20,71,6.7,5,0.423,22.0,0.273,6.0,49.1,28,0.56,25.1,21,30.0,0.633,19.0,0.429,3,67.73999999999998,67.35000000000001,67.00905349794239,17.4,17.333333333333332,18.48559670781893,5.26,6.8500000000000005,5.2851851851851865,2.0,3.0,2.477366255144034,95.78,90.45,95.30370370370372,69.58,70.06666666666666,68.00987654320988,20.8,22.166666666666668,22.600823045267493,0.5486000000000001,0.5391666666666667,0.5742510288065845,54.2,55.666666666666664,54.51440329218108,0.46440000000000003,0.45583333333333337,0.4918312757201647,25.2,25.333333333333332,26.740740740740744,0.1992,0.21633333333333335,0.20527983539094652,10.8,12.166666666666666,11.308641975308644,0.6639999999999999,0.6848333333333333,0.7146995884773664,7.2,8.5,8.172839506172842,1.8,1.5,2.0617283950617287,200.0,200.0,200.0,93.24,93.75,95.80493827160495,12.98,13.666666666666666,13.230864197530867,4.0,4.333333333333333,3.958847736625515,14.8,14.333333333333334,14.736625514403293,66.8,68.5,70.64609053497944,11.459999999999999,11.633333333333333,9.620576131687244,8.2,8.5,7.135802469135804,0.5044000000000001,0.5023333333333334,0.46353086419753103,27.6,28.166666666666668,25.41975308641976,0.33940000000000003,0.33666666666666667,0.3643950617283951,9.2,9.333333333333334,8.991769547325104,41.38,42.266666666666666,43.020987654321004,24.8,26.5,26.55967078189301,0.5628,0.5581666666666667,0.592448559670782,20.18,19.55,21.519753086419755,15.0,14.833333333333334,16.333333333333336,26.6,27.5,29.094650205761326,0.5972,0.581,0.6036666666666667,16.0,16.0,17.748971193415642,0.6134000000000001,0.6778333333333334,0.5930370370370371,2.2,2.0,2.2016460905349797
2021-01-31,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-SAN-DIEGO,CALIFORNIA-RIVERSIDE,Home,57.1,12,3.2,1,100.0,76.5,26,0.457,58,0.362,21,0.207,12,0.5,6,5,200.0,83.1,12.8,5,8,59,7.0,5,0.517,30.0,0.367,11.0,42.5,31,0.463,18.1,14,28.0,0.357,10.0,0.375,3,60.379999999999995,64.01428571428572,59.33936899862826,15.4,16.428571428571427,15.990397805212622,4.62,7.1000000000000005,6.390123456790125,1.8,3.0,2.651577503429356,105.44000000000001,92.38571428571429,98.20246913580249,67.08,69.91428571428571,68.33991769547326,20.4,21.857142857142858,21.73388203017833,0.5444,0.539,0.5621673525377231,52.8,55.142857142857146,53.67626886145406,0.47240000000000004,0.45942857142857146,0.4882208504801098,25.0,25.285714285714285,26.160493827160497,0.2476,0.25142857142857145,0.29085322359396437,13.0,13.857142857142858,15.539094650205763,0.6506000000000001,0.6762857142857143,0.6847997256515777,8.4,9.428571428571429,10.448559670781895,2.6,1.8571428571428572,2.7078189300411526,200.0,200.0,200.0,90.76,93.88571428571429,95.4366255144033,15.76,15.799999999999999,18.35390946502058,4.6,4.857142857142857,5.305898491083677,16.0,15.142857142857142,16.491083676268865,66.0,68.85714285714286,70.76406035665296,7.38,10.928571428571429,8.647050754458164,5.4,8.0,6.423868312757204,0.4534000000000001,0.49100000000000005,0.45002057613168733,24.0,27.285714285714285,24.27983539094651,0.324,0.32757142857142857,0.33393004115226343,7.6,8.857142857142858,7.99451303155007,42.339999999999996,43.24285714285714,45.04732510288068,25.0,26.714285714285715,27.03978052126201,0.5598000000000001,0.5584285714285714,0.5816323731138547,23.000000000000004,20.342857142857145,22.71316872427984,17.6,15.714285714285714,17.888888888888893,28.8,27.857142857142858,29.396433470507553,0.5974,0.5884285714285714,0.6134444444444445,17.4,16.428571428571427,18.16598079561043,0.4992,0.6422857142857143,0.5383580246913581,2.4,2.142857142857143,2.4677640603566533
2021-02-07,"RIMAC Arena, La Jolla, California","Bethesda University (CA)
			",CALIFORNIA-SAN-DIEGO,Home,71.4,25,3.1,1,84.2,83.7,36,0.676,68,0.515,35,0.176,12,0.75,9,5,200.0,132.9,28.1,9,9,101,9.2,7,0.662,45.0,0.489,22.0,60.0,45,0.685,13.1,11,23.0,0.565,13.0,0.444,4,61.04,63.15,58.59291266575217,15.0,15.875,14.660265203475083,4.0,6.6125,5.326748971193417,1.6,2.75,2.101051668952904,103.8,93.3375,98.801646090535,67.38,70.7375,71.05994513031551,22.0,22.375,23.15592135345222,0.5306,0.52875,0.5271115683584822,53.0,55.5,55.11751257430271,0.45359999999999995,0.44725000000000004,0.4461472336534066,24.0,24.75,24.440329218107,0.254,0.245875,0.2629021490626429,13.4,13.625,14.35939643347051,0.6506000000000001,0.65425,0.6231998171010518,8.6,9.0,8.96570644718793,3.4,2.25,3.4718792866941017,200.0,200.0,200.0,89.58,92.5375,91.3244170096022,15.74,15.425,16.50260631001372,4.8,4.875,5.2039323273891185,14.2,14.25,13.66072245084591,64.8,67.625,66.84270690443532,6.58,10.4375,8.098033836305444,4.8,7.625,5.9492455418381365,0.4516,0.49425,0.47234705075445826,24.0,27.625,26.186556927297676,0.34400000000000003,0.3325,0.3449533607681756,8.2,9.125,8.99634202103338,42.839999999999996,43.15,44.19821673525379,26.8,27.25,28.35985368084134,0.5471999999999999,0.5465,0.5420882487425698,22.7,20.0625,21.17544581618656,17.4,15.5,16.592592592592595,29.0,27.875,28.930955647005035,0.5354,0.5595,0.527962962962963,15.8,15.625,15.443987197073621,0.4408,0.608875,0.48390534979423877,2.6,2.25,2.645176040237769
2021-02-12,"Icardo Center, Bakersfield, California",CALIFORNIA-SAN-DIEGO,CAL-STATE-BAKERSFIELD,Home,61.5,16,0.0,0,116.9,59.4,19,0.593,54,0.481,26,0.148,8,0.875,7,6,200.0,109.2,24.0,6,16,71,3.1,2,0.593,32.0,0.375,12.0,43.9,25,0.614,19.6,14,22.0,0.636,14.0,0.4,4,58.48,64.06666666666666,62.86194177716813,16.8,16.88888888888889,18.10684346898339,3.7600000000000002,6.222222222222222,4.584499314128944,1.4,2.5555555555555554,1.7340344459686028,100.64000000000001,92.32222222222222,93.93443072702334,72.12,72.17777777777778,75.27329675354368,25.0,23.88888888888889,27.43728090230148,0.5720000000000001,0.5451111111111112,0.5767410455723214,56.8,56.888888888888886,59.41167504953514,0.479,0.4547777777777778,0.46909815576893776,27.2,25.88888888888889,27.960219478738004,0.2444,0.23811111111111108,0.23393476604176194,13.6,13.444444444444445,13.572930955647008,0.6916,0.6648888888888889,0.6654665447340345,9.2,9.0,8.977137631458621,4.0,2.5555555555555554,3.981252857796068,200.0,200.0,200.0,101.08,97.02222222222223,105.18294467306814,19.42,16.833333333333332,20.368404206675816,6.0,5.333333333333333,6.469288218259413,13.6,13.666666666666666,12.10714830056394,74.6,71.33333333333333,78.22847126962355,7.56,10.3,8.465355890870295,5.6,7.555555555555555,6.299497027892091,0.4902,0.5128888888888888,0.5355647005029722,28.4,29.555555555555557,32.45770461819845,0.3722,0.3498888888888889,0.39296890717878374,11.0,10.555555555555555,13.330894680688921,47.56,45.02222222222222,49.465477823502525,31.0,29.22222222222222,33.906569120560896,0.5884,0.5618888888888889,0.5897254991617132,20.1,19.288888888888888,18.483630544124374,15.8,15.0,14.728395061728397,28.4,27.333333333333332,26.953970431336693,0.5638,0.5601111111111111,0.5403086419753087,16.2,15.333333333333334,14.629324798049083,0.42960000000000004,0.5905555555555556,0.47060356652949253,3.0,2.4444444444444446,3.0967840268251794
2021-02-13,"Icardo Center, Bakersfield, California",CALIFORNIA-SAN-DIEGO,CAL-STATE-BAKERSFIELD,Home,60.0,12,8.1,3,106.6,58.3,21,0.51,48,0.417,20,0.125,6,0.167,1,7,200.0,82.0,7.4,2,6,50,3.3,2,0.5,24.0,0.375,9.0,36.5,23,0.492,20.4,13,24.0,0.458,11.0,0.364,4,62.35999999999999,63.81,62.407961184778756,18.4,16.8,17.404562312655592,3.7600000000000002,5.6,3.056332876085963,1.4,2.3,1.1560229639790687,98.94,94.78,101.58962048468223,71.4,70.9,69.98219783569579,25.4,23.4,24.624853934867655,0.6094,0.5499,0.5821606970482143,57.0,56.6,57.60778336635676,0.5035999999999999,0.4574,0.4730654371792919,28.6,25.9,27.30681298582534,0.22879999999999998,0.2291,0.20528984402784128,12.8,12.9,11.715287303764672,0.7,0.6859,0.7353110298226897,8.6,8.8,8.318091754305748,4.6,2.9,4.654168571864046,200.0,200.0,200.0,107.1,98.24,106.52196311537875,20.8,17.55,21.578936137783877,6.0,5.4,6.3128588121729425,14.0,13.9,13.404765533709295,78.2,71.3,75.81898084641571,7.279999999999999,9.58,6.676903927246864,5.4,7.0,4.8663313519280615,0.5182,0.5208999999999999,0.5547098003353148,30.0,29.8,32.3051364121323,0.4056,0.3524,0.38697927145252253,12.4,10.7,12.887263120459282,48.92,44.910000000000004,47.61031854900169,31.4,28.8,30.9377127470406,0.6210000000000001,0.5671,0.5978169994411422,20.6,19.32,18.855753696082918,16.2,14.9,14.485596707818932,27.0,26.8,25.302646954224464,0.5944,0.5677,0.5722057613168725,16.2,15.2,14.419549865366056,0.42960000000000004,0.5715,0.4470690443529951,3.4,2.6,3.397856017883453
2021-02-19,"RIMAC Arena, La Jolla, California",CALIFORNIA-RIVERSIDE,CALIFORNIA-SAN-DIEGO,Away,67.9,19,7.4,2,114.1,83.3,20,0.532,62,0.452,28,0.226,14,0.643,9,8,200.0,105.6,5.9,2,14,75,8.5,6,0.5,31.0,0.323,10.0,37.9,22,0.546,8.1,6,31.0,0.581,18.0,0.333,4,58.8,63.46363636363637,61.60530745651918,15.2,16.363636363636363,15.603041541770397,4.6,5.827272727272727,4.737555250723975,1.6,2.3636363636363638,1.770681975986046,102.34,95.85454545454546,103.25974698978816,69.38000000000001,69.75454545454545,66.08813189046386,24.4,23.181818181818183,23.416569289911774,0.5548,0.5462727272727274,0.5581071313654762,56.0,55.81818181818182,54.40518891090451,0.45119999999999993,0.4537272727272727,0.45437695811952794,25.4,25.363636363636363,24.871208657216897,0.22359999999999997,0.21963636363636363,0.17852656268522754,12.4,12.272727272727273,9.810191535843115,0.5833999999999999,0.6387272727272727,0.5458740198817932,7.6,8.090909090909092,5.878727836203832,5.4,3.272727272727273,5.4361123812426975,200.0,200.0,200.0,100.38,96.76363636363637,98.3479754102525,20.18,16.62727272727273,16.852624091855922,6.0,5.090909090909091,4.875239208115296,11.8,13.181818181818182,10.936510355806197,70.4,69.36363636363636,67.21265389761048,5.859999999999999,9.009090909090908,5.5512692848312435,4.2,6.545454545454546,3.910887567952041,0.539,0.519,0.5364732002235433,30.6,29.272727272727273,29.5367576080882,0.3758,0.35445454545454547,0.3829861809683484,12.0,10.545454545454545,11.591508746972856,46.4,44.14545454545455,43.906879032667796,30.4,28.272727272727273,28.291808498027066,0.5628,0.5602727272727273,0.5625446662940948,19.26,19.41818181818182,19.370502464055278,14.6,14.727272727272727,13.990397805212623,25.4,26.545454545454547,24.86843130281631,0.5297999999999999,0.5577272727272727,0.5341371742112484,13.4,14.818181818181818,13.279699910244037,0.4024,0.5526363636363636,0.41937936290199673,3.6,2.727272727272727,3.5985706785889686
2021-02-20,"RIMAC Arena, La Jolla, California",CALIFORNIA-RIVERSIDE,CALIFORNIA-SAN-DIEGO,Home,60.7,17,4.4,2,110.8,67.9,19,0.623,57,0.491,28,0.246,14,0.857,12,8,225.0,112.2,3.4,1,16,83,5.4,4,0.526,30.0,0.5,15.0,35.1,20,0.652,14.8,11,27.0,0.481,13.0,0.385,5,63.58,63.833333333333336,63.703538304346125,16.8,16.583333333333332,16.73536102784693,4.36,5.958333333333333,5.625036833815984,1.4,2.3333333333333335,1.8471213173240306,104.35999999999999,97.375,106.87316465985877,72.23999999999998,70.88333333333334,71.82542126030924,24.4,22.916666666666668,22.277712859941182,0.5536,0.5450833333333334,0.5494047542436509,58.0,56.333333333333336,56.93679260726968,0.4454000000000001,0.4535833333333333,0.453584638746352,26.0,25.583333333333332,25.914139104811266,0.1764,0.22016666666666665,0.19435104179015172,10.4,12.416666666666666,11.206794357228745,0.587,0.6390833333333333,0.5782493465878622,6.4,8.166666666666666,6.919151890802555,6.2,3.6666666666666665,6.290741587495132,200.0,200.0,200.0,102.55999999999999,97.5,100.76531694016833,15.64,15.733333333333334,13.201749394570616,4.8,4.833333333333333,3.916826138743531,10.6,13.25,11.957673570537466,71.2,69.83333333333333,69.80843593174032,6.220000000000001,8.966666666666667,6.534179523220829,4.4,6.5,4.607258378634695,0.5544,0.5174166666666666,0.5243154668156955,32.4,29.416666666666668,30.0245050720588,0.3858,0.3518333333333334,0.36299078731223233,12.8,10.5,11.061005831315239,44.16,43.625,41.904586021778535,29.2,27.75,26.194538998684713,0.56,0.5590833333333334,0.5570297775293966,15.86,18.475,15.613668309370185,11.6,14.0,11.32693187014175,25.6,26.916666666666668,26.912287535210876,0.5194000000000001,0.5596666666666666,0.5497581161408323,13.2,15.083333333333334,14.853133273496026,0.38320000000000004,0.5343333333333333,0.3905862419346645,3.8,2.8333333333333335,3.732380452392646
2021-02-26,"Bren Events Center, Irvine, California",CALIFORNIA-SAN-DIEGO,CALIFORNIA-IRVINE,Home,65.0,13,0.0,0,119.4,69.2,18,0.408,60,0.333,20,0.133,8,0.75,6,9,200.0,82.1,23.7,9,13,55,7.5,5,0.533,32.0,0.281,9.0,42.2,27,0.431,17.0,13,28.0,0.393,11.0,0.357,5,64.3,63.5923076923077,62.70235886956409,17.8,16.615384615384617,16.82357401856462,4.6,5.838461538461539,5.216691222543989,1.6,2.3076923076923075,1.8980808782160206,106.52000000000001,98.4076923076923,108.18210977323918,70.52,70.65384615384616,70.51694750687284,23.0,22.615384615384617,21.185141906627457,0.5868,0.551076923076923,0.5739365028291006,57.8,56.38461538461539,56.957861738179794,0.47119999999999995,0.4564615384615385,0.46605642583090134,27.4,25.76923076923077,26.60942606987418,0.1842,0.22215384615384615,0.2115673611934345,10.8,12.538461538461538,12.137862904819164,0.6584,0.6558461538461539,0.6711662310585749,7.6,8.461538461538462,8.612767927201704,6.8,4.0,6.860494391663423,205.0,201.92307692307693,208.33333333333334,108.38,98.63076923076923,104.57687796011223,13.760000000000002,14.784615384615385,9.93449959638041,4.0,4.538461538461538,2.9445507591623543,12.2,13.461538461538462,13.305115713691645,76.0,70.84615384615384,74.20562395449355,5.9,8.692307692307692,6.15611968214722,4.2,6.3076923076923075,4.404838919089797,0.5562,0.5180769230769231,0.5248769778771304,32.4,29.46153846153846,30.01633671470587,0.4124,0.36323076923076925,0.4086605248748216,13.6,10.846153846153847,12.374003887543493,42.68,42.96923076923077,39.63639068118569,27.0,27.153846153846153,24.12969266578981,0.5978000000000001,0.5662307692307693,0.5886865183529311,15.2,18.192307692307693,15.342445539580124,11.0,13.76923076923077,11.217954580094501,25.4,26.923076923076923,26.94152502347392,0.5442,0.5536153846153846,0.5268387440938882,13.8,14.923076923076923,14.235422182330684,0.38520000000000004,0.5228461538461538,0.3887241612897764,4.2,3.0,4.154920301595098
2021-02-27,"Bren Events Center, Irvine, California",CALIFORNIA-SAN-DIEGO,CALIFORNIA-IRVINE,Home,75.0,18,6.4,3,104.2,82.8,24,0.517,58,0.414,24,0.172,10,0.4,4,10,200.0,88.9,14.3,5,15,64,11.1,8,0.569,33.0,0.364,12.0,45.3,29,0.51,16.1,12,25.0,0.48,12.0,0.333,5,63.02,63.69285714285714,63.46823924637606,15.4,16.357142857142858,15.549049345709747,3.9799999999999995,5.421428571428572,3.47779414836266,1.4,2.142857142857143,1.265387252144014,113.55999999999999,99.90714285714286,111.92140651549279,67.61999999999999,70.55,70.0779650045819,19.4,22.285714285714285,20.12342793775164,0.5332,0.5408571428571428,0.5186243352194004,56.2,56.642857142857146,57.9719078254532,0.43479999999999996,0.4476428571428572,0.4217042838872676,24.4,25.357142857142858,24.40628404658279,0.1756,0.21578571428571428,0.185378240795623,10.0,12.214285714285714,10.758575269879444,0.6584,0.6625714285714286,0.6974441540390499,7.0,8.285714285714286,7.741845284801136,7.6,4.357142857142857,7.573662927775616,205.0,201.78571428571428,205.55555555555557,98.22,97.45,97.08458530674149,12.879999999999999,15.421428571428573,14.522999730920274,4.0,4.857142857142857,4.96303383944157,13.0,13.428571428571429,13.203410475794431,66.8,69.71428571428571,67.8037493029957,5.5600000000000005,8.607142857142858,6.604079788098147,3.8,6.214285714285714,4.603225946059865,0.5304,0.5191428571428571,0.527584651918087,29.8,29.642857142857142,30.677557809803915,0.3708,0.3573571428571429,0.36610701658321443,11.0,10.714285714285714,11.249335925028996,39.12,42.91428571428571,40.49092712079046,23.4,27.142857142857142,25.08646177719321,0.547,0.5565714285714286,0.5361243455686208,15.98,18.107142857142858,15.894963693053416,11.4,13.714285714285714,11.811969720063,26.4,27.0,27.29435001564928,0.5098,0.5421428571428571,0.4822258293959255,13.4,14.642857142857142,13.15694812155379,0.3678,0.511,0.37814944085985097,4.4,3.142857142857143,4.436613534396733
