date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-27,"Leavey Center, Santa Clara, California",Southeast Missouri State,Cal State Fullerton,Home,54.5,12,16.3,7,79.2,81.6,31,0.462,52,0.423,22,0.5,26,0.615,16,3,200,88.9,17.2,5,19,64,8.3,6,0.231,12,0.333,4,53.7,36,0.497,15.9,12,40,0.45,18,0.5,3,42.660000000000004,42.660000000000004,44.4641975308642,9.8,9.8,10.308641975308642,6.12,6.12,6.295061728395062,2.2,2.2,2.3333333333333335,93.3,93.3,95.52716049382717,80.22,80.22,76.38395061728397,24.2,24.2,22.839506172839513,0.43979999999999997,0.43979999999999997,0.4400370370370371,57.8,57.8,58.19753086419754,0.39080000000000004,0.39080000000000004,0.39335802469135805,22.6,22.6,22.901234567901238,0.29460000000000003,0.29460000000000003,0.28007407407407414,17.0,17.0,16.24691358024692,0.6834,0.6834,0.7394938271604939,11.4,11.4,11.71604938271605,2.0,2.0,2.135802469135803,200.0,200.0,200.0,85.32000000000001,85.32000000000001,85.81975308641978,21.6,21.6,20.230864197530867,7.6,7.6,6.975308641975309,17.2,17.2,16.58024691358025,62.2,62.2,62.90123456790125,9.379999999999999,9.379999999999999,9.366666666666669,6.8,6.8,6.8271604938271615,0.3536,0.3536,0.35043209876543213,20.4,20.4,20.38271604938272,0.2808,0.2808,0.2722716049382717,5.6,5.6,5.382716049382717,49.08,49.08,46.686419753086426,31.8,31.8,29.814814814814824,0.4718,0.4718,0.47644444444444456,18.22,18.22,18.32962962962963,14.6,14.6,14.703703703703706,37.4,37.4,37.814814814814824,0.4526,0.4526,0.4617407407407408,17.0,17.0,17.51851851851852,0.2466,0.2466,0.2937777777777778,1.0,1.0,1.2592592592592593
2019-11-29,"Leavey Center, Santa Clara, California",Denver,Cal State Fullerton,Away,45.5,10,5.3,2,97.0,79.3,23,0.48,50,0.44,22,0.42,21,0.667,14,4,200,92.5,19.4,6,22,62,7.5,5,0.4,20,0.2,4,48.3,29,0.517,16.8,12,30,0.6,18,0.429,3,49.760000000000005,44.63333333333333,47.809465020576134,11.4,10.166666666666666,10.872427983539096,8.8,7.816666666666666,9.630041152263376,3.4,3.0,3.888888888888889,89.14,90.95,90.08477366255144,78.67999999999999,80.45,78.12263374485599,25.4,25.333333333333332,25.55967078189301,0.44980000000000003,0.4435,0.4473580246913581,56.8,56.833333333333336,56.131687242798364,0.40180000000000005,0.3961666666666667,0.40323868312757205,22.8,22.5,22.600823045267493,0.33140000000000003,0.32883333333333337,0.35338271604938276,18.6,18.5,19.49794238683128,0.6842,0.672,0.6979958847736627,12.4,12.166666666666666,13.144032921810702,2.4,2.1666666666666665,2.423868312757202,200.0,200.0,200.0,87.84,85.91666666666667,86.8465020576132,22.0,20.866666666666667,19.220576131687245,7.6,7.166666666666667,6.31687242798354,16.8,17.5,17.38683127572017,63.4,62.5,63.267489711934175,9.2,9.200000000000001,9.011111111111113,6.6,6.666666666666667,6.551440329218108,0.3506,0.33316666666666667,0.3106213991769548,20.0,19.0,17.588477366255148,0.27599999999999997,0.28950000000000004,0.29251440329218115,5.4,5.333333333333333,4.9218106995884785,49.98,49.85,49.024279835390956,33.0,32.5,31.87654320987655,0.4828,0.476,0.48329629629629645,17.44,17.833333333333332,17.519753086419755,13.8,14.166666666666666,13.802469135802472,36.8,37.833333333333336,38.543209876543216,0.46820000000000006,0.45216666666666666,0.4578271604938272,17.4,17.166666666666668,17.679012345679013,0.3466,0.28883333333333333,0.3625185185185186,1.6,1.3333333333333333,1.8395061728395063
2019-11-30,"Leavey Center, Santa Clara, California",Cal State Fullerton,Santa Clara,Home,36.8,7,7.4,2,101.4,83.9,26,0.382,55,0.345,19,0.291,16,0.813,13,5,200,79.7,23.7,9,17,55,5.8,4,0.291,16,0.25,4,50.7,35,0.439,18.4,14,39,0.385,15,0.375,3,52.86,44.75714285714286,47.039643347050756,12.2,10.142857142857142,10.581618655692731,9.26,7.457142857142856,8.186694101508918,3.6,2.857142857142857,3.2592592592592595,89.1,91.81428571428572,92.38984910836763,76.96000000000001,80.28571428571429,78.51508916323732,24.2,25.0,24.706447187928674,0.47120000000000006,0.44871428571428573,0.4582386831275721,55.0,55.857142857142854,54.087791495198914,0.422,0.40242857142857147,0.4154924554183814,23.2,22.428571428571427,22.400548696844996,0.351,0.3418571428571428,0.3755884773662552,19.0,18.857142857142858,19.99862825788752,0.7124,0.6712857142857143,0.6876639231824418,13.2,12.428571428571429,13.429355281207135,2.8,2.4285714285714284,2.9492455418381347,200.0,200.0,200.0,91.34,86.85714285714286,88.73100137174214,19.38,20.657142857142855,19.280384087791496,6.2,7.0,6.211248285322361,17.4,18.142857142857142,18.92455418381345,65.0,62.42857142857143,62.84499314128945,9.040000000000001,8.957142857142857,8.50740740740741,6.4,6.428571428571429,6.034293552812073,0.356,0.3427142857142857,0.3404142661179699,19.6,19.142857142857142,18.3923182441701,0.2796,0.27671428571428575,0.2616762688614541,5.4,5.142857142857143,4.614540466392319,48.14,49.628571428571426,48.782853223593975,30.4,32.0,30.917695473251037,0.5067999999999999,0.4818571428571429,0.494530864197531,16.96,17.685714285714287,17.279835390946502,13.0,13.857142857142858,13.201646090534982,35.4,36.714285714285715,35.695473251028815,0.5018,0.4732857142857143,0.5052181069958849,17.8,17.285714285714285,17.786008230452676,0.4324,0.30885714285714283,0.38467901234567903,2.2,1.5714285714285714,2.226337448559671
2019-12-04,"A.G. Spanos Center, Stockton, California",Cal State Fullerton,Pacific,Home,21.7,5,5.1,2,105.1,71.4,20,0.531,48,0.479,23,0.313,15,0.533,8,6,200,100.0,16.7,5,20,59,5.1,3,0.313,15,0.333,5,43.1,25,0.535,14.2,9,33,0.545,18,0.333,3,47.839999999999996,43.7625,43.626428898033836,11.0,9.75,9.387745770461821,8.32,7.45,7.924462734339279,3.2,2.75,2.8395061728395063,93.56,93.0125,95.39323273891176,77.44,80.7375,80.31005944215822,25.0,25.125,25.13763145861912,0.4532,0.440375,0.43282578875171474,55.2,55.75,54.39186099679928,0.41319999999999996,0.39525,0.391994970278921,22.8,22.0,21.267032464563332,0.35,0.3355,0.34739231824417016,19.0,18.5,18.665752171925014,0.7624000000000001,0.6890000000000001,0.7294426154549613,14.0,12.5,13.286236854138092,3.4,2.75,3.632830361225423,200.0,200.0,200.0,89.36,85.9625,85.72066758116144,20.119999999999997,21.0375,20.753589391861,6.6,7.25,7.1408321902149074,17.2,18.0,18.2830361225423,64.0,61.5,60.229995427526305,7.82,8.5625,7.60493827160494,5.6,6.125,5.356195701874716,0.3254,0.33625,0.3239428440786466,18.0,18.75,17.594878829446735,0.25460000000000005,0.273375,0.2577841792409694,4.4,5.0,4.409693644261546,48.92,49.7625,49.42190214906265,31.6,32.375,32.27846364883403,0.49720000000000003,0.4765,0.47602057613168736,17.580000000000002,17.775,17.653223593964334,13.6,13.875,13.467764060356656,37.2,37.0,36.796982167352546,0.4988,0.46225,0.4651454046639233,18.4,17.0,16.857338820301784,0.4408,0.317125,0.38145267489711937,2.6,1.75,2.4842249657064475
2019-12-07,"Titan Gym, Fullerton, California",Sacramento State,Cal State Fullerton,Away,50.0,10,7.5,3,91.2,75.9,22,0.415,53,0.377,20,0.377,20,0.75,15,7,200,86.8,20.6,7,22,59,5.9,4,0.264,14,0.286,4,46.0,29,0.472,17.4,13,39,0.41,16,0.3,3,42.17999999999999,41.31111111111111,36.317619265355894,9.0,9.222222222222221,7.925163846974549,8.319999999999999,7.188888888888889,6.982975156226187,3.2,2.6666666666666665,2.5596707818930042,98.47999999999999,94.35555555555555,98.62882182594117,74.66,79.69999999999999,77.34003962810549,23.2,24.555555555555557,23.425087639079415,0.4476,0.4504444444444445,0.46555052583447654,53.0,54.888888888888886,52.261240664532856,0.4074,0.40455555555555556,0.42099664685261406,21.4,22.11111111111111,21.84468830970889,0.34480000000000005,0.33299999999999996,0.3359282121627801,18.0,18.11111111111111,17.443834781283343,0.709,0.6716666666666666,0.6639617436366408,12.4,12.0,11.524157902758729,4.2,3.111111111111111,4.421886907483616,200.0,200.0,200.0,88.06,87.52222222222223,90.48044505410763,19.18,20.555555555555557,19.402392927907336,6.4,7.0,6.427221460143272,18.6,18.22222222222222,18.8553574150282,59.4,61.22222222222222,59.8199969516842,7.279999999999999,8.177777777777777,6.769958847736627,5.0,5.777777777777778,4.570797134583144,0.3236,0.33366666666666667,0.32029522938576444,17.2,18.333333333333332,16.729919219631157,0.258,0.28,0.28285611949397965,4.2,5.0,4.6064624295076975,46.239999999999995,49.02222222222222,47.31460143270844,29.6,31.555555555555557,29.852309099222687,0.48439999999999994,0.48299999999999993,0.49568038408779164,16.8,17.37777777777778,16.50214906264289,12.4,13.333333333333334,11.978509373571105,35.8,36.55555555555556,35.5313214449017,0.4878,0.4714444444444445,0.49176360310928224,17.2,17.11111111111111,17.238225880201192,0.4074,0.3188888888888889,0.36530178326474627,2.8,1.8888888888888888,2.656149977137632
2019-12-11,"Titan Gym, Fullerton, California",San Diego,Cal State Fullerton,Away,61.9,13,12.2,5,93.0,80.0,28,0.408,60,0.35,21,0.133,8,0.625,5,8,199,76.1,7.7,3,13,54,9.9,7,0.417,25,0.28,7,41.9,31,0.423,11.2,8,35,0.4,14,0.273,3,41.7,42.18,40.8784128435706,8.8,9.3,8.616775897983032,8.319999999999999,7.220000000000001,7.155316770817459,3.2,2.7,2.70644718792867,94.78,94.03999999999999,96.15254788396078,78.41999999999999,79.32000000000001,76.860026418737,24.4,24.3,22.950058426052944,0.454,0.4469,0.4487003505563177,51.6,54.7,52.50749377635524,0.4128,0.4018,0.4063310979017427,21.2,21.9,21.229792206472595,0.3802,0.33740000000000003,0.3496188081085201,19.6,18.3,18.295889854188896,0.6756,0.6795,0.6926411624244273,13.2,12.3,12.682771935172486,5.0,3.5,5.28125793832241,200.0,200.0,200.0,89.58000000000001,87.45,89.25363003607177,19.52,20.56,19.80159528527156,6.4,7.0,6.618147640095515,20.0,18.6,19.9035716100188,59.8,61.0,59.546664634456135,6.5200000000000005,7.95,6.479972565157752,4.4,5.6,4.38053142305543,0.2998,0.3267,0.301530152923843,15.4,17.9,15.819946146420772,0.28040000000000004,0.2806,0.2839040796626531,4.2,4.9,4.404308286338465,48.36,48.72,46.87640095513896,30.8,31.3,29.568206066148463,0.492,0.4819,0.48778692272519447,16.54,17.380000000000003,16.801432708428592,12.0,13.3,12.319006249047405,36.2,36.8,36.68754762993447,0.47800000000000004,0.46530000000000005,0.4645090687395215,17.0,17.0,16.82548392013413,0.3874000000000001,0.317,0.34353452217649755,3.0,2.0,2.770766651425088
2019-12-14,"Titan Gym, Fullerton, California",San Francisco,Cal State Fullerton,Away,48.1,13,2.7,1,123.0,80.6,25,0.558,52,0.519,27,0.269,14,0.786,11,9,200,93.2,0.0,0,14,69,8.1,6,0.25,13,0.308,4,43.9,25,0.588,20.5,15,39,0.59,23,0.25,3,43.18,43.97272727272727,47.885608562380405,9.0,9.636363636363637,10.077850598655356,7.5,7.672727272727273,8.836877847211639,2.8,2.909090909090909,3.4709647919524467,97.54,93.94545454545455,95.10169858930719,78.1,79.38181818181819,77.906684279158,23.8,24.636363636363637,24.633372284035296,0.44320000000000004,0.44336363636363635,0.43513356703754513,53.2,55.18181818181818,55.0049958509035,0.3982,0.3970909090909091,0.3875540652678285,21.0,21.818181818181817,21.153194804315063,0.30679999999999996,0.31881818181818183,0.2774125387390134,16.0,17.363636363636363,14.863926569459265,0.6776,0.6745454545454546,0.6700941082829516,11.0,11.636363636363637,10.121847956781657,6.0,3.909090909090909,6.18750529221494,199.8,199.9090909090909,199.66666666666669,87.02000000000001,86.41818181818182,84.86908669071451,17.619999999999997,19.39090909090909,15.767730190181041,6.0,6.636363636363637,5.412098426730344,18.8,18.09090909090909,17.602381073345867,57.8,60.36363636363637,57.69777642297076,6.840000000000001,8.127272727272727,7.619981710105169,4.6,5.7272727272727275,5.253687615370287,0.33699999999999997,0.33490909090909093,0.34002010194922866,18.0,18.545454545454547,18.87996409761385,0.2698,0.28054545454545454,0.2826027197751021,4.8,5.090909090909091,5.269538857558977,46.0,48.1,45.217600636759315,29.8,31.272727272727273,30.045470710765642,0.47719999999999996,0.47654545454545455,0.46619128181679637,15.6,16.818181818181817,14.93428847228573,11.2,12.818181818181818,10.879337499364937,35.2,36.63636363636363,36.12503175328965,0.46799999999999997,0.45936363636363636,0.4430060458263477,16.2,16.727272727272727,15.883655946756086,0.342,0.313,0.3200230147843317,3.0,2.090909090909091,2.8471777676167256
2019-12-22,"Albert Gersten Pavilion, Los Angeles, California",Cal State Fullerton,Loyola Marymount,Home,86.7,13,18.2,8,82.8,71.0,22,0.398,44,0.341,15,0.432,19,0.579,11,10,200,71.9,29.6,8,17,46,7.8,5,0.455,20,0.25,5,51.7,30,0.434,24.5,17,24,0.417,10,0.231,3,43.7,44.31666666666666,47.95707237492027,9.6,9.916666666666666,11.051900399103571,6.980000000000001,7.258333333333333,6.791251898141094,2.6,2.75,2.6473098613016317,102.74000000000001,96.36666666666667,104.40113239287146,78.36,79.48333333333333,78.80445618610534,24.2,24.666666666666668,24.7555815226902,0.4588,0.4529166666666667,0.47608904469169677,53.6,54.916666666666664,54.003330567269,0.41400000000000003,0.40725000000000006,0.43136937684521903,22.0,22.25,23.102129869543376,0.2766,0.31466666666666665,0.2746083591593423,14.6,17.083333333333332,14.575951046306177,0.7014,0.6838333333333333,0.7087294055219677,10.4,11.583333333333334,10.414565304521105,7.0,4.333333333333333,7.125003528143294,199.8,199.91666666666666,199.7777777777778,87.16,86.98333333333333,87.64605779380967,13.74,17.775000000000002,10.511820126787361,4.8,6.083333333333333,3.6080656178202295,17.2,17.75,16.40158738223058,59.2,61.083333333333336,61.46518428198051,6.959999999999999,8.125,7.779987806736779,4.8,5.75,5.5024584102468586,0.307,0.32783333333333337,0.3100134012994858,16.6,18.083333333333332,16.9199760650759,0.2914,0.2828333333333333,0.29106847985006806,4.8,5.0,4.846359238372652,45.12,47.75,44.778400424506216,29.0,30.75,28.36364714051043,0.49139999999999995,0.48583333333333334,0.5067941878778642,16.339999999999996,17.125,16.789525648190487,11.8,13.0,12.252891666243292,37.0,36.833333333333336,37.0833545021931,0.466,0.47025,0.49200403055089853,17.2,17.25,18.255770631170726,0.3062,0.30775,0.2966820098562212,3.0,2.1666666666666665,2.898118511744484
2019-12-28,"Pauley Pavilion, Los Angeles, California",Cal State Fullerton,UCLA,Away,55.2,16,2.4,1,107.2,61.8,21,0.632,57,0.509,29,0.14,8,0.625,5,10,200,111.6,10.7,3,16,77,7.2,5,0.421,24,0.583,14,38.7,24,0.633,15.4,11,33,0.455,15,0.286,4,53.67999999999999,47.57692307692308,60.87138158328018,10.8,10.153846153846153,11.701266932735715,9.14,8.1,10.594167932094063,3.8,3.1538461538461537,4.431539907534422,99.02,95.32307692307693,97.20075492858098,75.78,78.83076923076922,76.2029707907369,23.4,24.46153846153846,23.837054348460136,0.462,0.4486923076923077,0.4500593631277979,51.4,54.07692307692308,50.668887044846,0.41319999999999996,0.40215384615384614,0.401246251230146,21.2,21.692307692307693,20.401419913028917,0.3048,0.3236923076923077,0.32707223943956154,15.2,17.23076923076923,16.050634030870786,0.6546000000000001,0.6757692307692308,0.6654862703479785,10.0,11.538461538461538,10.609710203014071,8.0,4.769230769230769,8.083335685428864,199.8,199.92307692307693,199.85185185185188,85.6,85.82307692307693,82.39737186253979,14.919999999999998,18.684615384615384,16.874546751191573,4.6,6.230769230769231,5.072043745213486,17.2,17.692307692307693,16.601058254820387,57.4,59.92307692307692,56.310122854653684,7.359999999999999,8.1,7.786658537824519,5.0,5.6923076923076925,5.334972273497906,0.3398,0.33761538461538465,0.3583422675329906,17.4,18.23076923076923,17.9466507100506,0.2914,0.2803076923076923,0.27737898656671206,5.0,5.0,4.8975728255817685,45.32000000000001,48.05384615384616,47.08560028300415,28.0,30.692307692307693,28.909098093673624,0.4904,0.48184615384615387,0.4825294585852429,17.56,17.692307692307693,19.359683765460325,12.4,13.307692307692308,13.835261110828862,34.0,35.84615384615385,32.722236334795404,0.47240000000000004,0.46615384615384614,0.46700268703393233,16.2,16.692307692307693,15.503847087447152,0.27740000000000004,0.3018461538461538,0.27478800657081415,3.0,2.230769230769231,2.932079007829656
2020-01-03,"Titan Gym, Fullerton, California","St. Katherine
			",Cal State Fullerton,Home,57.9,22,7.9,3,70.3,79.1,34,0.718,62,0.613,38,0.274,17,0.824,14,10,200,139.2,26.1,6,20,103,5.4,4,0.387,24,0.542,13,60.6,40,0.735,12.6,10,38,0.658,25,0.333,5,60.38000000000001,48.121428571428574,58.98092105552013,13.0,10.571428571428571,13.134177955157144,8.6,7.692857142857143,7.862778621396043,3.6,3.0,3.287693271689615,99.44000000000001,96.17142857142858,100.533836619054,73.85999999999999,77.61428571428571,71.40198052715793,23.6,24.214285714285715,22.89136956564009,0.4822,0.4617857142857143,0.5107062420851987,53.2,54.285714285714285,52.77925802989734,0.4192,0.4097857142857143,0.437164167486764,22.4,22.214285714285715,23.267613275352613,0.2702,0.31057142857142855,0.26471482629304105,13.8,16.571428571428573,13.367089353913858,0.673,0.6721428571428572,0.6519908468986524,9.4,11.071428571428571,8.739806802009381,8.8,5.142857142857143,8.72222379028591,199.8,199.92857142857142,199.90123456790127,87.92,87.66428571428571,92.1315812416932,13.719999999999999,18.114285714285714,14.816364500794384,4.2,6.0,4.3813624968089915,16.4,17.571428571428573,16.400705503213594,61.0,61.142857142857146,63.206748569769125,7.779999999999999,8.035714285714286,7.591105691883014,5.4,5.642857142857143,5.223314848998604,0.36140000000000005,0.3435714285714285,0.3792281783553271,19.2,18.642857142857142,19.964433806700402,0.3414,0.30192857142857144,0.37925265771114136,6.8,5.642857142857143,7.931715217054512,44.44,47.385714285714286,44.29040018866944,27.8,30.214285714285715,27.272732062449084,0.51,0.49264285714285716,0.5326863057234953,17.8,17.52857142857143,18.03978917697355,12.8,13.142857142857142,12.890174073885909,34.0,35.642857142857146,32.814824223196936,0.45439999999999997,0.46535714285714286,0.46300179135595493,15.6,16.571428571428573,15.335898058298103,0.26800000000000007,0.3007142857142857,0.2785253377138761,3.2,2.357142857142857,3.2880526718864376
