date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Kress Events Center, Green Bay, Wisconsin",Cal State Northridge,Colgate,Home,28.0,7,4.8,1,97.0,65.0,26,0.456,57,0.439,25,0.123,7,0.571,4,6,200,84.8,17.2,5,14,56,4.5,3,0.263,15,0.133,2,44.9,31,0.464,15.5,11,42,0.548,23,0.0,0,56.279999999999994,56.279999999999994,54.37037037037038,14.0,14.0,13.024691358024693,4.58,4.58,4.546913580246914,1.8,1.8,1.7407407407407411,127.16,127.16,128.07654320987655,62.2,62.2,61.564197530864206,17.6,17.6,17.555555555555557,0.47219999999999995,0.47219999999999995,0.453320987654321,62.0,62.0,61.59259259259261,0.39940000000000003,0.39940000000000003,0.3855802469135803,24.6,24.6,23.604938271604944,0.304,0.304,0.3103456790123457,18.0,18.0,18.20987654320988,0.6602,0.6602,0.7037283950617285,12.0,12.0,12.901234567901238,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,92.46000000000001,92.46000000000001,91.2283950617284,23.44,23.44,23.141975308641978,8.6,8.6,8.567901234567902,19.4,19.4,17.58024691358025,70.2,70.2,68.51851851851853,6.26,6.26,6.469135802469136,4.8,4.8,4.913580246913581,0.3872,0.3872,0.37902469135802475,24.0,24.0,23.407407407407412,0.371,0.371,0.3523950617283952,9.0,9.0,8.407407407407408,40.160000000000004,40.160000000000004,39.70864197530865,26.2,26.2,26.123456790123463,0.49939999999999996,0.49939999999999996,0.48949382716049383,17.54,17.54,17.413580246913583,14.8,14.8,14.592592592592595,38.0,38.0,38.18518518518519,0.4142,0.4142,0.402530864197531,15.6,15.6,15.197530864197534,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-25,"Kress Events Center, Green Bay, Wisconsin",Cal State Northridge,Green Bay,Home,56.3,18,10.8,4,111.8,79.3,23,0.636,59,0.542,32,0.169,10,0.9,9,7,200,110.5,25.0,6,19,84,10.5,8,0.373,22,0.5,11,54.7,29,0.659,22.1,18,37,0.568,21,0.0,0,50.58,51.56666666666666,45.580246913580254,12.8,12.833333333333334,11.016460905349795,4.6,4.616666666666667,4.631275720164609,1.6,1.6666666666666667,1.4938271604938276,123.03999999999999,122.13333333333333,117.71769547325104,64.24,62.666666666666664,62.70946502057614,19.4,19.0,20.370370370370374,0.4734,0.4695,0.45421399176954735,61.4,61.166666666666664,60.06172839506174,0.41059999999999997,0.40599999999999997,0.4033868312757202,25.0,24.666666666666668,24.06995884773663,0.2686,0.2738333333333333,0.24789711934156383,15.8,16.166666666666668,14.473251028806587,0.63,0.6453333333333333,0.659485596707819,10.2,10.666666666666666,9.934156378600827,4.0,3.5,4.263374485596708,200.0,200.0,200.0,91.32000000000001,91.18333333333334,89.08559670781895,21.48,22.400000000000002,21.16131687242799,7.6,8.0,7.378600823045268,17.4,18.5,16.38683127572017,68.0,67.83333333333333,64.3456790123457,5.8,5.966666666666666,5.812757201646091,4.4,4.5,4.275720164609054,0.3532,0.3665,0.3403497942386832,21.8,22.5,20.604938271604944,0.33599999999999997,0.3313333333333333,0.2792633744855968,7.8,7.833333333333333,6.271604938271606,41.2,40.949999999999996,41.43909465020577,27.0,27.0,27.748971193415642,0.4944,0.4935,0.4809958847736626,17.02,17.2,16.775720164609055,14.0,14.166666666666666,13.395061728395063,39.6,38.666666666666664,39.4567901234568,0.4356,0.43650000000000005,0.45102057613168733,17.2,16.833333333333332,17.79835390946502,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-30,"The Matadome, Northridge, California",Fresno State,Cal State Northridge,Home,65.2,15,9.5,2,116.1,75.9,22,0.518,56,0.411,23,0.304,17,0.882,15,7,200,117.7,18.8,6,14,73,3.2,2,0.5,28,0.429,12,45.9,28,0.57,7.3,5,28,0.393,11,0.125,1,49.7,52.24285714285714,49.153497942386835,13.0,13.571428571428571,13.344307270233198,5.860000000000001,5.5,6.687517146776407,2.0,2.0,2.329218106995885,119.88,120.65714285714286,115.7451303155007,66.76,65.04285714285714,68.23964334705076,21.2,19.571428571428573,21.24691358024692,0.499,0.49328571428571427,0.5148093278463649,60.6,60.857142857142854,59.707818930041164,0.4302,0.42542857142857143,0.4495912208504802,25.8,25.714285714285715,26.713305898491086,0.2612,0.25885714285714284,0.22159807956104255,15.2,15.285714285714286,12.982167352537726,0.7175999999999999,0.6817142857142857,0.7396570644718794,10.8,10.428571428571429,9.622770919067218,5.0,4.0,5.175582990397805,200.0,200.0,200.0,95.0,93.94285714285715,96.22373113854597,21.339999999999996,22.771428571428572,22.440877914951994,7.0,7.714285714285714,6.919067215363513,16.2,18.571428571428573,17.25788751714678,70.8,70.14285714285714,70.89711934156381,7.12,6.614285714285714,7.375171467764061,5.4,5.0,5.517146776406037,0.3548,0.36742857142857144,0.3512331961591222,21.6,22.428571428571427,21.06995884773663,0.3664,0.3554285714285714,0.35284224965706457,8.4,8.285714285714286,7.847736625514404,43.92,42.91428571428571,45.859396433470515,28.2,27.285714285714285,28.16598079561043,0.525,0.5171428571428571,0.5403305898491084,17.86,17.9,18.55048010973937,14.6,14.714285714285714,14.930041152263376,39.0,38.42857142857143,38.637860082304535,0.4492,0.45528571428571435,0.4900137174211249,17.4,17.428571428571427,18.865569272976682,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-04,"Chiles Center, Portland, Oregon",Cal State Northridge,Portland,Away,66.7,16,15.2,5,83.1,81.1,30,0.444,62,0.387,24,0.403,25,0.64,16,7,200,92.2,26.8,11,24,71,10.4,8,0.403,25,0.28,7,52.6,41,0.481,13.1,11,37,0.459,17,0.222,2,51.2,53.8625,54.50233196159123,13.0,13.75,13.896204846822133,7.18,6.0,7.625011431184271,2.2,2.0,2.2194787379972567,118.67999999999999,120.08749999999999,115.8634202103338,69.0,66.4,70.79309556470051,21.2,19.875,21.49794238683128,0.4866,0.496375,0.51587288523091,60.6,60.25,58.47187928669411,0.4196000000000001,0.42362500000000003,0.43672748056698685,25.2,25.375,25.475537265660726,0.22199999999999998,0.2645,0.2490653863740284,13.0,15.5,14.321444901691818,0.7726,0.70675,0.7871047096479196,10.4,11.0,11.41518061271148,5.8,4.375,5.783721993598537,200.0,200.0,200.0,97.24,96.9125,103.38248742569732,20.580000000000002,22.275,21.22725194330133,6.8,7.5,6.612711476909009,14.6,18.0,16.17192501143119,69.0,70.5,71.59807956104254,6.460000000000001,6.1875,5.983447645176041,4.8,4.625,4.344764517604025,0.36900000000000005,0.384,0.40082213077274814,22.4,23.125,23.379972565157754,0.3438,0.364625,0.378228166438043,8.2,8.75,9.231824417009603,44.18,43.2875,45.872930955647014,28.0,27.375,28.11065386374029,0.5206000000000001,0.5237499999999999,0.550220393232739,15.52,16.575,14.800320073159583,12.4,13.5,11.620027434842251,38.2,37.125,35.09190672153636,0.4466,0.4475,0.45767581161408327,17.0,16.625,16.24371284865112,0.025,0.015625,0.041666666666666664,0.2,0.125,0.3333333333333333
2019-12-06,"Peter W. Stott Center, Portland, Oregon",Cal State Northridge,Portland State,Home,57.7,15,5.1,2,105.8,53.8,21,0.483,60,0.433,26,0.2,12,0.75,9,8,200,97.1,27.3,9,12,67,10.1,7,0.3,18,0.333,6,41.7,30,0.51,15.5,12,42,0.476,20,0.2,2,52.239999999999995,55.28888888888889,58.56822130772749,13.0,14.0,14.597469897881425,8.68,7.022222222222222,10.150007620789514,2.6,2.3333333333333335,3.146319158664838,107.67999999999999,115.97777777777777,104.94228014022255,72.56,68.03333333333333,74.22873037646701,23.4,21.0,24.331961591220853,0.49260000000000004,0.4905555555555556,0.49191525682060666,57.8,60.44444444444444,59.64791952446274,0.42860000000000004,0.41955555555555557,0.4201516537113246,24.8,25.22222222222222,24.983691510440487,0.2762,0.2798888888888889,0.30037692424935225,16.0,16.555555555555557,17.880963267794545,0.7606,0.6993333333333333,0.7380698064319464,12.2,11.555555555555555,12.943453741807653,6.4,4.666666666666667,6.189147995732358,200.0,200.0,200.0,99.02000000000001,96.38888888888889,99.65499161713156,22.259999999999998,22.77777777777778,23.084834628867554,7.2,7.888888888888889,8.075140984606007,16.6,18.666666666666668,18.781283340954126,69.2,70.55555555555556,71.39871970736169,6.880000000000001,6.655555555555556,7.455631763450695,5.0,5.0,5.56317634506935,0.37320000000000003,0.3861111111111111,0.4015480871818321,21.6,23.333333333333332,23.91998171010517,0.324,0.3552222222222222,0.3454854442920287,7.4,8.555555555555555,8.48788294467307,47.62,44.32222222222222,48.115287303764674,30.6,28.88888888888889,32.40710257582686,0.5302,0.519,0.527146928821826,15.180000000000001,16.188888888888886,14.233546715439722,11.8,13.222222222222221,11.413351623228168,36.2,37.111111111111114,35.727937814357574,0.4746,0.44877777777777783,0.45811720774272224,17.4,16.666666666666668,16.495808565767415,0.06939999999999999,0.03855555555555555,0.10177777777777777,0.6,0.3333333333333333,0.8888888888888888
2019-12-11,"The Matadome, Northridge, California",North Dakota State,Cal State Northridge,Away,37.5,9,7.4,2,110.9,71.0,22,0.457,58,0.414,24,0.207,12,0.75,9,9,200,96.9,23.5,8,16,62,4.7,3,0.345,20,0.25,5,46.2,30,0.487,12.5,9,38,0.5,19,0.182,2,54.779999999999994,55.529999999999994,58.27881420515167,14.2,14.1,14.731646598587618,9.08,6.83,8.46667174719301,2.8,2.3,2.7642127724432255,102.75999999999999,114.96,105.22818676014838,71.02000000000001,66.61,67.41915358431135,24.4,21.0,23.22130772748057,0.5074,0.48979999999999996,0.48894350454707114,58.8,60.4,59.76527968297517,0.44239999999999996,0.42089999999999994,0.42443443580754975,26.0,25.3,25.322461006960324,0.2398,0.2719,0.2669179494995682,14.2,16.1,15.920642178529699,0.7486,0.7043999999999999,0.7420465376212977,10.6,11.3,11.628969161205104,7.0,5.0,6.792765330488239,200.0,200.0,200.0,100.46,96.46000000000001,98.80332774475437,23.02,23.23,24.48988975257837,7.4,8.0,8.383427323070672,16.6,18.0,16.520855560636086,70.2,70.2,69.9324798049078,7.74,7.0,8.337087842300463,5.6,5.2,6.042117563379567,0.3678,0.3775,0.36769872478788806,21.6,22.8,21.94665447340345,0.335,0.35300000000000004,0.34132362952801915,7.6,8.3,7.658588629782047,47.96,44.06,45.97685820250979,31.8,29.0,31.604735050551245,0.5368,0.5181,0.5214312858812173,14.7,16.119999999999997,14.655697810293148,11.4,13.1,11.608901082152112,37.2,37.6,37.81862520957172,0.4888,0.45150000000000007,0.46407813849514823,18.4,17.0,17.66387237717828,0.10940000000000001,0.054700000000000006,0.13451851851851854,1.0,0.5,1.2592592592592593
2019-12-15,"A.G. Spanos Center, Stockton, California",Cal State Northridge,Pacific,Home,44.0,11,8.6,3,116.2,58.1,18,0.594,48,0.521,25,0.479,23,0.696,16,10,200,107.4,13.6,3,17,73,14.7,10,0.333,16,0.438,7,39.6,21,0.619,18.3,13,32,0.563,18,0.167,2,56.67999999999999,53.89090909090908,51.35254280343445,14.6,13.636363636363637,12.821097732391747,9.6,6.881818181818182,8.111114498128675,3.0,2.272727272727273,2.509475181628817,105.54,114.5909090909091,107.11879117343226,72.22,67.00909090909092,68.61276905620757,23.6,21.09090909090909,22.814205151653717,0.5075999999999999,0.48681818181818176,0.47829566969804743,59.0,60.18181818181818,59.176853121983456,0.43739999999999996,0.4202727272727273,0.4209562905383665,25.8,25.181818181818183,24.881640671306887,0.2566,0.266,0.2469452996663788,15.2,15.727272727272727,14.613761452353133,0.7844,0.7085454545454545,0.7446976917475319,11.6,11.090909090909092,10.75264610747007,7.6,5.363636363636363,7.528510220325493,200.0,200.0,200.0,102.88000000000002,96.5,98.16888516316959,24.28,23.254545454545454,24.159926501718914,8.0,8.0,8.255618215380448,17.0,17.818181818181817,16.34723704042406,71.4,69.45454545454545,67.28831986993853,7.779999999999999,6.790909090909091,7.124725228200309,5.6,5.0,5.028078375586379,0.3842,0.37454545454545457,0.36013248319192537,22.6,22.545454545454547,21.297769648935635,0.3584,0.3436363636363637,0.31088241968534613,8.2,8.0,6.7723924198546985,48.220000000000006,44.25454545454546,46.05123880167319,31.6,29.09090909090909,31.069823367034164,0.5414,0.5152727272727273,0.5099541905874783,14.1,15.79090909090909,13.937131873528767,11.0,12.727272727272727,10.739267388101409,36.4,37.63636363636363,37.879083473047814,0.47919999999999996,0.455909090909091,0.4760520923300988,17.6,17.181818181818183,18.109248251452186,0.14579999999999999,0.06627272727272727,0.1503456790123457,1.4,0.6363636363636364,1.5061728395061729
2019-12-22,"The Matadome, Northridge, California","San Francisco State
			",Cal State Northridge,Home,53.6,15,17.6,6,66.7,80.6,29,0.492,65,0.431,28,0.446,29,0.724,21,10,200,113.3,40.0,16,15,85,16.0,12,0.338,22,0.364,8,59.2,45,0.54,12.4,11,43,0.465,20,0.231,3,54.220000000000006,53.06666666666666,48.90169520228964,13.2,13.416666666666666,12.214065154927832,9.16,7.0249999999999995,8.274076332085784,2.8,2.3333333333333335,2.6729834544192115,106.42,114.72500000000001,110.14586078228818,67.97999999999999,66.26666666666667,65.10851270413838,22.6,20.833333333333332,21.20947010110248,0.4992,0.49574999999999997,0.5168637797986984,56.8,59.166666666666664,55.45123541465564,0.4332000000000001,0.4286666666666667,0.4543041936922444,24.4,25.166666666666668,24.92109378087126,0.3186,0.28375,0.32429686644425254,17.8,16.333333333333332,17.409174301568754,0.7436,0.7075,0.7284651278316879,13.0,11.5,12.501764071646715,8.2,5.75,8.352340146883662,200.0,200.0,200.0,102.26000000000002,97.40833333333335,101.24592344211307,22.000000000000004,22.45,20.639951001145945,7.4,7.583333333333333,6.503745476920299,16.6,17.75,16.56482469361604,69.2,69.75,69.1922132466257,8.620000000000001,7.45,9.649816818800206,6.0,5.416666666666667,6.685385583724253,0.3762,0.3710833333333334,0.35108832212795027,21.4,22.0,19.53184643262376,0.346,0.3515,0.3532549464568974,7.4,7.916666666666667,6.848261613236466,45.2,43.86666666666667,43.90082586778213,30.0,28.416666666666668,27.71321557802278,0.5334,0.5239166666666667,0.5463027937249856,13.34,16.0,15.391421249019178,10.0,12.75,11.49284492540094,35.4,37.166666666666664,35.919388982031876,0.4782,0.4648333333333334,0.5050347282200659,17.0,17.25,18.072832167634793,0.1792,0.07466666666666667,0.1558971193415638,1.8,0.75,1.6707818930041154
2019-12-28,"ExtraMile Arena, Boise, Idaho",Cal State Northridge,Boise State,Home,34.6,9,12.5,5,125.6,71.4,20,0.469,64,0.406,26,0.281,18,0.667,12,11,200,87.8,13.5,5,23,72,12.2,10,0.453,29,0.276,8,38.5,25,0.496,16.3,14,35,0.514,18,0.214,3,51.9,53.107692307692304,50.46779680152643,13.2,13.538461538461538,13.142710103285223,10.78,7.838461538461539,11.382717554723857,3.6,2.6153846153846154,3.781988969612808,96.53999999999999,111.03076923076924,95.66390718819213,68.92,67.36923076923077,70.27234180275892,24.0,21.46153846153846,23.806313400734986,0.49399999999999994,0.49546153846153845,0.5085758531991322,58.6,59.61538461538461,58.63415694310376,0.4372,0.4288461538461539,0.446536129128163,25.4,25.384615384615383,25.947395853914173,0.34700000000000003,0.29623076923076924,0.36486457762950175,20.2,17.307692307692307,21.272782867712504,0.712,0.7087692307692308,0.726976751887792,14.2,12.23076923076923,15.334509381097812,8.8,6.076923076923077,8.901560097922442,200.0,200.0,200.0,101.38,98.63076923076923,105.26394896140872,26.24,23.799999999999997,27.093300667430633,9.4,8.23076923076923,9.6691636512802,16.8,17.53846153846154,16.043216462410694,71.6,70.92307692307692,74.46147549775047,11.18,8.107692307692307,11.766544545866804,8.0,5.923076923076923,8.456923722482836,0.3438,0.3685384615384616,0.3467255480853002,20.2,22.0,20.35456428841584,0.333,0.35246153846153844,0.35683663097126495,6.6,7.923076923076923,7.232174408824312,47.86,45.04615384615385,49.00055057852143,33.4,29.692307692307693,33.475477052015194,0.5274,0.5251538461538462,0.5442018624833238,14.36,15.723076923076924,14.394280832679453,11.2,12.615384615384615,11.328563283600626,38.4,37.61538461538461,38.27959265468792,0.49260000000000004,0.46484615384615385,0.49168981881337726,18.8,17.46153846153846,18.715221445089863,0.2004,0.0866923076923077,0.18093141289437586,2.2,0.9230769230769231,2.1138545953360772
2019-12-31,"The Matadome, Northridge, California",Morgan State,Cal State Northridge,Home,62.5,20,4.5,2,110.8,63.6,21,0.593,59,0.542,32,0.576,34,0.676,23,11,200,125.7,37.5,12,14,93,8.1,6,0.339,20,0.3,6,50.8,33,0.619,12.9,11,39,0.667,26,0.267,4,45.480000000000004,51.785714285714285,45.17853120101763,11.8,13.214285714285714,11.761806735523484,10.24,8.171428571428573,11.755145036482572,3.6,2.7857142857142856,4.187992646408539,105.04,112.07142857142857,105.64260479212808,66.97999999999999,67.65714285714286,70.64822786850596,22.0,21.357142857142858,22.53754226715666,0.499,0.4935714285714286,0.49538390213275485,59.0,59.92857142857143,60.42277129540251,0.441,0.4272142857142857,0.4330240860854421,25.8,25.428571428571427,25.96493056927612,0.3226,0.2951428571428571,0.3369097184196679,18.8,17.357142857142858,20.18185524514167,0.7173999999999999,0.7057857142857143,0.7069845012585281,13.4,12.214285714285714,14.22300625406521,9.6,6.428571428571429,9.601040065281628,200.0,200.0,200.0,100.5,97.85714285714286,99.44263264093915,23.580000000000002,23.064285714285713,22.562200444953756,8.2,8.0,8.112775767520134,16.6,17.928571428571427,18.3621443082738,71.8,71.0,73.64098366516698,11.540000000000001,8.4,11.911029697244537,8.4,6.214285714285714,8.971282481655225,0.3538,0.37457142857142856,0.3821503653902002,21.0,22.5,23.236376192277227,0.3322,0.347,0.32989108731417666,6.8,7.928571428571429,7.488116272549542,45.040000000000006,44.57857142857143,45.50036705234763,30.2,29.357142857142858,30.650318034676797,0.5304,0.5230714285714286,0.5281345749888826,15.0,15.764285714285714,15.029520555119637,11.8,12.714285714285714,12.219042189067086,38.0,37.42857142857143,37.18639510312528,0.5035999999999999,0.46835714285714286,0.49912654587558486,19.0,17.5,18.476814296726577,0.1988,0.09578571428571428,0.19195427526291725,2.4,1.0714285714285714,2.4092363968907184
