date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"Thompson-Boling Arena, Knoxville, Tennessee",Chattanooga,Tennessee,Home,31.6,6,0.0,0,95.1,70.6,24,0.393,56,0.339,19,0.071,4,0.5,2,3,200,75.4,14.3,5,20,46,6.6,4,0.339,19,0.316,6,42.0,29,0.397,13.5,9,37,0.351,13,0.5,3,54.67999999999999,54.67999999999999,50.50123456790125,13.6,13.6,12.8641975308642,4.720000000000001,4.720000000000001,6.04074074074074,1.8,1.8,2.308641975308642,99.36,99.36,105.23456790123458,72.97999999999999,72.97999999999999,71.02839506172842,22.8,22.8,22.074074074074076,0.47540000000000004,0.47540000000000004,0.47883950617283966,61.2,61.2,61.246913580246925,0.40659999999999996,0.40659999999999996,0.4127160493827161,24.8,24.8,25.19753086419753,0.2792,0.2792,0.24506172839506177,17.0,17.0,15.012345679012347,0.5995999999999999,0.5995999999999999,0.5636666666666668,10.8,10.8,9.382716049382719,1.2,1.2,1.3333333333333335,200.0,200.0,200.0,93.84,93.84,92.84197530864198,27.2,27.2,27.180246913580252,10.2,10.2,9.97530864197531,17.4,17.4,17.567901234567906,68.8,68.8,67.8888888888889,8.059999999999999,8.059999999999999,7.286419753086421,6.0,6.0,5.4320987654321,0.40859999999999996,0.40859999999999996,0.4068518518518519,24.8,24.8,24.740740740740744,0.3416,0.3416,0.3307654320987655,8.4,8.4,8.111111111111112,47.760000000000005,47.760000000000005,47.082716049382725,33.0,33.0,32.04938271604939,0.49539999999999995,0.49539999999999995,0.4941728395061729,17.44,17.44,18.056790123456793,14.6,14.6,15.012345679012348,36.4,36.4,36.50617283950618,0.46440000000000003,0.46440000000000003,0.47861728395061737,16.4,16.4,17.086419753086425,0.5034,0.5034,0.5148641975308642,1.8,1.8,2.0617283950617287
2019-11-29,"The Arena, Niceville, Florida",Alabama State,Chattanooga,Home,41.4,12,3.0,1,76.7,82.9,29,0.525,61,0.475,29,0.262,16,0.625,10,3,200,101.4,28.1,9,16,74,5.5,4,0.361,22,0.273,6,56.7,38,0.539,18.1,15,39,0.59,23,0.571,4,51.0,50.833333333333336,44.200823045267505,12.6,12.333333333333334,10.576131687242802,4.720000000000001,3.9333333333333336,4.027160493827161,1.8,1.5,1.5390946502057614,99.12,98.64999999999999,101.85637860082306,72.7,72.58333333333333,70.88559670781895,24.0,23.0,22.71604938271605,0.476,0.46166666666666667,0.45022633744855983,58.8,60.333333333333336,59.497942386831284,0.4096,0.3953333333333333,0.38814403292181077,24.2,23.833333333333332,23.131687242798357,0.2434,0.24450000000000002,0.18704115226337453,14.4,14.833333333333334,11.341563786008233,0.5231999999999999,0.5830000000000001,0.5424444444444445,8.2,9.333333333333334,6.92181069958848,1.6,1.5,1.888888888888889,200.0,200.0,200.0,92.33999999999999,90.76666666666667,87.02798353909466,24.6,25.05,22.88683127572017,8.8,9.333333333333334,8.31687242798354,17.0,17.833333333333332,18.37860082304527,64.4,65.0,60.59259259259261,7.42,7.816666666666666,7.057613168724281,5.2,5.666666666666667,4.954732510288067,0.40280000000000005,0.39699999999999996,0.3842345679012346,23.6,23.833333333333332,22.827160493827165,0.3328,0.3373333333333333,0.32584362139917705,7.8,8.0,7.407407407407409,47.46,46.800000000000004,45.38847736625515,32.8,32.333333333333336,31.03292181069959,0.4854,0.47900000000000004,0.4617818930041153,15.960000000000003,16.783333333333335,16.53786008230453,12.4,13.666666666666666,13.0082304526749,35.2,36.5,36.67078189300412,0.4741999999999999,0.4455,0.4360781893004116,16.4,15.833333333333334,15.724279835390952,0.6033999999999999,0.5028333333333334,0.5099094650205762,2.4,2.0,2.374485596707819
2019-11-30,"The Arena, Niceville, Florida",Jacksonville State,Chattanooga,Home,63.6,14,7.3,3,93.8,66.7,18,0.551,49,0.449,22,0.224,11,0.818,9,3,200,98.4,17.2,5,11,63,3.1,2,0.51,25,0.4,10,41.1,23,0.581,19.4,13,24,0.5,12,0.625,5,46.89999999999999,49.48571428571428,43.267215363511674,12.4,12.285714285714286,11.050754458161869,4.359999999999999,3.8000000000000003,3.6847736625514407,1.6,1.4285714285714286,1.3593964334705078,98.4,95.51428571428572,93.47091906721538,71.85999999999999,74.05714285714285,74.89039780521264,24.4,23.857142857142858,24.81069958847737,0.501,0.4707142857142857,0.47515089163237323,59.0,60.42857142857143,59.99862825788753,0.4346,0.4067142857142857,0.4170960219478739,25.8,24.571428571428573,25.087791495198907,0.2324,0.24700000000000003,0.2120274348422497,13.8,15.0,12.894375857338822,0.5324,0.5890000000000001,0.569962962962963,8.0,9.428571428571429,7.947873799725654,2.0,1.7142857142857142,2.2592592592592595,200.0,200.0,200.0,96.0,92.28571428571429,91.81865569272978,24.98,25.485714285714288,24.624554183813448,8.4,9.285714285714286,8.544581618655695,17.8,17.571428571428573,17.585733882030183,67.4,66.28571428571429,65.06172839506175,6.82,7.485714285714286,6.5384087791495205,4.8,5.428571428571429,4.636488340192045,0.41159999999999997,0.39185714285714285,0.3764897119341565,24.2,23.571428571428573,22.55144032921811,0.3242,0.3281428571428572,0.3082290809327847,7.8,7.714285714285714,6.938271604938273,48.38,48.214285714285715,49.15898491083677,32.8,33.142857142857146,33.35528120713306,0.5077999999999999,0.4875714285714286,0.4875212620027436,16.380000000000003,16.97142857142857,17.058573388203023,12.8,13.857142857142858,13.6721536351166,34.8,36.857142857142854,37.447187928669415,0.5189999999999999,0.46614285714285714,0.48738545953360773,18.0,16.857142857142858,18.149519890260635,0.6176,0.5125714285714286,0.5302729766803842,3.0,2.2857142857142856,2.9163237311385464
2019-12-03,"Ramsey Center, Cullowhee, North Carolina",Chattanooga,Western Carolina,Home,37.9,11,5.6,2,120.8,64.3,18,0.532,63,0.46,29,0.254,16,0.625,10,4,200,106.9,18.2,6,23,77,5.6,4,0.46,29,0.31,9,39.3,24,0.545,10.3,8,34,0.588,20,0.556,5,45.46,51.25,50.044810242341114,11.8,12.5,12.033836305441246,5.819999999999999,4.2375,4.889849108367628,2.2,1.625,1.9062642889803385,98.78,95.3,93.58061271147693,71.86,73.1375,72.16026520347509,22.8,23.125,22.540466392318248,0.5076,0.48075,0.5004339277549156,57.4,59.0,56.33241883859169,0.44020000000000004,0.41200000000000003,0.4277306812985826,25.4,24.25,24.058527663465938,0.193,0.244125,0.21601828989483315,11.2,14.5,12.262917238225882,0.571,0.617625,0.652641975308642,6.8,9.375,8.298582533150437,2.4,1.875,2.5061728395061733,200.0,200.0,200.0,95.67999999999999,93.05,94.01243712848652,24.1,24.45,22.149702789208966,7.8,8.75,7.36305441243713,15.6,16.75,15.39048925468679,65.2,65.875,64.37448559670784,4.74,6.9375,5.392272519433014,3.2,5.0,3.7576588934613637,0.3944,0.406625,0.42099314128943766,22.4,23.75,23.36762688614541,0.33940000000000003,0.337125,0.3388193872885232,7.6,8.0,7.958847736625516,47.660000000000004,47.325,46.47265660722452,30.6,31.875,29.903520804755374,0.5157999999999999,0.49924999999999997,0.5186808413351625,17.240000000000002,17.275,17.83904892546868,13.0,13.75,13.448102423411068,35.0,35.25,32.96479195244628,0.506,0.470375,0.4915903063557385,17.8,16.25,16.099679926840423,0.6092000000000001,0.526625,0.5618486511202562,3.6,2.625,3.6108824874256977
2019-12-08,"The McKenzie Arena, Chattanooga, Tennessee","Tennessee Wesleyan
			",Chattanooga,Home,76.3,29,3.2,1,67.1,91.4,32,0.636,66,0.576,38,0.258,17,0.882,15,4,200,130.3,50.0,12,15,99,14.5,11,0.318,21,0.381,8,74.6,44,0.668,15.0,13,45,0.667,30,0.6,6,41.86,49.766666666666666,45.996540161560745,10.2,12.333333333333334,11.689224203627498,5.68,4.388888888888889,5.126566072245085,2.2,1.6666666666666667,1.9375095259868926,102.36,98.13333333333334,102.6537418076513,70.24000000000001,72.15555555555555,69.54017680231672,22.2,22.555555555555557,21.026977594878833,0.48660000000000003,0.48644444444444446,0.5109559518366105,57.6,59.44444444444444,58.554945892394464,0.4226,0.41733333333333333,0.4384871208657218,24.4,24.77777777777778,25.705685108977292,0.1826,0.2452222222222222,0.2286788599298888,10.6,14.666666666666666,13.508611492150589,0.5801999999999999,0.6184444444444445,0.6434279835390947,6.6,9.444444444444445,8.865721688766959,3.0,2.111111111111111,3.004115226337449,200.0,200.0,200.0,91.34,94.58888888888889,98.30829141899102,20.0,23.755555555555556,20.83313519280598,6.6,8.444444444444445,6.908702941624754,17.4,17.444444444444443,17.92699283645786,62.6,67.11111111111111,68.58299039780523,5.279999999999999,6.788888888888889,5.461515012955343,3.6,4.888888888888889,3.838439262307576,0.4154,0.41255555555555556,0.4339954275262918,23.8,24.333333333333332,25.245084590763607,0.3014,0.33411111111111114,0.3292129248590155,7.2,8.11111111111111,8.305898491083678,44.519999999999996,46.43333333333333,44.08177107148302,28.8,31.0,27.935680536503586,0.49800000000000005,0.5043333333333333,0.5274538942234417,16.380000000000003,16.5,15.326032616979122,12.2,13.11111111111111,11.632068282274046,33.8,35.111111111111114,33.30986130163085,0.5086,0.48344444444444445,0.5237268709038257,17.2,16.666666666666668,17.399786617893618,0.5704,0.5298888888888889,0.5598991007468375,4.0,2.888888888888889,4.0739216582837985
2019-12-11,"Cassell Coliseum, Blacksburg, Virginia",Chattanooga,Virginia Tech,Home,54.5,12,5.3,2,105.0,68.6,24,0.5,53,0.415,22,0.189,10,0.5,5,5,200,96.7,28.1,9,14,58,1.7,1,0.509,27,0.333,9,49.3,33,0.502,14.8,10,26,0.5,13,0.545,6,50.160000000000004,52.42,56.0976934410405,14.4,14.0,17.459482802418332,3.8200000000000003,4.2700000000000005,4.484377381496723,1.4,1.6,1.6250063506579284,90.7,95.03,90.8024945384342,75.17999999999999,74.08,76.82678453487782,24.2,23.5,24.684651729919224,0.5274000000000001,0.5014000000000001,0.552637301224407,59.0,60.1,61.03663059492965,0.4598,0.4332,0.4843247472438146,27.4,26.1,29.80379007265153,0.2138,0.2465,0.23845257328659253,12.8,14.9,14.672407661433727,0.6900000000000001,0.6448,0.7229519890260632,9.2,10.0,10.91048112584464,3.4,2.3,3.3360768175582995,200.0,200.0,200.0,102.48000000000002,98.16,108.97219427932735,25.560000000000002,26.380000000000003,30.555423461870653,7.4,8.8,8.60580196108317,17.0,17.2,16.951328557638575,71.8,70.3,78.72199359853683,7.06,7.56,8.47434334197023,5.0,5.5,6.225626174871717,0.3976,0.40309999999999996,0.39533028501752787,23.2,24.0,23.83005639384241,0.336,0.3388,0.3464752832393437,7.8,8.1,8.203932327389118,50.739999999999995,49.25,54.25451404765535,31.6,32.3,33.29045369100239,0.546,0.5206999999999999,0.5743025961489612,15.260000000000002,16.35,15.217355077986083,11.6,13.1,12.088045521516031,35.8,36.1,37.206574201087236,0.5391999999999999,0.5018,0.5714845806025506,19.6,18.0,21.599857745262412,0.5704,0.5368999999999999,0.5732660671645583,4.6,3.2,4.7159477721892
2019-12-15,"The McKenzie Arena, Chattanooga, Tennessee",Troy,Chattanooga,Home,48.1,13,2.6,1,103.9,74.1,20,0.5,64,0.422,27,0.438,28,0.714,20,5,225,109.1,25.0,8,14,84,7.8,6,0.484,31,0.323,10,47.5,28,0.543,10.5,9,33,0.515,17,0.583,7,54.739999999999995,52.60909090909092,55.56512896069367,15.6,13.818181818181818,15.639655201612223,4.88,4.363636363636363,4.756251587664483,1.8,1.6363636363636365,1.7500042337719526,92.67999999999999,95.93636363636364,95.53499635895614,74.78,73.58181818181818,74.08452302325188,24.2,23.545454545454547,24.456434486612817,0.5488,0.5012727272727273,0.5350915341496048,58.4,59.45454545454545,58.3577537299531,0.475,0.4315454545454545,0.46121649816254306,28.0,25.727272727272727,27.202526715101023,0.2374,0.24127272727272728,0.2219683821910617,14.0,14.454545454545455,13.114938440955818,0.6900000000000001,0.6316363636363637,0.6486346593507089,9.8,9.545454545454545,8.940320750563094,3.8,2.5454545454545454,3.8907178783722,200.0,200.0,200.0,106.74000000000001,98.02727272727272,104.88146285288491,28.32,26.536363636363635,29.73694897458044,8.2,8.818181818181818,8.73720130738878,15.8,16.90909090909091,15.967552371759052,74.2,69.18181818181819,71.81466239902456,6.08,7.027272727272727,6.21622889464682,4.4,5.090909090909091,4.483750783247812,0.4316,0.4127272727272727,0.4332201900116853,24.8,24.272727272727273,24.886704262561608,0.33940000000000003,0.3382727272727273,0.34198352215956246,8.4,8.181818181818182,8.469288218259413,52.2,49.25454545454545,52.60300936510357,32.4,32.36363636363637,33.193635794001594,0.567,0.519,0.5502017307659741,15.520000000000001,16.20909090909091,15.07823671865739,11.8,12.818181818181818,11.392030347677355,33.6,35.18181818181818,33.471049467391495,0.569,0.5016363636363637,0.5476563870683671,19.6,17.545454545454547,18.733238496841608,0.5794,0.5376363636363636,0.5638440447763723,5.2,3.4545454545454546,5.143965181459467
2019-12-21,"Kimmel Arena, Asheville, North Carolina",Chattanooga,UNC Asheville,Away,65.2,15,2.8,1,94.1,90.0,27,0.509,55,0.418,23,0.273,15,0.8,12,5,200,100.0,20.7,6,14,68,4.4,3,0.4,22,0.455,10,55.9,33,0.547,18.5,14,33,0.394,13,0.615,8,56.080000000000005,52.23333333333333,53.07675264046245,15.8,13.75,14.75977013440815,4.8,4.216666666666667,4.037501058442989,1.8,1.5833333333333333,1.5000028225146351,98.11999999999999,96.60000000000001,98.32333090597076,73.02000000000001,73.625,74.08968201550125,22.4,23.25,22.970956324408547,0.5438000000000001,0.5011666666666666,0.5233943560997365,59.0,59.833333333333336,60.23850248663541,0.46440000000000003,0.43075,0.4481443321083621,27.6,25.833333333333332,27.13501781006735,0.2726,0.25766666666666665,0.2939789214607078,16.4,15.583333333333334,18.076625627303876,0.7078,0.6385,0.670423106233806,11.8,10.416666666666666,12.626880500375396,4.2,2.75,4.260478585581467,205.0,202.08333333333334,208.33333333333334,108.28,98.95,106.28764190192328,27.7,26.40833333333333,28.15796598305363,8.0,8.75,8.491467538259187,15.4,16.666666666666668,15.311701581172702,76.2,70.41666666666667,75.8764415993497,6.539999999999999,7.091666666666666,6.7441525964312135,4.8,5.166666666666667,4.989167188831875,0.45620000000000005,0.4186666666666667,0.45014679334112356,26.6,24.833333333333332,26.924469508374408,0.3494,0.337,0.33565568143970836,9.2,8.333333333333334,8.979525478839609,50.36,49.10833333333333,50.90200624340238,30.4,32.0,31.46242386266773,0.5678000000000001,0.521,0.5478011538439828,14.0,15.733333333333334,13.552157812438262,10.6,12.5,10.59468689845157,32.4,35.0,33.314032978261,0.554,0.5027499999999999,0.5367709247122447,18.4,17.5,18.15549233122774,0.5818,0.5414166666666667,0.5702293631842482,5.8,3.75,5.762643454306311
2019-12-29,"The McKenzie Arena, Chattanooga, Tennessee","Cumberland
			",Chattanooga,Home,63.0,17,5.1,2,67.7,93.9,31,0.525,59,0.458,27,0.254,15,0.667,10,5,200,116.1,37.1,13,8,72,8.1,5,0.39,23,0.348,8,64.7,44,0.544,13.2,10,36,0.528,19,0.643,9,56.4,53.23076923076923,57.11783509364164,16.0,13.846153846153847,14.8398467562721,3.9,4.107692307692307,3.6250007056286595,1.4,1.5384615384615385,1.3333352150097568,98.17999999999999,96.4076923076923,96.91555393731385,77.67999999999999,74.88461538461539,79.3931213436675,24.2,23.53846153846154,24.31397088293903,0.5354,0.5017692307692309,0.5185962373998244,60.2,59.46153846153846,58.492334991090274,0.4582,0.42976923076923074,0.43809622140557475,27.8,25.615384615384617,25.756678540044902,0.2824,0.25884615384615384,0.2869859476404719,17.2,15.538461538461538,17.05108375153592,0.7041999999999999,0.6509230769230769,0.7136154041558707,12.4,10.538461538461538,12.417920333583599,4.6,2.923076923076923,4.5069857237209785,205.0,201.92307692307693,205.55555555555557,108.6,99.03076923076924,104.19176126794886,28.4,25.96923076923077,25.671977322035755,8.2,8.538461538461538,7.660978358839459,16.0,16.46153846153846,14.874467720781801,77.2,70.23076923076923,73.25096106623315,6.8,6.884615384615385,5.96276839762081,5.0,5.0,4.32611145922125,0.43420000000000003,0.4172307692307692,0.43343119556074905,26.0,24.615384615384617,25.282979672249606,0.3604,0.3460769230769231,0.37543712095980564,9.2,8.461538461538462,9.319683652559739,53.31999999999999,49.63076923076923,52.56800416226826,32.4,32.07692307692308,31.97494924177849,0.5609999999999999,0.523,0.5475341025626552,13.820000000000002,15.946153846153846,15.201438541625508,10.8,12.615384615384615,11.72979126563438,34.2,34.84615384615385,33.209355318840664,0.5327999999999999,0.49438461538461537,0.4891806164748299,18.6,17.153846153846153,16.436994887485163,0.5798,0.5470769230769231,0.5851529087894989,6.4,4.076923076923077,6.508428969537541
2020-01-04,"Hawkins Arena, Macon, Georgia",Chattanooga,Mercer,Away,45.8,11,2.9,1,95.3,91.3,21,0.474,57,0.421,24,0.404,23,0.696,16,5,200,109.4,27.8,10,12,70,7.8,5,0.404,23,0.261,6,52.5,31,0.515,8.2,6,34,0.529,18,0.667,10,61.42,53.92857142857143,59.07855672909443,17.2,14.071428571428571,15.559897837514734,3.8,4.178571428571429,4.1166671370857735,1.4,1.5714285714285714,1.5555568100065047,87.56,94.35714285714286,87.17703595820923,83.6,76.24285714285715,84.22874756244501,26.8,24.071428571428573,26.54264725529269,0.534,0.5034285714285714,0.5207308249332163,59.4,59.42857142857143,58.66155666072685,0.45780000000000004,0.4317857142857143,0.4447308142703832,27.4,25.714285714285715,26.171119026696605,0.2824,0.2585,0.27599063176031463,17.0,15.5,16.367389167690614,0.7126,0.6520714285714285,0.6980769361039139,12.4,10.5,11.611946889055734,4.8,3.0714285714285716,4.671323815813986,205.0,201.78571428571428,203.70370370370372,110.44000000000001,100.25,108.16117417863259,32.18,26.764285714285712,29.481318214690507,9.6,8.857142857142858,9.440652239226306,13.0,15.857142857142858,12.582978480521202,76.2,70.35714285714286,72.83397404415544,7.3,6.971428571428571,6.675178931747206,5.2,5.0,4.550740972814167,0.4202,0.4152857142857143,0.4189541303738327,24.8,24.5,24.52198644816641,0.368,0.34621428571428575,0.3662914139732038,9.0,8.428571428571429,8.879789101706493,58.4,50.707142857142856,56.61200277484551,36.4,32.92857142857143,35.983299494518995,0.5608000000000001,0.5245,0.5463560683751035,14.4,15.75,14.534292361083672,11.2,12.428571428571429,11.153194177089588,34.6,34.92857142857143,34.13957021256044,0.5208,0.4967857142857143,0.50212041098322,18.4,17.285714285714285,17.29132992499011,0.5972,0.5539285714285714,0.6044352725263327,7.2,4.428571428571429,7.338952646358361
