date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-05,"Carolina First Arena, Charleston, South Carolina",Davidson,College of Charleston,Home,59.3,16,20.5,9,80.9,52.9,27,0.492,61,0.443,27,0.18,11,0.636,7,3,200.0,98.5,20.7,6,21,67,7.4,5,0.361,22.0,0.273,6.0,41.3,33,0.506,12.0,9,39.0,0.538,21.0,0.5,3,50.019999999999996,50.019999999999996,50.98765432098766,12.0,12.0,12.271604938271606,8.559999999999999,8.559999999999999,10.25925925925926,4.6,4.6,5.493827160493828,99.08,99.08,98.70246913580249,57.260000000000005,57.260000000000005,55.95555555555556,23.4,23.4,22.740740740740744,0.5151999999999999,0.5151999999999999,0.5207901234567902,56.0,56.0,55.30864197530865,0.4368,0.4368,0.442567901234568,24.2,24.2,24.23456790123457,0.2672,0.2672,0.2584197530864198,14.4,14.4,13.913580246913583,0.71,0.71,0.7208765432098766,10.2,10.2,10.0,2.0,2.0,2.2592592592592595,200.0,200.0,200.0,95.76,95.76,95.30617283950619,28.68,28.68,29.7962962962963,6.4,6.4,5.888888888888889,16.6,16.6,15.95061728395062,67.2,67.2,66.98765432098767,8.52,8.52,9.249382716049384,6.0,6.0,6.518518518518519,0.4206,0.4206,0.3950370370370371,23.8,23.8,22.160493827160497,0.3814,0.3814,0.4086296296296297,8.6,8.6,8.518518518518519,44.1,44.1,43.869135802469145,29.8,29.8,28.629629629629633,0.5391999999999999,0.5391999999999999,0.5451975308641976,19.84,19.84,21.32592592592593,15.2,15.2,16.32098765432099,32.2,32.2,33.14814814814815,0.4856,0.4856,0.4732345679012346,15.6,15.6,15.71604938271605,0.29660000000000003,0.29660000000000003,0.287604938271605,1.0,1.0,1.1358024691358026
2009-12-07,"Fleming Gymnasium, Greensboro, North Carolina",College of Charleston,UNC Greensboro,Away,48.1,13,15.8,9,92.8,41.9,19,0.582,55,0.491,27,0.127,7,0.429,3,3,200.0,97.1,32.0,7,12,67,13.0,9,0.527,29.0,0.345,10.0,38.2,26,0.574,23.7,18,26.0,0.654,17.0,0.571,4,55.220000000000006,51.56666666666666,53.75843621399178,13.6,12.666666666666666,13.514403292181072,11.680000000000001,10.549999999999999,13.67283950617284,5.8,5.333333333333333,6.662551440329219,94.98,96.05,92.76831275720167,58.58,56.53333333333333,54.937037037037044,24.8,24.0,24.160493827160497,0.5203999999999999,0.5113333333333333,0.5111934156378601,56.6,56.833333333333336,57.20576131687244,0.4426,0.4378333333333333,0.4427119341563787,24.8,24.666666666666668,25.15637860082305,0.279,0.25266666666666665,0.23227983539094654,15.2,13.833333333333334,12.942386831275723,0.6944,0.6976666666666667,0.6925843621399178,10.6,9.666666666666666,9.0,2.4,2.1666666666666665,2.5061728395061733,200.0,200.0,200.0,98.36,96.21666666666665,96.37078189300414,28.0,27.349999999999998,26.7641975308642,6.4,6.333333333333333,5.9259259259259265,17.2,17.333333333333332,17.63374485596708,68.8,67.16666666666667,66.99176954732512,8.559999999999999,8.333333333333334,8.632921810699589,6.0,5.833333333333333,6.012345679012347,0.4204,0.4106666666666667,0.38369135802469145,24.0,23.5,22.106995884773667,0.3788,0.36333333333333334,0.36341975308641983,8.6,8.166666666666666,7.679012345679014,44.940000000000005,43.63333333333333,43.012757201646096,31.2,30.333333333333332,30.086419753086425,0.5442,0.5336666666666666,0.5321316872427985,18.3,18.533333333333335,18.217283950617286,14.0,14.166666666666666,13.880658436213995,32.6,33.333333333333336,35.09876543209877,0.496,0.49433333333333335,0.49482304526748977,16.2,16.5,17.477366255144034,0.3966,0.3305,0.35840329218107003,1.6,1.3333333333333333,1.757201646090535
2009-12-16,"Carolina First Arena, Charleston, South Carolina",Charleston Southern,College of Charleston,Home,41.9,13,9.5,4,97.4,66.7,23,0.59,61,0.508,31,0.361,22,0.682,15,3,200.0,114.5,31.3,9,19,87,15.8,12,0.393,24.0,0.417,10.0,49.2,32,0.609,17.5,15,37.0,0.568,21.0,0.625,5,53.540000000000006,51.07142857142857,51.87229080932786,13.6,12.714285714285714,13.342935528120716,13.080000000000002,11.299999999999999,14.381893004115227,6.6,5.857142857142857,7.44170096021948,96.78,95.58571428571429,92.77887517146777,55.11999999999999,54.442857142857136,50.59135802469136,22.8,23.285714285714285,22.440329218107,0.5222,0.5214285714285715,0.5347956104252402,58.0,56.57142857142857,56.470507544581636,0.445,0.4454285714285714,0.4588079561042525,25.6,25.0,25.77091906721537,0.221,0.2347142857142857,0.19718655692729772,12.6,12.857142857142858,10.961591220850483,0.6402,0.6592857142857144,0.6047229080932786,8.4,8.714285714285714,7.000000000000001,2.8,2.2857142857142856,2.670781893004116,200.0,200.0,200.0,97.47999999999999,96.34285714285714,96.6138545953361,26.580000000000002,28.014285714285716,28.509465020576137,6.0,6.428571428571429,6.283950617283951,16.4,16.571428571428573,15.755829903978055,68.4,67.14285714285714,66.99451303155008,9.68,9.0,10.088614540466393,6.8,6.285714285714286,7.008230452674899,0.43,0.4272857142857143,0.4314609053497943,25.2,24.285714285714285,24.404663923182447,0.3696,0.3607142857142857,0.35727983539094654,8.8,8.428571428571429,8.452674897119342,42.019999999999996,42.857142857142854,41.4085048010974,28.8,29.714285714285715,28.724279835390952,0.5389999999999999,0.5394285714285714,0.5460877914951989,18.02,19.271428571428572,20.044855967078192,13.8,14.714285714285714,15.253772290809332,32.8,32.285714285714285,32.06584362139918,0.5147999999999999,0.5171428571428571,0.5478820301783266,16.8,16.571428571428573,17.318244170096023,0.41080000000000005,0.3648571428571429,0.4292688614540467,2.2,1.7142857142857142,2.50480109739369
2009-12-19,"Littlejohn Coliseum, Clemson, South Carolina",College of Charleston,Clemson,Home,45.5,10,5.7,3,127.0,50.0,14,0.4,65,0.338,22,0.046,3,1.0,3,4,200.0,74.3,28.9,11,14,55,8.1,6,0.415,27.0,0.296,8.0,37.9,25,0.414,21.3,18,38.0,0.368,14.0,0.556,5,53.779999999999994,49.925,48.548193872885236,14.0,12.75,13.228623685413812,14.14,11.075,12.754595336076818,7.0,5.625,6.294467306812987,94.56,95.8125,94.31925011431186,54.739999999999995,55.974999999999994,55.960905349794245,22.4,23.25,22.62688614540467,0.5488,0.53,0.5531970736168268,56.4,57.125,57.98033836305443,0.4683999999999999,0.45325,0.47520530406950173,26.4,25.75,27.513946044810247,0.2584,0.2505,0.2517910379515318,14.6,14.0,14.641060813900323,0.6432,0.662125,0.6304819387288524,9.8,9.5,9.666666666666668,3.0,2.375,2.780521262002744,200.0,200.0,200.0,100.38,98.6125,102.5759030635574,28.840000000000003,28.425,29.43964334705076,6.4,6.75,7.189300411522635,17.0,16.875,16.83721993598537,71.6,69.625,73.66300868770006,11.719999999999999,9.85,11.992409693644262,8.4,7.0,8.6721536351166,0.4072,0.423,0.4186406035665296,23.0,24.25,24.2697759487883,0.4016,0.36775,0.37718655692729774,9.0,8.625,8.968449931412895,43.32000000000001,43.65,44.00566986739827,28.8,30.0,29.816186556927306,0.5658,0.548125,0.567058527663466,20.5,19.05,19.196570644718797,16.0,14.75,15.169181527206222,33.4,32.875,33.71056241426612,0.5226,0.5235,0.5545880201188844,17.4,17.125,18.54549611339735,0.4692,0.39737500000000003,0.4945125743026978,3.0,2.125,3.336534064929127
2009-12-22,"Stan Sheriff Center, Honolulu, Hawaii",College of Charleston,Hawaii,Home,25.0,7,12.2,5,110.5,57.1,14,0.42,75,0.373,28,0.16,12,0.667,8,5,200.0,93.4,27.8,8,25,71,7.9,6,0.36,27.0,0.259,7.0,38.6,22,0.44,7.0,6,48.0,0.438,21.0,0.5,5,50.160000000000004,49.43333333333333,47.53212924859016,13.2,12.444444444444445,12.152415790275874,14.38,10.477777777777778,10.403063557384547,7.2,5.333333333333333,5.196311537875325,96.72,99.27777777777777,105.21283340954125,52.85999999999999,55.3111111111111,53.973936899862835,21.4,22.22222222222222,19.75125743026978,0.5287999999999999,0.5155555555555555,0.5021313824112179,58.4,58.0,60.32022557536962,0.45599999999999996,0.4404444444444444,0.4294702027130012,26.4,25.333333333333332,25.675964029873498,0.1948,0.22777777777777775,0.18319402530102122,11.2,12.777777777777779,10.760707209266883,0.7032,0.6996666666666667,0.7536546258192349,7.6,8.777777777777779,7.4444444444444455,3.2,2.5555555555555554,3.187014174668496,200.0,200.0,200.0,96.6,95.91111111111111,93.15060204237162,31.28,28.477777777777778,29.259762231367176,7.6,7.222222222222222,8.459533607681758,15.2,16.555555555555557,15.89147995732358,68.8,68.0,67.44200579180004,11.18,9.655555555555557,10.694939795762842,8.0,6.888888888888889,7.7814357567444015,0.3992,0.4221111111111111,0.41742706904435306,23.4,24.555555555555557,25.179850632525536,0.3728,0.35977777777777775,0.3501243712848652,8.4,8.555555555555555,8.645633287608597,43.160000000000004,43.01111111111111,41.970446578265516,29.0,29.444444444444443,28.210791037951537,0.5416,0.5332222222222222,0.5160390184423107,20.740000000000002,19.299999999999997,19.897713763145866,16.4,15.11111111111111,16.112787684804147,35.0,33.44444444444444,35.14037494284408,0.5227999999999999,0.5062222222222222,0.49239201341258965,18.0,16.77777777777778,17.0303307422649,0.5304,0.41500000000000004,0.5150083828684653,3.8,2.4444444444444446,3.8910227099527512
2009-12-23,"Stan Sheriff Center, Honolulu, Hawaii",College of Charleston,SMU,Away,34.6,9,8.3,4,106.0,52.6,20,0.598,51,0.51,26,0.275,14,0.786,11,5,200.0,107.5,0.0,0,15,72,1.5,1,0.373,19.0,0.474,9.0,31.7,20,0.624,12.3,8,32.0,0.531,17.0,0.545,6,43.96,46.989999999999995,40.02141949906011,11.8,11.9,10.434943860183918,12.739999999999998,10.65,11.002042371589699,6.0,5.3,5.130874358583551,101.72,100.4,106.9752222730275,53.720000000000006,55.489999999999995,55.01595793324189,19.4,21.4,17.834171620179855,0.4968,0.506,0.4747542549408119,63.4,59.7,65.21348371691309,0.4306,0.4337,0.4106468018086675,27.0,25.6,26.450642686582334,0.1748,0.221,0.17546268353401417,11.0,12.7,11.173804806177923,0.6828000000000001,0.6964,0.7247697505461568,7.2,8.7,7.6296296296296315,3.6,2.8,3.7913427831123307,200.0,200.0,200.0,95.55999999999999,95.66,93.23373469491442,28.139999999999997,28.410000000000004,28.773174820911454,8.2,7.3,8.306355738454506,18.2,17.4,18.927653304882387,69.4,68.3,68.62800386120003,10.440000000000001,9.48,9.763293197175228,7.6,6.8,7.187623837829602,0.4112,0.4159,0.3982847126962354,25.8,24.8,25.78656708835036,0.31799999999999995,0.3497,0.3197495808565768,8.2,8.4,8.097088858405732,41.040000000000006,42.57,40.84696438551035,27.6,28.7,26.14052735863436,0.5085999999999999,0.5239,0.4906926789615405,16.3,18.07,15.598475842097244,13.2,14.2,12.741858456536098,37.6,34.9,39.42691662856272,0.5132,0.49939999999999996,0.4742613422750598,18.8,17.2,18.3535538281766,0.5504,0.42350000000000004,0.5100055885789769,4.4,2.7,4.2606818066351675
2009-12-25,"Stan Sheriff Center, Honolulu, Hawaii",Western Michigan,College of Charleston,Away,44.0,11,13.2,5,98.5,45.7,18,0.475,60,0.417,25,0.133,8,0.75,6,6,200.0,94.0,29.2,5,14,63,4.5,3,0.4,24.0,0.292,7.0,39.0,23,0.494,17.0,13,36.0,0.5,18.0,0.5,6,39.019999999999996,45.86363636363637,38.21427966604008,10.4,11.636363636363637,9.956629240122613,10.3,10.436363636363636,10.1013615810598,5.0,5.181818181818182,4.753916239055701,106.74000000000001,100.9090909090909,106.65014818201834,53.660000000000004,55.22727272727273,54.21063862216126,18.0,21.272727272727273,18.556114413453237,0.518,0.5143636363636364,0.5158361699605413,61.4,58.90909090909091,60.475655811275395,0.44399999999999995,0.4406363636363636,0.4437645345391117,26.8,25.636363636363637,26.30042845772156,0.1938,0.2259090909090909,0.20864178902267613,11.6,12.818181818181818,12.115869870785282,0.7128,0.7045454545454546,0.7451798336974379,8.0,8.909090909090908,8.753086419753089,4.0,3.0,4.194228522074887,200.0,200.0,200.0,97.35999999999999,96.73636363636363,97.98915646327629,24.0,25.827272727272728,19.182116547274305,7.0,6.636363636363637,5.537570492303005,17.0,17.181818181818183,17.618435536588258,70.4,68.63636363636364,69.75200257413336,9.26,8.754545454545454,7.008862131450153,6.8,6.2727272727272725,5.125082558553068,0.4136,0.412,0.38985647513082367,25.2,24.272727272727273,23.52437805890024,0.35819999999999996,0.361,0.3711663872377179,8.8,8.454545454545455,8.398059238937154,39.12,41.581818181818186,37.7979762570069,25.0,27.90909090909091,24.09368490575624,0.5322,0.5329999999999999,0.535128452641027,16.36,17.545454545454547,14.498983894731497,13.0,13.636363636363637,11.161238971024066,36.2,34.63636363636363,36.95127775237515,0.5118,0.5022727272727273,0.4931742281833732,18.0,17.181818181818183,17.9023692187844,0.5593999999999999,0.43454545454545457,0.5216703923859847,5.0,3.0,4.840454537756779
2010-01-02,"Carolina First Arena, Charleston, South Carolina",South Carolina State,College of Charleston,Home,36.1,13,6.3,3,96.1,69.2,27,0.587,69,0.522,36,0.145,10,0.7,7,6,200.0,115.8,40.6,13,15,88,9.2,7,0.304,21.0,0.429,9.0,56.3,40,0.597,17.9,15,48.0,0.563,27.0,0.538,7,38.2,45.708333333333336,40.14285311069339,10.0,11.583333333333334,10.304419493415075,9.78,10.666666666666666,11.134241054039867,4.2,5.166666666666667,4.8359441593704675,107.88,100.70833333333333,103.93343212134556,54.42,54.43333333333334,51.373759081440845,17.8,21.0,18.370742942302158,0.49660000000000004,0.5110833333333333,0.5022241133070275,62.4,59.0,60.3171038741836,0.42919999999999997,0.4386666666666667,0.43484302302607447,26.4,25.583333333333332,25.866952305147706,0.195,0.21816666666666665,0.18342785934845077,11.8,12.416666666666666,10.74391324719019,0.777,0.7083333333333334,0.746786555798292,8.6,8.666666666666666,7.83539094650206,4.6,3.25,4.796152348049925,200.0,200.0,200.0,96.74000000000001,96.50833333333333,96.6594376421842,23.44,26.108333333333334,22.5214110315162,6.6,6.5,5.358380328202004,17.4,16.916666666666668,16.412290357725507,69.6,68.16666666666667,67.50133504942224,7.56,8.4,6.172574754300102,5.6,6.0,4.416721705702045,0.3882,0.41100000000000003,0.3932376500872158,24.2,24.25,23.682918705933496,0.3476,0.35525,0.344777591491812,8.2,8.333333333333334,7.93203949262477,39.28,41.36666666666667,38.1986508380046,24.4,27.5,23.72912327050416,0.5162,0.52975,0.5214189684273514,15.02,17.5,15.332655929820998,12.0,13.583333333333334,11.774159314016044,38.2,34.75,36.6341851682501,0.48100000000000004,0.5020833333333333,0.4954494854555822,18.2,17.25,17.934912812522935,0.5452,0.44,0.5144469282573232,5.4,3.25,5.226969691837853
2010-01-04,"Carolina First Arena, Charleston, South Carolina",UNC,College of Charleston,Home,54.5,18,15.4,10,100.0,51.2,24,0.52,76,0.434,33,0.079,6,0.5,3,6,225.0,103.8,24.4,8,22,82,11.4,9,0.421,32.0,0.406,13.0,38.1,32,0.52,11.3,10,44.0,0.455,20.0,0.571,8,37.04,44.96923076923077,38.79523540712893,10.0,11.692307692307692,11.202946328943383,9.139999999999999,10.330769230769231,9.522827369359913,4.0,5.0,4.223962772913645,107.62,100.35384615384615,101.32228808089705,54.92,55.56923076923077,57.315839387627236,18.6,21.46153846153846,21.247161961534772,0.496,0.5169230769230769,0.530482742204685,64.0,59.76923076923077,63.21140258278907,0.43200000000000005,0.44507692307692304,0.4638953486840497,27.4,26.384615384615383,29.244634870098473,0.15180000000000002,0.21253846153846154,0.1706185728989672,9.4,12.23076923076923,10.49594216479346,0.7806000000000001,0.7076923076923076,0.7311910371988614,7.0,8.538461538461538,7.55692729766804,5.2,3.4615384615384617,5.19743489869995,200.0,200.0,200.0,97.0,97.9923076923077,103.03962509478947,25.3,27.22307692307692,28.547607354344137,7.4,7.0,7.9055868854680025,16.6,16.76923076923077,15.941526905150338,69.8,69.6923076923077,74.33422336628149,6.24,8.461538461538462,7.181716502866736,4.6,6.076923076923077,5.27781447046803,0.3704,0.40276923076923077,0.36349176672481054,23.6,24.0,22.788612470622333,0.35,0.36092307692307696,0.372851727661208,8.0,8.384615384615385,8.288026328416514,40.7,42.51538461538462,44.23243389200307,26.0,28.46153846153846,29.152748847002776,0.5138,0.534923076923077,0.5466126456182343,15.1,17.53076923076923,16.188437286547334,12.0,13.692307692307692,12.849439542677363,40.4,35.76923076923077,40.42279011216674,0.48,0.5067692307692307,0.5179663236370549,19.4,18.0,20.95660854168196,0.5278,0.44753846153846155,0.5222979521715488,5.8,3.5384615384615383,5.817979794558569
2010-01-09,"McAlister Field House, Charleston, South Carolina",College of Charleston,Citadel,Away,39.1,9,24.4,10,93.2,51.4,18,0.52,50,0.46,23,0.22,11,0.818,9,6,200.0,103.4,26.1,6,11,61,13.6,8,0.44,22.0,0.273,6.0,41.4,24,0.552,14.1,9,28.0,0.607,17.0,0.6,9,38.839999999999996,45.65,44.03015693808595,11.6,12.142857142857142,13.468630885962256,11.079999999999998,10.692857142857141,11.481884912906608,5.4,5.357142857142857,6.149308515275763,102.22,100.32857142857142,100.8815253872647,55.160000000000004,55.25714285714286,55.27722625841817,20.6,21.642857142857142,22.164774641023183,0.52,0.5171428571428571,0.5269884948031234,66.2,60.92857142857143,67.47426838852606,0.45120000000000005,0.4442857142857143,0.45393023245603314,29.6,26.857142857142858,30.496423246732316,0.1584,0.203,0.14007904859931147,10.0,11.785714285714286,8.997294776528975,0.6806000000000001,0.6928571428571428,0.6541273581325743,7.0,8.142857142857142,6.0379515317786945,5.6,3.642857142857143,5.4649565991333,205.0,201.78571428571428,208.33333333333334,102.9,98.40714285714286,103.29308339652631,24.4,27.021428571428572,27.16507156956276,6.8,7.071428571428571,7.937057923645336,18.2,17.142857142857142,17.961017936766893,75.2,70.57142857142857,76.88948224418766,6.9,8.671428571428573,8.587811001911158,5.2,6.285714285714286,6.51854298031202,0.37160000000000004,0.4040714285714286,0.38266117781654035,24.6,24.571428571428573,25.85907498041489,0.372,0.36414285714285716,0.3839011517741387,9.0,8.714285714285714,9.858684218944344,40.74,42.199999999999996,42.188289261335385,27.4,28.714285714285715,30.10183256466852,0.5349999999999999,0.5338571428571429,0.5377417637454895,13.1,17.085714285714285,14.558958191031557,10.4,13.428571428571429,11.899626361784911,41.6,36.357142857142854,41.61519340811116,0.4974,0.5030714285714286,0.49697754909136993,20.6,18.142857142857142,20.637739027787973,0.5307999999999999,0.45635714285714285,0.5385319681143659,6.4,3.857142857142857,6.545319863039047
