date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-19,"Value City Arena, Columbus, Ohio",DELAWARE-STATE,OHIO-STATE,Home,50.0,9,0.0,0,120.0,64.7,11,0.488,40,0.45,18,0.15,6,0.833,5,5,200.0,88.0,37.5,6,16,44,12.0,6,0.3,12.0,0.25,3.0,51.5,17,0.513,22.0,10,28.0,0.536,15.0,0.444,4,59.279999999999994,59.279999999999994,59.546913580246915,11.0,11.0,10.432098765432102,7.58,7.58,7.428395061728397,2.4,2.4,2.320987654320988,113.0,113.0,119.47283950617285,58.3,58.3,57.46172839506174,14.2,14.2,13.876543209876546,0.4484,0.4484,0.4181728395061729,46.8,46.8,47.62962962962963,0.39740000000000003,0.39740000000000003,0.3675802469135803,18.4,18.4,17.333333333333336,0.3658,0.3658,0.28511111111111115,16.6,16.6,13.2962962962963,0.7134,0.7134,0.7062592592592594,12.0,12.0,9.481481481481481,2.2,2.2,2.5925925925925926,200.0,200.0,200.0,91.46000000000001,91.46000000000001,85.91358024691361,33.64,33.64,34.1888888888889,8.0,8.0,8.530864197530866,12.6,12.6,12.0,53.6,53.6,48.98765432098766,13.34,13.34,12.714814814814815,7.8,7.8,7.2098765432098775,0.2992,0.2992,0.29693827160493824,14.0,14.0,14.14814814814815,0.3322,0.3322,0.33343209876543217,4.8,4.8,4.839506172839507,44.62,44.62,44.24074074074075,22.2,22.2,22.407407407407412,0.489,0.489,0.4540864197530865,18.68,18.68,18.588888888888892,11.8,11.8,11.555555555555557,32.8,32.8,33.48148148148149,0.4222,0.4222,0.37927160493827167,13.6,13.6,12.49382716049383,0.641,0.641,0.6031358024691359,3.6,3.6,3.604938271604939
2009-12-27,"Pauley Pavilion, Los Angeles, California",DELAWARE-STATE,UCLA,Home,31.6,6,5.3,2,108.2,60.0,16,0.377,53,0.358,19,0.226,12,0.75,9,6,200.0,80.3,30.0,8,14,49,11.5,7,0.132,7.0,0.286,2.0,43.6,24,0.417,17.1,12,46.0,0.37,17.0,0.4,4,55.36,57.73333333333333,56.364609053497944,9.6,10.666666666666666,9.954732510288068,5.220000000000001,6.316666666666666,4.952263374485598,1.6,2.0,1.547325102880659,114.74000000000001,114.16666666666667,119.6485596707819,61.24000000000001,59.366666666666674,59.87448559670783,13.4,13.666666666666666,12.917695473251031,0.43079999999999996,0.455,0.441448559670782,45.6,45.666666666666664,45.086419753086425,0.3874,0.40616666666666673,0.39505349794238687,17.4,18.333333333333332,17.555555555555557,0.3784,0.32983333333333337,0.2400740740740741,17.0,14.833333333333334,10.864197530864201,0.73,0.7333333333333334,0.7485061728395063,12.4,10.833333333333334,7.987654320987655,3.0,2.6666666666666665,3.3950617283950617,200.0,200.0,200.0,87.92,90.88333333333333,86.60905349794241,34.14,34.28333333333333,35.2925925925926,8.2,7.666666666666667,7.687242798353911,14.2,13.166666666666666,13.333333333333332,51.2,52.0,47.32510288065844,12.34,13.116666666666667,12.476543209876544,7.2,7.5,6.806584362139919,0.29399999999999993,0.2993333333333333,0.2979588477366255,13.4,13.666666666666666,13.432098765432102,0.2888,0.3185,0.3056213991769548,4.0,4.5,4.226337448559672,46.22,45.76666666666667,46.6604938271605,21.6,21.333333333333332,20.604938271604944,0.4746,0.49300000000000005,0.473724279835391,19.060000000000002,19.233333333333334,19.725925925925928,11.6,11.5,11.037037037037038,32.2,32.0,31.654320987654327,0.4262,0.4411666666666667,0.43151440329218116,13.4,13.833333333333334,13.329218106995887,0.5964,0.6081666666666666,0.550090534979424,4.0,3.6666666666666665,3.7366255144032934
2009-12-30,"Memorial Hall, Dover, Delaware",LEHIGH,DELAWARE-STATE,Away,41.7,10,5.9,2,107.4,69.0,21,0.449,59,0.407,24,0.39,23,0.565,13,7,225.0,97.1,29.7,10,17,66,8.8,6,0.203,12.0,0.417,5.0,47.0,31,0.472,12.6,10,47.0,0.404,19.0,0.364,4,50.68,54.0,48.10973936899863,8.6,10.0,8.636488340192045,4.859999999999999,6.171428571428572,5.068175582990399,1.6,2.0,1.698216735253773,116.08,113.31428571428572,115.83237311385462,61.24000000000001,59.45714285714286,59.916323731138554,14.0,14.0,13.945130315500688,0.4016,0.4438571428571429,0.419965706447188,47.6,46.714285714285715,47.72427983539095,0.366,0.3992857142857143,0.3827023319615913,17.2,18.428571428571427,18.037037037037038,0.23759999999999998,0.315,0.23538271604938277,11.4,14.428571428571429,11.242798353909468,0.73,0.7357142857142858,0.7490041152263376,8.2,10.571428571428571,8.325102880658438,4.0,3.142857142857143,4.263374485596708,200.0,200.0,200.0,81.25999999999999,89.37142857142858,84.50603566529495,36.14,33.67142857142857,33.5283950617284,9.0,7.714285714285714,7.7914951989026076,14.2,13.285714285714286,13.555555555555555,46.0,51.57142857142857,47.88340192043896,10.7,12.885714285714286,12.151028806584364,6.0,7.428571428571429,6.871056241426613,0.2506,0.2754285714285714,0.24263923182441705,11.8,12.714285714285714,11.288065843621403,0.2794,0.3138571428571429,0.29908093278463654,3.4,4.142857142857143,3.4842249657064484,47.38,45.457142857142856,45.640329218107006,23.0,21.714285714285715,21.736625514403297,0.437,0.48214285714285715,0.45481618655692735,19.9,18.928571428571427,18.85061728395062,12.4,11.571428571428571,11.358024691358025,35.8,34.0,36.43621399176955,0.39299999999999996,0.431,0.41100960219478744,13.8,14.285714285714286,14.552812071330592,0.5164,0.5784285714285715,0.5000603566529493,4.0,3.7142857142857144,3.824417009602196
2010-01-23,"Hill Field House, Baltimore, Maryland",DELAWARE-STATE,MORGAN-STATE,Home,43.5,10,21.1,4,116.1,63.2,12,0.52,50,0.46,23,0.24,12,0.833,10,8,200.0,100.0,20.0,5,23,62,16.1,10,0.26,13.0,0.462,6.0,38.6,17,0.557,17.8,12,37.0,0.459,17.0,0.5,8,47.44,52.4625,45.973159579332425,8.4,10.0,9.090992226794697,4.38,6.1375,5.345450388660266,1.4,2.0,1.798811156835849,120.17999999999999,112.575,113.02158207590308,62.9,60.650000000000006,62.94421582075904,14.8,14.875,16.296753543667126,0.4004,0.4445,0.4296438042981254,50.6,48.25,51.48285322359397,0.361,0.40025,0.3908015546410609,18.2,19.125,20.024691358024693,0.2474,0.324375,0.28692181069958855,13.0,15.5,15.16186556927298,0.7095999999999999,0.714375,0.6876694101508918,8.8,10.875,9.88340192043896,5.0,3.625,5.175582990397805,205.0,203.125,208.33333333333334,84.28,90.3375,88.7040237768633,33.38,33.175,32.25226337448561,9.0,8.0,8.527663465935072,14.4,13.75,14.703703703703704,49.2,53.375,53.92226794695931,11.14,12.375,11.034019204389578,6.4,7.25,6.580704160951076,0.24580000000000002,0.266375,0.2294261545496114,12.2,12.625,11.525377229080936,0.3228,0.32675,0.338387288523091,4.0,4.25,3.9894833104709657,46.2,45.65,46.09355281207134,23.8,22.875,24.8244170096022,0.43360000000000004,0.480875,0.46054412437128495,16.96,18.1375,16.767078189300413,10.6,11.375,10.905349794238685,38.4,35.625,39.95747599451303,0.3738,0.42762500000000003,0.4086730681298583,14.2,14.875,16.03520804755373,0.4558,0.551625,0.4547069044352996,4.0,3.75,3.882944673068131
2010-01-30,"Memorial Hall, Dover, Delaware",HAMPTON,DELAWARE-STATE,Home,43.5,10,3.0,1,100.0,57.1,14,0.44,58,0.397,23,0.259,15,0.467,7,8,200.0,103.6,60.0,19,14,58,17.9,10,0.328,19.0,0.263,5.0,58.9,33,0.445,16.8,11,39.0,0.462,18.0,0.556,10,45.019999999999996,51.46666666666667,45.14877305288829,8.4,10.0,9.393994817863131,7.88,7.800000000000001,10.596966925773511,2.0,2.2222222222222223,2.5325407712238994,118.47999999999999,112.96666666666667,114.0477213839354,61.86,60.93333333333333,63.02947721383937,14.4,14.555555555555555,14.864502362444751,0.4252000000000001,0.45288888888888895,0.4597625361987503,50.0,48.44444444444444,50.988568815729316,0.38499999999999995,0.40688888888888886,0.41386770309404064,19.2,19.555555555555557,21.016460905349795,0.23879999999999998,0.315,0.27128120713305903,12.4,15.11111111111111,14.107910379515321,0.7296,0.7275555555555555,0.7361129401005946,8.6,10.777777777777779,9.922267946959307,6.0,4.111111111111111,6.117055326931871,205.0,202.77777777777777,205.55555555555557,85.67999999999999,91.41111111111111,92.46934918457553,29.5,31.71111111111111,28.168175582990408,7.6,7.666666666666667,7.3517756439567155,16.0,14.777777777777779,17.469135802469136,51.0,54.333333333333336,56.61484529797288,11.9,12.788888888888888,12.722679469593054,7.0,7.555555555555555,7.7204694406340515,0.2374,0.26566666666666666,0.23961743636640762,11.6,12.666666666666666,12.016918152720624,0.3402,0.3417777777777778,0.37959152568206067,4.0,4.444444444444445,4.659655540313977,43.92,44.86666666666667,43.59570187471423,22.0,22.22222222222222,22.216278006401467,0.4568,0.48933333333333334,0.49269608291419,17.4,18.1,17.111385459533608,10.8,11.444444444444445,11.270233196159124,38.4,35.77777777777778,38.97165066300869,0.4008,0.4311111111111111,0.4254487120865722,15.2,15.11111111111111,16.35680536503582,0.44160000000000005,0.5458888888888889,0.46980460295686644,4.8,4.222222222222222,5.2552964487120875
2010-02-01,"Memorial Hall, Dover, Delaware",HOWARD,DELAWARE-STATE,Home,47.6,10,12.5,3,78.9,77.3,18,0.4,55,0.382,21,0.2,11,0.909,10,8,200.0,94.7,48.1,12,10,54,14.0,8,0.2,11.0,0.182,2.0,61.2,30,0.448,13.1,7,44.0,0.432,19.0,0.579,11,42.06,50.67,44.59918203525886,9.0,10.0,9.595996545242087,7.06,7.32,8.064644617182342,1.8,2.1,2.0216938474826,110.34,111.67,109.36514758929027,62.8,60.55,61.05298480922625,14.8,14.5,14.576334908296502,0.4548,0.4516,0.4531750241325002,52.0,49.4,53.32571254381955,0.4144,0.40590000000000004,0.40824513539602714,21.4,19.9,21.67764060356653,0.253,0.3094,0.26718747142203936,13.6,15.1,14.405273586343549,0.6896,0.7015,0.6464086267337298,8.8,10.4,8.948178631306206,6.8,4.5,6.744703551287914,205.0,202.5,203.70370370370372,93.8,92.63,96.17956612305036,35.44,34.54,38.778783721993605,9.6,8.8,11.234517095971144,16.8,14.7,16.312757201646093,55.8,54.7,57.07656353198192,13.260000000000002,13.3,14.448452979728703,7.8,7.8,8.480312960422701,0.24459999999999998,0.2719,0.26907829091093843,12.6,13.3,14.344612101813752,0.3356,0.3339,0.34072768378804047,4.2,4.5,4.773103693542652,47.92,46.269999999999996,48.69713458314283,24.4,23.3,25.810852004267645,0.4808,0.4849,0.47679738860946,17.259999999999998,17.970000000000002,17.007590306355738,11.0,11.4,11.180155464106083,39.4,36.1,38.9811004420058,0.4462,0.43420000000000003,0.4376324747243815,17.2,15.4,16.904536910023882,0.45280000000000004,0.5469,0.4985364019712443,6.0,4.8,6.836864299141392
2010-02-08,"Echols Memorial Hall, Norfolk, Virginia",DELAWARE-STATE,NORFOLK-STATE,Away,50.0,9,14.3,5,77.6,50.0,15,0.398,49,0.367,18,0.571,28,0.536,15,9,200.0,80.6,38.7,10,21,54,17.9,12,0.327,16.0,0.188,3.0,43.9,25,0.433,21.7,16,33.0,0.455,15.0,0.571,12,41.580000000000005,50.39090909090908,45.59945469017258,9.2,10.0,9.730664363494725,9.559999999999999,7.790909090909091,9.543096411454894,2.4,2.1818181818181817,2.3477958983217335,102.12,108.69090909090909,99.21009839286019,65.32000000000001,62.07272727272727,66.46865653948417,16.2,14.818181818181818,15.717556605531003,0.4372,0.4469090909090909,0.43545001608833356,55.0,49.90909090909091,53.883808362546375,0.4008,0.4037272727272727,0.39949675693068476,22.0,20.0,21.451760402377687,0.263,0.2994545454545455,0.2447916476146929,14.6,14.727272727272727,13.2701823908957,0.7048,0.7203636363636363,0.7339390844891532,9.8,10.363636363636363,9.298785754204138,7.4,4.818181818181818,7.163135700858611,205.0,202.27272727272728,202.46913580246917,95.14,92.81818181818181,95.68637741536692,37.56,35.77272727272727,41.885855814662406,10.8,9.090909090909092,11.489678063980763,15.6,14.272727272727273,14.208504801097398,57.8,54.63636363636363,56.05104235465462,13.660000000000002,13.363636363636363,14.29896865315247,8.2,7.818181818181818,8.320208640281802,0.2246,0.26536363636363636,0.24605219394062566,12.4,13.090909090909092,13.229741401209168,0.32199999999999995,0.3200909090909091,0.28781845585869364,4.0,4.2727272727272725,3.8487357956951014,49.86,47.627272727272725,52.86475638876189,27.0,23.90909090909091,27.207234669511767,0.4678,0.4815454545454545,0.46719825907297335,15.48,17.527272727272727,15.70506020423716,10.4,11.0,9.786770309404055,42.6,36.81818181818182,40.6540669613372,0.42540000000000006,0.434,0.4357549831495877,18.0,15.727272727272727,17.603024606682588,0.4798,0.5498181818181819,0.5253576013141629,7.4,5.363636363636363,8.224576199427595
2010-02-17,"Memorial Hall, Dover, Delaware",MORGAN-STATE,DELAWARE-STATE,Away,50.0,10,4.7,2,115.3,41.7,14,0.418,55,0.364,20,0.436,24,0.792,19,10,200.0,110.2,29.7,7,19,65,6.8,4,0.273,15.0,0.4,6.0,34.4,21,0.489,5.8,4,40.0,0.35,14.0,0.583,14,45.260000000000005,50.35833333333333,47.06630312678172,9.8,9.916666666666666,9.487109575663151,11.36,8.333333333333334,11.12873094096993,3.0,2.4166666666666665,3.2318639322144893,96.0,106.10000000000001,92.00673226190679,63.32000000000001,61.06666666666666,60.97910435965612,16.0,14.833333333333334,15.478371070354003,0.44140000000000007,0.44283333333333336,0.4229666773922224,54.2,49.833333333333336,52.25587224169759,0.40259999999999996,0.40066666666666667,0.38866450462045654,21.8,19.833333333333332,20.301173601585127,0.33199999999999996,0.32208333333333333,0.3535277650764619,17.8,15.833333333333334,18.180121593930465,0.662,0.7050000000000001,0.6679593896594356,11.0,10.75,11.19919050280276,8.0,5.166666666666667,7.7754238005724075,205.0,202.08333333333334,201.64609053497946,95.19999999999999,91.8,90.65758494357794,39.3,36.016666666666666,40.823903876441605,11.2,9.166666666666666,10.993118709320509,17.0,14.833333333333334,16.472336534064933,58.8,54.583333333333336,55.36736156976975,14.940000000000001,13.741666666666667,15.49931243543498,9.2,8.166666666666666,9.546805760187869,0.2636,0.2705,0.27303479596041713,14.2,13.333333333333334,14.153160934139446,0.3024,0.3090833333333333,0.2545456372391291,4.2,4.166666666666667,3.5658238637967345,49.92,47.31666666666666,49.876504259174595,27.2,24.0,26.471489779674513,0.471,0.4775,0.45579883938198223,16.4,17.875,17.70337346949144,11.2,11.416666666666666,11.857846872936037,40.0,36.5,38.10271130755814,0.44239999999999996,0.43575,0.44216998876639185,17.6,15.666666666666666,16.735349737788393,0.514,0.5515833333333333,0.5405717342094419,9.0,5.916666666666667,9.483050799618397
2010-02-27,"Convocation Center, Hampton, Virginia",DELAWARE-STATE,HAMPTON,Home,66.7,12,3.0,1,103.2,57.1,13,0.455,44,0.409,18,0.318,14,0.357,5,11,200.0,72.6,34.4,10,14,45,4.8,3,0.295,13.0,0.308,4.0,43.4,23,0.444,29.5,18,31.0,0.452,14.0,0.577,15,46.92,50.33076923076923,48.044202084521146,9.8,9.923076923076923,9.658073050442102,11.120000000000001,8.053846153846154,8.985820627313288,3.0,2.3846153846153846,2.821242621476326,97.58,106.8076923076923,99.7711548412712,57.86,59.57692307692308,54.55273623977075,14.6,14.76923076923077,14.985580713569336,0.43520000000000003,0.4409230769230769,0.4213111182614816,53.4,50.23076923076923,53.17058149446507,0.394,0.39784615384615385,0.38044300308030443,21.0,19.846153846153847,20.200782401056752,0.3412,0.33084615384615385,0.3810185100509746,18.0,16.46153846153846,20.12008106262031,0.7074,0.7116923076923077,0.7093062597729571,12.2,11.384615384615385,13.79946033520184,8.6,5.538461538461538,8.516949200381605,200.0,201.92307692307693,201.09739368998632,97.82000000000001,93.21538461538461,97.17172329571864,39.300000000000004,35.53076923076923,37.11593591762774,10.6,9.0,9.662079139547007,17.4,15.153846153846153,17.314891022709958,58.6,55.38461538461539,58.57824104651317,14.540000000000001,13.207692307692307,12.59954162362332,8.8,7.846153846153846,7.697870506791913,0.27759999999999996,0.2706923076923077,0.2730231973069448,14.8,13.461538461538462,14.435440622759632,0.29900000000000004,0.3160769230769231,0.3030304248260861,4.4,4.3076923076923075,4.377215909197823,47.4,46.323076923076925,44.717669506116394,25.2,23.76923076923077,24.647659853116345,0.4744,0.4783846153846154,0.4668658929213215,15.040000000000001,16.946153846153848,13.735582312994294,10.0,10.846153846153847,9.238564581957359,38.6,36.76923076923077,38.735140871705426,0.4316,0.4291538461538461,0.4114466591775946,16.6,15.538461538461538,15.82356649185893,0.5578,0.554,0.5547144894729613,11.0,6.538461538461538,10.98870053307893
2010-03-04,"Memorial Hall, Dover, Delaware",MARYLAND-EASTERN-SHORE,DELAWARE-STATE,Home,59.1,13,10.7,3,64.9,54.5,14,0.469,49,0.449,22,0.306,15,0.733,11,11,200.0,100.0,28.6,4,14,57,26.3,15,0.224,11.0,0.182,2.0,41.9,18,0.508,12.6,8,38.0,0.526,20.0,0.593,16,51.56,51.5,54.26280138968077,10.2,10.071428571428571,10.438715366961402,7.5,7.692857142857143,6.990547084875526,2.4,2.2857142857142856,2.2141617476508846,95.0,106.55,100.91410322751415,56.64,59.4,55.40182415984717,14.8,14.642857142857142,14.323720475712893,0.4222,0.44192857142857145,0.4325407455076544,52.2,49.785714285714285,50.11372099631005,0.38380000000000003,0.3986428571428572,0.3899620020535363,20.0,19.714285714285715,19.46718826737117,0.3568,0.3299285714285714,0.3600123400339831,18.4,16.285714285714285,18.080054041746877,0.6122,0.6863571428571429,0.5918708398486381,11.2,10.928571428571429,10.86630689013456,9.2,5.928571428571429,9.344632800254404,200.0,201.78571428571428,200.73159579332423,92.34,91.74285714285715,88.98114886381242,42.18000000000001,35.45,36.21062394508516,11.6,9.071428571428571,9.774719426364673,15.6,15.071428571428571,16.209927348473308,55.2,54.642857142857146,54.052160697675454,12.28,12.607142857142858,9.99969441574888,7.4,7.5,6.131913671194609,0.2846,0.2724285714285714,0.2803487982046299,14.8,13.428571428571429,13.95696041517309,0.2682,0.3155,0.3046869498840574,4.0,4.285714285714286,4.2514772727985495,48.36,46.114285714285714,44.27844633741093,26.4,23.714285714285715,24.098439902077565,0.4518,0.4759285714285714,0.45924392861421437,17.380000000000003,17.842857142857145,18.990388208662864,11.2,11.357142857142858,12.15904305463824,37.4,36.357142857142854,36.15676058113695,0.43019999999999997,0.43078571428571427,0.4249644394517298,16.0,15.428571428571429,15.215710994572621,0.5731999999999999,0.5556428571428571,0.5621429929819742,12.4,7.142857142857143,12.325800355385955
