date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-23,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",DePaul,Boston College,Away,57.7,15,21.9,7,89.3,88.2,30,0.46,63,0.413,26,0.286,18,0.778,14,0,200,96.0,43.8,14,19,72,6.7,5,0.286,18,0.333,6,66.7,44,0.503,18.4,16,45,0.444,20,1.0,6,50.58,50.58,50.91975308641976,15.2,15.2,15.320987654320989,17.78,17.78,18.608641975308647,5.8,5.8,6.185185185185186,82.02,82.02,82.74074074074075,73.03999999999999,73.03999999999999,71.77530864197531,27.2,27.2,26.654320987654327,0.595,0.595,0.591530864197531,56.6,56.6,56.98765432098766,0.5294000000000001,0.5294000000000001,0.5258271604938272,30.0,30.0,29.98765432098766,0.3452,0.3452,0.3297530864197531,19.4,19.4,18.666666666666668,0.5916,0.5916,0.6001975308641976,11.4,11.4,11.12345679012346,0.0,0.0,0.0,200.2,200.2,200.22222222222223,107.94000000000001,107.94000000000001,108.3851851851852,25.419999999999998,25.419999999999998,28.77777777777778,7.4,7.4,8.320987654320989,19.2,19.2,19.0,78.8,78.8,78.55555555555557,14.0,14.0,14.439506172839508,10.2,10.2,10.444444444444446,0.33899999999999997,0.33899999999999997,0.3461728395061729,19.2,19.2,19.740740740740744,0.3856,0.3856,0.37918518518518524,7.4,7.4,7.456790123456792,53.02,53.02,53.45432098765433,34.6,34.6,34.97530864197532,0.599,0.599,0.5965679012345679,18.619999999999997,18.619999999999997,18.922222222222224,15.0,15.0,15.308641975308644,37.4,37.4,37.24691358024692,0.6028,0.6028,0.6041975308641976,22.6,22.6,22.530864197530867,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-26,"Wintrust Arena, Chicago, Illinois",Central Michigan,DePaul,Home,58.8,20,11.4,5,91.5,79.5,31,0.536,70,0.486,34,0.271,19,0.684,13,0,200,107.3,35.3,12,19,88,13.4,11,0.343,24,0.292,7,58.9,43,0.557,15.2,14,46,0.587,27,1.0,7,53.839999999999996,51.76666666666667,53.179835390946515,15.8,15.166666666666666,15.213991769547327,19.779999999999998,18.466666666666665,19.705761316872433,6.2,6.0,6.456790123456791,85.66,83.23333333333333,84.92716049382717,78.08,75.56666666666666,77.25020576131688,27.4,27.666666666666668,27.769547325102888,0.575,0.5725,0.547687242798354,57.6,57.666666666666664,58.99176954732511,0.512,0.51,0.4882181069958848,29.4,29.333333333333332,28.658436213991777,0.3506,0.3353333333333333,0.31516872427983544,20.0,19.166666666666668,18.444444444444446,0.6538,0.6226666666666667,0.6594650205761317,12.8,11.833333333333334,12.082304526748974,0.0,0.0,0.0,200.2,200.16666666666666,200.14814814814815,108.2,105.95,104.25679012345681,29.52,28.48333333333333,33.785185185185185,8.8,8.5,10.213991769547327,18.8,19.166666666666668,19.0,78.8,77.66666666666667,76.37037037037038,12.44,12.783333333333333,11.859670781893005,9.0,9.333333333333334,8.629629629629632,0.3272,0.33016666666666666,0.3261152263374486,18.8,19.0,19.160493827160497,0.3822,0.37683333333333335,0.3637901234567902,7.2,7.166666666666667,6.971193415637862,56.879999999999995,55.300000000000004,57.86954732510289,36.2,36.166666666666664,37.98353909465021,0.5890000000000001,0.5830000000000001,0.5653786008230454,18.14,18.583333333333332,18.74814814814815,14.8,15.166666666666666,15.539094650205765,38.8,38.666666666666664,39.83127572016461,0.5757999999999999,0.5763333333333333,0.5507983539094651,22.2,22.166666666666668,21.687242798353914,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2019-11-29,"Williams Arena, Minneapolis, Minnesota",DePaul,Minnesota,Away,53.8,14,28.1,9,100.0,61.5,24,0.484,62,0.419,26,0.323,20,0.65,13,0,200,107.4,42.1,16,24,73,8.8,6,0.258,16,0.5,8,51.9,40,0.51,13.4,11,46,0.391,18,1.0,8,55.9,52.771428571428565,55.05322359396435,16.6,15.857142857142858,16.809327846364887,17.9,17.45714285714286,16.93717421124829,6.2,5.857142857142857,5.971193415637861,88.9,84.41428571428571,87.11810699588479,77.61999999999999,76.12857142857142,78.00013717421126,26.4,28.142857142857142,28.846364883401925,0.5536000000000001,0.5672857142857143,0.5437914951989027,60.4,59.42857142857143,62.66117969821674,0.49139999999999995,0.5065714285714286,0.48747873799725655,29.6,30.0,30.43895747599452,0.34059999999999996,0.3261428571428571,0.30044581618655697,20.2,19.142857142857142,18.629629629629633,0.6572000000000001,0.6314285714285715,0.6676433470507545,13.0,12.0,12.388203017832652,0.0,0.0,0.0,200.2,200.14285714285714,200.0987654320988,106.64000000000001,106.14285714285714,105.27119341563788,34.919999999999995,29.457142857142856,34.29012345679013,10.8,9.0,10.809327846364885,19.0,19.142857142857142,19.0,79.6,79.14285714285714,80.24691358024693,12.919999999999998,12.87142857142857,12.373113854595339,9.6,9.571428571428571,9.419753086419755,0.33499999999999996,0.33199999999999996,0.3317434842249658,20.2,19.714285714285715,20.77366255144033,0.37,0.3647142857142857,0.3398600823045268,7.4,7.142857142857143,6.9807956104252415,57.480000000000004,55.81428571428571,58.2130315500686,37.2,37.142857142857146,39.65569272976681,0.5702,0.5792857142857143,0.5625857338820303,17.8,18.099999999999998,17.565432098765434,15.0,15.0,15.026063100137177,40.2,39.714285714285715,41.88751714677641,0.5548,0.5778571428571428,0.5628655692729767,22.2,22.857142857142858,23.458161865569277,1.0,1.0,1.0,5.0,4.0,5.175582990397805
2019-12-04,"Wintrust Arena, Chicago, Illinois",Texas Tech,DePaul,Home,68.0,17,17.1,6,83.3,71.0,22,0.437,63,0.397,25,0.286,18,0.556,10,0,225,90.3,28.9,11,17,65,16.7,12,0.333,21,0.238,5,47.8,33,0.454,14.5,12,42,0.476,20,1.0,9,55.82000000000001,52.9,54.63548239597623,16.8,15.625,15.872885230909926,21.160000000000004,18.7875,20.658116140832195,7.2,6.25,6.9807956104252415,91.53999999999999,86.3625,91.41207133058987,75.3,74.3,72.50009144947418,27.4,27.625,27.23090992226795,0.5486,0.556875,0.5238609967992685,62.0,59.75,62.44078646547783,0.4864,0.495625,0.46465249199817105,30.0,29.5,28.959304983996347,0.3014,0.32575,0.30796387745770465,18.6,19.25,19.086419753086425,0.6799999999999999,0.63375,0.6617622313671697,12.6,12.125,12.59213534522177,0.0,0.0,0.0,200.2,200.125,200.0658436213992,107.54,106.3,105.98079561042526,36.68,31.037499999999998,36.89341563786009,11.8,9.875,12.53955189757659,20.4,19.75,20.666666666666668,80.2,78.375,77.83127572016463,11.739999999999998,12.3625,11.182075903063561,8.8,9.125,8.279835390946504,0.32,0.32275,0.3071623228166439,19.8,19.25,19.182441700960222,0.3922,0.381625,0.39324005486968455,7.6,7.25,7.320530406950162,57.7,55.325,56.108687700045735,39.2,37.5,39.77046181984454,0.5681999999999999,0.570625,0.5450571559213535,17.419999999999998,17.5125,16.17695473251029,14.8,14.5,13.684042066758119,42.2,40.5,43.25834476451761,0.5386,0.5545,0.5055770461819845,22.4,22.25,21.638774577046185,1.0,1.0,1.0,6.0,4.5,6.117055326931871
2019-12-08,"Wintrust Arena, Chicago, Illinois",Buffalo,DePaul,Away,40.7,11,28.2,11,89.2,67.5,27,0.477,65,0.415,27,0.277,18,0.389,7,1,200,83.1,19.0,8,17,69,13.3,11,0.354,23,0.348,8,42.7,35,0.469,19.8,18,42,0.452,19,0.9,9,58.0,54.577777777777776,59.09032159731749,16.2,15.777777777777779,16.24859015393995,20.36,18.6,19.472077427221464,6.8,6.222222222222222,6.653863740283495,89.18,86.02222222222221,88.70804755372659,73.88,73.93333333333334,72.00006096631613,26.8,27.0,25.487273281511968,0.49379999999999996,0.5435555555555556,0.49490733119951236,63.2,60.111111111111114,62.627190976985226,0.44299999999999995,0.4846666666666667,0.44210166133211404,28.0,29.0,27.639536655997567,0.2884,0.3213333333333333,0.3006425849718031,18.2,19.11111111111111,18.724279835390952,0.6712,0.6251111111111112,0.6265081542447799,12.2,11.88888888888889,11.72809023014785,0.0,0.0,0.0,205.0,202.88888888888889,208.37722908093284,102.92,104.52222222222223,100.7538637402835,38.3,30.799999999999997,34.22894375857339,13.0,10.0,12.026367931717727,18.8,19.444444444444443,19.444444444444446,74.6,76.88888888888889,73.55418381344309,12.16,12.844444444444443,13.021383935375708,8.8,9.444444444444445,9.519890260631003,0.3164,0.3238888888888889,0.31577488187776265,20.0,19.444444444444443,19.788294467306816,0.3298,0.36566666666666664,0.34149336991312307,6.4,7.0,6.547020271300109,56.54,54.48888888888889,53.33912513336382,39.8,37.0,37.5136412132297,0.5192,0.5576666666666666,0.5147047706142357,15.839999999999998,17.177777777777777,15.617969821673526,13.4,14.222222222222221,13.12269471117208,43.2,40.666666666666664,42.838896509678406,0.504,0.5457777777777778,0.4957180307879897,21.6,22.0,21.092516384697458,1.0,1.0,1.0,7.0,5.0,7.078036884621247
2019-12-14,"Wintrust Arena, Chicago, Illinois",UIC,DePaul,Home,36.4,12,7.1,2,81.3,74.2,23,0.548,63,0.524,33,0.397,25,0.68,17,1,200,107.5,19.4,6,20,86,13.8,11,0.159,10,0.3,3,46.8,29,0.574,14.0,12,53,0.566,30,0.909,10,55.8,53.19,52.96021439821166,15.4,15.3,14.499060102626634,21.34,19.56,22.381384951480975,7.6,6.7,8.102575826855665,90.66,86.34,88.8720317024844,73.53999999999999,73.28999999999999,70.50004064421076,26.8,27.0,25.99151552100798,0.4788,0.5368999999999999,0.4889382207996749,64.6,60.6,63.418127317990155,0.426,0.4777,0.43306777422140935,27.6,28.8,27.426357770665046,0.2886,0.3169,0.2927617233145354,18.6,19.0,18.48285322359397,0.6113999999999999,0.6015,0.5473387694965199,11.4,11.4,10.1520601534319,0.2,0.1,0.3333333333333333,205.0,202.6,205.58481938728858,96.82000000000001,102.38,94.86924249352234,33.82000000000001,29.619999999999997,29.152629172382262,12.2,9.8,10.68424528781182,19.2,19.2,18.629629629629633,73.4,76.1,72.0361225422954,11.78,12.89,13.11425595691714,9.0,9.6,10.013260173754002,0.3148,0.3269,0.32851658791850846,20.4,19.8,20.858862978204545,0.34219999999999995,0.3639,0.3436622466087487,6.8,7.1,7.031346847533406,53.6,53.31,49.79275008890922,39.0,36.8,36.6757608088198,0.4986,0.5488000000000001,0.49946984707615716,16.26,17.44,17.011979881115685,14.2,14.6,14.748463140781388,44.2,40.8,42.55926433978561,0.47000000000000003,0.5364,0.48114535385865986,20.8,21.7,20.39501092313164,0.9800000000000001,0.99,0.9666666666666668,7.8,5.4,7.718691256414165
2019-12-18,"Wolstein Center, Cleveland, Ohio",DePaul,Cleveland State,Away,59.1,13,12.2,5,79.3,64.5,20,0.522,45,0.489,22,0.778,35,0.743,26,1,200,89.0,22.7,5,21,73,13.4,11,0.311,14,0.214,3,47.2,25,0.592,29.3,25,31,0.613,19,0.917,11,51.54,51.66363636363636,47.440142932141114,14.8,15.0,13.666040068417757,18.380000000000003,18.42727272727273,17.287589967653986,6.6,6.2727272727272725,6.068383884570444,89.06,85.88181818181818,86.34802113498961,70.74000000000001,73.37272727272727,71.73336042947383,25.4,26.636363636363637,24.99434368067199,0.49640000000000006,0.5379090909090909,0.5086254805331166,64.6,60.81818181818182,63.27875154532678,0.44819999999999993,0.4819090909090909,0.4633785161476063,29.0,29.181818181818183,29.2842385137767,0.3108,0.3241818181818182,0.32750781554302366,20.0,19.545454545454547,20.65523548239598,0.5918,0.6086363636363636,0.5915591796643467,12.0,11.909090909090908,12.434706768954602,0.4,0.18181818181818182,0.5555555555555556,205.0,202.36363636363637,203.72321292485907,99.12,102.84545454545454,99.07949499568156,28.939999999999998,28.690909090909088,25.901752781588176,10.6,9.454545454545455,9.122830191874547,19.4,19.272727272727273,19.086419753086425,76.2,77.0,76.69074836153027,13.2,12.97272727272727,13.342837304611427,10.2,9.727272727272727,10.342173449169335,0.2894,0.31163636363636366,0.272011058612339,18.8,18.90909090909091,17.239241985469697,0.33559999999999995,0.35809090909090907,0.3291081644058325,6.2,6.7272727272727275,5.687564565022272,49.620000000000005,52.71818181818182,48.79516672593948,36.0,36.09090909090909,34.11717387254654,0.5128,0.5510909090909091,0.5243132313841048,15.38,17.12727272727273,16.007986587410457,13.4,14.363636363636363,13.832308760520926,45.8,41.90909090909091,46.03950955985707,0.4944,0.5390909090909091,0.5094302359057732,22.8,22.454545454545453,23.59667394875443,0.9618,0.9826363636363635,0.9474444444444445,8.6,5.818181818181818,8.47912750427611
2019-12-21,"Wintrust Arena, Chicago, Illinois",Northwestern,DePaul,Home,61.3,19,3.0,1,105.4,82.1,23,0.493,72,0.431,31,0.278,20,0.6,12,1,200,112.2,35.7,15,16,83,8.1,6,0.333,24,0.375,9,54.3,38,0.509,9.0,8,48,0.458,22,0.923,12,51.6,52.28333333333333,51.32676195476074,13.4,14.833333333333334,13.444026712278507,18.54,17.908333333333335,15.591726645102659,6.6,6.166666666666667,5.712255923046964,86.62,85.33333333333333,83.99868075665975,67.74000000000001,72.63333333333334,69.32224028631589,23.2,26.083333333333332,23.329562453781328,0.4936,0.5365833333333333,0.5130836536887444,59.6,59.5,57.18583436355119,0.4488,0.4825,0.47191901076507087,26.6,28.583333333333332,26.856159009184466,0.4122,0.36200000000000004,0.4776718770286824,23.2,20.833333333333332,25.436823654930656,0.6036,0.6198333333333333,0.6420394531095645,14.6,13.083333333333334,16.95647117930307,0.6,0.25,0.7037037037037037,205.0,202.16666666666666,202.48214194990607,95.46000000000001,101.69166666666666,95.71966333045438,26.419999999999998,28.191666666666666,24.83450185439212,9.2,9.083333333333334,7.748553461249699,19.8,19.416666666666668,19.724279835390952,73.2,76.66666666666667,75.46049890768685,13.2,13.008333333333333,13.361891536407619,10.2,9.833333333333334,10.561448966112891,0.28300000000000003,0.3115833333333333,0.285007372408226,16.8,18.5,16.1594946569798,0.31999999999999995,0.3460833333333333,0.290738776270555,5.4,6.416666666666667,4.791709710014848,47.28,52.25833333333333,48.26344448395966,32.4,35.166666666666664,31.078115915031027,0.5198,0.5545,0.5468754875894032,18.2,18.141666666666666,20.438657724940306,15.6,15.25,17.55487250701395,42.8,41.0,41.026339706571385,0.49960000000000004,0.54525,0.5439534906038488,21.2,22.166666666666668,22.06444929916962,0.9452,0.9771666666666667,0.9372962962962964,9.4,6.25,9.319418336184075
2019-12-30,"Wintrust Arena, Chicago, Illinois",Seton Hall,DePaul,Away,31.8,7,20.0,6,100.0,80.0,24,0.383,64,0.344,22,0.313,20,0.85,17,2,200,89.2,34.2,13,21,66,16.2,12,0.328,21,0.238,5,54.4,37,0.449,15.2,13,43,0.395,17,0.857,12,53.1,52.97692307692308,54.651174636507164,14.4,15.153846153846153,15.296017808185674,13.52,16.76153846153846,11.39448443006844,5.0,5.769230769230769,4.141503948697976,87.7,86.87692307692308,91.13245383777317,71.86,73.36153846153846,73.5814935242106,23.0,25.846153846153847,23.219708302520885,0.49539999999999995,0.5332307692307693,0.5063891024591629,61.6,60.46153846153846,62.123889575700794,0.45119999999999993,0.4785384615384615,0.45827934051004726,27.6,28.76923076923077,28.237439339456312,0.4032,0.3555384615384615,0.4111145846857883,23.2,20.76923076923077,23.62454910328711,0.5936,0.6183076923076923,0.628026302073043,14.4,13.0,15.30431411953538,0.8,0.3076923076923077,0.8024691358024691,205.0,202.0,201.65476129993738,96.41999999999999,102.5,101.2131088869696,25.14,28.76923076923077,28.456334569594752,9.0,9.538461538461538,10.1657023074998,18.2,19.153846153846153,18.48285322359397,75.2,77.15384615384616,77.97366593845791,13.059999999999999,12.63076923076923,11.607927690938412,10.2,9.538461538461538,9.040965977408595,0.29800000000000004,0.31323076923076926,0.30100491493881737,18.4,18.923076923076923,18.772996437986535,0.29500000000000004,0.34830769230769226,0.3188258508470367,5.6,6.615384615384615,6.194473140009899,47.760000000000005,52.41538461538461,50.275629655973106,32.0,35.38461538461539,33.385410610020685,0.5196,0.551,0.5342503250596021,17.32,17.43846153846154,16.625771816626873,15.0,14.692307692307692,14.369915004675967,43.2,41.53846153846154,43.35089313771426,0.513,0.5385384615384615,0.5153023270692325,22.0,22.153846153846153,22.042966199446415,0.9298,0.9730000000000001,0.932530864197531,10.2,6.6923076923076925,10.21294555745605
2020-01-04,"Wintrust Arena, Chicago, Illinois",Providence,DePaul,Away,45.8,11,27.8,10,97.1,64.1,25,0.442,60,0.4,24,0.3,18,0.667,12,3,200,95.6,34.4,11,18,65,10.3,7,0.35,21,0.238,5,50.7,36,0.474,12.8,10,39,0.487,19,0.8,12,45.86,51.464285714285715,47.034116424338116,12.4,14.571428571428571,12.53067853879045,14.1,16.992857142857144,14.262989620045627,5.0,5.785714285714286,4.761002632465318,91.03999999999999,87.81428571428572,94.08830255851545,73.66,73.83571428571429,75.72099568280707,23.4,25.714285714285715,23.479805535013924,0.48460000000000003,0.5225000000000001,0.46525940163944196,61.8,60.714285714285715,62.74925971713387,0.4406,0.4689285714285714,0.42018622700669817,27.0,28.285714285714285,26.158292892970877,0.4086,0.35250000000000004,0.3784097231238589,23.6,20.714285714285715,22.416366068858075,0.6524,0.6348571428571429,0.7020175347153621,15.8,13.285714285714286,15.86954274635692,1.2,0.42857142857142855,1.2016460905349795,200.0,201.85714285714286,201.10317419995826,96.2,101.55,97.20873925797974,26.2,29.157142857142855,30.37088971306317,9.4,9.785714285714286,11.110468204999867,19.0,19.285714285714285,19.321902149062648,75.4,76.35714285714286,73.98244395897194,12.959999999999999,12.885714285714286,13.138618460625608,10.2,9.714285714285714,10.027310651605731,0.297,0.31428571428571433,0.31000327662587823,18.4,19.071428571428573,19.515330958657692,0.29500000000000004,0.3404285714285714,0.29188390056469116,5.6,6.5,5.796315426673267,49.08,52.55714285714286,51.65041977064874,32.8,35.5,34.59027374001379,0.5186,0.5437142857142857,0.5058335500397348,17.46,17.27857142857143,16.150514544417916,15.2,14.571428571428571,13.91327666978398,43.4,41.642857142857146,43.233928758476175,0.4968,0.5282857142857142,0.4752015513794884,21.4,21.785714285714285,20.36197746629761,0.9012,0.9647142857142857,0.9073539094650207,10.8,7.071428571428571,10.808630371637367
