date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Toledo,Drexel,Home,68.0,17,7.9,3,89.4,62.2,23,0.482,56,0.446,25,0.429,24,0.625,15,3,200.0,104.5,24.1,7,19,69,9.1,6,0.232,13.0,0.308,4.0,45.5,30,0.512,7.0,5,43.0,0.488,21.0,0.5,3,51.06,51.06,51.42716049382717,12.2,12.2,12.58024691358025,9.4,9.4,9.213580246913581,3.8,3.8,3.6666666666666674,90.28,90.28,88.09382716049384,68.38,68.38,69.89876543209878,25.2,25.2,25.765432098765437,0.4192,0.4192,0.43914814814814823,61.2,61.2,60.07407407407409,0.386,0.386,0.404320987654321,23.4,23.4,24.06172839506173,0.364,0.364,0.3613950617283951,22.2,22.2,21.629629629629633,0.619,0.619,0.6214074074074074,13.8,13.8,13.456790123456791,2.4,2.4,2.5061728395061733,205.0,205.0,204.9382716049383,91.76,91.76,93.56790123456793,37.519999999999996,37.519999999999996,36.024691358024704,12.8,12.8,11.703703703703706,25.6,25.6,25.49382716049383,64.8,64.8,65.90123456790124,10.419999999999998,10.419999999999998,10.482716049382718,7.4,7.4,7.4320987654321,0.2694,0.2694,0.2727283950617284,16.6,16.6,16.506172839506178,0.2332,0.2332,0.2390987654320988,4.2,4.2,4.320987654320989,52.660000000000004,52.660000000000004,53.18148148148149,38.0,38.0,37.46913580246914,0.45380000000000004,0.45380000000000004,0.47076543209876553,15.440000000000001,15.440000000000001,15.92345679012346,13.0,13.0,13.333333333333337,44.6,44.6,43.56790123456791,0.43360000000000004,0.43360000000000004,0.45624691358024694,19.2,19.2,19.740740740740744,0.13,0.13,0.18888888888888888,0.6,0.6,0.8888888888888888
2009-11-29,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Cornell,Drexel,Away,50.0,11,2.3,1,105.2,55.2,19,0.558,43,0.512,22,0.233,10,0.6,6,4,200.0,93.1,38.1,5,15,54,3.4,2,0.233,10.0,0.4,4.0,48.0,24,0.565,27.5,18,33.0,0.545,18.0,0.429,3,48.82000000000001,53.88333333333333,56.951440329218116,11.8,13.0,14.053497942386834,8.42,9.15,8.775720164609055,3.4,3.6666666666666665,3.444444444444445,89.38,90.13333333333334,88.5292181069959,65.98,67.35000000000001,67.33251028806586,25.0,24.833333333333332,24.84362139917696,0.43099999999999994,0.42966666666666664,0.4534320987654322,59.4,60.333333333333336,58.716049382716065,0.40140000000000003,0.39599999999999996,0.4182139917695474,23.6,23.666666666666668,24.37448559670782,0.3882,0.37483333333333335,0.38393004115226337,23.0,22.5,22.419753086419757,0.624,0.62,0.622604938271605,14.4,14.0,13.971193415637861,2.8,2.5,2.670781893004116,200.0,204.16666666666666,203.29218106995887,96.32000000000001,93.88333333333333,97.21193415637862,33.2,35.28333333333333,32.04979423868314,11.2,11.833333333333334,10.135802469135804,23.4,24.5,23.32921810699589,65.2,65.5,66.93415637860083,9.799999999999999,10.2,10.02181069958848,6.6,7.166666666666667,6.954732510288067,0.2512,0.26316666666666666,0.2591522633744856,15.0,16.0,15.337448559670786,0.22820000000000001,0.24566666666666667,0.2620658436213992,3.6,4.166666666666667,4.213991769547326,49.940000000000005,51.46666666666667,50.620987654321,36.2,36.666666666666664,34.979423868312765,0.46620000000000006,0.4635,0.48451028806584373,12.080000000000002,14.033333333333333,12.948971193415641,9.4,11.666666666666666,10.555555555555559,44.4,44.333333333333336,43.378600823045275,0.454,0.4426666666666667,0.4668312757201647,20.0,19.5,20.160493827160497,0.22999999999999998,0.19166666666666665,0.2925925925925926,1.2,1.0,1.5925925925925926
2009-12-02,"Wells Fargo Center, Philadelphia, Pennsylvania",Drexel,Villanova,Home,66.7,12,5.4,2,108.5,69.0,24,0.405,58,0.31,18,0.345,20,0.55,11,5,200.0,81.7,25.0,6,20,58,7.0,5,0.397,23.0,0.478,11.0,43.5,30,0.43,18.3,15,35.0,0.2,7.0,0.375,3,47.620000000000005,53.32857142857143,54.63429355281208,11.2,12.714285714285714,13.035665294924556,6.660000000000001,8.171428571428573,6.617146776406037,2.6,3.2857142857142856,2.6296296296296306,89.02000000000001,92.28571428571429,94.08614540466394,66.06,65.61428571428571,63.28834019204391,23.8,24.0,22.895747599451308,0.458,0.448,0.4882880658436215,55.0,57.857142857142854,53.47736625514405,0.42680000000000007,0.41257142857142853,0.44947599451303166,23.0,23.428571428571427,23.582990397805215,0.364,0.35457142857142854,0.33362002743484226,20.4,20.714285714285715,18.279835390946506,0.6222,0.6171428571428572,0.6150699588477367,12.8,12.857142857142858,11.314128943758575,3.2,2.7142857142857144,3.1138545953360772,200.0,203.57142857142858,202.19478737997258,95.5,93.77142857142857,95.84128943758576,33.1,35.68571428571429,34.06652949245543,9.2,10.857142857142858,8.423868312757204,21.8,23.142857142857142,20.552812071330592,62.2,63.857142857142854,62.62277091906723,9.08,9.228571428571428,7.814540466392321,6.0,6.428571428571429,5.303155006858712,0.24860000000000002,0.25885714285714284,0.25043484224965706,13.8,15.142857142857142,13.558299039780525,0.24559999999999998,0.26771428571428574,0.3080438957475995,3.4,4.142857142857143,4.142661179698218,50.24,50.971428571428575,49.74732510288067,33.0,34.857142857142854,31.319615912208512,0.48840000000000006,0.47800000000000004,0.5113401920438958,14.819999999999999,15.957142857142857,17.799314128943763,10.8,12.571428571428571,13.03703703703704,41.2,42.714285714285715,39.91906721536352,0.4814,0.4572857142857143,0.4928875171467765,19.6,19.285714285714285,19.440329218107,0.31579999999999997,0.22557142857142856,0.33806172839506177,1.8,1.2857142857142858,2.0617283950617287
2009-12-05,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Northeastern,Drexel,Home,57.9,11,10.8,4,87.0,63.6,17,0.453,43,0.442,19,0.326,14,0.714,10,5,200.0,90.7,38.5,7,22,49,14.8,8,0.186,8.0,0.125,1.0,50.0,24,0.493,23.4,15,35.0,0.514,18.0,0.444,4,53.9,55.0,58.65619570187473,12.4,12.625,12.690443529949706,6.659999999999999,7.825,6.211431184270692,2.6,3.125,2.419753086419754,93.14000000000001,94.3125,98.89076360310929,65.66,66.0375,65.19222679469596,23.8,24.0,23.26383173296754,0.4812,0.442625,0.46052537722908105,53.8,57.875,54.98491083676271,0.4356,0.39975,0.40298399634202114,23.2,22.75,21.721993598536812,0.3518,0.353375,0.33741335162322816,19.2,20.625,18.853223593964337,0.5860000000000001,0.60875,0.5933799725651578,11.2,12.625,11.209419295839052,3.6,3.0,3.7425697302240515,200.0,203.125,201.4631915866484,94.88000000000001,92.2625,91.12752629172385,29.72,34.35,31.04435299497029,7.2,10.25,7.615912208504803,20.0,22.75,20.368541380887063,62.6,63.125,61.08184727937815,8.059999999999999,8.95,7.543026977594881,5.4,6.25,5.202103337905808,0.2718,0.276125,0.29928989483310475,14.8,16.125,16.705532693187017,0.30779999999999996,0.294,0.36469593049839966,5.0,5.0,6.428440786465479,48.120000000000005,50.0375,47.664883401920456,31.0,34.25,30.879743941472345,0.501,0.47200000000000003,0.48422679469593055,16.78,16.25,17.966209419295843,12.4,12.875,13.691358024691361,39.0,41.75,38.279378143575684,0.46060000000000006,0.42512500000000003,0.39525834476451766,18.2,17.75,15.293552812071333,0.3908,0.24425,0.35037448559670786,2.4,1.5,2.374485596707819
2009-12-13,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Saint Francis (PA),Drexel,Home,72.7,16,7.7,3,57.4,69.4,26,0.427,55,0.4,22,0.291,16,0.625,10,5,200.0,93.4,48.3,13,17,57,9.8,6,0.273,15.0,0.2,3.0,60.0,39,0.455,16.2,12,40.0,0.475,19.0,0.5,5,59.64,55.32222222222222,58.40413046791649,13.2,12.444444444444445,12.126962353299804,6.82,8.155555555555557,7.740954122847128,2.6,3.2222222222222223,2.9465020576131695,95.7,93.5,94.92717573540621,64.0,65.76666666666667,64.6614845297973,22.4,23.22222222222222,21.17588782197836,0.483,0.4437777777777778,0.4580169181527207,51.6,56.22222222222222,50.989940557841805,0.43520000000000003,0.40444444444444444,0.41598933089468076,22.2,22.333333333333332,20.81466239902454,0.3356,0.35033333333333333,0.33360890108215213,17.6,19.88888888888889,17.235482395976227,0.6378,0.6204444444444444,0.6335866483767719,11.2,12.333333333333334,10.806279530559369,4.0,3.2222222222222223,4.161713153482701,200.0,202.77777777777777,200.9754610577656,95.44,92.08888888888889,90.98501752781591,31.139999999999997,34.81111111111111,33.529568663313526,6.6,9.88888888888889,7.410608139003203,20.2,22.666666666666668,20.912360920591375,60.8,61.55555555555556,57.05456485291877,8.6,9.600000000000001,9.962017985063255,5.4,6.444444444444445,6.1347355586038725,0.2682,0.26611111111111113,0.2615265965554032,14.2,15.222222222222221,13.80368846212468,0.3328,0.2752222222222222,0.28479728699893314,5.2,4.555555555555555,4.618960524310319,47.980000000000004,50.03333333333333,48.443255601280306,29.0,33.111111111111114,28.586495960981566,0.5096,0.47433333333333333,0.4871511964639537,18.279999999999998,17.044444444444444,19.77747294619723,13.0,13.11111111111111,14.127572016460908,37.4,41.0,37.18625209571712,0.4518,0.435,0.4348388965096785,17.0,17.77777777777778,16.195701874714224,0.42960000000000004,0.2664444444444445,0.3815829903978053,3.0,1.7777777777777777,2.9163237311385464
2009-12-18,"The Matadome, Northridge, California",Drexel,Cal State Northridge,Away,50.0,14,14.7,5,95.5,59.3,18,0.543,58,0.483,28,0.259,15,0.8,12,5,200.0,113.6,43.3,11,23,75,18.2,12,0.397,23.0,0.304,7.0,50.9,29,0.576,16.8,13,35.0,0.6,21.0,0.545,6,63.05999999999999,57.06,63.16942031194433,13.4,12.8,13.41797490219987,6.82,8.110000000000001,7.727302748564752,2.6,3.2,2.9643347050754465,89.5,89.89,82.41811715693748,63.879999999999995,66.13,66.24098968653155,21.8,23.5,22.783925214652243,0.465,0.44210000000000005,0.44767794543514716,51.0,56.1,52.32662703856121,0.422,0.404,0.41065955392978726,21.2,22.3,21.20977493268303,0.32480000000000003,0.3444,0.3194059340547681,16.8,19.5,16.823654930650818,0.6228,0.6209,0.6307244322511814,10.4,12.1,10.53751968703958,4.4,3.4,4.441142102321801,200.0,202.5,200.65030737184375,92.67999999999999,92.22,91.79001168521062,34.8,36.160000000000004,38.45304577554235,7.6,10.2,9.273738759335469,18.6,22.1,19.608240613727585,57.4,61.1,57.03637656861252,8.819999999999999,9.620000000000001,9.908011990042171,5.4,6.4,6.089823705735916,0.26420000000000005,0.26680000000000004,0.26535106437026884,13.8,15.2,14.202458974749787,0.3022,0.2677,0.25653152466595547,4.6,4.4,4.079307016206879,49.4,51.03,52.29550373418687,29.4,33.7,32.057663973987715,0.491,0.47240000000000004,0.4764341309759692,18.48,16.96,18.584981964131487,13.0,13.0,13.418381344307273,37.2,40.9,38.12416806381142,0.4444,0.43899999999999995,0.44822593100645236,16.6,17.9,17.13046791647615,0.44960000000000006,0.2898,0.4210553269318702,3.6,2.1,3.6108824874256977
2009-12-21,"Rupp Arena, Lexington, Kentucky",Drexel,Kentucky,Home,58.8,10,8.9,4,133.3,48.1,13,0.355,55,0.309,17,0.127,7,0.714,5,6,200.0,66.7,22.2,8,14,44,10.6,7,0.309,17.0,0.294,5.0,33.3,21,0.377,20.5,14,38.0,0.316,12.0,0.5,6,59.459999999999994,56.41818181818182,58.77961354129622,12.8,12.909090909090908,13.611983268133248,8.18,8.709090909090909,10.051535165709835,3.0,3.3636363636363638,3.642889803383631,90.72,90.4,86.77874477129166,63.3,65.50909090909092,63.927326457687705,20.8,23.0,21.18928347643483,0.4772,0.4512727272727273,0.47945196362343145,51.4,56.27272727272727,54.21775135904082,0.42940000000000006,0.41118181818181815,0.4347730359531915,21.8,22.818181818181817,23.473183288455353,0.29080000000000006,0.3366363636363636,0.2992706227031787,15.0,19.09090909090909,16.215769953767214,0.6577999999999999,0.6371818181818182,0.6871496215007876,9.8,12.090909090909092,11.025013124693054,4.8,3.5454545454545454,4.627428068214535,200.0,202.27272727272728,200.43353824789585,94.5,94.16363636363636,99.06000779014042,38.64,36.809090909090905,40.0686971836949,8.4,10.272727272727273,9.849159172890314,19.4,22.181818181818183,20.738827075818392,58.6,62.36363636363637,63.024251045741686,10.64,10.4,12.672007993361447,6.6,6.909090909090909,8.05988247049061,0.2972,0.2786363636363636,0.3092340429135126,15.8,15.909090909090908,17.13497264983319,0.3014,0.27099999999999996,0.27235434977730366,5.2,4.636363636363637,5.05287134413792,50.48,51.01818181818182,51.830335822791255,29.2,33.27272727272727,31.038442649325148,0.5038,0.4818181818181818,0.5096227539839795,20.44,16.945454545454545,17.989987976087658,14.6,13.0,13.278920896204848,35.6,40.36363636363637,37.082778709207616,0.46679999999999994,0.45363636363636367,0.498817287337635,16.6,18.181818181818183,18.420311944317433,0.4586,0.313,0.4623702179545802,4.2,2.4545454545454546,4.4072549916171315
2009-12-29,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Rhode Island,Drexel,Away,57.6,19,9.5,4,109.6,53.8,15,0.563,64,0.516,33,0.203,13,0.538,7,7,200.0,108.2,36.7,10,20,79,15.1,11,0.203,13.0,0.462,6.0,44.6,25,0.563,16.7,14,51.0,0.529,27.0,0.462,6,61.21999999999999,56.61666666666667,58.78640902753082,12.6,12.666666666666666,12.407988845422167,9.5,8.725,9.667690110473224,3.6,3.4166666666666665,3.7619265355890876,96.34,93.97500000000001,102.28582984752778,61.879999999999995,64.05833333333334,58.651550971791806,19.6,22.166666666666668,18.45952231762322,0.43660000000000004,0.44325,0.4379679757489543,53.8,56.166666666666664,54.47850090602722,0.3888,0.4026666666666667,0.392848690635461,20.8,22.333333333333332,21.315455525636903,0.26959999999999995,0.31916666666666665,0.24184708180211917,14.4,18.083333333333332,13.14384663584481,0.6806,0.6435833333333333,0.6960997476671917,9.6,11.5,9.016675416462036,5.2,3.75,5.084952045476356,200.0,202.08333333333334,200.28902549859725,89.22,91.875,88.27333852676028,35.46,35.59166666666667,34.11246478912994,9.0,10.083333333333334,9.232772781926876,19.2,21.5,18.49255138387893,56.6,60.833333333333336,56.68283403049446,12.080000000000002,10.416666666666666,11.981338662240965,7.6,6.916666666666667,7.706588313660407,0.3124,0.2811666666666667,0.3091560286090084,17.2,16.0,17.08998176655546,0.2802,0.27291666666666664,0.2795695665182025,5.4,4.666666666666667,5.035247562758613,47.54,49.541666666666664,45.65355721519417,28.6,32.25,27.6922950995501,0.4662,0.4730833333333333,0.46541516932265303,19.04,17.241666666666667,18.826658650725108,13.8,13.083333333333334,13.5192805974699,36.6,40.166666666666664,37.38851913947175,0.421,0.44216666666666665,0.43787819155842334,15.4,17.666666666666668,16.28020796287829,0.4728,0.32858333333333334,0.4749134786363869,4.8,2.75,4.938169994411421
2010-01-02,"Bob Carpenter Center, Newark, Delaware",Drexel,Delaware,Home,31.8,7,6.1,2,110.7,65.5,20,0.471,51,0.431,22,0.294,15,0.667,10,8,200.0,103.6,41.9,12,24,58,3.6,2,0.353,18.0,0.222,4.0,53.3,32,0.499,16.0,11,33.0,0.545,18.0,0.429,6,59.4,56.69230769230769,58.39093935168722,14.0,13.153846153846153,14.605325896948113,10.319999999999999,8.784615384615385,9.61179340698215,4.0,3.4615384615384617,3.8412843570593918,96.56000000000002,95.17692307692307,104.72388656501853,58.839999999999996,63.26923076923077,57.03436731452787,17.8,21.615384615384617,17.306348211748816,0.46819999999999995,0.4524615384615384,0.47964531716596953,55.0,56.76923076923077,57.652333937351486,0.43,0.41138461538461535,0.43389912709030737,23.8,23.153846153846153,25.210303683757935,0.2412,0.31023076923076925,0.22889805453474615,13.0,17.692307692307693,13.095897757229874,0.6782,0.6354615384615384,0.6433998317781279,8.8,11.153846153846153,8.344450277641357,5.6,4.0,5.723301363650904,200.0,201.92307692307693,200.19268366573152,94.52000000000001,93.13076923076923,94.9155590178402,37.8,35.676923076923075,34.97497652608663,9.8,10.076923076923077,9.48851518795125,19.2,21.384615384615383,18.995034255919286,60.8,62.23076923076923,64.12188935366298,13.7,10.776923076923076,13.020892441493977,8.8,7.230769230769231,8.804392209106938,0.27359999999999995,0.27515384615384614,0.273770685739339,15.2,15.76923076923077,15.726654511036976,0.277,0.2874615384615385,0.340379711012135,4.4,4.769230769230769,5.356831708505743,47.76,49.16153846153846,45.30237147679612,27.6,31.692307692307693,26.79486339970007,0.4928,0.48000000000000004,0.49794344621510206,18.72,17.2,18.11777243381674,13.6,13.153846153846153,13.679520398313267,39.8,41.0,41.9256794263145,0.4868,0.44884615384615384,0.4682521277056156,19.4,18.384615384615383,19.853471975252194,0.4902,0.33884615384615385,0.47060898575759125,5.4,3.0,5.292113329607615
2010-01-04,"GSU Sports Arena, Atlanta, Georgia",Drexel,Georgia State,Away,30.4,7,7.0,3,100.0,58.6,18,0.553,47,0.489,23,0.553,26,0.769,20,8,200.0,126.3,47.8,10,15,72,14.0,8,0.277,13.0,0.462,6.0,53.8,28,0.607,12.0,8,34.0,0.5,17.0,0.467,7,54.17999999999999,54.91428571428571,49.527292901124824,13.2,12.714285714285714,12.070217264632078,9.379999999999999,8.592857142857143,8.441195604654766,3.6,3.357142857142857,3.2275229047062615,101.30000000000001,96.28571428571429,106.71592437667903,59.220000000000006,63.42857142857143,59.85624487635192,18.4,21.5,18.20423214116588,0.4718,0.4537857142857143,0.47676354477731303,56.6,56.357142857142854,55.434889291567664,0.42779999999999996,0.41278571428571426,0.43293275139353826,24.4,23.071428571428573,24.140202455838626,0.23479999999999998,0.30907142857142855,0.2505987030231641,13.2,17.5,13.730598504819918,0.6688,0.6377142857142858,0.6512665545187519,8.8,11.071428571428571,8.896300185094239,6.2,4.285714285714286,6.482200909100603,200.0,201.78571428571428,200.12845577715436,97.1,93.87857142857142,97.81037267856013,38.480000000000004,36.121428571428574,37.28331768405775,10.8,10.214285714285714,10.325676791967501,19.6,21.571428571428573,20.663356170612857,62.6,61.92857142857143,62.08125956910865,11.459999999999999,10.264285714285714,9.880594960995985,7.6,6.857142857142857,6.5362614727379595,0.30700000000000005,0.28071428571428575,0.3001804571595593,17.2,15.928571428571429,16.484436340691317,0.2964,0.2827857142857143,0.3009198073414234,5.0,4.714285714285714,4.904554472337162,48.42,49.457142857142856,47.968247651197416,29.2,31.714285714285715,28.529908933133385,0.49399999999999994,0.4813571428571429,0.49829563081006806,17.240000000000002,17.114285714285714,17.41184828921116,12.8,13.0,12.786346932208845,39.4,40.42857142857143,38.95045295087634,0.493,0.4557142857142857,0.4938347518037438,19.4,18.357142857142858,19.235647983501465,0.48719999999999997,0.34528571428571425,0.4567393238383942,5.8,3.2142857142857144,5.528075553071743
