date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-27,"Madison Square Garden (IV), New York, New York",Duke,UConn,Away,47.6,10,12.7,7,79.7,62.2,27,0.324,74,0.284,21,0.338,25,0.8,20,0,200.0,91.9,53.2,21,23,68,8.1,6,0.243,18.0,0.333,6.0,57.1,48,0.396,12.4,9,56.0,0.268,15.0,1.0,6,57.239999999999995,57.239999999999995,57.40617283950618,17.8,17.8,17.543209876543212,12.540000000000001,12.540000000000001,12.851851851851855,5.2,5.2,5.222222222222222,83.44,83.44,84.2925925925926,66.12,66.12,66.57037037037038,26.4,26.4,25.530864197530867,0.5666,0.5666,0.5567777777777779,62.6,62.6,62.28395061728396,0.4948,0.4948,0.4874814814814815,31.2,31.2,30.604938271604944,0.3346,0.3346,0.31991358024691363,20.6,20.6,19.654320987654323,0.7854,0.7854,0.7914567901234568,16.0,16.0,15.382716049382719,0.0,0.0,0.0,200.0,200.0,200.0,125.67999999999999,125.67999999999999,122.95432098765434,49.78,49.78,49.320987654320994,13.0,13.0,12.592592592592595,18.2,18.2,18.679012345679013,87.8,87.8,85.67901234567901,8.22,8.22,7.729629629629631,5.8,5.8,5.456790123456792,0.3574,0.3574,0.3514691358024692,22.4,22.4,22.049382716049386,0.40119999999999995,0.40119999999999995,0.3863209876543211,9.4,9.4,9.086419753086423,58.46,58.46,58.171604938271614,39.4,39.4,38.12345679012346,0.602,0.602,0.5925185185185187,13.7,13.7,14.182716049382718,11.2,11.2,11.530864197530866,40.2,40.2,40.23456790123458,0.5424,0.5424,0.5334320987654322,21.8,21.8,21.518518518518526,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2009-12-02,"Kohl Center, Madison, Wisconsin",Duke,Wisconsin,Home,45.8,11,7.7,3,117.7,66.7,24,0.509,53,0.453,24,0.302,16,0.938,15,1,200.0,111.3,28.6,8,18,69,3.2,2,0.264,14.0,0.429,6.0,50.0,32,0.569,15.5,11,39.0,0.462,18.0,0.857,6,58.120000000000005,55.63333333333333,54.137448559670794,16.6,16.5,15.028806584362144,11.739999999999998,12.566666666666668,12.801234567901236,5.0,5.5,5.814814814814815,81.66,82.81666666666666,82.76172839506174,64.76,65.46666666666667,65.11358024691359,26.0,26.5,26.020576131687246,0.5008,0.5261666666666667,0.4791851851851853,65.0,64.5,66.18930041152265,0.43220000000000003,0.45966666666666667,0.4196543209876543,28.0,29.5,27.403292181069965,0.3376,0.33516666666666667,0.32594238683127574,21.6,21.333333333333332,21.43621399176955,0.7954,0.7878333333333334,0.7943045267489712,17.0,16.666666666666668,16.92181069958848,0.0,0.0,0.0,200.0,200.0,200.0,116.63999999999999,120.05,112.60288065843625,46.779999999999994,50.35,50.61399176954733,14.2,14.333333333333334,15.395061728395065,19.2,19.0,20.11934156378601,82.2,84.5,79.78600823045268,7.56,8.200000000000001,7.8530864197530885,5.4,5.833333333333333,5.637860082304528,0.348,0.3383333333333333,0.31531275720164614,22.4,21.666666666666668,20.69958847736626,0.39,0.3898333333333333,0.36854732510288074,9.2,8.833333333333334,8.057613168724282,56.11999999999999,58.23333333333333,57.814403292181076,40.2,40.833333333333336,41.41563786008231,0.5469999999999999,0.5676666666666667,0.5270123456790126,13.080000000000002,13.483333333333334,13.588477366255146,10.4,10.833333333333334,10.68724279835391,42.6,42.833333333333336,45.48971193415639,0.4596,0.49666666666666665,0.44495473251028816,18.8,20.666666666666668,19.345679012345684,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2009-12-05,"Cameron Indoor Stadium, Durham, North Carolina",St. John's (NY),Duke,Home,53.6,15,12.8,5,104.4,72.4,24,0.469,65,0.431,28,0.369,24,0.792,19,1,200.0,117.6,45.9,14,12,80,8.8,6,0.262,17.0,0.294,5.0,57.6,38,0.524,9.6,8,48.0,0.479,23.0,0.875,7,55.620000000000005,54.228571428571435,51.35829903978053,16.0,15.714285714285714,13.68587105624143,10.72,11.87142857142857,11.100823045267491,4.6,5.142857142857143,4.8765432098765435,89.88,87.8,94.40781893004117,65.8,65.64285714285714,65.64238683127573,25.8,26.142857142857142,25.347050754458166,0.5025999999999999,0.5237142857142857,0.4891234567901236,64.8,62.857142857142854,61.792866941015106,0.434,0.4587142857142857,0.43076954732510286,28.0,28.714285714285715,26.268861454046647,0.30920000000000003,0.33042857142857146,0.31796159122085055,20.0,20.571428571428573,19.6241426611797,0.8164,0.8092857142857143,0.8422030178326475,16.0,16.428571428571427,16.281207133058988,0.2,0.14285714285714285,0.3333333333333333,200.0,200.0,200.0,115.78,118.8,112.16858710562417,43.220000000000006,47.24285714285714,43.275994513031556,13.4,13.428571428571429,12.930041152263378,19.4,18.857142857142858,19.41289437585734,81.2,82.28571428571429,76.19067215363512,6.94,7.485714285714286,6.302057613168726,5.0,5.285714285714286,4.425240054869686,0.3156,0.32771428571428574,0.29820850480109745,20.6,20.571428571428573,18.466392318244175,0.4236,0.3954285714285714,0.38869821673525384,9.2,8.428571428571429,7.371742112482855,55.08,57.05714285714286,55.20960219478739,39.2,39.57142857142857,38.277091906721544,0.5476,0.5678571428571428,0.5410082304526751,13.040000000000001,13.771428571428572,14.225651577503431,10.2,10.857142857142858,10.791495198902608,44.2,42.285714285714285,43.32647462277093,0.4358000000000001,0.4917142857142857,0.4506364883401921,18.8,20.285714285714285,18.89711934156379,0.9714,0.9795714285714286,0.9523333333333334,4.8,3.857142857142857,4.842249657064473
2009-12-15,"Cameron Indoor Stadium, Durham, North Carolina",Gardner-Webb,Duke,Home,62.8,27,18.8,9,82.9,63.2,24,0.735,66,0.652,43,0.394,26,0.615,16,1,200.0,137.8,36.4,8,14,113,11.0,9,0.288,19.0,0.579,11.0,53.3,32,0.721,13.4,12,47.0,0.681,32.0,0.889,8,54.98,54.15,52.10553269318703,14.8,15.625,14.123914037494288,11.18,11.9875,11.667215363511662,4.8,5.125,4.91769547325103,95.02000000000001,89.875,97.73854595336078,66.00000000000001,66.4875,67.89492455418383,24.6,25.875,24.898033836305448,0.4736000000000001,0.516875,0.4824156378600824,63.8,63.125,62.86191129401007,0.4144,0.45525,0.43084636488340194,26.2,28.625,26.8459076360311,0.3144,0.33525,0.33497439414723373,20.0,21.0,21.082761774119803,0.8498000000000001,0.807125,0.8254686785550984,16.8,16.75,17.187471422039327,0.4,0.25,0.5555555555555556,200.0,200.0,200.0,112.35999999999999,118.64999999999999,113.97905807041613,43.82,47.075,44.15066300868771,13.2,13.5,13.28669410150892,18.2,18.0,16.941929583904894,77.0,82.0,77.46044810242341,6.840000000000001,7.65,7.134705075445818,4.8,5.375,4.950160036579791,0.308,0.3195,0.28613900320073166,19.8,20.125,17.97759487882945,0.36819999999999997,0.38275,0.3571321444901692,7.8,8.0,6.581161408321904,54.92,57.125,56.006401463191594,37.8,39.375,38.184727937814365,0.5284000000000001,0.562375,0.5353388203017835,12.959999999999999,13.25,12.683767718335622,10.0,10.5,9.860996799268406,44.0,43.0,44.88431641518062,0.4295999999999999,0.490125,0.4600909922267947,18.4,20.625,20.264746227709196,0.9464,0.9665,0.9265555555555556,5.6,4.25,5.561499771376315
2009-12-19,"Madison Square Garden (IV), New York, New York",Duke,Gonzaga,Away,59.3,16,15.9,7,56.9,73.8,33,0.5,60,0.45,27,0.333,20,0.8,16,1,200.0,105.6,35.7,8,22,76,9.7,7,0.3,18.0,0.333,6.0,58.6,41,0.547,15.9,13,42.0,0.5,21.0,0.9,9,53.260000000000005,55.111111111111114,55.67035512879136,15.2,16.88888888888889,18.41594269166286,13.440000000000001,12.744444444444445,14.044810242341109,5.8,5.555555555555555,6.27846364883402,93.24000000000001,89.1,92.79236396890721,66.74,66.12222222222222,66.32994970278922,23.8,25.666666666666668,24.598689224203635,0.4984,0.5411111111111111,0.566610425240055,62.6,63.44444444444444,63.907940862673385,0.4476,0.47711111111111115,0.5045642432556013,27.8,30.22222222222222,32.230605090687405,0.346,0.3417777777777778,0.35464959609815583,21.8,21.555555555555557,22.721841182746537,0.7846,0.7857777777777778,0.7553124523700656,16.8,16.666666666666668,16.791647614692884,0.6,0.3333333333333333,0.7037037037037037,200.0,200.0,200.0,111.42,120.77777777777777,121.9193720469441,41.1,45.888888888888886,41.567108672458474,12.2,12.88888888888889,11.52446273433928,17.6,17.555555555555557,15.96128638926993,78.8,85.44444444444444,89.30696540161561,6.840000000000001,8.022222222222222,8.42313671696388,5.0,5.777777777777778,6.300106691053195,0.2768,0.316,0.28675933546715443,17.2,20.0,18.3183965858863,0.37140000000000006,0.40455555555555556,0.43108809632677947,6.4,8.333333333333334,8.054107605547937,54.5,56.7,55.10426764212773,36.0,38.55555555555556,36.12315195854291,0.5428,0.58,0.597225880201189,13.820000000000002,13.266666666666667,12.92251181222375,10.8,10.666666666666666,10.573997866178939,45.4,43.44444444444444,45.58954427678708,0.4808,0.5113333333333334,0.5337273281511965,21.4,21.88888888888889,24.176497485139464,0.9242000000000001,0.9578888888888889,0.9140370370370371,6.4,4.666666666666667,6.374333180917544
2009-12-29,"Cameron Indoor Stadium, Durham, North Carolina",Long Beach State,Duke,Home,62.5,20,22.7,10,92.6,62.9,23,0.581,68,0.471,32,0.191,13,0.385,5,1,200.0,123.5,43.6,16,14,84,7.4,5,0.382,26.0,0.577,15.0,52.7,39,0.566,13.0,11,42.0,0.405,17.0,0.909,10,53.82000000000001,55.529999999999994,56.88023675252757,15.8,16.8,17.610628461108575,13.579999999999998,13.059999999999999,14.663206828227406,6.2,5.7,6.518975765889347,88.32000000000001,85.88,80.82824264593815,67.66,66.89,68.81996646852615,26.4,26.4,27.399126149469094,0.5074,0.537,0.5444069501600367,63.6,63.1,62.60529390844893,0.454,0.4744,0.4863761621704009,28.6,29.9,30.487070060458272,0.3472,0.34090000000000004,0.3474330640654372,22.2,21.4,21.814560788497694,0.7889999999999999,0.7872,0.7702083015800438,17.2,16.6,16.527765076461925,0.8,0.4,0.8024691358024691,200.0,200.0,200.0,112.84,119.25999999999999,116.47958136462941,39.96,44.87,39.611405781638986,11.8,12.4,10.349641822892854,17.8,18.0,17.974190926179954,81.2,84.5,84.87131026774375,8.16,8.190000000000001,8.848757811309254,6.0,5.9,6.53340446070213,0.2714,0.3144,0.2911728903114363,17.2,19.8,18.212264390590867,0.3936,0.3974,0.398392064217853,6.8,8.1,7.369405070365292,55.32000000000001,56.89,56.26951176141849,38.2,38.8,37.74876797236195,0.5514,0.5767,0.5804839201341261,13.36,13.530000000000001,13.915007874815835,10.6,10.9,11.382665244119293,46.4,43.3,44.393029517858054,0.47800000000000004,0.5102,0.5224848854341311,21.8,21.8,23.11766499009298,0.9042,0.9521000000000001,0.9093580246913582,7.2,5.1,7.24955545394503
2009-12-31,"Cameron Indoor Stadium, Durham, North Carolina",Penn,Duke,Home,66.7,24,5.3,2,72.4,69.2,27,0.683,60,0.6,36,0.667,40,0.8,32,1,200.0,150.0,57.7,15,10,114,17.1,13,0.35,21.0,0.476,10.0,64.6,42,0.722,13.4,12,39.0,0.667,26.0,0.917,11,56.8,56.16363636363636,58.753491168351715,17.8,17.09090909090909,18.40708564073905,15.580000000000002,13.936363636363637,17.342137885484938,6.8,6.090909090909091,7.6793171772595645,90.9,86.49090909090908,84.75216176395877,67.8,66.52727272727273,66.84664431235076,25.6,26.09090909090909,25.93275076631273,0.5588,0.5409999999999999,0.5566046334400245,62.4,63.54545454545455,64.4035292722993,0.49139999999999995,0.47409090909090906,0.4812507747802673,30.8,30.09090909090909,30.991380040305515,0.31779999999999997,0.32727272727272727,0.29528870937695817,19.8,20.636363636363637,18.876373858998463,0.7060000000000001,0.7506363636363637,0.641805534386696,14.2,15.545454545454545,12.685176717641284,1.0,0.45454545454545453,0.8683127572016462,200.0,200.0,200.0,119.16000000000001,119.64545454545454,118.81972090975296,38.040000000000006,44.75454545454546,40.940937187759324,10.8,12.727272727272727,12.233094548595236,16.0,17.636363636363637,16.649460617453304,84.4,84.45454545454545,84.58087351182917,8.02,8.118181818181817,8.365838540872836,5.8,5.818181818181818,6.022269640468087,0.2992,0.3205454545454545,0.32144859354095756,18.8,20.363636363636363,20.808176260393914,0.44239999999999996,0.4137272727272727,0.457928042811902,8.6,8.727272727272727,9.912936713576862,54.44,56.50909090909091,55.07967450761234,36.4,38.81818181818182,38.16584531490797,0.5854,0.5757272727272728,0.575655946756084,13.48,13.481818181818182,13.610005249877226,11.0,10.909090909090908,11.255110162746195,43.6,43.18181818181818,43.595353011905374,0.5054000000000001,0.5006363636363637,0.4833232569560874,22.2,21.363636363636363,21.078443326728653,0.8859999999999999,0.9481818181818181,0.9092386831275723,8.0,5.545454545454546,8.166370302630021
2010-01-03,"Cameron Indoor Stadium, Durham, North Carolina",Clemson,Duke,Home,50.0,12,9.1,3,77.9,69.7,23,0.563,48,0.5,24,0.521,25,0.8,20,1,200.0,108.8,28.6,6,19,74,8.8,6,0.375,18.0,0.333,6.0,53.7,29,0.618,20.3,15,30.0,0.6,18.0,0.923,12,60.98,57.041666666666664,61.40232744556781,20.4,17.666666666666668,20.271390427159368,15.1,13.216666666666667,13.328091923656626,6.6,5.75,5.786211451506377,81.84,85.31666666666666,80.63477450930586,68.3,66.75,67.63109620823384,26.2,26.166666666666668,26.288500510875156,0.5936,0.5528333333333334,0.5987364222933498,63.8,63.25,62.935686181532866,0.5208,0.4845833333333333,0.5208338498535116,33.2,30.583333333333332,32.66092002687034,0.3908,0.35558333333333336,0.4191924729179721,24.6,22.25,25.917582572665644,0.6784,0.75475,0.6945370229244641,17.6,16.916666666666668,19.12345114509419,1.0,0.5,0.9122085048010975,200.0,200.0,200.0,126.9,122.175,129.21314727316866,43.86,45.833333333333336,46.52729145850622,12.2,12.916666666666666,13.155396365730159,14.4,17.0,14.43297374496887,93.4,86.91666666666667,94.38724900788611,10.8,8.866666666666667,11.277225693915225,8.0,6.416666666666667,8.348179760312059,0.31639999999999996,0.323,0.33096572902730503,20.2,20.416666666666668,20.87211750692928,0.4518,0.41891666666666666,0.46395202854126805,9.4,8.833333333333334,9.941957809051242,57.35999999999999,57.18333333333334,58.253116338408226,38.4,39.083333333333336,39.443896876605315,0.616,0.5879166666666666,0.6244372978373893,13.059999999999999,13.475,13.540003499918152,11.2,11.0,11.50340677516413,43.6,42.833333333333336,42.06356867460359,0.5464,0.5145000000000001,0.544548837970725,23.8,21.75,22.718962217819104,0.898,0.9455833333333333,0.9118257887517149,9.0,6.0,9.11091353508668
2010-01-06,"United Center, Chicago, Illinois",Duke,Iowa State,Away,48.3,14,8.3,4,94.2,53.1,19,0.515,65,0.446,29,0.323,21,0.905,19,1,200.0,124.6,58.1,16,19,86,14.5,10,0.323,21.0,0.429,9.0,55.6,35,0.574,12.9,11,44.0,0.455,20.0,0.929,13,60.25999999999999,56.5,57.601551630378545,19.8,17.23076923076923,17.514260284772913,14.36,12.899999999999999,11.918727949104419,6.2,5.538461538461538,4.857474301004252,76.54,84.74615384615385,79.72318300620391,67.76,66.97692307692309,68.32073080548923,26.0,25.923076923076923,25.19233367391677,0.6123999999999999,0.5536153846153846,0.5868242815288999,60.4,62.07692307692308,57.95712412102191,0.5346,0.48576923076923073,0.5138892332356744,32.4,30.076923076923077,29.77394668458023,0.42119999999999996,0.36830769230769234,0.45312831527864816,24.8,22.46153846153846,25.61172171511043,0.68,0.7582307692307692,0.7296913486163095,17.8,17.153846153846153,19.415634096729462,1.0,0.5384615384615384,0.9414723365340651,200.0,200.0,200.0,125.14000000000001,121.14615384615385,122.40876484877911,40.4,44.50769230769231,40.55152763900415,10.6,12.384615384615385,10.770264243820106,15.8,17.153846153846153,15.955315829979249,92.2,85.92307692307692,87.59149933859075,10.8,8.861538461538462,10.451483795943485,8.0,6.384615384615385,7.565453173541373,0.33899999999999997,0.327,0.3456438193515367,20.4,20.23076923076923,19.91474500461952,0.4596,0.4123076923076923,0.42030135236084537,9.6,8.615384615384615,8.62797187270083,56.58,56.91538461538461,56.73541089227216,36.6,38.30769230769231,35.96259791773688,0.6348,0.5902307692307692,0.6222915318915929,15.2,14.0,15.793335666612101,12.6,11.307692307692308,12.66893785010942,40.0,41.84615384615385,38.042379116402394,0.5706,0.5210769230769231,0.56303255864715,22.8,21.46153846153846,21.145974811879405,0.9076000000000001,0.9438461538461538,0.9155505258344767,10.0,6.461538461538462,10.073942356724455
2010-01-09,"Alexander Memorial Coliseum, Atlanta, Georgia",Duke,Georgia Tech,Home,57.7,15,12.8,5,104.4,53.6,17,0.483,60,0.433,26,0.233,14,0.643,9,2,200.0,98.5,34.4,9,24,67,5.9,4,0.467,28.0,0.214,6.0,43.3,26,0.503,15.4,11,32.0,0.625,20.0,0.867,13,57.36,55.91428571428571,54.50103442025237,17.2,17.0,16.34284018984861,12.26,12.571428571428571,10.712485299402946,5.2,5.428571428571429,4.571649534002835,78.80000000000001,85.42142857142858,84.54878867080261,65.74,65.9857142857143,63.24715387032616,25.0,25.428571428571427,23.12822244927785,0.5683999999999999,0.5508571428571428,0.5628828543526,60.2,62.285714285714285,60.30474941401461,0.4934,0.48292857142857143,0.49125948882378295,29.6,30.0,29.515964456386826,0.40700000000000003,0.36507142857142855,0.40975221018576546,23.8,22.357142857142858,24.074481143406956,0.738,0.7687142857142858,0.7881275657442064,18.4,17.285714285714285,19.277089397819644,1.0,0.5714285714285714,0.9609815576893768,200.0,200.0,200.0,122.5,121.39285714285714,123.13917656585275,44.74,45.478571428571435,46.40101842600277,12.2,12.642857142857142,12.513509495880072,16.8,17.285714285714285,16.9702105533195,86.8,85.92857142857143,87.0609995590605,11.5,9.264285714285714,11.800989197295657,8.2,6.642857142857143,8.376968782360915,0.346,0.3267142857142857,0.33809587956769116,20.8,20.285714285714285,20.276496669746347,0.42960000000000004,0.4135,0.4232009015738969,9.2,8.642857142857142,8.75198124846722,57.04,56.82142857142857,56.356940594848105,37.2,38.07142857142857,35.64173194515792,0.6054,0.5890714285714286,0.6061943545943953,15.1,13.921428571428573,14.828890444408067,12.4,11.285714285714286,12.11262523340628,39.4,42.0,40.028252744268265,0.5254000000000001,0.5163571428571428,0.5270217057647667,20.4,21.357142857142858,20.763983207919605,0.9156000000000001,0.9427857142857142,0.9200336838896512,11.0,6.928571428571429,11.04929490448297
