date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-26,"Reese Court, Cheney, Washington",Belmont,Eastern Washington,Home,56.3,18,5.0,2,102.5,87.5,28,0.587,63,0.508,32,0.27,17,0.765,13,2,200,108.8,12.1,4,14,87,10.0,8,0.429,27,0.37,10,49.2,32,0.612,15.6,13,36,0.611,22,0.667,4,55.86,55.86,61.80000000000001,15.8,15.8,17.71604938271605,9.48,9.48,9.546913580246915,3.8,3.8,3.7777777777777786,82.47999999999999,82.47999999999999,83.80617283950617,70.74,70.74,66.83703703703705,27.0,27.0,25.44444444444445,0.5042,0.5042,0.5284320987654321,65.4,65.4,65.23456790123458,0.41720000000000007,0.41720000000000007,0.4312098765432099,27.6,27.6,28.35802469135803,0.306,0.306,0.3046172839506173,18.8,18.8,18.60493827160494,0.6824,0.6824,0.6810370370370371,13.2,13.2,13.148148148148149,1.0,1.0,1.2592592592592593,200.0,200.0,200.0,104.24000000000001,104.24000000000001,108.46913580246915,28.02,28.02,29.156790123456794,10.2,10.2,10.358024691358025,20.6,20.6,20.98765432098766,79.8,79.8,82.44444444444446,13.5,13.5,14.638271604938277,10.2,10.2,11.037037037037038,0.4852,0.4852,0.495530864197531,31.4,31.4,31.95061728395062,0.36360000000000003,0.36360000000000003,0.3950000000000001,11.4,11.4,12.580246913580249,49.2,49.2,47.850617283950626,37.2,37.2,35.802469135802475,0.5336000000000001,0.5336000000000001,0.5538641975308644,15.76,15.76,15.692592592592597,13.8,13.8,13.666666666666668,34.0,34.0,33.28395061728395,0.47240000000000004,0.47240000000000004,0.46637037037037044,16.2,16.2,15.77777777777778,0.7534,0.7534,0.7062222222222223,2.0,2.0,2.135802469135803
2019-12-04,"Alaska Airlines Arena, Seattle, Washington",Eastern Washington,Washington,Home,58.6,17,2.7,1,109.8,67.9,19,0.507,67,0.433,29,0.328,22,0.545,12,3,200,97.6,32.4,12,27,80,6.1,5,0.478,32,0.313,10,47.7,31,0.516,18.1,17,35,0.543,19,0.571,4,54.55999999999999,55.93333333333334,59.966666666666676,14.0,16.166666666666668,17.81069958847737,5.9,8.733333333333333,8.031275720164611,2.6,3.5,3.185185185185186,96.22,85.81666666666666,90.03744855967079,74.4,73.53333333333333,73.7246913580247,27.2,27.166666666666668,26.2962962962963,0.49339999999999995,0.5179999999999999,0.547954732510288,62.4,65.0,64.48971193415639,0.4086,0.4323333333333334,0.45680658436214,25.4,28.333333333333332,29.572016460905353,0.337,0.3,0.2930781893004116,20.4,18.5,18.06995884773663,0.6798,0.6961666666666666,0.7090246913580248,14.4,13.166666666666666,13.098765432098766,1.4,1.1666666666666667,1.5061728395061729,200.0,200.0,200.0,97.08,105.0,108.57942386831277,22.32,25.366666666666664,23.471193415637863,8.4,9.166666666666666,8.238683127572019,20.8,19.5,18.658436213991774,75.8,81.0,83.96296296296298,9.280000000000001,12.916666666666666,13.092181069958851,7.2,9.833333333333334,10.024691358024693,0.49400000000000005,0.47583333333333333,0.47335390946502065,30.8,30.666666666666668,30.30041152263375,0.34419999999999995,0.3646666666666667,0.3866666666666667,10.6,11.166666666666666,11.720164609053501,47.779999999999994,49.199999999999996,48.30041152263375,35.6,36.333333333333336,34.53497942386832,0.526,0.5466666666666666,0.5732427983539096,17.520000000000003,15.733333333333334,15.661728395061731,15.2,13.666666666666666,13.444444444444446,31.6,34.333333333333336,34.18930041152264,0.47379999999999994,0.4955,0.5145802469135803,14.8,17.166666666666668,17.851851851851855,0.6868000000000001,0.739,0.6931481481481483,2.6,2.3333333333333335,2.7572016460905355
2019-12-08,"Reese Court, Cheney, Washington",North Dakota,Eastern Washington,Home,42.9,18,12.5,5,100.0,78.4,29,0.575,80,0.525,42,0.1,8,0.75,6,3,200,119.5,20.6,7,19,98,13.4,11,0.275,22,0.364,8,50.7,36,0.585,6.7,6,58,0.586,34,0.625,5,61.94,56.31428571428571,59.51111111111112,16.4,16.285714285714285,17.540466392318248,4.4799999999999995,7.871428571428572,6.254183813443075,1.8,3.142857142857143,2.4567901234567913,101.67999999999999,89.24285714285715,96.6249657064472,71.98,72.72857142857143,71.78312757201647,23.8,26.0,23.864197530864203,0.5065999999999999,0.5164285714285713,0.5343031550068587,64.0,65.28571428571429,65.32647462277093,0.41719999999999996,0.43242857142857144,0.4488710562414267,26.6,28.428571428571427,29.38134430727024,0.2942,0.304,0.30471879286694104,18.4,19.0,19.379972565157754,0.6512,0.6745714285714285,0.6543497942386832,12.4,13.0,12.732510288065845,2.0,1.4285714285714286,2.004115226337449,200.0,200.0,200.0,98.1,103.94285714285715,104.91961591220853,24.36,26.37142857142857,26.44746227709191,9.2,9.571428571428571,9.492455418381347,21.6,20.571428571428573,21.438957475994517,77.0,80.85714285714286,82.64197530864199,10.0,11.942857142857145,10.761454046639235,7.8,9.142857142857142,8.34979423868313,0.48460000000000003,0.47614285714285715,0.4749026063100138,31.0,30.857142857142858,30.866941015089168,0.368,0.35728571428571426,0.36211111111111116,11.4,11.0,11.146776406035668,46.46,48.98571428571428,48.1002743484225,33.0,35.57142857142857,33.35665294924555,0.5294,0.5422857142857143,0.554161865569273,17.740000000000002,16.071428571428573,16.474485596707822,15.6,14.142857142857142,14.629629629629632,33.0,34.42857142857143,34.45953360768176,0.461,0.5022857142857143,0.5240534979423869,15.2,17.428571428571427,18.23456790123457,0.601,0.715,0.6524320987654322,3.0,2.5714285714285716,3.171467764060357
2019-12-13,"Reese Court, Cheney, Washington","Multnomah
			",Eastern Washington,Home,66.1,39,12.5,4,90.8,87.5,49,0.683,93,0.634,59,0.247,23,0.826,19,3,200,149.0,47.2,17,10,146,8.2,8,0.28,26,0.346,9,71.7,66,0.702,10.4,12,67,0.746,50,0.667,6,57.879999999999995,54.6375,53.97407407407408,17.6,16.5,17.6936442615455,6.38,8.45,8.336122542295383,2.6,3.375,3.3045267489711945,100.66,90.5875,97.74997713763148,72.17999999999999,73.4375,73.98875171467765,24.8,26.375,25.576131687242803,0.5469999999999999,0.5237499999999999,0.5478687700045725,67.4,67.125,70.21764974851396,0.46180000000000004,0.444,0.4742473708276178,31.2,30.125,33.5875628715135,0.257,0.2785,0.23647919524462738,16.4,17.625,15.586648376771837,0.6567999999999999,0.6839999999999999,0.6862331961591221,11.0,12.125,10.488340192043898,2.4,1.625,2.3360768175582995,200.0,200.0,200.0,106.62,105.8875,109.77974394147236,23.259999999999998,25.65,24.498308184727943,8.2,9.25,8.661636945587565,21.0,20.375,20.62597165066301,84.6,83.0,87.761316872428,10.620000000000001,12.125,11.640969364426159,8.4,9.375,9.233196159122087,0.457,0.451,0.40826840420667593,30.2,29.75,27.911294010059446,0.3716,0.358125,0.3627407407407408,11.2,10.625,10.097850937357112,47.239999999999995,49.2,48.96684956561501,33.0,35.625,34.23776863283037,0.5626,0.547625,0.5644412437128488,15.040000000000001,14.9,13.216323731138548,13.2,13.125,11.753086419753089,37.2,37.375,42.30635573845451,0.5242,0.51275,0.5447023319615912,20.0,19.5,23.489711934156382,0.5926,0.70375,0.6432880658436215,3.6,2.875,3.7809785093735715
2019-12-17,"Reese Court, Cheney, Washington",Omaha,Eastern Washington,Home,71.8,28,10.6,5,67.5,86.0,37,0.632,72,0.542,39,0.139,10,0.6,6,3,200,116.9,25.8,8,17,97,9.6,8,0.5,36,0.361,13,60.8,45,0.632,16.4,15,36,0.722,26,0.7,7,60.339999999999996,55.91111111111111,58.016049382716055,22.6,19.0,24.795762841030335,8.36,8.899999999999999,9.724081694863589,3.2,3.4444444444444446,3.536351165980797,100.36,90.61111111111111,95.43331809175433,74.26,75.0,78.49250114311843,29.2,28.88888888888889,33.384087791495205,0.5893999999999999,0.5414444444444445,0.5929125133363817,72.2,70.0,77.81176649900931,0.5132,0.4651111111111111,0.5274982472184119,37.8,33.333333333333336,42.05837524767567,0.28900000000000003,0.275,0.23998613016308495,19.8,18.22222222222222,18.05776558451456,0.722,0.6997777777777778,0.7328221307727482,14.2,12.88888888888889,13.325560128029267,2.6,1.7777777777777777,2.5573845450388664,200.0,200.0,200.0,118.97999999999999,110.67777777777778,122.85316262764826,29.119999999999997,28.044444444444444,32.06553878981863,10.2,10.11111111111111,11.441091297058378,19.2,19.22222222222222,17.08398110044201,100.2,90.0,107.17421124828533,10.2,11.68888888888889,10.493979576284106,8.4,9.222222222222221,8.822130772748059,0.40280000000000005,0.43200000000000005,0.3655122694711173,27.8,29.333333333333332,27.274196006706298,0.3724,0.35677777777777775,0.35716049382716053,10.4,10.444444444444445,9.731900624904743,52.4,51.7,56.54456637707668,39.4,39.0,44.82517908855358,0.6083999999999999,0.5647777777777778,0.6102941624752325,13.660000000000002,14.399999999999999,12.277549154092366,12.6,13.0,11.83539094650206,44.4,40.666666666666664,50.53757049230301,0.5896,0.5386666666666666,0.6118015546410609,27.4,22.88888888888889,32.32647462277092,0.6260000000000001,0.6996666666666667,0.6511920438957477,4.4,3.2222222222222223,4.520652339582382
2019-12-21,"McCarthey Athletic Center, Spokane, Washington",Eastern Washington,Gonzaga,Home,31.0,9,4.7,2,136.6,46.2,18,0.492,65,0.446,29,0.338,22,0.591,13,4,200,93.9,31.6,12,29,77,7.3,6,0.308,20,0.3,6,39.0,30,0.51,19.4,18,45,0.511,23,0.636,7,59.14,57.5,62.610699588477374,24.0,19.9,25.863841894020226,8.66,9.07,10.016054463242394,3.4,3.6,4.024234110653865,94.12,88.3,86.12221206116956,81.46000000000001,76.1,80.99500076207896,32.4,29.7,34.589391860996805,0.5968,0.5505,0.6059416755575879,75.0,70.2,75.87451099933955,0.5284,0.4728,0.5323321648122746,40.2,33.9,41.03891683178378,0.21680000000000002,0.26139999999999997,0.20632408677539,16.0,17.4,15.371843723009707,0.6971999999999999,0.6898,0.6885480871818321,11.2,12.2,10.883706752019512,2.8,1.9,2.704923030025911,200.0,200.0,200.0,118.35999999999999,111.3,120.86877508509885,27.619999999999997,27.82,29.97702585987909,9.6,9.9,10.294060864705585,17.4,19.0,17.055987400294676,101.6,90.7,103.7828074988569,9.46,11.48,10.195986384189405,8.0,9.1,8.54808718183204,0.39239999999999997,0.43879999999999997,0.4103415129807449,28.6,30.0,30.1827973378042,0.3508,0.3572,0.35844032921810703,10.0,10.7,10.821267083269829,56.02,52.61,57.96304425138445,42.0,39.6,44.88345272570239,0.6094,0.5715,0.6175294416501551,13.440000000000001,14.6,13.651699436061577,12.6,13.2,12.890260631001373,46.4,40.2,45.691713661535346,0.6416,0.557,0.6485343697607073,30.2,23.2,30.21764974851395,0.646,0.6997,0.6674613625971652,5.2,3.6,5.3471015597215885
2019-12-28,"Dee Events Center, Ogden, Utah",Eastern Washington,Weber State,Away,57.1,16,4.7,2,105.5,68.8,22,0.516,64,0.438,28,0.25,16,0.813,13,4,200,108.2,31.6,12,18,79,11.0,8,0.406,26,0.385,10,48.6,34,0.552,16.5,14,38,0.474,18,0.667,8,54.08,55.09090909090909,52.07379972565158,22.2,18.90909090909091,20.24256126268015,8.599999999999998,8.672727272727272,8.244036308828264,3.4,3.4545454545454546,3.3494894071025767,100.94,92.69090909090909,102.94814137411305,73.2,73.38181818181819,69.39666717471931,30.4,28.636363636363637,29.059594573997874,0.5778000000000001,0.5451818181818182,0.567961117038392,75.4,69.72727272727273,72.2496739995597,0.516,0.4703636363636364,0.5035547765415165,39.6,33.45454545454545,37.025944554522525,0.23040000000000002,0.26836363636363636,0.25021605785026,17.0,17.818181818181817,17.58122914867314,0.6624,0.6808181818181818,0.6560320581212215,11.2,12.272727272727273,11.589137834679676,3.2,2.090909090909091,3.1366153533506074,200.0,200.0,200.0,115.38,109.71818181818183,111.8791833900659,31.520000000000003,28.163636363636364,30.518017239919395,11.2,10.090909090909092,10.862707243137057,20.4,19.90909090909091,21.037324933529785,99.6,89.45454545454545,94.85520499923794,8.919999999999998,11.100000000000001,9.230657589459604,7.6,8.818181818181818,7.698724787888027,0.36819999999999997,0.4269090909090909,0.3762276753204966,27.2,29.09090909090909,26.788531558536135,0.3368,0.352,0.33896021947873806,9.2,10.272727272727273,9.21417805551322,53.980000000000004,51.372727272727275,51.64202950092297,41.6,38.72727272727273,39.92230181713493,0.5890000000000001,0.5659090909090909,0.5816862944334368,14.2,15.036363636363637,15.56779962404105,13.6,13.636363636363637,14.59350708733425,48.2,40.63636363636363,45.46114244102357,0.6216,0.5528181818181818,0.6026895798404717,30.4,23.181818181818183,27.811766499009302,0.6397999999999999,0.6939090909090909,0.6569742417314435,5.8,3.909090909090909,5.89806770648106
2019-12-30,"Reed Gym, Pocatello, Idaho",Eastern Washington,Idaho State,Home,40.7,11,6.9,2,104.2,77.3,17,0.462,65,0.415,27,0.262,17,0.529,9,5,200,95.8,22.2,8,19,69,9.7,7,0.369,24,0.25,6,43.1,25,0.472,11.0,9,41,0.512,21,0.615,8,53.779999999999994,55.25833333333333,53.74919981710106,22.0,18.666666666666668,18.828374175120103,9.0,8.341666666666667,7.062690872552176,3.6,3.3333333333333335,2.899659604735051,100.08,93.75833333333333,103.79876091607537,73.38,73.0,69.19777811647954,31.0,28.083333333333332,26.70639638266525,0.5796,0.54275,0.5506407446922614,74.8,69.25,69.49978266637314,0.517,0.4676666666666667,0.481703184361011,39.4,33.0,34.01729636968169,0.21479999999999996,0.2668333333333333,0.25014403856684003,15.8,17.666666666666668,17.054152765782092,0.716,0.6918333333333333,0.7083547054141477,11.4,12.333333333333334,12.059425223119785,3.4,2.25,3.4244102355670716,200.0,200.0,200.0,117.5,109.59166666666665,110.65278892671061,31.360000000000003,28.45,30.87867815994627,11.2,10.25,11.241804828758038,18.6,19.75,20.024883289019858,99.4,88.58333333333333,89.57013666615863,9.9,11.091666666666667,9.82043839297307,8.2,8.75,7.799149858592019,0.3538,0.4251666666666667,0.38615178354699775,26.0,28.833333333333332,26.525687705690757,0.3512,0.35474999999999995,0.3543068129858254,9.2,10.25,9.47611870367548,54.160000000000004,51.14166666666667,50.62801966728199,42.2,38.333333333333336,37.94820121142329,0.5962,0.56475,0.5717908629556245,13.88,15.158333333333333,15.878533082694036,13.0,13.666666666666666,14.395671391556167,48.8,40.416666666666664,42.97409496068238,0.6077999999999999,0.54625,0.5597930532269811,30.2,22.75,24.541177666006202,0.659,0.6916666666666668,0.6603161611542957,6.6,4.25,6.598711804320707
2020-01-04,"Reese Court, Cheney, Washington",Portland State,Eastern Washington,Home,60.0,18,13.5,7,95.8,75.0,33,0.533,61,0.492,30,0.164,10,0.6,6,5,200,98.6,19.4,6,18,71,4.2,3,0.41,25,0.2,5,52.0,39,0.54,15.5,12,36,0.694,25,0.643,9,53.339999999999996,54.138461538461534,49.39946654473404,20.6,18.076923076923077,16.218916116746737,7.88,8.23076923076923,7.008460581701451,3.0,3.230769230769231,2.5997730698233674,100.91999999999999,94.56153846153846,103.93250727738359,73.16,73.33076923076922,71.89851874431969,28.6,27.23076923076923,23.470930921776834,0.557,0.5365384615384615,0.521093829794841,71.8,68.92307692307692,67.99985511091543,0.495,0.46361538461538465,0.45946878957400733,36.4,32.53846153846154,31.678197579787795,0.2472,0.26646153846153847,0.2540960257112267,17.6,17.615384615384617,17.03610184385473,0.6718,0.6793076923076923,0.6485698036094318,12.0,12.076923076923077,11.039616815413192,3.8,2.4615384615384617,3.949606823711381,200.0,200.0,200.0,112.75999999999999,108.53076923076924,105.70185928447376,31.68,27.96923076923077,27.98578543996418,11.4,10.076923076923077,10.161203219172027,18.6,19.692307692307693,19.68325552601324,93.6,87.07692307692308,82.71342444410575,9.16,10.984615384615385,9.780292261982048,7.4,8.615384615384615,7.53276657239468,0.3726,0.42084615384615387,0.3804345223646652,26.4,28.46153846153846,25.68379180379384,0.32839999999999997,0.3466923076923077,0.3195378753238836,8.8,9.923076923076923,8.317412469116988,52.64000000000001,50.52307692307692,48.118679778187996,40.0,37.30769230769231,33.632134140948864,0.5736000000000001,0.5576153846153846,0.5385272419704163,14.739999999999998,14.838461538461539,14.252355388462691,13.6,13.307692307692308,12.597114261037445,45.4,40.46153846153846,42.31606330712159,0.593,0.5436153846153846,0.5438620354846542,27.6,22.615384615384617,23.360785110670804,0.657,0.6857692307692307,0.6452107741028639,7.2,4.538461538461538,7.065807869547138
2020-01-09,"Reese Court, Cheney, Washington",Montana,Eastern Washington,Away,61.9,13,2.1,1,120.0,69.2,18,0.418,55,0.382,21,0.527,29,0.586,17,6,200,84.0,19.4,7,22,63,10.7,8,0.255,14,0.286,4,40.3,25,0.458,17.1,14,41,0.415,17,0.6,9,52.120000000000005,54.55714285714286,52.93297769648937,16.4,18.071428571428573,16.812610744497825,8.08,8.607142857142858,9.172307054467634,3.6,3.5,4.066515379882245,101.91999999999999,94.64999999999999,101.22167151825573,70.66,73.45,72.93234582954646,25.4,27.642857142857142,26.647287281184557,0.527,0.5362857142857143,0.5250625531965607,65.4,68.35714285714286,65.66657007394363,0.4666,0.46564285714285714,0.47031252638267157,30.6,32.357142857142854,31.1187983865252,0.2306,0.2591428571428572,0.2240640171408178,15.0,17.071428571428573,14.690734562569823,0.6266,0.6736428571428571,0.6323798690729546,9.4,11.642857142857142,9.359744543608794,4.2,2.642857142857143,4.299737882474254,200.0,200.0,200.0,102.67999999999999,107.82142857142857,103.33457285631584,26.119999999999997,27.357142857142858,25.12385695997612,9.2,9.785714285714286,8.774135479448018,20.2,19.571428571428573,19.122170350675496,78.6,85.92857142857143,78.80894962940384,8.36,10.5,7.920194841321365,6.4,8.214285714285714,6.021844381596454,0.3986,0.4200714285714286,0.3902896815764435,26.2,28.214285714285715,25.455861202529228,0.2992,0.3362142857142857,0.2796919168825891,8.0,9.571428571428571,7.211608312744659,48.7,50.628571428571426,49.41245318545867,34.6,37.42857142857143,35.42142276063258,0.5412000000000001,0.5563571428571429,0.5390181613136109,15.76,14.885714285714286,14.668236925641795,13.6,13.214285714285714,12.398076174024965,39.2,40.142857142857146,40.2107088714144,0.5826,0.5543571428571429,0.5939080236564361,22.6,22.785714285714285,23.907190073780537,0.6522,0.6827142857142857,0.6444738494019093,7.8,4.857142857142857,7.710538579698093
