date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-12-02,"UNF Arena , Jacksonville, Florida",FLORIDA-GULF-COAST,NORTH-FLORIDA,Home,33.3,8,2.7,1,108.0,54.8,17,0.41,67,0.358,24,0.448,30,0.633,19,4,200.0,98.7,36.2,17,24,74,13.3,10,0.299,20.0,0.35,7.0,43.6,34,0.455,11.1,10,47.0,0.362,17.0,0.333,2,48.6,48.6,48.69012345679013,11.6,11.6,11.17283950617284,3.88,3.88,3.501234567901236,1.2,1.2,1.0617283950617287,106.88,106.88,111.64814814814817,61.2,61.2,58.62345679012346,19.4,19.4,17.814814814814817,0.43759999999999993,0.43759999999999993,0.43028395061728403,56.2,56.2,56.48148148148149,0.404,0.404,0.388925925925926,22.8,22.8,22.024691358024693,0.5776,0.5776,0.5378765432098767,32.0,32.0,29.888888888888893,0.6208,0.6208,0.6178765432098767,19.6,19.6,18.271604938271608,1.6,1.6,1.888888888888889,200.0,200.0,200.0,89.26,89.26,89.03333333333336,35.519999999999996,35.519999999999996,36.29012345679013,12.4,12.4,12.60493827160494,19.4,19.4,19.111111111111114,69.0,69.0,67.0493827160494,10.52,10.52,10.601234567901237,8.2,8.2,8.111111111111112,0.2716,0.2716,0.29704938271604947,15.2,15.2,16.765432098765434,0.23879999999999998,0.23879999999999998,0.26864197530864203,3.8,3.8,4.728395061728396,47.56,47.56,46.522222222222226,31.8,31.8,30.41975308641976,0.4808,0.4808,0.4725555555555556,21.759999999999998,21.759999999999998,21.418518518518525,19.6,19.6,19.086419753086425,41.0,41.0,39.71604938271605,0.4526,0.4526,0.4289135802469137,19.0,19.0,17.296296296296298,0.41340000000000005,0.41340000000000005,0.392641975308642,1.4,1.4,1.5061728395061729
2010-12-04,"Jacksonville Veteran's Memorial Arena, Jacksonville, Florida",FLORIDA-GULF-COAST,JACKSONVILLE,Home,52.9,9,4.3,2,89.9,65.9,27,0.314,59,0.288,17,0.475,28,0.679,19,5,200.0,70.9,30.2,13,20,56,12.7,10,0.339,20.0,0.15,3.0,47.6,40,0.387,21.0,19,39.0,0.359,14.0,0.286,2,47.02,46.050000000000004,43.56008230452676,11.8,11.0,10.115226337448561,2.3600000000000003,3.6833333333333336,3.234156378600824,0.8,1.1666666666666667,1.0411522633744859,105.02000000000001,107.06666666666666,110.43209876543212,62.88000000000001,60.13333333333333,57.34897119341564,20.2,19.0,17.543209876543212,0.4436,0.433,0.42352263374485605,59.6,58.0,59.98765432098766,0.4076000000000001,0.39633333333333337,0.37861728395061733,24.2,23.0,22.683127572016463,0.5311999999999999,0.5559999999999999,0.5079176954732512,31.2,31.666666666666668,29.92592592592593,0.618,0.6228333333333333,0.6229176954732512,19.0,19.5,18.514403292181072,2.2,2.0,2.5925925925925926,200.0,200.0,200.0,93.0,90.83333333333333,92.25555555555559,35.12,35.63333333333333,36.260082304526755,13.2,13.166666666666666,14.069958847736627,19.8,20.166666666666668,20.740740740740744,71.8,69.83333333333333,69.36625514403293,10.78,10.983333333333334,11.500823045267492,8.4,8.5,8.740740740740742,0.26339999999999997,0.27616666666666667,0.29769958847736633,15.8,16.0,17.843621399176957,0.2618,0.25733333333333336,0.295761316872428,4.4,4.333333333333333,5.48559670781893,47.9,46.9,45.54814814814815,33.4,32.166666666666664,31.61316872427984,0.481,0.4765,0.4667037037037038,18.92,19.983333333333334,17.979012345679017,17.2,18.0,16.057613168724284,43.8,42.0,42.144032921810705,0.4462,0.4375,0.40660905349794246,19.8,18.666666666666668,17.19753086419753,0.48,0.39999999999999997,0.37276131687242803,1.8,1.5,1.6707818930041154
2010-12-15,"Value City Arena, Columbus, Ohio",FLORIDA-GULF-COAST,OHIO-STATE,Home,75.0,15,2.6,1,118.6,62.5,20,0.522,46,0.435,20,0.283,13,0.538,7,6,200.0,78.6,14.8,4,11,55,7.1,5,0.457,21.0,0.381,8.0,40.7,24,0.527,29.8,22,25.0,0.48,12.0,0.25,2,45.48,47.028571428571425,46.67338820301784,9.6,10.714285714285714,9.743484224965709,2.8,3.7714285714285714,3.589437585733883,1.0,1.2857142857142858,1.3607681755829906,103.97999999999999,104.61428571428571,103.58806584362142,62.54,60.957142857142856,60.19931412894377,20.6,20.142857142857142,20.695473251028808,0.3912,0.416,0.38701508916323735,59.6,58.142857142857146,59.65843621399178,0.35340000000000005,0.38085714285714284,0.3484115226337449,21.0,22.142857142857142,20.788751714677645,0.511,0.5444285714285714,0.4969451303155008,30.0,31.142857142857142,29.283950617283956,0.6302,0.6308571428571429,0.6416117969821675,18.6,19.428571428571427,18.676268861454048,3.0,2.4285714285714284,3.3950617283950617,200.0,200.0,200.0,85.48,87.98571428571428,85.13703703703706,33.660000000000004,34.857142857142854,34.240054869684506,13.4,13.142857142857142,13.713305898491086,19.4,20.142857142857142,20.49382716049383,65.2,67.85714285714286,64.91083676268863,11.120000000000001,11.228571428571428,11.900548696844995,8.6,8.714285714285714,9.160493827160495,0.3006,0.28514285714285714,0.31146639231824425,18.0,16.571428571428573,18.562414266117973,0.2474,0.242,0.24717421124828534,4.6,4.142857142857143,4.657064471879287,46.7,47.0,46.232098765432106,34.0,33.285714285714285,34.408779149519894,0.43999999999999995,0.4637142857142857,0.4401358024691359,19.2,20.12857142857143,18.98600823045268,17.4,18.142857142857142,17.038408779149524,41.6,41.57142857142857,41.09602194787381,0.394,0.42628571428571427,0.3907393689986283,16.4,18.0,16.131687242798357,0.4372,0.38371428571428573,0.34384087791495205,2.0,1.5714285714285714,1.7805212620027437
2010-12-18,"John F. Savage Hall, Toledo, Ohio",FLORIDA-GULF-COAST,TOLEDO,Home,68.2,15,13.8,4,111.9,74.2,23,0.409,66,0.333,22,0.212,14,0.643,9,7,200.0,94.0,31.8,14,21,63,13.4,9,0.439,29.0,0.345,10.0,49.3,37,0.434,8.8,7,37.0,0.324,12.0,0.222,2,51.779999999999994,50.525,56.11559213534523,10.6,11.25,11.49565614997714,2.52,3.625,3.2596250571559224,1.0,1.25,1.240512117055327,110.2,106.3625,108.59204389574762,60.92,61.15,60.96620941929585,19.8,20.125,20.463648834019207,0.40679999999999994,0.42925,0.43201005944215826,58.0,56.625,55.105624142661185,0.35520000000000007,0.387625,0.37727434842249663,20.4,21.875,20.525834476451763,0.39719999999999994,0.51175,0.42563008687700055,23.4,28.875,23.855967078189305,0.6248,0.61925,0.6070745313214451,14.8,17.875,14.784179240969365,4.0,2.875,4.263374485596708,200.0,200.0,200.0,82.7,86.8125,82.95802469135805,29.440000000000005,32.35,27.760036579789674,11.4,12.0,10.475537265660726,17.8,19.0,17.32921810699589,61.4,66.25,61.6072245084591,11.040000000000001,10.7125,10.300365797896664,8.4,8.25,7.7736625514403315,0.3512,0.30662500000000004,0.3599775948788295,20.0,17.125,19.37494284407865,0.2872,0.259375,0.2917828074988569,5.8,4.625,5.771376314586192,44.42,46.2125,44.388065843621405,31.2,32.125,30.939186099679933,0.4478,0.47162499999999996,0.469090534979424,20.92,21.3375,22.59067215363512,17.8,18.625,18.69227251943302,38.0,39.5,35.73068129858254,0.39239999999999997,0.433,0.4204929126657522,14.6,17.25,14.754458161865573,0.3538,0.367,0.3125605852766347,2.0,1.625,1.8536808413351626
2010-12-21,"Alico Arena, Fort Myers, Florida",NORTH-CAROLINA-CENTRAL,FLORIDA-GULF-COAST,Home,67.6,23,5.4,2,91.9,85.7,24,0.658,60,0.567,34,0.2,12,0.667,8,7,200.0,117.6,36.0,9,16,87,10.8,8,0.35,21.0,0.524,11.0,62.3,33,0.662,21.6,18,39.0,0.59,23.0,0.3,3,57.42,52.48888888888889,60.14372809023016,12.4,11.666666666666666,12.663770766651428,4.68,4.7555555555555555,6.773083371437282,1.6,1.5555555555555556,2.160341411370218,110.9,106.97777777777777,109.69469593049843,61.1,62.599999999999994,65.37747294619723,20.0,20.444444444444443,21.30909922267947,0.43439999999999995,0.427,0.4243400396281055,59.4,57.666666666666664,58.737082761774126,0.37100000000000005,0.3815555555555556,0.36251623228166446,21.8,21.88888888888889,21.017222984301178,0.36839999999999995,0.47844444444444445,0.3544200579180004,22.0,27.22222222222222,20.57064471879287,0.6106,0.6218888888888889,0.6190496875476301,13.6,16.88888888888889,12.856119493979579,5.0,3.3333333333333335,5.175582990397805,200.0,200.0,200.0,90.17999999999999,87.61111111111111,86.63868312757204,31.7,32.28888888888889,29.106691053193117,12.6,12.222222222222221,11.650358177107151,19.2,19.22222222222222,18.552812071330592,64.6,65.88888888888889,62.0714830056394,11.32,11.011111111111111,11.333577198597776,8.2,8.333333333333334,8.182441700960222,0.37460000000000004,0.3213333333333333,0.38631839658588635,22.0,18.444444444444443,22.58329522938577,0.33520000000000005,0.2688888888888889,0.3095218716659046,7.4,5.222222222222222,7.180917543057461,45.58,46.55555555555556,46.02537722908094,32.6,32.666666666666664,32.95945739978662,0.4664,0.46744444444444444,0.4573936899862827,17.479999999999997,19.944444444444443,17.99378143575675,14.4,17.333333333333332,14.794848346288681,37.4,39.22222222222222,36.153787532388364,0.3922,0.42088888888888887,0.3883286084438348,14.4,16.666666666666668,13.836305441243717,0.2982,0.35088888888888886,0.2823737235177565,2.0,1.6666666666666667,1.902453894223442
2010-12-27,"Alico Arena, Fort Myers, Florida",IUPUI,FLORIDA-GULF-COAST,Away,48.0,12,3.2,1,110.1,80.0,20,0.443,61,0.41,25,0.197,12,0.75,9,8,200.0,91.3,32.4,11,11,63,10.1,7,0.279,17.0,0.235,4.0,52.5,31,0.472,17.4,14,44.0,0.477,21.0,0.273,3,59.4,54.0,62.629152060153444,14.0,12.8,16.109180511100952,5.76,4.82,6.315388914291521,2.0,1.6,2.1068942742468124,104.06000000000002,105.47,103.7631306203323,68.62,64.91,72.15164863079816,22.2,20.8,22.206066148452983,0.46259999999999996,0.45009999999999994,0.5022266930854037,59.6,57.9,59.158055174516086,0.3962,0.4001,0.4306774881877763,23.4,23.1,25.344815322867454,0.3236,0.4506,0.30294670527866696,19.4,25.7,17.713763145861915,0.632,0.6264000000000001,0.6350331250317535,12.4,16.0,11.237412995986386,5.8,3.7,5.783721993598537,200.0,200.0,200.0,91.96000000000001,90.61,96.95912208504802,29.8,32.660000000000004,31.40446070212875,11.4,11.9,10.766905451404767,18.4,18.9,17.701874714220395,67.0,68.0,70.38098867042626,11.459999999999999,10.99,11.155718132398519,8.4,8.3,8.121627800640148,0.37679999999999997,0.3242,0.3742122643905909,22.2,18.7,22.055530152923847,0.35,0.2944,0.3810145811106031,7.8,5.8,8.453945028704975,48.7,48.13,51.45025148605396,33.6,32.7,32.97297159985775,0.493,0.4869,0.5255957933241886,18.46,20.11,19.1958542905045,15.2,17.4,15.863232230859122,37.4,39.2,37.10252502159224,0.42299999999999993,0.4378,0.4555524056292232,15.6,17.3,16.89087029416248,0.2782,0.3458,0.2882491490118377,2.2,1.8,2.2683025961489616
2011-01-03,"Alico Arena, Fort Myers, Florida",BELMONT,FLORIDA-GULF-COAST,Away,66.7,10,9.1,3,118.6,54.5,12,0.434,38,0.395,15,0.632,24,0.75,18,9,200.0,72.9,28.0,7,22,51,2.9,2,0.263,10.0,0.3,3.0,40.4,19,0.516,34.0,25,28.0,0.429,12.0,0.25,3,62.339999999999996,53.45454545454545,57.7527680401023,14.8,12.727272727272727,14.739453674067303,5.86,4.672727272727273,5.2769259428610145,2.0,1.5454545454545454,1.7379295161645416,104.47999999999999,105.89090909090909,105.87542041355488,73.66,66.28181818181818,74.76776575386545,22.8,20.727272727272727,21.470710765635324,0.4692,0.44945454545454544,0.48248446205693585,58.4,58.18181818181818,59.77203678301073,0.4066000000000001,0.401,0.4237849921251842,23.6,23.272727272727273,25.229876881911636,0.2734,0.42754545454545456,0.26763113685244466,15.8,24.454545454545453,15.80917543057461,0.6554,0.6376363636363637,0.6733554166878357,10.4,15.363636363636363,10.491608663990924,6.6,4.090909090909091,6.522481329065691,200.0,200.0,200.0,90.47999999999999,90.67272727272727,95.07274805669869,29.04,32.63636363636363,31.7363071347525,10.2,11.818181818181818,10.844603634269845,15.8,18.181818181818183,15.46791647614693,64.8,67.54545454545455,67.92065911361752,10.82,10.909090909090908,10.80381208826568,7.8,8.181818181818182,7.747751867093433,0.3728,0.3200909090909091,0.34247484292706065,21.6,18.545454545454547,20.370353435282567,0.327,0.289,0.33234305407373543,7.2,5.636363636363637,6.969296685803317,50.480000000000004,48.527272727272724,51.80016765736931,33.0,32.54545454545455,32.31531439990517,0.49639999999999995,0.48554545454545456,0.5077305288827925,19.72,19.863636363636363,18.597236193669666,16.0,17.09090909090909,15.242154820572749,36.8,39.63636363636363,39.40168334772817,0.446,0.44136363636363635,0.4627016037528155,16.4,17.636363636363637,18.26058019610832,0.2662,0.3391818181818182,0.28316609934122516,2.4,1.9090909090909092,2.5122017307659745
2011-01-05,"Alico Arena, Fort Myers, Florida",LIPSCOMB,FLORIDA-GULF-COAST,Away,50.0,12,0.0,0,100.0,77.8,21,0.482,56,0.429,24,0.357,20,0.35,7,10,200.0,81.3,18.2,6,25,61,8.0,6,0.357,20.0,0.3,6.0,45.0,27,0.466,19.8,16,36.0,0.5,18.0,0.231,3,65.1,54.55833333333334,60.735178693401544,15.0,12.5,13.159635782711536,6.82,5.041666666666667,6.551283961907343,2.2,1.6666666666666667,2.1586196774430277,110.22,106.95,110.11694694236992,71.38,65.3,68.0118438359103,19.8,20.0,18.31380717709022,0.4932,0.44816666666666666,0.4663229747046239,54.2,56.5,52.51469118867382,0.42800000000000005,0.4005,0.41418999475012286,23.2,22.583333333333332,21.819917921274428,0.3048,0.44458333333333333,0.3890874245682965,15.0,24.416666666666668,18.53945028704974,0.6696000000000001,0.647,0.6989036111252238,10.2,15.583333333333334,12.99440577599395,7.4,4.5,7.348320886043795,200.0,200.0,200.0,90.88,89.19166666666666,87.68183203779913,28.6,32.25,30.490871423168336,9.0,11.416666666666666,9.563069089513231,16.2,18.5,17.645277650764623,63.8,66.16666666666667,62.28043940907835,8.86,10.241666666666667,8.169208058843788,6.2,7.666666666666667,5.831834578062289,0.35760000000000003,0.31533333333333335,0.31598322861804046,19.6,17.833333333333332,16.913568956855045,0.357,0.28991666666666666,0.32156203604915695,7.2,5.416666666666667,5.646197790535545,49.04,47.85,48.00011177157954,28.8,31.416666666666668,27.876876266603446,0.5222,0.48808333333333337,0.510487019255195,22.32,21.041666666666668,23.731490795779777,17.2,17.75,18.49476988038183,34.6,38.666666666666664,35.60112223181878,0.45999999999999996,0.4403333333333333,0.4514677358352104,16.0,17.166666666666668,16.173720130738882,0.259,0.33175,0.2721107328941501,2.6,2.0,2.6748011538439833
2011-01-08,"Memorial Center, Johnson City, Tennessee",FLORIDA-GULF-COAST,EAST-TENNESSEE-STATE,Home,45.5,10,7.5,3,115.1,62.5,15,0.405,63,0.349,22,0.381,24,0.583,14,11,200.0,89.0,25.5,12,21,65,8.2,6,0.397,25.0,0.28,7.0,38.0,27,0.437,13.0,11,38.0,0.395,15.0,0.214,3,60.1,54.20769230769231,57.15678579560103,14.4,12.461538461538462,12.773090521807692,6.3,4.653846153846154,4.367522641271562,2.0,1.5384615384615385,1.4390797849620187,106.5,106.41538461538462,106.74463129491329,74.44,66.26153846153846,71.27456255727353,20.0,20.076923076923077,19.209204784726815,0.4852,0.4507692307692307,0.47154864980308264,56.2,56.46153846153846,53.67646079244922,0.42680000000000007,0.40269230769230774,0.4191266631667486,24.0,22.692307692307693,22.546611947516286,0.3196,0.4378461538461539,0.37839161637886437,16.4,24.076923076923077,19.026300191366495,0.632,0.6241538461538462,0.5826024074168159,10.2,14.923076923076923,10.9962705173293,8.2,4.923076923076923,8.232213924029196,200.0,200.0,200.0,91.42,88.58461538461538,85.55455469186609,29.28,31.16923076923077,26.393914282112227,9.4,11.0,8.37537939300882,19.0,19.0,20.096851767176418,65.0,65.76923076923077,61.8536262727189,9.040000000000001,10.069230769230769,8.112805372562526,6.4,7.538461538461538,5.887889718708193,0.3376,0.31853846153846155,0.3296554857453603,19.4,18.0,17.942379304570032,0.34079999999999994,0.2906923076923077,0.31437469069943796,6.8,5.461538461538462,5.764131860357031,49.9,47.63076923076923,47.00007451438636,29.4,31.076923076923077,27.584584177735632,0.51,0.4863846153846154,0.4956580128367967,20.32,20.946153846153848,22.420993863853184,16.0,17.615384615384617,17.663179920254557,36.8,38.46153846153846,35.73408148787919,0.46399999999999997,0.4449230769230769,0.46764515722347366,17.2,17.23076923076923,16.782480087159257,0.2552,0.32399999999999995,0.25840715526276675,2.8,2.076923076923077,2.7832007692293224
2011-01-14,"Alico Arena, Fort Myers, Florida",KENNESAW-STATE,FLORIDA-GULF-COAST,Away,53.8,14,6.1,2,120.9,48.0,12,0.483,59,0.441,26,0.288,17,0.765,13,12,200.0,104.5,42.9,15,20,70,6.0,4,0.271,16.0,0.313,5.0,45.0,27,0.522,18.4,15,43.0,0.488,21.0,0.2,3,55.56,53.58571428571429,53.27119053040069,13.4,12.285714285714286,11.848727014538461,5.040000000000001,4.857142857142857,5.411681760847708,1.8,1.6428571428571428,1.9593865233080126,107.13999999999999,107.03571428571429,109.52975419660886,72.1,65.99285714285715,68.34970837151569,18.4,19.714285714285715,17.80613652315121,0.48440000000000005,0.44749999999999995,0.44936576653538846,55.6,56.92857142857143,56.78430719496615,0.43000000000000005,0.39885714285714285,0.3957511087778325,24.0,22.642857142857142,22.36440796501086,0.35340000000000005,0.43378571428571433,0.3792610775859096,18.4,24.071428571428573,20.684200127577665,0.62,0.6212142857142856,0.5827349382778773,11.2,14.857142857142858,11.997513678219534,9.0,5.357142857142857,9.15480928268613,200.0,200.0,200.0,90.42,88.61428571428571,86.70303646124407,28.02,30.764285714285712,26.095942854741487,9.0,11.071428571428571,9.58358626200588,19.0,19.142857142857142,20.397901178117614,65.4,65.71428571428571,62.902417515145935,8.0,9.935714285714285,8.141870248375017,5.8,7.428571428571429,5.925259812472129,0.3292,0.3241428571428572,0.35210365716357356,18.6,18.5,20.29491953638002,0.32780000000000004,0.2899285714285714,0.302916460466292,6.2,5.571428571428571,6.176087906904687,47.64,46.94285714285714,44.000049676257575,27.4,30.785714285714285,27.38972278515709,0.5105999999999999,0.4828571428571428,0.47610534189119785,21.16,20.37857142857143,19.280662575902124,16.8,17.142857142857142,15.442119946836371,37.0,38.42857142857143,36.489387658586125,0.4782,0.4413571428571429,0.44343010481564915,17.8,17.071428571428573,16.18832005810617,0.2536,0.31614285714285717,0.24360477017517784,3.0,2.142857142857143,2.855467179486215
