date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Bartow Arena, Birmingham, Alabama",Florida A&M,Alabama-Birmingham,Home,45.8,11,7.9,3,126.8,62.1,20,0.481,54,0.444,24,0.204,11,0.636,7,7,200.0,83.1,30.8,6,26,59,7.0,5,0.241,13.0,0.308,4.0,47.3,26,0.498,24.4,18,41.0,0.488,20.0,0.0,0,51.9,51.9,54.9604938271605,11.8,11.8,12.444444444444446,5.140000000000001,5.140000000000001,5.058024691358025,2.0,2.0,1.9876543209876545,111.08,111.08,110.34197530864199,57.720000000000006,57.720000000000006,56.43086419753087,21.0,21.0,20.320987654320987,0.4154,0.4154,0.4081111111111112,61.2,61.2,63.17283950617285,0.36819999999999997,0.36819999999999997,0.36046913580246914,22.4,22.4,22.51851851851852,0.2732,0.2732,0.2548518518518519,16.4,16.4,15.629629629629633,0.626,0.626,0.56920987654321,10.4,10.4,9.234567901234572,3.6,3.6,4.098765432098766,200.0,200.0,200.0,77.86,77.86,78.0530864197531,32.0,32.0,31.729629629629635,10.0,10.0,10.407407407407408,19.2,19.2,19.38271604938272,61.0,61.0,60.33333333333335,7.94,7.94,8.424691358024692,6.2,6.2,6.481481481481483,0.3366,0.3366,0.3382222222222223,20.6,20.6,21.38271604938272,0.28300000000000003,0.28300000000000003,0.28419753086419763,5.8,5.8,6.06172839506173,44.28,44.28,43.1925925925926,31.0,31.0,30.7283950617284,0.4436,0.4436,0.43006172839506185,23.36,23.36,21.00864197530865,20.4,20.4,18.35802469135803,40.6,40.6,41.79012345679013,0.4122,0.4122,0.4009506172839507,16.6,16.6,16.45679012345679,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,"Stephen C. O'Connell Center, Gainesville, Florida",Florida A&M,Florida,Home,40.0,10,15.0,6,106.7,63.0,19,0.444,62,0.403,25,0.145,9,0.444,4,8,200.0,78.7,25.0,8,14,59,12.0,9,0.258,16.0,0.313,5.0,40.3,27,0.445,23.3,20,46.0,0.435,20.0,0.0,0,49.64,50.88333333333333,51.90699588477367,11.6,11.666666666666666,11.962962962962965,6.0600000000000005,5.6000000000000005,6.0053497942386835,2.2,2.1666666666666665,2.325102880658436,113.46000000000001,113.7,115.82798353909467,60.96,58.449999999999996,58.32057613168725,21.4,20.833333333333332,20.213991769547327,0.4306,0.4263333333333333,0.4324074074074075,60.4,60.0,60.11522633744857,0.3846,0.38083333333333336,0.38831275720164615,23.0,22.666666666666668,23.01234567901235,0.23819999999999997,0.26166666666666666,0.23790123456790124,14.2,15.5,14.086419753086423,0.6442,0.6276666666666667,0.5914732510288067,9.4,9.833333333333334,8.489711934156382,4.8,4.166666666666667,5.065843621399177,200.0,200.0,200.0,80.91999999999999,78.73333333333333,79.73539094650206,34.06,31.8,31.419753086419757,9.8,9.333333333333334,8.938271604938272,20.8,20.333333333333332,21.588477366255148,61.0,60.666666666666664,59.8888888888889,7.279999999999999,7.783333333333334,7.949794238683128,5.4,6.0,5.987654320987655,0.31579999999999997,0.32066666666666666,0.3058148148148149,19.2,19.333333333333332,18.588477366255148,0.2946,0.2871666666666666,0.2921316872427984,5.6,5.5,5.37448559670782,47.16,44.78333333333333,44.561728395061735,31.2,30.166666666666668,29.1522633744856,0.457,0.4526666666666667,0.45270781893004125,22.84,23.53333333333333,22.139094650205767,19.2,20.0,18.23868312757202,41.2,40.666666666666664,41.52674897119342,0.42560000000000003,0.42483333333333334,0.42996707818930047,17.4,17.166666666666668,17.637860082304528,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,"Multipurpose Center and Teaching Gym, Tallahassee, Florida",Norfolk State,Florida A&M,Away,45.0,9,12.8,5,101.3,73.1,22,0.349,63,0.317,20,0.524,33,0.636,21,12,200.0,84.4,28.9,10,24,65,7.8,6,0.317,20.0,0.2,4.0,45.1,32,0.413,17.1,15,43.0,0.372,16.0,0.2,3,50.98,49.32857142857143,47.937997256515786,12.4,11.428571428571429,11.308641975308644,7.24,6.942857142857143,9.003566529492456,2.8,2.7142857142857144,3.550068587105624,114.0,112.7,112.78532235939646,62.3,59.1,59.880384087791505,20.8,20.571428571428573,19.809327846364887,0.4444,0.4288571428571428,0.43627160493827166,61.6,60.285714285714285,60.74348422496571,0.40099999999999997,0.384,0.3932085048010975,24.4,23.0,23.674897119341566,0.22079999999999997,0.24499999999999997,0.20693415637860085,13.4,14.571428571428571,12.390946502057616,0.5638,0.6014285714285714,0.5423155006858711,8.0,9.0,6.993141289437588,6.0,4.714285714285714,6.043895747599452,200.0,200.0,200.0,82.52000000000001,78.72857142857143,79.39026063100138,29.619999999999997,30.82857142857143,29.279835390946506,8.8,9.142857142857142,8.625514403292183,20.2,19.428571428571427,19.058984910836767,62.2,60.42857142857143,59.5925925925926,8.08,8.385714285714286,9.299862825788754,6.0,6.428571428571429,6.991769547325104,0.2888,0.3117142857142857,0.2898765432098766,18.0,18.857142857142858,17.725651577503434,0.3026,0.29085714285714287,0.29908779149519893,5.4,5.428571428571429,5.24965706447188,44.92,44.142857142857146,43.141152263374494,29.6,29.714285714285715,28.43484224965707,0.46080000000000004,0.45157142857142857,0.45013854595336084,21.1,23.5,22.52606310013718,17.6,20.0,18.825788751714683,43.6,41.42857142857143,43.017832647462285,0.442,0.42628571428571427,0.43164471879286703,19.0,17.571428571428573,18.425240054869686,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-16,"Multipurpose Center and Teaching Gym, Tallahassee, Florida",Maryland-Eastern Shore,Florida A&M,Away,33.3,6,0.0,0,108.1,48.1,14,0.355,55,0.327,18,0.382,21,0.571,12,13,200.0,82.3,38.2,12,23,51,9.7,6,0.364,20.0,0.15,3.0,42.6,26,0.392,15.7,11,35.0,0.429,15.0,0.188,3,49.58,48.7875,46.95866483767719,11.6,11.125,10.539094650205763,8.8,7.675000000000001,10.269044352994971,3.4,3.0,4.033379058070416,110.4,111.275,108.95688157293098,62.379999999999995,60.85,64.28692272519434,20.2,20.75,20.539551897576594,0.4226,0.418875,0.40718106995884784,62.4,60.625,61.495656149977144,0.37960000000000005,0.375625,0.3678056698673984,23.4,22.625,22.44993141289438,0.2544,0.279875,0.31262277091906726,15.8,16.875,19.260631001371745,0.5482,0.60575,0.5735436671239141,9.2,10.5,11.662094192958392,7.6,5.625,8.029263831732969,200.0,200.0,200.0,82.78,79.4375,81.06017375400093,31.76,30.5875,29.153223593964338,9.8,9.25,9.083676268861456,21.2,20.0,20.705989940557846,61.4,61.0,61.39506172839507,8.92,8.3125,8.799908550525835,6.6,6.375,6.661179698216737,0.3082,0.312375,0.2989176954732511,19.4,19.0,18.483767718335624,0.281,0.27949999999999997,0.266058527663466,5.4,5.25,4.8331047096479205,44.839999999999996,44.2625,43.794101508916334,30.0,30.0,29.623228166438047,0.4434,0.44675,0.4377590306355739,19.82,22.7,20.717375400091456,16.6,19.375,17.550525834476456,43.0,41.625,43.01188843164152,0.425,0.4195,0.4117631458619114,18.0,17.375,17.61682670324646,0.04,0.025,0.06666666666666667,0.6,0.375,1.0
2010-01-23,"Burr Gymnasium, Washington, District of Columbia",Florida A&M,Howard,Away,53.6,15,7.7,3,97.0,59.4,20,0.525,60,0.467,28,0.267,16,0.563,9,14,200.0,107.5,36.7,10,12,72,9.0,6,0.367,22.0,0.318,7.0,48.4,30,0.533,13.0,9,38.0,0.553,21.0,0.222,4,44.82,47.06666666666667,42.405776558451464,9.6,10.555555555555555,9.026063100137176,8.8,6.822222222222223,6.846029568663315,3.4,2.6666666666666665,2.688919372046944,109.16,110.92222222222222,108.671254381954,59.64,59.43333333333333,58.89128181679623,18.6,20.0,18.359701265051065,0.392,0.4117777777777778,0.3897873799725653,61.0,60.0,59.330437433318096,0.3546,0.37022222222222223,0.35420377991159896,21.4,22.11111111111111,20.966620941929587,0.2792,0.2912222222222222,0.3357485139460449,16.8,17.333333333333332,19.840420667581164,0.5374000000000001,0.6018888888888889,0.5726957780826094,9.6,10.666666666666666,11.774729461972262,9.2,6.444444444444445,9.68617588782198,200.0,200.0,200.0,80.28,79.75555555555555,81.47344916933395,31.520000000000003,31.43333333333333,32.16881572930956,9.8,9.555555555555555,10.055784179240971,21.0,20.333333333333332,21.470659960371897,57.0,59.888888888888886,57.930041152263385,9.3,8.466666666666667,9.09993903368389,6.6,6.333333333333333,6.440786465477825,0.3036,0.3181111111111111,0.3206117969821674,18.6,19.11111111111111,18.989178478890416,0.2526,0.26511111111111113,0.227372351775644,4.6,5.0,4.222069806431947,43.22,44.077777777777776,43.3960676726109,28.4,29.555555555555557,28.41548544429203,0.417,0.4406666666666667,0.422506020423716,18.64,21.922222222222224,19.044916933394305,15.0,18.444444444444443,15.367017222984305,42.4,40.888888888888886,40.34125895442769,0.4002,0.42055555555555557,0.4175087639079409,16.8,17.11111111111111,16.74455113549764,0.0776,0.043111111111111114,0.1071111111111111,1.2,0.6666666666666666,1.6666666666666667
2010-01-25,"Convocation Center, Hampton, Virginia",Florida A&M,Hampton,Home,44.4,8,2.6,1,103.1,61.9,16,0.373,55,0.327,18,0.273,15,0.8,12,15,200.0,82.8,36.1,10,19,53,12.5,8,0.291,16.0,0.313,5.0,45.6,26,0.427,19.6,15,39.0,0.333,13.0,0.211,4,43.54,47.72,46.13718437230098,10.2,11.0,11.017375400091451,8.680000000000001,6.910000000000001,7.1306863791088775,3.4,2.7,2.792612914697963,107.97999999999999,109.53,104.780836254636,61.14,59.42999999999999,59.06085454453082,19.0,20.0,18.906467510034044,0.43079999999999996,0.4231,0.4348582533150436,58.8,60.0,59.5536249555454,0.39160000000000006,0.3799,0.391802519941066,23.0,22.7,23.31108062795306,0.3044,0.2888,0.3128323426306966,18.0,17.2,18.56028044505411,0.5700000000000001,0.5980000000000001,0.569463852055073,10.6,10.5,10.849819641314841,10.8,7.2,11.124117258547987,200.0,200.0,200.0,87.2,82.53,90.1489661128893,31.920000000000005,31.96,33.67921048620637,9.2,9.6,10.037189452827315,19.8,19.5,18.313773306914598,61.2,61.1,62.620027434842264,9.1,8.52,9.066626022455928,6.4,6.3,6.293857643651884,0.3094,0.323,0.33607453132144494,18.2,19.4,19.99278565259361,0.2578,0.2704,0.25758156785042935,4.6,5.2,5.148046537621298,44.739999999999995,44.510000000000005,45.06404511507394,28.2,29.6,28.943656962861358,0.45620000000000005,0.4499000000000001,0.4593373469491441,18.7,21.03,17.02994462226287,14.6,17.5,13.244678148656204,40.6,40.6,39.56083930295179,0.4554,0.4338,0.46267250927196063,18.4,17.5,18.163034090331763,0.122,0.061,0.1454074074074074,2.0,1.0,2.4444444444444446
2010-02-07,"Hill Field House, Baltimore, Maryland",Florida A&M,Morgan State,Home,39.1,9,2.3,1,122.1,59.3,18,0.407,59,0.39,23,0.525,31,0.645,20,17,200.0,88.3,41.0,14,21,68,7.8,6,0.186,11.0,0.182,2.0,48.5,32,0.461,19.9,18,48.0,0.438,21.0,0.227,5,43.26,47.41818181818182,45.55812291486732,9.6,10.727272727272727,10.011583600060968,7.62,6.5181818181818185,5.620457586072586,3.0,2.5454545454545454,2.195075276465309,103.24000000000001,108.94545454545455,104.22055750309067,61.1,59.654545454545456,60.00723636302055,18.2,19.636363636363637,17.937645006689365,0.40919999999999995,0.41854545454545455,0.4142388355433624,59.0,59.54545454545455,58.03574997036361,0.3682,0.37509090909090914,0.3702016799607107,21.8,22.272727272727273,21.540720418635374,0.31820000000000004,0.2873636363636364,0.29955489508713107,18.8,17.0,17.373520296702743,0.6028,0.6163636363636363,0.6463092347033821,11.6,10.636363636363637,11.233213094209894,12.4,7.909090909090909,12.416078172365324,200.0,200.0,200.0,87.14000000000001,82.55454545454546,87.6993107419262,32.980000000000004,32.336363636363636,34.48614032413759,10.0,9.636363636363637,10.024792968551544,18.4,19.454545454545453,18.542515537943068,60.0,60.36363636363637,59.41335162322818,10.2,8.881818181818183,10.21108401497062,7.0,6.454545454545454,6.862571762434589,0.3194,0.3200909090909091,0.32104968754762997,18.8,19.09090909090909,18.661857101729076,0.25880000000000003,0.2742727272727273,0.2760543785669529,4.8,5.181818181818182,5.098697691747532,44.4,44.60909090909091,45.24269674338262,28.2,29.272727272727273,27.96243797524091,0.442,0.44781818181818184,0.4485582312994294,17.740000000000002,20.900000000000002,17.88662974817525,14.0,17.272727272727273,13.82978543243747,40.2,40.45454545454545,39.37389286863453,0.4244,0.42463636363636365,0.41944833951464044,17.0,17.09090909090909,16.442022726887842,0.16419999999999998,0.07463636363636363,0.1672716049382716,2.8,1.2727272727272727,2.9629629629629632
2010-02-13,"Hytche Athletic Center, Princess Anne, Maryland",Florida A&M,Maryland-Eastern Shore,Away,50.0,14,0.0,0,110.9,47.4,18,0.556,54,0.519,28,0.537,29,0.69,20,18,200.0,125.0,44.8,13,12,80,3.1,2,0.222,12.0,0.333,4.0,46.3,31,0.59,14.1,11,42.0,0.571,24.0,0.25,6,43.08,46.725,43.40541527657822,9.4,10.583333333333334,9.674389066707313,5.08,6.166666666666667,4.513638390715058,2.0,2.4166666666666665,1.7967168509768727,106.31999999999998,110.04166666666667,110.18037166872713,60.35999999999999,59.625,59.77149090868037,18.0,19.5,17.95843000445958,0.4018,0.41758333333333336,0.4118258903622416,58.4,59.5,58.35716664690908,0.36560000000000004,0.37633333333333335,0.37680111997380716,21.4,22.333333333333332,22.02714694575692,0.3942,0.30716666666666664,0.3747032633914207,23.2,18.166666666666668,21.915680197801827,0.643,0.61875,0.6458728231355881,14.8,11.416666666666666,14.15547539613993,14.2,8.666666666666666,13.944052114910217,200.0,200.0,200.0,89.05999999999999,83.03333333333333,87.89954049461747,36.18,33.05833333333333,36.657426882758394,11.2,10.0,11.349861979034364,19.8,19.583333333333332,19.36167702529538,61.8,61.0,62.27556774881879,9.36,8.791666666666666,9.407389343313747,6.4,6.416666666666667,6.57504784162306,0.305,0.3089166666666667,0.27603312503175337,17.8,18.416666666666668,16.107904734486052,0.2326,0.26658333333333334,0.24470291904463531,4.2,4.916666666666667,4.065798461165022,46.04,44.93333333333334,46.32846449558842,29.2,29.5,29.308291983493945,0.4452,0.4489166666666667,0.452705487532953,17.06,20.816666666666666,18.557753165450166,13.6,17.333333333333332,15.219856954958315,40.6,41.083333333333336,42.24926191242302,0.425,0.42575,0.4256322263430936,17.2,17.416666666666668,17.961348484591895,0.2096,0.08733333333333333,0.18718106995884773,3.8,1.5833333333333333,3.6419753086419755
2010-02-20,"Multipurpose Center and Teaching Gym, Tallahassee, Florida",Howard,Florida A&M,Home,17.4,4,8.7,4,93.1,61.1,27,0.448,58,0.397,23,0.5,29,0.69,20,19,225.0,100.0,30.6,6,21,72,5.6,4,0.397,23.0,0.261,6.0,45.8,33,0.502,12.4,9,35.0,0.486,17.0,0.269,7,44.08,46.97692307692308,45.60361018438548,10.4,10.846153846153847,11.116259377804877,2.5200000000000005,5.6923076923076925,3.0090922604767054,1.0,2.230769230769231,1.197811233984582,108.24000000000001,110.10769230769232,110.42024777915144,55.220000000000006,58.684615384615384,55.64766060578692,17.2,19.384615384615383,17.972286669639722,0.44320000000000004,0.42823076923076925,0.4598839269081611,56.6,59.07692307692308,56.90477776460606,0.406,0.3873076923076923,0.4242007466492048,23.0,22.76923076923077,24.018097963837945,0.3968,0.32484615384615384,0.42880217559428047,22.4,19.0,24.277120131867886,0.6538,0.6242307692307693,0.6605818820903921,14.6,12.076923076923077,16.10365026409329,15.4,9.384615384615385,15.296034743273479,200.0,200.0,200.0,97.17999999999999,86.26153846153846,100.26636032974498,39.36,33.96153846153846,39.37161792183893,11.8,10.23076923076923,11.89990798602291,17.4,19.0,16.907784683530252,64.8,62.46153846153846,68.18371183254587,8.419999999999998,8.353846153846153,7.304926228875832,5.6,6.076923076923077,5.050031894415374,0.286,0.3022307692307692,0.2580220833545023,16.2,17.923076923076923,14.738603156324036,0.2592,0.2716923076923077,0.27413527936309023,4.2,4.846153846153846,4.043865640776682,46.28,45.03846153846154,46.31897633039228,29.0,29.615384615384617,29.872194655662632,0.4806,0.4597692307692308,0.4984703250219687,16.46,20.299999999999997,17.071835443633447,12.8,16.846153846153847,13.81323796997221,40.4,41.15384615384615,42.16617460828202,0.4648,0.4369230769230769,0.47408815089539574,18.8,17.923076923076923,19.974232323061266,0.21960000000000002,0.09984615384615385,0.20812071330589849,4.4,1.9230769230769231,4.427983539094651
2010-02-22,"Multipurpose Center and Teaching Gym, Tallahassee, Florida",Hampton,Florida A&M,Away,50.0,12,0.0,0,104.5,34.8,12,0.491,54,0.444,24,0.278,15,0.533,8,20,200.0,91.0,30.0,5,23,61,10.4,7,0.389,21.0,0.238,5.0,32.1,17,0.499,19.8,15,33.0,0.576,19.0,0.259,7,40.9,44.864285714285714,36.20240678959032,10.0,10.357142857142858,8.744172918536586,4.26,5.9071428571428575,4.90606150698447,1.8,2.357142857142857,2.1318741559897214,105.23999999999998,108.89285714285714,104.64683185276763,57.81999999999999,58.857142857142854,57.46510707052462,19.8,19.928571428571427,20.981524446426484,0.46180000000000004,0.4296428571428571,0.4559226179387741,57.2,59.0,57.26985184307071,0.42000000000000004,0.388,0.4151338310994699,24.0,22.785714285714285,23.678731975891964,0.4204,0.33735714285714286,0.4525347837295204,24.0,19.714285714285715,25.85141342124526,0.6776,0.6289285714285714,0.6703879213935948,16.2,12.642857142857142,17.40243350939553,16.6,10.071428571428571,16.53068982884899,205.0,201.78571428571428,208.33333333333334,100.72,87.24285714285715,100.17757355316333,37.839999999999996,33.721428571428575,36.447745281225956,10.6,9.928571428571429,9.933271990681941,17.0,19.142857142857142,18.271856455686837,69.0,63.142857142857146,69.45580788836392,7.6,8.157142857142857,6.736617485917222,5.2,5.928571428571429,4.700021262943583,0.2926,0.309,0.3043480555696682,16.8,18.285714285714285,17.492402104216026,0.2814,0.27092857142857146,0.26975685290872686,4.8,4.928571428571429,4.6959104271844545,46.92,45.09285714285714,46.145984220261525,30.4,29.857142857142858,30.914796437108425,0.5025999999999999,0.4627857142857143,0.4996468833479792,15.8,19.735714285714288,15.514556962422299,12.4,16.285714285714285,12.208825313314808,40.4,40.714285714285715,39.777449738854685,0.47620000000000007,0.44042857142857145,0.4780587672635972,19.2,17.857142857142858,18.982821548707513,0.2358,0.11192857142857145,0.228413808870599,5.2,2.2857142857142856,5.285322359396433
