date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"Donald L. Tucker Center, Tallahassee, Florida",Chicago State,Florida State,Home,55.3,21,7.9,3,73.7,73.7,28,0.741,58,0.655,38,0.534,31,0.871,27,1,200,148.7,63.6,14,23,113,17.1,13,0.397,23,0.435,10,70.0,42,0.777,18.3,16,35,0.8,28,0.833,5,47.2,47.2,47.94074074074075,12.4,12.4,13.197530864197534,17.6,17.6,17.28641975308642,5.4,5.4,5.34567901234568,87.38,87.38,87.2061728395062,74.03999999999999,74.03999999999999,74.22345679012346,24.0,24.0,23.77777777777778,0.5025999999999999,0.5025999999999999,0.519283950617284,57.6,57.6,58.49382716049384,0.441,0.441,0.4534691358024693,25.6,25.6,26.71604938271605,0.351,0.351,0.3251481481481482,20.0,20.0,18.827160493827165,0.8,0.8,0.808,16.0,16.0,15.197530864197534,1.0,1.0,1.0,200.0,200.0,200.0,105.94000000000001,105.94000000000001,107.36913580246915,33.44,33.44,35.38888888888889,10.2,10.2,10.777777777777779,16.8,16.8,16.23456790123457,74.4,74.4,76.41975308641977,10.24,10.24,11.055555555555557,7.2,7.2,7.913580246913581,0.37039999999999995,0.37039999999999995,0.3834691358024692,21.4,21.4,22.48148148148148,0.3308,0.3308,0.34162962962962967,7.2,7.2,7.790123456790124,54.32000000000001,54.32000000000001,55.29506172839507,34.2,34.2,34.55555555555556,0.5519999999999999,0.5519999999999999,0.564320987654321,16.919999999999998,16.919999999999998,17.98024691358025,13.6,13.6,14.703703703703706,36.2,36.2,36.012345679012356,0.5072,0.5072,0.5236666666666667,18.4,18.4,18.92592592592593,0.5434,0.5434,0.581530864197531,2.0,2.0,2.3950617283950617
2019-11-29,"The Arena, Niceville, Florida",Tennessee,Florida State,Home,36.8,7,10.0,2,79.2,77.8,21,0.38,54,0.352,19,0.537,29,0.655,19,1,200,83.3,21.2,7,21,60,18.1,13,0.204,11,0.273,3,46.7,28,0.443,16.3,13,43,0.372,16,0.857,6,52.54,48.550000000000004,50.393827160493835,15.4,13.833333333333334,15.798353909465023,14.38,15.983333333333334,14.15761316872428,4.8,5.0,4.563786008230453,83.02000000000001,85.10000000000001,82.70411522633746,75.26000000000002,73.98333333333333,74.04897119341565,25.0,24.666666666666668,25.185185185185187,0.5602,0.5423333333333333,0.5931893004115227,58.6,57.666666666666664,58.329218106995896,0.49280000000000007,0.47666666666666674,0.5206460905349796,29.0,27.666666666666668,30.477366255144034,0.40120000000000006,0.38149999999999995,0.39476543209876547,23.2,21.833333333333332,22.884773662551446,0.8008,0.8118333333333334,0.8290000000000001,18.8,17.833333333333332,19.131687242798357,1.0,1.0,1.0,200.0,200.0,200.0,117.2,113.06666666666666,121.14609053497944,40.16,38.46666666666666,44.7925925925926,11.2,10.833333333333334,11.851851851851853,16.0,17.833333333333332,18.489711934156382,84.8,80.83333333333333,88.61316872427986,12.440000000000001,11.383333333333333,13.070370370370373,9.0,8.166666666666666,9.609053497942387,0.37439999999999996,0.37483333333333335,0.38797942386831286,22.0,21.666666666666668,22.654320987654323,0.3578,0.3481666666666667,0.37275308641975313,8.0,7.666666666666667,8.526748971193417,58.32000000000001,56.93333333333334,60.19670781893005,36.2,35.5,37.03703703703704,0.606,0.5895,0.6352139917695474,16.560000000000002,17.150000000000002,18.086831275720165,13.8,14.0,15.135802469135804,36.6,36.0,35.67489711934157,0.5762,0.556,0.6157777777777779,21.0,20.0,21.95061728395062,0.71,0.5916666666666667,0.6653539094650207,3.0,2.5,3.2633744855967075
2019-11-30,"The Arena, Niceville, Florida",Florida State,Purdue,Away,31.8,7,15.8,6,77.9,58.8,20,0.388,58,0.379,22,0.431,25,0.72,18,1,225,81.8,23.7,9,16,63,20.8,16,0.293,17,0.059,1,40.3,29,0.451,15.9,13,41,0.512,21,0.875,7,48.9,46.871428571428574,45.86255144032923,14.6,12.857142857142858,12.865569272976682,12.8,15.12857142857143,12.771742112482855,4.2,4.571428571428571,3.7091906721536354,83.4,84.25714285714285,81.53607681755832,75.52000000000001,74.52857142857144,75.29931412894376,24.0,24.142857142857142,23.790123456790127,0.5544,0.5191428571428571,0.5221262002743485,58.4,57.142857142857146,56.886145404663935,0.49040000000000006,0.4588571428571429,0.4644307270233198,28.8,26.428571428571427,26.65157750342936,0.425,0.40371428571428575,0.44217695473251034,24.4,22.857142857142858,24.923182441700966,0.7752000000000001,0.7894285714285714,0.7710000000000001,19.0,18.0,19.087791495198907,1.0,1.0,1.0,200.0,200.0,200.0,114.76000000000002,108.81428571428572,108.53072702331963,38.94,36.0,36.9283950617284,10.8,10.285714285714286,10.23456790123457,16.8,18.285714285714285,19.326474622770924,84.2,77.85714285714286,79.07544581618657,13.64,12.342857142857143,14.746913580246916,10.0,8.857142857142858,10.739368998628258,0.35340000000000005,0.3504285714285714,0.32665294924554195,20.8,20.142857142857142,18.769547325102884,0.3536,0.33742857142857147,0.33950205761316876,7.6,7.0,6.684499314128945,57.220000000000006,55.471428571428575,55.69780521262004,34.8,34.42857142857143,34.0246913580247,0.599,0.5685714285714286,0.5711426611796984,17.4,17.02857142857143,17.49122085048011,14.6,13.857142857142858,14.423868312757204,37.6,37.0,38.11659807956105,0.5716,0.5297142857142857,0.5345185185185186,21.2,19.428571428571427,19.967078189300416,0.7814,0.6295714285714286,0.7292359396433472,4.0,3.0,4.175582990397805
2019-12-03,"Assembly Hall, Bloomington, Indiana",Florida State,Indiana,Home,28.0,7,6.7,2,115.9,64.3,18,0.538,53,0.472,25,0.302,16,0.438,7,2,200,92.8,23.3,7,24,64,11.6,8,0.358,19,0.368,7,43.1,25,0.528,17.8,13,34,0.529,18,0.778,7,47.260000000000005,44.9875,41.17503429355282,14.0,12.125,10.91037951531779,12.719999999999999,15.2125,13.781161408321903,4.2,4.75,4.472793781435757,78.42,83.4625,80.32405121170555,72.8,72.5625,69.79954275262918,23.8,23.625,22.52674897119342,0.5302,0.50275,0.47741746684956576,59.0,57.25,57.257430269775966,0.47519999999999996,0.448875,0.43595381801554656,28.2,25.875,25.101051668952906,0.40940000000000004,0.407125,0.4384513031550069,23.8,23.125,24.948788294467313,0.755,0.78075,0.7540000000000001,18.0,18.0,18.725194330132606,1.0,1.0,1.0,205.0,203.125,208.33333333333334,109.17999999999999,105.4375,99.62048468221309,37.019999999999996,34.4625,32.518930041152274,10.8,10.125,9.823045267489714,16.4,18.0,18.21764974851395,81.0,76.0,73.71696387745772,16.96,13.4,16.764609053497946,12.6,9.75,12.492912665752172,0.3392,0.34325,0.315435299497028,20.2,19.75,18.179698216735257,0.3054,0.302625,0.24600137174211253,6.6,6.25,4.7896662094192965,54.55999999999999,53.575,50.565203475080025,34.6,33.75,32.34979423868313,0.5736,0.553875,0.5310951074531323,17.14,16.8875,16.960813900320076,14.4,13.75,13.949245541838138,38.8,37.5,39.077732053040705,0.5654000000000001,0.5275,0.5270123456790125,21.6,19.625,20.31138545953361,0.8230000000000001,0.66025,0.7778239597622315,5.0,3.5,5.117055326931871
2019-12-08,"Donald L. Tucker Center, Tallahassee, Florida",Clemson,Florida State,Home,64.0,16,34.6,9,79.1,77.4,24,0.602,54,0.463,25,0.185,10,0.7,7,2,200,107.5,29.2,7,14,72,9.0,6,0.593,32,0.469,15,56.4,31,0.613,18.2,13,22,0.455,10,0.8,8,41.1,43.099999999999994,36.783356195701884,11.4,11.555555555555555,9.606919676878526,11.2,14.266666666666667,11.420774272214604,3.6,4.444444444444445,3.648529187623838,86.68,87.06666666666666,92.18270080780371,70.1,71.64444444444445,67.96636183508612,21.8,23.0,21.01783264746228,0.5178,0.5066666666666667,0.49761164456637724,56.6,56.77777777777778,55.83828684651731,0.465,0.4514444444444444,0.4479692120103644,26.4,25.77777777777778,25.06736777930194,0.41739999999999994,0.3954444444444445,0.3929675354366713,23.6,22.333333333333332,21.96585886297821,0.7132000000000001,0.7426666666666667,0.6486666666666668,17.2,16.77777777777778,14.816796220088406,1.2,1.1111111111111112,1.3333333333333335,205.0,202.77777777777777,205.55555555555557,102.66,104.03333333333333,97.34698978814205,35.02,33.22222222222222,29.445953360768183,10.0,9.777777777777779,8.882030178326477,19.8,18.666666666666668,20.145099832342634,76.0,74.66666666666667,70.47797591830515,16.46,13.2,15.043072702331965,12.2,9.555555555555555,10.99527511050145,0.3338,0.3448888888888889,0.32962353299801866,19.0,19.666666666666668,18.453132144490173,0.299,0.3098888888888889,0.2866675811614084,6.0,6.333333333333333,5.526444139612865,51.879999999999995,52.41111111111111,48.07680231672002,31.8,32.77777777777778,29.899862825788755,0.5574000000000001,0.5509999999999999,0.5300634049687549,18.060000000000002,16.98888888888889,17.240542600213388,14.8,13.666666666666666,13.632830361225427,37.6,37.111111111111114,37.38515470202714,0.5512,0.5276666666666667,0.5276748971193417,20.4,19.444444444444443,19.540923639689076,0.8286000000000001,0.6733333333333333,0.7778826398414878,5.8,3.888888888888889,5.744703551287914
2019-12-17,"Donald L. Tucker Center, Tallahassee, Florida",North Florida,Florida State,Home,48.8,20,18.2,4,106.6,76.7,23,0.611,72,0.569,41,0.194,14,0.714,10,2,200,128.9,40.0,12,13,98,14.5,11,0.264,19,0.316,6,58.3,35,0.623,12.3,11,53,0.66,35,0.818,9,43.17999999999999,45.19,45.85557079713459,11.6,12.0,11.737946451252352,15.0,16.3,19.14718284814307,4.4,4.9,5.432352791749226,85.16,86.27000000000001,87.82180053853581,70.4,72.22,71.11090789005742,22.2,23.1,22.011888431641523,0.5298,0.5162,0.5324077630442515,55.4,56.5,55.22552456434488,0.46420000000000006,0.4526,0.4529794746735763,25.8,25.7,25.044911852867962,0.39780000000000004,0.37439999999999996,0.3236450236244475,22.2,21.1,17.977239241985473,0.6768,0.7384000000000001,0.6657777777777779,15.6,15.8,12.211197480058939,1.4,1.2,1.5555555555555558,205.0,202.5,203.70370370370372,102.81999999999998,104.38,100.73132652542805,32.2,32.82,29.363968907178787,8.8,9.5,8.254686785550986,19.6,18.2,18.096733221561756,74.4,74.4,70.9853172788701,15.320000000000002,12.78,13.028715134887978,11.2,9.2,9.330183407000966,0.36900000000000005,0.36970000000000003,0.4174156886653458,20.4,20.9,22.96875476299345,0.32080000000000003,0.3258,0.3474450541076056,7.2,7.2,8.684296093075243,51.3,52.81,50.85120154448001,31.0,32.6,30.266575217192504,0.5624,0.5572,0.5577089366458367,17.3,17.11,17.560361733475595,13.6,13.6,13.421886907483618,35.0,35.6,32.256769801351425,0.5336000000000001,0.5204,0.5034499314128945,18.6,18.5,16.36061575979272,0.8286,0.686,0.7852550932276585,6.6,4.3,6.496469034191943
2019-12-21,"BB&T Center, Sunrise, Florida",Florida State,South Florida,Away,72.7,16,24.4,10,82.2,73.9,17,0.464,55,0.4,22,0.345,19,0.789,15,2,200,90.4,27.6,8,17,66,17.8,13,0.491,27,0.259,7,48.1,25,0.515,17.0,13,28,0.536,15,0.833,10,41.879999999999995,45.518181818181816,46.83704719808973,11.4,12.727272727272727,14.491964300834901,17.06,16.472727272727273,18.83145523209538,4.6,4.818181818181818,4.954901861166151,91.74000000000001,88.11818181818181,94.08120035902388,71.0,72.62727272727273,72.97393859337161,21.2,23.09090909090909,22.341258954427683,0.5038,0.5248181818181817,0.5586051753628344,58.2,57.90909090909091,60.81701637622992,0.44699999999999995,0.46318181818181814,0.49165298311571753,26.4,27.09090909090909,30.363274568578646,0.3298,0.358,0.2804300157496317,18.8,20.454545454545453,16.651492827990317,0.6454,0.736181818181818,0.6818518518518519,12.2,15.272727272727273,11.474131653372627,1.6,1.2727272727272727,1.7037037037037042,205.0,202.27272727272728,202.46913580246917,98.86,106.60909090909091,110.12088435028538,27.48,33.47272727272727,32.90931260478586,8.4,9.727272727272727,9.503124523700658,17.6,17.727272727272727,16.39782214770784,71.4,76.54545454545455,79.99021151924674,14.8,12.936363636363637,13.519143423258654,10.8,9.363636363636363,9.886788938000645,0.3423999999999999,0.3600909090909091,0.3662771257768972,19.6,20.727272727272727,21.6458365086623,0.297,0.32490909090909087,0.33696336940507043,6.4,7.090909090909091,7.789530728716829,48.96,53.309090909090905,53.334134362986674,29.6,32.81818181818182,31.844383478128336,0.5316,0.5631818181818182,0.5794726244305578,16.1,16.672727272727272,15.806907822317065,12.6,13.363636363636363,12.614591271655746,38.6,37.18181818181818,39.171179867567616,0.5056,0.5330909090909091,0.5556332876085964,20.0,20.0,22.573743839861812,0.8256,0.698,0.7961700621517723,7.4,4.7272727272727275,7.330979356127963
2019-12-28,"Donald L. Tucker Center, Tallahassee, Florida",North Alabama,Florida State,Home,53.1,17,18.8,6,95.9,76.9,20,0.555,64,0.5,32,0.266,17,1.0,17,2,200,118.9,28.6,8,15,88,12.2,9,0.328,21,0.333,7,51.9,28,0.61,14.4,12,43,0.581,25,0.846,11,49.06,47.78333333333333,55.458031465393155,13.2,13.0,14.99464286722327,19.94,17.133333333333333,20.68763682139692,6.2,5.25,6.636601240777434,92.34,87.625,90.12080023934925,70.22,72.73333333333333,73.28262572891441,20.4,22.583333333333332,20.56083930295179,0.5206000000000001,0.51975,0.5270701169085563,58.4,57.666666666666664,58.87801091748662,0.4566,0.4579166666666667,0.4611019887438117,27.0,26.666666666666668,27.57551637905243,0.2914,0.3569166666666666,0.3019533438330878,16.8,20.333333333333332,17.434328551993545,0.6722,0.7405833333333334,0.717567901234568,11.4,15.25,12.649421102248418,1.8,1.3333333333333333,1.8024691358024696,205.0,202.08333333333334,201.64609053497946,100.28,105.25833333333333,103.5472562335236,28.76,32.983333333333334,31.13954173652391,8.6,9.583333333333334,9.002083015800439,16.8,17.666666666666668,16.598548098471895,72.6,75.66666666666667,75.32680767949783,14.74,13.341666666666667,14.94609561550577,10.8,9.666666666666666,10.924525958667097,0.3998,0.371,0.40785141718459816,22.8,21.25,23.430557672441534,0.29419999999999996,0.3194166666666667,0.3109755796033803,7.2,7.083333333333333,7.526353819144553,49.24,52.875,51.58942290865779,29.0,32.166666666666664,29.562922318752225,0.546,0.5591666666666667,0.557981749620372,16.24,16.7,16.204605214878043,12.6,13.333333333333334,12.743060847770497,35.6,36.416666666666664,35.44745324504508,0.5384,0.5333333333333333,0.549088858405731,19.8,19.583333333333332,20.049162559907877,0.8208,0.7092499999999999,0.8084467081011816,8.2,5.166666666666667,8.22065290408531
2019-12-31,"Donald L. Tucker Center, Tallahassee, Florida",Georgia Tech,Florida State,Home,55.2,16,27.3,9,79.5,84.6,22,0.508,63,0.46,29,0.143,9,0.667,6,2,200,95.9,31.0,9,12,70,15.1,11,0.27,17,0.353,6,56.4,31,0.52,15.2,12,46,0.5,23,0.857,12,53.31999999999999,48.19230769230769,54.67202097692878,15.2,13.307692307692308,15.663095244815514,20.54,17.26153846153846,20.058424547597948,6.2,5.3076923076923075,6.424400827184956,95.94000000000001,88.26153846153846,92.04720015956617,73.84,73.05384615384615,74.48841715260961,20.4,22.384615384615383,20.373892868634528,0.5539999999999999,0.5224615384615384,0.5363800779390375,59.6,58.15384615384615,60.585340611657756,0.4808,0.46115384615384614,0.4740679924958745,29.0,27.076923076923077,29.05034425270162,0.2584,0.3499230769230769,0.2899688958887252,15.2,20.076923076923077,17.289552367995697,0.7282,0.7605384615384616,0.8117119341563788,11.2,15.384615384615385,14.099614068165613,2.0,1.3846153846153846,1.8683127572016467,200.0,201.92307692307693,201.09739368998632,107.7,106.3076923076923,108.66483748901575,29.74,32.646153846153844,30.293027824349274,8.4,9.461538461538462,8.66805534386696,16.6,17.46153846153846,16.065698732314598,77.6,76.61538461538461,79.55120511966523,13.02,13.253846153846155,14.030730410337181,9.4,9.615384615384615,10.283017305778065,0.40679999999999994,0.3676923076923077,0.3812342781230655,23.6,21.23076923076923,22.62037178162769,0.349,0.32046153846153846,0.3183170530689202,8.4,7.076923076923077,7.3509025460963695,51.56,52.8,51.69294860577186,28.8,31.846153846153847,29.041948212501485,0.5778,0.5630769230769231,0.5753211664135813,15.940000000000001,16.523076923076925,15.60307014325203,12.4,13.23076923076923,12.495373898513666,36.0,36.92307692307692,37.96496883003006,0.5522,0.537,0.5597259056038206,20.6,20.0,21.699441706605253,0.8150000000000001,0.7197692307692307,0.8209644720674545,9.0,5.615384615384615,9.147101936056874
2020-01-04,"KFC Yum! Center, Louisville, Kentucky",Florida State,Louisville,Away,46.9,15,14.0,6,97.0,57.9,22,0.647,58,0.552,32,0.086,5,0.6,3,2,200,116.4,34.6,9,15,78,9.0,6,0.397,23,0.478,11,48.4,31,0.646,17.8,13,35,0.6,21,0.867,13,58.760000000000005,48.69285714285714,54.848013984619186,17.0,13.5,15.77539682987701,24.66,17.978571428571428,22.47228303173197,7.6,5.571428571428571,7.282933884789972,88.66,87.63571428571429,87.86480010637746,77.9,73.87857142857142,77.85894476840642,21.2,22.357142857142858,20.915928579089687,0.548,0.5214285714285715,0.5269200519593584,61.6,58.5,61.390227074438506,0.4784,0.4610714285714286,0.46937866166391634,29.8,27.214285714285715,29.03356283513442,0.2266,0.33514285714285713,0.2409792639258168,13.8,19.285714285714285,14.526368245330465,0.7739999999999999,0.7538571428571429,0.7634746227709193,11.0,14.714285714285714,11.39974271211041,2.0,1.4285714285714286,1.912208504801098,200.0,201.78571428571428,200.73159579332423,108.32000000000001,105.56428571428572,104.40989165934384,31.28,32.528571428571425,30.52868521623285,8.8,9.428571428571429,8.778703562577974,14.2,17.071428571428573,14.710465821543066,78.8,76.14285714285714,76.36747007977682,13.719999999999999,13.385714285714286,14.387153606891456,10.0,9.714285714285714,10.522011537185378,0.3892,0.3607142857142857,0.34415618541537707,23.2,20.928571428571427,20.746914521085127,0.346,0.3227857142857143,0.3298780353792802,8.2,7.0,6.900601697397581,54.220000000000006,53.05714285714286,53.26196573718124,30.0,31.785714285714285,29.694632141667658,0.5761999999999999,0.5599999999999999,0.5568807776090543,15.419999999999998,16.428571428571427,15.468713428834688,12.2,13.142857142857142,12.330249265675779,38.4,37.57142857142857,40.643312553353375,0.5464,0.5343571428571429,0.5398172704025471,21.6,20.214285714285715,22.132961137736835,0.8308,0.7295714285714286,0.8329763147116364,10.0,6.071428571428571,10.09806795737125
