date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-28,"Haas Pavilion, Berkeley, California",CALIFORNIA-SANTA-BARBARA,FURMAN,Away,73.7,14,10.7,3,109.1,69.2,18,0.418,55,0.345,19,0.345,19,0.737,14,6,200.0,90.9,32.1,9,25,60,10.6,7,0.455,25.0,0.32,8.0,50.0,27,0.469,15.9,11,30.0,0.367,11.0,0.455,5,48.96,48.96,50.6962962962963,11.4,11.4,11.395061728395065,7.359999999999999,7.359999999999999,6.5506172839506185,3.2,3.2,2.839506172839507,105.96,105.96,104.12345679012348,61.160000000000004,61.160000000000004,61.560493827160506,21.0,21.0,21.111111111111114,0.46719999999999995,0.46719999999999995,0.44545679012345685,57.0,57.0,57.39506172839508,0.4074,0.4074,0.39033333333333337,23.2,23.2,22.395061728395067,0.36219999999999997,0.36219999999999997,0.3585925925925926,20.4,20.4,20.333333333333336,0.7504,0.7504,0.7369012345679014,15.4,15.4,15.074074074074076,2.0,2.0,2.580246913580247,200.0,200.0,200.0,95.92,95.92,90.64691358024692,36.12,36.12,38.20370370370372,10.4,10.4,10.987654320987655,20.0,20.0,19.679012345679013,68.6,68.6,66.18518518518519,8.26,8.26,8.256790123456792,6.0,6.0,6.098765432098767,0.2782,0.2782,0.2736913580246914,15.8,15.8,15.69135802469136,0.445,0.445,0.41500000000000004,6.8,6.8,6.320987654320989,48.38,48.38,49.44814814814816,31.4,31.4,32.09876543209877,0.5138,0.5138,0.4928148148148148,20.52,20.52,22.30740740740741,16.6,16.6,18.34567901234568,41.2,41.2,41.70370370370371,0.39239999999999997,0.39239999999999997,0.3798765432098766,16.4,16.4,16.074074074074076,0.7416,0.7416,0.700567901234568,4.2,4.2,4.407407407407407
2010-01-07,"Alumni Gym, Elon, North Carolina",FURMAN,ELON,Away,33.3,6,7.0,3,68.6,82.9,35,0.385,52,0.346,18,0.327,17,0.765,13,6,200.0,75.7,35.3,11,20,53,8.6,6,0.385,20.0,0.2,4.0,61.3,46,0.441,26.1,21,32.0,0.438,14.0,0.571,8,51.44,53.083333333333336,58.3641975308642,10.4,11.833333333333334,12.26337448559671,6.9,7.916666666666667,7.933744855967079,2.6,3.1666666666666665,2.893004115226338,110.88,106.48333333333333,105.78230452674899,62.9,62.5,64.10699588477368,19.6,20.5,20.074074074074076,0.43739999999999996,0.459,0.43630452674897124,56.0,56.666666666666664,56.59670781893006,0.37300000000000005,0.397,0.3752222222222223,20.8,22.5,21.263374485596714,0.36119999999999997,0.3593333333333333,0.3540617283950617,20.0,20.166666666666668,19.888888888888893,0.755,0.7481666666666666,0.7369341563786009,15.2,15.166666666666666,14.71604938271605,3.2,2.6666666666666665,3.720164609053498,200.0,200.0,200.0,90.72,95.08333333333333,90.73127572016462,33.2,35.449999999999996,36.16913580246914,9.8,10.166666666666666,10.325102880658438,21.0,20.833333333333332,21.452674897119344,64.0,67.16666666666667,64.12345679012347,8.68,8.65,9.03786008230453,6.2,6.166666666666667,6.3991769547325115,0.3326,0.3076666666666667,0.3341275720164609,18.6,17.333333333333332,18.794238683127574,0.4,0.42416666666666664,0.3833333333333334,7.2,7.0,6.880658436213993,47.5,48.65,49.632098765432104,29.4,30.666666666666668,30.399176954732518,0.489,0.5063333333333333,0.48487654320987655,20.14,19.75,20.17160493827161,16.0,15.666666666666666,15.897119341563787,37.4,39.333333333333336,37.802469135802475,0.3638,0.3881666666666666,0.37558436213991775,13.6,15.5,14.382716049382719,0.6325999999999999,0.6938333333333334,0.6187119341563787,4.6,4.333333333333333,4.604938271604938
2010-01-09,"Fleming Gymnasium, Greensboro, North Carolina",FURMAN,NORTH-CAROLINA-GREENSBORO,Home,43.5,10,13.3,6,118.9,53.8,22,0.426,61,0.377,23,0.607,37,0.703,26,7,200.0,105.4,42.4,13,32,78,5.4,4,0.475,29.0,0.207,6.0,48.6,35,0.496,11.5,10,32.0,0.531,17.0,0.533,8,50.1,50.25714285714286,50.009465020576144,10.0,11.0,10.175582990397809,6.4,7.785714285714286,7.62249657064472,2.4,3.142857142857143,2.928669410150892,100.16,101.07142857142857,93.38820301783267,67.94000000000001,65.41428571428571,70.37133058984912,23.4,22.571428571428573,25.049382716049386,0.42400000000000004,0.4484285714285714,0.4192030178326476,56.0,56.0,55.064471879286714,0.36519999999999997,0.3897142857142857,0.3654814814814815,20.4,21.857142857142858,20.17558299039781,0.3458,0.3547142857142857,0.3450411522633745,19.2,19.714285714285715,18.92592592592593,0.7366,0.7505714285714286,0.7462894375857341,14.2,14.857142857142858,14.144032921810702,4.2,3.142857142857143,4.480109739368999,200.0,200.0,200.0,85.22,92.31428571428572,85.72085048010976,33.38,35.42857142857143,35.87942386831276,10.0,10.285714285714286,10.550068587105626,21.2,20.714285714285715,20.9684499314129,61.6,65.14285714285714,60.41563786008231,9.14,8.642857142857142,8.891906721536353,6.6,6.142857142857143,6.266117969821675,0.34040000000000004,0.31871428571428567,0.35108504801097395,19.0,17.714285714285715,19.19615912208505,0.36219999999999997,0.3921428571428572,0.3222222222222223,6.6,6.571428571428571,5.920438957475996,50.8,50.457142857142856,53.52139917695474,33.4,32.857142857142854,35.599451303155014,0.47240000000000004,0.497,0.4702510288065844,21.860000000000003,20.657142857142855,22.14773662551441,17.6,16.428571428571427,17.598079561042525,37.0,38.285714285714285,35.86831275720165,0.37499999999999994,0.3952857142857143,0.3963895747599452,13.8,15.285714285714286,14.255144032921812,0.5968,0.6762857142857143,0.6028079561042525,5.6,4.857142857142857,5.7366255144032925
2010-01-13,"Timmons Arena, Greenville, South Carolina",DAVIDSON,FURMAN,Away,70.8,17,20.6,7,114.7,55.6,20,0.585,47,0.511,24,0.766,36,0.722,26,8,200.0,108.0,27.3,6,30,81,9.3,7,0.298,14.0,0.5,7.0,44.8,26,0.632,20.3,16,33.0,0.515,17.0,0.5,8,51.220000000000006,49.4125,47.83964334705077,9.8,10.875,10.117055326931872,7.2,8.475,9.514997713763147,2.8,3.5,3.952446273433928,101.16,103.3,101.89213534522179,66.7,63.9625,64.84755372656608,23.4,22.5,24.03292181069959,0.3896,0.445625,0.4214686785550984,57.0,56.625,57.042981252857814,0.33699999999999997,0.388125,0.36932098765432103,19.2,22.0,21.117055326931876,0.38139999999999996,0.38625,0.432360768175583,21.8,21.875,24.95061728395062,0.7272,0.744625,0.7318596250571561,15.8,16.25,18.0960219478738,5.4,3.625,5.320073159579332,200.0,200.0,200.0,82.68,93.95,92.28056698673984,37.58,36.3,38.05294924554184,11.6,10.625,11.366712391403752,23.0,22.125,24.6456332876086,60.2,66.75,66.27709190672155,8.0,8.2375,7.727937814357569,5.8,5.875,5.51074531321445,0.3854,0.33825,0.392390032007316,22.0,19.125,22.464106081390035,0.275,0.369,0.2838148148148149,6.0,6.5,5.946959304983998,51.94,50.225,51.8809327846365,35.0,33.125,35.39963420210334,0.44539999999999996,0.496875,0.47883401920438967,21.78,19.5125,18.598491083676272,18.0,15.625,15.06538637402835,35.0,37.5,34.57887517146777,0.386,0.41225,0.44125971650663015,13.2,15.5,15.170096021947876,0.5367999999999999,0.658375,0.5795386374028351,6.2,5.25,6.491083676268862
2010-01-21,"Carolina First Arena, Charleston, South Carolina",FURMAN,COLLEGE-OF-CHARLESTON,Home,37.9,11,7.9,3,135.3,75.0,20,0.429,77,0.377,29,0.195,15,0.933,14,9,200.0,117.6,56.5,21,18,80,4.4,3,0.221,17.0,0.471,8.0,62.1,41,0.475,10.7,10,60.0,0.35,21.0,0.5,9,54.25999999999999,51.78888888888889,55.49309556470051,11.2,11.555555555555555,12.411370217954582,11.32,9.822222222222223,13.209998475842099,4.2,3.888888888888889,4.968297515622618,103.85999999999999,104.56666666666666,106.16142356348121,64.3,63.03333333333333,61.76503581771072,22.6,22.22222222222222,22.688614540466396,0.4356,0.46111111111111114,0.4759791190367323,54.0,55.55555555555556,53.69532083523855,0.38120000000000004,0.4017777777777778,0.41654732510288073,20.4,22.22222222222222,22.078036884621252,0.49260000000000004,0.4284444444444444,0.5435738454503887,26.4,23.444444444444443,28.633744855967084,0.7332,0.7421111111111112,0.7285730833714374,19.2,17.333333333333332,20.730681298582535,6.4,4.111111111111111,6.213382106386222,200.0,200.0,200.0,91.2,95.51111111111112,97.5203779911599,36.519999999999996,35.3,34.46863283036123,10.2,10.11111111111111,9.577808260935836,25.0,23.0,26.43042219173907,65.8,68.33333333333333,71.18472793781437,8.38,8.355555555555556,8.251958542905047,6.0,6.0,6.007163542142967,0.37720000000000004,0.3337777777777778,0.36092668800487737,20.6,18.555555555555557,19.642737387593357,0.2988,0.38355555555555554,0.3558765432098766,5.8,6.555555555555555,6.297972869989332,51.279999999999994,49.62222222222223,49.520621856424334,32.8,32.333333333333336,32.26642280140223,0.49399999999999994,0.511888888888889,0.5298893461362598,20.14,19.6,19.16566072245085,16.0,15.666666666666666,15.376924249352236,33.4,37.0,34.05258344764518,0.44020000000000004,0.4236666666666667,0.4658398110044202,14.6,15.666666666666666,15.780064014631918,0.5118,0.6407777777777778,0.5530257582685567,6.8,5.555555555555555,6.994055784179242
2010-02-04,"Timmons Arena, Greenville, South Carolina",NORTH-CAROLINA-GREENSBORO,FURMAN,Home,48.0,12,28.9,11,91.4,68.4,27,0.548,52,0.481,25,0.423,22,0.682,15,11,200.0,102.9,25.9,6,21,72,10.0,7,0.365,19.0,0.368,7.0,50.8,33,0.576,17.4,13,33.0,0.545,18.0,0.5,11,51.839999999999996,50.4,49.62873037646701,11.6,11.5,11.94091347863639,11.9,9.629999999999999,11.439998983894734,4.4,3.8,4.312198343748412,109.32000000000001,107.64000000000001,115.87428237565416,67.3,64.22999999999999,66.17669054514047,23.0,22.0,21.792409693644267,0.4486,0.4579,0.46031941269115484,58.4,57.7,61.46354722349237,0.3912,0.3993,0.4033648834019205,22.6,22.9,24.385357923080836,0.44799999999999995,0.4051,0.4273825636335925,24.8,22.6,24.089163237311393,0.772,0.7612,0.7967153889142917,18.6,17.0,18.487120865721693,7.2,4.6,7.142254737590815,200.0,200.0,200.0,99.52000000000001,97.72,104.21358532743994,38.720000000000006,37.42,41.81242188690749,12.0,11.2,13.385205507290557,25.0,22.5,23.620281461159383,70.4,69.5,74.12315195854292,7.660000000000001,7.959999999999999,6.967972361936699,5.4,5.7,5.004775694761979,0.3668,0.3225,0.3142844586699183,21.0,18.4,18.76182492506224,0.3396,0.3923,0.3942510288065844,6.6,6.7,6.865315246659556,53.36,50.87,53.7137479042829,35.0,33.2,35.177615200934824,0.5025999999999999,0.5082,0.5115928974241732,16.9,18.71,16.343773814967236,13.6,15.1,13.584616166234824,37.4,39.3,42.70172229843013,0.44020000000000004,0.4163,0.42722654066961346,16.0,16.2,17.52004267642128,0.5118,0.6267,0.5353505055123712,7.6,5.9,7.662703856119495
2010-02-06,"Timmons Arena, Greenville, South Carolina",ELON,FURMAN,Away,52.6,10,18.2,6,90.4,83.3,31,0.351,57,0.333,19,0.386,22,0.682,15,12,200.0,75.3,10.5,3,26,55,2.7,2,0.333,19.0,0.105,2.0,45.9,34,0.408,13.0,10,38.0,0.447,17.0,0.478,11,46.7,50.18181818181818,49.08582025097801,11.2,11.545454545454545,11.960608985757593,15.539999999999997,11.381818181818183,17.25999932259649,6.0,4.454545454545454,6.541465562498942,105.78,106.16363636363636,107.71618825043612,67.14000000000001,64.60909090909091,66.91779369676033,24.8,22.454545454545453,23.528273129096178,0.4746,0.46609090909090906,0.48954627512743665,57.8,57.18181818181818,58.30903148232825,0.41839999999999994,0.40672727272727277,0.42924325560128035,23.8,23.09090909090909,24.590238615387225,0.4636,0.40672727272727277,0.4259217090890617,25.4,22.545454545454547,23.39277549154093,0.761,0.754,0.7584769259428612,18.8,16.818181818181817,17.324747243814464,8.2,5.181818181818182,8.428169825060545,200.0,200.0,200.0,101.92,98.19090909090909,103.77572355162664,37.48,36.372727272727275,36.50828125793833,11.4,10.727272727272727,10.923470338193706,24.2,22.363636363636363,22.74685430743959,72.8,69.72727272727273,73.41543463902862,7.540000000000001,8.145454545454545,7.978648241291133,5.4,5.818181818181818,5.669850463174653,0.34879999999999994,0.32636363636363636,0.33118963911327887,19.8,18.454545454545453,18.84121661670816,0.3492,0.3900909090909091,0.3855006858710563,6.4,6.7272727272727275,6.910210164439704,53.519999999999996,50.86363636363637,52.742498602855264,36.2,33.18181818181818,34.45174346728989,0.524,0.5143636363636364,0.5330619316161155,17.2,18.59090909090909,16.695849209978157,14.0,14.909090909090908,13.389744110823216,38.0,38.72727272727273,39.467814865620085,0.4758,0.428,0.46648436044640906,17.4,16.363636363636363,17.68002845094752,0.5208,0.6151818181818182,0.5235670036749142,8.8,6.363636363636363,8.775135904079663
2010-02-13,"The McKenzie Arena, Chattanooga, Tennessee",FURMAN,CHATTANOOGA,Away,55.2,16,11.9,5,104.0,65.0,26,0.62,54,0.537,29,0.593,32,0.625,20,13,200.0,116.0,36.7,11,26,87,6.7,5,0.37,20.0,0.45,9.0,52.9,37,0.629,20.9,17,34.0,0.588,20.0,0.48,12,50.559999999999995,50.38333333333333,50.25721350065201,12.0,11.416666666666666,11.30707265717173,17.779999999999998,11.950000000000001,17.57333288173099,6.6,4.583333333333333,6.360977041665962,110.14000000000001,104.85000000000001,101.94412550029077,67.22,66.16666666666667,72.37852913117356,24.0,23.166666666666668,26.018848752730786,0.4678,0.45649999999999996,0.44336418341829115,58.8,57.166666666666664,57.8726876548855,0.41580000000000006,0.40058333333333335,0.3971621704008536,24.0,22.75,22.726825743591483,0.47539999999999993,0.40499999999999997,0.4126144727260411,26.4,22.5,22.92851699436062,0.7444,0.7479999999999999,0.7329846172952408,19.2,16.666666666666668,16.54983149587631,9.4,5.75,9.618779883373698,200.0,200.0,200.0,101.84,96.28333333333335,94.28381570108444,32.519999999999996,34.21666666666667,27.83885417195889,9.8,10.083333333333334,8.282313558795805,25.4,22.666666666666668,23.83123620495973,73.2,68.5,67.27695642601908,6.36,7.691666666666666,6.219098827527422,4.6,5.5,4.446566975449769,0.3384,0.3269166666666667,0.33179309274218594,19.6,18.5,18.894144411138775,0.33019999999999994,0.36633333333333334,0.2920004572473709,6.0,6.333333333333333,5.273473442959803,50.44,50.449999999999996,50.46166573523684,33.8,33.25,34.301162311526596,0.5174,0.5055,0.49137462107741037,14.580000000000002,18.125,15.463899473318772,11.8,14.5,12.259829407215477,39.2,38.666666666666664,38.97854324374673,0.4776000000000001,0.4295833333333334,0.4599895736309394,18.0,16.416666666666668,17.453352300631682,0.5022,0.60375,0.5083780024499428,9.4,6.75,9.516757269386442
2010-02-20,"Belk Arena, Davidson, North Carolina",FURMAN,DAVIDSON,Home,43.5,10,2.9,1,93.8,72.7,24,0.598,46,0.5,23,0.152,7,0.429,3,15,200.0,89.2,16.7,4,21,58,9.2,6,0.391,18.0,0.5,9.0,49.1,28,0.588,27.9,18,28.0,0.5,14.0,0.444,12,52.9,50.75384615384615,51.904809000434675,13.2,11.76923076923077,12.87138177144782,17.5,11.946153846153846,15.682221921153996,6.4,4.615384615384615,5.907318027777309,107.16000000000001,104.78461538461539,102.62941700019385,69.46000000000001,66.07692307692308,69.91901942078238,24.8,23.384615384615383,26.012565835153858,0.5065999999999999,0.46907692307692306,0.5022427889455274,57.4,56.92307692307692,56.581791769923676,0.4478,0.4110769230769231,0.44377478026723577,25.2,23.23076923076923,24.81788382906099,0.4726,0.41946153846153844,0.4727429818173608,25.4,23.23076923076923,25.95234466290708,0.7288,0.7385384615384615,0.6969897448634939,18.0,16.923076923076923,17.699887663917544,10.6,6.3076923076923075,10.745853255582466,200.0,200.0,200.0,103.96,97.80000000000001,101.52254380072296,31.380000000000003,34.40769230769231,30.792569447972596,9.4,10.153846153846153,9.188209039197204,24.2,22.923076923076923,24.554157469973156,75.0,69.92307692307692,73.85130428401273,6.62,7.615384615384615,6.379399218351615,4.8,5.461538461538462,4.631044650299846,0.3174,0.3302307692307692,0.34452872849479066,17.8,18.615384615384617,19.262762940759185,0.37879999999999997,0.3727692307692308,0.34466697149824727,6.6,6.538461538461538,6.515648961973202,51.3,50.638461538461534,51.27444382349123,34.2,33.53846153846154,35.20077487435107,0.5439999999999999,0.515,0.5372497473849402,16.46,18.338461538461537,17.275932982212517,13.2,14.692307692307692,13.839886271476985,39.6,38.30769230769231,37.31902882916449,0.48900000000000005,0.4417692307692308,0.5026597157539596,18.6,16.692307692307693,18.30223486708779,0.49160000000000004,0.5942307692307692,0.4989186682999619,10.2,7.153846153846154,10.344504846257628
2010-02-27,"Timmons Arena, Greenville, South Carolina",COLLEGE-OF-CHARLESTON,FURMAN,Away,62.5,15,15.2,7,103.0,64.5,23,0.424,66,0.364,24,0.288,19,0.526,10,16,200.0,98.5,52.5,18,10,66,10.4,7,0.318,21.0,0.381,8.0,57.7,41,0.44,15.8,14,45.0,0.356,16.0,0.448,13,47.44,50.23571428571428,49.10320600028979,11.8,11.642857142857142,11.914254514298548,13.959999999999999,11.299999999999999,11.421481280769331,5.2,4.357142857142857,4.27154535185154,102.97999999999999,104.0,99.68627800012925,72.88000000000001,66.55,70.84601294718826,25.6,23.428571428571427,25.34171055676924,0.5092000000000001,0.47828571428571426,0.5341618592970183,57.2,56.142857142857146,53.054527846615784,0.44559999999999994,0.4174285714285714,0.46251652017815725,25.0,23.214285714285715,24.21192255270733,0.3498,0.4003571428571428,0.3658286545449072,19.6,22.071428571428573,19.634896441938054,0.6702,0.7164285714285714,0.6076598299089959,13.4,15.928571428571429,12.799925109278364,12.0,6.928571428571429,12.163902170388312,200.0,200.0,200.0,100.2,97.18571428571428,97.41502920048198,29.26,33.142857142857146,26.0950462986484,9.0,9.714285714285714,7.4588060261314695,22.4,22.785714285714285,23.369438313315438,70.4,69.07142857142857,68.56753618934182,6.6,7.728571428571429,7.319599478901077,4.6,5.5,5.087363100199898,0.33599999999999997,0.3345714285714286,0.3600191523298605,18.6,18.571428571428573,18.841841960506123,0.37879999999999997,0.38185714285714284,0.3964446476654982,7.0,6.714285714285714,7.343765974648802,52.160000000000004,50.528571428571425,50.54962921566083,34.6,33.142857142857146,32.80051658290071,0.5352,0.5202142857142856,0.5541664982566269,17.98,19.021428571428572,20.817288654808344,13.6,14.928571428571429,15.226590847651325,38.6,37.57142857142857,34.21268588610966,0.48599999999999993,0.44592857142857145,0.5017731438359732,18.0,16.5,16.868156578058528,0.48040000000000005,0.5835,0.48061244553330795,11.0,7.5,10.896336564171753
