date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-30,"GSU Sports Arena, Atlanta, Georgia",Jacksonville,Georgia State,Home,59.1,13,8.9,4,83.1,53.5,24,0.545,44,0.5,22,0.545,24,0.667,16,4,200.0,98.5,33.3,7,16,64,10.8,7,0.182,8.0,0.5,4.0,46.3,31,0.578,23.8,15,36.0,0.5,18.0,0.5,4,46.62,46.62,44.765432098765444,10.4,10.4,10.320987654320989,7.659999999999999,7.659999999999999,7.671604938271606,2.6,2.6,2.777777777777778,94.44,94.44,97.15432098765433,67.72,67.72,64.79876543209878,20.2,20.2,20.71604938271605,0.43579999999999997,0.43579999999999997,0.4638271604938273,56.8,56.8,55.34567901234569,0.40180000000000005,0.40180000000000005,0.4271481481481482,22.6,22.6,23.395061728395063,0.256,0.256,0.24803703703703706,14.6,14.6,13.740740740740744,0.609,0.609,0.5994567901234569,9.0,9.0,8.308641975308642,2.4,2.4,2.6913580246913584,205.0,205.0,205.55555555555557,89.84,89.84,90.71604938271605,42.1,42.1,37.89876543209877,14.2,14.2,11.92592592592593,20.0,20.0,21.308641975308646,58.0,58.0,59.086419753086425,10.6,10.6,10.339506172839506,6.8,6.8,6.716049382716051,0.26339999999999997,0.26339999999999997,0.29967901234567906,14.6,14.6,16.20987654320988,0.27999999999999997,0.27999999999999997,0.2601975308641976,3.8,3.8,3.9876543209876547,54.220000000000006,54.220000000000006,51.458024691358034,34.4,34.4,32.64197530864198,0.4593999999999999,0.4593999999999999,0.48223456790123465,20.54,20.54,20.71604938271605,16.4,16.4,16.12345679012346,42.2,42.2,39.13580246913581,0.4704,0.4704,0.5251728395061729,18.8,18.8,19.407407407407412,0.3324,0.3324,0.33885185185185185,1.6,1.6,1.8395061728395063
2009-12-05,"JMU Convocation Center, Harrisonburg, Virginia",Georgia State,James Madison,Away,56.3,9,3.4,1,73.3,62.1,22,0.37,46,0.348,16,0.478,22,0.682,15,4,200.0,81.7,53.6,11,21,49,16.7,10,0.239,11.0,0.182,2.0,57.9,33,0.434,25.4,19,35.0,0.4,14.0,0.556,5,46.620000000000005,48.699999999999996,49.54362139917697,10.4,10.833333333333334,11.213991769547327,8.84,7.866666666666667,8.081069958847738,3.2,2.8333333333333335,3.1851851851851856,89.16,92.55,92.4695473251029,65.69999999999999,65.35,61.03251028806585,20.6,20.833333333333332,21.81069958847737,0.46519999999999995,0.454,0.49088477366255157,53.8,54.666666666666664,51.563786008230466,0.4272,0.41816666666666674,0.4514320987654322,22.6,22.5,22.930041152263378,0.32439999999999997,0.3041666666666667,0.3470246913580247,17.0,16.166666666666668,17.160493827160497,0.6424000000000001,0.6186666666666667,0.621971193415638,11.0,10.166666666666666,10.872427983539096,3.0,2.6666666666666665,3.1275720164609058,205.0,204.16666666666666,203.70370370370372,92.72,91.28333333333335,93.31069958847738,41.760000000000005,40.63333333333333,36.36584362139918,13.0,13.0,10.283950617283953,18.6,19.333333333333332,19.539094650205765,60.2,59.0,60.72427983539096,11.18,10.633333333333333,10.493004115226338,7.2,6.833333333333333,6.810699588477368,0.24559999999999996,0.24983333333333335,0.2604526748971194,13.0,13.5,13.473251028806587,0.3424,0.31666666666666665,0.3401316872427984,4.0,3.8333333333333335,3.991769547325103,53.9,52.9,49.738683127572024,33.6,33.833333333333336,32.094650205761326,0.493,0.4791666666666667,0.5141563786008232,22.16,21.083333333333332,21.744032921810703,17.0,16.166666666666668,15.74897119341564,40.8,41.166666666666664,38.09053497942388,0.48200000000000004,0.47533333333333333,0.5167818930041153,18.6,18.666666666666668,18.938271604938276,0.4324,0.36033333333333334,0.3925679012345679,2.4,2.0,2.5596707818930042
2009-12-15,"Donald L. Tucker Center, Tallahassee, Florida",Georgia State,Florida State,Home,27.8,5,6.3,2,103.3,46.2,12,0.375,56,0.321,18,0.339,19,0.684,13,6,200.0,91.7,50.0,17,21,55,13.3,8,0.411,23.0,0.261,6.0,48.3,29,0.423,14.6,11,33.0,0.364,12.0,0.455,5,46.88,49.785714285714285,51.79574759945132,10.0,10.571428571428571,10.475994513031551,8.52,7.228571428571429,6.520713305898493,3.2,2.5714285714285716,2.456790123456791,82.49999999999999,89.8,86.07969821673527,63.459999999999994,64.88571428571429,61.3883401920439,22.6,21.0,21.87379972565158,0.46699999999999997,0.442,0.45058984910836775,50.8,53.42857142857143,49.70919067215365,0.4312,0.4081428571428572,0.4169547325102882,21.8,21.571428571428573,20.620027434842253,0.35120000000000007,0.329,0.3906831275720165,17.2,17.0,18.77366255144033,0.6454,0.6277142857142858,0.6419807956104253,11.2,10.857142857142858,12.248285322359397,3.4,2.857142857142857,3.418381344307271,205.0,203.57142857142858,202.46913580246917,90.03999999999999,89.91428571428571,89.44046639231826,40.660000000000004,42.48571428571428,42.11056241426613,10.2,12.714285714285714,10.52263374485597,20.2,19.571428571428573,20.02606310013718,58.4,57.57142857142857,56.816186556927306,11.24,11.5,12.562002743484225,7.2,7.285714285714286,7.873799725651579,0.25739999999999996,0.24828571428571428,0.2533017832647463,13.0,13.142857142857142,12.648834019204392,0.30599999999999994,0.29742857142857143,0.28742112482853227,3.6,3.5714285714285716,3.3278463648834022,52.94,53.614285714285714,52.459122085048016,32.8,33.714285714285715,32.39643347050755,0.49800000000000005,0.4727142857142857,0.4874375857338822,23.339999999999996,21.7,22.96268861454047,17.4,16.571428571428573,16.832647462277095,37.8,40.285714285714285,37.06035665294925,0.49799999999999994,0.4645714285714285,0.4778545953360769,18.2,18.0,17.29218106995885,0.47700000000000004,0.3882857142857143,0.447045267489712,3.2,2.4285714285714284,3.3731138545953363
2009-12-19,"GSU Sports Arena, Atlanta, Georgia",Eastern Michigan,Georgia State,Home,43.5,10,15.2,5,104.8,38.7,14,0.5,52,0.442,23,0.365,19,0.737,14,6,200.0,106.5,36.0,7,23,66,1.6,1,0.308,16.0,0.375,6.0,37.5,21,0.541,14.2,10,36.0,0.472,17.0,0.5,6,44.620000000000005,47.0375,43.797165066300884,9.2,9.875,8.650663008687701,7.279999999999999,7.1125,6.447142203932329,2.8,2.5,2.304526748971194,93.16,91.4875,91.81979881115686,56.04,62.55,56.32556012802927,19.8,19.875,18.582533150434386,0.46040000000000003,0.433625,0.4253932327389119,50.0,53.75,51.806127114769104,0.41879999999999995,0.39725,0.3849698216735255,20.8,21.125,19.746684956561502,0.3724,0.33025,0.3734554183813444,18.2,17.25,18.84910836762689,0.668,0.63475,0.655987197073617,12.2,11.125,12.498856881572934,4.2,3.25,4.2789208962048475,205.0,203.125,201.64609053497946,91.1,90.1375,90.19364426154551,41.519999999999996,43.425,44.740374942844085,10.6,13.25,12.681755829903981,20.6,19.75,20.35070873342479,58.0,57.25,56.21079103795154,12.379999999999999,11.725,12.808001828989484,7.8,7.375,7.91586648376772,0.313,0.268625,0.30586785550983087,16.0,14.375,16.099222679469595,0.2832,0.292875,0.27861408321902154,4.2,3.875,4.218564243255601,49.98,52.95,51.072748056698686,30.4,33.125,31.26428898033837,0.497,0.46649999999999997,0.4659583904892548,22.18,20.8125,20.17512574302698,16.2,15.875,14.888431641518064,34.0,39.375,35.706904435299506,0.49379999999999996,0.452,0.4399030635573846,16.6,17.25,15.528120713305901,0.4680000000000001,0.396625,0.4496968449931414,3.8,2.75,3.915409236396891
2010-01-02,"GSU Sports Arena, Atlanta, Georgia",Towson,Georgia State,Home,53.8,14,20.5,8,95.3,55.0,24,0.5,55,0.473,26,0.418,23,0.652,15,6,200.0,109.4,53.6,13,20,70,14.1,9,0.2,11.0,0.273,3.0,54.4,37,0.531,15.6,12,44.0,0.523,23.0,0.571,8,44.739999999999995,46.644444444444446,43.69811004420059,9.4,9.88888888888889,9.100442005791802,8.16,8.011111111111111,9.364761469288219,3.0,2.7777777777777777,3.203017832647463,94.11999999999999,92.96666666666665,96.14653254077123,51.52,59.900000000000006,50.45037341868618,18.4,19.22222222222222,17.05502210028959,0.47359999999999997,0.441,0.4502621551592746,49.8,53.55555555555556,51.87075140984608,0.42800000000000005,0.40222222222222226,0.40397988111568367,21.2,21.333333333333332,20.831123304374337,0.39640000000000003,0.33411111111111114,0.37063694558756294,19.4,17.444444444444443,18.899405578417927,0.6616,0.6461111111111112,0.6829914647157447,13.0,11.444444444444445,12.999237921048623,4.8,3.5555555555555554,4.852613930803232,200.0,202.77777777777777,201.09739368998632,95.67999999999999,91.95555555555556,95.62909617436368,39.38,42.599999999999994,41.82691662856273,9.6,12.555555555555555,10.787837219935987,21.0,20.11111111111111,21.233805822283195,60.0,58.22222222222222,59.473860691967694,10.9,10.6,9.072001219326324,6.8,6.666666666666667,5.610577655845147,0.3104,0.27299999999999996,0.3065785703398872,15.8,14.555555555555555,16.066148452979732,0.31120000000000003,0.302,0.3107427221460144,4.6,4.111111111111111,4.812376162170401,46.66,51.233333333333334,46.54849870446579,28.0,31.77777777777778,27.842859320225582,0.5105999999999999,0.47477777777777774,0.4909722603261699,19.56,20.077777777777776,18.18341716201799,13.8,15.222222222222221,13.25895442767871,34.0,39.0,35.80460295686634,0.49379999999999996,0.45422222222222225,0.4506020423715898,16.6,17.22222222222222,16.018747142203935,0.4880000000000001,0.4081111111111111,0.46646456332876096,4.6,3.111111111111111,4.6102728242645945
2010-01-04,"GSU Sports Arena, Atlanta, Georgia",Drexel,Georgia State,Away,25.0,5,8.8,3,126.3,52.2,16,0.452,52,0.385,20,0.269,14,0.714,10,7,200.0,100.0,41.4,8,21,57,5.3,3,0.173,9.0,0.778,7.0,46.2,24,0.486,15.9,11,43.0,0.302,13.0,0.533,8,48.1,47.36,47.06540669613373,10.2,10.3,10.733628003861202,10.86,9.26,13.076507646192146,4.0,3.3,4.802011888431642,91.96,93.2,95.86435502718084,51.1,59.410000000000004,51.966915612457456,19.2,19.7,19.370014733526396,0.458,0.4469,0.4668414367728497,50.6,53.7,52.91383427323072,0.4168,0.4093,0.4269865874104558,21.0,21.8,22.554082202916227,0.429,0.34249999999999997,0.3864246303917086,21.4,18.0,20.266270385611953,0.6844,0.6467,0.6726609764771632,14.6,11.8,13.666158614032417,5.2,3.8,5.235075953868821,200.0,202.5,200.73159579332423,97.56,93.7,100.2193974495758,45.3,43.7,45.75127775237516,11.0,12.6,11.52522481329066,20.2,20.1,20.822537214855465,60.8,59.4,62.982573794645134,11.3,10.95,10.748000812884216,7.0,6.9,6.740385103896765,0.268,0.2657,0.2710523802265915,13.8,14.2,14.377432301986488,0.3182,0.29910000000000003,0.2981618147640096,4.2,4.0,4.208250774780268,48.88,51.55,49.1656658029772,30.2,32.3,30.895239546817056,0.5014000000000001,0.48040000000000005,0.5043148402174467,18.72,19.630000000000003,17.322278108011993,13.4,14.9,12.839302951785807,36.8,39.5,38.53640197124423,0.4518,0.46109999999999995,0.47473469491439324,16.8,17.8,18.34583142813596,0.5164,0.4244,0.5013097088858407,5.6,3.6,5.740181882843063
2010-01-06,"Trask Coliseum, Wilmington, North Carolina",Georgia State,UNC Wilmington,Home,20.0,4,12.1,4,85.1,53.3,20,0.331,62,0.323,20,0.258,16,0.563,9,8,200.0,74.6,33.3,11,17,50,22.4,15,0.177,11.0,0.091,1.0,41.3,31,0.359,14.8,12,51.0,0.373,19.0,0.5,8,41.279999999999994,45.32727272727273,39.71027113075582,8.6,9.818181818181818,8.822418669240802,10.84,9.218181818181819,11.651005097461432,3.8,3.272727272727273,4.201341258954429,100.6,96.2090909090909,106.00957001812056,50.839999999999996,58.75454545454545,52.044610408304976,17.6,19.363636363636363,18.2466764890176,0.4394,0.4473636363636364,0.46189429118189984,52.2,53.54545454545455,52.60922284882048,0.3938,0.40709090909090906,0.41299105827363725,20.6,21.636363636363637,21.702721468610818,0.3738,0.3358181818181818,0.3472830869278058,19.4,17.636363636363637,18.17751359040797,0.6938,0.6528181818181819,0.6864406509847755,13.4,11.636363636363637,12.44410574268828,5.8,4.090909090909091,5.8233839692458815,200.0,202.27272727272728,200.48773052888282,97.86,94.27272727272727,100.14626496638387,46.92,43.49090909090909,44.30085183491678,11.2,12.181818181818182,10.350149875527107,21.2,20.181818181818183,20.88169147657031,59.4,59.18181818181818,60.98838252976343,10.2,10.436363636363636,8.932000541922811,6.2,6.545454545454546,5.493590069264511,0.2662,0.25727272727272726,0.23836825348439433,14.0,13.727272727272727,12.584954867990993,0.3738,0.34263636363636363,0.4581078765093397,4.8,4.2727272727272725,5.138833849853512,48.86,51.06363636363637,48.177110535318135,28.8,31.545454545454547,28.596826364544707,0.483,0.4809090909090909,0.4982098934782978,17.14,19.29090909090909,16.84818540534133,12.6,14.545454545454545,12.226201967857206,38.2,39.81818181818182,40.02426798082949,0.4122,0.44663636363636366,0.4171564632762622,15.8,17.363636363636363,16.563887618757306,0.5229999999999999,0.4342727272727273,0.5118731392572272,6.4,4.0,6.4934545885620425
2010-01-09,"GSU Sports Arena, Atlanta, Georgia",Northeastern,Georgia State,Away,43.5,10,11.1,3,115.8,57.1,16,0.471,51,0.451,23,0.176,9,0.667,6,9,200.0,94.7,40.7,7,21,54,14.0,8,0.157,8.0,0.25,2.0,47.9,23,0.488,17.9,11,43.0,0.488,21.0,0.471,8,34.019999999999996,43.21666666666667,33.140180753837214,7.6,9.333333333333334,7.214945779493869,12.58,9.458333333333334,11.80067006497429,4.4,3.3333333333333335,4.134227505969619,102.96,95.28333333333332,99.0397133454137,49.08,58.300000000000004,52.46307360553666,17.2,19.416666666666668,18.831117659345068,0.4316,0.43766666666666665,0.4182628607879333,55.4,54.25,55.73948189921366,0.38880000000000003,0.40008333333333335,0.38299403884909156,21.4,21.5,21.135147645740545,0.3298,0.3293333333333333,0.31752205795187055,18.2,17.5,17.451675726938646,0.67,0.6453333333333333,0.6452937673231837,12.2,11.416666666666666,11.296070495125521,6.6,4.416666666666667,6.548922646163922,200.0,202.08333333333334,200.3251536859219,96.44000000000001,92.63333333333333,91.63084331092259,42.86,42.641666666666666,40.63390122327785,11.2,12.083333333333334,10.566766583684739,20.4,19.916666666666668,19.58779431771354,59.6,58.416666666666664,57.32558835317562,11.34,11.433333333333332,13.421333694615207,7.2,7.25,8.662393379509673,0.25379999999999997,0.2505833333333333,0.21791216898959623,14.0,13.5,12.056636578660662,0.3556,0.32166666666666666,0.33573858433955983,4.6,4.0,3.7592225665690084,45.54,50.25,45.88474035687876,28.4,31.5,29.397884243029807,0.46799999999999997,0.47075,0.45180659565219855,15.02,18.916666666666668,16.165456936894223,11.2,14.333333333333334,12.150801311904806,41.4,40.75,43.682845320553,0.40679999999999994,0.44049999999999995,0.4024376421841749,16.8,17.5,17.375925079171537,0.5118,0.43975000000000003,0.5079154261714849,7.0,4.333333333333333,6.995636392374696
2010-01-13,"Patriot Center, Fairfax, Virginia",Georgia State,George Mason,Home,42.9,9,17.9,5,92.9,71.0,24,0.441,51,0.412,21,0.118,6,0.667,4,10,200.0,87.5,50.0,11,16,49,3.6,2,0.275,14.0,0.214,3.0,61.4,35,0.455,20.7,12,37.0,0.486,18.0,0.444,8,37.16,43.23846153846154,36.59345383589148,8.6,9.384615384615385,8.143297186329246,13.539999999999997,9.584615384615384,11.567113376649527,4.6,3.3076923076923075,3.756151670646413,105.46,96.86153846153846,104.62647556360913,51.260000000000005,58.20769230769231,54.00871573702444,18.0,19.153846153846153,17.887411772896712,0.4508,0.4402307692307692,0.43584190719195554,54.4,54.0,54.15965459947578,0.41479999999999995,0.40399999999999997,0.4056626925660611,22.4,21.615384615384617,21.756765097160365,0.2972,0.31753846153846155,0.2703480386345804,16.2,16.846153846153847,14.634450484625765,0.6666,0.647,0.6525291782154559,10.8,11.0,9.530713663417014,7.2,4.769230769230769,7.365948430775949,200.0,201.92307692307693,200.21676912394793,97.03999999999999,92.79230769230769,92.65389554061507,41.0,42.49230769230769,40.655934148851905,9.2,11.692307692307692,9.37784438912316,20.4,20.0,20.058529545142363,59.4,58.07692307692308,56.21705890211708,11.48,11.63076923076923,13.614222463076805,7.2,7.3076923076923075,8.441595586339783,0.20299999999999999,0.2433846153846154,0.19760811265973083,11.0,13.076923076923077,10.704424385773775,0.3534,0.3161538461538461,0.30715905622637324,3.8,3.8461538461538463,3.1728150443793393,45.46,50.06923076923077,46.5564935712525,27.2,30.846153846153847,27.265256162019874,0.481,0.47207692307692306,0.46387106376813236,15.680000000000001,18.838461538461537,16.743637957929483,11.2,14.076923076923077,11.767200874603205,43.4,40.92307692307692,43.455230213702,0.4316,0.4441538461538462,0.4309584281227833,18.6,17.76923076923077,18.583950052781027,0.515,0.4421538461538462,0.4956102841143233,7.6,4.615384615384615,7.330424261583131
2010-01-16,"GSU Sports Arena, Atlanta, Georgia",VCU,Georgia State,Away,64.3,18,3.3,1,130.2,50.0,10,0.484,62,0.452,28,0.177,11,0.818,9,11,200.0,109.5,36.4,11,16,69,12.7,8,0.161,10.0,0.4,4.0,41.2,21,0.513,11.9,8,52.0,0.462,24.0,0.421,8,37.040000000000006,43.214285714285715,38.695635890594325,8.4,9.357142857142858,8.428864790886164,14.080000000000002,10.178571428571429,13.678075584433017,4.6,3.4285714285714284,4.170767780430943,103.08,96.57857142857142,100.71765037573944,57.720000000000006,59.121428571428574,59.67247715801629,20.0,19.5,19.924941181931143,0.43899999999999995,0.4402857142857143,0.43756127146130375,54.2,53.785714285714285,53.106436399650526,0.4088,0.4045714285714285,0.40777512837737406,22.0,21.571428571428573,21.504510064773577,0.24779999999999996,0.3032857142857143,0.21956535908972027,13.6,16.071428571428573,11.756300323083844,0.6526000000000001,0.6484285714285714,0.6573527854769706,8.8,10.5,7.6871424422780095,8.0,5.142857142857143,8.243965620517299,200.0,201.78571428571428,200.14451274929863,93.24000000000001,92.41428571428571,90.93593036041005,43.8,43.028571428571425,43.77062276590127,10.0,11.642857142857142,9.918562926082107,19.0,19.714285714285715,18.705686363428242,56.0,57.42857142857143,53.81137260141139,11.879999999999999,11.057142857142855,10.27614830871787,7.4,6.928571428571429,6.2943970575598565,0.1964,0.24564285714285714,0.22340540843982057,10.6,13.142857142857142,11.802949590515851,0.3212,0.30885714285714283,0.27610603748424883,3.2,3.7857142857142856,3.1152100295862266,50.239999999999995,50.878571428571426,51.50432904750167,30.0,31.142857142857142,29.84350410801325,0.4638,0.4708571428571428,0.4609140425120883,16.979999999999997,18.97142857142857,18.06242530528632,11.6,13.928571428571429,11.844800583068803,43.6,40.642857142857146,41.30348680913467,0.4344,0.4471428571428571,0.4493056187485222,18.8,17.785714285714285,18.389300035187354,0.5038,0.4422857142857143,0.4784068560762156,8.0,4.857142857142857,7.553616174388754
