date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-26,"Lahaina Civic Center, Lahaina, Hawaii",Georgia,Michigan State,Home,44.4,12,10.9,5,114.8,76.7,23,0.508,65,0.415,27,0.338,22,0.864,19,2,200,104.9,25.0,9,19,85,11.1,9,0.477,31,0.387,12,48.5,32,0.563,15.8,14,34,0.441,15,0.667,4,50.38,50.38,46.19876543209877,16.4,16.4,14.296296296296298,8.58,8.58,8.196296296296296,3.0,3.0,2.8641975308641987,96.62,96.62,98.57530864197533,76.67999999999999,76.67999999999999,76.0493827160494,26.0,26.0,25.123456790123463,0.5358,0.5358,0.5305802469135803,63.8,63.8,60.85185185185186,0.48599999999999993,0.48599999999999993,0.48207407407407415,31.0,31.0,29.308641975308646,0.4196,0.4196,0.41307407407407415,27.0,27.0,25.49382716049383,0.6294000000000001,0.6294000000000001,0.6141111111111113,17.4,17.4,16.135802469135804,0.2,0.2,0.3333333333333333,200.2,200.2,200.14814814814815,108.25999999999999,108.25999999999999,103.38271604938272,31.5,31.5,31.1962962962963,10.6,10.6,10.12345679012346,21.2,21.2,22.296296296296298,85.8,85.8,80.7283950617284,12.6,12.6,11.656790123456792,10.0,10.0,9.098765432098766,0.3338,0.3338,0.32559259259259266,21.4,21.4,19.851851851851855,0.3048,0.3048,0.30316049382716054,6.4,6.4,5.975308641975309,53.58,53.58,53.65061728395062,36.6,36.6,35.24691358024692,0.5588,0.5588,0.5514814814814817,15.219999999999999,15.219999999999999,17.68641975308642,13.2,13.2,14.962962962962964,42.4,42.4,41.0,0.5833999999999999,0.5833999999999999,0.5746666666666668,24.6,24.6,23.333333333333336,0.96,0.96,0.9333333333333333,2.8,2.8,3.0617283950617287
2019-11-27,"Lahaina Civic Center, Lahaina, Hawaii",Georgia,"Chaminade
			",Away,35.5,11,11.4,5,100.0,86.2,25,0.5,67,0.463,31,0.284,19,0.684,13,2,200,103.9,52.8,19,11,80,9.1,7,0.269,18,0.278,5,67.7,44,0.526,20.1,19,49,0.531,26,0.714,5,49.58,49.38333333333333,45.59917695473251,15.8,15.666666666666666,13.530864197530866,7.18,8.966666666666667,9.097530864197532,2.6,3.3333333333333335,3.5761316872427993,102.24000000000001,99.64999999999999,103.98353909465023,77.02000000000001,76.68333333333334,76.26625514403294,23.4,25.5,24.415637860082313,0.5314,0.5311666666666667,0.5230534979423869,63.6,64.0,62.23456790123458,0.475,0.4741666666666666,0.4597160493827161,30.2,30.333333333333332,28.539094650205765,0.3902,0.40599999999999997,0.3880493827160495,25.0,26.166666666666668,24.32921810699589,0.671,0.6685,0.6974074074074075,17.0,17.666666666666668,17.09053497942387,0.6,0.5,0.8888888888888888,200.2,200.16666666666666,200.0987654320988,107.31999999999998,107.69999999999999,103.88847736625516,30.18,30.416666666666668,29.13086419753087,10.0,10.333333333333334,9.74897119341564,19.8,20.833333333333332,21.19753086419753,84.6,85.66666666666667,82.15226337448561,12.66,12.350000000000001,11.471193415637861,10.0,9.833333333333334,9.065843621399178,0.35039999999999993,0.35766666666666663,0.3760617283950618,22.4,23.0,23.567901234567906,0.3206,0.3185,0.3311069958847737,7.2,7.333333333333333,7.983539094650206,52.11999999999999,52.73333333333333,51.933744855967085,33.4,35.833333333333336,34.16460905349795,0.5594,0.5595,0.5553209876543211,15.4,15.316666666666668,17.05761316872428,13.2,13.333333333333334,14.641975308641976,41.2,41.0,38.66666666666667,0.5565999999999999,0.5596666666666666,0.5301111111111112,23.0,23.0,20.555555555555557,0.8934000000000001,0.9111666666666668,0.8445555555555557,3.4,3.0,3.374485596707819
2019-12-04,"Stegeman Coliseum, Athens, Georgia",North Carolina Central,Georgia,Home,51.4,19,13.3,6,80.8,71.1,32,0.593,70,0.529,37,0.229,16,0.75,12,2,200,130.1,66.7,20,13,95,11.0,8,0.357,25,0.36,9,69.3,52,0.612,17.2,16,45,0.622,28,0.75,6,45.78,47.4,42.23278463648835,14.4,15.0,12.68724279835391,7.32,9.314285714285715,9.865020576131688,3.0,3.5714285714285716,4.050754458161866,102.46,99.7,102.65569272976683,77.48,78.04285714285713,79.57750342935529,23.2,25.428571428571427,24.610425240054877,0.53,0.5267142857142858,0.5153689986282579,62.6,64.42857142857143,63.82304526748972,0.476,0.47257142857142853,0.4608106995884774,29.8,30.428571428571427,29.35939643347051,0.3608,0.3885714285714285,0.35336625514403297,22.6,25.142857142857142,22.552812071330592,0.6658,0.6707142857142857,0.6929382716049384,15.2,17.0,15.727023319615917,1.0,0.7142857142857143,1.2592592592592593,200.2,200.14285714285714,200.0658436213992,106.25999999999999,107.15714285714286,103.89231824417013,36.94,33.614285714285714,37.02057613168725,12.2,11.571428571428571,12.832647462277095,18.6,19.428571428571427,17.798353909465025,81.6,84.85714285714286,81.43484224965708,11.5,11.885714285714286,10.680795610425243,8.8,9.428571428571429,8.377229080932786,0.3236,0.34500000000000003,0.3403744855967079,20.2,22.285714285714285,21.711934156378604,0.328,0.3127142857142857,0.3134046639231825,6.8,7.0,6.9890260631001375,56.339999999999996,54.871428571428574,57.18916323731139,35.4,37.0,37.44307270233197,0.5549999999999999,0.5547142857142857,0.5455473251028808,17.720000000000002,16.0,18.071742112482855,15.4,14.142857142857142,16.09465020576132,42.4,42.142857142857146,42.111111111111114,0.5418000000000001,0.5555714285714285,0.5304074074074074,23.0,23.428571428571427,22.370370370370374,0.8362,0.883,0.8010370370370372,4.0,3.2857142857142856,3.9163237311385464
2019-12-14,"Wells Fargo Arena, Tempe, Arizona",Georgia,Arizona State,Home,52.2,12,2.4,1,96.3,72.2,26,0.364,66,0.348,23,0.303,20,0.55,11,3,200,72.0,30.2,13,20,59,13.4,11,0.364,24,0.083,2,49.4,39,0.391,20.3,19,42,0.5,21,0.667,6,41.06,47.9,45.288523090992236,12.2,15.5,14.79149519890261,9.0,9.8125,11.010013717421126,3.8,3.875,4.700502972107911,100.78,97.3375,95.37046181984456,77.16,77.175,76.75166895290353,24.8,26.25,27.07361682670325,0.5188,0.535,0.5412459990855053,63.2,65.125,65.88203017832649,0.46240000000000003,0.47962499999999997,0.48354046639231835,29.2,31.25,31.906264288980342,0.33499999999999996,0.368625,0.3119108367626887,21.0,24.0,20.368541380887063,0.7074,0.680625,0.7119588477366257,15.0,16.375,14.48468221307728,1.4,0.875,1.5061728395061729,200.0,200.125,200.0438957475995,105.25999999999999,110.025,112.62821216278009,40.62,37.75,46.91371742112484,13.4,12.625,15.221764974851396,18.0,18.625,16.198902606310018,80.6,86.125,85.9565614997714,10.18,11.775,10.787197073616829,7.8,9.25,8.25148605395519,0.3352,0.34650000000000003,0.3459163237311386,21.2,22.625,22.807956104252405,0.32999999999999996,0.318625,0.328936442615455,7.2,7.25,7.659350708733426,57.94,56.675,61.22610882487426,38.2,38.875,42.29538180155465,0.5498000000000001,0.561875,0.5676982167352539,18.68,16.15,17.781161408321903,16.4,14.375,16.063100137174214,42.0,42.5,43.074074074074076,0.5257999999999999,0.563875,0.5609382716049383,22.0,24.0,24.24691358024692,0.7862,0.866375,0.7840246913580249,4.6,3.625,4.610882487425698
2019-12-20,"Stegeman Coliseum, Athens, Georgia",SMU,Georgia,Home,48.5,16,12.7,7,101.2,54.7,29,0.534,73,0.452,33,0.164,12,0.75,9,3,250,103.6,27.0,10,18,87,7.1,6,0.438,32,0.375,12,43.3,39,0.553,18.7,18,41,0.512,21,0.7,7,43.36,48.37777777777777,47.59234872732816,12.4,15.11111111111111,13.860996799268408,9.02,8.988888888888887,8.140009144947419,3.8,3.5555555555555554,3.467001981405274,100.3,97.22222222222223,95.68030787989638,76.44000000000001,76.62222222222222,75.23444596860236,25.0,26.22222222222222,26.7157445511355,0.4992,0.516,0.48216399939033694,63.4,65.22222222222223,65.92135345221766,0.449,0.46499999999999997,0.43836031092821226,28.4,30.333333333333332,28.937509525986897,0.30019999999999997,0.3613333333333333,0.3089405578417925,18.8,23.555555555555557,20.24569425392471,0.6754,0.6661111111111111,0.6579725651577505,12.8,15.777777777777779,13.323121475384854,2.0,1.1111111111111112,2.004115226337449,200.0,200.11111111111111,200.029263831733,98.9,105.80000000000001,99.08547477518674,40.16,36.91111111111111,41.342478280749894,13.4,12.666666666666666,14.481176649900931,17.4,18.77777777777778,17.465935070873346,76.0,83.11111111111111,76.9710409998476,10.84,11.955555555555556,11.65813138241122,8.4,9.444444444444445,9.16765736930346,0.3588,0.34844444444444445,0.3519442158207591,22.8,22.77777777777778,23.205304069501604,0.27159999999999995,0.29244444444444445,0.2469576284103034,6.4,6.666666666666667,5.772900472488951,57.4,55.86666666666667,57.284072549916175,38.4,38.888888888888886,41.19692120103643,0.5252,0.5428888888888889,0.508798811156836,20.28,16.61111111111111,18.620774272214604,18.0,14.88888888888889,17.042066758116142,40.6,42.44444444444444,42.71604938271605,0.5399999999999999,0.5567777777777778,0.5406255144032922,22.0,23.666666666666668,23.164609053497948,0.7196,0.8442222222222222,0.74501646090535,5.0,3.888888888888889,5.073921658283799
2019-12-23,"Stegeman Coliseum, Athens, Georgia",Georgia Southern,Georgia,Home,60.6,20,10.3,4,92.8,72.2,26,0.556,63,0.524,33,0.111,7,0.429,3,3,200,105.8,29.0,9,15,73,8.7,6,0.349,22,0.182,4,52.2,35,0.55,13.1,10,41,0.707,29,0.727,8,46.4,48.39,47.89489915155211,14.0,15.2,14.573997866178939,10.14,9.36,9.660006096631612,4.8,3.9,4.6446679876035155,98.61999999999999,97.62,97.52020525326427,72.18,74.42999999999999,68.38963064573491,27.0,26.5,27.47716303409034,0.4998,0.5178,0.49944266626022465,68.2,66.0,68.28090230147845,0.44139999999999996,0.46369999999999995,0.44290687395214157,30.2,30.6,30.2916730173246,0.2636,0.3416,0.260627038561195,17.8,22.4,17.497129502616474,0.7196,0.6745,0.6886483767718337,12.8,15.1,11.882080983589903,2.4,1.3,2.3360768175582995,210.0,205.1,216.686175887822,102.9,105.58,100.59031651679116,40.339999999999996,35.92,36.5616521871666,14.2,12.4,12.987451099933956,16.2,18.7,17.643956713915564,81.2,83.5,80.31402733323173,10.34,11.47,10.138754254940814,8.2,9.1,8.111771579535642,0.381,0.3574,0.38062947721383944,26.0,23.7,26.136869379667736,0.29660000000000003,0.3007,0.28963841894020226,8.0,7.2,7.848600314992634,55.64,54.61,52.62271503327745,41.2,38.9,40.46461413402429,0.529,0.5439,0.5235325407712241,18.419999999999998,16.82,18.647182848143068,17.2,15.2,17.361377838744097,42.2,42.3,42.144032921810705,0.5212,0.5523,0.5310836762688615,22.2,23.4,22.443072702331968,0.6996,0.8298,0.7300109739369001,5.6,4.2,5.7159477721892
2019-12-30,"Stegeman Coliseum, Athens, Georgia",Austin Peay,Georgia,Home,58.1,18,13.6,6,64.0,80.0,36,0.625,56,0.554,31,0.232,13,0.615,8,3,198,104.0,29.2,7,19,78,2.7,2,0.375,21,0.381,8,62.3,43,0.627,23.5,19,35,0.657,23,0.75,9,49.64,49.5,52.129932767701405,15.6,15.636363636363637,16.382665244119295,10.02,9.445454545454545,9.873337397754408,4.6,3.909090909090909,4.429778658402344,94.22,97.18181818181819,95.94680350217618,71.28,74.22727272727273,69.65975376382328,27.6,26.454545454545453,26.984775356060226,0.5094000000000001,0.5212727272727272,0.5182951108401499,67.8,65.72727272727273,66.52060153431897,0.46319999999999995,0.46918181818181814,0.4699379159680944,31.4,30.818181818181817,31.194448678216403,0.2182,0.3206363636363636,0.2107513590407967,14.8,21.0,13.998086335077652,0.6325999999999999,0.6521818181818182,0.6020989178478892,9.6,14.0,8.921387322393269,2.6,1.4545454545454546,2.5573845450388664,210.0,204.63636363636363,211.124117258548,103.08,105.6,102.32687767786078,41.14,35.29090909090909,34.04110145811107,14.2,12.090909090909092,11.658300733289305,15.4,18.363636363636363,16.762637809277045,78.8,82.54545454545455,77.8760182221545,9.86,11.218181818181819,9.659169503293876,7.6,8.818181818181818,7.407847719690428,0.3554,0.35663636363636364,0.37008631814255966,24.2,23.545454545454547,24.75791291977849,0.2556,0.2899090909090909,0.2537589459601349,6.4,6.909090909090909,6.565733543328423,56.379999999999995,54.39090909090908,52.48181002218497,41.8,38.54545454545455,38.64307608934953,0.5264,0.5444545454545454,0.5323550271808162,17.880000000000003,16.481818181818184,16.798121898762044,16.4,14.727272727272727,14.9075852258294,43.6,42.18181818181818,41.76268861454047,0.5744,0.5663636363636363,0.5897224508459077,25.0,23.90909090909091,24.62871513488798,0.7116,0.8204545454545454,0.7290073159579334,6.4,4.545454545454546,6.4772985147928
2020-01-04,"FedExForum, Memphis, Tennessee",Georgia,Memphis,Away,75.0,18,7.7,3,83.8,68.3,28,0.475,61,0.393,24,0.18,11,0.636,7,3,200,87.8,19.4,7,16,65,10.8,8,0.361,22,0.455,10,45.5,35,0.491,19.6,16,39,0.359,14,0.769,10,54.160000000000004,50.21666666666667,54.119955178467606,17.0,15.833333333333334,16.921776829412863,10.459999999999999,9.791666666666666,11.115558265169607,4.8,4.083333333333333,4.953185772268229,87.02000000000001,94.41666666666667,85.29786900145079,70.03999999999999,74.70833333333333,73.10650250921552,29.8,27.25,29.989850237373485,0.5344,0.5299166666666667,0.5538634072267666,65.6,64.91666666666667,63.01373435621265,0.4814,0.47625,0.49795861064539637,31.4,30.833333333333332,31.12963245214427,0.20779999999999998,0.31325,0.21783423936053115,13.6,20.333333333333332,13.665390890051768,0.6188,0.6490833333333333,0.6063992785652594,8.6,13.5,8.614258214928846,2.8,1.5833333333333333,2.704923030025911,209.6,204.08333333333334,206.7494115056987,103.1,105.46666666666665,102.88458511857385,36.42,34.78333333333333,32.42740097207405,11.8,11.666666666666666,10.105533822192871,17.0,18.416666666666668,17.508425206184697,78.4,82.16666666666667,77.91734548143634,8.58,10.508333333333335,7.339446335529252,6.6,8.25,5.605231813126953,0.3766,0.3581666666666667,0.3717242120950398,24.8,23.333333333333332,23.50527527985233,0.2762,0.2975,0.2961726306400899,7.0,7.0,7.043822362218949,55.3,55.050000000000004,55.75454001478999,41.6,38.916666666666664,40.095384059566356,0.5466,0.5513333333333333,0.5639033514538775,18.56,17.066666666666666,19.032081265841363,16.4,15.083333333333334,16.27172348388627,40.8,41.583333333333336,39.50845907636032,0.5996,0.5739166666666666,0.6121483005639385,24.4,23.833333333333332,24.085810089925324,0.7188,0.8145833333333333,0.736004877305289,7.2,4.916666666666667,7.318199009861867
2020-01-07,"Stegeman Coliseum, Athens, Georgia",Kentucky,Georgia,Away,45.8,11,4.0,2,105.4,70.3,26,0.465,57,0.421,24,0.404,23,0.696,16,4,200,93.2,18.8,6,21,69,10.8,8,0.404,23,0.217,5,46.4,32,0.508,17.3,14,34,0.559,19,0.714,10,58.88000000000001,52.12307692307692,61.07997011897841,16.8,16.0,17.28118455294191,9.34,9.63076923076923,9.977038843446405,4.2,4.0,4.3021238481788195,87.62,93.6,84.79857933430054,69.48,74.21538461538461,71.50433500614369,29.0,27.307692307692307,29.32656682491566,0.5108,0.5256923076923077,0.5275756048178444,63.8,64.61538461538461,62.34248957080844,0.4542,0.4698461538461539,0.46297240709693094,28.8,30.307692307692307,28.753088301429518,0.198,0.303,0.20522282624035412,12.6,19.615384615384617,12.776927260034512,0.5960000000000001,0.6480769230769231,0.616266185710173,7.6,13.0,8.076172143285898,3.0,1.6923076923076923,2.8032820200172743,209.6,203.76923076923077,204.49960767046582,94.64,104.10769230769232,97.85639007904925,26.96,33.6,28.084933981382697,9.2,11.307692307692308,9.070355881461914,17.6,18.23076923076923,17.005616804123132,72.4,80.84615384615384,73.6115636542909,8.540000000000001,10.53076923076923,8.492964223686169,6.6,8.23076923076923,6.403487875417969,0.3774,0.35838461538461536,0.36814947473002657,24.2,23.23076923076923,23.00351685323489,0.2952,0.3096153846153846,0.34911508709339334,7.2,7.230769230769231,8.029214908145967,50.54,54.315384615384616,52.336360009859995,38.2,38.61538461538461,38.39692270637757,0.5224,0.5466923076923077,0.539602234302585,19.04,17.26153846153846,19.22138751056091,16.4,15.153846153846153,16.181148989257515,39.6,41.38461538461539,39.33897271757355,0.547,0.5573846153846154,0.5277655337092924,21.6,23.076923076923077,20.723873393283554,0.7226,0.8110769230769231,0.7470032515368593,8.0,5.3076923076923075,8.212132673241245
2020-01-11,"Auburn Arena, Auburn, Alabama",Georgia,Auburn,Home,47.4,9,7.9,3,117.1,66.7,20,0.43,50,0.38,19,0.66,33,0.515,17,5,200,85.7,26.3,10,20,60,10.0,7,0.38,19,0.263,5,44.1,30,0.457,17.8,14,31,0.452,14,0.667,10,57.6,51.67142857142857,55.98664674598561,16.6,15.642857142857142,15.18745636862794,9.66,9.228571428571428,7.984692562297603,4.4,3.857142857142857,3.5347492321192133,89.44,94.44285714285715,91.66571955620037,69.1,73.93571428571428,71.1028900040958,29.0,27.214285714285715,28.21771121661044,0.531,0.5213571428571429,0.5067170698785629,62.0,64.07142857142857,60.561659713872295,0.46880000000000005,0.46635714285714286,0.4489816047312873,29.0,29.857142857142858,27.16872553428635,0.2182,0.3102142857142857,0.2714818841602361,13.2,19.857142857142858,16.18461817335634,0.6252,0.6515000000000001,0.642844123806782,8.6,13.214285714285714,10.717448095523933,3.2,1.8571428571428572,3.2021880133448497,209.6,203.5,202.99973844697723,98.88,103.32857142857142,96.3042600526995,24.68,32.542857142857144,24.989955987588466,7.8,10.928571428571429,8.04690392097461,17.8,18.428571428571427,18.337077869415424,74.4,80.0,72.07437576952728,8.02,10.549999999999999,9.261976149124113,6.0,8.214285714285714,6.93565858361198,0.3854,0.3616428571428571,0.38009964982001776,24.0,23.214285714285715,23.00234456882326,0.322,0.303,0.3050767247289289,7.8,7.071428571428571,7.019476605430645,49.94,53.75,50.357573339906665,36.8,38.142857142857146,36.264615137585054,0.5458000000000001,0.5439285714285714,0.5290681562017234,18.44,17.264285714285716,18.58092500704061,15.4,15.071428571428571,15.454099326171677,38.0,40.857142857142854,37.559315145049034,0.5588,0.5575,0.5381770224728617,21.2,22.785714285714285,20.149248928855705,0.732,0.804142857142857,0.7360021676912396,8.8,5.642857142857143,8.808088448827498
