date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-01-04,"Millis Center, High Point, North Carolina",UNC Asheville,High Point,Home,70.8,17,16.3,8,80.5,73.0,27,0.509,54,0.444,24,0.315,17,0.647,11,6,200.0,85.7,27.6,8,20,66,11.7,9,0.37,20.0,0.35,7.0,53.0,35,0.532,28.1,23,34.0,0.5,17.0,0.538,7,52.4,52.4,54.170370370370385,12.2,12.2,12.97530864197531,9.06,9.06,7.951851851851854,3.6,3.6,3.283950617283951,118.4,118.4,120.90864197530865,54.48,54.48,52.6604938271605,16.0,16.0,15.51851851851852,0.45999999999999996,0.45999999999999996,0.47180246913580254,57.2,57.2,57.12345679012347,0.4034,0.4034,0.4200000000000001,23.0,23.0,23.814814814814817,0.31579999999999997,0.31579999999999997,0.3148518518518519,18.0,18.0,17.95061728395062,0.7216,0.7216,0.7595432098765433,13.0,13.0,13.654320987654323,3.4,3.4,3.9506172839506175,200.0,200.0,200.0,90.32000000000001,90.32000000000001,93.34567901234568,30.04,30.04,32.67037037037038,9.2,9.2,9.641975308641978,25.2,25.2,24.82716049382717,65.4,65.4,67.14814814814815,7.5200000000000005,7.5200000000000005,7.680246913580249,5.6,5.6,5.71604938271605,0.32120000000000004,0.32120000000000004,0.3054938271604939,18.2,18.2,17.32098765432099,0.3378,0.3378,0.3217654320987655,6.4,6.4,5.864197530864199,40.6,40.6,41.50740740740741,25.2,25.2,25.160493827160497,0.5004,0.5004,0.5154938271604939,21.8,21.8,21.982716049382717,17.6,17.6,17.740740740740744,39.0,39.0,39.802469135802475,0.4236,0.4236,0.45080246913580246,16.6,16.6,17.95061728395062,0.483,0.483,0.4647407407407408,3.0,3.0,3.2098765432098766
2010-01-21,"Millis Center, High Point, North Carolina",Liberty,High Point,Home,60.7,17,15.2,5,84.1,64.5,20,0.524,62,0.452,28,0.339,21,0.762,16,8,200.0,128.6,48.6,17,18,81,17.5,11,0.323,20.0,0.45,9.0,56.1,37,0.563,11.2,7,42.0,0.452,19.0,0.556,10,55.56,55.46666666666667,59.713580246913594,13.4,13.0,14.31687242798354,9.76,10.266666666666667,10.73456790123457,4.0,4.333333333333333,4.855967078189301,112.94000000000001,112.08333333333333,107.43909465020577,56.220000000000006,57.56666666666666,59.44032921810701,17.6,17.833333333333332,19.345679012345684,0.4758,0.4681666666666667,0.48420164609053506,56.6,56.666666666666664,56.082304526748985,0.422,0.4101666666666666,0.42800000000000005,23.8,23.166666666666668,23.876543209876544,0.3296,0.31566666666666665,0.31490123456790126,18.6,17.833333333333332,17.63374485596708,0.6938,0.7091666666666666,0.7220288065843623,13.0,12.666666666666666,12.769547325102883,4.4,3.8333333333333335,4.633744855967079,200.0,200.0,200.0,91.88000000000001,89.55,90.7971193415638,31.560000000000002,29.633333333333336,30.980246913580253,9.4,9.0,9.094650205761319,24.2,24.333333333333332,23.21810699588478,66.6,65.5,66.76543209876544,8.04,8.216666666666667,9.020164609053499,6.0,6.166666666666667,6.810699588477367,0.3144,0.3293333333333333,0.3269958847736626,17.6,18.5,18.213991769547327,0.3296,0.3398333333333334,0.33117695473251035,6.0,6.5,6.242798353909466,43.56,42.666666666666664,45.33827160493828,27.0,26.833333333333332,28.440329218107003,0.5126,0.5056666666666666,0.5209958847736627,22.26,22.849999999999998,24.021810699588478,17.8,18.5,19.49382716049383,39.0,38.166666666666664,37.86831275720165,0.4588,0.4363333333333333,0.46720164609053505,17.8,16.666666666666668,17.63374485596708,0.49060000000000004,0.4921666666666667,0.4891604938271606,4.2,3.6666666666666665,4.473251028806585
2010-01-28,"Charlie Justice Center, Asheville, North Carolina",High Point,UNC Asheville,Home,33.3,9,17.9,7,120.3,61.1,13,0.397,73,0.37,27,0.233,17,0.647,11,10,200.0,100.0,54.8,21,23,69,5.8,4,0.205,15.0,0.267,4.0,56.7,34,0.426,13.9,13,58.0,0.397,23.0,0.5,10,59.46,56.214285714285715,60.042386831275735,15.4,13.571428571428571,15.21124828532236,10.3,10.971428571428572,12.223045267489713,4.2,4.428571428571429,4.903978052126201,109.48000000000002,108.08571428571429,99.65939643347052,56.52,58.55714285714286,61.126886145404676,17.8,18.142857142857142,19.56378600823046,0.507,0.47614285714285715,0.49746776406035675,58.4,57.42857142857143,58.05486968449932,0.44820000000000004,0.4161428571428572,0.43600000000000005,26.0,23.857142857142858,25.251028806584365,0.30679999999999996,0.319,0.32293415637860085,18.0,18.285714285714285,18.755829903978054,0.7212,0.7167142857142857,0.7353525377229082,13.2,13.142857142857142,13.846364883401922,5.6,4.428571428571429,5.755829903978053,200.0,200.0,200.0,103.0,95.12857142857142,103.39807956104254,37.28,32.34285714285714,36.85349794238684,11.6,10.142857142857142,11.729766803840878,22.4,23.428571428571427,21.478737997256523,72.0,67.71428571428571,71.51028806584364,10.719999999999999,9.542857142857143,11.846776406035666,7.6,6.857142857142857,8.207133058984912,0.31100000000000005,0.3284285714285714,0.32566392318244175,18.0,18.714285714285715,18.809327846364887,0.364,0.35557142857142854,0.37078463648834026,6.8,6.857142857142857,7.161865569272978,47.32,44.58571428571429,48.92551440329218,29.4,28.285714285714285,31.293552812071336,0.5414,0.5138571428571429,0.5349972565157751,19.9,21.185714285714287,19.747873799725657,15.4,16.857142857142858,15.329218106995889,40.4,38.714285714285715,39.245541838134436,0.4806,0.43857142857142856,0.4621344307270234,19.2,17.0,18.08916323731139,0.5018,0.5012857142857143,0.5114403292181071,5.8,4.571428571428571,6.315500685871056
2010-02-20,"Vines Center, Lynchburg, Virginia",High Point,Liberty,Home,37.5,9,9.4,3,110.1,58.6,20,0.466,58,0.414,24,0.328,19,0.684,13,14,200.0,97.1,27.8,7,28,67,5.8,4,0.345,20.0,0.3,6.0,41.5,27,0.5,16.4,13,38.0,0.474,18.0,0.481,13,54.58,53.35,51.128257887517165,14.2,13.0,13.140832190214908,11.719999999999999,11.8375,14.115363511659808,4.8,4.75,5.6026520347508,109.05999999999999,109.6125,106.53959762231368,57.2,58.875,61.117924096936456,17.4,17.5,17.375857338820307,0.4756,0.46625,0.4639785093735712,61.8,59.375,63.03657978966622,0.42940000000000006,0.410375,0.41400000000000003,26.2,24.25,25.83401920438958,0.3176,0.30825,0.2929561042524006,19.4,18.125,18.170553269318702,0.7306,0.708,0.7059016918152722,14.2,12.875,12.897576588934616,7.0,5.125,7.170553269318702,200.0,200.0,200.0,102.7,95.7375,102.26538637402837,41.82000000000001,35.15,42.83566529492456,14.0,11.5,14.81984453589392,22.8,23.375,21.98582533150435,72.2,67.875,70.6735253772291,10.679999999999998,9.075,9.831184270690445,7.6,6.5,6.804755372656608,0.277,0.313,0.2854426154549612,16.8,18.25,17.539551897576594,0.3222,0.34450000000000003,0.33618975765889353,5.6,6.5,6.107910379515319,49.78,46.1,51.51700960219479,31.4,29.0,32.195701874714224,0.5146,0.502875,0.4986648376771834,18.7,20.275,17.798582533150437,15.2,16.375,14.552812071330592,45.0,41.125,45.497027892089626,0.4686,0.433375,0.44042295381801566,20.6,17.75,19.72610882487426,0.48760000000000003,0.501125,0.5076268861454047,7.0,5.25,7.543667123914037
2010-02-25,"Millis Center, High Point, North Carolina",Winthrop,High Point,Home,38.1,8,8.7,4,93.0,63.9,25,0.468,47,0.447,21,0.787,37,0.73,27,14,200.0,100.0,37.5,10,20,71,8.5,6,0.234,11.0,0.182,2.0,51.5,35,0.55,21.2,17,36.0,0.528,19.0,0.5,14,52.46,51.58888888888889,46.58550525834478,13.4,12.555555555555555,11.760554793476606,12.74,11.566666666666666,12.543575674439873,5.0,4.555555555555555,4.735101356500534,103.47999999999999,109.66666666666667,107.7263984148758,61.82000000000001,58.84444444444445,60.27861606462431,19.0,17.77777777777778,18.25057155921354,0.48319999999999996,0.4662222222222222,0.46465233958238084,59.6,59.22222222222222,61.35771985977749,0.434,0.4107777777777778,0.41400000000000003,25.6,24.22222222222222,25.222679469593057,0.3136,0.31044444444444447,0.3046374028349338,18.4,18.22222222222222,18.447035512879136,0.7258000000000001,0.7053333333333334,0.6986011278768481,13.4,12.88888888888889,12.93171772595641,8.8,6.111111111111111,9.447035512879136,200.0,200.0,200.0,102.88,95.88888888888889,100.54359091601891,40.1,34.333333333333336,37.823776863283044,12.4,11.0,12.213229690595949,22.0,23.88888888888889,23.990550221002902,70.4,67.77777777777777,69.44901691815274,9.059999999999999,8.71111111111111,8.487456180460297,6.2,6.222222222222222,5.869836915104406,0.29960000000000003,0.3165555555555556,0.30529507696997416,17.6,18.444444444444443,18.359701265051065,0.3196,0.33955555555555555,0.32412650510592905,5.8,6.444444444444445,6.071940253010213,50.88,45.58888888888889,48.17800640146319,31.4,28.77777777777778,30.463801249809485,0.5199999999999999,0.5025555555555555,0.49910989178478893,18.8,19.844444444444445,17.332388355433626,15.0,16.0,14.03520804755373,42.0,40.77777777777778,42.99801859472642,0.48039999999999994,0.4378888888888889,0.45161530254534377,19.8,17.77777777777778,19.150739216582842,0.495,0.49888888888888894,0.4987512574302699,8.8,6.111111111111111,9.362444749276026
2010-03-02,"Charlie Justice Center, Asheville, North Carolina",High Point,UNC Asheville,Home,62.5,15,8.8,3,116.7,62.1,22,0.458,60,0.4,24,0.533,32,0.563,18,15,200.0,101.4,41.0,12,28,73,1.4,1,0.383,23.0,0.304,7.0,50.0,34,0.485,14.9,13,37.0,0.459,17.0,0.5,15,48.08,50.24,43.75700350556319,12.0,12.1,10.507036528984404,13.5,11.28,11.262383782959915,5.4,4.5,4.490067571000356,97.6,108.0,102.81759894325054,64.22,59.35,61.485744043082875,21.0,18.5,20.50038103947569,0.4728,0.4664,0.4657682263882539,58.8,58.0,56.571813239851664,0.42539999999999994,0.4144,0.42500000000000004,24.8,23.9,23.815119646395374,0.40040000000000003,0.3581,0.4654249352232892,22.2,20.1,24.631357008586093,0.694,0.7078,0.7090674185845655,15.6,14.3,17.62114515063761,10.4,6.9,10.964690341919425,200.0,200.0,200.0,102.28,96.3,100.36239394401261,39.260000000000005,34.65,37.7158512421887,12.6,10.9,11.475486460397299,21.8,23.5,22.660366814001936,70.8,68.1,69.96601127876849,9.86,8.69,8.491637453640198,6.8,6.2,5.913224610069604,0.2954,0.3083,0.2815300513133161,17.2,17.7,15.906467510034044,0.30979999999999996,0.3238,0.2767510034039527,5.6,6.0,4.714626835340143,51.760000000000005,46.18,49.28533760097547,33.6,29.4,31.97586749987299,0.5142,0.5073000000000001,0.5160732611898593,18.16,19.98,18.62159223695575,14.6,16.1,15.023472031702488,41.6,40.3,40.665345729817616,0.4702,0.4469,0.47707686836356256,19.2,17.9,19.10049281105523,0.515,0.499,0.49916750495351325,10.8,6.9,10.908296499517352
2010-11-15,"Ted Constant Convocation Ctr., Norfolk, Virginia",High Point,Old Dominion,Home,62.5,10,11.1,4,114.5,52.8,19,0.37,54,0.296,16,0.537,29,0.586,17,1,200.0,82.6,27.0,10,25,57,5.8,4,0.407,22.0,0.364,8.0,39.7,29,0.421,19.3,16,32.0,0.25,8.0,0.5,1,46.42,51.35454545454545,50.0046690037088,11.6,12.363636363636363,12.004691019322937,12.0,11.054545454545455,10.441589188639945,4.4,4.363636363636363,3.9933783806669045,104.84,108.7909090909091,107.44506596216704,62.04,59.6,61.690496028721924,20.0,18.818181818181817,21.00025402631713,0.4626,0.4656363636363636,0.4631788175921693,60.0,58.18181818181818,57.714542159901114,0.4166,0.4130909090909091,0.41666666666666674,24.8,23.90909090909091,23.87674643093025,0.44400000000000006,0.374,0.4879499568155262,25.2,21.181818181818183,27.087571339057398,0.6772,0.6946363636363636,0.660378279056377,17.0,14.636363636363637,17.747430100425074,12.2,7.636363636363637,12.309793561279617,200.0,200.0,200.0,105.42,96.76363636363637,100.70826262934175,41.94,35.22727272727273,38.810567494792465,13.4,11.0,11.650324306931534,23.4,23.90909090909091,24.44024454266796,72.2,68.54545454545455,70.97734085251233,7.8,8.027272727272727,6.127758302426799,5.2,5.7272727272727275,4.275483073379736,0.29800000000000004,0.3150909090909091,0.31535336754221077,17.8,18.181818181818183,18.270978340022697,0.3006,0.322,0.2858340022693018,5.6,6.090909090909091,5.476417890226761,51.160000000000004,46.52727272727273,49.523558400650316,33.4,29.818181818181817,32.65057833324866,0.5048,0.5052727272727272,0.5057155074599062,15.52,19.518181818181816,17.381061491303832,12.6,15.818181818181818,14.348981354468325,42.2,40.0,39.44356381987841,0.462,0.448,0.47105124557570843,19.2,17.818181818181817,18.400328540703487,0.5074,0.4990909090909091,0.4994450033023422,12.4,7.636363636363637,12.272197666344901
2010-11-23,"McAlister Field House, Charleston, South Carolina",High Point,Citadel,Home,30.0,6,7.1,3,100.0,58.3,21,0.389,54,0.37,20,0.611,33,0.636,21,2,200.0,88.7,27.8,10,27,63,7.0,5,0.13,7.0,0.286,2.0,43.1,31,0.452,13.8,11,47.0,0.383,18.0,0.5,2,46.779999999999994,52.28333333333333,54.16977933580587,10.2,12.166666666666666,11.336460679548626,11.179999999999998,11.058333333333332,10.661059459093297,4.2,4.333333333333333,3.99558558711127,110.92,109.26666666666667,109.79671064144469,59.7,59.03333333333333,58.72699735248129,19.8,18.833333333333332,20.33350268421142,0.4318000000000001,0.45766666666666667,0.43211921172811285,58.4,57.833333333333336,56.47636143993408,0.3854,0.4033333333333333,0.37644444444444447,22.4,23.25,21.251164287286834,0.48360000000000003,0.38758333333333334,0.5042999712103509,26.8,21.833333333333332,27.725047559371603,0.642,0.6855833333333333,0.6355855193709181,17.2,14.833333333333334,17.498286733616716,10.8,7.083333333333333,8.539862374186413,200.0,200.0,200.0,96.22,95.58333333333333,94.67217508622784,37.62,34.541666666666664,34.87371166319498,12.0,10.916666666666666,11.100216204621024,24.8,24.0,24.626829695111972,67.4,67.58333333333333,66.31822723500822,5.459999999999999,7.841666666666666,6.018505534951199,3.8,5.583333333333333,4.183655382253158,0.31479999999999997,0.32275000000000004,0.34590224502814054,18.2,18.5,19.513985560015133,0.2834,0.3255,0.3118893348462012,5.4,6.25,6.3176119268178415,47.88,45.958333333333336,46.24903893376688,31.8,29.75,31.433718888832445,0.47640000000000005,0.49825,0.47747700497327084,17.139999999999997,19.5,18.02070766086922,14.4,15.833333333333334,14.899320902978886,40.2,39.333333333333336,36.962375879918945,0.42160000000000003,0.4315,0.3973674970504723,17.0,17.0,14.933552360468992,0.4962,0.4991666666666667,0.4996300022015615,10.6,7.083333333333333,8.514798444229935
2010-11-28,"Millis Center, High Point, North Carolina",Hampton,High Point,Away,63.2,12,17.9,7,101.4,78.8,26,0.449,49,0.388,19,0.51,25,0.8,20,3,200.0,92.8,15.6,5,26,64,10.1,7,0.245,12.0,0.5,6.0,47.7,31,0.526,16.7,12,37.0,0.351,13.0,0.4,2,46.12,50.56923076923077,46.113186223870585,9.6,11.692307692307692,9.557640453032418,9.02,10.753846153846155,9.474039639395532,3.4,4.230769230769231,3.663723724740847,106.85999999999999,108.55384615384615,106.5311404276298,59.14,58.97692307692308,58.58466490165419,21.4,19.0,20.55566845614095,0.43019999999999997,0.4523846153846154,0.41774614115207526,54.6,57.53846153846154,55.650907626622725,0.38539999999999996,0.40076923076923077,0.37429629629629635,21.0,23.0,20.83410952485789,0.5592,0.4047692307692308,0.5398666474735673,30.0,22.692307692307693,29.48336503958107,0.6397999999999999,0.6817692307692307,0.6357236795806122,19.2,15.307692307692308,18.66552448907781,9.2,6.6923076923076925,6.359908249457609,200.0,200.0,200.0,93.96000000000001,95.05384615384615,92.68145005748524,32.220000000000006,34.02307692307692,32.51580777546332,9.8,10.846153846153847,10.73347746974735,25.6,24.23076923076923,25.417886463407985,66.2,67.23076923076923,65.21215149000548,5.7,7.776923076923077,6.345670356634133,4.0,5.538461538461538,4.455770254835439,0.2998,0.3079230769230769,0.2739348300187604,16.6,17.615384615384617,15.342657040010089,0.2872,0.32246153846153847,0.30325955656413417,5.0,5.923076923076923,4.878407951211895,45.160000000000004,45.73846153846154,45.19935928917793,31.2,29.846153846153847,31.2891459258883,0.4816,0.4946923076923077,0.4689846699821806,17.12,19.06153846153846,16.613805107246147,14.0,15.461538461538462,13.599547268652591,38.0,39.92307692307692,40.30825058661263,0.41879999999999995,0.4277692307692308,0.39257833136698156,16.0,17.076923076923077,15.955701573645996,0.4962,0.49923076923076926,0.499753334801041,9.0,6.6923076923076925,6.343198962819958
2010-12-02,"Millis Center, High Point, North Carolina",Gardner-Webb,High Point,Home,40.9,9,15.8,6,87.7,62.9,22,0.48,49,0.449,22,0.592,29,0.655,19,3,200.0,90.4,18.8,6,27,66,15.1,11,0.204,10.0,0.3,3.0,41.8,28,0.526,18.5,14,39.0,0.487,19.0,0.5,3,51.260000000000005,51.471428571428575,51.808790815913724,10.2,11.714285714285714,10.371760302021613,10.719999999999999,11.264285714285714,12.282693092930355,4.2,4.428571428571429,4.775815816493898,105.12,108.04285714285713,104.82076028508654,63.17999999999999,60.392857142857146,65.32310993443613,22.6,19.5,22.370445637427302,0.42679999999999996,0.4521428571428571,0.42816409410138356,52.8,56.92857142857143,53.43393841774849,0.3802,0.39985714285714286,0.37886419753086426,20.0,22.714285714285715,20.222739683238593,0.5955999999999999,0.4122857142857143,0.5299110983157116,31.2,22.857142857142858,27.98891002638738,0.6629999999999999,0.6902142857142858,0.6904824530537415,20.6,15.642857142857142,19.110349659385207,7.0,6.428571428571429,5.23993883297174,200.0,200.0,200.0,93.1,94.89285714285714,92.72096670499016,29.78,32.707142857142856,26.877205183642218,9.4,10.428571428571429,8.8223183131649,25.2,24.357142857142858,25.61192430893866,65.6,67.0,64.80810099333699,6.56,7.942857142857142,7.597113571089422,4.6,5.642857142857143,5.303846836556959,0.27979999999999994,0.30342857142857144,0.26428988667917364,15.0,17.214285714285715,14.228438026673393,0.3272,0.33514285714285713,0.3688397043760895,5.0,5.928571428571429,5.252271967474597,46.4,45.878571428571426,46.03290619278529,32.0,29.928571428571427,31.1927639505922,0.4868,0.49692857142857144,0.48798977998812043,17.18,18.892857142857142,16.642536738164097,13.8,15.214285714285714,13.066364845768396,37.8,39.714285714285715,39.20550039107509,0.3942,0.42228571428571426,0.3787188875779877,15.0,16.785714285714285,14.970467715763998,0.4800000000000001,0.49214285714285716,0.466502223200694,6.8,6.357142857142857,4.895465975213306
