date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Titan Gym, Fullerton, California",Hofstra,Cal State Fullerton,Away,48.4,15,2.7,1,79.2,81.1,30,0.582,61,0.508,31,0.148,9,0.889,8,2,200,109.7,42.9,12,13,79,11.1,8,0.344,21,0.429,9,64.6,42,0.605,20.7,17,40,0.55,22,0.667,4,49.4,49.4,49.40740740740742,15.8,15.8,15.950617283950619,6.6,6.6,6.458024691358025,2.8,2.8,2.71604938271605,102.55999999999999,102.55999999999999,103.22469135802473,69.47999999999999,69.47999999999999,70.32098765432099,25.6,25.6,25.481481481481485,0.5469999999999999,0.5469999999999999,0.5559506172839506,64.4,64.4,64.30864197530865,0.4734,0.4734,0.4767530864197532,30.6,30.6,30.814814814814824,0.383,0.383,0.37560493827160496,22.8,22.8,22.172839506172842,0.7163999999999999,0.7163999999999999,0.7254074074074075,16.6,16.6,16.395061728395063,1.6,1.6,1.7037037037037042,200.0,200.0,200.0,114.02000000000001,114.02000000000001,116.09753086419755,23.419999999999998,23.419999999999998,22.62592592592593,8.0,8.0,7.814814814814815,16.6,16.6,16.75308641975309,87.0,87.0,87.82716049382717,10.440000000000001,10.440000000000001,10.965432098765433,8.0,8.0,8.34567901234568,0.369,0.369,0.3870740740740741,23.6,23.6,24.543209876543212,0.397,0.397,0.4047160493827161,9.2,9.2,9.80246913580247,48.019999999999996,48.019999999999996,47.65432098765432,33.6,33.6,33.2962962962963,0.5784,0.5784,0.5873827160493827,10.92,10.92,10.265432098765434,9.2,9.2,8.592592592592593,40.8,40.8,39.76543209876544,0.5178,0.5178,0.5186296296296297,21.4,21.4,21.01234567901235,0.38659999999999994,0.38659999999999994,0.40982716049382717,1.4,1.4,1.691358024691358
2019-11-27,"Jenny Craig Pavillion, San Diego, California",Hofstra,San Diego,Home,31.8,7,4.5,2,108.2,75.0,24,0.402,61,0.361,22,0.393,24,0.833,20,3,200,94.5,18.9,7,16,69,5.5,4,0.393,24,0.208,5,44.9,31,0.477,10.1,8,37,0.459,17,0.571,4,50.8,49.23333333333334,49.07160493827162,16.4,15.666666666666666,15.63374485596708,7.140000000000001,5.95,5.205349794238685,3.0,2.5,2.1440329218107004,96.14,98.66666666666667,95.21646090534983,73.06,71.41666666666667,73.91399176954732,26.8,26.333333333333332,26.98765432098766,0.5664,0.5528333333333334,0.5646337448559671,63.0,63.833333333333336,63.20576131687244,0.48979999999999996,0.4791666666666667,0.48716872427983554,31.0,30.666666666666668,30.87654320987655,0.392,0.34383333333333327,0.29973662551440333,23.2,20.5,17.78189300411523,0.7514000000000001,0.7451666666666666,0.7799382716049383,17.2,15.166666666666666,13.596707818930042,1.8,1.6666666666666667,1.8024691358024696,200.0,200.0,200.0,115.96,113.3,113.9650205761317,28.419999999999998,26.666666666666668,29.383950617283954,9.0,8.666666666666666,9.209876543209877,15.8,16.0,15.502057613168727,88.6,85.66666666666667,84.88477366255145,10.959999999999999,10.549999999999999,11.010288065843623,8.4,8.0,8.230452674897121,0.3526,0.36483333333333334,0.3727160493827161,22.0,23.166666666666668,23.362139917695476,0.4276,0.4023333333333334,0.4128106995884774,9.4,9.166666666666666,9.534979423868315,52.879999999999995,50.78333333333333,53.302880658436216,35.8,35.0,36.19753086419753,0.5998,0.5828333333333333,0.5932551440329219,13.040000000000001,12.549999999999999,13.743621399176956,11.0,10.5,11.395061728395063,41.0,40.666666666666664,39.84362139917696,0.5202000000000001,0.5231666666666667,0.5290864197530865,21.6,21.5,21.341563786008233,0.52,0.43333333333333335,0.49555144032921816,2.2,1.8333333333333333,2.460905349794239
2019-12-01,"FAU Arena, Boca Raton, Florida",Hofstra,Holy Cross,Away,40.7,11,0.0,0,87.3,77.8,21,0.526,57,0.474,27,0.614,35,0.886,31,3,200,115.2,32.1,9,17,91,16.5,13,0.281,16,0.375,6,54.5,30,0.618,19.0,17,41,0.512,21,0.625,5,46.120000000000005,46.74285714285714,43.31440329218108,14.6,14.428571428571429,12.755829903978054,7.24,5.742857142857143,4.970233196159123,3.0,2.4285714285714284,2.0960219478738003,98.56,100.02857142857144,99.54430727023322,74.56,71.92857142857143,74.27599451303155,26.2,26.0,25.99176954732511,0.525,0.5312857142857143,0.5104224965706448,64.2,63.42857142857143,62.470507544581636,0.4566,0.46228571428571424,0.4451124828532237,29.6,29.428571428571427,27.917695473251037,0.3434,0.35085714285714287,0.33082441700960225,21.0,21.0,19.85459533607682,0.7638,0.7577142857142858,0.7976255144032922,15.8,15.857142857142858,15.731138545953362,2.2,1.8571428571428572,2.2016460905349797,200.0,200.0,200.0,110.43999999999998,110.61428571428571,107.47668038408781,28.560000000000002,25.557142857142857,25.88930041152264,9.6,8.428571428571429,8.473251028806585,15.8,16.0,15.668038408779154,83.6,83.28571428571429,79.58984910836764,10.76,9.828571428571427,9.173525377229083,8.2,7.428571428571429,6.820301783264748,0.3658,0.36885714285714283,0.37947736625514406,23.2,23.285714285714285,23.574759945130317,0.36920000000000003,0.37457142857142856,0.3445404663923183,8.6,8.571428571428571,8.02331961591221,51.86,49.942857142857136,50.501920438957484,35.8,34.42857142857143,34.46502057613169,0.5640000000000001,0.5677142857142857,0.5545034293552813,12.36,12.200000000000001,12.529080932784638,10.4,10.142857142857142,10.26337448559671,41.0,40.142857142857146,38.89574759945131,0.5038,0.514,0.505724279835391,21.0,20.857142857142858,19.894375857338822,0.5342,0.45299999999999996,0.5207009602194788,2.8,2.142857142857143,2.973936899862826
2019-12-02,"FAU Arena, Boca Raton, Florida",Canisius,Hofstra,Home,40.9,9,0.0,0,79.2,82.4,28,0.393,61,0.361,22,0.279,17,0.941,16,3,200,88.9,37.5,12,14,64,11.1,8,0.246,15,0.267,4,60.6,40,0.463,19.9,17,46,0.391,18,0.667,6,46.760000000000005,45.987500000000004,42.44293552812073,15.0,14.0,12.170553269318702,4.68,5.025,3.313488797439416,2.0,2.125,1.3973479652492002,93.08000000000001,98.4375,95.46287151348882,77.62,72.6625,75.4506630086877,26.4,25.375,24.32784636488341,0.5444,0.530625,0.5156149977137632,63.0,62.625,60.64700502972109,0.47519999999999996,0.46375,0.4547416552354825,30.2,29.125,27.61179698216736,0.3804,0.38375,0.4252162780064015,22.6,22.75,24.90306355738455,0.8150000000000001,0.77375,0.8270836762688616,18.6,17.75,20.820759030635575,2.4,2.0,2.4677640603566533,200.0,200.0,200.0,114.54,111.1875,110.05112025605854,29.98,26.375,27.959533607681763,9.4,8.5,8.64883401920439,16.0,16.125,16.11202560585277,87.6,84.25,83.39323273891176,11.66,10.6625,11.61568358481939,9.0,8.125,8.880201188843166,0.36160000000000003,0.357875,0.3466515775034294,22.6,22.375,21.04983996342021,0.38099999999999995,0.374625,0.35469364426154554,8.6,8.25,7.348879743941475,54.419999999999995,50.512499999999996,51.834613625971656,35.8,33.875,32.9766803840878,0.5940000000000001,0.574,0.5756689529035209,13.8,13.05,14.68605395518976,11.8,11.0,12.50891632373114,40.4,40.25,39.597165066300875,0.5244,0.51375,0.5078161865569274,21.6,20.875,20.26291723822588,0.5925999999999999,0.4745,0.5554673068129858,3.6,2.5,3.6492912665752177
2019-12-07,"Reilly Center, St. Bonaventure, New York",Hofstra,St. Bonaventure,Home,18.8,3,3.3,1,109.0,58.6,17,0.302,58,0.276,16,0.345,20,0.5,10,4,200,67.2,31.7,13,20,45,10.4,7,0.328,19,0.158,3,42.9,30,0.333,17.3,14,39,0.333,13,0.6,6,41.6,45.422222222222224,41.928623685413825,10.8,13.444444444444445,11.113702179545802,2.46,4.466666666666667,2.2089925316262775,1.0,1.8888888888888888,0.9315653101661336,93.06,96.30000000000001,90.0419143423259,77.02,73.74444444444445,77.76710867245848,25.0,25.666666666666668,25.551897576588942,0.5014,0.5153333333333333,0.4747433318091755,58.6,62.44444444444444,60.76467001981406,0.43899999999999995,0.4523333333333333,0.42349443682365506,25.6,28.333333333333332,25.741197988111573,0.4,0.3721111111111111,0.3764775186709344,23.0,22.11111111111111,22.268709038256368,0.8698,0.7923333333333333,0.8650557841792411,19.8,17.555555555555557,19.213839353757052,2.6,2.111111111111111,2.645176040237769,200.0,200.0,200.0,106.8,108.71111111111111,103.00074683737236,28.339999999999996,27.61111111111111,31.139689071787846,8.6,8.88888888888889,9.76588934613626,15.4,15.88888888888889,15.408017070568516,78.2,82.0,76.92882182594118,11.120000000000001,10.711111111111112,11.44378905654626,8.2,8.11111111111111,8.586800792562112,0.34340000000000004,0.34544444444444444,0.31310105166895297,20.0,21.555555555555557,19.03322664228014,0.3558,0.3626666666666667,0.32546242950769705,7.2,7.777777777777778,6.232586495960984,53.120000000000005,51.63333333333333,54.75640908398111,33.6,34.55555555555556,35.317786922725205,0.5634,0.5616666666666666,0.538112635269014,15.6,13.81111111111111,16.424035970126507,13.0,11.666666666666666,14.005944215820762,38.6,40.888888888888886,41.73144337753392,0.4789999999999999,0.5001111111111112,0.4688774577046183,18.4,20.555555555555557,19.50861149215059,0.626,0.4958888888888889,0.5926448712086573,4.4,2.888888888888889,4.4328608443834785
2019-12-10,"Mack Sports Complex, Hempstead, New York",Stony Brook,Hofstra,Home,59.1,13,3.0,1,81.8,79.4,27,0.389,72,0.306,22,0.236,17,0.882,15,4,200,92.2,28.6,14,9,71,10.4,8,0.486,35,0.343,12,49.4,41,0.443,12.2,11,37,0.27,10,0.636,7,36.120000000000005,42.760000000000005,34.21908245694255,9.0,12.4,8.409134786363868,2.1,4.35,2.572661687750852,0.8,1.8,0.9543768734440892,92.58,97.57000000000001,96.36127622821726,74.97999999999999,72.22999999999999,71.37807244830566,24.0,24.8,22.701265051059295,0.441,0.49400000000000005,0.417162221206117,59.6,62.0,59.84311334654271,0.39599999999999996,0.4347,0.37432962454910346,23.6,27.1,22.494131992074383,0.3558,0.3694,0.3659850124472896,21.0,21.9,21.512472692170913,0.8098000000000001,0.7631,0.7433705227861608,17.0,16.8,16.142559569171368,3.0,2.3,3.0967840268251794,200.0,200.0,200.0,95.1,104.55999999999999,91.06716455824824,32.62,28.02,31.3264593811919,10.6,9.3,10.843926230757507,16.0,16.3,16.938678047045677,69.6,78.3,66.28588121729413,10.919999999999998,10.68,11.09585937103084,8.0,8.0,8.057867195041409,0.3184,0.3437,0.318067367779302,19.0,21.3,19.022151094853427,0.2874,0.3422,0.26964161967179806,5.4,7.3,5.15505766397399,53.5,50.76,50.804272722654076,34.6,34.1,33.545191281816805,0.4992,0.5388,0.46974175684600933,17.4,14.16,16.71602398008434,14.6,11.9,14.003962810547176,40.6,40.7,40.82096225168928,0.449,0.48340000000000005,0.4235849718030789,18.2,19.8,17.339074328100395,0.626,0.5063,0.5950965808057715,5.0,3.2,4.955240562922319
2019-12-19,"Jadwin Gymnasium, Princeton, New Jersey",Hofstra,Princeton,Away,40.0,12,17.1,7,97.3,71.0,22,0.533,61,0.492,30,0.443,27,0.815,22,4,200,117.6,38.2,13,19,87,10.8,8,0.279,17,0.294,5,53.8,35,0.589,13.1,11,44,0.568,25,0.667,8,38.260000000000005,44.24545454545455,42.512721637961704,8.6,12.454545454545455,9.939423190909245,2.16,4.2272727272727275,2.7151077918339013,0.8,1.7272727272727273,0.9695845822960596,93.1,96.13636363636364,91.50751748547819,74.64000000000001,72.88181818181819,74.05204829887045,23.4,25.0,24.1341767007062,0.4024,0.4844545454545454,0.40777481413741135,61.8,62.90909090909091,63.89540889769514,0.3556,0.423,0.35155308303273564,21.8,26.636363636363637,22.32942132804959,0.3734,0.35727272727272724,0.3226566749648597,22.6,21.454545454545453,20.008315128113942,0.8084,0.7739090909090909,0.7895803485241073,18.4,16.636363636363637,15.76170637944758,3.4,2.4545454545454546,3.397856017883453,200.0,200.0,200.0,91.6,103.43636363636364,91.4447763721655,29.76,28.072727272727274,30.417639587461267,11.0,9.727272727272727,11.895950820505005,15.2,15.636363636363637,14.292452031363785,68.0,77.63636363636364,67.85725414486276,10.780000000000001,10.654545454545454,10.863906247353896,8.0,8.0,8.038578130027606,0.3468,0.35663636363636364,0.37404491185286803,21.8,22.545454545454547,24.348100729902285,0.2702,0.3422727272727273,0.2940944131145321,6.0,7.7272727272727275,7.4367051093159935,50.46,50.63636363636363,50.33618181510272,34.4,34.72727272727273,36.030127521211206,0.4668,0.5300909090909092,0.4608278378973396,15.7,13.981818181818182,15.210682653389561,13.4,11.818181818181818,13.002641873698117,40.0,40.36363636363637,39.547308167792856,0.39299999999999996,0.464,0.3723899812020527,15.8,18.90909090909091,14.892716218733597,0.6197999999999999,0.518090909090909,0.6087310538705144,5.6,3.5454545454545454,5.636827041948212
2019-12-22,"Mack Sports Complex, Hempstead, New York",Manhattan,Hofstra,Home,59.1,13,7.3,3,75.0,82.9,29,0.5,51,0.431,22,0.275,14,0.857,12,4,200,92.6,19.2,5,11,63,11.8,8,0.49,25,0.28,7,55.7,34,0.546,22.9,17,26,0.577,15,0.692,9,39.9,43.89166666666667,41.67514775864114,9.6,12.416666666666666,10.62628212727283,4.680000000000001,5.3,7.510071861222601,1.8,2.1666666666666665,2.9797230548640394,90.92,96.23333333333333,93.4383449903188,73.84,72.72500000000001,73.03469886591364,23.0,24.75,23.42278446713747,0.4286,0.4885,0.44951654275827424,61.8,62.75,62.93027259846343,0.3818,0.42874999999999996,0.3983687220218238,23.4,26.916666666666668,24.886280885366396,0.3834,0.36441666666666667,0.36277111664323985,23.2,21.916666666666668,22.33887675207596,0.8048,0.7773333333333333,0.7980535656827382,18.8,17.083333333333332,17.841137586298387,3.6,2.5833333333333335,3.5985706785889686,200.0,200.0,200.0,96.22,104.61666666666667,100.16318424811034,33.62,28.916666666666668,33.01175972497418,12.2,10.0,12.263967213670004,15.8,15.916666666666666,15.861634687575858,71.6,78.41666666666667,74.23816942990851,11.84,10.666666666666666,10.842604164902598,8.8,8.0,8.025718753351738,0.324,0.3501666666666667,0.34236327456857873,20.4,22.083333333333332,21.89873381993486,0.2874,0.33825,0.29406294207635475,6.0,7.5,6.62447007287733,52.239999999999995,50.9,51.49078787673515,35.2,34.75,35.686751680807475,0.48919999999999997,0.535,0.5035518919315598,16.3,13.908333333333333,14.507121768926375,14.0,11.75,12.335094582465413,41.4,40.666666666666664,41.03153877852857,0.41479999999999995,0.47266666666666673,0.4375933208013685,17.4,19.416666666666668,18.261810812489067,0.639,0.5305,0.6281540359136764,6.4,3.9166666666666665,6.424551361298809
2019-12-28,"JMU Convocation Center, Harrisonburg, Virginia",Hofstra,James Madison,Away,40.0,10,4.9,2,104.1,73.8,31,0.509,56,0.446,25,0.571,32,0.781,25,4,200,112.3,21.9,7,19,82,4.1,3,0.5,28,0.25,7,51.4,38,0.576,11.4,9,28,0.643,18,0.714,10,43.58,45.06153846153847,47.483431839094095,10.0,12.461538461538462,11.417521418181888,6.140000000000001,5.453846153846154,7.440047907481734,2.4,2.230769230769231,2.9864820365760263,88.46000000000001,94.6,87.29222999354587,74.86,73.50769230769231,76.32313257727577,24.6,25.076923076923077,25.28185631142498,0.4234,0.4893846153846154,0.46634436183884953,60.6,61.84615384615385,58.95351506564229,0.37320000000000003,0.4289230769230769,0.4092458146812159,22.4,26.53846153846154,23.924187256910933,0.3156,0.3575384615384615,0.3335140777621599,19.0,21.307692307692307,19.559251168050643,0.799,0.7834615384615385,0.8177023771218255,15.0,16.692307692307693,15.894091724198926,3.8,2.6923076923076925,3.732380452392646,200.0,200.0,200.0,91.7,103.6923076923077,97.64212283207357,31.04,28.16923076923077,28.407839816649457,11.4,9.615384615384615,9.842644809113336,14.6,15.538461538461538,14.24108979171724,66.0,77.23076923076923,70.49211295327234,10.900000000000002,10.753846153846155,11.161736109935067,7.8,8.0,8.017145835567826,0.3658,0.36092307692307696,0.3915755163790525,22.2,22.307692307692307,22.93248921328991,0.26839999999999997,0.3337692307692308,0.28937529471756984,6.2,7.461538461538462,6.749646715251553,52.48,51.26923076923077,52.893858584490104,36.0,34.69230769230769,35.12450112053832,0.4748,0.5358461538461539,0.5177012612877065,17.080000000000002,14.600000000000001,17.304747845950917,14.0,12.153846153846153,13.890063054976942,38.4,39.53846153846154,36.02102585235238,0.42780000000000007,0.48069230769230775,0.48406221386757897,16.2,19.076923076923077,17.17454054165938,0.6524,0.542923076923077,0.6494360239424509,7.2,4.3076923076923075,7.283034240865873
2019-12-30,"SECU Arena, Towson, Maryland",Hofstra,Towson,Away,52.0,13,4.4,2,94.4,75.0,27,0.509,57,0.439,25,0.456,26,0.654,17,4,200,105.6,16.7,6,14,75,8.5,6,0.351,20,0.4,8,45.8,33,0.541,8.1,6,37,0.459,17,0.733,11,43.4,44.7,44.98895455939606,10.2,12.285714285714286,10.945014278787927,7.12,5.414285714285714,6.5933652716544895,2.8,2.2142857142857144,2.657654691050684,93.44,95.27857142857144,92.89481999569725,73.14000000000001,73.52857142857144,75.48208838485051,25.2,25.5,27.187904207616654,0.4466,0.4907857142857143,0.4805629078925664,59.6,61.42857142857143,57.96901004376153,0.3902,0.43014285714285716,0.4214972097874773,23.0,26.428571428571427,24.28279150460729,0.374,0.3727857142857142,0.41267605184143996,22.0,22.071428571428573,23.706167445367097,0.767,0.7832857142857143,0.8054682514145504,16.8,17.285714285714285,18.92939448279928,4.0,2.7857142857142856,3.821586968261764,200.0,200.0,200.0,96.38000000000001,104.30714285714285,102.52808188804906,27.919999999999998,27.72142857142857,26.238559877766306,10.4,9.428571428571429,8.895096539408891,15.6,15.785714285714286,15.827393194478162,69.6,77.57142857142857,74.32807530218156,9.5,10.278571428571428,8.807824073290046,6.8,7.642857142857143,6.344763890378551,0.4166,0.3708571428571429,0.4277170109193684,24.8,22.714285714285715,24.621659475526606,0.265,0.3277857142857143,0.2762501964783799,6.8,7.428571428571429,6.833097810167702,50.64,51.278571428571425,52.395905722993405,35.6,34.92857142857143,36.08300074702555,0.4974,0.5387142857142857,0.5371341741918044,15.379999999999999,14.37142857142857,15.336498563967279,12.4,11.928571428571429,12.260042036651296,34.8,38.714285714285715,33.34735056823492,0.4782,0.4922857142857143,0.5370414759117194,16.2,19.0,17.44969369443959,0.6617999999999999,0.5551428571428572,0.6709573492949673,8.0,4.714285714285714,8.188689493910582
