date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-29,"FAU Arena, Boca Raton, Florida",Holy Cross,Florida Atlantic,Home,52.0,13,2.7,1,126.1,61.3,19,0.565,54,0.463,25,0.296,16,0.5,8,6,200,100.0,25.0,8,24,69,7.2,5,0.407,22,0.5,11,42.9,27,0.56,17.6,13,32,0.438,14,0.0,0,53.3,53.3,52.653086419753095,13.6,13.6,13.740740740740744,8.68,8.68,9.477777777777778,3.2,3.2,3.5061728395061733,118.03999999999999,118.03999999999999,119.7604938271605,68.47999999999999,68.47999999999999,67.98024691358025,21.4,21.4,20.765432098765437,0.48040000000000005,0.48040000000000005,0.48270370370370375,60.6,60.6,61.13580246913581,0.4142,0.4142,0.4177283950617285,25.2,25.2,25.67901234567902,0.20220000000000002,0.20220000000000002,0.16416049382716053,11.8,11.8,9.703703703703704,0.6950000000000001,0.6950000000000001,0.6564197530864199,8.6,8.6,6.679012345679014,3.0,3.0,3.3950617283950617,205.0,205.0,203.70370370370372,91.72,91.72,91.17283950617286,20.660000000000004,20.660000000000004,20.97283950617284,7.0,7.0,7.049382716049383,18.6,18.6,18.32098765432099,67.0,67.0,66.0,5.22,5.22,4.8839506172839515,3.8,3.8,3.567901234567901,0.4232,0.4232,0.4207530864197532,25.6,25.6,25.654320987654327,0.3206,0.3206,0.3180987654320988,8.0,8.0,7.9629629629629655,43.88,43.88,43.53086419753086,28.4,28.4,27.814814814814824,0.504,0.504,0.5003827160493828,17.3,17.3,17.16913580246914,13.8,13.8,13.617283950617285,35.0,35.0,35.48148148148149,0.488,0.488,0.496246913580247,17.2,17.2,17.71604938271605,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,"FAU Arena, Boca Raton, Florida",Hofstra,Holy Cross,Away,62.1,18,4.9,2,115.2,67.9,19,0.574,54,0.537,29,0.222,12,0.583,7,7,200,87.3,22.2,6,24,69,10.1,8,0.333,18,0.222,4,45.5,25,0.578,28.0,23,36,0.694,25,0.0,0,53.7,53.083333333333336,52.43539094650207,13.2,13.5,13.49382716049383,9.22,7.683333333333334,7.218518518518519,3.4,2.8333333333333335,2.670781893004116,119.2,119.38333333333333,121.87366255144035,69.24,67.28333333333333,65.75349794238683,20.6,21.0,20.176954732510293,0.4934,0.4945,0.5101358024691358,58.0,59.5,58.75720164609054,0.41720000000000007,0.4223333333333333,0.43281893004115235,24.2,25.166666666666668,25.452674897119348,0.24640000000000004,0.21783333333333332,0.2081069958847737,14.0,12.5,11.80246913580247,0.635,0.6625,0.6042798353909467,9.4,8.5,7.11934156378601,4.0,3.5,4.263374485596708,205.0,204.16666666666666,202.46913580246917,93.74000000000001,93.10000000000001,94.11522633744858,23.72,21.383333333333336,22.31522633744856,8.0,7.166666666666667,7.366255144032923,19.6,19.5,20.213991769547327,66.6,67.33333333333333,67.0,5.9,5.55,5.655967078189301,4.2,4.0,4.045267489711934,0.42400000000000004,0.42050000000000004,0.4161687242798355,24.6,25.0,24.436213991769552,0.36879999999999996,0.3505,0.37873251028806587,8.8,8.5,8.97530864197531,45.14,43.71666666666667,43.32057613168724,28.6,28.166666666666668,27.54320987654322,0.5136000000000001,0.5133333333333333,0.520255144032922,17.46,17.349999999999998,17.312757201646093,13.6,13.666666666666666,13.411522633744859,33.4,34.5,34.320987654320994,0.4606,0.4796666666666667,0.4768312757201647,15.4,16.666666666666668,16.477366255144034,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-02,"FAU Arena, Boca Raton, Florida",Mercer,Holy Cross,Home,38.7,12,2.4,1,98.5,78.1,25,0.593,59,0.525,31,0.237,14,0.786,11,7,200,119.1,28.6,8,14,81,5.9,4,0.39,23,0.348,8,55.0,33,0.617,13.3,10,36,0.639,23,0.125,1,54.580000000000005,54.371428571428574,55.65692729766805,13.8,14.142857142857142,14.995884773662555,9.66,7.285714285714286,6.44567901234568,3.6,2.7142857142857144,2.4471879286694107,119.03999999999999,118.78571428571429,119.6491083676269,68.6,67.37142857142858,66.46899862825789,19.0,20.714285714285715,19.784636488340198,0.4974,0.5058571428571429,0.5314238683127572,57.6,58.714285714285715,57.17146776406037,0.4318000000000001,0.4387142857142857,0.46754595336076826,24.8,25.714285714285715,26.63511659807957,0.198,0.21842857142857144,0.21273799725651582,11.2,12.428571428571429,11.868312757201647,0.5900000000000001,0.6511428571428571,0.5971865569272978,6.6,8.285714285714286,7.079561042524007,5.0,4.0,5.175582990397805,205.0,203.57142857142858,201.64609053497946,89.05999999999999,92.27142857142857,91.84348422496572,24.94,21.5,22.27681755829904,8.2,7.0,6.910836762688616,19.8,20.142857142857142,21.47599451303155,63.8,67.57142857142857,67.66666666666667,7.38,6.2,7.137311385459534,5.4,4.571428571428571,5.363511659807957,0.41200000000000003,0.408,0.388445816186557,23.8,24.0,22.29080932784637,0.3222,0.3321428571428572,0.326488340192044,7.6,7.857142857142857,7.31687242798354,44.96,43.971428571428575,44.04705075445816,27.2,27.714285714285715,26.695473251028815,0.5077999999999999,0.5225714285714286,0.5395034293552814,20.04,18.87142857142857,20.875171467764062,15.8,15.0,16.60768175582991,33.8,34.714285714285715,34.880658436214,0.5052,0.5102857142857143,0.5492208504801098,17.2,17.857142857142858,19.318244170096023,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-07,"Jenny Craig Pavillion, San Diego, California",Holy Cross,San Diego,Home,45.5,10,2.7,1,95.8,69.7,23,0.405,58,0.379,22,0.224,13,0.308,4,8,200,71.8,30.6,11,24,51,9.9,7,0.172,10,0.3,3,49.3,34,0.397,23.0,19,48,0.396,19,0.111,1,50.14,52.4125,50.00461819844537,13.4,13.875,13.997256515775037,7.4399999999999995,6.675,5.097119341563787,2.8,2.5,1.9647919524462738,119.02000000000001,116.25,112.59940557841793,69.22,68.7125,70.34599908550527,19.8,21.25,21.5230909922268,0.5241999999999999,0.51675,0.5519492455418382,57.2,58.75,57.78097850937358,0.4614,0.4495,0.4866973022405122,26.4,26.375,28.090077732053047,0.21259999999999998,0.22075,0.22082533150434389,12.0,12.625,12.578875171467764,0.6072,0.668,0.6601243712848652,7.4,8.625,8.386374028349339,5.8,4.375,5.783721993598537,200.0,203.125,201.09739368998632,94.62,95.625,100.92898948331049,24.54,22.3875,24.38454503886603,7.6,7.125,7.273891175125744,19.2,19.375,18.983996342021037,67.4,69.25,72.11111111111111,6.82,6.1625,6.724874256973023,5.0,4.5,4.909007773205305,0.3982,0.40575,0.3889638774577047,22.8,23.875,22.52720621856425,0.32039999999999996,0.334125,0.3336588934613627,7.2,7.875,7.544581618655695,45.96,45.35,47.69803383630544,27.4,28.375,28.796982167352546,0.5353999999999999,0.534375,0.5653356195701876,18.96,18.175,18.35011431184271,14.8,14.375,14.405121170553272,34.4,34.875,35.25377229080934,0.5542,0.526375,0.5791472336534066,19.2,18.5,20.54549611339735,0.025,0.015625,0.041666666666666664,0.2,0.125,0.3333333333333333
2019-12-10,"Hart Recreation Center, Worcester, Massachusetts","Massachusetts-Boston
			",Holy Cross,Away,54.2,13,3.1,1,85.2,86.5,32,0.44,58,0.414,24,0.448,26,0.577,15,9,225,81.5,21.1,8,21,66,7.4,6,0.241,14,0.214,3,53.3,40,0.469,23.2,21,44,0.477,21,0.1,1,51.0,51.644444444444446,48.503078798963585,14.0,13.444444444444445,12.66483767718336,4.64,6.233333333333333,4.298079561042526,1.8,2.3333333333333335,1.6431946349641826,110.88,113.97777777777777,106.99960371894528,69.16,68.82222222222222,70.13066605700351,21.6,21.444444444444443,22.015393994817867,0.542,0.5043333333333333,0.5029661636945588,57.4,58.666666666666664,57.85398567291573,0.47759999999999997,0.44166666666666665,0.4507982014936749,27.4,25.88888888888889,26.0600518213687,0.2152,0.22111111111111112,0.22188355433622928,12.2,12.666666666666666,12.719250114311844,0.5354,0.628,0.5427495808565769,6.6,8.11111111111111,6.924249352232893,6.6,4.777777777777778,6.522481329065691,200.0,202.77777777777777,200.73159579332423,97.08000000000001,92.97777777777777,91.219326322207,25.8,23.3,26.456363359244023,8.0,7.555555555555555,8.51592745008383,21.2,19.88888888888889,20.65599756134736,68.8,67.22222222222223,65.07407407407408,6.9,6.577777777777778,7.7832495046486825,5.0,4.777777777777778,5.606005182136871,0.3378,0.37977777777777777,0.3166425849718032,19.4,22.333333333333332,18.351470812376167,0.3656,0.3303333333333333,0.32243926230757514,7.4,7.333333333333333,6.029721079103797,47.739999999999995,45.78888888888889,48.232022557536965,29.6,29.0,30.5313214449017,0.5446,0.5191111111111111,0.5092237463801251,19.28,18.711111111111112,19.90007620789514,15.2,14.88888888888889,15.936747447035515,38.0,36.333333333333336,39.50251486053956,0.5334,0.511888888888889,0.5180981557689377,20.0,18.555555555555557,20.0303307422649,0.0472,0.02622222222222222,0.06477777777777778,0.4,0.2222222222222222,0.5555555555555556
2019-12-14,"Koessler Athletic Center, Buffalo, New York",Holy Cross,Canisius,Home,48.0,12,7.1,3,105.3,75.8,25,0.484,61,0.41,25,0.311,19,0.684,13,10,200,94.7,41.2,14,25,72,9.2,7,0.475,29,0.31,9,58.2,39,0.514,21.5,19,32,0.5,16,0.091,1,50.5,51.9,50.4020525326424,13.2,13.4,12.776558451455575,3.16,5.92,3.898719707361684,1.2,2.2,1.4287964233094552,104.16,111.1,99.73306914596353,72.7,70.59,75.58711070466902,23.6,22.5,25.343595996545247,0.5154,0.4979,0.48197744246303925,56.6,58.6,57.90265711527715,0.4636,0.4389,0.43853213432911664,26.2,25.7,25.37336788091247,0.2854,0.24380000000000002,0.2972557028908195,16.2,14.0,17.146166742874563,0.5508,0.6229,0.5541663872377179,9.0,8.8,9.616166234821929,7.4,5.2,7.348320886043795,205.0,205.0,208.82106386221616,91.94,91.83,87.97955088147134,25.500000000000004,23.080000000000002,24.670908906162687,8.2,7.6,8.34395163338922,21.4,20.0,20.77066504089824,67.2,67.1,65.38271604938272,8.1,6.659999999999999,7.655499669765789,6.0,4.9,5.737336788091247,0.3086,0.3659,0.29142838998120213,17.4,21.5,16.90098054158411,0.31679999999999997,0.3187,0.2862928415383834,5.8,6.9,5.019814052735865,49.2,46.54,49.921348371691316,31.8,30.1,33.68754762993447,0.5242,0.5141,0.49581583092008347,21.02,19.16,21.000050805263427,17.2,15.5,17.624498298023678,39.2,37.1,41.00167657369305,0.5287999999999999,0.5084,0.5043987705126252,20.4,18.8,20.3535538281766,0.06720000000000001,0.033600000000000005,0.07651851851851853,0.6,0.3,0.7037037037037037
2019-12-22,"Hart Recreation Center, Worcester, Massachusetts",Sacred Heart,Holy Cross,Away,42.3,11,2.5,1,120.3,68.8,22,0.426,68,0.382,26,0.206,14,0.714,10,11,200,91.9,37.5,15,16,68,5.4,4,0.353,24,0.25,6,51.4,37,0.455,15.9,14,44,0.455,20,0.083,1,49.7,51.54545454545455,49.60136835509494,13.0,13.272727272727273,12.517705634303718,4.040000000000001,6.027272727272727,4.965813138241122,1.6,2.272727272727273,1.9525309488729703,100.0,110.57272727272726,101.58871276397569,75.6,71.06363636363636,75.65807380311267,24.8,22.727272727272727,25.229063997696834,0.4992,0.49663636363636365,0.48265162830869285,58.0,58.81818181818182,58.93510474351811,0.453,0.4362727272727273,0.4290214228860778,26.2,25.636363636363637,25.248911920608315,0.2884,0.24990909090909091,0.30183713526054634,16.8,14.454545454545455,17.764111161916375,0.5876,0.6284545454545455,0.5974442581584787,10.0,9.181818181818182,10.74411082321462,8.2,5.636363636363637,8.232213924029196,205.0,204.54545454545453,205.88070924147746,90.88,92.0909090909091,90.21970058764757,28.74,24.727272727272727,30.180605937441793,9.4,8.181818181818182,10.229301088926146,21.6,20.454545454545453,22.18044336059883,67.8,67.54545454545455,67.58847736625515,8.5,6.890909090909091,8.170333113177193,6.4,5.090909090909091,6.158224525394165,0.32220000000000004,0.37581818181818183,0.35261892665413475,18.8,22.181818181818183,20.933987027722743,0.2788,0.3179090909090909,0.2941952276922556,5.4,7.090909090909091,6.3465427018239104,52.260000000000005,47.6,52.68089891446088,34.2,30.90909090909091,35.45836508662298,0.515,0.5140909090909092,0.501877220613389,21.8,19.37272727272727,21.166700536842285,18.4,15.818181818181818,18.08299886534912,39.2,36.63636363636363,38.00111771579537,0.5412,0.5076363636363636,0.5029325136750835,20.8,18.545454545454547,18.9023692187844,0.0854,0.038818181818181814,0.08134567901234568,0.8,0.36363636363636365,0.8024691358024691
2019-12-29,"Times Union Center , Albany, New York",Holy Cross,Siena,Home,42.3,11,0.0,0,110.4,82.1,23,0.527,55,0.473,26,0.109,6,0.667,4,12,200,92.5,7.4,2,19,62,3.0,2,0.291,16,0.375,6,45.5,25,0.536,18.4,13,39,0.513,20,0.077,1,45.739999999999995,50.775,47.16757890339663,11.6,13.083333333333334,12.011803756202479,3.5599999999999996,5.733333333333333,4.143875425494082,1.4,2.1666666666666665,1.6350206325819803,101.02,111.38333333333333,107.82580850931713,75.78,70.875,73.37204920207512,25.4,22.666666666666668,24.15270933179789,0.46959999999999996,0.49075,0.46376775220579525,60.8,59.583333333333336,61.95673649567874,0.42200000000000004,0.43175,0.4133476152573853,25.6,25.666666666666668,25.499274613738876,0.2852,0.24625,0.2698914235070309,17.2,14.416666666666666,16.509407441277585,0.6138000000000001,0.6355833333333333,0.6362961721056525,10.6,9.25,10.49607388214308,9.0,6.083333333333333,9.15480928268613,205.0,204.16666666666666,203.92047282765165,91.8,92.075,90.77980039176505,31.8,25.791666666666668,32.62040395829453,11.2,8.75,11.819534059284099,20.0,20.083333333333332,20.120295573732555,67.6,67.58333333333333,67.72565157750344,7.5600000000000005,6.766666666666667,7.246888742118129,5.6,5.0,5.438816350262777,0.32619999999999993,0.3739166666666667,0.3527459511027565,20.0,22.333333333333332,21.955991351815165,0.2844,0.31224999999999997,0.27946348512817043,5.8,7.0,6.231028467882608,53.44,47.916666666666664,52.25393260964059,36.6,31.416666666666668,35.97224339108199,0.4904,0.5091666666666667,0.4862514804089261,19.380000000000003,19.083333333333332,19.41113369122819,16.6,15.666666666666666,16.72199924356608,40.8,37.25,40.00074514386358,0.4934,0.50325,0.4869550091167224,19.8,18.666666666666668,19.268246145856267,0.10200000000000001,0.0425,0.0818971193415638,1.0,0.4166666666666667,0.8683127572016462
2020-01-02,"Reitz Arena, Baltimore, Maryland",Holy Cross,Loyola (MD),Home,45.8,11,5.0,2,114.3,80.8,21,0.491,58,0.414,24,0.241,14,0.929,13,13,200,100.0,24.1,7,22,70,8.6,6,0.448,26,0.346,9,50.9,28,0.541,15.8,12,32,0.469,15,0.071,1,46.46,50.12307692307692,45.54505260226442,11.4,12.923076923076923,11.67453583746832,3.08,5.292307692307692,2.762583616996055,1.2,2.0,1.0900137550546536,103.4,111.3076923076923,108.68387233954476,76.58,71.73846153846154,76.28136613471675,25.0,22.692307692307693,23.768472887865265,0.45640000000000003,0.4935384615384616,0.4848451681371969,60.0,59.23076923076923,59.6378243304525,0.41159999999999997,0.4349230769230769,0.43323174350492355,24.6,25.692307692307693,25.66618307582592,0.25959999999999994,0.2356923076923077,0.21626094900468726,15.6,13.76923076923077,13.006271627518391,0.5900000000000001,0.638,0.6465307814037684,9.2,8.846153846153847,8.330715921428721,10.0,6.538461538461538,10.10320618845742,205.0,203.84615384615384,202.61364855176777,86.47999999999999,92.10769230769232,91.35320026117671,27.560000000000002,24.37692307692308,24.213602638863023,10.0,8.23076923076923,8.546356039522733,21.0,20.0,19.746863715821704,63.8,67.15384615384616,65.81710105166897,6.9799999999999995,6.476923076923077,5.8312591614120866,5.2,4.769230769230769,4.292544233508519,0.3064,0.3675384615384615,0.3321639674018377,18.6,21.846153846153847,19.97066090121011,0.28979999999999995,0.3170769230769231,0.311308990085447,5.4,6.923076923076923,6.154018978588406,51.54,47.73076923076923,50.0026217397604,35.0,30.923076923076923,32.31482892738799,0.4742,0.5112307692307693,0.5028343202726174,20.4,19.03076923076923,19.07408912748546,17.2,15.461538461538462,15.481332829044057,41.4,37.38461538461539,39.66716342924239,0.46820000000000006,0.504,0.49563667274448164,19.2,18.76923076923077,19.512164097237513,0.09240000000000001,0.04515384615384615,0.08026474622770921,1.0,0.46153846153846156,0.9122085048010975
2020-01-05,"Hart Recreation Center, Worcester, Massachusetts",Navy,Holy Cross,Home,58.3,14,9.5,4,98.4,66.7,18,0.58,50,0.48,24,0.32,16,0.313,5,13,200,101.6,25.0,8,18,63,8.1,5,0.44,22,0.455,10,44.1,26,0.547,16.2,11,28,0.5,14,0.133,2,46.519999999999996,49.81428571428571,45.630035068176284,11.6,12.785714285714286,11.449690558312213,3.54,5.271428571428571,3.50838907799737,1.4,2.0,1.393342503369769,107.1,111.52142857142857,110.55591489302985,78.8,72.38571428571429,77.7875774231445,24.6,22.571428571428573,22.845648591910177,0.47359999999999997,0.4933571428571429,0.4868967787581313,60.0,59.142857142857146,59.091882886968335,0.41859999999999997,0.4334285714285714,0.4268211623366157,25.0,25.571428571428573,25.110788717217282,0.263,0.23607142857142857,0.2245072993364582,15.8,13.785714285714286,13.337514418345595,0.7142000000000001,0.6587857142857143,0.7406871876025123,11.0,9.142857142857142,9.887143947619148,11.0,7.0,11.06880412563828,205.0,203.57142857142858,201.7424323678452,92.12,92.67142857142858,94.23546684078448,26.26,24.357142857142858,24.17573509257535,9.2,8.142857142857142,8.03090402634849,20.6,20.142857142857142,20.497909143881138,67.6,67.35714285714286,67.21140070111265,6.720000000000001,6.628571428571428,6.754172774274725,5.0,4.857142857142857,4.861696155672346,0.3616,0.3732857142857143,0.37077597826789177,21.8,22.142857142857142,21.98044060080674,0.29900000000000004,0.3191428571428571,0.3228726600569647,6.6,7.071428571428571,7.102679319058938,51.86,47.957142857142856,50.30174782650694,33.8,30.714285714285715,30.876552618258664,0.503,0.5133571428571428,0.5155562135150784,18.96,18.8,17.982726084990308,15.8,15.214285714285714,14.320888552696038,38.2,37.0,37.1114422861616,0.4828,0.5015,0.48675778182965446,18.4,18.5,18.008109398158343,0.0844,0.047,0.07717649748513947,1.0,0.5,0.9414723365340651
