date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"Baxter Arena, Omaha, Nebraska",IUPUI,Loyola (MD),Home,55.2,16,0.0,0,105.2,86.2,25,0.558,60,0.483,29,0.317,19,0.526,10,4,200,100.0,28.1,9,23,77,14.3,11,0.367,22,0.409,9,55.7,34,0.558,20.8,18,38,0.526,20,0.333,2,49.44,49.44,50.57654320987655,11.6,11.6,11.962962962962965,4.34,4.34,3.5358024691358034,1.8,1.8,1.4567901234567906,106.05999999999999,106.05999999999999,108.12345679012348,71.16,71.16,73.42222222222222,23.2,23.2,21.27160493827161,0.48179999999999995,0.48179999999999995,0.4937283950617284,56.8,56.8,56.22222222222223,0.41339999999999993,0.41339999999999993,0.4209012345679013,23.4,23.4,23.543209876543212,0.21739999999999998,0.21739999999999998,0.20183950617283958,12.2,12.2,11.222222222222223,0.5524,0.5524,0.5700617283950618,7.0,7.0,6.5925925925925934,2.0,2.0,2.135802469135803,200.0,200.0,200.0,87.78,87.78,89.71481481481483,29.26,29.26,30.598765432098766,9.4,9.4,9.370370370370372,18.0,18.0,18.172839506172842,61.4,61.4,61.70370370370371,9.92,9.92,10.225925925925928,7.0,7.0,7.08641975308642,0.395,0.395,0.3903580246913581,22.4,22.4,21.92592592592593,0.3448,0.3448,0.37127160493827166,7.6,7.6,8.024691358024691,49.94,49.94,50.80370370370371,32.6,32.6,30.641975308641978,0.4936,0.4936,0.5046172839506173,21.26,21.26,21.32345679012346,16.8,16.8,16.58024691358025,34.4,34.4,34.296296296296305,0.45640000000000003,0.45640000000000003,0.45079012345679026,15.8,15.8,15.518518518518519,0.2466,0.2466,0.2937777777777778,1.0,1.0,1.2592592592592593
2019-11-26,"Baxter Arena, Omaha, Nebraska",IUPUI,Southern,Home,48.1,13,9.3,4,122.1,69.2,18,0.545,56,0.482,27,0.429,24,0.667,16,5,200,113.2,25.0,9,17,77,5.9,4,0.357,20,0.35,7,43.5,27,0.571,11.9,9,36,0.556,20,0.286,2,53.81999999999999,50.4,52.11769547325103,13.4,12.333333333333334,13.308641975308644,3.0,3.6166666666666667,2.357201646090536,1.2,1.5,0.9711934156378605,101.3,105.91666666666667,107.14897119341566,76.26,73.66666666666667,77.68148148148148,24.8,23.5,22.514403292181075,0.5144,0.4945,0.5151522633744856,57.4,57.333333333333336,57.48148148148149,0.4364,0.425,0.44160082304526754,25.0,24.333333333333332,25.362139917695476,0.2528,0.23399999999999999,0.24022633744855973,14.4,13.333333333333334,13.814814814814817,0.6076,0.548,0.5553744855967079,8.6,7.5,7.728395061728396,2.6,2.3333333333333335,2.7572016460905355,200.0,200.0,200.0,92.62,89.81666666666666,93.14320987654322,28.02,29.066666666666666,29.76584362139918,8.8,9.333333333333334,9.246913580246915,19.8,18.833333333333332,19.78189300411523,67.4,64.0,66.80246913580248,11.16,10.65,11.583950617283953,8.2,7.666666666666667,8.390946502057615,0.39480000000000004,0.39033333333333337,0.38257201646090544,22.6,22.333333333333332,21.95061728395062,0.398,0.3555,0.3838477366255144,8.8,7.833333333333333,8.349794238683128,51.879999999999995,50.9,52.43580246913581,33.6,32.833333333333336,31.761316872427987,0.5278,0.5043333333333333,0.5224115226337449,21.660000000000004,21.183333333333334,21.14897119341564,17.6,17.0,17.053497942386834,34.8,35.0,35.530864197530875,0.46159999999999995,0.46799999999999997,0.47586008230452687,16.2,16.5,17.01234567901235,0.31320000000000003,0.261,0.3068518518518519,1.4,1.1666666666666667,1.5061728395061729
2019-11-30,"Indiana Farmers Coliseum, Indianapolis, Indiana",Evansville,IUPUI,Away,56.5,13,2.5,1,101.4,69.4,25,0.44,58,0.397,23,0.414,24,0.542,13,6,200,92.8,20.0,7,19,64,2.9,2,0.31,18,0.278,5,45.1,32,0.461,9.3,7,40,0.45,18,0.25,2,52.92,50.07142857142857,50.77846364883403,14.0,12.428571428571429,13.20576131687243,3.8600000000000003,4.428571428571429,4.671467764060358,1.6,1.8571428571428572,1.9807956104252402,100.0,108.22857142857143,112.1326474622771,78.2,73.02857142857142,74.85432098765433,24.0,22.714285714285715,21.009602194787384,0.54,0.5017142857142857,0.5251015089163238,57.8,57.142857142857146,56.98765432098766,0.4624,0.43314285714285716,0.4550672153635117,26.6,24.714285714285715,25.908093278463653,0.2756,0.26185714285714284,0.3031508916323732,15.8,14.857142857142858,17.20987654320988,0.6115999999999999,0.5650000000000001,0.5925829903978053,9.6,8.714285714285714,10.485596707818932,3.2,2.7142857142857144,3.5048010973936905,200.0,200.0,200.0,99.26,93.15714285714286,99.82880658436216,29.5,28.485714285714288,28.17722908093279,9.4,9.285714285714286,9.164609053497944,19.6,18.571428571428573,18.85459533607682,71.6,65.85714285714286,70.201646090535,11.2,9.971428571428572,9.689300411522638,8.2,7.142857142857143,6.92729766803841,0.3774,0.38557142857142856,0.374048010973937,21.8,22.0,21.30041152263375,0.4096,0.3547142857142857,0.37256515775034293,8.8,7.714285714285714,7.899862825788752,52.7,49.84285714285714,49.457201646090546,33.4,32.0,30.174211248285328,0.5518,0.5138571428571429,0.53860768175583,20.119999999999997,19.857142857142858,18.06598079561043,16.4,15.857142857142858,14.36899862825789,36.0,35.142857142857146,35.68724279835392,0.49280000000000007,0.48057142857142854,0.5025733882030179,17.8,17.0,18.0082304526749,0.3704,0.26457142857142857,0.2999012345679013,1.8,1.2857142857142858,1.6707818930041154
2019-12-04,"Ellis T. Johnson Arena, Morehead, Kentucky",IUPUI,Morehead State,Home,42.9,9,10.3,4,80.0,77.5,31,0.4,60,0.35,21,0.167,10,0.3,3,7,200,72.9,18.6,8,17,51,10.0,7,0.283,17,0.353,6,47.0,39,0.394,17.9,14,43,0.349,15,0.222,2,55.260000000000005,50.875,52.68564243255602,14.0,12.5,13.137174211248286,3.0,4.1875,3.947645176040239,1.2,1.75,1.6538637402834935,106.86000000000001,107.375,108.55509830818474,74.26,72.575,73.03621399176956,20.8,23.0,22.339734796524922,0.5309999999999999,0.494,0.49673433927754923,55.8,57.25,57.32510288065845,0.4566,0.428625,0.4357114769090078,25.4,24.5,24.938728852309104,0.31720000000000004,0.280875,0.34010059442158214,17.8,16.0,19.473251028806587,0.6342000000000001,0.562125,0.5757219935985369,11.0,9.25,11.323731138545956,4.0,3.125,4.336534064929127,200.0,200.0,200.0,100.25999999999999,93.1125,97.48587105624145,26.5,27.425,25.451486053955193,8.0,9.0,8.443072702331964,19.4,18.625,18.90306355738455,70.0,65.625,68.13443072702333,9.34,9.0875,7.4262002743484254,6.6,6.5,5.284865112025607,0.363,0.376125,0.35269867398262467,20.2,21.5,20.2002743484225,0.40360000000000007,0.345125,0.34104343850022867,8.2,7.375,6.933241883859168,48.92,49.25,48.0048010973937,28.8,32.0,30.78280749885689,0.5476,0.50725,0.5127384545038867,17.560000000000002,18.5375,15.14398719707362,13.6,14.75,11.912665752171929,35.6,35.75,37.12482853223595,0.4828,0.47675,0.4850489254686786,17.2,17.125,18.005486968449937,0.3538,0.26275,0.2832674897119342,2.0,1.375,1.7805212620027437
2019-12-07,"Worthen Arena, Muncie, Indiana",IUPUI,Ball State,Home,10.5,2,0.0,0,139.7,68.0,17,0.341,63,0.302,19,0.302,19,0.579,11,8,200,74.0,36.6,15,23,54,5.5,4,0.222,14,0.357,5,48.5,32,0.375,18.3,16,49,0.286,14,0.2,2,51.839999999999996,49.98888888888889,49.42376162170402,12.8,12.11111111111111,11.758116140832191,4.42,4.866666666666666,6.065096784026826,1.8,2.0,2.435909160188996,107.5,104.33333333333333,99.0367322054565,78.1,73.12222222222222,74.52414266117971,22.8,23.88888888888889,25.22648986434995,0.4886000000000001,0.48355555555555557,0.46448955951836624,58.0,57.55555555555556,58.216735253772306,0.4246,0.41988888888888887,0.40714098460600523,24.6,24.11111111111111,23.62581923487274,0.2976,0.26822222222222225,0.2824003962810548,17.2,15.333333333333334,16.315500685871058,0.5404,0.5329999999999999,0.48381466239902465,9.6,8.555555555555555,8.54915409236397,5.0,3.5555555555555554,5.224356043286084,200.0,200.0,200.0,94.56,90.86666666666666,89.29058070416097,25.0,26.444444444444443,23.167657369303463,8.4,8.88888888888889,8.295381801554644,19.2,18.444444444444443,18.268709038256368,66.2,64.0,62.42295381801556,8.440000000000001,9.18888888888889,8.284133516232284,6.0,6.555555555555555,5.8565767413504055,0.34199999999999997,0.36577777777777776,0.32946578265508314,19.8,21.0,19.133516232281668,0.36900000000000005,0.346,0.34502895900015246,7.4,7.222222222222222,6.6221612559061125,49.160000000000004,49.0,47.66986739826247,31.2,32.77777777777778,33.5218716659046,0.49960000000000004,0.49466666666666664,0.47315896966925786,15.98,18.466666666666665,16.062658131382413,12.6,14.666666666666666,12.608443834781287,38.2,36.55555555555556,39.083219021490635,0.45260000000000006,0.4625555555555556,0.4396992836457858,17.2,16.88888888888889,17.003657978966626,0.2982,0.2582222222222222,0.2628449931412895,2.0,1.4444444444444444,1.8536808413351626
2019-12-10,"Indiana Farmers Coliseum, Indianapolis, Indiana","Indiana-South Bend
			",IUPUI,Home,46.4,13,20.0,8,74.1,68.6,24,0.446,74,0.378,28,0.257,19,0.737,14,8,200,98.8,40.5,17,10,80,16.0,13,0.365,27,0.37,10,53.2,41,0.482,17.1,17,47,0.383,18,0.273,3,42.64,46.04,36.44917441446935,10.6,11.1,8.505410760554796,4.42,4.38,4.043397856017885,1.8,1.8,1.6239394401259974,109.67999999999999,107.87,112.59115480363768,74.06,72.61,72.34942844078648,23.2,23.2,22.4843265762333,0.45680000000000004,0.46930000000000005,0.4233263730122442,59.4,58.1,59.81115683584821,0.40279999999999994,0.40809999999999996,0.37209398973733687,23.8,23.6,22.083879489915162,0.3258,0.2716,0.2889335975207032,19.2,15.7,17.210333790580705,0.5227999999999999,0.5376000000000001,0.5155431082660165,10.6,8.8,9.366102728242648,6.0,4.0,6.149570695524057,200.0,200.0,200.0,90.58,89.17999999999999,84.19372046944065,25.660000000000004,27.46,27.645104912868977,9.6,9.5,10.530254534369764,19.8,18.9,19.845806025504245,64.6,63.0,59.61530254534371,7.720000000000001,8.82,7.356089010821523,5.6,6.3,5.237717827566938,0.30779999999999996,0.3514,0.2936438551033888,18.2,20.3,17.422344154854446,0.3494,0.3471,0.34901930600010167,6.4,7.0,6.081440837270742,47.96,48.95,47.946578265508315,32.8,32.7,33.01458111060307,0.4718,0.4827,0.4404393131128386,15.64,18.45,16.808438754254944,12.8,14.8,13.73896255652086,41.2,37.8,42.38881268099376,0.43339999999999995,0.44489999999999996,0.38846618909719055,17.4,16.6,16.00243865264442,0.25820000000000004,0.2524,0.24189666209419303,2.0,1.5,1.902453894223442
2019-12-14,"Indiana Farmers Coliseum, Indianapolis, Indiana",Purdue-Fort Wayne,IUPUI,Home,61.5,16,12.5,4,89.0,78.8,26,0.517,58,0.448,26,0.276,16,0.875,14,8,200,101.4,14.8,4,14,74,13.7,10,0.448,26,0.308,8,50.0,30,0.564,13.3,10,32,0.563,18,0.333,4,40.879999999999995,46.07272727272727,39.7661162763129,10.0,11.272727272727273,10.003607173703198,8.42,5.8,9.362265237345255,3.4,2.3636363636363638,3.7492929600839986,103.46,104.8,99.7607698690918,70.53999999999999,72.24545454545455,71.09961896052432,23.0,23.272727272727273,22.9895510508222,0.4344,0.4671818181818182,0.4308842486748295,62.2,59.54545454545455,64.54077122389882,0.38180000000000003,0.4053636363636363,0.3740626598248913,23.6,24.0,24.05591965994344,0.31379999999999997,0.2702727272727273,0.27828906501380213,19.2,16.0,17.806889193720473,0.5650000000000001,0.5557272727272727,0.5893620721773443,11.4,9.272727272727273,10.910735152161767,6.8,4.363636363636363,6.7663804636827045,200.0,200.0,200.0,90.34,90.05454545454546,89.06248031296045,28.140000000000004,28.645454545454548,31.930069941912652,11.2,10.181818181818182,12.68683635624651,17.2,18.09090909090909,16.5638706836695,65.2,64.54545454545455,66.41020169689581,8.06,9.472727272727273,10.237392673881015,6.0,6.909090909090909,7.825145218377958,0.3074,0.35263636363636364,0.31742923673559253,19.2,20.90909090909091,20.614896103236298,0.3416,0.3491818181818182,0.3560128706667345,6.6,7.2727272727272725,7.3876272248471615,47.46,49.33636363636364,49.69771884367221,34.2,33.45454545454545,35.67638740706872,0.4566,0.48263636363636364,0.4542928754085591,14.9,18.327272727272728,16.905625836169964,12.6,15.0,14.825975037680575,43.0,38.63636363636363,43.92587512066251,0.4048,0.43927272727272726,0.3866441260647937,17.0,16.727272727272727,16.66829243509628,0.24619999999999997,0.25427272727272726,0.2522644413961287,2.2,1.6363636363636365,2.2683025961489616
2019-12-20,"Save Mart Center, Fresno, California",IUPUI,Fresno State,Home,38.1,8,6.3,2,133.8,51.3,20,0.51,50,0.42,21,0.44,22,0.591,13,9,200,90.1,15.6,5,19,64,9.9,7,0.4,20,0.45,9,35.2,25,0.529,22.2,17,30,0.4,12,0.308,4,43.56,47.35833333333333,47.010744184208605,10.6,11.666666666666666,12.0024047824688,9.059999999999999,6.358333333333333,10.408176824896838,3.4,2.5,3.832861973389333,96.83999999999999,103.48333333333333,96.17384657939454,72.46000000000001,72.79166666666667,73.66641264034956,24.6,23.5,23.993034033881468,0.4288,0.4713333333333334,0.45958949911655306,62.6,59.416666666666664,62.36051414926588,0.375,0.40891666666666665,0.3987084398832609,23.4,24.166666666666668,24.703946439962294,0.2832,0.27075,0.2775260433425348,17.6,16.0,17.20459279581365,0.6066,0.5823333333333334,0.6845747147848962,11.0,9.666666666666666,11.940490101441178,7.4,4.666666666666667,7.17758697578847,200.0,200.0,200.0,87.97999999999999,91.0,93.17498687530697,26.1,27.491666666666664,26.22004662794177,10.2,9.666666666666666,9.791224237497675,16.6,17.75,15.709247122446333,64.6,65.33333333333333,68.94013446459721,9.620000000000001,9.825000000000001,11.391595115920676,7.2,7.166666666666667,8.550096812251972,0.3256,0.3605833333333333,0.360952824490395,20.4,21.333333333333332,22.409930735490867,0.33320000000000005,0.34575,0.34000858044448967,6.8,7.333333333333333,7.591751483231441,48.760000000000005,49.39166666666667,49.79847922911481,34.8,33.166666666666664,33.784258271379144,0.45519999999999994,0.48941666666666667,0.49086191693903947,15.180000000000001,17.908333333333335,15.703750557446645,12.8,14.583333333333334,13.217316691787051,42.2,38.083333333333336,39.95058341377501,0.40619999999999995,0.4495833333333333,0.44542941737652914,16.6,16.833333333333332,17.112194956730853,0.2556,0.2608333333333333,0.2791762942640858,2.6,1.8333333333333333,2.845535064099308
2019-12-28,"Indiana Farmers Coliseum, Indianapolis, Indiana",Youngstown State,IUPUI,Away,69.2,18,8.1,3,113.7,61.5,16,0.526,58,0.448,26,0.483,28,0.429,12,10,200,100.0,37.8,14,16,73,12.3,9,0.431,25,0.36,9,47.6,30,0.512,16.6,14,33,0.515,17,0.286,4,39.88,46.646153846153844,44.040496122805735,9.6,11.384615384615385,10.6682698549792,9.819999999999999,6.3538461538461535,9.038784549931226,3.6,2.4615384615384617,3.2219079822595553,103.32000000000001,105.8153846153846,108.71589771959637,68.84,71.13846153846154,66.21094176023304,23.6,23.23076923076923,22.662022689254314,0.44279999999999997,0.4743076923076923,0.4763929994110354,61.0,58.69230769230769,58.24034276617726,0.37960000000000005,0.4097692307692308,0.40580562658884056,23.0,23.923076923076923,23.46929762664153,0.2884,0.2837692307692308,0.33168402889502324,17.2,16.46153846153846,18.80306186387577,0.6164,0.583,0.6533831431899308,11.0,9.923076923076923,12.293660067627453,8.0,5.0,7.785057983858981,200.0,200.0,200.0,87.44000000000001,90.93076923076923,92.14999125020465,25.220000000000002,26.576923076923077,22.680031085294516,9.8,9.307692307692308,8.194149491665117,16.6,17.846153846153847,16.806164748297558,64.6,65.23076923076923,67.29342297639815,11.02,9.830769230769231,10.89439674394712,8.2,7.153846153846154,8.033397874834648,0.3436,0.3636153846153846,0.3739685496602634,20.8,21.23076923076923,21.606620490327245,0.36760000000000004,0.3537692307692308,0.3766723869629931,7.6,7.461538461538462,8.061167655487628,46.78,48.3,44.932319486076544,33.4,32.53846153846154,30.85617218091943,0.4688,0.49246153846153845,0.5035746112926931,17.759999999999998,18.23846153846154,17.869167038297764,14.8,14.76923076923077,14.478211127858035,40.2,37.46153846153846,36.633722275850005,0.3962,0.44576923076923075,0.4302862782510195,15.4,16.46153846153846,15.408129971153903,0.2672,0.26446153846153847,0.2887841961760572,3.0,2.0,3.2303567093995387
2019-12-30,"Indiana Farmers Coliseum, Indianapolis, Indiana",Cleveland State,IUPUI,Away,75.0,21,6.7,3,115.5,69.6,16,0.602,54,0.519,28,0.333,18,0.833,15,11,200,112.7,40.0,10,17,80,12.7,9,0.426,23,0.391,9,54.2,26,0.639,20.5,16,31,0.613,19,0.267,4,45.14,48.25714285714286,52.42699741520383,11.4,11.857142857142858,13.112179903319468,9.379999999999999,6.478571428571429,8.725856366620818,3.4,2.5,3.1479386548397037,110.05999999999999,106.37857142857142,110.37726514639758,65.64,70.45,64.64062784015536,20.6,22.714285714285715,20.441348459502876,0.46799999999999997,0.47800000000000004,0.49292866627402365,60.6,58.642857142857146,58.16022851078485,0.3992,0.4125,0.41987041772589373,24.0,24.071428571428573,24.31286508442769,0.3516,0.298,0.3821226859300155,20.8,17.285714285714285,21.86870790925051,0.6422,0.5720000000000001,0.5785887621266206,12.8,10.071428571428571,12.195773378418304,8.6,5.357142857142857,8.52337198923932,200.0,200.0,200.0,92.86,91.57857142857142,94.76666083346977,29.060000000000002,27.37857142857143,27.72002072352968,11.0,9.642857142857142,10.129432994443412,16.4,17.714285714285715,16.537443165531705,69.0,65.78571428571429,69.19561531759877,11.48,10.007142857142856,11.362931162631414,8.6,7.285714285714286,8.355598583223099,0.37320000000000003,0.36842857142857144,0.3929790331068423,22.4,21.5,22.737746993551497,0.36900000000000005,0.3542142857142857,0.3711149246419954,8.2,7.571428571428571,8.374111770325086,46.9,48.25,45.821546324051035,31.6,32.357142857142854,30.57078145394629,0.49240000000000006,0.49385714285714283,0.5063830741951287,17.500000000000004,18.121428571428574,17.446111358865178,14.8,14.714285714285714,14.318807418572025,38.2,37.142857142857146,35.42248151723334,0.42940000000000006,0.45071428571428573,0.45852418550067975,15.8,16.5,15.938753314102602,0.28,0.266,0.28785613078403816,3.4,2.142857142857143,3.486904472933026
