date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-28,"Orleans Arena, Paradise, Nevada",Texas Tech,Iowa,Home,87.0,20,8.1,3,82.4,76.9,30,0.509,56,0.411,23,0.339,19,0.789,15,1,200,97.3,12.5,4,21,72,10.8,8,0.482,27,0.407,11,47.9,34,0.554,17.9,14,29,0.414,12,0.833,5,63.96,63.96,66.19753086419755,18.6,18.6,19.543209876543212,11.5,11.5,12.91604938271605,4.4,4.4,4.987654320987655,94.58,94.58,90.78024691358027,78.17999999999999,78.17999999999999,77.97283950617285,24.2,24.2,25.20987654320988,0.5242,0.5242,0.5358518518518519,61.8,61.8,61.66666666666667,0.4668,0.4668,0.47780246913580254,28.8,28.8,29.35802469135803,0.4622,0.4622,0.4572222222222223,27.8,27.8,27.44444444444445,0.6884,0.6884,0.6777160493827161,19.4,19.4,18.81481481481482,0.8,0.8,0.8024691358024691,200.2,200.2,200.0987654320988,113.12,113.12,115.4246913580247,32.4,32.4,33.54938271604939,11.8,11.8,12.185185185185187,12.0,12.0,10.901234567901238,84.0,84.0,84.55555555555557,9.26,9.26,9.212345679012348,7.0,7.0,6.839506172839508,0.34140000000000004,0.34140000000000004,0.33376543209876547,21.0,21.0,20.49382716049383,0.33940000000000003,0.33940000000000003,0.3520987654320988,7.0,7.0,7.024691358024693,53.92,53.92,54.99382716049384,36.0,36.0,37.39506172839506,0.5618000000000001,0.5618000000000001,0.5680740740740742,13.1,13.1,12.402469135802473,11.2,11.2,10.4320987654321,40.8,40.8,41.17283950617285,0.5362,0.5362,0.5448765432098766,21.8,21.8,22.333333333333336,0.7434000000000001,0.7434000000000001,0.779061728395062,2.2,2.2,2.5925925925925926
2019-11-29,"Orleans Arena, Paradise, Nevada",Iowa,San Diego State,Home,69.6,16,0.0,0,120.3,76.2,16,0.482,57,0.404,23,0.351,20,0.9,18,2,200,105.8,34.4,11,20,73,11.6,8,0.404,23,0.391,9,50.9,27,0.549,16.5,13,34,0.412,14,0.714,5,68.28,67.8,73.13168724279836,19.2,18.833333333333332,19.695473251028808,11.3,10.933333333333332,11.310699588477368,4.2,4.166666666666667,4.325102880658437,95.06,92.55,87.98683127572019,77.56,77.96666666666667,77.61522633744858,25.4,25.166666666666668,26.806584362139922,0.5187999999999999,0.5216666666666666,0.5269012345679013,61.8,60.833333333333336,59.777777777777786,0.45620000000000005,0.4575,0.45553497942386834,28.2,27.833333333333332,27.238683127572024,0.41580000000000006,0.44166666666666665,0.4178148148148149,25.2,26.333333333333332,24.629629629629633,0.6774,0.7051666666666666,0.7148106995884775,17.0,18.666666666666668,17.543209876543216,1.0,0.8333333333333334,0.8683127572016462,200.2,200.16666666666666,200.0658436213992,109.38,110.48333333333333,109.38312757201646,30.080000000000002,29.083333333333332,26.53292181069959,11.2,10.5,9.456790123456793,14.6,13.5,14.267489711934159,81.0,82.0,80.37037037037038,9.02,9.516666666666667,9.741563786008232,6.8,7.166666666666667,7.226337448559672,0.3486,0.36483333333333334,0.38317695473251034,21.4,22.0,22.66255144032922,0.3568,0.3506666666666667,0.37039917695473257,7.6,7.666666666666667,8.34979423868313,53.0,52.916666666666664,52.62921810699589,36.6,35.666666666666664,36.263374485596714,0.5504,0.5605,0.5633827160493828,13.76,13.9,14.234979423868317,11.6,11.666666666666666,11.621399176954734,40.4,38.833333333333336,37.11522633744857,0.5028,0.5158333333333334,0.5012510288065843,20.6,20.166666666666668,18.888888888888893,0.71,0.7583333333333333,0.7970411522633747,3.0,2.6666666666666665,3.3950617283950617
2019-12-03,"Carrier Dome, Syracuse, New York",Iowa,Syracuse,Away,65.4,17,3.2,1,83.1,75.0,24,0.516,61,0.426,26,0.131,8,0.625,5,2,200,104.6,33.3,11,15,68,15.4,10,0.557,34,0.324,11,53.8,35,0.525,13.4,10,27,0.556,15,0.75,6,72.2,68.05714285714285,71.95445816186557,20.0,18.428571428571427,18.463648834019207,10.22,9.37142857142857,7.540466392318246,3.8,3.5714285714285716,2.8834019204389585,96.44,96.51428571428572,98.7578875171468,76.96000000000001,77.71428571428571,77.14348422496572,24.8,23.857142857142858,23.20438957475995,0.5188,0.516,0.5119341563786008,62.0,60.285714285714285,58.85185185185186,0.45120000000000005,0.44985714285714284,0.4383566529492456,28.0,27.142857142857142,25.825788751714683,0.3718,0.4287142857142857,0.3955432098765433,22.8,25.428571428571427,23.086419753086425,0.7074,0.733,0.7765404663923183,15.8,18.571428571428573,17.69547325102881,1.2,1.0,1.245541838134431,200.0,200.14285714285714,200.0438957475995,111.51999999999998,109.81428571428572,108.18875171467765,32.58,29.842857142857145,29.15528120713306,12.0,10.571428571428571,9.971193415637863,15.4,14.428571428571429,16.17832647462277,80.0,80.71428571428571,77.9135802469136,8.900000000000002,9.814285714285715,10.361042524005487,6.4,7.285714285714286,7.484224965706449,0.3652,0.37042857142857144,0.39011796982167357,22.4,22.142857142857142,22.775034293552814,0.3684,0.35642857142857143,0.37726611796982173,8.2,7.857142857142857,8.56652949245542,53.9,52.628571428571426,52.05281207133059,36.8,34.42857142857143,33.175582990397814,0.5506,0.5588571428571428,0.5585884773662553,12.8,14.271428571428572,14.98998628257888,10.4,11.857142857142858,12.08093278463649,39.6,38.142857142857146,36.07681755829905,0.4904,0.501,0.47150068587105626,19.8,19.285714285714285,17.259259259259263,0.7528,0.752,0.7693607681755832,3.8,3.0,3.9300411522633745
2019-12-06,"Crisler Arena, Ann Arbor, Michigan",Iowa,Michigan,Home,37.1,13,0.0,0,137.3,56.0,14,0.493,74,0.473,35,0.324,24,0.75,18,3,200,121.3,35.9,14,22,91,1.3,1,0.203,15,0.2,3,43.8,28,0.533,7.6,7,59,0.542,32,0.667,6,72.16,67.725,69.76963877457706,19.2,18.25,17.97576588934614,9.44,8.6,6.0936442615454975,3.4,3.25,2.2556012802926393,93.32,94.8375,93.53859167809787,76.34,77.375,76.42898948331049,24.6,23.875,23.46959304983997,0.5162,0.516,0.513289437585734,60.6,60.375,59.56790123456791,0.4422,0.446875,0.43423776863283037,26.8,27.0,25.88385916780979,0.3216,0.3915,0.30736213991769556,19.2,23.25,18.057613168724284,0.717,0.7195,0.7260269775948789,13.8,16.875,13.463648834019208,1.4,1.125,1.4970278920896207,200.0,200.125,200.029263831733,109.23999999999998,109.1625,106.99250114311843,31.54,30.275,30.536854138088707,11.2,10.625,10.314128943758575,15.0,14.5,15.78555098308185,76.2,79.125,74.6090534979424,10.64,10.5125,12.040695016003658,7.4,7.625,8.3228166438043,0.406,0.39375000000000004,0.4457453132144491,24.4,23.625,26.51668952903521,0.36660000000000004,0.352375,0.35951074531321453,8.8,8.25,9.377686328303614,53.4,52.775,52.63520804755373,35.8,34.5,33.78372199359855,0.5474,0.554625,0.5473923182441702,13.66,14.1625,14.459990855052588,10.8,11.625,11.387288523090994,36.2,36.75,33.0512117055327,0.49260000000000004,0.507875,0.49966712391403756,18.0,18.75,16.506172839506178,0.7694000000000001,0.75175,0.7629071787837222,4.6,3.375,4.62002743484225
2019-12-09,"Carver-Hawkeye Arena, Iowa City, Iowa",Minnesota,Iowa,Home,76.9,20,9.4,3,78.8,76.5,26,0.508,61,0.426,26,0.23,14,0.714,10,3,200,109.1,30.3,10,13,72,9.1,6,0.344,21,0.476,10,53.7,36,0.532,10.6,8,40,0.4,16,0.7,7,65.82000000000001,64.32222222222222,58.87975918305138,17.4,17.666666666666668,16.317177259564094,5.0600000000000005,7.644444444444444,4.062429507696999,2.0,2.888888888888889,1.5037341868617597,100.78,99.55555555555556,108.1257277853986,72.38,75.0,69.619326322207,22.4,22.77777777777778,20.313062033226647,0.5176000000000001,0.5134444444444445,0.5065262917238227,61.0,61.888888888888886,64.37860082304528,0.44800000000000006,0.4497777777777778,0.447158512421887,27.4,27.88888888888889,28.92257277853986,0.33080000000000004,0.384,0.31290809327846375,20.0,23.333333333333332,20.038408779149524,0.7369999999999999,0.7228888888888889,0.7340179850632527,14.8,17.0,14.97576588934614,1.8,1.3333333333333333,1.998018594726414,200.0,200.11111111111111,200.01950922115535,109.08,110.51111111111112,111.76166742874562,29.879999999999995,30.900000000000002,32.32456942539247,10.2,11.0,11.542752629172384,17.4,15.333333333333334,17.857033988721234,77.8,80.44444444444444,80.07270233196161,10.02,9.488888888888889,8.46046334400244,7.0,6.888888888888889,5.881877762536201,0.3854000000000001,0.3725555555555556,0.36483020880963274,23.0,22.666666666666668,22.67779301935681,0.352,0.33544444444444443,0.3063404968754764,8.2,7.666666666666667,7.251790885535743,50.58,51.77777777777778,49.690138698369154,32.6,33.77777777777778,31.855814662399034,0.5522,0.5522222222222223,0.5425948788294469,13.8,13.433333333333334,12.173327236701727,11.0,11.11111111111111,9.924859015393997,38.0,39.22222222222222,41.70080780368846,0.497,0.5116666666666667,0.5137780826093584,19.2,20.22222222222222,21.67078189300412,0.7528,0.7423333333333333,0.7309381191891482,5.2,3.6666666666666665,5.080018289894833
2019-12-12,"James H. Hilton Coliseum , Ames, Iowa",Iowa,Iowa State,Away,46.4,13,2.3,1,97.1,65.0,26,0.508,65,0.431,28,0.308,20,0.9,18,3,200,120.0,42.4,14,11,84,11.4,8,0.431,28,0.357,10,54.8,40,0.564,13.0,11,37,0.486,18,0.727,8,67.2,65.58,64.88650612203426,17.2,17.9,17.544784839709397,4.14,7.82,5.841619671798,1.4,2.9,2.0024894579078403,100.38000000000001,97.47999999999999,98.35048519026574,72.12,75.15,71.91288421480468,22.0,23.1,22.2087080221511,0.5016,0.5128999999999999,0.5070175278158818,61.8,61.8,63.252400548696855,0.42800000000000005,0.4474,0.44010567494792463,26.6,27.7,27.94838185235991,0.275,0.3686,0.2852720621856425,17.0,22.4,18.02560585276635,0.7556,0.722,0.7273453233755018,13.2,16.3,13.317177259564094,2.2,1.5,2.3320123964842763,200.0,200.1,200.0130061474369,107.62,110.37,110.87444495249709,29.28,30.839999999999996,31.649712950261645,10.0,10.9,11.02850175278159,18.2,15.1,16.23802265914749,75.2,79.6,77.38180155464107,9.639999999999999,9.45,8.673642229334959,6.6,6.8,5.9212518416908,0.398,0.36970000000000003,0.3578868058730885,24.0,22.5,22.118528679571206,0.35960000000000003,0.34950000000000003,0.3628936645836509,8.8,7.9,8.167860590357161,50.019999999999996,51.970000000000006,51.026759132246106,32.0,34.0,33.237209774932694,0.5386,0.5502,0.5390632525529646,13.2,13.15,11.64888482446782,10.4,10.8,9.283239343595998,37.8,39.3,41.13387186912564,0.4648,0.5005,0.4758520550729056,17.8,19.8,19.780521262002747,0.7327999999999999,0.7381,0.7206254127927655,5.8,4.0,5.720012193263223
2019-12-21,"United Center, Chicago, Illinois",Cincinnati,Iowa,Home,69.6,16,14.6,7,89.7,77.8,35,0.57,50,0.46,23,0.6,30,0.667,20,3,200,98.7,30.0,9,17,77,3.8,3,0.48,24,0.458,11,58.7,44,0.599,27.5,24,26,0.462,12,0.75,9,59.080000000000005,63.83636363636364,58.724337414689515,15.8,17.454545454545453,16.029856559806266,2.9799999999999995,7.318181818181818,4.6610797811986675,1.0,2.727272727272727,1.6683263052718935,103.32000000000001,97.44545454545455,97.9336567935105,69.74,74.22727272727273,69.60858947653645,21.2,23.363636363636363,23.4724720147674,0.5014000000000001,0.5124545454545455,0.5073450185439212,63.6,62.09090909090909,63.83493369913124,0.43200000000000005,0.4459090909090909,0.4370704499652831,27.6,27.727272727272727,27.965587901573272,0.26880000000000004,0.3630909090909091,0.292848041457095,17.2,22.181818181818183,18.683737235177567,0.7778,0.7381818181818182,0.7848968822503346,13.8,16.454545454545453,14.878118173042731,2.6,1.6363636363636365,2.554674930989518,200.0,200.0909090909091,200.00867076495794,112.16,111.24545454545455,113.91629663499806,35.260000000000005,31.89090909090909,35.2331419668411,12.0,11.181818181818182,12.019001168521061,16.2,14.727272727272727,14.492015106098327,77.6,80.0,79.58786770309405,9.76,9.627272727272727,9.582428152889973,6.6,6.909090909090909,6.614167894460534,0.38780000000000003,0.37527272727272726,0.38225787058205907,24.2,23.0,24.07901911971414,0.3496,0.35018181818181815,0.36092910972243397,8.6,8.090909090909092,8.778573726904774,51.4,52.22727272727273,52.28450608816407,33.2,34.54545454545455,35.49147318328846,0.5406000000000001,0.5514545454545454,0.5473755017019765,12.22,13.136363636363637,12.099256549645213,9.8,10.818181818181818,9.855492895730666,39.4,39.09090909090909,39.755914579417095,0.47919999999999996,0.49918181818181817,0.4792347033819371,19.0,19.636363636363637,19.187014174668498,0.7116,0.7370909090909091,0.722750275195177,6.4,4.363636363636363,6.480008128842149
2019-12-29,"Carver-Hawkeye Arena, Iowa City, Iowa",Kennesaw State,Iowa,Home,69.2,27,22.2,8,70.8,69.7,23,0.646,65,0.6,39,0.277,18,0.5,9,3,200,129.2,28.6,8,14,93,19.4,14,0.246,16,0.375,6,50.8,31,0.632,7.6,6,49,0.673,33,0.769,10,59.08,64.31666666666666,62.349558276459675,15.8,17.333333333333332,16.019904373204177,5.9,7.925,7.974053187465778,2.4,3.0833333333333335,3.445550870181262,97.2,96.8,95.18910452900701,70.06,74.52499999999999,72.3390596510243,25.0,24.333333333333332,27.314981343178268,0.5189999999999999,0.51725,0.5282300123626141,62.2,61.083333333333336,59.22328913275416,0.44320000000000004,0.44708333333333333,0.44471363331018876,27.6,27.333333333333332,26.31039193438218,0.3186,0.38283333333333336,0.3952320276380633,19.2,22.833333333333332,22.455824823451714,0.7312,0.7322500000000001,0.7455979215002231,14.2,16.75,16.58541211536182,2.8,1.75,2.703116620659679,200.0,200.08333333333334,200.00578050997197,110.74000000000001,110.2,108.84419775666538,34.379999999999995,31.733333333333334,33.48876131122741,11.6,11.0,11.012667445680709,15.6,14.916666666666666,15.328010070732219,78.4,79.75,78.72524513539604,8.2,9.141666666666667,7.654952101926649,5.6,6.583333333333333,5.40944526297369,0.403,0.38400000000000006,0.4148385803880394,24.4,23.083333333333332,24.052679413142762,0.363,0.3591666666666667,0.39328607314828934,9.0,8.333333333333334,9.51904915126985,52.96,52.76666666666667,54.42300405877606,36.6,35.333333333333336,38.32764878885898,0.5506,0.5554166666666667,0.5645836678013176,14.419999999999998,14.333333333333334,17.232837699763476,12.0,11.916666666666666,14.570328597153779,37.8,38.0,35.1706097196114,0.4892,0.4960833333333334,0.4734898022546248,18.6,19.0,16.791342783112334,0.7188000000000001,0.7381666666666667,0.7318335167967847,7.2,4.75,7.3200054192281
2020-01-04,"The Palestra, Philadelphia, Pennsylvania",Iowa,Penn State,Home,51.6,16,11.4,5,117.1,63.4,26,0.562,65,0.477,31,0.308,20,0.65,13,4,200,113.2,38.7,12,16,86,5.3,4,0.4,26,0.423,11,52.8,38,0.577,16.9,15,39,0.513,20,0.714,10,59.84000000000001,64.6923076923077,64.63303885097312,17.8,18.076923076923077,19.679936248802786,9.7,9.023076923076923,12.716035458310518,3.8,3.4615384615384617,4.963700580120841,94.74,94.80000000000001,87.059403019338,69.0,74.15384615384616,71.45937310068288,24.8,24.23076923076923,25.87665422878551,0.5449999999999999,0.5271538461538461,0.5674866749084094,63.0,61.38461538461539,61.14885942183611,0.4779999999999999,0.45884615384615385,0.4964757555401259,30.2,28.23076923076923,30.540261289588123,0.3478,0.3746923076923077,0.3558213517587089,21.2,22.46153846153846,20.970549882301142,0.7061999999999999,0.7143846153846154,0.6637319476668154,15.0,16.153846153846153,14.056941410241214,3.0,1.8461538461538463,2.802077747106453,200.0,200.07692307692307,200.00385367331467,115.66,111.66153846153846,115.62946517111025,33.440000000000005,31.49230769230769,31.85917420748494,11.0,10.76923076923077,10.00844496378714,15.4,14.846153846153847,14.885340047154813,83.4,80.76923076923077,83.48349675693069,9.0,9.930769230769231,11.569968067951098,6.4,7.153846153846154,8.272963508649127,0.3408,0.37338461538461537,0.35855905359202633,20.8,22.53846153846154,21.368452942095175,0.37320000000000003,0.3603846153846154,0.3871907154321929,8.0,8.153846153846153,8.346032767513234,52.36,52.61538461538461,53.21533603918404,35.8,35.0,35.88509919257265,0.572,0.5613076923076924,0.5870557785342119,13.26,13.815384615384614,14.021891799842319,11.2,11.461538461538462,11.71355239810252,42.2,38.84615384615385,39.78040647974093,0.5126000000000001,0.5096923076923077,0.5399932015030833,22.2,20.076923076923077,22.19422852207489,0.7226000000000001,0.7405384615384616,0.7442223445311897,8.0,5.153846153846154,8.213336946152067
2020-01-07,"Pinnacle Bank Arena, Lincoln, Nebraska",Iowa,Nebraska,Home,53.1,17,11.1,3,104.1,87.1,27,0.442,77,0.416,32,0.065,5,0.4,2,5,200,95.9,37.2,16,20,70,8.2,6,0.429,33,0.121,4,58.1,43,0.441,12.2,11,44,0.636,28,0.667,10,62.739999999999995,63.75714285714286,60.28869256731542,18.4,17.928571428571427,18.453290832535192,11.98,9.192857142857141,12.277356972207013,4.8,3.5714285714285716,4.975800386747228,90.7,96.39285714285714,97.07293534622534,70.47999999999999,73.38571428571429,68.77291540045526,27.2,24.357142857142858,25.917769485857008,0.5588,0.5296428571428572,0.565657783272273,61.2,61.642857142857146,62.43257294789074,0.4788,0.46014285714285713,0.48998383702675063,29.4,28.428571428571427,30.693507526392082,0.3446,0.36992857142857144,0.3398809011724726,20.4,22.285714285714285,20.64703325486743,0.6862,0.7097857142857142,0.659154631777877,14.0,15.928571428571429,13.704627606827476,3.2,2.0,3.2013851647376352,200.0,200.07142857142858,200.0025691155431,114.04,111.77142857142857,114.81964344740685,34.0,32.00714285714286,34.13944947165663,10.6,10.857142857142858,10.67229664252476,14.2,14.928571428571429,15.256893364769876,82.4,81.14285714285714,84.32233117128713,9.8,9.6,9.4799787119674,7.0,6.928571428571429,6.848642339099419,0.3802,0.37528571428571433,0.37237270239468423,23.0,22.785714285714285,22.912301961396786,0.4178,0.3648571428571428,0.39912714362146196,9.6,8.357142857142858,9.23068851167549,54.15999999999999,52.628571428571426,53.07689069278936,37.8,35.214285714285715,36.59006612838177,0.5808,0.5624285714285715,0.5837038523561413,15.12,14.035714285714286,14.98126119989488,12.8,11.714285714285714,12.809034932068347,38.2,38.857142857142854,39.520270986493955,0.5067999999999999,0.5099285714285714,0.5309954676687222,19.8,20.071428571428573,21.462819014716594,0.732,0.738642857142857,0.7341482296874599,8.8,5.5,8.808891297434712
