date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-22,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi","Southern-New Orleans
			",Jackson State,Home,69.0,20,11.8,4,73.6,85.0,17,0.544,57,0.509,29,0.228,13,0.769,10,5,200,100.0,11.5,3,13,72,26.4,19,0.316,18,0.222,4,43.5,20,0.57,14.9,11,39,0.641,25,0.167,1,47.17999999999999,47.17999999999999,48.22716049382716,11.6,11.6,11.592592592592593,11.86,11.86,13.22098765432099,3.6,3.6,4.0246913580246915,117.14000000000001,117.14000000000001,115.18024691358026,65.5,65.5,63.96419753086421,15.2,15.2,15.074074074074076,0.43739999999999996,0.43739999999999996,0.4304320987654322,63.0,63.0,62.66666666666667,0.3876,0.3876,0.38316049382716055,24.4,24.4,24.01234567901235,0.2508,0.2508,0.24702469135802474,15.8,15.8,15.469135802469138,0.7230000000000001,0.7230000000000001,0.7190493827160495,11.4,11.4,11.09876543209877,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,93.36,93.36,91.71851851851852,27.7,27.7,27.648148148148152,10.0,10.0,9.962962962962965,20.2,20.2,20.074074074074076,66.4,66.4,64.98765432098767,11.84,11.84,13.179012345679014,8.4,8.4,9.283950617283953,0.3378,0.3378,0.3341728395061729,21.2,21.2,20.888888888888893,0.2904,0.2904,0.27982716049382717,6.2,6.2,5.864197530864198,42.14,42.14,41.756790123456796,25.2,25.2,25.037037037037045,0.4718,0.4718,0.46467901234567904,13.6,13.6,13.925925925925927,11.0,11.0,11.197530864197532,41.8,41.8,41.777777777777786,0.4382,0.4382,0.43693827160493837,18.2,18.2,18.148148148148152,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-26,"Thomas & Mack Center, Las Vegas, Nevada",Jackson State,UNLV,Home,52.6,10,8.3,3,111.1,60.0,18,0.407,54,0.352,19,0.352,19,0.684,13,6,200,79.2,18.2,6,21,57,12.5,9,0.352,19,0.316,6,38.1,24,0.452,18.3,14,35,0.371,13,0.143,1,54.81999999999999,50.81666666666666,55.15144032921811,14.0,13.0,14.395061728395063,12.34,11.85,12.74732510288066,3.8,3.6666666666666665,4.016460905349795,108.9,109.88333333333333,101.32016460905352,69.16,68.75,70.97613168724281,14.2,15.5,15.71604938271605,0.46620000000000006,0.45516666666666666,0.46828806584362154,60.4,62.0,60.777777777777786,0.4152,0.4078333333333333,0.42510699588477374,25.0,25.166666666666668,25.674897119341566,0.2364,0.247,0.2406831275720165,14.2,15.333333333333334,14.646090534979425,0.7434000000000001,0.7306666666666667,0.7356995884773663,10.6,11.166666666666666,10.732510288065846,3.8,3.3333333333333335,3.9300411522633745,200.0,200.0,200.0,96.08,94.46666666666665,94.47901234567902,25.119999999999997,25.0,22.265432098765437,8.4,8.833333333333334,7.641975308641977,18.0,19.0,17.71604938271605,66.8,67.33333333333333,67.32510288065845,14.9,14.266666666666666,17.586008230452677,10.4,10.166666666666666,12.52263374485597,0.3524,0.33416666666666667,0.3281152263374486,21.4,20.666666666666668,19.92592592592593,0.2878,0.27899999999999997,0.2605514403292181,6.2,5.833333333333333,5.242798353909466,42.379999999999995,42.36666666666667,42.33786008230453,22.6,24.333333333333332,23.358024691358032,0.49820000000000003,0.48816666666666664,0.4997860082304527,13.939999999999998,13.816666666666668,14.25061728395062,10.8,11.0,11.131687242798355,39.0,41.333333333333336,40.85185185185186,0.48339999999999994,0.472,0.5049588477366256,18.8,19.333333333333332,20.4320987654321,0.0334,0.027833333333333335,0.05566666666666667,0.2,0.16666666666666666,0.3333333333333333
2019-12-01,"Clune Arena , Colorado Springs, Colorado",Jackson State,Air Force,Home,60.0,12,0.0,0,111.8,83.3,15,0.422,58,0.345,20,0.103,6,0.5,3,7,200,76.5,14.3,5,19,52,13.2,9,0.552,32,0.281,9,37.7,20,0.427,17.7,13,26,0.423,11,0.125,1,58.06,51.07142857142857,54.300960219478746,14.4,12.571428571428571,12.930041152263378,13.24,11.342857142857143,11.264883401920443,4.2,3.5714285714285716,3.67764060356653,106.7,110.05714285714285,104.58010973936902,67.47999999999999,67.5,67.31742112482854,15.2,15.857142857142858,16.477366255144034,0.46559999999999996,0.4482857142857143,0.4478587105624144,59.0,60.857142857142854,58.518518518518526,0.41340000000000005,0.39985714285714286,0.4007379972565158,24.4,24.285714285714285,23.44993141289438,0.25439999999999996,0.262,0.27778875171467765,14.8,15.857142857142858,16.097393689986284,0.7302,0.724,0.7184663923182443,10.8,11.428571428571429,11.488340192043898,4.6,3.7142857142857144,4.62002743484225,200.0,200.0,200.0,93.67999999999999,92.28571428571429,89.38600823045269,24.54,24.02857142857143,20.910288065843627,8.0,8.428571428571429,7.094650205761319,18.6,19.285714285714285,18.81069958847737,65.8,65.85714285714286,63.88340192043897,16.22,14.014285714285714,15.89067215363512,11.4,10.0,11.348422496570647,0.3572,0.33671428571428574,0.3360768175582991,21.2,20.428571428571427,19.61728395061729,0.29100000000000004,0.2842857142857143,0.27903429355281206,6.2,5.857142857142857,5.495198902606311,42.64,41.75714285714286,40.92524005486969,23.2,24.285714285714285,23.572016460905356,0.49820000000000003,0.483,0.48385733882030185,15.5,14.457142857142857,15.600411522633747,12.0,11.428571428571429,12.087791495198903,37.8,40.42857142857143,38.90123456790124,0.4795999999999999,0.4575714285714286,0.4603058984910837,18.2,18.428571428571427,17.954732510288068,0.062,0.04428571428571428,0.08477777777777779,0.4,0.2857142857142857,0.5555555555555556
2019-12-03,"Magness Arena, Denver, Colorado",Jackson State,Denver,Home,46.2,12,4.5,1,89.3,90.0,18,0.409,66,0.394,26,0.136,9,0.444,4,8,200,77.3,14.0,6,27,58,20.0,15,0.364,24,0.083,2,38.1,24,0.413,14.6,12,42,0.571,24,0.111,1,57.2,52.1875,56.20064014631917,13.2,12.5,12.620027434842253,11.620000000000001,9.925,7.509922267946963,3.6,3.125,2.451760402377687,104.28,110.275,106.98673982624602,69.86,69.475,72.64494741655236,15.2,15.75,15.98491083676269,0.4418,0.445,0.43923914037494294,58.4,60.5,58.345679012345684,0.39059999999999995,0.393,0.38215866483767724,22.8,23.75,22.29995427526292,0.2192,0.242125,0.21952583447645177,12.6,14.625,12.73159579332419,0.6772,0.696,0.6456442615454963,8.8,10.375,8.658893461362599,5.4,4.125,5.413351623228166,200.0,200.0,200.0,86.72,90.3125,85.09067215363513,19.66,22.8125,18.70685871056242,6.6,8.0,6.396433470507546,18.2,19.25,18.87379972565158,60.4,64.125,59.92226794695932,17.16,13.9125,14.993781435756748,12.0,9.875,10.565614997713766,0.389,0.363625,0.40805121170553277,22.8,21.875,23.744855967078195,0.2638,0.283875,0.27968952903520805,6.0,6.25,6.6634659350708745,39.8,41.25,39.850160036579794,21.8,23.75,22.38134430727024,0.4692,0.476,0.4649048925468679,15.839999999999998,14.8625,16.300274348422498,12.0,11.625,12.39186099679927,35.6,38.625,34.6008230452675,0.46699999999999997,0.45325,0.4478705989940558,16.8,17.5,15.636488340192045,0.087,0.054375,0.0981851851851852,0.6,0.375,0.7037037037037037
2019-12-16,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi","Southeastern Baptist
			",Jackson State,Home,63.6,28,13.5,5,77.9,88.4,38,0.638,76,0.579,44,0.303,23,0.696,16,8,200,131.4,43.8,14,16,113,9.3,8,0.368,28,0.321,9,69.3,52,0.65,13.1,13,48,0.729,35,0.2,2,56.04,51.52222222222222,52.86709343087945,13.0,12.444444444444445,12.41335162322817,7.340000000000001,9.322222222222223,6.5066148452979755,2.4,2.888888888888889,1.9678402682517913,98.96000000000001,107.94444444444444,101.09115988416403,75.47999999999999,71.75555555555555,78.42996494436824,16.2,16.0,16.656607224508463,0.43739999999999996,0.441,0.4291594269166286,58.6,61.111111111111114,60.897119341563794,0.39239999999999997,0.39311111111111113,0.3861057765584516,23.0,24.0,23.533302850175282,0.21559999999999996,0.23033333333333333,0.19168388965096786,12.4,14.0,11.487730528882794,0.626,0.668,0.5784295076969975,8.2,9.666666666666666,7.105928974241733,6.2,4.555555555555555,6.275567748818778,200.0,200.0,200.0,83.92,88.86666666666666,82.49378143575676,16.9,21.833333333333332,17.137905807041612,5.8,7.777777777777778,6.264288980338365,19.6,20.11111111111111,21.582533150434386,59.4,63.44444444444444,59.28151196463955,17.4,14.58888888888889,16.662520957171168,12.4,10.444444444444445,12.043743331809178,0.3788,0.3636666666666667,0.39336747447035525,22.2,22.11111111111111,23.82990397805213,0.23600000000000004,0.26155555555555554,0.21412635269013872,5.2,5.777777777777778,5.1089772900472505,39.34,40.900000000000006,39.26677335771986,22.0,23.77777777777778,22.920896204846827,0.4614,0.46900000000000003,0.447603261697912,16.020000000000003,14.833333333333334,15.733516232281666,12.2,11.666666666666666,12.261240664532847,36.4,39.0,37.067215363511664,0.48119999999999996,0.4663333333333333,0.4889137326627039,17.8,18.22222222222222,18.424325560128032,0.1092,0.060666666666666674,0.10245679012345679,0.8,0.4444444444444444,0.8024691358024691
2019-12-19,"Chiles Center, Portland, Oregon",Jackson State,Portland,Away,34.5,10,9.4,3,85.1,81.5,22,0.508,61,0.475,29,0.279,17,0.647,11,8,200,98.6,25.0,8,20,73,8.1,6,0.213,13,0.308,4,50.8,30,0.528,14.9,12,48,0.521,25,0.273,3,58.279999999999994,52.73,56.444728953919636,16.4,14.0,17.608901082152116,7.62,9.74,8.837743230198651,2.6,3.1,2.9785601788345275,92.74,104.94000000000001,93.36077325610937,81.34,73.42,81.75330996291217,21.2,18.2,23.77107148300564,0.484,0.4607,0.49877295127775245,62.2,62.6,65.93141289437587,0.4358000000000001,0.4117,0.45040385103896774,27.6,26.0,30.35553523345019,0.2244,0.23759999999999998,0.2287892597673119,14.0,14.9,15.325153685921864,0.6186,0.6708000000000001,0.6176196717979984,9.2,10.3,10.070619316161157,6.8,4.9,6.850378499212519,200.0,200.0,200.0,92.88,93.12,98.79585429050451,20.36,24.03,26.02527053802774,6.8,8.4,8.842859320225577,19.2,19.7,19.72168876695626,70.4,68.4,77.18767464309303,16.28,14.059999999999999,14.20834730478078,12.0,10.2,10.695828887872786,0.39039999999999997,0.3641,0.3849116496469035,24.2,22.7,25.21993598536809,0.2446,0.26749999999999996,0.24975090179342585,6.0,6.1,6.4059848600315,45.339999999999996,43.739999999999995,49.27784890514658,28.0,26.6,32.61393080323122,0.5024,0.48710000000000003,0.5150688411319413,15.719999999999999,14.66,14.855677488187776,12.6,11.8,12.507493776355233,38.0,39.9,40.71147690900778,0.5469999999999999,0.49260000000000004,0.5689424884418026,21.6,19.9,23.94955037341869,0.1492,0.0746,0.13497119341563787,1.2,0.6,1.2016460905349795
2019-12-21,"FedExForum, Memphis, Tennessee",Jackson State,Memphis,Home,55.0,11,5.1,2,91.7,75.0,18,0.347,62,0.323,20,0.161,10,0.6,6,9,200,58.3,23.3,10,14,49,20.2,17,0.242,15,0.2,3,41.8,28,0.367,27.4,25,47,0.362,17,0.25,3,51.379999999999995,51.07272727272727,49.12981930261309,14.4,13.636363636363637,15.072600721434746,7.140000000000001,9.709090909090909,9.025162153465768,2.4,3.090909090909091,2.9857067858896853,95.03999999999999,103.13636363636364,90.60718217073958,80.64000000000001,74.15454545454546,81.66887330860811,22.2,18.545454545454547,23.180714322003762,0.4768,0.465,0.5018486341851683,63.0,62.45454545454545,64.28760859625058,0.429,0.4174545454545454,0.4586025673593119,27.6,26.272727272727273,29.903690155633463,0.2346,0.24136363636363634,0.24552617317820796,14.8,15.090909090909092,15.883435790614577,0.5942000000000001,0.6686363636363637,0.627413114531999,9.4,10.363636363636363,10.380412877440772,7.4,5.181818181818182,7.23358566614168,200.0,200.0,200.0,92.6,93.61818181818181,98.73056952700301,23.06,24.11818181818182,25.683513692018494,7.8,8.363636363636363,8.561906213483718,20.6,19.727272727272727,19.81445917797084,70.6,68.81818181818181,75.79178309539536,12.620000000000001,13.518181818181818,12.17223153652052,9.4,9.818181818181818,9.13055259191519,0.3698,0.3503636363636364,0.32760776643126904,23.2,21.818181818181817,21.146623990245395,0.26180000000000003,0.2711818181818182,0.2691672678622839,6.0,5.909090909090909,5.6039899066876675,46.8,44.38181818181818,49.785232603431055,30.0,26.90909090909091,31.742620535487482,0.49400000000000005,0.4908181818181818,0.5193792274212943,15.719999999999999,14.681818181818182,14.870451658791852,12.8,11.818181818181818,12.338329184236823,39.8,40.63636363636363,43.14098460600519,0.523,0.49518181818181817,0.5529616589612018,21.6,20.363636363636363,24.299700248945793,0.1704,0.09263636363636364,0.18098079561042524,1.6,0.8181818181818182,1.8010973936899863
2019-12-30,"Ferrell Center, Waco, Texas",Jackson State,Baylor,Home,40.0,8,6.1,2,113.7,64.5,20,0.375,60,0.333,20,0.283,17,0.706,12,10,200,78.1,30.0,12,22,57,9.6,7,0.217,13,0.385,5,45.1,32,0.419,21.1,18,47,0.319,15,0.231,3,51.85999999999999,51.4,51.08654620174207,14.6,13.416666666666666,13.715067147623165,6.5,9.325000000000001,7.71677476897718,2.2,3.0,2.6571378572597903,91.16,102.18333333333334,90.97145478049306,83.64000000000001,74.22500000000001,79.44591553907208,22.2,18.5,21.45380954800251,0.4648,0.45516666666666666,0.4502324227901122,64.6,62.416666666666664,63.52507239750039,0.4232,0.40958333333333335,0.41340171157287464,27.8,25.75,26.602460103755647,0.1964,0.23466666666666666,0.21735078211880532,13.0,14.666666666666666,13.922290527076385,0.5774,0.6629166666666667,0.6182754096879993,8.0,10.0,8.920275251627181,8.0,5.5,7.822390444094454,200.0,200.0,200.0,88.41999999999999,90.675,85.253713018002,24.08,24.05,24.88900912801233,8.6,8.5,9.041270808989147,19.2,19.25,17.87630611864723,69.0,67.16666666666667,66.86118873026358,14.16,14.075000000000001,14.848154357680347,11.0,10.416666666666666,11.753701727943461,0.3478,0.3413333333333333,0.2990718442875127,22.4,21.25,19.097749326830264,0.2386,0.26525,0.2461115119081893,5.4,5.666666666666667,4.735993271125112,47.54,44.166666666666664,47.12348840228737,30.8,27.0,30.495080356991657,0.47700000000000004,0.4805,0.46858615161419626,17.54,15.741666666666667,19.0469677725279,15.0,12.916666666666666,16.558886122824546,42.2,41.166666666666664,44.42732307067013,0.5212,0.48408333333333337,0.48930777264080116,22.4,20.083333333333332,21.86646683263053,0.19180000000000003,0.10575000000000001,0.20398719707361684,2.0,1.0,2.2007315957933242
2020-01-04,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",Alabama State,Jackson State,Home,45.5,10,13.3,4,101.5,75.0,21,0.395,57,0.386,22,0.596,34,0.735,25,10,200,106.1,31.4,11,25,70,4.5,3,0.246,14,0.071,1,50.8,32,0.478,5.3,4,43,0.488,21,0.286,4,47.86,50.52307692307692,47.39103080116138,13.8,13.0,11.810044765082111,7.720000000000001,9.076923076923077,7.177849845984787,2.6,2.923076923076923,2.4380919048398604,91.53999999999999,103.06923076923077,98.54763652032872,79.88,73.47692307692309,74.46394369271472,23.2,18.615384615384617,20.96920636533501,0.4554,0.44899999999999995,0.4251549485267415,65.0,62.23076923076923,62.35004826500026,0.4208,0.4036923076923077,0.3866011410485831,27.8,25.307692307692307,24.401640069170433,0.2324,0.2383846153846154,0.23923385474587022,15.2,14.846153846153847,14.948193684717591,0.6186,0.6662307692307692,0.6475169397919995,9.8,10.153846153846153,9.946850167751455,8.6,5.846153846153846,8.54826029606297,200.0,200.0,200.0,88.74,89.70769230769231,82.86914201200133,27.22,24.50769230769231,26.592672752008223,10.0,8.76923076923077,10.027513872659432,19.8,19.46153846153846,19.25087074576482,70.0,66.38461538461539,63.57412582017572,13.439999999999998,13.73076923076923,13.098769571786898,10.6,10.153846153846153,10.169134485295642,0.2808,0.33176923076923076,0.27171456285834183,18.6,20.615384615384617,17.065166217886844,0.2594,0.2744615384615385,0.2924076746054596,4.6,5.615384615384615,4.823995514083409,49.019999999999996,44.23846153846154,46.44899226819158,33.2,27.384615384615383,30.996720237994438,0.47540000000000004,0.4757692307692307,0.4520574344094642,18.22,16.153846153846153,19.731311848351936,16.0,13.307692307692308,17.039257415216365,46.4,41.61538461538461,45.28488204711342,0.5004,0.4713846153846154,0.4325385150938675,23.2,19.692307692307693,19.57764455508702,0.21300000000000002,0.11538461538461539,0.2129914647157446,2.4,1.1538461538461537,2.4671543971955496
2020-01-06,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",Alabama A&M,Jackson State,Away,42.9,9,17.4,8,94.3,78.0,32,0.415,53,0.396,21,0.396,21,0.619,13,11,200,81.4,18.8,6,22,57,5.7,4,0.302,16,0.125,2,52.1,38,0.453,16.2,12,37,0.514,19,0.267,4,47.71999999999999,50.16428571428571,46.76068720077426,13.4,12.785714285714286,11.20669651005474,9.48,9.37857142857143,9.21856656398986,3.2,3.0,2.958727936559907,93.97999999999999,102.95714285714287,99.53175768021916,76.88,73.58571428571429,74.64262912847649,23.8,18.785714285714285,20.97947091022334,0.4526,0.4451428571428572,0.4151032990178277,63.2,61.857142857142854,60.56669884333351,0.4192,0.40242857142857147,0.38640076069905543,27.0,25.071428571428573,23.601093379446958,0.32439999999999997,0.2639285714285714,0.3581559031639135,20.2,16.214285714285715,21.298795789811727,0.6768,0.6711428571428572,0.6766779598613331,14.0,11.214285714285714,14.96456677850097,9.0,6.142857142857143,9.032173530708647,200.0,200.0,200.0,94.49999999999999,90.87857142857142,90.61276134133422,30.7,25.0,28.195115168005483,11.0,8.928571428571429,10.351675915106288,19.4,19.857142857142858,21.167247163843214,72.4,66.64285714285714,65.71608388011715,10.34,13.071428571428571,10.232513047857934,8.2,9.642857142857142,7.779422990197095,0.2572,0.3256428571428572,0.26314304190556126,16.6,20.142857142857142,16.043444145257897,0.257,0.25992857142857145,0.21860511640363975,4.4,5.285714285714286,3.549330342722273,51.56,44.707142857142856,47.89932817879439,34.8,27.714285714285715,31.331146825329625,0.48840000000000006,0.4759285714285714,0.4607049562729762,16.360000000000003,15.37857142857143,14.92087456556796,14.4,12.642857142857142,12.692838276810912,46.6,41.714285714285715,44.52325469807562,0.4838,0.47257142857142853,0.451025676729245,22.6,19.785714285714285,20.05176303672468,0.248,0.12757142857142859,0.23732764314382973,3.0,1.3571428571428572,2.9781029314636998
