date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-30,"The Arena, Niceville, Florida",Jacksonville State,Chattanooga,Home,37.5,9,8.3,2,98.4,82.8,24,0.465,57,0.421,24,0.193,11,0.636,7,4,200,93.8,33.3,9,13,60,10.9,7,0.281,16,0.313,5,58.9,33,0.482,16.3,12,41,0.463,19,0.333,2,51.260000000000005,51.260000000000005,55.27283950617285,13.2,13.2,13.037037037037038,4.16,4.16,3.8123456790123464,1.6,1.6,1.4197530864197534,100.46000000000001,100.46000000000001,101.16172839506174,77.7,77.7,78.75061728395063,23.0,23.0,22.45679012345679,0.5092,0.5092,0.49619753086419754,59.6,59.6,56.85185185185186,0.44020000000000004,0.44020000000000004,0.4251851851851853,26.6,26.6,24.197530864197535,0.33540000000000003,0.33540000000000003,0.3388271604938272,20.0,20.0,19.20987654320988,0.6838,0.6838,0.6853827160493828,13.6,13.6,13.074074074074076,2.0,2.0,2.2592592592592595,200.0,200.0,200.0,101.32,101.32,95.47530864197532,28.1,28.1,25.03333333333334,9.4,9.4,8.456790123456791,15.2,15.2,16.7283950617284,75.0,75.0,69.37037037037038,11.52,11.52,10.656790123456792,8.6,8.6,7.80246913580247,0.37320000000000003,0.37320000000000003,0.38729629629629636,22.0,22.0,21.7283950617284,0.3598,0.3598,0.3556172839506173,8.2,8.2,7.901234567901236,51.08,51.08,49.887654320987664,32.4,32.4,30.913580246913583,0.5368,0.5368,0.5263827160493828,16.86,16.86,18.333333333333336,13.8,13.8,14.617283950617288,37.6,37.6,35.12345679012346,0.48460000000000003,0.48460000000000003,0.46571604938271616,18.4,18.4,16.296296296296298,0.29660000000000003,0.29660000000000003,0.287604938271605,1.0,1.0,1.1358024691358026
2019-12-03,"EagleBank Arena, Fairfax, Virginia",Jacksonville State,George Mason,Home,30.8,8,11.1,5,97.1,72.7,24,0.446,65,0.4,26,0.092,6,0.333,2,5,200,87.0,23.5,8,18,60,7.2,5,0.354,23,0.261,6,47.8,32,0.442,11.7,9,42,0.476,20,0.286,2,48.32000000000001,48.96666666666667,49.3485596707819,12.6,12.5,11.69135802469136,4.28,4.8500000000000005,5.3082304526748985,1.4,1.6666666666666667,1.6131687242798356,98.38,100.11666666666667,100.2411522633745,82.56,78.55,80.10041152263376,23.0,23.166666666666668,22.971193415637863,0.5076,0.5018333333333334,0.485798353909465,59.8,59.166666666666664,56.90123456790125,0.4422,0.437,0.4237901234567902,26.8,26.166666666666668,24.13168724279836,0.31679999999999997,0.31166666666666665,0.2902181069958848,19.0,18.5,16.473251028806587,0.6609999999999999,0.6758333333333333,0.6689218106995886,12.6,12.5,11.049382716049386,2.6,2.3333333333333335,2.8395061728395063,200.0,200.0,200.0,100.96000000000001,100.06666666666666,94.91687242798355,26.879999999999995,28.96666666666667,27.78888888888889,8.6,9.333333333333334,8.637860082304528,14.0,14.833333333333334,15.485596707818935,74.0,72.5,66.24691358024693,11.639999999999999,11.416666666666666,10.737860082304529,8.6,8.333333333333334,7.534979423868314,0.3508,0.3578333333333334,0.3518641975308643,20.8,21.0,19.818930041152267,0.3588,0.35200000000000004,0.3414115226337449,7.8,7.666666666666667,6.934156378600825,52.86,52.38333333333333,52.89176954732511,31.6,32.5,31.60905349794239,0.5309999999999999,0.5276666666666666,0.5115884773662552,15.680000000000001,16.766666666666666,17.65555555555556,12.6,13.5,13.744855967078193,39.0,38.166666666666664,37.08230452674898,0.483,0.48100000000000004,0.4648106995884775,19.0,18.5,17.19753086419753,0.3632,0.3026666666666667,0.30273662551440333,1.4,1.1666666666666667,1.4238683127572018
2019-12-07,"Elmore Health Science Building , Normal, Alabama",Jacksonville State,Alabama A&M,Home,42.3,11,7.1,3,84.8,82.9,34,0.447,66,0.394,26,0.136,9,0.333,3,6,225,78.5,27.3,9,18,62,3.8,3,0.379,25,0.28,7,58.1,43,0.441,21.4,19,41,0.463,19,0.25,2,45.34,46.371428571428574,43.16570644718794,10.0,11.857142857142858,10.46090534979424,5.5200000000000005,5.742857142857143,7.2388203017832655,2.0,2.142857142857143,2.7421124828532237,103.88,99.68571428571428,99.19410150891633,81.41999999999999,77.71428571428571,77.63360768175585,22.0,23.285714285714285,23.314128943758575,0.446,0.49385714285714283,0.4725322359396434,58.6,60.0,59.600823045267504,0.3926,0.4317142857142858,0.41586008230452687,22.8,26.142857142857142,24.75445816186558,0.262,0.2802857142857143,0.22414540466392321,15.0,16.714285714285715,12.982167352537726,0.5892,0.6268571428571429,0.5569478737997258,9.4,11.0,8.032921810699591,3.4,2.7142857142857144,3.5596707818930042,200.0,200.0,200.0,86.72,98.2,92.27791495198903,24.66,28.185714285714287,26.35925925925926,8.4,9.142857142857142,8.425240054869686,16.0,15.285714285714286,16.32373113854596,61.0,70.71428571428571,64.16460905349795,9.540000000000001,10.814285714285715,9.55857338820302,6.8,7.857142857142857,6.689986282578877,0.3484,0.35728571428571426,0.3525761316872429,20.2,21.285714285714285,20.879286694101513,0.2956,0.339,0.31460768175583,6.0,7.428571428571429,6.622770919067217,50.36,51.728571428571435,51.19451303155007,30.4,32.42857142857143,31.739368998628265,0.4694,0.5154285714285715,0.4883923182441702,16.46,16.04285714285714,15.670370370370375,13.0,12.857142857142858,12.163237311385464,38.4,38.714285714285715,38.72153635116599,0.4404,0.4802857142857143,0.4685404663923184,16.8,18.714285714285715,18.131687242798357,0.3204,0.30028571428571427,0.29715775034293557,1.6,1.2857142857142858,1.6159122085048012
2019-12-11,"Pete Mathews Coliseum, Jacksonville, Alabama",Troy,Jacksonville State,Away,66.7,12,11.1,4,92.3,73.1,19,0.443,53,0.34,18,0.302,16,0.5,8,7,200,84.6,30.3,10,12,55,12.3,8,0.66,35,0.314,11,49.2,29,0.454,17.8,13,18,0.389,7,0.222,2,47.96,45.8625,42.87713763145862,10.8,11.75,10.640603566529494,5.9399999999999995,5.9125,7.19254686785551,2.2,2.25,2.828074988568816,97.58,97.825,94.3960676726109,82.00000000000001,78.3625,79.38907178783724,24.8,24.625,26.87608596250572,0.45280000000000004,0.488,0.46402149062642895,59.2,60.75,61.73388203017834,0.39520000000000005,0.427,0.4085733882030179,23.2,26.125,25.169638774577052,0.22879999999999998,0.26225,0.19476360310928217,13.0,15.75,11.654778235025152,0.519,0.590125,0.48229858253315055,7.4,10.0,6.3552812071330615,4.2,3.125,4.373113854595337,205.0,203.125,208.33333333333334,86.16,95.7375,87.68527663465936,24.119999999999997,28.075,26.672839506172842,7.8,9.125,8.616826703246458,17.4,15.625,16.882487425697306,60.4,69.625,63.443072702331975,7.8,9.9375,7.639048925468681,5.4,7.25,5.4599908550525855,0.3638,0.36,0.3613840877914953,21.4,21.75,22.252857796067676,0.3094,0.331625,0.30307178783722,6.6,7.375,6.748513946044811,52.14,52.525,53.496342021033385,32.6,33.75,35.49291266575218,0.4673999999999999,0.5061249999999999,0.47259487882944684,16.54,16.7125,17.58024691358025,13.0,13.625,14.44215820759031,37.8,39.0,39.48102423411066,0.442,0.478125,0.46669364426154564,16.6,18.75,18.42112482853224,0.3038,0.294,0.2814385002286237,1.8,1.375,1.7439414723365343
2019-12-16,"Pete Mathews Coliseum, Jacksonville, Alabama",Evansville,Jacksonville State,Home,61.8,21,7.1,2,83.1,80.6,25,0.637,62,0.548,34,0.145,9,0.667,6,7,200,119.7,37.9,11,16,85,11.3,8,0.355,22,0.5,11,60.0,36,0.641,18.5,15,40,0.575,23,0.3,3,48.8,48.17777777777778,50.818091754305755,11.2,11.777777777777779,11.093735711019663,8.16,6.488888888888889,8.495031245237007,3.0,2.4444444444444446,3.2187166590458776,91.5,97.21111111111111,93.69737844840728,79.34,77.77777777777777,77.29271452522482,24.8,24.0,24.250723975003815,0.47859999999999997,0.48299999999999993,0.457014327084286,58.0,59.888888888888886,58.8225880201189,0.409,0.41733333333333333,0.38571559213534534,23.6,25.22222222222222,22.77975918305137,0.21799999999999997,0.26666666666666666,0.23050906873952146,12.0,15.777777777777779,13.103185490016768,0.5048,0.5801111111111111,0.48819905502210037,6.6,9.777777777777779,6.9035208047553756,5.0,3.5555555555555554,5.248742569730224,205.0,202.77777777777777,205.55555555555557,88.24000000000001,94.5,86.65685108977291,25.18,28.322222222222223,27.881893004115227,7.8,9.222222222222221,9.077884468830973,16.0,15.222222222222221,15.25499161713154,61.6,68.0,60.62871513488798,9.040000000000001,10.2,9.192699283645787,6.2,7.333333333333333,6.306660570035057,0.42460000000000003,0.3933333333333333,0.4609227251943302,24.2,23.22222222222222,26.501905197378452,0.3246,0.32966666666666666,0.30671452522481335,7.8,7.777777777777778,8.165675964029875,52.61999999999999,52.15555555555555,52.06422801402226,32.6,33.22222222222222,33.32860844383479,0.48719999999999997,0.5003333333333333,0.4663965858862979,18.240000000000002,16.833333333333332,17.653497942386835,14.2,13.555555555555555,13.961438805060208,33.8,36.666666666666664,32.320682822740444,0.462,0.46822222222222226,0.44079576284103045,15.8,17.444444444444443,14.614083219021495,0.2982,0.286,0.2616256668190825,2.0,1.4444444444444444,1.829294314891023
2019-12-18,"Pete Mathews Coliseum, Jacksonville, Alabama",Delaware State,Jacksonville State,Home,68.8,22,7.0,3,105.3,86.2,25,0.685,54,0.593,32,0.407,22,0.818,18,7,200,121.1,25.0,5,13,92,6.6,5,0.481,26,0.385,10,61.2,30,0.714,19.1,15,28,0.786,22,0.364,4,47.82,49.54,54.478727836203845,12.2,12.7,14.395823807346442,8.94,6.55,8.030020830158005,3.2,2.4,2.812477772697252,91.14,95.8,90.16491896560485,78.42,78.06,78.39514301681655,25.2,24.1,24.500482650002546,0.4875999999999999,0.4984,0.5170095513895241,60.6,60.1,59.88172534674594,0.42060000000000003,0.4304,0.439810394756897,25.6,26.1,26.51983945536758,0.1736,0.2545,0.20200604582634762,10.2,15.1,11.735456993344513,0.49379999999999996,0.5888,0.5477993700147337,5.2,9.4,6.602347203170251,5.8,3.9,5.832495046486816,205.0,202.5,203.70370370370372,92.72,97.02,97.67123405984862,30.46,29.28,31.221262002743487,9.4,9.4,9.718589645887317,15.4,15.3,15.503327744754362,64.4,69.7,68.75247675659199,9.1,10.309999999999999,9.895132855763858,6.2,7.4,6.871107046690039,0.4058,0.3895,0.42561515012955353,24.2,23.1,25.001270131585635,0.3336,0.3467,0.37114301681654227,8.0,8.1,9.110450642686583,54.8,52.94,54.70948534268151,34.6,33.5,34.21907229588986,0.492,0.5144,0.5245977239241986,17.14,17.0,17.935665294924558,13.6,13.7,14.30762587004014,36.4,37.0,34.880455215160296,0.47319999999999995,0.4789,0.48553050856068697,17.6,18.0,17.409388812680998,0.2782,0.2874,0.27441711121272166,2.2,1.6,2.2195295432606823
2019-12-21,"Thompson-Boling Arena, Knoxville, Tennessee",Jacksonville State,Tennessee,Home,55.0,11,13.2,5,105.6,85.7,24,0.426,54,0.37,20,0.278,15,0.467,7,8,200,74.6,22.6,7,11,53,8.5,6,0.37,20,0.3,6,52.5,31,0.434,20.9,16,34,0.412,14,0.333,4,54.08,51.290909090909096,59.252485224135896,14.8,13.545454545454545,16.93054920489763,8.68,6.590909090909091,7.68668055343867,3.4,2.4545454545454546,2.874985181798168,92.52000000000001,96.66363636363636,95.2099459770699,79.1,78.8,80.99676201121105,25.4,24.181818181818183,24.66698843333503,0.5316000000000001,0.5153636363636364,0.5730063675930162,60.0,59.54545454545455,57.92115023116396,0.45500000000000007,0.4451818181818182,0.490873596504598,27.2,26.636363636363637,28.34655963691172,0.21639999999999998,0.26836363636363636,0.2703373638842318,12.4,15.727272727272727,15.156971328896343,0.5302,0.6096363636363636,0.6378662466764891,7.4,10.181818181818182,10.401564802113501,6.4,4.181818181818182,6.221663364324544,205.0,202.27272727272728,202.46913580246917,98.17999999999999,99.2090909090909,105.48082270656575,28.8,28.89090909090909,29.147508001828992,8.6,9.0,8.145726430591544,15.4,15.090909090909092,14.668885163169577,70.8,71.72727272727273,76.50165117106133,8.24,9.972727272727273,8.796755237175907,5.8,7.181818181818182,6.24740469779336,0.44580000000000003,0.39781818181818185,0.4440767667530357,26.2,23.363636363636363,25.33418008772376,0.348,0.3501818181818182,0.3757620112110282,9.0,8.272727272727273,9.40696709512439,55.260000000000005,53.690909090909095,56.87299022845434,34.0,33.18181818181818,32.81271486392657,0.5384,0.5325454545454545,0.5877318159494658,17.7,17.19090909090909,18.32377686328304,14.2,13.818181818181818,14.538417246693427,33.8,36.18181818181818,32.5869701434402,0.5378000000000001,0.5068181818181818,0.5856870057071246,18.2,18.363636363636363,18.939592541787334,0.2844,0.2943636363636364,0.30427807414181446,2.6,1.8181818181818181,2.813019695507122
2019-12-28,"Pete Mathews Coliseum, Jacksonville, Alabama","Carver College
			",Jacksonville State,Home,56.3,27,5.6,2,66.7,82.9,29,0.688,80,0.6,48,0.225,18,0.556,10,8,200,142.9,43.2,16,18,120,13.1,11,0.363,29,0.483,14,62.5,45,0.678,12.9,13,51,0.667,34,0.385,5,58.919999999999995,51.6,57.83499014942393,15.4,13.333333333333334,14.953699469931754,9.1,7.141666666666667,9.524453702292448,3.4,2.6666666666666665,3.5833234545321124,94.22,97.40833333333335,98.67329731804661,81.7,79.375,82.56450800747403,25.4,24.166666666666668,24.44465895555669,0.5276,0.5079166666666667,0.5240042450620108,57.8,59.083333333333336,56.614100154109316,0.449,0.4389166666666667,0.45058239766973207,26.0,26.083333333333332,25.564373091274483,0.25359999999999994,0.26916666666666667,0.2728915759228212,14.2,15.666666666666666,15.104647552597564,0.5569999999999999,0.59775,0.5809108311176594,8.4,9.916666666666666,9.267709868075668,7.0,4.5,6.814442242883031,205.0,202.08333333333334,201.64609053497946,95.7,97.15833333333332,95.1872151377105,28.619999999999997,28.366666666666664,26.965005334552664,8.4,8.833333333333334,7.763817620394363,14.0,14.75,13.445923442113052,69.4,70.16666666666667,68.66776744737422,8.5,9.85,8.697836824783938,6.0,7.083333333333333,6.1649364651955745,0.449,0.3955,0.41938451116869047,25.6,23.083333333333332,23.556120058482506,0.3558,0.34600000000000003,0.35050800747401883,9.0,8.083333333333334,8.271311396749594,56.2,53.59166666666667,55.41532681896957,33.8,33.0,32.20847657595105,0.5367999999999999,0.5243333333333333,0.5364878772996439,19.54,17.5,19.18251790885536,15.6,14.0,15.02561149779562,32.2,36.0,33.0579800956268,0.525,0.4989166666666667,0.5277913371380831,17.0,18.0,17.29306169452489,0.29379999999999995,0.29758333333333337,0.3138520494278763,3.0,2.0,3.208679797004748
2020-01-02,"Ellis T. Johnson Arena, Morehead, Kentucky",Jacksonville State,Morehead State,Away,44.4,12,14.6,6,100.0,75.0,30,0.553,57,0.474,27,0.298,17,0.765,13,8,200,105.6,25.0,7,20,76,2.8,2,0.421,24,0.375,9,54.4,37,0.584,16.8,13,33,0.545,18,0.429,6,61.720000000000006,51.96153846153846,57.32332676628263,18.6,14.384615384615385,18.9691329799545,8.8,7.023076923076923,8.216302468194966,3.2,2.6153846153846154,3.055548969688075,90.6,95.04615384615384,88.01553154536441,81.7,79.64615384615385,82.67633867164936,24.4,24.53846153846154,25.96310597037113,0.5757999999999999,0.5217692307692308,0.5786694967080073,60.6,60.69230769230769,64.40940010273954,0.4902,0.4513076923076923,0.5003882651131547,30.4,27.76923076923077,33.04291539418299,0.2714,0.26576923076923076,0.2569277172818808,16.0,15.846153846153847,16.069765035065046,0.6016,0.5945384615384616,0.5726072207451063,9.8,9.923076923076923,9.511806578717113,7.4,4.769230769230769,7.209628161922021,200.0,201.92307692307693,201.09739368998632,108.58,100.67692307692307,111.09147675847368,31.8,29.50769230769231,32.37667022303511,9.8,9.384615384615385,10.509211746929576,14.0,15.0,14.963948961408702,81.0,74.0,85.77851163158282,10.36,10.100000000000001,10.165224549855958,7.6,7.384615384615385,7.776624310130384,0.44580000000000003,0.393,0.4005896741124603,26.4,23.53846153846154,25.370746705655005,0.3964,0.3565384615384615,0.39467200498267924,10.4,8.538461538461538,10.180874264499728,57.080000000000005,54.276923076923076,57.77688454597971,34.2,33.92307692307692,36.472317717300704,0.5842,0.5361538461538461,0.5836585848664293,17.84,17.146153846153847,17.08834527257024,14.4,13.923076923076923,14.350407665197082,34.2,37.15384615384615,39.03865339708454,0.5658,0.5118461538461538,0.5741942247587222,20.0,19.23076923076923,22.862041129683263,0.3208,0.3043076923076923,0.33756803295191756,3.6,2.230769230769231,3.8057865313364987
2020-01-04,"McBrayer Arena, Richmond, Kentucky",Jacksonville State,Eastern Kentucky,Away,60.7,17,2.5,1,95.9,70.7,29,0.551,59,0.475,28,0.305,18,0.833,15,8,200,108.1,32.1,9,16,80,4.1,3,0.339,20,0.45,9,55.1,38,0.592,19.3,16,39,0.487,19,0.467,7,57.260000000000005,51.42142857142857,53.01555117752175,18.6,14.214285714285714,16.646088653303003,9.5,7.564285714285715,10.344201645463311,3.6,2.857142857142857,4.037032646458718,92.14,95.39999999999999,92.01035436357628,82.08000000000001,79.31428571428572,80.11755911443291,26.6,24.928571428571427,27.308737313580757,0.5978000000000001,0.524,0.5701129978053383,61.4,60.42857142857143,61.93960006849303,0.517,0.45292857142857146,0.49159217674210315,32.2,27.714285714285715,31.028610262788664,0.2706,0.26807142857142857,0.2706184781879205,16.2,15.928571428571429,16.379843356710033,0.6546000000000001,0.6067142857142857,0.6367381471634042,10.8,10.142857142857142,10.674537719144743,7.6,5.0,7.4730854412813486,200.0,201.78571428571428,200.73159579332423,112.78,101.02857142857142,109.26098450564913,30.74,29.185714285714287,29.917780148690078,9.2,9.214285714285714,9.339474497953052,15.6,15.357142857142858,16.642632640939134,85.2,74.14285714285714,82.51900775438855,8.46,9.578571428571427,7.710149699903973,6.4,7.0,5.851082873420257,0.398,0.395,0.4073931160749736,24.2,23.571428571428573,24.91383113710334,0.4086,0.3578571428571428,0.38811466998845284,10.0,8.571428571428571,9.787249509666486,58.120000000000005,54.285714285714285,56.65125636398648,35.8,34.142857142857146,36.648211811533805,0.6102,0.5395714285714286,0.5837723899109528,17.64,17.12142857142857,16.992230181713495,14.4,13.857142857142858,13.900271776798057,37.2,36.857142857142854,37.02576893138969,0.597,0.5142142857142857,0.5644628165058149,22.2,19.142857142857142,21.241360753122176,0.36219999999999997,0.3132142857142857,0.36804535530127835,4.4,2.5,4.537191020890999
