date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-16,"Moore Gymnasium, Daytona Beach, Florida",Jacksonville,Bethune-Cookman,Away,38.1,8,10.3,4,81.4,77.1,29,0.537,41,0.512,21,0.366,15,0.8,12,5,200.0,94.9,31.6,4,17,56,10.2,6,0.268,11.0,0.182,2.0,61.1,33,0.582,25.2,16,30.0,0.633,19.0,0.167,1,44.22,44.22,43.55555555555556,10.4,10.4,10.666666666666668,8.86,8.86,10.751851851851853,3.2,3.2,3.71604938271605,115.02000000000001,115.02000000000001,116.58024691358027,61.0,61.0,59.20000000000002,17.2,17.2,16.24691358024692,0.41080000000000005,0.41080000000000005,0.42007407407407416,62.0,62.0,62.40740740740741,0.37039999999999995,0.37039999999999995,0.38108641975308644,23.0,23.0,23.802469135802472,0.2918,0.2918,0.268925925925926,18.0,18.0,16.666666666666668,0.7116,0.7116,0.7071604938271606,13.4,13.4,12.34567901234568,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,89.14,89.14,91.74691358024693,40.42,40.42,41.704938271604945,13.6,13.6,13.641975308641978,20.2,20.2,19.530864197530867,64.4,64.4,64.80246913580248,11.559999999999999,11.559999999999999,12.243209876543212,8.2,8.2,8.518518518518519,0.281,0.281,0.2796296296296297,17.4,17.4,17.4320987654321,0.30579999999999996,0.30579999999999996,0.29420987654320996,5.0,5.0,4.851851851851853,49.019999999999996,49.019999999999996,48.83086419753087,30.8,30.8,29.888888888888893,0.45380000000000004,0.45380000000000004,0.4593580246913581,18.7,18.7,18.224691358024693,16.0,16.0,15.308641975308644,44.6,44.6,44.97530864197532,0.39859999999999995,0.39859999999999995,0.41697530864197535,18.0,18.0,18.95061728395062,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-19,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",Jacksonville,Campbell,Home,62.5,15,17.6,6,107.4,66.7,19,0.446,56,0.429,24,0.196,11,0.636,7,6,200.0,83.8,48.6,16,30,57,14.7,10,0.268,15.0,0.133,2.0,56.5,35,0.465,28.3,24,41.0,0.537,22.0,0.143,1,45.52,43.199999999999996,41.73703703703704,10.8,10.0,9.777777777777779,9.74,9.1,10.601234567901237,3.6,3.3333333333333335,3.810699588477367,107.46000000000001,109.41666666666667,104.85349794238687,67.84,63.68333333333334,65.16666666666669,20.6,19.166666666666668,20.49794238683128,0.4466,0.43183333333333335,0.45904938271604945,58.2,58.5,55.27160493827161,0.40940000000000004,0.39399999999999996,0.42472427983539096,23.4,22.666666666666668,22.86831275720165,0.28500000000000003,0.30416666666666664,0.301283950617284,16.2,17.5,16.111111111111114,0.7216,0.7263333333333334,0.7381069958847738,12.2,13.166666666666666,12.230452674897121,3.8,3.3333333333333335,3.9300411522633745,200.0,200.0,200.0,91.4,90.10000000000001,92.7979423868313,40.7,38.949999999999996,38.3366255144033,12.4,12.0,10.427983539094654,19.0,19.666666666666668,18.687242798353914,63.4,63.0,61.86831275720166,11.4,11.333333333333334,11.562139917695475,7.8,7.833333333333333,7.679012345679014,0.268,0.2788333333333333,0.27575308641975316,15.6,16.333333333333332,15.288065843621402,0.2922,0.2851666666666667,0.25680658436214,4.4,4.5,3.9012345679012355,54.36,51.03333333333333,52.920576131687255,33.0,31.166666666666668,30.92592592592593,0.4848,0.4751666666666667,0.5002386831275721,20.240000000000002,19.783333333333335,20.549794238683127,16.2,16.0,15.539094650205765,42.6,42.166666666666664,39.98353909465021,0.45519999999999994,0.43766666666666665,0.4889835390946503,19.0,18.166666666666668,18.967078189300416,0.0334,0.027833333333333335,0.05566666666666667,0.2,0.16666666666666666,0.3333333333333333
2009-12-21,"Memorial Center, Johnson City, Tennessee",Jacksonville,ETSU,Home,59.1,13,17.6,6,127.4,46.7,14,0.491,57,0.386,22,0.316,18,0.778,14,7,200.0,95.9,31.3,10,19,70,6.8,5,0.439,25.0,0.48,12.0,38.7,24,0.534,21.7,18,32.0,0.313,10.0,0.125,1,47.44,45.957142857142856,48.65802469135803,12.0,10.714285714285714,11.518518518518519,12.8,10.314285714285715,12.934156378600825,4.6,3.7142857142857144,4.540466392318245,106.04,109.12857142857145,105.70233196159126,68.1,64.11428571428571,65.6777777777778,20.6,19.142857142857142,19.99862825788752,0.4708,0.4338571428571429,0.45469958847736636,57.4,58.142857142857146,55.51440329218107,0.4386,0.399,0.4261495198902606,24.8,22.857142857142858,23.245541838134436,0.2742,0.2887142857142857,0.26618930041152267,15.4,16.571428571428573,14.40740740740741,0.7422000000000001,0.7134285714285714,0.7040713305898493,12.0,12.285714285714286,10.486968449931414,4.6,3.7142857142857144,4.62002743484225,200.0,200.0,200.0,94.53999999999999,89.2,89.79862825788754,41.7,40.32857142857143,41.75775034293554,12.6,12.571428571428571,12.285322359396437,21.2,21.142857142857142,22.458161865569277,65.4,62.142857142857146,60.24554183813444,12.9,11.814285714285715,12.60809327846365,8.8,8.142857142857142,8.452674897119342,0.2616,0.2772857142857143,0.27316872427983546,15.0,16.142857142857142,15.192043895747602,0.2632,0.26342857142857146,0.21553772290809334,3.8,4.142857142857143,3.2674897119341573,55.2,51.81428571428571,54.113717421124846,33.2,31.714285714285715,32.283950617283956,0.5077999999999999,0.4737142857142857,0.4884924554183815,21.84,21.0,23.133196159122086,17.6,17.142857142857142,18.35939643347051,42.4,42.0,40.32235939643348,0.5054000000000001,0.45185714285714285,0.5049890260631003,21.0,18.714285714285715,19.97805212620028,0.062,0.04428571428571428,0.08477777777777779,0.4,0.2857142857142857,0.5555555555555556
2009-12-29,"New UCF Arena, Orlando, Florida",Jacksonville,Buffalo,Away,57.7,15,5.3,2,102.8,54.3,21,0.598,51,0.51,26,0.549,28,0.786,22,7,200.0,116.9,40.0,10,19,83,8.5,6,0.353,18.0,0.5,9.0,47.7,31,0.645,21.2,16,33.0,0.515,17.0,0.222,2,48.940000000000005,47.6,52.13868312757202,11.4,11.0,12.012345679012347,15.1,11.225000000000001,14.489437585733885,5.2,4.0,5.02697759487883,108.7,111.41250000000001,112.93488797439419,62.44,61.9375,59.351851851851876,18.6,18.5,17.99908550525835,0.45780000000000004,0.441,0.46679972565157757,56.4,58.0,56.009602194787384,0.41580000000000006,0.397375,0.4127663465935071,23.0,22.75,22.83036122542296,0.2504,0.292125,0.28279286694101513,13.6,16.75,15.604938271604942,0.72,0.7215,0.7287142203932329,10.0,12.5,11.657978966620943,5.4,4.125,5.413351623228166,200.0,200.0,200.0,91.84,90.0375,91.8324188385917,41.3,39.2,38.271833561957024,12.4,12.25,11.523548239597627,20.2,20.875,21.305441243712853,60.8,63.125,63.49702789208963,12.14,11.1875,10.672062185642435,8.0,7.75,7.301783264746229,0.3074,0.2975,0.328445816186557,17.4,17.25,18.46136259716507,0.2516,0.2905,0.30369181527206224,4.8,5.125,6.1783264746227715,52.17999999999999,50.175,48.975811614083234,31.0,30.75,29.522633744855973,0.4904,0.48124999999999996,0.5036616369455877,21.759999999999998,21.0875,22.65546410608139,17.0,17.25,18.239597622313674,39.0,40.75,37.54823959762232,0.4699999999999999,0.4345,0.4409926840420669,18.2,17.625,16.652034750800187,0.087,0.054375,0.0981851851851852,0.6,0.375,0.7037037037037037
2009-12-30,"New UCF Arena, Orlando, Florida",Jacksonville,UCF,Away,66.7,12,18.8,6,76.1,73.3,22,0.469,48,0.375,18,0.521,25,0.64,16,7,200.0,91.0,23.5,8,25,61,10.4,7,0.438,21.0,0.429,9.0,46.9,30,0.509,19.2,14,27.0,0.333,9.0,0.3,3,53.480000000000004,48.72222222222222,53.992455418381354,13.0,11.444444444444445,13.0082304526749,13.38,10.566666666666668,11.42629172382259,4.6,3.7777777777777777,4.017985063252554,109.56000000000002,110.45555555555556,109.55659198292946,59.96,61.08888888888888,57.66790123456792,19.4,18.77777777777778,18.9993903368389,0.5112,0.4584444444444445,0.5105331504343851,53.6,57.22222222222222,54.33973479652493,0.45620000000000005,0.4098888888888889,0.4451775643956714,24.2,23.11111111111111,23.886907483615307,0.31720000000000004,0.32066666666666666,0.37152857796067673,16.4,18.0,19.736625514403293,0.72,0.7286666666666667,0.7478094802621553,12.2,13.555555555555555,15.10531931108063,6.0,4.444444444444445,5.942234415485444,200.0,200.0,200.0,98.6,93.02222222222223,100.18827922572781,40.0,39.28888888888889,38.84788904130468,10.6,12.0,11.015698826398419,20.2,20.666666666666668,20.536960829141904,66.6,65.33333333333333,69.99801859472643,10.459999999999999,10.88888888888889,9.948041457094957,7.0,7.555555555555555,6.86785550983082,0.3164,0.3036666666666667,0.3366305441243713,17.0,17.333333333333332,18.307575064776714,0.3216,0.31377777777777777,0.3691278768480415,6.0,5.555555555555555,7.118884316415182,50.980000000000004,49.900000000000006,48.550541076055495,30.0,30.77777777777778,30.015089163237317,0.544,0.49944444444444447,0.5507744246303918,22.919999999999998,21.1,22.17030940405426,17.6,17.11111111111111,17.49306508154245,36.6,39.888888888888886,36.032159731748216,0.4974,0.4434444444444444,0.4656617893613779,18.2,17.555555555555557,16.768023167200127,0.13140000000000002,0.07300000000000001,0.1394567901234568,1.0,0.5555555555555556,1.1358024691358026
2010-01-02,"Jacksonville Veteran's Memorial Arena, Jacksonville, Florida",Mercer,Jacksonville,Away,45.8,11,11.5,3,107.1,65.4,20,0.441,59,0.407,24,0.441,26,0.846,22,8,200.0,105.7,48.6,15,14,74,14.3,10,0.237,14.0,0.286,4.0,55.6,35,0.519,18.5,15,45.0,0.444,20.0,0.273,3,56.82000000000001,50.52,58.228303612254244,12.6,11.5,12.6721536351166,13.920000000000002,11.39,13.884194482548395,4.8,4.0,4.678656708835036,99.02000000000001,107.02000000000001,98.40439465528631,63.620000000000005,62.31,62.87860082304528,21.0,19.1,19.999593557892602,0.5082,0.45949999999999996,0.49668876695625674,50.6,56.3,52.22648986434996,0.4424,0.4064,0.42178504293044766,22.2,22.6,21.924604989076872,0.3896,0.3407,0.4213523853071178,19.4,18.7,21.491083676268865,0.728,0.7198,0.7118729868414369,14.2,13.8,15.403546207387087,6.4,4.7,6.294822943656963,200.0,200.0,200.0,96.5,92.82000000000001,97.12551948381855,35.0,37.71,33.73192602753646,9.6,11.6,10.010465884265614,22.0,21.1,22.02464055276127,65.4,64.9,66.99867906315096,10.120000000000001,10.84,10.098694304729971,6.8,7.5,6.9119036732205466,0.3532,0.31710000000000005,0.3704203627495809,18.0,17.7,19.205050043184478,0.34479999999999994,0.32530000000000003,0.38908525123202764,6.8,5.9,7.745922877610122,50.18,49.6,48.000360717370334,30.6,30.7,30.010059442158212,0.5469999999999999,0.5004,0.5368496164202613,23.119999999999997,20.91,21.18020626936951,17.6,16.8,16.328710054361636,32.6,38.6,33.02143982116548,0.4662,0.4324,0.4214411929075853,15.4,16.7,14.178682111466753,0.1914,0.0957,0.19297119341563787,1.6,0.8,1.757201646090535
2010-01-04,"Jacksonville Veteran's Memorial Arena, Jacksonville, Florida",Kennesaw State,Jacksonville,Home,41.0,16,8.1,3,70.3,66.7,30,0.606,71,0.549,39,0.169,12,0.417,5,8,200.0,123.0,61.8,21,16,91,16.2,12,0.183,13.0,0.615,8.0,64.6,51,0.593,18.2,17,58.0,0.534,31.0,0.333,4,58.36,50.09090909090909,54.08553574150283,13.2,11.454545454545455,12.114769090077735,14.160000000000002,11.4,13.089462988365597,4.6,3.909090909090909,4.119104472556691,104.16000000000001,107.02727272727272,101.30292977019087,61.279999999999994,62.59090909090909,63.71906721536352,19.2,19.181818181818183,19.99972903859507,0.489,0.45781818181818185,0.4781258446375045,54.2,56.54545454545455,54.48432657623331,0.42140000000000005,0.40645454545454546,0.4168566952869651,22.8,22.727272727272727,22.61640332605125,0.4046,0.34981818181818186,0.4279015902047453,21.6,19.363636363636363,22.994055784179245,0.7372,0.7312727272727273,0.7565819912276246,16.2,14.545454545454545,17.60236413825806,7.0,5.0,6.86321529577131,200.0,200.0,200.0,98.66000000000001,93.9909090909091,99.98367965587904,38.400000000000006,38.699999999999996,38.687950685024305,11.8,11.909090909090908,11.673643922843743,21.4,20.454545454545453,19.349760368507514,69.0,65.72727272727273,69.3324527087673,10.94,11.154545454545454,11.499129536486649,7.6,7.7272727272727275,7.941269115480365,0.347,0.3098181818181818,0.32594690849972063,18.6,17.363636363636363,17.470033362122987,0.3656,0.32172727272727275,0.3547235008213518,7.2,5.7272727272727275,6.497281918406748,49.08,50.14545454545455,50.533573811580226,31.0,31.09090909090909,31.673372961438808,0.5344,0.502090909090909,0.5308997442801742,21.779999999999998,20.69090909090909,20.286804179579676,17.4,16.636363636363637,15.88580670290776,35.6,39.18181818181818,37.014293214110324,0.4284,0.4334545454545454,0.4289607952717236,15.6,17.0,16.119121407644503,0.21259999999999998,0.11181818181818182,0.21964746227709192,2.0,1.0,2.171467764060357
2010-01-08,"Edmunds Center, DeLand, Florida",Jacksonville,Stetson,Away,48.0,12,10.5,4,102.9,57.6,19,0.53,50,0.5,25,0.72,36,0.75,27,8,200.0,117.6,54.2,13,24,80,16.2,11,0.26,13.0,0.231,3.0,56.1,32,0.596,16.5,13,37.0,0.595,22.0,0.385,5,54.06,49.333333333333336,49.72369049433522,13.4,11.833333333333334,13.409846060051823,12.260000000000002,11.125,11.426308658910399,4.0,3.8333333333333335,3.7460696483711273,96.74,103.96666666666665,90.96861984679393,61.279999999999994,62.93333333333334,64.71271147690902,21.4,20.083333333333332,23.333152692396716,0.521,0.4701666666666667,0.5207505630916697,57.2,57.75,59.98955105082221,0.4454000000000001,0.4183333333333333,0.4609044635246434,25.8,24.083333333333332,28.0776022173675,0.3992,0.33475000000000005,0.3416010601364969,21.8,18.75,19.329370522786164,0.6934,0.7050833333333334,0.6433879941517499,15.8,13.75,13.401576092172041,7.4,5.25,7.242143530514207,200.0,200.0,200.0,106.5,96.40833333333335,107.6557864372527,41.040000000000006,40.625,46.39196712334954,12.8,12.666666666666666,14.78242928189583,18.6,20.083333333333332,18.233173579005012,75.8,67.83333333333333,76.55496847251155,11.24,11.575000000000001,13.066086357657767,8.0,8.083333333333334,9.294179410320243,0.32999999999999996,0.29925,0.2782979389998138,18.2,17.0,15.980022241415327,0.4619999999999999,0.3461666666666667,0.4414823338809012,8.4,5.916666666666667,6.998187945604499,50.7,51.35,55.222382541053484,34.2,32.75,38.11558197429254,0.5599999999999999,0.5096666666666666,0.5515998295201161,19.759999999999998,20.483333333333334,19.591202786386454,16.0,16.666666666666668,16.257204468605174,39.0,40.75,44.00952880940689,0.42780000000000007,0.4418333333333333,0.46397386351448244,17.4,18.166666666666668,21.079414271763,0.2506,0.13025,0.2574316415180613,2.6,1.25,2.7809785093735715
2010-01-14,"Jacksonville Veteran's Memorial Arena, Jacksonville, Florida",Lipscomb,Jacksonville,Home,57.6,19,16.1,5,100.0,63.6,21,0.579,63,0.524,33,0.159,10,0.6,6,8,200.0,108.2,38.7,12,19,79,15.1,11,0.254,16.0,0.438,7.0,51.6,33,0.583,20.1,17,47.0,0.553,26.0,0.467,7,51.839999999999996,49.23076923076923,49.14912699622349,13.2,11.846153846153847,12.939897373367883,10.84,11.076923076923077,11.117539105940267,3.6,3.8461538461538463,3.830713098914085,91.83999999999999,103.88461538461539,94.94574656452929,63.46,62.52307692307693,62.34180765127269,22.4,20.0,21.888768461597813,0.5288,0.47476923076923083,0.5238337087277798,55.8,57.15384615384615,56.65970070054814,0.46820000000000006,0.42461538461538456,0.473936309016429,26.4,24.153846153846153,27.051734811578335,0.4800000000000001,0.3643846153846154,0.46773404009099795,25.4,20.076923076923077,24.886247015190776,0.6878,0.7085384615384616,0.6789253294344999,18.4,14.76923076923077,17.93438406144803,7.6,5.461538461538462,7.494762353676139,200.0,200.0,200.0,110.84,98.03846153846153,110.97052429150182,45.620000000000005,41.66923076923077,48.994644748899695,13.4,12.692307692307692,14.188286187930554,19.6,20.384615384615383,20.155449052670008,77.8,68.76923076923077,77.70331231500771,13.12,11.930769230769231,14.110724238438511,9.2,8.307692307692308,9.86278627354683,0.29419999999999996,0.29623076923076924,0.2721986259998759,15.8,16.692307692307693,14.986681494276887,0.4122,0.3373076923076923,0.37132155592060084,6.6,5.6923076923076925,5.665458630403,54.17999999999999,51.715384615384615,55.514921694035664,35.8,32.69230769230769,36.077054649528364,0.5724,0.5163076923076922,0.5663998863467441,18.72,20.176923076923078,18.56080185759097,15.0,16.384615384615383,15.171469645736785,40.0,40.46153846153846,41.67301920627126,0.48419999999999996,0.45361538461538464,0.5076492423429884,19.8,18.46153846153846,21.386276181175333,0.3026,0.14984615384615385,0.29995442767870756,3.4,1.5384615384615385,3.520652339582381
2010-01-16,"Jacksonville Veteran's Memorial Arena, Jacksonville, Florida",Belmont,Jacksonville,Home,44.8,13,24.3,9,94.3,67.6,25,0.533,60,0.483,29,0.417,25,0.72,18,8,200.0,117.1,44.1,15,20,82,12.9,9,0.317,19.0,0.316,6.0,56.3,40,0.57,16.5,14,41.0,0.561,23.0,0.5,8,51.82000000000001,49.82857142857143,51.966084664148994,14.0,12.357142857142858,14.959931582245257,13.0,11.435714285714287,12.778359403960179,4.2,3.9285714285714284,4.220475399276057,91.28,103.60714285714286,96.6304977096862,65.32000000000001,62.6,62.76120510084846,22.4,20.071428571428573,21.592512307731877,0.525,0.48221428571428576,0.5422224724851865,58.2,57.57142857142857,58.773133800365436,0.471,0.4317142857142858,0.4906242060109527,27.8,24.785714285714285,29.03448987438556,0.40199999999999997,0.3497142857142857,0.36482269339399864,21.8,19.357142857142858,19.92416467679385,0.6506,0.7007857142857142,0.6526168862896666,15.2,14.142857142857142,13.956256040965354,7.8,5.642857142857143,7.663174902450759,200.0,200.0,200.0,109.1,98.76428571428572,110.04701619433455,45.36,41.457142857142856,45.563096499266464,13.8,12.642857142857142,13.45885745862037,19.6,20.285714285714285,19.770299368446672,77.0,69.5,78.13554154333848,14.440000000000001,12.157142857142857,14.440482825625676,10.2,8.5,10.241857515697887,0.2744,0.29321428571428576,0.2661324173332506,15.4,16.642857142857142,15.324454329517927,0.3998,0.34450000000000003,0.3935477039470673,6.2,5.785714285714286,6.110305753602001,54.96,51.707142857142856,54.20994779602378,36.2,32.714285714285715,35.051369766352245,0.5599999999999999,0.5210714285714285,0.5719332575644961,18.5,20.17142857142857,19.07386790506065,15.2,16.428571428571427,15.780979763824524,42.8,40.92857142857143,43.44867947084751,0.4918,0.46071428571428574,0.5227661615619923,21.6,19.0,22.924184120783558,0.3516,0.17250000000000001,0.35563628511913836,4.4,1.9285714285714286,4.680434893054921
