date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Rupp Arena, Lexington, Kentucky",Lamar,Kentucky,Home,38.1,8,5.7,2,117.4,71.4,20,0.383,64,0.328,21,0.234,15,0.467,7,2,200,81.2,27.5,11,16,56,8.7,6,0.266,17,0.412,7,45.6,31,0.394,11.3,9,47,0.298,14,0.667,4,45.019999999999996,45.019999999999996,41.13333333333334,14.6,14.6,12.716049382716053,19.6,19.6,19.874074074074077,6.4,6.4,6.333333333333334,78.16,78.16,80.19135802469137,72.82000000000001,72.82000000000001,72.99506172839507,25.8,25.8,25.69135802469136,0.5216000000000001,0.5216000000000001,0.5143086419753087,66.0,66.0,63.71604938271605,0.4746,0.4746,0.4650123456790124,31.6,31.6,29.7283950617284,0.2618,0.2618,0.2841975308641975,16.8,16.8,17.851851851851855,0.6192,0.6192,0.6430617283950617,10.6,10.6,11.80246913580247,0.6,0.6,0.7037037037037037,200.0,200.0,200.0,103.28,103.28,102.01481481481483,32.56,32.56,30.175308641975313,11.6,11.6,10.419753086419755,17.8,17.8,18.0,79.6,79.6,77.30864197530866,15.6,15.6,14.295061728395064,12.2,12.2,11.061728395061731,0.281,0.281,0.2806296296296297,18.0,18.0,17.555555555555557,0.30720000000000003,0.30720000000000003,0.3285432098765433,5.8,5.8,6.049382716049383,53.5,53.5,52.319753086419766,37.4,37.4,36.111111111111114,0.5374,0.5374,0.5357777777777779,16.96,16.96,16.962962962962962,14.6,14.6,14.493827160493831,48.0,48.0,46.1604938271605,0.5306,0.5306,0.5130246913580248,25.8,25.8,23.679012345679016,0.8434000000000001,0.8434000000000001,0.8284444444444445,2.4,2.4,2.6913580246913584
2019-11-26,"Bartow Arena, Birmingham, Alabama",Lamar,Alabama-Birmingham,Home,33.3,6,15.8,6,85.1,57.5,23,0.315,62,0.29,18,0.274,17,0.529,9,3,200,71.6,29.5,13,16,48,14.9,10,0.29,18,0.167,3,42.9,36,0.342,13.7,11,44,0.341,15,0.571,4,40.88,43.86666666666667,40.122222222222234,12.2,13.5,11.144032921810702,15.280000000000001,17.283333333333335,15.149382716049386,5.0,5.666666666666667,4.88888888888889,91.88,84.7,92.59423868312759,71.1,72.58333333333333,72.46337448559672,24.2,24.833333333333332,23.794238683127574,0.47519999999999996,0.4985,0.4705390946502058,65.8,65.66666666666667,63.81069958847738,0.4356,0.45016666666666666,0.4193415637860083,29.0,29.833333333333332,26.818930041152267,0.25939999999999996,0.25716666666666665,0.2674650205761317,16.6,16.5,16.901234567901238,0.6376000000000001,0.5938333333333333,0.5843744855967079,10.8,10.0,10.20164609053498,1.0,0.8333333333333334,1.1358024691358026,200.0,200.0,200.0,98.54,99.60000000000001,95.07654320987656,28.060000000000002,31.71666666666667,29.28353909465021,10.8,11.5,10.613168724279838,18.0,17.5,17.333333333333336,73.6,75.66666666666667,70.20576131687244,11.98,14.450000000000001,12.430041152263378,9.0,11.166666666666666,9.374485596707821,0.2604,0.2785,0.27575308641975316,16.6,17.833333333333332,17.370370370370374,0.28959999999999997,0.32466666666666666,0.3563621399176955,4.8,6.0,6.366255144032922,49.38000000000001,52.18333333333334,50.07983539094651,35.0,36.333333333333336,34.40740740740741,0.49779999999999996,0.5135,0.4885185185185187,14.540000000000001,16.01666666666667,15.075308641975308,12.0,13.666666666666666,12.662551440329223,49.2,47.833333333333336,46.440329218107,0.4828,0.49183333333333334,0.4413497942386832,24.2,23.833333333333332,20.452674897119344,0.7768,0.8140000000000001,0.7746296296296298,3.0,2.6666666666666665,3.1275720164609058
2019-11-30,"Health & Physical Education Arena, Houston, Texas",Lamar,Texas Southern,Home,35.7,10,2.9,1,96.2,79.3,23,0.469,64,0.438,28,0.344,22,0.591,13,4,200,92.4,41.2,14,27,73,13.9,11,0.219,14,0.286,4,58.7,37,0.49,19.6,18,50,0.48,24,0.5,4,38.18,42.357142857142854,37.848148148148155,9.0,12.428571428571429,9.429355281207135,13.580000000000002,17.071428571428573,15.366255144032927,4.4,5.714285714285714,5.25925925925926,94.38000000000001,84.75714285714285,90.09615912208506,67.72,70.42857142857143,67.47558299039781,23.0,24.571428571428573,23.529492455418385,0.43279999999999996,0.4722857142857143,0.4186927297668039,60.0,65.14285714285714,63.20713305898492,0.39039999999999997,0.4272857142857143,0.37622770919067217,23.2,28.142857142857142,23.879286694101513,0.279,0.2595714285714286,0.2696433470507545,16.8,16.571428571428573,16.934156378600825,0.6184000000000001,0.5845714285714286,0.5659163237311386,10.6,9.857142857142858,9.801097393689988,1.6,1.1428571428571428,1.757201646090535,200.0,200.0,200.0,87.61999999999999,95.60000000000001,87.25102880658437,23.740000000000002,31.400000000000002,29.355692729766808,8.8,11.714285714285714,11.408779149519892,17.6,17.285714285714285,16.888888888888893,62.0,71.71428571428571,62.803840877914965,11.62,14.514285714285714,13.253360768175586,8.2,11.0,9.582990397805215,0.27880000000000005,0.28014285714285714,0.28050205761316876,16.6,17.857142857142858,17.58024691358025,0.3008,0.3021428571428571,0.29324142661179703,5.0,5.571428571428571,5.244170096021949,45.58,50.857142857142854,47.68655692729768,31.8,36.285714285714285,34.93827160493828,0.4586,0.489,0.43967901234567913,15.6,15.685714285714285,14.61687242798354,12.4,13.285714285714286,12.10836762688615,43.4,47.285714285714285,45.62688614540467,0.42779999999999996,0.47028571428571425,0.40789986282578883,18.2,22.571428571428573,18.635116598079563,0.6910000000000001,0.7792857142857142,0.7067530864197533,3.4,2.857142857142857,3.418381344307271
2019-12-07,"Montagne Center, Beaumont, Texas",Rice,Lamar,Home,48.1,13,32.0,8,81.1,74.3,26,0.509,57,0.474,27,0.351,20,0.75,15,4,200,98.6,28.1,9,21,73,10.8,8,0.316,18,0.222,4,52.2,35,0.549,19.6,16,39,0.59,23,0.556,5,36.22,41.525,37.132098765432104,9.0,12.125,9.619570187471425,12.16,15.3,11.210836762688619,4.0,5.125,3.8395061728395077,95.53999999999999,86.1875,92.1307727480567,70.44,71.5375,71.41705532693187,23.0,24.375,23.352994970278925,0.4378,0.471875,0.43546181984453597,62.0,65.0,63.471422039323286,0.3966,0.42862500000000003,0.39681847279378146,24.4,28.125,25.252857796067676,0.3034,0.270125,0.2944288980338363,18.8,17.25,18.622770919067218,0.6032,0.585375,0.5742775491540925,11.6,10.25,10.867398262459993,2.2,1.5,2.50480109739369,200.0,200.0,200.0,90.76,95.2,88.96735253772292,28.639999999999997,32.625,33.30379515317787,10.6,12.0,12.272519433013262,19.2,18.5,20.259259259259263,65.4,71.875,66.20256058527664,11.120000000000001,14.4375,13.468907178783725,8.0,11.0,10.055326931870145,0.26339999999999997,0.2725,0.2600013717421125,16.2,17.375,16.38683127572017,0.308,0.300125,0.29082761774119803,5.0,5.375,4.829446730681299,48.7,51.8375,51.357704618198454,33.6,36.375,35.625514403292186,0.4628,0.489125,0.45645267489711944,14.660000000000002,16.175,16.277914951989025,12.2,13.875,14.072245084590767,45.8,47.625,47.08459076360312,0.429,0.4715,0.43193324188385923,19.4,22.75,20.423411065386375,0.6576000000000001,0.744375,0.6378353909465022,3.8,3.0,3.6122542295381805
2019-12-11,"Montagne Center, Beaumont, Texas","Southern-New Orleans
			",Lamar,Home,56.0,14,23.4,11,77.8,70.0,28,0.473,55,0.455,25,0.564,31,0.677,21,4,200,101.4,45.2,14,9,73,11.1,8,0.2,11,0.182,2,59.2,42,0.523,17.9,15,44,0.523,23,0.6,6,34.120000000000005,42.25555555555556,40.7880658436214,8.2,12.222222222222221,10.74638012498095,15.8,17.155555555555555,18.140557841792415,4.8,5.444444444444445,5.226337448559672,94.34,85.62222222222222,88.45384849870447,71.1,71.84444444444445,72.37803688462125,23.8,24.555555555555557,24.235329980185952,0.42140000000000005,0.476,0.45997454656302406,62.4,64.11111111111111,61.314281359548865,0.386,0.43366666666666664,0.42254564852918763,24.0,28.0,25.835238530711788,0.3082,0.2791111111111111,0.31328593202255756,19.2,17.555555555555557,19.081847279378145,0.631,0.6036666666666667,0.6328516994360617,12.4,10.777777777777779,12.244932174973329,2.8,1.7777777777777777,3.0032007315957934,200.0,200.0,200.0,88.76,95.57777777777778,92.17823502514861,30.26,32.12222222222223,31.56919676878525,11.4,11.666666666666666,11.181679622008842,20.0,18.77777777777778,20.506172839506178,64.8,72.0,68.46837372351777,11.28,14.033333333333333,12.579271452522484,8.2,10.666666666666666,9.370217954580097,0.2612,0.2773333333333333,0.27866758116140833,16.2,17.444444444444443,16.92455418381345,0.2746,0.2914444444444444,0.267885078494132,4.4,5.222222222222222,4.5529644871208665,49.5,51.87777777777778,51.63846974546564,35.2,36.22222222222222,35.417009602194796,0.453,0.49577777777777776,0.4873017832647463,15.6,16.555555555555557,17.385276634659352,13.2,14.11111111111111,14.714830056393847,46.2,46.666666666666664,44.389727175735416,0.42799999999999994,0.4846666666666667,0.4846221612559062,19.6,22.77777777777778,21.282274043590917,0.6188,0.7234444444444444,0.6105569272976682,4.2,3.2222222222222223,4.074836153025454
2019-12-14,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",Lamar,TCU,Home,68.4,13,12.5,5,108.2,69.7,23,0.377,57,0.333,19,0.228,13,0.538,7,5,200,68.5,20.5,8,10,50,8.2,6,0.281,16,0.313,5,43.1,31,0.396,23.3,19,41,0.341,14,0.545,6,42.239999999999995,43.63,45.858710562414274,10.2,12.4,11.830920083320635,15.959999999999999,17.78,19.89370522786161,5.6,6.0,7.150891632373115,91.52,84.84,84.902565665803,70.5,71.66,71.58535792308084,24.0,24.9,25.490219986790635,0.4298,0.47569999999999996,0.4643163643753494,60.4,63.2,59.20952090636591,0.39699999999999996,0.4358000000000001,0.4333637656861251,23.8,27.7,25.556825687141192,0.3534,0.3076,0.3968572880150384,21.0,18.9,23.054564852918766,0.6028,0.611,0.6475677996240412,13.0,11.8,15.163288116648888,3.4,2.0,3.335467154397196,200.0,200.0,200.0,89.03999999999999,96.16,95.25215668343242,34.3,33.43,36.11279784585683,12.2,11.9,12.121119748005896,17.8,17.8,16.67078189300412,64.6,72.1,69.97891581567852,11.879999999999999,13.74,12.086180968348323,8.6,10.4,8.913478636386731,0.2582,0.2696,0.2524450541076056,15.6,16.8,14.949702789208967,0.25379999999999997,0.28049999999999997,0.23925671899608802,4.0,4.9,3.7019763247472444,51.720000000000006,52.61,54.158979830310436,36.2,36.8,37.61133973479653,0.4596,0.49850000000000005,0.4992011888431643,16.42,16.69,17.556851089772902,13.8,14.2,14.809886704262565,44.8,46.4,44.25981811715695,0.44639999999999996,0.4885,0.49741477417060415,19.8,22.8,21.854849362393946,0.5788,0.7111,0.6070379515317789,4.6,3.5,4.716557435350303
2019-12-18,"Montagne Center, Beaumont, Texas",Southeastern Louisiana,Lamar,Home,66.7,20,5.4,2,100.0,70.3,26,0.441,76,0.395,30,0.263,20,0.6,12,5,225,108.2,46.9,23,12,79,12.3,9,0.303,23,0.304,7,57.0,49,0.462,9.6,9,53,0.434,23,0.583,7,48.3,45.88181818181818,53.37247370827619,11.2,12.454545454545455,12.220613388880423,17.32,17.3,17.429136818574406,6.2,5.909090909090909,6.433927754915411,89.67999999999999,86.96363636363637,92.66837711053533,70.16,71.48181818181818,70.9569052820539,24.6,24.727272727272727,24.660146657860423,0.4286,0.46672727272727277,0.4352109095835663,59.0,62.63636363636363,58.47301393757728,0.398,0.4264545454545454,0.3999091771240834,23.4,26.90909090909091,23.371217124760797,0.3522,0.30036363636363633,0.340571525343359,20.6,18.363636363636363,19.70304323527918,0.617,0.6043636363636363,0.6110451997493609,13.0,11.363636363636363,12.442192077765927,4.0,2.272727272727273,3.8903114362647973,200.0,200.0,200.0,86.5,93.64545454545454,86.33477112228829,32.9,32.25454545454546,30.90853189723789,11.6,11.545454545454545,10.747413165337264,16.6,17.09090909090909,14.447187928669415,63.4,70.0909090909091,63.31927721045235,11.780000000000001,13.236363636363636,10.790787312232215,8.6,10.0,7.942319090924488,0.2612,0.2706363636363636,0.2619633694050704,15.4,16.727272727272727,15.299801859472645,0.23399999999999999,0.28345454545454546,0.2638378126640587,3.6,4.909090909090909,4.13465088316483,51.220000000000006,51.74545454545455,50.472653220206965,36.2,36.27272727272727,35.40755982319769,0.45999999999999996,0.4891818181818182,0.46480079256210954,18.82,17.290909090909093,19.4712340598486,15.8,14.636363636363637,16.206591136175046,43.6,45.90909090909091,43.17321207810463,0.45499999999999996,0.47509090909090906,0.4452765161137361,19.8,22.0,19.236566241595966,0.5544,0.6960000000000001,0.5863586343545193,5.0,3.727272727272727,5.144371623566869
2019-12-21,"Prather Coliseum, Natchitoches, Louisiana",Lamar,Northwestern State,Home,47.6,10,10.7,3,97.1,69.2,18,0.426,54,0.389,21,0.426,23,0.652,15,6,200,88.4,26.7,8,17,61,20.3,14,0.278,15,0.267,4,46.4,26,0.47,17.9,14,39,0.436,17,0.538,7,54.98,47.61666666666667,57.814982472184134,14.0,13.083333333333334,14.813742259253615,15.24,16.308333333333334,13.419424545716273,5.4,5.583333333333333,4.955951836610275,92.66,88.05,95.11225140702356,72.72,71.38333333333334,70.7379368547026,25.2,24.833333333333332,25.10676443857362,0.45380000000000004,0.46458333333333335,0.4371406063890442,61.8,63.75,64.31534262505153,0.41900000000000004,0.42383333333333334,0.398272784749389,25.8,27.166666666666668,25.5808114165072,0.35,0.29725,0.31471435022890604,21.2,18.5,19.802028823519453,0.6312,0.604,0.607363466499574,13.6,11.416666666666666,12.29479471851062,4.4,2.5,4.260207624176532,205.0,202.08333333333334,208.33333333333334,93.82000000000001,94.85833333333333,93.6231807481922,36.38,33.475,36.23902126482526,13.6,12.5,14.83160877689151,15.8,16.666666666666668,13.631458619112944,69.6,70.83333333333333,68.54618480696824,11.26,13.158333333333333,11.293858208154811,8.4,9.916666666666666,8.29487939394966,0.2638,0.2733333333333334,0.27564224627004696,16.4,17.25,17.866534572981763,0.26139999999999997,0.2851666666666666,0.2772252084427058,4.4,5.083333333333333,5.0897672554432205,54.040000000000006,52.18333333333334,52.648435480137984,38.8,37.333333333333336,39.93837321546513,0.484,0.48691666666666666,0.4638671950414064,18.000000000000004,16.650000000000002,16.180822706565735,15.4,14.166666666666666,13.804394090783365,45.4,46.5,46.44880805206976,0.47359999999999997,0.4716666666666667,0.4415176774091574,21.4,22.083333333333332,20.49104416106398,0.5568,0.6865833333333334,0.5852390895696795,5.6,4.0,5.762914415711246
2020-01-02,"Kiefer Lakefront Arena, New Orleans , Louisiana",Lamar,New Orleans,Away,42.3,11,6.3,2,91.8,81.8,18,0.536,55,0.473,26,0.382,21,0.714,15,6,200,101.4,28.1,9,23,74,12.3,9,0.327,18,0.389,7,50.0,27,0.569,18.9,15,37,0.514,19,0.571,8,57.36,47.61538461538461,54.40998831478943,14.0,12.846153846153847,13.209161506169078,16.8,15.876923076923077,12.512949697144183,5.8,5.384615384615385,4.303967891073517,92.84,88.74615384615385,95.77483427134905,70.7,71.21538461538461,70.22529123646841,24.2,24.307692307692307,22.737842959049082,0.4452,0.46161538461538465,0.4334270709260295,59.8,63.0,60.87689508336769,0.40920000000000006,0.4211538461538462,0.3951818564995927,24.4,26.692307692307693,24.05387427767147,0.36639999999999995,0.30715384615384617,0.35180956681927067,21.4,18.846153846153847,20.868019215679638,0.6434000000000001,0.6076923076923078,0.6222423109997159,14.0,11.692307692307692,13.196529812340414,4.8,2.769230769230769,4.840138416117688,205.0,201.92307692307693,205.55555555555557,93.02000000000001,94.36153846153846,91.8821204987948,33.48,32.95384615384615,33.05934750988351,12.4,12.153846153846153,12.554405851261007,13.8,16.692307692307693,14.754305746075296,67.2,70.07692307692308,66.03078987131217,12.540000000000001,13.707692307692307,14.295905472103208,9.0,10.23076923076923,10.196586262633108,0.2756,0.2736923076923077,0.27642816418003135,16.6,17.076923076923077,16.91102304865451,0.25759999999999994,0.2837692307692308,0.27381680562847055,4.4,5.0,4.726511503628814,51.58,51.73846153846154,50.56562365342532,36.6,36.46153846153846,35.292248810310085,0.48,0.4856153846153846,0.4659114633609376,17.66,16.746153846153845,16.75388180437716,14.6,14.153846153846153,13.869596060522245,43.2,45.92307692307692,43.96587203471317,0.4648,0.46892307692307694,0.43967845160610497,20.0,21.692307692307693,19.327362774042655,0.5644,0.6751538461538462,0.5694927263797864,6.2,4.230769230769231,6.175276277140831
2020-01-04,"Montagne Center, Beaumont, Texas",Abilene Christian,Lamar,Away,59.1,13,19.0,8,104.2,65.7,23,0.49,49,0.449,22,0.367,18,0.778,14,7,200,87.3,29.6,8,14,62,9.9,7,0.286,14,0.286,4,50.0,31,0.539,27.0,21,35,0.514,18,0.533,8,56.2,47.23571428571428,50.37332554319296,13.6,12.714285714285714,12.472774337446053,11.66,15.192857142857141,10.441966464762789,4.6,5.142857142857143,3.535978594049012,94.98,88.96428571428571,94.44988951423271,72.2,71.97142857142858,74.08352749097895,22.6,23.857142857142858,21.15856197269939,0.4506,0.4669285714285714,0.4676180472840197,59.4,62.42857142857143,58.917930055578466,0.409,0.4248571428571429,0.4211212376663952,24.2,26.642857142857142,24.70258285178098,0.3726,0.3125,0.36187304454618047,21.6,19.0,20.912012810453092,0.6362,0.6152857142857143,0.652828207333144,14.0,11.928571428571429,13.797686541560276,5.2,3.0,5.226758944078459,205.0,201.78571428571428,203.70370370370372,93.58000000000001,94.86428571428571,95.05474699919654,33.480000000000004,32.607142857142854,31.406231673255675,12.4,11.928571428571429,11.369603900840673,14.2,17.142857142857142,17.502870497383533,67.4,70.35714285714286,68.68719324754144,12.84,13.607142857142858,13.630603648068806,9.2,10.142857142857142,9.797724175088739,0.2778,0.2775,0.2932854427866876,16.6,17.142857142857142,17.274015365769674,0.291,0.2912857142857143,0.3122112037523137,5.0,5.142857142857143,5.4843410024192085,51.14,51.614285714285714,50.377082435616884,35.0,35.785714285714285,32.52816587354006,0.484,0.49157142857142855,0.5002743089072917,17.52,16.9,17.46925453625144,14.4,14.214285714285714,14.246397373681498,42.8,45.285714285714285,41.64391468980878,0.44960000000000006,0.4721428571428571,0.4644523010707367,19.2,21.5,19.21824184936177,0.5673999999999999,0.6677142857142858,0.5699951509198576,6.8,4.5,6.783517518093888
