date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"KFC Yum! Center, Louisville, Kentucky",Akron,Louisville,Home,42.3,11,5.4,2,98.7,82.1,32,0.492,62,0.419,26,0.484,30,0.7,21,0,200,106.5,35.0,14,20,82,7.8,6,0.403,25,0.36,9,58.2,46,0.538,15.7,14,37,0.459,17,1.0,6,60.42,60.42,62.4925925925926,18.8,18.8,19.086419753086425,8.379999999999999,8.379999999999999,7.251851851851853,3.0,3.0,2.5061728395061738,89.78,89.78,89.33333333333334,73.97999999999999,73.97999999999999,76.19876543209877,28.8,28.8,28.172839506172842,0.6418,0.6418,0.6443456790123457,56.6,56.6,55.71604938271606,0.5618000000000001,0.5618000000000001,0.5613950617283952,31.4,31.4,30.90123456790124,0.31060000000000004,0.31060000000000004,0.3167530864197532,16.4,16.4,16.617283950617285,0.7554000000000001,0.7554000000000001,0.7429382716049384,12.2,12.2,12.209876543209878,0.0,0.0,0.0,200.0,200.0,200.0,126.4,126.4,126.8641975308642,34.279999999999994,34.279999999999994,36.14938271604939,8.6,8.6,8.97530864197531,16.2,16.2,15.962962962962965,83.8,83.8,83.03703703703705,6.9,6.9,7.593827160493829,4.6,4.6,4.987654320987655,0.3592,0.3592,0.3670370370370371,20.0,20.0,20.111111111111114,0.4452,0.4452,0.45218518518518525,8.8,8.8,9.024691358024693,58.36,58.36,60.12592592592594,37.4,37.4,37.14814814814815,0.6544,0.6544,0.6560987654320989,14.66,14.66,15.182716049382718,11.0,11.0,11.296296296296298,36.6,36.6,35.604938271604944,0.6346,0.6346,0.6329135802469137,22.6,22.6,21.876543209876544,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2019-11-29,"Bridgestone Arena, Nashville, Tennessee",Louisville,Western Kentucky,Away,43.5,10,2.7,1,84.4,78.1,25,0.51,52,0.442,23,0.385,20,0.9,18,0,200,110.9,42.9,12,15,71,9.4,6,0.423,22,0.318,7,61.7,37,0.577,17.6,13,30,0.533,16,1.0,7,60.64000000000001,57.400000000000006,55.76172839506174,18.2,17.5,16.390946502057616,7.6800000000000015,7.883333333333333,6.634567901234569,2.6,2.8333333333333335,2.337448559670783,88.96,91.26666666666667,92.45555555555558,76.03999999999999,75.33333333333333,78.16584362139918,29.6,29.333333333333332,29.448559670781897,0.618,0.6168333333333333,0.5935637860082306,56.4,57.5,57.81069958847738,0.5376000000000001,0.538,0.5139300411522635,29.8,30.5,29.26748971193416,0.363,0.33949999999999997,0.3725020576131688,19.6,18.666666666666668,21.078189300411523,0.7525999999999999,0.7461666666666668,0.7286255144032923,14.4,13.666666666666666,15.139917695473253,0.0,0.0,0.0,200.0,200.0,200.0,123.54,123.08333333333333,120.0761316872428,34.379999999999995,34.4,35.766255144032925,9.4,9.5,10.650205761316872,16.8,16.833333333333332,17.308641975308646,82.8,83.5,82.69135802469137,6.24,7.05,7.66255144032922,4.2,4.833333333333333,5.325102880658437,0.3794,0.3665,0.37902469135802475,21.2,20.833333333333332,21.740740740740744,0.4224,0.431,0.4214567901234569,8.8,8.833333333333334,9.016460905349795,58.82000000000001,58.333333333333336,59.483950617283966,39.0,38.833333333333336,40.09876543209877,0.637,0.635,0.616732510288066,14.84,14.833333333333334,15.355144032921812,11.4,11.5,12.197530864197532,35.2,36.666666666666664,36.06995884773663,0.6128,0.6053333333333334,0.5749423868312759,21.0,21.666666666666668,20.251028806584365,1.0,1.0,1.0,4.0,3.5,4.263374485596708
2019-12-03,"KFC Yum! Center, Louisville, Kentucky",Michigan,Louisville,Home,36.4,8,10.3,4,64.2,81.4,35,0.4,60,0.367,22,0.3,18,0.556,10,0,200,86.6,23.1,9,16,58,9.0,6,0.317,19,0.211,4,53.7,44,0.423,10.5,8,41,0.439,18,1.0,8,56.0,55.41428571428572,51.67448559670783,15.8,16.428571428571427,14.260631001371745,5.720000000000001,7.142857142857143,5.3230452674897135,1.8,2.5714285714285716,1.8916323731138553,89.66,90.28571428571429,89.77037037037039,78.6,75.72857142857143,78.14389574759946,28.2,28.714285714285715,27.965706447187934,0.6076,0.6015714285714286,0.5657091906721537,53.8,56.714285714285715,55.873799725651594,0.5244,0.5242857142857142,0.4899533607681757,27.8,29.428571428571427,27.17832647462278,0.42160000000000003,0.34600000000000003,0.3766680384087792,22.4,18.857142857142858,20.718792866941016,0.766,0.7681428571428571,0.7857503429355281,17.0,14.285714285714286,16.093278463648836,0.0,0.0,0.0,200.0,200.0,200.0,122.78,121.34285714285714,117.01742112482854,39.08,35.614285714285714,38.14417009602195,10.6,9.857142857142858,11.100137174211248,17.6,16.571428571428573,16.539094650205765,81.4,81.71428571428571,78.79423868312759,7.24,7.385714285714286,8.24170096021948,4.8,5.0,5.550068587105625,0.39640000000000003,0.37457142857142856,0.3936831275720165,21.2,21.0,21.827160493827165,0.4224,0.41485714285714287,0.38697119341563796,8.8,8.571428571428571,8.344307270233198,61.660000000000004,58.81428571428571,60.22263374485598,38.8,38.57142857142857,39.06584362139918,0.6374000000000001,0.6267142857142857,0.603488340192044,16.74,15.228571428571428,16.103429355281207,12.8,11.714285714285714,12.465020576131689,32.6,35.714285714285715,34.04663923182442,0.5984,0.595,0.5609615912208507,19.0,20.857142857142858,18.834019204389577,1.0,1.0,1.0,5.0,4.0,5.175582990397805
2019-12-06,"KFC Yum! Center, Louisville, Kentucky",Pitt,Louisville,Home,73.9,17,4.9,2,79.3,72.7,24,0.582,49,0.469,23,0.204,10,0.7,7,0,200,110.3,29.6,8,12,64,5.2,3,0.531,26,0.423,11,53.3,32,0.595,18.3,12,23,0.522,12,1.0,9,52.96,53.0375,46.582990397805226,14.2,15.375,12.173754000914498,5.78,7.5375,6.982030178326476,2.0,2.75,2.5944215820759036,84.0,87.025,81.24691358024694,78.98,76.4375,79.22926383173298,29.0,29.5,30.31047096479196,0.5536000000000001,0.576375,0.5104727937814358,55.2,57.125,57.249199817101065,0.4808,0.504625,0.4489689071787838,26.0,28.5,25.45221764974852,0.3872,0.34025,0.3511120256058528,21.0,18.75,19.812528577960677,0.7172000000000001,0.741625,0.7091668952903522,15.0,13.75,14.06218564243256,0.0,0.0,0.0,200.0,200.0,200.0,112.94000000000001,117.0,106.8782807498857,34.54,34.05,33.1294467306813,10.2,9.75,10.400091449474166,16.8,16.5,16.35939643347051,74.8,78.75,71.86282578875173,8.14,7.5875,8.494467306812988,5.4,5.125,5.700045724737084,0.3956,0.367375,0.368122085048011,21.6,20.75,20.884773662551446,0.3588,0.38937499999999997,0.32831412894375867,7.8,8.0,6.896204846822132,59.06,58.175,58.04842249657066,39.2,39.25,40.71056241426612,0.5818000000000001,0.60125,0.5433255601280294,15.039999999999997,14.6375,14.235619570187472,11.4,11.25,10.976680384087793,33.6,36.375,36.36442615454962,0.5640000000000001,0.5755,0.5203077274805672,18.2,20.5,18.556012802926386,1.0,1.0,1.0,6.0,4.5,6.117055326931871
2019-12-10,"Madison Square Garden (IV), New York, New York",Texas Tech,Louisville,Away,55.6,10,6.5,2,90.9,85.7,30,0.368,53,0.34,18,0.472,25,0.72,18,1,200,74.0,16.2,6,19,57,7.8,6,0.321,17,0.176,3,50.0,36,0.439,22.0,18,36,0.417,15,0.9,9,54.4,55.35555555555556,55.68866026520349,13.6,15.555555555555555,13.782502667276333,5.459999999999999,7.2444444444444445,6.288020118884319,2.0,2.6666666666666665,2.396281054717269,81.44,86.16666666666667,80.5979423868313,80.36,76.02222222222223,77.05284255448865,28.8,28.88888888888889,28.206980643194644,0.5144,0.577,0.5343151958542905,56.0,56.22222222222222,54.49946654473405,0.4412,0.5006666666666667,0.45564593811918924,24.6,27.88888888888889,24.634811766499013,0.31679999999999997,0.32511111111111113,0.30207468373723523,18.0,17.77777777777778,16.54168571864045,0.7212,0.737,0.7061112635269015,13.0,13.0,11.708123761621707,0.0,0.0,0.0,200.0,200.0,200.0,107.38,116.25555555555555,108.01885383325714,34.58,33.55555555555556,31.95296448712087,10.8,9.555555555555555,9.60006096631611,14.8,16.0,14.906264288980342,70.2,77.11111111111111,69.24188385916783,8.22,7.322222222222223,7.3963115378753255,5.4,4.888888888888889,4.800030483158056,0.40840000000000004,0.3855555555555556,0.4224147233653407,22.6,21.333333333333332,22.58984910836763,0.3482,0.3931111111111111,0.35987608596250575,8.0,8.333333333333334,8.264136564548089,58.82000000000001,57.63333333333334,56.46561499771378,39.6,38.44444444444444,37.80704160951075,0.5478,0.6005555555555555,0.5605503734186863,15.419999999999998,15.044444444444444,15.59041304679165,11.6,11.333333333333334,11.317786922725196,33.4,34.888888888888886,31.909617436366418,0.5018,0.5695555555555556,0.5208718183203782,16.6,19.555555555555557,16.370675201950924,1.0,1.0,1.0,7.0,5.0,7.078036884621247
2019-12-14,"KFC Yum! Center, Louisville, Kentucky",Eastern Kentucky,Louisville,Home,64.7,22,5.6,2,97.1,62.2,23,0.713,54,0.63,34,0.426,23,0.957,22,1,200,143.5,60.0,12,14,99,10.1,7,0.352,19,0.474,9,61.4,35,0.762,20.0,16,35,0.714,25,0.909,10,50.339999999999996,55.38000000000001,55.659106843469,11.2,15.0,12.521668444850889,5.959999999999999,7.17,6.358680079256214,2.2,2.6,2.2641873698115127,83.5,86.64,84.03196159122088,80.0,76.99,79.9352283696591,29.2,29.0,28.804653762129764,0.4704,0.5561,0.4788767972361937,55.2,55.9,53.99964436315604,0.4074,0.48460000000000003,0.41709729207945956,22.4,26.9,22.423207844332676,0.36899999999999994,0.3398,0.3587164558248235,20.6,18.5,19.361123812426968,0.7152,0.7353,0.7107408423512677,14.8,13.5,13.805415841081139,0.2,0.1,0.3333333333333333,200.0,200.0,200.0,97.66,112.03,96.6792358888381,29.360000000000003,31.82,26.701976324747246,9.8,9.2,8.40004064421074,16.4,16.3,16.27084285932023,66.4,75.1,65.16125590611189,7.840000000000001,7.37,7.53087435858355,5.4,5.0,5.200020322105371,0.399,0.3791,0.38860981557689384,21.8,20.9,20.726566072245088,0.2976,0.3714,0.2985840573083372,6.8,7.8,6.509424376365393,55.38000000000001,56.870000000000005,54.310409998475855,39.0,38.2,37.2046944063405,0.5144,0.5843999999999999,0.5200335822791242,16.82,15.74,17.726942031194433,13.0,12.0,13.545191281816798,33.4,35.0,33.273078290910945,0.47400000000000003,0.5543,0.4862478788802521,15.6,19.1,15.913783467967283,0.9800000000000001,0.99,0.9666666666666668,7.8,5.4,7.718691256414165
2019-12-18,"KFC Yum! Center, Louisville, Kentucky",Miami (OH),Louisville,Home,44.0,11,15.2,5,66.7,84.8,39,0.468,63,0.397,25,0.27,17,0.647,11,1,200,101.4,32.6,14,13,70,2.9,2,0.429,27,0.333,9,59.6,53,0.492,12.4,10,36,0.444,16,0.917,11,54.82000000000001,56.22727272727273,58.67273789564601,13.4,15.636363636363637,15.68111229656726,6.0,7.027272727272727,6.105786719504143,2.2,2.5454545454545454,2.1761249132076754,83.17999999999999,87.5909090909091,88.38797439414725,76.02000000000001,75.64545454545454,74.02348557977274,27.4,28.454545454545453,26.86976917475318,0.5146,0.5703636363636364,0.5569178648241291,53.6,55.72727272727273,53.9997629087707,0.44960000000000006,0.4978181818181818,0.48806486138630645,24.0,27.545454545454547,26.282138562888452,0.3574,0.34763636363636363,0.38114430388321563,19.2,18.90909090909091,20.57408254161798,0.7666000000000001,0.7554545454545455,0.7928272282341784,15.0,14.272727272727273,16.536943894054094,0.4,0.18181818181818182,0.5555555555555556,200.0,200.0,200.0,105.05999999999999,114.89090909090909,112.2861572592254,34.36,34.38181818181818,37.801317549831495,9.4,9.454545454545455,9.600027096140494,15.2,16.09090909090909,15.51389523954682,69.8,77.27272727272727,76.44083727074127,8.3,7.618181818181818,8.387249572389035,5.6,5.181818181818182,5.800013548070248,0.3888,0.3766363636363636,0.37640654371792925,20.6,20.727272727272727,20.151044048163392,0.3204,0.3807272727272727,0.3570560382055581,6.8,7.909090909090909,7.339616250910263,56.02,57.28181818181818,56.67360666565057,36.8,37.90909090909091,36.46979627089367,0.5591999999999999,0.6005454545454545,0.6006890548527495,17.68,16.12727272727273,18.48462802079629,13.4,12.363636363636363,14.363460854544535,33.0,35.0,33.8487188606073,0.525,0.5688181818181818,0.5621652525868348,17.2,19.636363636363637,18.942522311978188,0.9618,0.9826363636363635,0.9474444444444445,8.6,5.818181818181818,8.47912750427611
2019-12-28,"Rupp Arena, Lexington, Kentucky",Louisville,Kentucky,Home,44.4,12,0.0,0,109.9,65.4,17,0.455,67,0.403,27,0.299,20,0.45,9,2,225,98.6,33.3,13,25,70,7.0,5,0.403,27,0.259,7,46.2,30,0.458,12.7,11,40,0.5,20,0.846,11,54.92,55.208333333333336,53.781825263764006,13.6,15.25,14.12074153104484,8.5,7.708333333333333,9.137191146336097,3.0,2.75,3.117416608805117,79.64,85.85000000000001,81.15864959609817,77.36,76.40833333333333,77.61565705318182,30.2,29.333333333333332,30.913179449835457,0.5062,0.5618333333333333,0.5272785765494195,55.8,56.333333333333336,56.99984193918047,0.4406,0.48941666666666667,0.45770990759087105,24.4,27.333333333333332,25.854759041925636,0.33440000000000003,0.3411666666666667,0.34409620258881046,18.6,18.75,19.382721694411988,0.716,0.7464166666666667,0.744218152156119,13.6,14.0,14.691295929369396,0.6,0.25,0.7037037037037037,200.0,200.0,200.0,103.16000000000001,113.76666666666667,108.65743817281694,32.3,34.233333333333334,36.067545033220995,9.8,9.833333333333334,11.066684730760329,14.8,15.833333333333334,14.67593015969788,69.6,76.66666666666667,74.29389151382752,7.0,7.2250000000000005,6.558166381592691,4.8,4.916666666666667,4.533342365380165,0.39,0.381,0.3939376958119528,21.6,21.25,22.434029365442264,0.3234,0.37675,0.3490373588037054,7.2,8.0,7.893077500606842,55.6,57.475,57.64907111043372,40.0,39.166666666666664,41.97986418059578,0.5422,0.5915,0.564459369901833,16.64,15.816666666666668,16.45641868053086,12.8,12.166666666666666,12.90897390302969,34.2,35.083333333333336,34.5658125737382,0.5072,0.5584166666666667,0.5227768350578899,17.2,19.333333333333332,17.961681541318793,0.9452,0.9771666666666667,0.9372962962962964,9.4,6.25,9.319418336184075
2020-01-04,"KFC Yum! Center, Louisville, Kentucky",Florida State,Louisville,Away,50.0,12,14.3,5,116.4,65.4,17,0.452,62,0.387,24,0.226,14,0.643,9,3,200,97.0,42.1,16,13,65,7.5,5,0.306,19,0.421,8,51.6,33,0.473,19.0,16,43,0.372,16,0.786,11,56.52,54.37692307692308,50.65455017584267,14.4,15.0,13.413827687363229,6.44,7.115384615384615,6.091460764224065,2.2,2.5384615384615383,2.0782777392034117,88.78,87.69999999999999,90.73909973073212,74.16,75.56153846153846,73.54377136878789,26.6,28.384615384615383,26.275452966556976,0.5172,0.5536153846153846,0.5031857176996131,57.2,57.15384615384615,60.33322795945365,0.4478,0.48276923076923073,0.43947327172724737,25.4,27.307692307692307,26.236506027950426,0.3342,0.3379230769230769,0.32906413505920695,19.0,18.846153846153847,19.58848112960799,0.6948000000000001,0.7236153846153847,0.646145434770746,13.4,13.615384615384615,12.794197286246265,1.0,0.38461538461538464,1.1358024691358026,205.0,201.92307692307693,208.33333333333334,105.55999999999999,112.6,105.30495878187796,34.339999999999996,34.161538461538456,35.14503002214733,10.6,10.076923076923077,11.71112315384022,16.6,16.53846153846154,18.117286773131923,72.0,76.15384615384616,72.86259434255169,6.6,7.207692307692308,6.705444254395127,4.6,4.923076923076923,4.688894910253444,0.4072,0.38269230769230766,0.3969584638746353,23.2,21.692307692307693,23.95601957696151,0.333,0.3676923076923077,0.31902490586913695,7.8,7.923076923076923,7.595385000404562,54.1,56.607692307692304,53.83271407362248,37.2,38.46153846153846,37.98657612039719,0.5492,0.5812307692307692,0.5289729132678886,17.080000000000002,15.576923076923077,15.204279120353906,13.4,12.076923076923077,12.272649268686461,34.0,35.46153846153846,36.377208382492135,0.5194000000000001,0.553923076923077,0.51518455670526,17.6,19.384615384615383,18.641121027545864,0.9144,0.9670769230769231,0.9068641975308642,10.0,6.615384615384615,9.879612224122717
2020-01-07,"KFC Yum! Center, Louisville, Kentucky",Miami (FL),Louisville,Home,46.4,13,20.0,6,84.1,86.7,39,0.5,62,0.452,28,0.29,18,0.667,12,3,200,107.2,22.2,8,16,74,2.9,2,0.242,15,0.4,6,58.0,47,0.524,9.1,7,47,0.468,22,0.8,12,51.739999999999995,54.06428571428571,50.43636678389512,13.4,14.785714285714286,12.942551791575488,8.319999999999999,7.628571428571428,8.82764050948271,2.8,2.7142857142857144,3.052185159468941,96.2,89.75,99.29273315382142,72.7,74.83571428571429,70.82918091252526,25.2,27.571428571428573,23.18363531103799,0.49119999999999997,0.5463571428571429,0.48612381179974207,59.8,57.5,60.88881863963577,0.4314,0.4759285714285714,0.42198218115149827,25.6,27.071428571428573,25.49100401863362,0.3386,0.3299285714285714,0.2947094233728047,19.8,18.5,17.725654086405328,0.6834,0.7178571428571429,0.6450969565138307,13.8,13.285714285714286,11.52946485749751,1.6,0.5714285714285714,1.757201646090535,205.0,201.78571428571428,205.55555555555557,102.9,111.48571428571428,102.53663918791864,36.839999999999996,34.72857142857143,37.463353348098224,12.2,10.5,13.140748769226814,16.8,16.285714285714285,16.411524515421284,72.2,75.35714285714286,70.24172956170113,7.06,7.228571428571429,6.970296169596752,5.0,4.928571428571429,4.792596606835629,0.36219999999999997,0.37721428571428567,0.3666389759164235,21.8,21.5,22.304013051307674,0.33259999999999995,0.3715,0.35301660391275796,7.2,7.928571428571429,7.730256666936375,53.760000000000005,56.25,53.08847604908166,37.4,38.07142857142857,36.32438408026479,0.5248,0.5735,0.5103152755119258,17.22,15.821428571428571,16.469519413569273,14.2,12.357142857142858,13.515099512457642,38.0,36.0,38.584805588328095,0.4894,0.5409285714285714,0.46745637113684,18.4,19.142857142857142,17.760747351697244,0.8716000000000002,0.9541428571428572,0.8665761316872429,10.4,6.928571428571429,10.253074816081812
