date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-05,"U.S. Cellular Arena, Milwaukee, Wisconsin",Loyola (IL),Milwaukee,Away,56.5,13,9.7,3,98.5,71.8,28,0.541,49,0.469,23,0.551,27,0.593,16,2,200.0,106.2,21.9,7,16,69,10.8,7,0.327,16.0,0.438,7.0,49.3,35,0.558,14.1,9,33.0,0.485,16.0,0.714,5,62.3,62.3,58.167901234567914,15.0,15.0,13.60493827160494,7.860000000000001,7.860000000000001,7.650617283950618,2.8,2.8,2.765432098765432,106.94000000000001,106.94000000000001,108.96790123456792,57.760000000000005,57.760000000000005,57.485185185185195,20.4,20.4,20.24691358024692,0.47140000000000004,0.47140000000000004,0.45013580246913587,61.8,61.8,62.90123456790124,0.396,0.396,0.3805308641975309,24.2,24.2,23.790123456790127,0.2788,0.2788,0.24861728395061727,17.0,17.0,15.481481481481485,0.709,0.709,0.7044444444444445,12.0,12.0,10.802469135802472,1.2,1.2,1.3333333333333335,200.0,200.0,200.0,98.86,98.86,94.42098765432101,43.58,43.58,43.51975308641976,14.0,14.0,14.185185185185187,21.2,21.2,21.061728395061735,69.6,69.6,67.0493827160494,10.7,10.7,11.27037037037037,7.6,7.6,8.135802469135804,0.3484,0.3484,0.3561481481481482,21.6,21.6,22.46913580246914,0.43600000000000005,0.43600000000000005,0.3942716049382716,9.2,9.2,8.666666666666668,50.8,50.8,50.51358024691359,34.4,34.4,34.4320987654321,0.5025999999999999,0.5025999999999999,0.4805802469135803,19.18,19.18,19.74567901234568,16.8,16.8,17.506172839506178,40.2,40.2,40.4320987654321,0.37839999999999996,0.37839999999999996,0.3786296296296297,15.0,15.0,15.12345679012346,0.5168,0.5168,0.5371975308641976,2.0,2.0,2.3950617283950617
2009-12-12,"Joseph J. Gentile Center, Chicago, Illinois",San Francisco,Loyola (IL),Home,64.0,16,7.5,3,110.5,50.0,16,0.549,51,0.49,25,0.333,17,0.588,10,2,200.0,115.8,48.0,10,15,66,10.5,6,0.275,14.0,0.429,6.0,49.1,26,0.559,14.6,10,37.0,0.514,19.0,0.75,6,58.6,61.333333333333336,57.61193415637861,15.2,14.666666666666666,13.403292181069961,8.84,8.166666666666666,8.33374485596708,3.0,2.8333333333333335,2.843621399176955,102.74000000000001,105.53333333333335,105.47860082304528,59.75999999999999,60.1,62.256790123456796,21.0,21.666666666666668,22.831275720164612,0.518,0.48300000000000004,0.4804238683127573,58.6,59.666666666666664,58.26748971193416,0.4406,0.4081666666666666,0.4100205761316873,25.6,24.0,23.52674897119342,0.31820000000000004,0.32416666666666666,0.34941152263374486,17.8,18.666666666666668,19.32098765432099,0.7058,0.6896666666666667,0.6672962962962964,12.4,12.666666666666666,12.534979423868315,1.4,1.3333333333333333,1.5555555555555558,200.0,200.0,200.0,106.08000000000001,100.08333333333333,98.34732510288069,38.160000000000004,39.96666666666667,36.31316872427984,11.2,12.833333333333334,11.790123456790127,17.0,20.333333333333332,19.374485596707824,72.6,69.5,67.69958847736626,12.080000000000002,10.716666666666667,11.113580246913582,8.4,7.5,7.757201646090536,0.34299999999999997,0.3448333333333333,0.3464320987654322,20.2,20.666666666666668,20.312757201646093,0.454,0.4363333333333333,0.40884773662551444,9.0,8.833333333333334,8.111111111111112,49.839999999999996,50.550000000000004,50.1090534979424,32.2,34.5,34.62139917695474,0.543,0.5118333333333334,0.5063868312757203,17.0,18.333333333333332,17.863786008230456,13.6,15.5,14.67078189300412,38.4,39.0,37.95473251028807,0.43739999999999996,0.3961666666666666,0.41408641975308647,16.6,15.166666666666666,15.415637860082306,0.6596,0.5496666666666666,0.5961316872427984,3.0,2.5,3.2633744855967075
2009-12-16,"Carver Arena, Peoria, Illinois",Loyola (IL),Bradley,Away,63.6,14,3.6,1,100.0,88.9,26,0.463,54,0.407,22,0.426,23,0.783,18,2,200.0,104.6,35.3,10,18,68,6.2,4,0.407,22.0,0.273,6.0,59.0,36,0.524,15.8,12,32.0,0.5,16.0,0.778,7,56.06,61.714285714285715,59.74128943758575,13.8,14.857142857142858,14.268861454046643,8.58,8.071428571428571,8.055829903978054,3.0,2.857142857142857,2.8957475994513033,105.4,106.24285714285715,107.15240054869686,59.14,58.65714285714286,58.171193415637866,20.8,20.857142857142858,20.554183813443075,0.4988,0.49242857142857144,0.5032825788751716,57.8,58.42857142857143,55.84499314128944,0.42960000000000004,0.4198571428571429,0.4366803840877916,24.6,24.142857142857142,24.01783264746228,0.3012,0.32542857142857146,0.34394101508916325,16.6,18.428571428571427,18.547325102880663,0.6668000000000001,0.6751428571428572,0.6408641975308643,10.8,12.285714285714286,11.689986282578879,1.6,1.4285714285714286,1.7037037037037042,200.0,200.0,200.0,104.16,102.32857142857142,104.16488340192046,40.260000000000005,41.114285714285714,40.2087791495199,11.4,12.428571428571429,11.193415637860085,16.6,19.571428571428573,17.91632373113855,68.0,69.0,67.13305898491085,11.36,10.685714285714285,10.909053497942388,7.6,7.285714285714286,7.171467764060358,0.3326,0.33485714285714285,0.3226213991769548,19.4,19.714285714285715,18.208504801097398,0.4176,0.43528571428571433,0.415565157750343,8.0,8.428571428571429,7.407407407407409,50.38,50.34285714285714,49.772702331961604,32.2,33.285714285714285,31.74759945130316,0.5198,0.5185714285714286,0.5239245541838136,16.38,17.8,16.775857338820305,12.8,14.714285714285714,13.113854595336083,38.4,38.714285714285715,37.636488340192045,0.43740000000000007,0.413,0.4473909465020577,16.6,15.714285714285714,16.610425240054873,0.7096,0.5782857142857143,0.6474211248285323,4.0,3.0,4.175582990397805
2009-12-20,"Sam Vadalabene Center , Edwardsville, Illinois",Loyola (IL),"SIU-Edwardsville
			",Away,71.4,20,10.3,3,87.1,75.0,22,0.561,57,0.491,28,0.421,24,0.625,15,2,200.0,112.9,46.4,9,23,79,17.1,12,0.281,16.0,0.5,8.0,59.6,31,0.577,19.1,16,41.0,0.488,20.0,0.8,8,56.18000000000001,61.95,61.02752629172383,13.2,14.75,14.179240969364429,8.22,7.5125,6.570553269318704,2.8,2.625,2.2638317329675357,104.54,105.4625,104.76826703246458,63.779999999999994,62.4375,68.41412894375858,21.4,21.5,22.369455875628717,0.48500000000000004,0.48875,0.48985505258344775,56.2,57.875,55.2299954275263,0.42400000000000004,0.41825,0.4267869227251944,23.6,23.875,23.345221764974855,0.33799999999999997,0.338,0.3712940100594422,18.2,19.0,20.03155006858711,0.69,0.688625,0.6882427983539097,12.4,13.0,13.79332418838592,1.8,1.5,1.8024691358024696,200.0,200.0,200.0,103.35999999999999,102.6125,104.30992226794697,39.2,40.3875,38.57251943301327,10.8,12.125,10.795610425240056,15.6,19.375,17.944215820759034,66.4,68.875,67.4220393232739,10.879999999999999,10.125,9.33936899862826,7.2,6.875,6.114311842706906,0.34299999999999997,0.343875,0.35074759945130324,19.4,20.0,19.472336534064933,0.3632,0.415,0.3680434385002287,6.8,8.125,6.938271604938273,51.44,51.425,52.84846822130774,32.2,33.625,33.16506630086877,0.5146000000000001,0.51925,0.523949702789209,16.160000000000004,17.55,16.45057155921354,12.4,14.375,12.742569730224057,36.8,37.875,35.75765889346137,0.46240000000000003,0.423875,0.46492729766803853,16.8,15.75,16.406950160036583,0.7318,0.6032500000000001,0.6909474165523549,5.0,3.5,5.117055326931871
2009-12-22,"Joseph J. Gentile Center, Chicago, Illinois",Albany (NY),Loyola (IL),Home,69.6,16,8.3,3,90.3,73.5,26,0.554,46,0.5,23,0.543,25,0.68,17,2,200.0,109.7,50.0,10,10,68,8.1,5,0.283,13.0,0.385,5.0,64.3,36,0.587,20.8,15,33.0,0.545,18.0,0.818,9,59.98,63.0,64.4850175278159,15.0,15.333333333333334,16.119493979576287,7.159999999999999,7.822222222222223,7.813702179545803,2.4,2.6666666666666665,2.5092211553116908,102.3,103.42222222222222,98.87884468830973,68.4,63.833333333333336,70.60941929583906,22.0,21.555555555555557,22.24630391708581,0.5182,0.49677777777777776,0.5135700350556318,55.2,57.77777777777778,55.8199969516842,0.4544,0.4263333333333333,0.44819128181679635,25.0,24.333333333333332,24.896814509983237,0.377,0.3472222222222222,0.38786267337296143,20.2,19.555555555555557,21.354366712391407,0.6577999999999999,0.6815555555555556,0.6671618655692731,13.2,13.222222222222221,14.195549458923947,2.0,1.5555555555555556,1.8683127572016467,200.0,200.0,200.0,105.6,103.75555555555555,107.17328151196466,37.42,41.05555555555556,41.18167962200884,9.4,11.777777777777779,10.197073616826705,18.4,19.77777777777778,19.62947721383936,70.2,70.0,71.28135954884928,12.260000000000002,10.899999999999999,11.926245999085507,8.4,7.444444444444445,8.076207895137937,0.33799999999999997,0.3368888888888889,0.3274983996342022,18.8,19.555555555555557,18.314891022709958,0.3896,0.42444444444444446,0.41202895900015246,7.0,8.11111111111111,7.292181069958849,52.6,52.333333333333336,55.09897881420517,31.4,33.333333333333336,32.44337753391252,0.5426,0.5256666666666666,0.5416331351928061,17.2,17.72222222222222,17.333714372809027,13.4,14.555555555555555,13.828379820149372,36.4,38.22222222222222,37.505105928974245,0.4948,0.431,0.472618198445359,18.0,16.22222222222222,17.60463344002439,0.7417999999999999,0.6251111111111112,0.72729827770157,6.0,4.0,6.078036884621247
2009-12-31,"Joseph J. Gentile Center, Chicago, Illinois",Wright State,Loyola (IL),Home,52.9,9,5.7,2,85.2,62.5,21,0.438,40,0.425,17,0.6,24,0.75,18,2,200.0,86.9,40.0,9,17,53,13.1,8,0.2,8.0,0.125,1.0,52.6,30,0.516,27.3,18,32.0,0.5,16.0,0.846,11,65.02000000000001,63.660000000000004,66.1900116852106,15.8,15.4,16.07966265305086,7.88,7.87,7.975801453030536,2.6,2.7,2.6728141035411275,97.28,102.11,96.01922979220649,71.84,64.8,71.57294619722605,23.6,22.0,23.497535944723875,0.5336000000000001,0.5025000000000001,0.5270466900370879,51.4,56.6,52.546664634456135,0.47140000000000004,0.4337,0.4654608545445309,24.2,24.2,24.264543006655494,0.4548,0.3668,0.4395751155819743,23.2,20.1,22.569577808260938,0.6538,0.6814,0.6714412437128489,15.2,13.6,15.130366305949298,2.0,1.6,1.912208504801098,200.0,200.0,200.0,109.84,104.35,108.01552100797645,40.32,41.95,44.121119748005896,9.2,11.6,10.131382411217803,16.4,18.8,16.419651475892906,70.0,69.8,70.18757303256619,10.540000000000001,10.620000000000001,10.650830666057006,6.8,7.2,7.050805263425293,0.3146,0.3315,0.31266559975613484,16.2,18.9,16.54326068180664,0.40499999999999997,0.4205,0.4030193060001017,6.4,7.8,6.528120713305899,56.260000000000005,53.529999999999994,58.16598587613678,32.8,33.6,33.62891835594168,0.561,0.5318,0.5567554234618708,16.880000000000003,18.03,18.489142915206017,12.4,14.6,14.218919880099582,35.2,37.7,36.0034039526495,0.5064,0.4424,0.49674546563023936,17.8,16.4,17.736422293349595,0.772,0.6444,0.7575321851343799,7.0,4.5,7.052024589747499
2010-01-02,"Joseph J. Gentile Center, Chicago, Illinois",Detroit,Loyola (IL),Away,50.0,7,2.4,1,100.0,50.0,16,0.315,54,0.259,14,0.278,15,0.533,8,3,200.0,71.2,43.2,14,13,42,8.5,5,0.407,22.0,0.273,6.0,46.2,30,0.344,18.8,13,32.0,0.25,8.0,0.786,11,64.3,62.68181818181818,61.760007790140406,15.0,14.818181818181818,13.719775102033909,7.08,7.672727272727273,7.217200968687024,2.4,2.6363636363636362,2.448542735694085,94.62,100.57272727272726,92.41281986147101,69.97999999999999,64.5909090909091,68.5486307981507,22.2,21.90909090909091,22.665023963149252,0.513,0.49663636363636365,0.49736446002472534,49.6,55.09090909090909,48.36444308963743,0.46259999999999996,0.43290909090909085,0.4519739030296873,23.0,23.545454545454547,21.843028671103667,0.4646,0.38799999999999996,0.49305007705464954,22.6,20.454545454545453,23.046385205507292,0.6852,0.6876363636363636,0.697627495808566,15.6,14.0,16.086910870632867,2.0,1.6363636363636365,1.9414723365340656,200.0,200.0,200.0,105.97999999999999,102.76363636363637,100.97701400531764,43.94,41.77272727272727,42.747413165337264,9.6,11.363636363636363,9.754254940811869,16.6,18.636363636363637,16.613100983928604,66.8,68.27272727272727,64.4583820217108,11.0,10.845454545454546,11.467220444038006,7.0,7.2727272727272725,7.367203508950196,0.2892,0.3195454545454546,0.27511039983742325,14.6,17.90909090909091,13.695507121204427,0.3424,0.3936363636363636,0.31034620400006785,5.2,7.181818181818182,4.685413808870599,56.919999999999995,53.445454545454545,56.310657250757856,31.8,33.27272727272727,32.41927890396112,0.5526,0.5303636363636364,0.5431702823079139,19.520000000000003,18.87272727272727,21.426095276804013,14.2,14.909090909090908,15.47927992006639,35.0,37.18181818181818,34.668935968433004,0.5094000000000001,0.44763636363636367,0.49783031042015957,17.8,16.363636363636363,17.157614862233064,0.7984,0.6627272727272727,0.7870214567562532,8.2,5.090909090909091,8.368016393165
2010-01-09,"Beeghly Center, Youngstown, Ohio",Loyola (IL),Youngstown State,Home,65.2,15,7.7,3,118.3,67.9,20,0.543,46,0.5,23,0.565,26,0.654,17,5,200.0,111.7,34.8,7,19,67,3.3,2,0.261,12.0,0.333,4.0,52.9,27,0.574,14.8,10,34.0,0.559,19.0,0.688,11,61.5,61.625,57.84000519342694,13.2,14.166666666666666,11.479850068022607,6.0600000000000005,7.233333333333333,5.611467312458016,2.0,2.5,1.9656951571293901,92.52000000000001,100.52499999999999,94.94187990764735,69.97999999999999,63.375,62.3657538654338,22.2,21.416666666666668,20.44334930876617,0.4662,0.48150000000000004,0.43657630668315023,50.2,55.0,50.24296205975829,0.4164,0.41841666666666666,0.3876492686864582,20.8,22.75,19.22868578073578,0.45360000000000006,0.37883333333333336,0.42136671803643305,22.2,20.0,20.36425680367153,0.6742,0.67475,0.6427516638723774,15.2,13.5,13.391273913755246,2.2,1.75,2.2943148910227107,200.0,200.0,200.0,97.06,100.13333333333333,91.05134267021177,42.98,41.891666666666666,42.89827544355818,10.4,11.583333333333334,11.16950329387458,16.2,18.166666666666668,15.408733989285736,62.0,66.08333333333333,56.97225468114054,10.6,10.65,10.478146962692005,6.8,7.083333333333333,6.578135672633465,0.3156,0.32683333333333336,0.31907359989161554,16.2,18.25,16.463671414136286,0.31120000000000003,0.38358333333333333,0.2978974693333786,5.2,7.083333333333333,5.123609205913733,56.339999999999996,52.84166666666667,52.940438167171905,32.6,33.0,31.61285260264075,0.5096,0.5148333333333334,0.4767801882052759,20.36,18.866666666666667,20.55073018453601,14.8,14.75,14.652853280044262,34.0,36.75,33.779290645622005,0.4566,0.4311666666666667,0.4152202069467731,15.6,15.666666666666666,14.105076574822043,0.8056000000000001,0.673,0.7866809711708356,9.2,5.583333333333333,9.24534426211
2010-01-15,"UIC Pavilion, Chicago, Illinois",Loyola (IL),UIC,Away,71.4,15,16.7,7,83.3,68.4,27,0.51,49,0.429,21,0.204,10,0.5,5,5,200.0,91.7,44.0,10,13,55,3.3,2,0.388,19.0,0.421,8.0,58.7,37,0.512,23.1,16,30.0,0.433,13.0,0.706,12,61.82000000000001,61.900000000000006,60.29333679561797,13.4,14.23076923076923,12.653233378681739,6.88,7.269230769230769,6.307644874972011,2.4,2.5384615384615383,2.31046343808626,96.17999999999999,101.89230769230768,102.72791993843157,65.78,63.723076923076924,64.21050257695588,21.0,21.307692307692307,20.295566205844114,0.4822000000000001,0.4862307692307693,0.4720508711221002,48.6,54.30769230769231,48.8286413731722,0.43499999999999994,0.4246923076923077,0.4250995124576389,21.0,22.76923076923077,20.48579052049052,0.4814,0.39315384615384613,0.46924447869095537,22.8,20.46153846153846,22.242837869114354,0.6484,0.6731538461538461,0.6465011092482517,15.0,13.76923076923077,14.594182609170165,2.8,2.0,3.196209927348474,200.0,200.0,200.0,98.48,101.02307692307691,97.93422844680785,42.88,41.34615384615385,40.198850295705455,9.8,11.23076923076923,9.779668862583055,16.4,18.23076923076923,16.605822659523824,61.8,66.15384615384616,60.314836454093694,10.02,10.084615384615384,8.085431308461338,6.4,6.6923076923076925,5.052090448422311,0.2864,0.32176923076923075,0.29971573326107703,14.2,17.76923076923077,14.975780942757526,0.32320000000000004,0.37969230769230766,0.3095983128889191,4.8,6.846153846153846,4.749072803942489,55.120000000000005,52.84615384615385,52.92695877811461,30.8,32.53846153846154,30.07523506842717,0.5196,0.5193846153846153,0.5091867921368506,20.160000000000004,18.553846153846152,18.63382012302401,14.4,14.384615384615385,13.101902186696176,34.4,36.53846153846154,33.85286043041467,0.46840000000000004,0.44100000000000006,0.46314680463118213,16.2,15.923076923076923,15.736717716548029,0.7876,0.6741538461538461,0.7537873141138904,10.0,6.0,9.830229508073334
2010-01-18,"Calihan Hall, Detroit, Michigan",Loyola (IL),Detroit,Home,60.9,14,6.5,3,122.1,65.7,24,0.474,57,0.404,23,0.316,18,0.5,9,6,200.0,92.6,34.2,12,16,63,4.4,3,0.404,23.0,0.348,8.0,49.3,36,0.481,19.8,16,34.0,0.441,15.0,0.667,12,61.82000000000001,62.57857142857143,63.99555786374532,12.4,14.285714285714286,13.43548891912116,8.16,7.942857142857143,9.77176324998134,3.2,2.857142857142857,3.8736422920575064,95.41999999999999,100.56428571428572,96.25194662562106,64.46000000000001,64.05714285714285,65.60700171797059,22.0,21.714285714285715,22.530377470562744,0.4720000000000001,0.48792857142857143,0.4847005807480668,47.0,53.92857142857143,48.885760915448145,0.4226,0.425,0.42639967497175923,19.6,22.642857142857142,20.657193680327016,0.438,0.37964285714285717,0.38082965246063694,20.0,19.714285714285715,18.161891912742902,0.6234,0.6607857142857142,0.5976674061655012,13.0,13.142857142857142,11.396121739446777,3.4,2.2142857142857144,3.7974732848989827,200.0,200.0,200.0,94.24,100.35714285714286,95.8561522978719,42.4,41.535714285714285,41.465900197136975,10.0,11.142857142857142,9.85311257505537,14.4,17.857142857142858,15.403881773015883,57.0,65.35714285714286,58.54322430272913,7.26,9.6,6.490287538974226,4.4,6.357142857142857,4.034726965614874,0.30779999999999996,0.32649999999999996,0.32914382217405136,14.8,17.857142857142858,16.317187295171685,0.3074,0.3826428571428572,0.3467322085926127,4.8,6.928571428571429,5.832715202628327,54.94,53.26428571428572,54.85130585207641,32.0,32.857142857142854,32.38349004561812,0.5065999999999999,0.5188571428571429,0.5101245280912338,20.96,18.87857142857143,20.122546748682673,14.4,14.5,14.067934791130785,32.2,36.07142857142857,32.56857362027645,0.4574,0.44042857142857145,0.4530978697541214,14.8,15.714285714285714,14.824478477698687,0.7688,0.6764285714285715,0.7378582094092603,10.8,6.428571428571429,10.553486338715556
