date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-01,"Reitz Arena, Baltimore, Maryland",Morgan State,Loyola (MD),Home,40.7,11,2.4,1,90.4,56.8,21,0.547,53,0.509,27,0.736,39,0.513,20,2,200.0,106.8,36.1,13,19,78,9.6,7,0.151,8.0,0.5,4.0,46.6,34,0.545,17.6,15,45.0,0.511,23.0,0.667,4,45.1,45.1,42.72222222222223,10.6,10.6,9.8641975308642,12.9,12.9,12.643209876543212,5.0,5.0,4.938271604938272,95.82000000000001,95.82000000000001,89.82962962962964,56.52,56.52,58.793827160493834,20.0,20.0,20.51851851851852,0.4516,0.4516,0.4325185185185185,54.4,54.4,55.456790123456805,0.41340000000000005,0.41340000000000005,0.3969135802469137,22.6,22.6,22.197530864197535,0.3624,0.3624,0.34662962962962973,19.6,19.6,18.92592592592593,0.6477999999999999,0.6477999999999999,0.6830370370370371,12.6,12.6,12.530864197530866,1.2,1.2,1.3580246913580247,200.0,200.0,200.0,93.17999999999999,93.17999999999999,93.21851851851852,43.879999999999995,43.879999999999995,46.49629629629631,11.4,11.4,12.777777777777779,21.6,21.6,20.037037037037038,62.0,62.0,60.8641975308642,10.2,10.2,9.25679012345679,6.8,6.8,6.074074074074075,0.213,0.213,0.2180123456790124,11.6,11.6,12.037037037037038,0.34059999999999996,0.34059999999999996,0.305641975308642,4.2,4.2,3.9382716049382727,50.8,50.8,52.83456790123458,31.4,31.4,33.296296296296305,0.48440000000000005,0.48440000000000005,0.46922222222222226,20.119999999999997,20.119999999999997,19.327160493827165,15.2,15.2,14.592592592592595,42.8,42.8,43.41975308641976,0.4224,0.4224,0.4114197530864198,18.4,18.4,18.25925925925926,0.6534,0.6534,0.6568395061728397,1.8,1.8,2.037037037037037
2009-12-04,"Koessler Athletic Center, Buffalo, New York",Loyola (MD),Canisius,Home,52.4,11,12.8,5,101.4,67.9,23,0.454,54,0.389,21,0.389,21,0.762,16,3,200.0,94.2,34.4,7,19,65,13.0,9,0.315,17.0,0.412,7.0,50.0,30,0.508,21.2,17,37.0,0.378,14.0,0.571,4,42.120000000000005,44.36666666666667,42.04814814814816,9.8,10.666666666666666,10.242798353909468,9.58,11.15,9.228806584362143,3.6,4.333333333333333,3.6255144032921818,95.56,94.91666666666667,90.01975308641977,57.56,56.56666666666666,58.12921810699589,20.0,20.166666666666668,20.679012345679013,0.45600000000000007,0.4675,0.47067901234567905,53.0,54.166666666666664,54.63786008230454,0.4252000000000001,0.42933333333333334,0.43427572016460914,22.6,23.333333333333332,23.798353909465025,0.4196,0.4246666666666667,0.4764197530864198,22.0,22.833333333333332,25.61728395061729,0.6317999999999999,0.6253333333333333,0.626358024691358,13.4,13.833333333333334,15.020576131687244,1.6,1.3333333333333333,1.57201646090535,200.0,200.0,200.0,92.6,95.45,97.74567901234568,38.839999999999996,42.583333333333336,43.030864197530875,11.2,11.666666666666666,12.851851851851855,20.4,21.166666666666668,19.69135802469136,61.8,64.66666666666667,66.5761316872428,10.179999999999998,10.1,9.37119341563786,6.8,6.833333333333333,6.382716049382717,0.1898,0.20266666666666666,0.1956748971193416,10.0,11.0,10.69135802469136,0.328,0.36716666666666664,0.3704279835390947,3.2,4.166666666666667,3.9588477366255157,48.82,50.1,50.756378600823055,31.2,31.833333333333332,33.530864197530875,0.485,0.4945,0.4944814814814815,19.64,19.7,18.751440329218113,14.6,15.166666666666666,14.728395061728397,43.0,43.166666666666664,43.94650205761317,0.44279999999999997,0.4371666666666667,0.4446131687242799,19.4,19.166666666666668,19.839506172839506,0.5868,0.6556666666666667,0.6602263374485599,2.4,2.1666666666666665,2.6913580246913584
2009-12-06,"Gallagher Center, Niagara University, New York",Loyola (MD),Niagara,Home,52.6,10,9.7,3,116.7,61.3,24,0.362,58,0.328,19,0.379,22,0.682,15,4,200.0,86.4,42.1,11,16,57,10.6,7,0.224,13.0,0.308,4.0,50.7,35,0.416,17.1,14,45.0,0.333,15.0,0.5,4,41.839999999999996,45.51428571428572,45.49876543209878,9.2,10.714285714285714,10.495198902606312,10.18,11.385714285714286,10.419204389574762,3.8,4.428571428571429,4.0836762688614545,92.46000000000001,95.84285714285714,93.81316872427985,61.14,58.18571428571429,61.386145404663935,19.8,20.571428571428573,21.452674897119344,0.43879999999999997,0.4655714285714286,0.46511934156378604,53.8,54.142857142857146,54.4252400548697,0.399,0.42357142857142854,0.41918381344307276,21.6,23.0,22.865569272976686,0.44939999999999997,0.4195714285714286,0.44727983539094657,23.8,22.571428571428573,24.078189300411527,0.6841999999999999,0.6448571428571429,0.6715720164609054,15.4,14.142857142857142,15.347050754458163,2.0,1.5714285714285714,2.0480109739369,200.0,200.0,200.0,94.53999999999999,95.27142857142857,96.56378600823047,40.96,41.41428571428571,40.15390946502059,11.6,11.0,10.901234567901238,18.6,20.857142857142858,19.460905349794242,62.8,64.71428571428571,66.05075445816188,10.799999999999999,10.514285714285714,10.580795610425241,7.2,7.142857142857143,7.2551440329218115,0.22480000000000003,0.21871428571428572,0.23544993141289444,12.0,11.857142857142858,12.794238683127574,0.3532,0.37357142857142855,0.38428532235939644,4.2,4.571428571428571,4.972565157750344,50.42,50.08571428571429,50.50425240054871,31.4,31.571428571428573,32.353909465020585,0.4788,0.49642857142857144,0.49898765432098774,18.759999999999998,19.914285714285715,19.567626886145412,14.4,15.428571428571429,15.485596707818932,41.8,42.285714285714285,41.631001371742116,0.40679999999999994,0.4287142857142857,0.42240877914951996,17.4,18.428571428571427,17.89300411522634,0.601,0.6435714285714286,0.6304842249657066,3.0,2.4285714285714284,3.1275720164609058
2009-12-09,"Coppin Center, Baltimore, Maryland",Loyola (MD),Coppin State,Home,42.1,8,17.3,9,90.0,70.3,28,0.321,67,0.284,19,0.299,20,0.75,15,5,225.0,82.9,38.3,16,16,58,10.0,7,0.403,27.0,0.185,5.0,52.4,44,0.379,13.7,12,40.0,0.35,14.0,0.444,4,42.8,46.4,47.865843621399186,9.0,10.625,10.330132601737542,9.0,11.175,10.179469593049841,3.4,4.25,3.7224508459076366,95.8,98.45,101.44211248285325,60.4,58.575,61.35743026977596,21.6,21.0,22.30178326474623,0.4168,0.452625,0.4307462277091907,54.6,54.625,55.616826703246474,0.37940000000000007,0.411625,0.38878920896204855,20.8,22.5,21.577046181984457,0.429,0.4145,0.4245198902606311,23.0,22.5,23.385459533607687,0.6822000000000001,0.6495,0.675048010973937,14.8,14.25,15.231367169638776,2.6,1.875,2.6986739826246002,200.0,200.0,200.0,90.92,94.1625,93.17585733882032,40.72,41.5,40.80260631001373,11.6,11.0,10.934156378600825,18.2,20.25,18.307270233196164,60.4,63.75,63.033836305441255,9.28,10.524999999999999,10.587197073616828,6.2,7.125,7.170096021947875,0.22880000000000003,0.21937500000000001,0.2316332876085963,12.4,12.0,12.862825788751717,0.3238,0.365375,0.35885688157293094,4.0,4.5,4.648376771833563,50.160000000000004,50.1625,50.56950160036581,33.2,32.0,33.23593964334706,0.458,0.486375,0.47132510288065854,18.86,19.5625,18.74508459076361,14.6,15.25,14.990397805212622,42.2,42.625,42.754000914494746,0.3896,0.41675,0.3926058527663467,16.8,18.0,16.928669410150896,0.5676,0.625625,0.5869894833104711,3.4,2.625,3.418381344307271
2009-12-19,"Reitz Arena, Baltimore, Maryland",Howard,Loyola (MD),Home,53.1,17,7.9,3,72.9,70.3,27,0.793,46,0.696,32,0.413,19,0.632,12,5,200.0,121.4,12.5,1,25,85,4.3,3,0.261,12.0,0.75,9.0,52.8,28,0.772,24.9,18,34.0,0.676,23.0,0.5,5,45.06,45.922222222222224,45.94389574759946,9.8,10.333333333333334,9.553421734491696,10.5,11.855555555555556,12.552979728699896,4.4,4.777777777777778,5.481633897271758,93.14000000000001,97.51111111111112,97.62807498856884,66.12,59.87777777777777,64.3382868465173,24.4,21.77777777777778,24.201188843164154,0.4184,0.438,0.3941641518061271,58.4,56.0,59.411217802164316,0.382,0.39744444444444443,0.35385947264136575,22.0,22.11111111111111,20.71803078798964,0.3972,0.40166666666666667,0.38267992684042074,22.6,22.22222222222222,22.256973022405127,0.7050000000000001,0.6606666666666666,0.700032007315958,15.0,14.333333333333334,15.154244779759185,3.2,2.2222222222222223,3.465782655083067,205.0,202.77777777777777,208.33333333333334,93.08,92.91111111111111,89.75057155921355,39.9,41.144444444444446,39.96840420667582,12.8,11.555555555555555,12.622770919067218,16.6,19.77777777777778,17.53818015546411,63.2,63.111111111111114,61.355890870294175,9.959999999999999,10.466666666666665,10.391464715744553,6.8,7.111111111111111,7.11339734796525,0.2552,0.23977777777777776,0.28875552507239755,15.2,13.666666666666666,17.575217192501146,0.2992,0.3453333333333333,0.30090458771528733,4.2,4.555555555555555,4.765584514555709,52.220000000000006,50.41111111111111,51.179667733577205,37.2,33.333333333333336,36.823959762231375,0.4586,0.4744444444444445,0.44055006858710577,17.259999999999998,18.91111111111111,17.06338972717574,14.0,14.88888888888889,13.993598536808415,43.2,42.333333333333336,41.83600060966317,0.4082,0.4093333333333333,0.3784039018442311,17.8,17.555555555555557,15.952446273433932,0.5564,0.6054444444444445,0.5393263222069807,3.8,2.7777777777777777,3.6122542295381805
2009-12-22,"Assembly Hall, Bloomington, Indiana",Loyola (MD),Indiana,Away,62.5,15,10.8,4,90.5,59.4,21,0.622,45,0.533,24,0.578,26,0.615,16,5,200.0,97.3,27.3,4,24,72,17.6,13,0.356,16.0,0.5,8.0,46.3,25,0.628,29.0,22,29.0,0.552,16.0,0.545,6,48.18,46.64,48.32926383173297,11.4,11.0,12.035614489661132,10.02,11.46,11.00198648579993,4.2,4.6,4.654422598181172,94.28,95.05,89.38538332571257,65.32000000000001,60.92,66.32552456434487,24.6,22.3,25.13412589544277,0.49540000000000006,0.47350000000000003,0.5271094345374181,55.6,55.0,54.94081186810955,0.4412,0.42729999999999996,0.46790631509424385,23.6,23.1,24.478687191993096,0.44320000000000004,0.40280000000000005,0.39278661789361385,24.2,21.9,21.171315348270085,0.6678,0.6578,0.6773546715439721,15.6,14.1,14.102829853172791,3.8,2.5,3.9771884367220447,205.0,202.5,205.55555555555557,98.34,95.76,100.30038103947571,32.67999999999999,38.28,30.81226947111722,9.6,10.5,8.748513946044813,19.0,20.3,20.025453436976072,68.6,65.3,69.23726058019612,9.5,9.85,8.360976477163035,6.6,6.7,5.7422648986435005,0.27080000000000004,0.2419,0.27950368338159837,15.4,13.5,15.716811461667431,0.43100000000000005,0.3858,0.4506030584768582,5.8,5.0,6.1770563430371395,50.5,50.65,51.71977848905148,34.2,32.8,33.88263984148759,0.524,0.5042,0.5510333790580706,18.9,19.509999999999998,19.675593151450492,15.2,15.2,15.329065691205612,40.2,41.5,39.224000406442116,0.44960000000000006,0.43600000000000005,0.47760260122948744,17.8,18.1,18.301630848955956,0.5364000000000001,0.5949,0.5262175481379872,4.2,3.0,4.074836153025454
2009-12-28,"Sojka Pavilion, Lewisburg, Pennsylvania",Loyola (MD),Bucknell,Away,35.0,7,8.6,3,75.4,66.7,23,0.398,54,0.37,20,0.315,17,0.706,12,5,200.0,84.6,34.3,11,18,55,12.3,8,0.13,7.0,0.429,3.0,50.0,34,0.443,19.6,15,47.0,0.362,17.0,0.583,7,52.54,48.08181818181818,53.05284255448865,12.2,11.363636363636363,13.023742993107422,11.700000000000001,11.4,10.934657657199955,4.8,4.545454545454546,4.436281732120782,94.3,94.63636363636364,89.75692221714172,65.84,60.78181818181818,64.01701637622992,24.6,22.181818181818183,23.756083930295183,0.5104,0.48700000000000004,0.5587396230249454,54.0,54.09090909090909,51.62720791207304,0.446,0.4369090909090909,0.4896042100628293,23.0,23.181818181818183,24.319124794662066,0.41159999999999997,0.4187272727272727,0.45452441192907594,21.6,22.272727272727273,22.780876898846724,0.6882,0.6539090909090909,0.6565697810293147,14.8,14.272727272727273,14.735219902115194,4.4,2.727272727272727,4.318125624481363,205.0,202.27272727272728,203.70370370370372,96.44000000000001,95.9,99.30025402631713,30.919999999999998,37.28181818181818,29.641512980744814,7.8,9.909090909090908,7.165675964029876,20.0,20.636363636363637,21.350302291317384,67.4,65.9090909090909,70.15817372013075,11.1,10.554545454545455,11.440650984775358,7.8,7.2727272727272725,8.161509932429,0.31179999999999997,0.25227272727272726,0.30500245558773226,17.0,13.727272727272727,15.811207641111622,0.43100000000000005,0.39618181818181814,0.4670687056512388,6.6,5.2727272727272725,6.784704228691426,50.44,50.25454545454545,49.913185659367656,32.4,32.09090909090909,30.92175989432506,0.5406,0.5154545454545455,0.576688919372047,21.18,20.37272727272727,22.78372876763366,16.6,15.818181818181818,17.55271046080374,37.0,40.36363636363637,35.81600027096141,0.45780000000000004,0.4465454545454545,0.5024017341529916,16.4,17.90909090909091,17.53442056597064,0.512,0.5903636363636363,0.5324783654253248,4.6,3.272727272727273,4.716557435350303
2010-01-02,"Reitz Arena, Baltimore, Maryland",Rider,Loyola (MD),Home,69.6,16,4.5,2,104.8,62.5,22,0.51,50,0.46,23,0.42,21,0.81,17,5,200.0,107.9,29.6,6,19,68,4.8,3,0.32,16.0,0.313,5.0,47.5,28,0.567,16.8,10,34.0,0.529,18.0,0.615,8,49.06,46.99166666666667,47.0352283696591,11.4,11.0,11.015828662071616,10.86,11.166666666666666,10.156438438133303,4.4,4.416666666666667,3.9575211547471882,89.1,93.03333333333335,84.97128147809448,65.6,61.275,64.91134425081995,24.6,22.25,23.504055953530123,0.4992000000000001,0.4795833333333333,0.5051597486832969,54.0,54.083333333333336,52.4181386080487,0.4422,0.43133333333333335,0.4497361400418862,22.8,22.916666666666668,22.879416529774716,0.3968,0.41008333333333336,0.408016274619384,20.8,21.833333333333332,20.853917932564485,0.677,0.65825,0.6730465206862098,14.0,14.083333333333334,13.823479934743464,4.8,2.9166666666666665,4.5454170829875755,205.0,202.08333333333334,202.46913580246917,94.52000000000001,94.95833333333333,94.40016935087809,30.9,37.03333333333333,31.194341987163213,8.6,10.0,8.443783976019917,19.8,20.416666666666668,20.233534860878258,65.4,65.0,65.10544914675384,10.96,10.700000000000001,11.727100656516907,7.6,7.333333333333333,8.107673288286001,0.27480000000000004,0.24208333333333334,0.24666830372515486,15.0,13.166666666666666,12.87413842740775,0.43439999999999995,0.39891666666666664,0.4543791371008259,5.8,5.083333333333333,5.5231361524609515,50.44,50.23333333333333,49.94212377291177,33.2,32.25,31.947839929550042,0.5276,0.5094166666666667,0.5321259462480314,20.86,20.308333333333334,21.72248584508911,16.2,15.75,16.70180697386916,39.0,40.916666666666664,39.54400018064094,0.4546,0.4395,0.4556011561019944,17.0,17.833333333333332,17.35628037731376,0.5144,0.58975,0.5493189102835498,5.2,3.5833333333333335,5.477704956900203
2010-01-04,"Reitz Arena, Baltimore, Maryland",Siena,Loyola (MD),Away,79.2,19,7.1,3,101.3,57.1,22,0.463,54,0.444,24,0.222,12,0.5,6,6,200.0,74.7,35.5,9,20,56,12.0,9,0.185,10.0,0.2,2.0,47.0,31,0.469,29.7,24,44.0,0.5,22.0,0.571,8,52.459999999999994,48.73076923076923,54.55681891310607,12.6,11.384615384615385,12.677219108047744,9.819999999999999,10.653846153846153,8.270958958755536,4.2,4.230769230769231,3.305014103164792,86.72,93.93846153846154,91.58085431872965,65.84,61.36923076923077,64.10756283387997,24.2,22.23076923076923,23.002703969020082,0.5288,0.48192307692307695,0.5067731657888647,52.4,53.76923076923077,51.6120924053658,0.4686,0.43353846153846154,0.45315742669459086,23.6,22.923076923076923,22.91961101984981,0.40499999999999997,0.41084615384615386,0.412010849746256,20.6,21.76923076923077,20.902611955042993,0.7026000000000001,0.6699230769230768,0.7186976804574733,14.4,14.307692307692308,14.882319956495643,5.0,3.076923076923077,4.696944721991717,205.0,201.92307692307693,201.64609053497946,98.82000000000001,95.95384615384616,98.9001129005854,28.4,36.46153846153846,30.66289465810881,7.6,9.692307692307692,7.629189317346612,20.4,20.307692307692307,19.82235657391884,67.6,65.23076923076923,66.07029943116923,9.8,10.246153846153845,9.418067104344605,6.8,7.0,6.4051155255240015,0.294,0.24807692307692308,0.2711122024834366,15.6,13.384615384615385,13.9160922849385,0.4354,0.3923076923076923,0.4072527580672173,6.0,5.076923076923077,5.348757434973968,49.8,50.02307692307692,49.128082515274514,31.8,31.923076923076923,30.631893286366697,0.5578,0.5138461538461538,0.543750630832021,20.8,20.03846153846154,20.081657230059406,15.4,15.307692307692308,14.467871315912774,36.8,40.38461538461539,37.6960001204273,0.49380000000000007,0.4463846153846154,0.4800674374013297,17.6,17.846153846153847,17.57085358487584,0.5374000000000001,0.5916923076923077,0.5712126068557,6.0,3.923076923076923,6.318469971266802
2010-01-08,"Arena at Harbor Yard, Bridgeport, Connecticut",Loyola (MD),Fairfield,Home,45.5,10,5.7,2,108.3,50.0,16,0.472,54,0.407,22,0.241,13,0.692,9,7,200.0,100.0,55.2,11,16,60,11.7,7,0.333,18.0,0.389,7.0,52.9,27,0.499,21.1,16,36.0,0.417,15.0,0.533,8,59.879999999999995,50.90714285714286,62.771212608737386,14.8,11.928571428571429,14.784812738698498,7.779999999999999,10.4,7.880639305837024,3.0,4.142857142857143,3.203342735443195,88.97999999999999,94.46428571428571,94.82056954581978,63.2,61.06428571428571,61.77170855591998,23.0,22.214285714285715,22.668469312680056,0.5572,0.48057142857142854,0.4921821105259098,49.8,53.785714285714285,52.4080616035772,0.5006,0.4342857142857143,0.45010495112972726,24.6,23.0,23.279740679899874,0.3896,0.39735714285714285,0.3486738998308374,19.0,21.071428571428573,17.93507463669533,0.6526,0.6577857142857143,0.6457984536383156,12.6,13.714285714285714,11.921546637663763,5.2,3.2857142857142856,5.131296481327812,200.0,201.78571428571428,201.09739368998632,97.18,94.43571428571428,90.83340860039027,27.839999999999996,36.392857142857146,32.27526310540588,6.2,9.642857142857142,8.086126211564409,21.2,20.285714285714285,19.881571049279227,67.2,64.57142857142857,62.71353295411282,10.2,10.37142857142857,10.278711402896404,7.2,7.142857142857143,7.270077017016002,0.2504,0.24357142857142858,0.24240813498895775,12.2,13.142857142857142,12.610728189959001,0.4384,0.37857142857142856,0.33816850537814486,5.4,4.857142857142857,4.232504956649312,48.720000000000006,49.80714285714286,48.41872167684968,29.2,31.857142857142858,30.754595524244465,0.5758,0.5106428571428572,0.5188337538880141,24.0,20.728571428571428,23.28777148670627,17.8,15.928571428571429,17.64524754394185,37.6,40.642857142857146,39.797333413618205,0.5237999999999999,0.45021428571428573,0.4867116249342198,19.2,18.142857142857142,19.047235723250562,0.5628,0.5902142857142857,0.5711417379038,6.8,4.214285714285714,6.8789799808445355
