date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-28,"Hytche Athletic Center, Princess Anne, Maryland",AMERICAN,MARYLAND-EASTERN-SHORE,Home,48.0,12,5.1,2,82.9,66.7,21,0.421,63,0.397,25,0.302,19,0.632,12,5,200.0,92.9,40.5,14,17,65,14.3,10,0.159,10.0,0.3,3.0,52.2,35,0.451,15.4,13,53.0,0.415,22.0,0.167,1,54.46,54.46,52.204938271604945,10.4,10.4,9.925925925925927,4.4,4.4,3.781481481481483,1.6,1.6,1.3209876543209877,119.42,119.42,121.09382716049384,61.14,61.14,63.78395061728396,19.6,19.6,19.827160493827165,0.414,0.414,0.4068518518518519,52.2,52.2,52.728395061728406,0.3654,0.3654,0.360925925925926,19.0,19.0,18.962962962962965,0.4338,0.4338,0.4514197530864198,22.4,22.4,23.530864197530867,0.6357999999999999,0.6357999999999999,0.6346913580246915,13.6,13.6,14.358024691358027,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,85.53999999999999,85.53999999999999,86.40987654320989,30.68,30.68,31.037037037037045,9.0,9.0,9.4320987654321,18.8,18.8,18.592592592592595,56.6,56.6,57.037037037037045,6.3,6.3,5.969135802469137,4.2,4.2,3.9753086419753094,0.3244,0.3244,0.3282345679012347,17.0,17.0,17.34567901234568,0.3114,0.3114,0.2882222222222222,5.0,5.0,4.753086419753087,44.760000000000005,44.760000000000005,45.81975308641976,28.6,28.6,29.259259259259263,0.4518,0.4518,0.4471604938271605,18.64,18.64,17.40246913580247,14.0,14.0,13.12345679012346,35.2,35.2,35.38271604938272,0.3992,0.3992,0.40307407407407414,14.0,14.0,14.20987654320988,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-05,"Hytche Athletic Center, Princess Anne, Maryland",DELAWARE-STATE,MARYLAND-EASTERN-SHORE,Home,52.6,10,2.9,1,82.0,56.5,14,0.418,49,0.388,19,0.449,22,0.545,12,5,200.0,86.9,39.3,10,19,53,13.1,8,0.265,13.0,0.231,3.0,47.1,24,0.446,19.3,14,36.0,0.444,16.0,0.286,2,51.839999999999996,53.38333333333333,50.80329218106997,10.6,10.666666666666666,10.617283950617285,3.9200000000000004,4.516666666666667,4.2209876543209885,1.4,1.6666666666666667,1.5473251028806585,114.26000000000002,113.33333333333333,108.36255144032924,62.06,62.06666666666666,64.75596707818931,19.6,19.833333333333332,20.218106995884778,0.4178,0.4151666666666667,0.41156790123456793,54.6,54.0,56.15226337448561,0.3742,0.3706666666666667,0.3729506172839507,20.4,20.0,20.97530864197531,0.3608,0.41183333333333333,0.4016131687242799,19.4,21.833333333333332,22.020576131687246,0.6679999999999999,0.6351666666666667,0.6337942386831277,12.8,13.333333333333334,13.572016460905353,3.8,3.3333333333333335,3.9300411522633745,200.0,200.0,200.0,87.6,86.76666666666667,88.5732510288066,31.76,32.31666666666667,34.19135802469137,9.8,9.833333333333334,10.954732510288068,17.6,18.5,18.06172839506173,58.2,58.0,59.69135802469137,6.840000000000001,7.633333333333333,8.746090534979425,4.6,5.166666666666667,5.983539094650206,0.27380000000000004,0.29683333333333334,0.2718230452674898,14.8,15.833333333333334,14.897119341563787,0.3238,0.3095,0.29214814814814816,4.6,4.666666666666667,4.168724279835391,45.8,46.0,47.94650205761317,29.4,29.666666666666668,31.172839506172842,0.4572,0.45166666666666666,0.448440329218107,18.22,18.099999999999998,16.734979423868314,13.8,13.833333333333334,13.082304526748974,39.8,38.166666666666664,41.25514403292182,0.3956,0.4018333333333333,0.40704938271604946,15.8,15.333333333333334,16.806584362139922,0.0334,0.027833333333333335,0.05566666666666667,0.2,0.16666666666666666,0.3333333333333333
2009-12-09,"Hytche Athletic Center, Princess Anne, Maryland",NAVY,MARYLAND-EASTERN-SHORE,Home,40.7,11,7.9,3,100.0,52.5,23,0.461,64,0.422,27,0.422,27,0.778,21,5,200.0,111.1,66.7,18,17,80,5.6,4,0.359,23.0,0.217,5.0,58.6,41,0.521,17.4,16,41.0,0.537,22.0,0.375,3,49.019999999999996,53.271428571428565,51.40219478737998,9.8,10.571428571428571,10.411522633744857,2.34,4.285714285714286,3.780658436213993,0.8,1.5714285714285714,1.364883401920439,104.97999999999999,108.85714285714286,99.57503429355283,63.02,61.271428571428565,62.003978052126214,19.0,19.0,18.145404663923188,0.4072,0.41557142857142854,0.41371193415637864,54.0,53.285714285714285,53.76817558299041,0.37100000000000005,0.37314285714285716,0.3779670781893005,20.0,19.857142857142858,20.31687242798354,0.39299999999999996,0.41714285714285715,0.41740877914951996,20.8,21.857142857142858,22.01371742112483,0.6304000000000001,0.6222857142857142,0.6041961591220851,13.0,13.142857142857142,13.048010973936902,4.4,3.5714285714285716,4.286694101508917,200.0,200.0,200.0,87.06,86.78571428571429,88.01550068587107,32.959999999999994,33.31428571428571,35.89423868312758,10.2,9.857142857142858,10.636488340192045,18.6,18.571428571428573,18.37448559670782,56.8,57.285714285714285,57.460905349794245,8.26,8.414285714285715,10.197393689986283,5.4,5.571428571428571,6.6556927297668045,0.2614,0.2922857142857143,0.2695486968449932,14.0,15.428571428571429,14.264746227709193,0.28759999999999997,0.2982857142857143,0.27176543209876547,3.8,4.428571428571429,3.7791495198902614,46.739999999999995,46.15714285714286,47.66433470507545,29.2,28.857142857142858,28.78189300411523,0.445,0.4508571428571429,0.4476268861454047,17.18,18.271428571428572,17.589986282578877,12.8,13.857142857142858,13.38820301783265,40.0,37.857142857142854,39.50342935528121,0.40440000000000004,0.40785714285714286,0.41936625514403303,16.2,15.428571428571429,16.537722908093283,0.09059999999999999,0.06471428571428571,0.13244444444444445,0.6,0.42857142857142855,0.8888888888888888
2009-12-19,"Ervin J. Nutter Center, Dayton, Ohio",MARYLAND-EASTERN-SHORE,WRIGHT-STATE,Home,56.3,9,0.0,0,138.1,60.7,18,0.42,44,0.364,16,0.341,15,0.6,9,6,200.0,73.0,26.7,7,19,46,4.8,3,0.341,15.0,0.333,5.0,43.1,25,0.45,28.3,20,29.0,0.379,11.0,0.333,3,46.04,51.7,47.834796524919994,10.0,10.625,10.607681755829905,3.9200000000000004,4.7375,5.153772290809329,1.4,1.75,1.9099222679469594,103.1,107.75,99.71668952903522,61.760000000000005,60.175,58.835985368084145,19.4,19.5,19.763603109282126,0.4122,0.42125,0.42947462277091913,57.4,54.625,57.17878372199361,0.37879999999999997,0.37925,0.392644718792867,21.8,20.75,22.544581618655695,0.388,0.41775,0.41893918609968,22.0,22.5,23.675811614083223,0.6718,0.64175,0.6621307727480568,14.8,14.125,15.698673982624603,4.8,3.75,4.524462734339278,200.0,200.0,200.0,92.72,89.825,95.71033379058072,41.78,37.4875,46.162825788751725,12.6,10.875,13.090992226794697,17.2,18.375,17.916323731138547,62.2,60.125,64.97393689986284,8.440000000000001,8.0625,8.664929126657523,5.6,5.375,5.770461819844536,0.2864,0.30062500000000003,0.2993657978966622,16.4,16.375,17.176497485139464,0.24,0.28812499999999996,0.25351028806584364,3.8,4.5,4.186099679926841,50.160000000000004,47.7125,51.309556470050296,32.0,30.375,32.85459533607682,0.45619999999999994,0.459625,0.4720845907636032,16.68,18.1625,17.52665752171925,13.4,14.125,14.258802011888434,41.0,38.25,40.00228623685415,0.4396,0.424,0.4585775034293554,18.0,16.25,18.358481938728858,0.16560000000000002,0.10350000000000001,0.21329629629629632,1.2,0.75,1.5925925925925926
2009-12-22,"Convocation Center, DeKalb, Illinois",MARYLAND-EASTERN-SHORE,NORTHERN-ILLINOIS,Home,21.7,5,5.9,3,110.1,50.0,19,0.417,60,0.383,23,0.45,27,0.704,19,7,200.0,87.3,35.1,11,23,69,10.1,8,0.267,16.0,0.25,4.0,42.3,30,0.474,21.8,20,44.0,0.432,19.0,0.3,3,49.519999999999996,52.21111111111111,50.65653101661333,10.4,10.444444444444445,10.071787837219937,3.9200000000000004,4.211111111111111,3.435848193872886,1.4,1.5555555555555556,1.2732815119646397,107.67999999999999,111.12222222222222,112.51112635269016,61.9,60.233333333333334,59.45732357872277,19.2,19.333333333333332,19.175735406188085,0.429,0.4211111111111111,0.4263164151806128,54.6,53.44444444444444,52.78585581466241,0.3896,0.3775555555555556,0.3830964791952447,21.4,20.22222222222222,20.36305441243713,0.40099999999999997,0.4092222222222222,0.39295945739978666,21.8,21.666666666666668,20.783874409388815,0.6418,0.6371111111111111,0.6414205151653712,14.2,13.555555555555555,13.46578265508307,5.2,4.0,5.016308489559519,200.0,200.0,200.0,91.86000000000001,87.95555555555556,88.14022252705382,41.12,36.28888888888889,39.67521719250115,11.8,10.444444444444445,11.060661484529799,17.6,18.444444444444443,18.277549154092366,61.2,58.55555555555556,58.64929126657523,8.18,7.699999999999999,7.376619417771682,5.4,5.111111111111111,4.8469745465630245,0.28900000000000003,0.3051111111111111,0.3132438652644415,15.6,16.22222222222222,16.45099832342631,0.275,0.2931111111111111,0.28000685871056247,4.2,4.555555555555555,4.457399786617894,50.2,47.2,48.5730376467002,31.0,29.77777777777778,30.23639689071788,0.46840000000000004,0.45855555555555555,0.46472306050906886,19.0,19.288888888888888,21.117771681146166,14.8,14.777777777777779,16.172534674592292,39.0,37.22222222222222,36.3348574912361,0.4384,0.419,0.4320516689529036,17.2,15.666666666666666,15.905654625819238,0.23220000000000002,0.129,0.25319753086419755,1.8,1.0,2.0617283950617287
2009-12-28,"Worthen Arena, Muncie, Indiana",MARYLAND-EASTERN-SHORE,BALL-STATE,Home,55.6,10,8.9,4,98.2,58.6,17,0.36,57,0.316,18,0.175,10,0.6,6,8,200.0,82.5,34.2,13,19,47,8.8,5,0.316,18.0,0.278,5.0,44.8,30,0.381,12.8,9,39.0,0.333,13.0,0.273,3,43.86,49.160000000000004,41.004354011075556,9.4,9.9,8.381191891479958,4.36,4.38,4.257232129248591,1.8,1.7,1.8488543413097598,102.62,111.02000000000001,111.7074175684601,57.279999999999994,59.21,56.30488238581518,19.0,19.3,19.117156937458724,0.4274,0.42069999999999996,0.4232109434537419,56.0,54.1,55.19057054310828,0.39080000000000004,0.3781,0.3830643194634965,22.0,20.5,21.24203627495809,0.3928,0.4133,0.4119729715998578,22.0,22.2,22.855916272925878,0.6518,0.6437999999999999,0.6622803434435809,14.6,14.1,15.31052177005538,5.6,4.3,5.677538993039679,200.0,200.0,200.0,90.24,87.89,87.86014835136922,41.660000000000004,36.17,38.15014479500077,12.0,10.5,11.040440989686534,19.0,18.9,19.85169943606158,62.6,59.6,62.09952751105016,9.58,7.94,8.28441294518112,6.6,5.4,5.897983031042017,0.2782,0.3013,0.2978292435096277,15.4,16.2,16.300665548950874,0.2662,0.2888,0.27000457247370835,4.0,4.5,4.304933191078597,48.66,46.71,46.48202509780013,31.0,29.8,30.157597927145257,0.46840000000000004,0.4601,0.4678153736727126,20.439999999999998,19.54,21.345181120764114,16.6,15.3,17.448356449728195,40.6,37.9,38.889904994157405,0.44139999999999996,0.4203,0.4320344459686024,18.0,16.0,16.937103083879492,0.2922,0.1461,0.26879835390946505,2.4,1.2,2.374485596707819
2010-01-02,"Bob Devaney Sports Center, Lincoln, Nebraska",MARYLAND-EASTERN-SHORE,NEBRASKA,Home,45.8,11,2.7,1,100.0,78.1,28,0.432,59,0.407,24,0.169,10,0.9,9,9,200.0,81.1,30.3,7,19,60,9.5,7,0.271,16.0,0.188,3.0,53.8,35,0.471,24.9,21,43.0,0.488,21.0,0.25,3,45.379999999999995,49.74545454545455,45.869569340717035,9.0,9.909090909090908,8.920794594319972,5.12,4.790909090909091,5.804821419499061,2.2,1.9090909090909092,2.5659028942065065,105.67999999999999,109.85454545454546,107.20494504564007,55.660000000000004,59.154545454545456,57.06992159054346,18.2,19.09090909090909,18.411437958305818,0.4152,0.4151818181818182,0.4021406289691613,54.8,54.36363636363637,55.79371369540552,0.3746,0.3724545454545455,0.3607095463089977,20.6,20.272727272727273,20.161357516638727,0.3674,0.3916363636363636,0.3329819810665719,20.2,21.09090909090909,18.570610848617253,0.6454,0.6398181818181818,0.6415202289623873,13.4,13.363636363636363,12.207014513370256,6.2,4.636363636363637,6.451692662026453,200.0,200.0,200.0,88.16,87.39999999999999,86.07343223424616,40.4,35.99090909090909,36.83342986333385,11.8,10.727272727272727,11.69362732645769,19.4,18.90909090909091,19.567799624041054,59.0,58.45454545454545,57.06635167403344,8.479999999999999,8.018181818181818,8.456275296787414,5.6,5.363636363636363,5.598655354028011,0.3096,0.30263636363636365,0.30388616233975185,17.0,16.363636363636363,16.86711036596725,0.2618,0.2878181818181818,0.2726697149824723,4.4,4.545454545454546,4.536622127385732,47.18,46.53636363636363,45.92135006520009,30.0,29.818181818181817,30.10506528476351,0.45439999999999997,0.45290909090909093,0.43887691578180843,19.92,18.927272727272726,18.496787413842743,15.8,14.727272727272727,14.632237633152132,37.8,38.0,38.92660332943827,0.425,0.4123636363636363,0.3990229639790683,16.2,15.727272727272727,15.624735389252997,0.3134,0.15763636363636363,0.2701989026063101,2.8,1.3636363636363635,2.582990397805213
2010-01-04,"Lloyd Noble Center, Norman, Oklahoma",MARYLAND-EASTERN-SHORE,OKLAHOMA,Home,50.0,9,9.1,4,123.9,51.2,24,0.342,60,0.3,18,0.233,14,0.929,13,10,200.0,76.1,35.9,12,14,54,2.8,2,0.3,18.0,0.278,5.0,43.9,36,0.405,21.4,18,42.0,0.31,13.0,0.231,3,44.019999999999996,49.416666666666664,45.84637956047803,9.2,10.0,9.613863062879982,5.08,4.616666666666666,4.769880946332708,2.2,1.8333333333333333,2.043935262804338,109.28,109.03333333333335,104.80329669709339,59.98,60.73333333333333,64.07994772702898,21.0,19.833333333333332,21.607625305537212,0.418,0.4165833333333333,0.4120937526461076,56.8,54.75,56.86247579693702,0.37839999999999996,0.3753333333333333,0.37613969753933185,21.6,20.583333333333332,21.440905011092486,0.3114,0.3730833333333334,0.278321320711048,17.8,20.166666666666668,15.713740565744835,0.7163999999999999,0.6615,0.7276801526415915,12.8,13.0,11.138009675580172,7.0,5.0,7.301128441350969,200.0,200.0,200.0,87.0,86.875,84.41562148949744,38.60000000000001,35.516666666666666,34.655619908889236,11.2,10.416666666666666,10.129084884305128,19.4,18.916666666666668,19.378533082694037,60.4,58.583333333333336,58.044234449355635,7.76,8.141666666666667,8.80418353119161,5.4,5.5,6.0657702360186745,0.3108,0.3,0.2929241082265013,17.6,16.333333333333332,16.5780735773115,0.2532,0.2795,0.24444647665498154,4.4,4.416666666666667,4.024414751590488,48.519999999999996,47.14166666666667,48.547566710133395,32.2,30.25,31.73671018984234,0.4593999999999999,0.4544166666666667,0.44958461052120563,21.04,19.425,20.631191609228495,17.2,15.25,16.754825088768087,39.2,38.416666666666664,40.28440221962552,0.4338,0.4186666666666667,0.4286819759860455,17.2,16.166666666666668,17.416490259501998,0.3062,0.16533333333333333,0.2634659350708734,3.0,1.5,2.721993598536809
2010-01-09,"Hytche Athletic Center, Princess Anne, Maryland",SOUTH-CAROLINA-STATE,MARYLAND-EASTERN-SHORE,Away,41.7,10,4.8,2,109.6,65.5,20,0.449,59,0.407,24,0.559,33,0.424,14,11,200.0,91.8,40.0,15,25,67,5.5,4,0.271,16.0,0.313,5.0,50.7,35,0.449,16.0,14,43.0,0.442,19.0,0.214,3,45.879999999999995,49.46153846153846,47.230919706985354,8.8,9.923076923076923,9.409242041919988,5.319999999999999,4.961538461538462,6.213253964221805,2.4,2.0,2.6959568418695588,114.06000000000002,110.17692307692307,111.16886446472893,59.720000000000006,60.0,59.78663181801933,21.2,20.153846153846153,22.405083537024808,0.3942,0.41084615384615386,0.3887291684307384,56.0,55.15384615384615,57.90831719795802,0.354,0.36953846153846154,0.35075979835955456,19.8,20.384615384615383,20.29393667406166,0.27359999999999995,0.36230769230769233,0.2632142138073653,15.2,19.692307692307693,15.142493710496558,0.7466,0.6820769230769231,0.7947867684277277,11.2,13.0,11.758673117053448,8.0,5.384615384615385,8.200752294233979,200.0,200.0,200.0,79.99999999999999,86.04615384615384,81.64374765966497,32.44,35.54615384615385,35.07041327259282,10.0,10.538461538461538,10.752723256203419,18.8,18.53846153846154,17.585688721796025,55.2,58.23076923076923,56.696156299570426,7.2,7.730769230769231,6.802789020794408,5.0,5.230769230769231,4.7105134906791175,0.29900000000000004,0.3,0.29528273881766753,16.6,16.46153846153846,17.052049051541,0.26539999999999997,0.2793846153846154,0.2556309844366544,4.4,4.461538461538462,4.349609834393659,45.58,46.892307692307696,46.9983778067556,31.2,30.692307692307693,33.15780679322823,0.43620000000000003,0.4506153846153846,0.4347230736808038,21.84,19.576923076923077,20.887461072818997,17.6,15.461538461538462,17.16988339251206,39.4,38.69230769230769,40.856268146417015,0.3884,0.41030769230769226,0.3891213173240304,15.4,15.923076923076923,15.944326839668001,0.27740000000000004,0.17038461538461538,0.2526439567139156,3.0,1.6153846153846154,2.8146623990245394
2010-01-11,"Hytche Athletic Center, Princess Anne, Maryland","Winston-Salem
			",MARYLAND-EASTERN-SHORE,Away,76.0,19,6.0,3,113.6,54.8,25,0.444,62,0.403,25,0.387,24,0.625,15,12,200.0,106.1,61.1,14,22,70,6.1,4,0.274,17.0,0.294,5.0,58.2,39,0.477,14.2,12,45.0,0.444,20.0,0.2,3,42.96,48.90714285714286,45.387279804656906,9.0,9.928571428571429,9.606161361279993,6.28,4.95,5.742169309481204,2.8,2.0,2.4639712279130395,108.35999999999999,110.13571428571429,110.64590964315262,60.67999999999999,60.392857142857146,61.691087878679554,21.6,20.142857142857142,21.603389024683207,0.4,0.4135714285714286,0.4088194456204923,59.0,55.42857142857143,58.27221146530535,0.36260000000000003,0.3722142857142857,0.3695065322397031,21.4,20.642857142857142,21.529291116041108,0.31720000000000004,0.3763571428571429,0.3618094758715769,18.8,20.642857142857142,21.09499580699771,0.7114,0.6636428571428572,0.6711911789518185,12.2,13.071428571428571,12.505782078035633,9.0,5.785714285714286,9.133834862822653,200.0,200.0,200.0,83.76,86.45714285714287,85.02916510644332,35.1,35.864285714285714,36.71360884839522,11.6,10.857142857142858,12.16848217080228,20.0,19.0,20.057125814530686,59.4,58.857142857142854,60.13077086638029,7.339999999999999,7.571428571428571,6.3685260138629385,5.2,5.142857142857143,4.473675660452745,0.28500000000000003,0.29792857142857143,0.2871884925451117,16.8,16.428571428571427,16.701366034360667,0.2614,0.28178571428571425,0.2747539896244363,4.4,4.5,4.566406556262439,47.1,47.16428571428571,48.232251871170405,33.2,31.0,33.77187119548549,0.43600000000000005,0.4505,0.4394820491205359,19.380000000000003,19.321428571428573,19.258307381879334,16.4,15.357142857142858,16.11325559500804,42.2,39.0,41.57084543094468,0.40099999999999997,0.41257142857142853,0.40674754488268694,17.0,16.142857142857142,16.96288455977867,0.2536,0.17350000000000002,0.2397626378092771,3.0,1.7142857142857142,2.8764415993496932
