date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-01-01,"United Spirit Arena, Lubbock, Texas",MCNEESE-STATE,TEXAS-TECH,Home,53.3,16,0.0,0,108.6,59.0,26,0.523,66,0.455,30,0.182,12,0.5,6,8,200.0,107.1,60.6,17,26,75,11.4,8,0.348,23.0,0.391,9.0,59.7,43,0.523,20.2,18,43.0,0.488,21.0,0.385,5,53.7,53.7,53.41234567901235,12.4,12.4,11.8641975308642,8.580000000000002,8.580000000000002,8.676543209876545,3.0,3.0,3.1851851851851856,109.88,109.88,109.04444444444445,61.17999999999999,61.17999999999999,62.964197530864205,20.8,20.8,21.4320987654321,0.46799999999999997,0.46799999999999997,0.4457037037037037,58.0,58.0,58.814814814814824,0.4032,0.4032,0.38277777777777783,23.0,23.0,22.172839506172842,0.29159999999999997,0.29159999999999997,0.30955555555555564,16.4,16.4,17.71604938271605,0.6388,0.6388,0.6737160493827161,10.8,10.8,12.024691358024693,4.8,4.8,5.098765432098766,200.0,200.0,200.0,90.28,90.28,88.48024691358026,38.62,38.62,37.193827160493825,9.4,9.4,10.06172839506173,20.8,20.8,20.45679012345679,64.2,64.2,63.62962962962964,10.2,10.2,10.425925925925927,7.2,7.2,7.444444444444445,0.3242,0.3242,0.32420987654320993,19.0,19.0,19.160493827160497,0.4128,0.4128,0.3954567901234569,7.4,7.4,7.2592592592592595,48.72,48.72,48.48271604938272,30.2,30.2,31.49382716049383,0.4928,0.4928,0.47743209876543224,21.54,21.54,20.972839506172843,17.2,17.2,17.074074074074076,39.0,39.0,39.65432098765433,0.40499999999999997,0.40499999999999997,0.37943209876543216,15.6,15.6,14.913580246913584,0.32720000000000005,0.32720000000000005,0.3307037037037037,3.2,3.2,3.4444444444444446
2010-01-04,"Maravich Assembly Center, Baton Rouge, Louisiana",MCNEESE-STATE,LOUISIANA-STATE,Home,40.9,9,3.2,1,122.1,78.3,19,0.439,57,0.386,22,0.491,28,0.357,10,9,200.0,88.2,40.5,16,16,60,10.3,7,0.281,16.0,0.375,6.0,53.8,35,0.427,17.8,15,41.0,0.39,16.0,0.357,5,52.17999999999999,53.63333333333333,53.37489711934157,12.8,13.0,13.242798353909468,7.580000000000001,7.150000000000001,5.784362139917698,2.6,2.5,2.1234567901234573,106.33999999999999,109.66666666666667,108.8962962962963,59.06,60.81666666666666,61.64279835390947,22.0,21.666666666666668,22.954732510288068,0.476,0.4771666666666667,0.4714691358024692,59.6,59.333333333333336,61.20987654320989,0.41479999999999995,0.41183333333333333,0.4068518518518519,24.4,24.166666666666668,24.78189300411523,0.2486,0.2733333333333334,0.26703703703703713,14.2,15.666666666666666,15.810699588477368,0.591,0.6156666666666667,0.6158106995884775,8.6,10.0,10.016460905349797,6.2,5.333333333333333,6.0658436213991775,200.0,200.0,200.0,93.44,93.08333333333333,94.68683127572018,46.04,42.28333333333333,44.99588477366255,12.0,10.666666666666666,12.374485596707821,21.6,21.666666666666668,22.304526748971195,64.6,66.0,67.41975308641977,10.720000000000002,10.4,10.750617283950618,7.4,7.333333333333333,7.62962962962963,0.3076,0.32816666666666666,0.3321399176954733,18.6,19.666666666666668,20.440329218107,0.41100000000000003,0.4091666666666667,0.393971193415638,7.2,7.666666666666667,7.839506172839507,52.239999999999995,50.550000000000004,52.22181069958848,34.0,32.333333333333336,35.32921810699589,0.49139999999999995,0.49783333333333335,0.49262139917695486,21.22,21.316666666666666,20.715226337448563,17.0,17.333333333333332,17.38271604938272,41.0,39.666666666666664,40.76954732510289,0.42379999999999995,0.41883333333333334,0.41562139917695484,17.2,16.5,16.942386831275726,0.4042,0.3368333333333333,0.3488024691358025,4.2,3.5,3.9629629629629632
2010-01-09,"Burton Coliseum, Lake Charles, Louisiana",TEXAS-SAN-ANTONIO,MCNEESE-STATE,Away,50.0,13,10.3,4,120.0,51.9,16,0.5,62,0.419,26,0.129,8,0.875,7,10,200.0,106.2,44.8,11,16,69,10.8,7,0.387,24.0,0.417,10.0,48.2,27,0.524,14.4,10,38.0,0.421,16.0,0.333,5,48.5,51.81428571428571,49.21659807956105,11.4,12.428571428571429,11.828532235939646,7.08,6.585714285714286,4.9229080932784655,2.4,2.2857142857142856,1.7489711934156382,106.7,111.44285714285715,113.29753086419754,63.82000000000001,63.31428571428571,67.19519890260632,21.6,21.285714285714285,21.636488340192045,0.45339999999999997,0.4717142857142857,0.46064609053497946,59.4,59.0,59.80658436213993,0.3988,0.4081428571428572,0.3999012345679013,23.4,23.857142857142858,23.85459533607682,0.3226,0.30442857142857144,0.3416913580246914,18.4,17.428571428571427,19.87379972565158,0.5766,0.5787142857142857,0.5295404663923183,10.0,10.0,10.010973936899866,7.0,5.857142857142857,7.043895747599453,200.0,200.0,200.0,91.66,92.38571428571429,92.52455418381345,45.67999999999999,42.028571428571425,43.497256515775035,13.6,11.428571428571429,13.582990397805215,20.6,20.857142857142858,20.203017832647465,63.2,65.14285714285714,64.94650205761319,11.620000000000001,10.385714285714286,10.600411522633745,8.0,7.285714285714286,7.419753086419753,0.281,0.32142857142857145,0.3150932784636489,17.0,19.142857142857142,18.960219478738,0.40259999999999996,0.4042857142857143,0.38764746227709207,6.4,7.428571428571429,7.226337448559672,53.160000000000004,51.01428571428572,52.74787379972565,35.2,32.714285714285715,35.219478737997264,0.4676,0.4877142857142857,0.47074759945130323,20.22,20.814285714285713,19.743484224965712,16.8,17.0,16.588477366255148,42.4,39.857142857142854,40.84636488340193,0.4018,0.4147142857142857,0.4070809327846366,17.0,16.428571428571427,16.62825788751715,0.4006,0.33971428571428575,0.35153497942386835,4.6,3.7142857142857144,4.3086419753086425
2010-01-16,"Montagne Center, Beaumont, Texas",MCNEESE-STATE,LAMAR,Home,55.9,19,16.7,6,123.4,57.6,19,0.575,60,0.567,34,0.317,19,0.474,9,11,200.0,121.9,43.3,13,27,78,3.1,2,0.15,9.0,0.111,1.0,50.8,32,0.565,11.6,9,51.0,0.647,33.0,0.312,5,48.94,51.5875,49.477732053040704,11.8,12.5,12.219021490626432,6.0600000000000005,7.050000000000001,6.715272062185644,2.4,2.5,2.499314128943759,112.32000000000001,112.5125,115.53168724279837,61.9,61.8875,62.09679926840422,21.4,20.625,19.757658893461365,0.4448,0.47525,0.47376406035665297,62.4,59.375,60.537722908093286,0.3848,0.4095,0.4062674897119342,24.0,24.125,24.569730224051213,0.2676,0.2825,0.27079423868312763,16.2,16.25,15.91586648376772,0.6464000000000001,0.61575,0.6446936442615456,9.4,9.625,9.007315957933244,8.0,6.375,8.029263831732969,200.0,200.0,200.0,93.22,94.1125,97.0830361225423,44.64,42.375,43.93150434385002,13.8,11.375,12.72199359853681,20.0,20.25,18.802011888431643,64.8,65.625,66.2976680384088,10.88,10.4375,10.666941015089165,7.6,7.25,7.279835390946502,0.3244,0.329625,0.3390621856424326,20.2,19.75,20.640146319158667,0.361,0.405875,0.39743164151806143,7.4,7.75,8.150891632373115,51.54,50.6625,51.231915866483774,35.2,32.0,32.47965249199818,0.4636,0.49225,0.48849839963420216,18.4,20.0125,17.96232281664381,15.4,16.125,14.392318244170099,42.2,39.625,39.897576588934626,0.3936,0.4155,0.4117206218564244,16.6,16.375,16.418838591678103,0.3784,0.338875,0.3453566529492456,4.8,3.875,4.539094650205762
2010-01-20,"Burton Coliseum, Lake Charles, Louisiana",SOUTHEASTERN-LOUISIANA,MCNEESE-STATE,Home,19.2,5,14.8,4,97.1,75.0,19,0.467,61,0.426,26,0.295,18,0.778,14,11,200.0,102.9,38.2,12,18,71,20.3,14,0.246,15.0,0.333,5.0,53.4,31,0.51,15.9,13,46.0,0.457,21.0,0.353,6,51.019999999999996,52.06666666666666,51.61848803536047,13.6,13.222222222222221,14.479347660417623,8.040000000000001,8.122222222222222,10.043514708123762,3.0,2.888888888888889,3.666209419295839,115.93999999999998,113.72222222222223,118.15445816186559,63.74000000000001,61.41111111111112,60.597866178936144,20.8,20.444444444444443,19.505105928974245,0.4902,0.4863333333333333,0.507509373571102,60.6,59.44444444444444,60.358481938728865,0.43439999999999995,0.427,0.45984499314128946,26.4,25.22222222222222,27.71315348270081,0.29619999999999996,0.28633333333333333,0.28619615912208507,17.6,16.555555555555557,16.94391098917848,0.5746,0.6000000000000001,0.5877957628410304,9.2,9.555555555555555,9.00487730528883,9.0,6.888888888888889,9.019509221155314,200.0,200.0,200.0,102.14,97.19999999999999,105.35535741502821,44.660000000000004,42.47777777777778,43.721002895900014,14.0,11.555555555555555,12.814662399024542,20.4,21.0,21.534674592287764,68.8,67.0,70.19844535893921,9.1,9.622222222222224,8.144627343392777,6.2,6.666666666666667,5.519890260631002,0.30219999999999997,0.30966666666666665,0.2760414570949551,18.4,18.555555555555557,16.76009754610578,0.3388,0.3731111111111111,0.3019544276787076,6.8,7.0,5.767261088248744,52.64,50.67777777777778,51.08794391098918,34.8,32.0,32.31976832799879,0.499,0.5003333333333333,0.5139989330894681,16.64,19.077777777777776,15.841548544429205,13.4,15.333333333333334,12.594878829446733,42.2,40.888888888888886,43.59838439262309,0.4524,0.44122222222222224,0.4901470812376163,19.6,18.22222222222222,21.94589239445207,0.36079999999999995,0.3358888888888889,0.33423776863283045,5.0,4.0,4.692729766803842
2010-01-31,"Burton Coliseum, Lake Charles, Louisiana",STEPHEN-F-AUSTIN,MCNEESE-STATE,Away,20.0,4,4.8,2,122.8,48.4,16,0.412,51,0.392,20,0.353,18,0.722,13,13,200.0,96.5,45.2,13,18,55,7.0,4,0.176,9.0,0.222,2.0,46.8,29,0.462,15.7,11,42.0,0.429,18.0,0.35,7,43.86,48.78,40.81232535690698,12.4,12.4,11.319565106945083,9.0,8.790000000000001,11.629009805415842,3.0,3.0,3.7774729461972267,114.24000000000001,112.05999999999999,111.13630544124374,64.36,62.77,65.3985774526241,19.8,20.3,19.33673728598283,0.5008,0.48440000000000005,0.4940062490474014,61.2,59.6,60.57232129248591,0.4506,0.4269,0.4485633287608597,27.6,25.3,27.142102321800543,0.28280000000000005,0.2872,0.28913077274805676,17.0,16.7,17.29594065945232,0.5968,0.6178,0.6511971752273535,9.2,10.0,10.669918203525885,9.8,7.3,9.679672814103544,200.0,200.0,200.0,105.26000000000002,97.77000000000001,104.53690494335214,45.480000000000004,42.05,41.88066859726668,13.8,11.6,12.543108266016363,20.6,20.7,20.356449728191844,70.6,67.4,70.4656302392928,11.180000000000001,10.690000000000001,12.196418228928518,7.6,7.4,8.346593507087334,0.2824,0.3033,0.26602763806330343,17.4,18.2,16.173398364070522,0.3254,0.3691,0.3123029517858051,6.2,6.8,5.5115073921658295,53.17999999999999,50.95,51.85862927399279,33.6,31.9,31.879845551999193,0.5098,0.5013,0.5126659553929788,15.979999999999999,18.759999999999998,15.861032362952805,13.0,15.1,12.729919219631157,43.8,41.4,44.398922928415395,0.4806,0.44279999999999997,0.4790980541584109,21.4,18.5,21.630594929634714,0.34800000000000003,0.3376,0.3404918457552203,5.2,4.2,5.128486511202562
2010-02-13,"William Johnson Coliseum, Nacogdoches, Texas",MCNEESE-STATE,STEPHEN-F-AUSTIN,Home,28.6,6,11.1,3,115.0,73.3,13,0.406,53,0.396,21,0.302,16,0.813,13,16,200.0,93.3,51.6,14,24,56,8.3,5,0.189,10.0,0.1,1.0,58.7,27,0.462,22.1,16,43.0,0.465,20.0,0.333,8,37.2,46.163636363636364,33.874883571271326,10.0,11.636363636363637,8.879710071296723,9.959999999999999,8.427272727272728,9.352673203610562,3.4,2.909090909090909,3.1849819641314845,117.08,113.03636363636365,115.02420362749584,62.239999999999995,61.46363636363637,59.73238496841607,17.8,19.90909090909091,18.224491523988554,0.47859999999999997,0.47781818181818186,0.46667083269826765,58.2,58.81818181818182,57.38154752832394,0.438,0.4237272727272727,0.42970888584057315,25.6,24.818181818181817,24.76140154786703,0.317,0.2931818181818182,0.31042051516537117,18.2,16.818181818181817,17.530627106301548,0.6412,0.6272727272727273,0.6747981168182358,10.6,10.272727272727273,11.446612135683925,10.8,7.818181818181818,10.786448542735696,200.0,200.0,200.0,103.14000000000001,97.65454545454546,101.85793662890143,42.4,42.336363636363636,42.987112398177786,13.0,11.727272727272727,12.695405510677578,19.0,20.454545454545453,19.57096648546123,66.6,66.27272727272727,65.31042015952855,10.3,10.354545454545455,10.464278819285681,6.8,7.090909090909091,6.89772900472489,0.24800000000000005,0.2917272727272727,0.23601842537553563,14.6,17.363636363636363,13.782265576047015,0.2916,0.3557272727272727,0.2822019678572034,4.8,6.363636363636363,4.341004928110554,50.6,50.57272727272727,50.1724195159952,30.8,31.636363636363637,30.91989703466613,0.4976,0.4977272727272728,0.49577730359531924,15.080000000000002,18.481818181818184,15.807354908635205,11.6,14.727272727272727,12.153279479754104,43.6,41.45454545454545,43.59928195227693,0.46880000000000005,0.4415454545454546,0.4623987027722739,20.8,18.454545454545453,20.420396619756477,0.34099999999999997,0.3387272727272727,0.3436612305034802,5.6,4.454545454545454,5.752324340801708
2010-03-03,"University Center, Hammond, Louisiana",MCNEESE-STATE,SOUTHEASTERN-LOUISIANA,Home,27.3,6,3.8,1,100.0,72.0,20,0.418,55,0.4,22,0.273,15,0.867,13,19,200.0,98.3,52.9,16,19,59,13.3,8,0.236,13.0,0.154,2.0,61.0,36,0.475,21.6,17,42.0,0.476,20.0,0.345,10,34.739999999999995,44.699999999999996,32.11658904751422,9.4,11.166666666666666,7.919806714197816,11.54,8.65,9.93511546907371,3.8,2.9166666666666665,3.12332130942099,115.66,113.2,115.0161357516639,61.239999999999995,62.449999999999996,64.25492331227738,16.6,19.333333333333332,16.482994349325704,0.472,0.4718333333333333,0.4464472217988451,57.4,58.333333333333336,55.921031685549295,0.44000000000000006,0.4214166666666667,0.41847259056038216,25.4,24.5,23.507601031911356,0.2792,0.29391666666666666,0.3076136767769141,15.8,16.75,17.0204180708677,0.7323999999999999,0.64275,0.7208654112121572,11.2,10.5,11.96440809045595,12.2,8.5,12.524299028490464,200.0,200.0,200.0,104.16,97.29166666666667,99.00529108593429,44.620000000000005,43.10833333333333,45.85807493211853,12.6,11.916666666666666,13.13027034045172,20.6,20.75,21.047310990307487,65.8,65.41666666666667,62.206946773019034,9.9,10.183333333333334,9.742852546190456,6.4,6.916666666666667,6.265152669816594,0.22959999999999997,0.2831666666666667,0.22034561691702378,13.4,16.75,12.521510384031345,0.2366,0.33441666666666664,0.22146797857146897,3.8,5.916666666666667,3.2273366187403694,51.58,51.25,53.01494634399681,29.2,31.25,29.61326468977742,0.5046,0.49475,0.4845182023968795,15.940000000000001,18.783333333333335,17.90490327242347,11.8,14.833333333333334,13.435519653169404,44.0,41.583333333333336,43.39952130151796,0.4838,0.4435,0.46326580184818267,21.6,18.583333333333332,20.280264413170986,0.33619999999999994,0.33825,0.34010748700232013,6.2,4.75,6.501549560534473
2010-11-13,"Bank of America Arena, Seattle, Washington",MCNEESE-STATE,WASHINGTON,Home,27.8,5,8.1,5,124.2,41.7,20,0.391,55,0.327,18,0.691,38,0.553,21,1,200.0,67.4,13.3,6,25,64,6.3,6,0.364,20.0,0.35,7.0,28.0,26,0.438,27.4,27,35.0,0.314,11.0,0.0,0,30.2,43.361538461538466,30.51105936500948,8.0,10.76923076923077,7.2798711427985445,10.239999999999998,8.276923076923076,7.890076979382473,3.2,2.769230769230769,2.4155475396139936,111.66,112.1846153846154,110.01075716777594,65.26,63.184615384615384,66.83661554151826,17.4,19.384615384615383,17.655329566217137,0.4556,0.4676923076923077,0.4369648145325634,56.0,58.07692307692308,55.61402112369953,0.43620000000000003,0.4197692307692308,0.4123150603735881,24.6,24.307692307692307,23.005067354607572,0.308,0.29230769230769227,0.29607578451794275,17.2,16.615384615384617,16.346945380578468,0.7308,0.66,0.7695769408081048,12.4,10.692307692307692,12.309605393637302,14.0,9.307692307692308,14.682866018993643,200.0,200.0,200.0,102.58,97.36923076923077,98.77019405728953,46.239999999999995,43.861538461538466,48.20538328807902,13.6,12.23076923076923,14.08684689363448,21.2,20.615384615384617,20.364873993538325,63.8,64.92307692307692,61.13796451534603,10.400000000000002,10.423076923076923,10.92856836412697,6.6,7.0,6.843435113211063,0.1994,0.2795384615384615,0.2255637446113492,11.2,16.46153846153846,12.681006922687565,0.184,0.32053846153846155,0.19897865238097934,2.2,5.615384615384615,2.8182244124935796,54.14,52.0,55.676630895997874,31.0,31.615384615384617,31.742176459851617,0.4948,0.49323076923076925,0.48134546826458635,17.380000000000003,19.0,19.13660218161565,13.2,15.0,14.623679768779603,44.8,41.61538461538461,42.93301420101197,0.4948,0.446,0.4675105345654551,22.4,18.692307692307693,20.18684294211399,0.33859999999999996,0.33876923076923077,0.3417383246682134,7.2,5.153846153846154,7.667699707022982
2010-11-16,"Burton Coliseum, Lake Charles, Louisiana",GEORGIA-STATE,MCNEESE-STATE,Home,55.0,11,3.1,1,96.9,58.3,14,0.479,47,0.426,20,0.66,31,0.742,23,1,200.0,106.3,34.5,10,19,68,12.5,8,0.213,10.0,0.5,5.0,45.3,24,0.551,15.4,11,37.0,0.405,15.0,0.5,1,24.58,42.25,29.607372910006323,5.2,10.357142857142858,6.519914095199031,8.52,8.264285714285714,7.960051319588317,3.0,2.9285714285714284,3.2770316930759957,111.82000000000001,113.04285714285713,114.7405047785173,62.08,61.65,58.45774369434551,17.6,19.428571428571427,18.436886377478093,0.41879999999999995,0.46221428571428574,0.42164320968837565,55.0,57.857142857142854,55.40934741579969,0.3882,0.41314285714285715,0.38387670691572545,21.4,23.857142857142858,21.336711569738384,0.3828,0.3207857142857143,0.4277171896786285,21.0,18.142857142857142,23.56463025371898,0.7466,0.6523571428571427,0.6973846272054033,14.8,11.428571428571429,15.206403595758202,12.0,8.714285714285714,10.121910679329098,200.0,200.0,200.0,91.67999999999999,95.22857142857143,88.3134627048597,40.239999999999995,41.67857142857143,36.57025552538602,12.2,11.785714285714286,11.391231262422988,20.8,20.928571428571427,21.909915995692216,61.0,64.85714285714286,62.09197634356403,11.040000000000001,10.12857142857143,9.385712242751314,7.4,6.928571428571429,6.562290075474043,0.24219999999999997,0.2855714285714286,0.2717091630742328,13.4,16.714285714285715,15.120671281791711,0.23179999999999995,0.3226428571428571,0.24931910158731957,3.4,5.714285714285714,4.212149608329053,49.58,50.285714285714285,46.45108726399859,29.8,31.214285714285715,29.82811763990108,0.4694,0.4892857142857143,0.4668969788430576,20.54,19.599999999999998,21.8910681210771,16.8,15.857142857142858,18.74911984585307,41.6,41.142857142857146,40.288676134007986,0.4282,0.43657142857142855,0.4163403563769701,18.0,18.142857142857142,17.12456196140933,0.27619999999999995,0.31457142857142856,0.22782554977880898,6.2,4.785714285714286,5.111799804681989
