date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-01,"Dean Smith Center, Chapel Hill, North Carolina",MICHIGAN-STATE,NORTH-CAROLINA,Home,47.1,16,4.3,2,114.1,60.0,19,0.443,79,0.43,34,0.203,16,0.75,12,2,200.0,105.1,42.2,15,24,82,19.2,15,0.253,20.0,0.1,2.0,48.6,34,0.473,11.3,11,59.0,0.542,32.0,0.714,5,64.17999999999999,64.17999999999999,64.22592592592594,20.6,20.6,21.888888888888893,7.24,7.24,6.692592592592595,3.0,3.0,2.5679012345679015,91.9,91.9,92.25061728395063,66.86,66.86,66.85308641975311,26.4,26.4,25.629629629629633,0.5398000000000001,0.5398000000000001,0.5698024691358026,64.6,64.6,65.87654320987656,0.49400000000000005,0.49400000000000005,0.5146172839506173,32.0,32.0,33.98765432098766,0.385,0.385,0.3440123456790124,24.8,24.8,22.666666666666668,0.6188,0.6188,0.6226543209876544,15.2,15.2,13.901234567901238,0.4,0.4,0.5555555555555556,200.0,200.0,200.0,116.22,116.22,121.65925925925927,49.72,49.72,49.77037037037038,14.4,14.4,14.23456790123457,19.4,19.4,19.543209876543212,85.4,85.4,89.4567901234568,7.88,7.88,7.914814814814816,5.8,5.8,5.8271604938271615,0.26,0.26,0.27180246913580247,17.2,17.2,18.2962962962963,0.3304,0.3304,0.3790617283950618,6.2,6.2,7.580246913580247,58.42,58.42,58.26666666666668,40.8,40.8,39.8641975308642,0.5594,0.5594,0.5838641975308643,16.18,16.18,15.783950617283955,14.4,14.4,13.987654320987657,47.4,47.4,47.580246913580254,0.5439999999999999,0.5439999999999999,0.5549259259259259,25.8,25.8,26.407407407407412,0.9266,0.9266,0.899888888888889,3.0,3.0,3.3950617283950617
2009-12-04,"Breslin Events Center, East Lansing, Michigan",WOFFORD,MICHIGAN-STATE,Home,70.0,21,16.2,6,92.3,71.1,27,0.6,55,0.545,30,0.164,9,0.667,6,2,200.0,110.8,65.0,13,13,72,1.5,1,0.273,15.0,0.4,6.0,69.0,40,0.607,24.4,19,40.0,0.6,24.0,0.75,6,60.879999999999995,61.333333333333336,58.5172839506173,19.6,19.833333333333332,19.92592592592593,6.4799999999999995,6.75,5.8950617283950635,2.8,2.8333333333333335,2.378600823045268,99.84,95.60000000000001,99.53374485596709,64.12,65.71666666666667,64.56872427983541,24.0,25.166666666666668,23.419753086419757,0.5242000000000001,0.5236666666666667,0.5275349794238684,66.2,67.0,70.25102880658437,0.487,0.48333333333333334,0.48641152263374493,32.2,32.333333333333336,33.991769547325106,0.3214,0.3546666666666667,0.29700823045267494,20.6,23.333333333333332,20.444444444444446,0.6444,0.6406666666666666,0.6651028806584363,13.0,14.666666666666666,13.267489711934159,0.8,0.6666666666666666,1.037037037037037,200.0,200.0,200.0,112.36000000000001,114.36666666666667,116.13950617283952,47.68,48.46666666666667,47.246913580246925,13.6,14.5,14.48971193415638,20.0,20.166666666666668,21.028806584362144,82.4,84.83333333333333,86.97119341563787,9.919999999999998,9.766666666666666,11.676543209876545,7.4,7.333333333333333,8.884773662551442,0.2374,0.2588333333333333,0.26553497942386833,16.0,17.666666666666668,18.864197530864203,0.2888,0.292,0.28604115226337457,5.0,5.5,5.720164609053499,55.64,56.78333333333333,55.04444444444445,37.6,39.666666666666664,37.909465020576135,0.5444,0.545,0.5469094650205762,15.84,15.366666666666667,14.289300411522639,14.0,13.833333333333334,12.991769547325106,50.2,49.333333333333336,51.38683127572017,0.5412,0.5436666666666666,0.5506172839506174,27.2,26.833333333333332,28.271604938271608,0.8694,0.8911666666666666,0.8379259259259261,3.8,3.3333333333333335,3.9300411522633745
2009-12-07,"McAlister Field House, Charleston, South Carolina",MICHIGAN-STATE,CITADEL,Away,56.5,13,13.8,4,101.8,74.2,23,0.607,42,0.548,23,0.667,28,0.643,18,2,200.0,125.5,60.0,12,13,69,9.1,5,0.262,11.0,0.455,5.0,68.6,35,0.624,18.1,11,31.0,0.581,18.0,0.778,7,62.879999999999995,62.57142857142857,62.3448559670782,20.8,20.0,20.283950617283956,7.8,8.1,9.330041152263377,3.0,3.2857142857142856,3.585733882030179,99.85999999999999,95.12857142857142,97.12249657064473,65.0,66.48571428571428,66.74581618655694,23.2,25.428571428571427,24.613168724279838,0.5512,0.5345714285714286,0.5516899862825789,65.8,65.28571428571429,65.16735253772292,0.5082000000000001,0.49214285714285716,0.5059410150891633,33.2,32.0,32.66117969821674,0.2454,0.32742857142857146,0.25267215363511664,16.2,21.285714285714285,16.629629629629633,0.6358,0.6444285714285715,0.6657352537722909,9.8,13.428571428571429,10.844993141289441,1.2,0.8571428571428571,1.3580246913580247,200.0,200.0,200.0,115.04,113.85714285714286,114.35967078189302,51.4,50.82857142857143,53.164609053497955,13.8,14.285714285714286,13.993141289437588,18.2,19.142857142857142,18.352537722908096,81.8,83.0,81.98079561042525,8.66,8.585714285714285,8.284362139917697,6.4,6.428571428571429,6.256515775034295,0.25339999999999996,0.26085714285714284,0.26802331961591225,16.8,17.285714285714285,17.576131687242803,0.31420000000000003,0.30742857142857144,0.3240274348422497,5.6,5.571428571428571,5.8134430727023325,57.65999999999999,58.528571428571425,59.6962962962963,37.0,39.714285714285715,38.606310013717426,0.5612,0.5538571428571428,0.5669396433470508,16.3,16.657142857142855,17.65953360768176,13.8,14.571428571428571,14.99451303155007,49.0,48.0,47.59122085048011,0.5656,0.5517142857142857,0.5670781893004117,27.6,26.428571428571427,26.847736625514408,0.8193999999999999,0.8709999999999999,0.8086172839506175,4.6,3.7142857142857144,4.62002743484225
2009-12-10,"Breslin Events Center, East Lansing, Michigan",OAKLAND,MICHIGAN-STATE,Home,55.6,20,5.3,2,79.2,69.2,27,0.594,64,0.563,36,0.281,18,0.667,12,2,200.0,122.2,46.4,13,18,88,16.7,12,0.203,13.0,0.308,4.0,59.7,40,0.606,14.3,12,51.0,0.627,32.0,0.8,8,59.52,61.8125,60.39657064471881,19.0,19.125,17.855967078189305,8.7,8.8125,10.820027434842252,3.0,3.375,3.72382258802012,101.72,95.9625,98.68166438042982,66.9,67.45,69.2305441243713,23.0,25.125,24.07544581618656,0.5756,0.543625,0.5701266575217193,61.0,62.375,57.44490169181528,0.5268,0.49912500000000004,0.5199606767261089,31.8,30.875,29.440786465477828,0.3,0.369875,0.3907814357567444,16.6,22.125,20.419753086419753,0.6798,0.64425,0.658156835848194,11.2,14.0,13.229995427526294,1.6,1.0,1.57201646090535,200.0,200.0,200.0,117.76000000000002,115.3125,118.07311385459535,55.4,51.975,55.443072702331975,13.4,14.0,13.32876085962506,17.8,18.375,16.56835848193873,80.6,81.25,77.6538637402835,8.98,8.65,8.556241426611798,6.4,6.25,5.837677183356197,0.2542,0.261,0.2660155464106082,15.6,16.5,15.384087791495203,0.35819999999999996,0.325875,0.36768495656149985,5.8,5.5,5.542295381801555,61.1,59.787499999999994,62.6641975308642,36.4,39.125,37.40420667581162,0.5902,0.562625,0.5859597622313673,18.48,16.8375,17.806355738454506,14.8,14.125,13.663008687700048,45.4,45.875,42.06081390032008,0.5756,0.555375,0.5717187928669412,26.0,25.375,23.898491083676273,0.775,0.859375,0.798411522633745,5.4,4.125,5.413351623228166
2009-12-19,"Breslin Events Center, East Lansing, Michigan",IPFW,MICHIGAN-STATE,Home,78.6,22,8.8,3,77.3,70.0,28,0.526,57,0.491,28,0.439,25,0.8,20,2,200.0,106.7,35.5,11,18,80,14.7,11,0.175,10.0,0.4,4.0,54.9,39,0.581,17.1,14,47.0,0.511,24.0,0.818,9,59.02,61.12222222222223,58.79771376314587,19.4,19.22222222222222,18.57064471879287,9.219999999999999,8.422222222222222,8.980018289894836,3.2,3.2222222222222223,3.1492150586800802,95.85999999999999,94.1,92.18777625361989,68.24000000000001,67.64444444444445,69.22036274958087,24.0,25.333333333333332,25.05029721079104,0.5860000000000001,0.5492222222222223,0.5780844383478129,62.0,62.55555555555556,59.6299344612102,0.5344,0.5062222222222222,0.5343071178174059,32.8,31.444444444444443,31.627190976985222,0.3088,0.36000000000000004,0.35418762383782965,17.4,21.666666666666668,19.613168724279838,0.6704000000000001,0.6467777777777778,0.6611045572321294,11.6,13.777777777777779,12.819996951684198,1.8,1.1111111111111112,1.7146776406035666,200.0,200.0,200.0,121.35999999999999,116.07777777777778,119.44874256973024,50.84,51.355555555555554,52.42871513488798,12.8,13.88888888888889,13.219173906416707,17.8,18.333333333333332,17.04557232129249,83.4,82.0,81.10257582685567,10.92,9.544444444444444,11.2708276177412,7.8,6.888888888888889,7.891784788904132,0.261,0.25455555555555553,0.24501036427373885,16.2,16.11111111111111,14.589391860996802,0.3798,0.3238888888888889,0.34778997104099996,6.2,5.333333333333333,5.028196921201037,59.94,59.77777777777778,61.6761316872428,36.8,39.22222222222222,38.26947111720775,0.5986,0.5674444444444444,0.5926398414875782,16.12,16.555555555555557,16.637570492303006,12.8,13.88888888888889,13.1086724584667,45.8,46.44444444444444,45.040542600213385,0.5826,0.5633333333333334,0.5901458619112941,26.6,26.11111111111111,26.598994055784182,0.775,0.8527777777777777,0.7989410150891634,6.2,4.555555555555555,6.275567748818778
2009-12-22,"Frank Erwin Center, Austin, Texas",MICHIGAN-STATE,TEXAS,Home,52.2,12,0.0,0,105.3,62.5,19,0.5,52,0.442,23,0.385,20,0.8,16,3,200.0,90.7,30.8,4,18,68,10.7,8,0.288,15.0,0.4,6.0,46.0,23,0.553,26.6,22,37.0,0.459,17.0,0.75,9,61.55999999999999,62.870000000000005,65.39847584209724,18.4,19.5,19.713763145861915,9.68,8.459999999999999,8.920012193263226,3.4,3.2,3.0994767057867203,92.94,92.42,87.22518416907994,68.9,67.88,69.48024183305392,24.8,25.6,26.033531473860695,0.554,0.5469,0.560722958898542,59.4,62.0,58.753289640806805,0.5154,0.5046999999999999,0.5198714118782707,30.2,31.1,30.418127317990148,0.3508,0.3679,0.38245841589188645,19.2,22.0,21.408779149519894,0.7054,0.6621,0.7074030381547529,13.6,14.4,15.2133313011228,2.0,1.2,1.8097850937357114,200.0,200.0,200.0,114.05999999999999,115.14000000000001,115.1991617131535,49.82000000000001,49.769999999999996,46.78581008992532,12.8,13.6,12.479449270944471,17.2,18.3,17.36371488086166,78.2,81.8,80.73505055123712,12.24,10.059999999999999,12.413885078494133,8.8,7.3,8.927856525936088,0.2332,0.2466,0.22167357618249256,13.8,15.5,13.05959457399787,0.33259999999999995,0.3315,0.36519331402733335,4.2,5.2,4.685464614134025,60.160000000000004,59.29,59.417421124828536,37.6,39.2,38.51298074480517,0.5782,0.5688,0.5887598943250522,17.04,16.61,16.79171366153534,13.4,13.9,13.4057816389778,45.6,46.5,45.69369506680893,0.5721999999999999,0.5580999999999999,0.5637639079408627,26.0,25.9,25.732662703856125,0.772,0.8493,0.8052940100594422,7.0,5.0,7.183711832545852
2009-12-30,"Breslin Events Center, East Lansing, Michigan",TEXAS-ARLINGTON,MICHIGAN-STATE,Home,67.7,21,9.4,3,93.2,66.7,19,0.566,61,0.508,31,0.426,26,0.692,18,3,200.0,119.2,51.6,15,17,87,13.7,10,0.328,20.0,0.35,7.0,58.6,34,0.593,17.2,15,41.0,0.585,24.0,0.769,10,62.58,61.9,60.998983894731495,17.6,18.818181818181817,17.142508763907944,8.82,7.6909090909090905,5.946674795508818,3.0,2.909090909090909,2.066317803857814,91.17999999999999,93.5909090909091,93.25012277938663,69.4,67.39090909090909,67.15349455536929,24.8,25.0,23.689020982573798,0.5654,0.5426363636363637,0.540481972599028,54.0,61.09090909090909,56.50219309387121,0.5178,0.499,0.4939142745855138,28.0,30.363636363636363,27.945418211993434,0.3872,0.3694545454545455,0.383305610594591,20.0,21.818181818181817,20.93918609967993,0.7154,0.6746363636363637,0.7382686921031687,14.4,14.545454545454545,15.475554200748533,2.2,1.3636363636363635,2.2065233958238077,200.0,200.0,200.0,111.17999999999999,112.91818181818181,107.03277447543567,47.54,48.04545454545455,41.45720672661688,10.6,12.727272727272727,9.65296618062965,16.0,18.272727272727273,17.575809920574443,75.4,80.54545454545455,76.49003370082475,10.54,10.118181818181817,11.842590052329422,7.4,7.363636363636363,8.618571017290726,0.24020000000000002,0.25036363636363634,0.2437823841216617,12.8,15.454545454545455,13.706396382665249,0.3926,0.3377272727272727,0.3767955426848889,5.0,5.2727272727272725,5.12364307608935,59.64,58.08181818181818,54.94494741655237,35.4,37.72727272727273,33.34198716320345,0.5942000000000001,0.5673636363636363,0.5768399295500348,20.1,17.51818181818182,20.061142441023563,15.6,14.636363636363637,16.27052109265187,41.2,45.63636363636363,42.79579671120595,0.5556,0.5490909090909091,0.5288426052939085,23.0,25.09090909090909,22.821775135904083,0.7792,0.8402727272727273,0.7868626733729616,7.8,5.363636363636363,7.7891412216972356
2010-01-02,"Welsh-Ryan Arena, Evanston, Illinois",MICHIGAN-STATE,NORTHWESTERN,Away,71.0,22,19.4,7,98.6,68.3,30,0.639,54,0.574,31,0.556,30,0.733,22,3,200.0,128.2,47.8,9,22,91,8.5,6,0.296,16.0,0.438,7.0,60.9,39,0.667,17.2,14,38.0,0.632,24.0,0.786,11,62.120000000000005,62.38333333333333,63.23265592982101,17.6,19.0,18.428339175938632,7.460000000000001,7.833333333333333,7.097783197005879,2.4,2.9166666666666665,2.377545202571876,91.36,93.55833333333334,93.23341518625776,68.52000000000001,67.33333333333333,67.00232970357953,23.2,24.5,22.12601398838253,0.5586,0.5445833333333333,0.5489879817326853,55.2,61.083333333333336,58.00146206258081,0.5104,0.49974999999999997,0.49860951639034257,28.2,30.416666666666668,28.96361214132896,0.4396,0.3741666666666667,0.39753707372972735,23.4,22.166666666666668,22.626124066453286,0.7204,0.6760833333333333,0.7228457947354459,16.8,14.833333333333334,16.317036133832357,2.4,1.5,2.471015597215872,200.0,200.0,200.0,112.86000000000001,113.44166666666666,111.08851631695713,44.86,48.34166666666667,44.838137817744595,11.0,12.916666666666666,11.435310787086433,16.8,18.166666666666668,17.383873280382964,78.4,81.08333333333333,79.99335580054984,12.98,10.416666666666666,12.461726701552948,9.2,7.583333333333333,9.079047344860484,0.2512,0.2568333333333333,0.27185492274777445,13.8,15.833333333333334,15.804264255110166,0.38260000000000005,0.33875000000000005,0.3678636951232593,5.2,5.416666666666667,5.749095384059567,57.56,58.125,56.16329827770158,34.2,37.416666666666664,33.56132477546897,0.5913999999999999,0.5695,0.5822266197000232,18.660000000000004,17.491666666666667,19.107428294015712,14.8,14.666666666666666,15.847014061767913,41.4,45.25,42.19719780747064,0.5526,0.5520833333333334,0.5475617368626057,23.0,25.0,23.21451675726939,0.783,0.8343333333333334,0.7809084489153078,8.6,5.75,8.526094147798158
2010-01-06,"Breslin Events Center, East Lansing, Michigan",WISCONSIN,MICHIGAN-STATE,Home,68.8,11,3.6,1,78.3,81.8,28,0.405,42,0.381,16,0.714,30,0.667,20,3,200.0,90.0,39.3,10,15,54,5.0,3,0.095,4.0,0.5,2.0,62.3,38,0.48,20.2,14,38.0,0.368,14.0,0.8,12,65.02000000000001,63.04615384615385,65.82177061988068,19.4,19.23076923076923,19.61889278395909,8.580000000000002,8.723076923076924,11.198522131337253,3.0,3.230769230769231,3.9183634683812505,90.72,93.94615384615385,95.0222767908385,67.34,67.4076923076923,67.43488646905303,24.6,24.923076923076923,24.750675992255022,0.5650000000000001,0.5518461538461539,0.5789919878217902,57.6,60.53846153846154,56.66764137505388,0.5156,0.5054615384615384,0.5237396775935617,29.8,30.46153846153846,29.642408094219306,0.41740000000000005,0.3881538461538462,0.45035804915315164,23.8,22.76923076923077,25.084082710968858,0.7384000000000001,0.6804615384615385,0.7262305298236306,17.6,15.384615384615385,18.211357422554904,2.6,1.6153846153846154,2.647343731477248,200.0,200.0,200.0,113.4,114.57692307692308,116.79234421130477,42.42,48.3,45.82542521182973,10.4,12.615384615384615,10.62354052472429,18.6,18.46153846153846,18.92258218692198,82.8,81.84615384615384,83.66223720036656,12.86,10.26923076923077,11.141151134368634,9.4,7.461538461538462,8.05269822990699,0.258,0.25984615384615384,0.27990328183184965,14.8,15.846153846153847,15.869509503406778,0.37920000000000004,0.3463846153846154,0.39124246341550617,5.6,5.538461538461538,6.166063589373045,56.02,58.33846153846154,57.74219885180106,35.0,37.53846153846154,35.37421651697932,0.6,0.5770000000000001,0.6104844131333489,18.48,17.46923076923077,18.47161886267714,15.4,14.615384615384615,15.231342707845275,42.8,44.69230769230769,40.798131871647094,0.5628,0.5582307692307692,0.5757078245750704,24.2,24.923076923076923,23.47634450484626,0.7846,0.8306153846153846,0.7826056326102052,9.4,6.153846153846154,9.350729431865439
2010-01-09,"Carver-Hawkeye Arena, Iowa City, Iowa",MICHIGAN-STATE,IOWA,Away,59.3,16,0.0,0,82.8,75.8,25,0.592,49,0.551,27,0.347,17,0.765,13,3,200.0,110.9,52.2,12,14,71,7.8,5,0.224,11.0,0.364,4.0,66.1,37,0.622,24.2,18,38.0,0.605,23.0,0.812,13,67.66,63.457142857142856,66.81451374658712,17.6,18.642857142857142,16.745928522639396,8.24,8.357142857142858,8.665681420891502,2.8,3.0714285714285716,2.9455756455875006,90.53999999999999,92.82857142857142,89.44818452722568,69.85999999999999,68.43571428571428,72.22325764603536,24.8,25.142857142857142,25.833783994836683,0.5272,0.5413571428571429,0.5209946585478602,53.2,59.214285714285715,51.77842758336926,0.47919999999999996,0.49657142857142855,0.4761597850623745,25.8,29.428571428571427,25.094938729479537,0.504,0.4114285714285714,0.5382386994354345,26.2,23.285714285714285,26.722721807312574,0.7384000000000001,0.6795,0.7064870198824205,19.2,15.714285714285714,18.807571615036604,2.8,1.7142857142857142,2.764895820984832,200.0,200.0,200.0,106.96,112.82142857142857,107.86156280753652,41.0,47.65714285714286,43.650283474553156,9.8,12.428571428571429,10.415693683149527,18.0,18.214285714285715,17.61505479128132,76.0,79.85714285714286,73.77482480024437,10.52,9.892857142857142,9.094100756245757,7.6,7.142857142857143,6.368465486604661,0.2364,0.24807142857142855,0.21826885455456646,13.0,15.0,11.913006335604521,0.4176,0.3573571428571429,0.42749497561033745,5.2,5.285714285714286,4.777375726248698,56.54,58.62142857142857,59.26146590120071,34.6,37.57142857142857,36.249477677986214,0.5748,0.5700714285714286,0.5669896087555659,19.66,17.664285714285715,19.047745908451425,15.8,14.571428571428571,14.820895138563518,40.2,44.214285714285715,39.86542124776473,0.511,0.5446428571428571,0.506471883050047,20.6,24.142857142857142,20.31756300323084,0.7846,0.8284285714285715,0.7884037550734702,10.2,6.571428571428571,10.233819621243626
