date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-12-02,"Island Federal Credit Union, Stony Brook, New York",Manhattan,Stony Brook,Home,64.7,11,9.7,3,100.0,69.0,20,0.347,59,0.288,17,0.169,10,0.6,6,3,200,72.3,23.8,10,17,47,10.8,7,0.339,20,0.35,7,42.3,30,0.369,15.9,12,39,0.256,10,0.5,3,61.8,61.8,63.92345679012347,13.6,13.6,14.382716049382719,10.68,10.68,10.869135802469138,3.4,3.4,3.641975308641976,93.46000000000001,93.46000000000001,95.71851851851854,71.7,71.7,67.0530864197531,20.8,20.8,19.20987654320988,0.4582,0.4582,0.4675555555555556,56.4,56.4,56.97530864197532,0.387,0.387,0.39193827160493844,21.8,21.8,22.308641975308642,0.4062,0.4062,0.3936666666666668,22.0,22.0,21.259259259259263,0.6334,0.6334,0.6261975308641976,15.0,15.0,14.555555555555557,0.8,0.8,1.037037037037037,200.0,200.0,200.0,93.16,93.16,93.95432098765434,26.8,26.8,26.29876543209877,9.6,9.6,9.481481481481483,23.8,23.8,24.444444444444443,66.4,66.4,67.53086419753087,12.7,12.7,12.82098765432099,9.2,9.2,9.333333333333336,0.461,0.461,0.48044444444444456,25.8,25.8,27.1604938271605,0.304,0.304,0.31046913580246915,7.8,7.8,8.358024691358025,47.64,47.64,45.18518518518519,30.4,30.4,28.69135802469136,0.49640000000000006,0.49640000000000006,0.5036543209876544,16.26,16.26,16.740740740740744,13.0,13.0,13.506172839506174,30.6,30.6,29.81481481481482,0.4572,0.4572,0.4650246913580247,14.0,14.0,13.95061728395062,0.8034000000000001,0.8034000000000001,0.7617777777777779,2.2,2.2,2.358024691358025
2019-12-07,"Rose Hill Gym, Bronx, New York",Manhattan,Fordham,Away,52.6,10,5.1,2,75.7,75.6,31,0.404,57,0.333,19,0.246,14,0.571,8,3,225,77.1,28.2,11,18,54,7.1,5,0.579,33,0.242,8,52.5,42,0.424,22.2,18,24,0.458,11,0.571,4,60.58,62.28333333333333,64.18230452674898,12.4,13.166666666666666,13.255144032921812,9.86,10.516666666666667,10.47942386831276,3.2,3.3333333333333335,3.427983539094651,95.42,94.55,97.1456790123457,69.2,71.25,67.70205761316873,20.4,20.666666666666668,19.473251028806587,0.4326,0.43966666666666665,0.4273703703703704,56.4,56.833333333333336,57.65020576131688,0.36319999999999997,0.3705,0.35729218106995897,20.4,21.0,20.53909465020576,0.3146,0.3666666666666667,0.3187777777777779,16.6,20.0,17.506172839506178,0.5966,0.6278333333333334,0.6174650205761317,10.4,13.5,11.703703703703706,1.4,1.1666666666666667,1.691358024691358,200.0,200.0,200.0,86.88000000000001,89.68333333333334,86.73621399176956,26.160000000000004,26.3,25.46584362139918,9.6,9.666666666666666,9.654320987654323,22.2,22.666666666666668,21.962962962962962,58.8,63.166666666666664,60.68724279835392,10.959999999999999,12.383333333333333,12.14732510288066,7.4,8.833333333333334,8.555555555555557,0.417,0.4406666666666667,0.4332962962962964,23.2,24.833333333333332,24.77366255144034,0.3256,0.31166666666666665,0.32364609053497945,7.6,7.666666666666667,7.905349794238684,46.1,46.75,44.223456790123464,30.0,30.333333333333332,29.12757201646091,0.45919999999999994,0.4751666666666667,0.45876954732510294,16.12,16.2,16.460493827160498,12.4,12.833333333333334,13.00411522633745,33.2,32.0,32.876543209876544,0.3854,0.42366666666666664,0.39534979423868316,12.8,13.333333333333334,12.63374485596708,0.7034,0.7528333333333334,0.6745185185185186,2.6,2.3333333333333335,2.57201646090535
2019-12-14,"Draddy Gymnasium, Riverdale, New York",Western Michigan,Manhattan,Away,36.8,7,11.1,4,85.5,82.4,28,0.459,49,0.388,19,0.429,21,0.619,13,4,200,84.1,29.4,10,23,58,11.6,8,0.408,20,0.35,7,55.9,38,0.492,24.6,19,29,0.414,12,0.5,4,61.1,60.9,60.32153635116599,12.4,12.714285714285714,12.170096021947877,8.819999999999999,9.742857142857144,8.686282578875174,3.0,3.142857142857143,2.9519890260631008,95.1,91.85714285714286,89.9971193415638,67.74000000000001,71.87142857142858,70.33470507544583,20.8,22.142857142857142,23.315500685871058,0.4298,0.43457142857142855,0.4195802469135803,56.8,56.857142857142854,57.43347050754459,0.35700000000000004,0.36514285714285716,0.34919478737997267,20.2,20.714285714285715,20.026063100137176,0.2948,0.3494285714285715,0.2945185185185186,15.6,19.142857142857142,16.337448559670786,0.595,0.6197142857142858,0.6019766803840878,9.8,12.714285714285714,10.469135802469138,2.0,1.4285714285714286,2.1275720164609053,205.0,203.57142857142858,208.33333333333334,85.02,87.88571428571429,83.52414266117971,26.080000000000002,26.571428571428573,26.37722908093279,9.8,9.857142857142858,10.102880658436217,21.4,22.0,20.641975308641975,58.2,61.857142857142854,58.45816186556929,11.16,11.628571428571428,10.464883401920442,7.6,8.285714285714286,7.370370370370372,0.45999999999999996,0.4604285714285714,0.4818641975308643,25.8,26.0,27.51577503429356,0.31399999999999995,0.3017142857142857,0.29643072702331963,8.0,7.714285714285714,7.93689986282579,45.46,47.57142857142857,46.982304526748976,30.6,32.0,33.41838134430728,0.45499999999999996,0.46785714285714286,0.4471796982167353,17.84,17.057142857142857,18.373662551440333,14.0,13.571428571428571,14.669410150891634,31.0,30.857142857142858,29.917695473251033,0.397,0.42857142857142855,0.41623319615912213,12.2,13.0,12.089163237311388,0.6176,0.7268571428571429,0.6400123456790124,3.0,2.5714285714285716,3.0480109739369
2019-12-22,"Mack Sports Complex, Hempstead, New York",Manhattan,Hofstra,Home,59.1,13,3.8,1,92.6,80.8,21,0.446,56,0.393,22,0.089,5,0.2,1,5,200,75.0,17.1,6,17,51,10.3,7,0.268,15,0.4,6,44.3,27,0.437,19.4,14,41,0.39,16,0.444,4,56.64,57.8875,52.48102423411066,11.2,12.0,10.446730681298586,9.04,9.9125,9.49085505258345,3.2,3.25,3.3013260173754007,91.62,91.0625,88.49807956104254,69.22,73.1875,74.35647005029722,22.8,22.875,24.877000457247373,0.44000000000000006,0.437625,0.4327201646090536,54.6,55.875,54.6223136716964,0.3612,0.368,0.3621298582533151,19.6,20.5,19.684042066758117,0.33399999999999996,0.359375,0.33934567901234575,17.0,19.375,17.891632373113858,0.6046,0.619625,0.6076511202560586,10.8,12.75,11.312757201646093,2.6,1.75,2.751714677640604,205.0,203.125,205.55555555555557,85.08,87.4125,83.71609510745314,24.18,26.925,27.38481938728853,9.0,9.875,10.068587105624145,21.2,22.125,21.42798353909465,58.4,61.375,58.30544124371286,10.84,11.625,10.843255601280294,7.4,8.25,7.580246913580249,0.4716,0.45387500000000003,0.4572427983539096,25.6,25.25,25.01051668952904,0.3364,0.30774999999999997,0.31428715134887975,8.4,7.625,7.624599908550527,45.98,48.6125,49.95486968449932,31.8,32.75,34.94558756287152,0.4678,0.470875,0.4621197988111569,19.060000000000002,18.0,20.44910836762689,14.8,14.25,16.112940100594425,29.0,30.625,29.611796982167355,0.39259999999999995,0.42675,0.4154887974394148,11.2,12.875,12.059442158207593,0.5842,0.6985,0.5933415637860083,3.4,2.75,3.3653406492912668
2020-01-03,"Koessler Athletic Center, Buffalo, New York",Manhattan,Canisius,Away,50.0,13,9.8,4,84.8,66.7,26,0.606,47,0.553,26,0.404,19,0.737,14,5,200,89.9,9.1,2,18,71,8.9,7,0.298,14,0.357,5,45.9,28,0.634,30.2,24,33,0.636,21,0.5,5,56.239999999999995,58.022222222222226,54.68734948940711,11.6,12.11111111111111,11.297820454199059,8.379999999999999,9.233333333333333,7.593903368388967,3.0,3.0,2.534217344916934,91.04,91.23333333333333,89.86538637402836,70.9,74.03333333333333,76.5043133668648,22.8,22.666666666666668,23.58466697149825,0.4248,0.4385555555555556,0.4371467764060358,56.8,55.888888888888886,55.0815424477976,0.3598,0.3707777777777778,0.3724199055022101,20.4,20.666666666666668,20.456028044505413,0.2184,0.3293333333333333,0.25589711934156384,12.0,17.77777777777778,13.594421582075906,0.49800000000000005,0.573,0.4717674135040391,6.6,11.444444444444445,7.875171467764063,3.4,2.111111111111111,3.5011431184270694,205.0,202.77777777777777,203.70370370370372,79.47999999999999,86.03333333333333,80.81073007163543,26.18,25.833333333333332,23.956546258192354,9.8,9.444444444444445,8.71239140374943,20.6,21.555555555555557,19.951989026063103,54.8,60.22222222222222,55.87029416247525,9.620000000000001,11.477777777777778,10.66217040085353,6.6,8.11111111111111,7.386831275720166,0.414,0.43322222222222223,0.3941618655692731,23.6,24.11111111111111,21.673677793019362,0.32839999999999997,0.318,0.34285810089925317,7.4,7.444444444444445,7.083066605700352,46.76,48.13333333333333,48.06991312299955,32.6,32.111111111111114,32.29705837524769,0.43879999999999997,0.4671111111111111,0.4537465325407713,20.259999999999998,18.155555555555555,20.09940557841793,15.8,14.222222222222221,15.408626733729617,33.2,31.77777777777778,33.40786465477824,0.4006,0.42266666666666663,0.4069925316262766,13.0,13.222222222222221,13.372961438805063,0.523,0.6702222222222223,0.5435610425240056,3.6,2.888888888888889,3.5768937661941784
2020-01-05,"Gallagher Center, Niagara University, New York",Manhattan,Niagara,Away,78.3,18,8.1,3,96.9,75.8,25,0.482,57,0.404,23,0.316,18,0.667,12,5,200,104.7,32.4,11,13,67,6.3,4,0.404,23,0.391,9,53.7,36,0.511,13.3,10,34,0.412,14,0.545,6,52.64,57.220000000000006,53.12489965960474,10.8,12.2,11.865213636132706,7.9,9.290000000000001,8.329268912259312,2.8,3.1,3.022811563277956,87.72,90.59,88.17692424935225,74.9,73.3,73.23620891124321,25.2,23.0,24.389777980998836,0.4524,0.4553,0.49343118427069055,53.6,55.0,52.387694965198406,0.391,0.389,0.4326132703348068,20.6,21.2,22.304018696336943,0.26739999999999997,0.3368,0.30526474622770927,13.8,17.9,15.39628105471727,0.5454000000000001,0.5894,0.5601782756693594,8.4,11.7,9.916780978509376,4.0,2.4,4.00076207895138,205.0,202.5,202.46913580246917,79.67999999999999,86.42,83.84048671442363,21.52,24.16,19.004364172128238,7.8,8.7,6.474927602499621,18.6,21.2,19.301326017375402,56.2,61.3,60.91352944165017,9.739999999999998,11.22,10.074780267235688,6.8,8.0,7.257887517146777,0.37839999999999996,0.4197,0.3621079103795154,20.4,23.1,19.11578519534624,0.3398,0.32189999999999996,0.3475720672661688,6.6,7.2,6.388711070466902,48.18,47.91,47.34660874866637,33.0,31.7,30.86470558349846,0.47119999999999995,0.4838,0.5138310216938475,22.46,19.36,23.466270385611956,17.4,15.2,18.27241782248641,33.2,31.9,33.27190976985216,0.43079999999999996,0.44399999999999995,0.48332835441751776,14.0,14.0,15.915307625870044,0.503,0.6532,0.5290406950160038,4.0,3.1,4.0512625107961195
2020-01-10,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",Manhattan,Fairfield,Home,39.1,9,6.5,2,111.5,76.2,16,0.51,51,0.451,23,0.216,11,0.727,8,6,200,98.4,7.1,2,21,60,9.8,6,0.392,20,0.3,6,36.7,18,0.534,9.7,6,31,0.548,17,0.5,6,55.36,59.13636363636363,61.51659977306983,12.2,12.727272727272727,13.910142424088471,7.58,9.181818181818182,8.252845941506209,2.8,3.090909090909091,3.015207708851971,87.1,91.16363636363636,91.08461616623484,76.26,73.52727272727272,74.0908059408288,26.2,23.181818181818183,24.593185320665892,0.47940000000000005,0.45772727272727276,0.48962078951379373,53.2,55.18181818181818,53.92512997679894,0.4142,0.3903636363636364,0.4230755135565379,21.8,21.363636363636363,22.53601246422463,0.2968,0.33490909090909093,0.30884316415180624,15.4,17.90909090909091,16.264187369811516,0.5588,0.5964545454545455,0.5957855171129063,9.6,11.727272727272727,10.611187319006252,4.4,2.6363636363636362,4.333841385967586,205.0,202.27272727272728,201.64609053497946,86.16,88.08181818181818,90.79365780961575,23.240000000000002,24.90909090909091,23.469576114752158,8.0,8.909090909090908,7.983285068333082,17.8,20.454545454545453,17.200884011583604,60.2,61.81818181818182,62.94235296110011,8.84,10.772727272727273,8.816520178157127,6.2,7.636363636363637,6.171925011431185,0.39139999999999997,0.4182727272727273,0.3760719402530103,21.0,23.09090909090909,20.41052346356416,0.348,0.3281818181818182,0.36204804484411257,7.0,7.363636363636363,7.2591407136446024,50.459999999999994,48.43636363636363,49.46440583244425,34.2,32.09090909090909,32.57647038899897,0.49960000000000004,0.4862727272727273,0.5128873477958984,21.94,18.80909090909091,20.077513590407975,17.0,14.727272727272727,15.514945214990941,32.2,32.09090909090909,33.514606513234774,0.462,0.44109090909090914,0.4595522362783452,14.8,14.0,15.27687175058003,0.512,0.6433636363636364,0.5343604633440026,4.6,3.3636363636363638,4.70084167386408
2020-01-12,"Draddy Gymnasium, Riverdale, New York",Siena,Manhattan,Home,63.3,19,6.5,2,98.6,63.6,21,0.61,59,0.508,30,0.254,15,0.6,9,6,200,115.7,23.3,7,18,81,10.0,7,0.424,25,0.48,12,44.4,28,0.612,14.4,11,34,0.529,18,0.538,7,52.660000000000004,57.46666666666667,54.04439984871322,12.0,12.416666666666666,12.273428282725648,7.859999999999999,8.958333333333334,7.668563961004139,2.8,3.0,2.6768051392346477,94.26,92.85833333333333,97.88974411082323,76.38,73.75,74.7938706272192,23.2,22.583333333333332,21.728790213777263,0.5006,0.46208333333333335,0.4964138596758625,52.0,54.833333333333336,52.9500866511993,0.4378,0.3954166666666667,0.4323836757043586,22.6,21.5,22.690674976149754,0.2908,0.325,0.2778954427678708,14.8,17.333333333333332,14.509458246541012,0.59,0.6073333333333334,0.6395236780752709,9.6,11.416666666666666,9.740791546004168,5.0,2.9166666666666665,4.889227590645058,200.0,202.08333333333334,201.09739368998632,90.42,88.94166666666666,93.3291052064105,19.02,23.425,18.013050743168108,6.2,8.333333333333334,5.988856712222056,18.4,20.5,18.467256007722405,61.4,61.666666666666664,61.96156864073341,9.379999999999999,10.691666666666668,9.144346785438085,6.4,7.5,6.114616674287457,0.354,0.41608333333333336,0.3813812935020069,18.4,22.833333333333332,20.273682309042776,0.35960000000000003,0.32583333333333336,0.3413653632294084,6.6,7.25,6.839427142429735,47.3,47.458333333333336,45.20960388829617,29.4,30.916666666666668,27.717646925999315,0.5216000000000001,0.49025,0.519924898530599,19.44,18.05,16.618342393605317,14.6,14.0,12.343296809993962,33.6,32.0,32.676404342156516,0.48,0.45,0.48903482418556354,16.0,14.25,15.85124783372002,0.49779999999999996,0.6314166666666666,0.5229069755626684,5.0,3.5833333333333335,5.13389444924272
2020-01-16,"Draddy Gymnasium, Riverdale, New York",Quinnipiac,Manhattan,Home,80.8,21,3.8,1,81.4,85.7,30,0.436,70,0.371,26,0.271,19,0.421,8,6,200,98.6,26.7,12,14,69,12.9,9,0.4,28,0.321,9,52.5,42,0.437,6.0,5,42,0.405,17,0.571,8,57.96,57.91538461538461,57.12959989914215,14.4,12.923076923076923,14.515618855150432,6.94,8.76923076923077,7.279042640669427,2.4,2.923076923076923,2.451203426156432,96.88,93.30000000000001,98.12649607388215,72.62,72.96923076923078,71.06258041814614,21.8,22.46153846153846,21.485860142518177,0.5307999999999999,0.4734615384615385,0.534275906450575,54.0,55.15384615384615,54.96672443413287,0.46180000000000004,0.4040769230769231,0.4575891171362391,24.8,22.153846153846153,25.127116650766503,0.25579999999999997,0.31953846153846155,0.2699302951785806,13.6,17.153846153846153,14.672972164360676,0.5862,0.6067692307692307,0.6263491187168473,8.8,11.23076923076923,9.493861030669446,5.4,3.1538461538461537,5.259485060430039,200.0,201.92307692307693,200.73159579332423,96.74,91.0,100.786070137607,17.8,23.415384615384614,19.775367162112072,5.6,8.23076923076923,6.325904474814704,17.4,20.307692307692307,18.311504005148272,66.0,63.15384615384615,68.30771242715562,9.059999999999999,10.63846153846154,9.429564523625391,6.2,7.461538461538462,6.409744449524972,0.3572,0.4166923076923077,0.3955875290013379,19.4,23.0,21.849121539361853,0.3856,0.3376923076923077,0.3875769088196056,7.6,7.615384615384615,8.559618094953159,45.0,47.223076923076924,44.93973592553078,27.4,30.692307692307693,27.811764617332877,0.5456000000000001,0.49961538461538463,0.5506165990203994,17.4,17.76923076923077,15.878894929070213,13.0,13.76923076923077,11.895531206662643,34.6,32.15384615384615,33.11760289477101,0.503,0.4560769230769231,0.5023565494570423,17.2,14.538461538461538,16.567498555813348,0.5054000000000001,0.6242307692307693,0.5279379837084457,5.6,3.8461538461538463,5.75592963282848
2020-01-18,"Draddy Gymnasium, Riverdale, New York",Monmouth,Manhattan,Away,70.0,14,12.2,5,91.5,100.0,26,0.404,57,0.351,20,0.404,23,0.522,12,7,200,81.7,17.1,7,19,58,2.8,2,0.421,24,0.25,6,49.3,33,0.427,13.0,10,33,0.424,14,0.533,8,62.3,59.550000000000004,65.01973326609476,16.0,13.5,16.677079236766957,6.94,8.414285714285715,6.119361760446285,2.4,2.7857142857142856,1.9674689507709546,94.64,92.45,92.55099738258812,73.6,73.87857142857142,75.9417202787641,23.6,23.0,24.323906761678785,0.5288,0.4707857142857143,0.50151727096705,56.8,56.214285714285715,59.977816289421924,0.4574,0.40171428571428575,0.4287260780908261,25.6,22.428571428571427,25.41807776717767,0.29219999999999996,0.31607142857142856,0.27028686345238706,16.4,17.285714285714285,16.115314776240453,0.6304,0.5934999999999999,0.5578994124778982,10.2,11.0,8.995907353779632,5.6,3.357142857142857,5.5063233736200266,200.0,201.78571428571428,200.48773052888282,101.46000000000001,91.54285714285713,100.057380091738,19.72,23.650000000000002,22.083578108074715,6.8,8.5,8.21726964987647,16.8,19.857142857142858,16.874336003432184,69.6,63.57142857142857,68.53847495143708,9.58,10.799999999999999,10.586376349083594,6.6,7.571428571428571,7.2731629663499815,0.38360000000000005,0.41550000000000004,0.3970583526675586,22.0,23.357142857142858,23.89941435957457,0.3698,0.3365,0.3653846058797371,8.2,7.714285714285714,8.706412063302107,46.64,47.6,47.45982395035386,30.4,31.5,32.541176411555256,0.5456000000000001,0.49514285714285716,0.5127443993469329,14.719999999999999,16.928571428571427,12.585929952713476,11.2,13.142857142857142,9.597020804441762,34.8,32.857142857142854,36.078401929847345,0.506,0.4524285714285714,0.46990436630469495,17.4,14.714285714285714,16.711665703875568,0.5307999999999999,0.6204285714285714,0.5422919891389638,6.4,4.142857142857143,6.50395308855232
