date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-01,"Assembly Hall, Bloomington, Indiana",MARYLAND,INDIANA,Away,57.7,15,13.6,6,88.3,58.3,29,0.518,55,0.473,26,0.564,31,0.742,23,2,200.0,103.9,36.7,10,19,80,10.4,8,0.218,12.0,0.417,5.0,50.0,39,0.574,20.8,18,43.0,0.488,21.0,0.714,5,56.019999999999996,56.019999999999996,52.77901234567902,16.4,16.4,15.246913580246916,11.16,11.16,9.981481481481483,3.6,3.6,3.3209876543209886,85.62,85.62,93.46913580246914,62.92,62.92,61.93950617283952,23.0,23.0,21.98765432098766,0.5052000000000001,0.5052000000000001,0.5039382716049384,60.4,60.4,59.530864197530875,0.4688,0.4688,0.46679012345679016,28.4,28.4,27.938271604938276,0.3378,0.3378,0.3436296296296297,19.2,19.2,19.320987654320987,0.6682,0.6682,0.648888888888889,12.4,12.4,12.098765432098766,0.6,0.6,0.8888888888888888,200.0,200.0,200.0,105.42,105.42,104.66419753086421,31.8,31.8,30.40493827160494,8.8,8.8,8.728395061728397,15.8,15.8,17.08641975308642,73.6,73.6,72.40740740740742,16.279999999999998,16.279999999999998,16.00246913580247,11.4,11.4,11.111111111111114,0.2232,0.2232,0.22992592592592598,13.4,13.4,13.617283950617285,0.3338,0.3338,0.3301358024691359,4.4,4.4,4.4320987654321,48.239999999999995,48.239999999999995,46.7,31.8,31.8,30.71604938271605,0.53,0.53,0.5269629629629631,13.5,13.5,13.024691358024693,10.8,10.8,10.23456790123457,47.0,47.0,45.91358024691359,0.5096,0.5096,0.5094814814814815,24.0,24.0,23.506172839506178,0.8934000000000001,0.8934000000000001,0.8445555555555557,2.8,2.8,3.0617283950617287
2009-12-06,"Verizon Center, Washington, District of Columbia",VILLANOVA,MARYLAND,Away,50.0,14,11.1,4,121.8,50.0,23,0.613,53,0.528,28,0.509,27,0.778,21,3,200.0,110.3,26.9,7,23,86,9.0,7,0.358,19.0,0.474,9.0,41.7,30,0.653,22.7,19,34.0,0.559,19.0,0.625,5,53.339999999999996,56.300000000000004,54.41934156378602,14.0,16.166666666666668,15.164609053497946,11.559999999999999,11.566666666666668,11.187654320987654,3.8,4.0,4.2139917695473255,89.85999999999999,86.06666666666666,91.74609053497943,63.35999999999999,62.15,60.72633744855968,23.6,24.0,24.32510288065844,0.49939999999999996,0.5073333333333333,0.5086255144032923,56.4,59.5,58.02057613168725,0.4619999999999999,0.46950000000000003,0.4688600823045268,26.0,28.0,27.29218106995885,0.4266,0.3755,0.41708641975308647,23.6,21.166666666666668,23.213991769547327,0.6609999999999999,0.6805,0.679925925925926,15.6,14.166666666666666,15.732510288065845,1.0,0.8333333333333334,1.2592592592592593,200.0,200.0,200.0,102.78,105.16666666666667,104.40946502057616,30.660000000000004,32.61666666666667,32.503292181069966,8.6,9.0,9.1522633744856,16.2,16.333333333333332,17.72427983539095,71.8,74.66666666666667,74.93827160493828,14.419999999999998,15.299999999999999,14.134979423868316,10.0,10.833333333333334,10.074074074074076,0.22139999999999999,0.22233333333333336,0.22595061728395066,12.4,13.166666666666666,13.078189300411525,0.3466,0.3476666666666666,0.3590905349794239,4.2,4.5,4.621399176954734,48.239999999999995,48.53333333333333,47.800000000000004,32.2,33.0,33.477366255144034,0.5326000000000001,0.5373333333333333,0.542641975308642,15.02,14.716666666666667,15.616460905349797,12.0,12.0,12.823045267489714,44.0,46.333333333333336,44.942386831275726,0.4968,0.506,0.5023209876543211,21.8,23.5,22.67078189300412,0.8362,0.8635,0.8010370370370372,3.6,3.1666666666666665,3.7078189300411526
2009-12-12,"Comcast Center, College Park, Maryland",EASTERN-KENTUCKY,MARYLAND,Home,62.1,18,17.1,6,105.9,80.6,27,0.524,62,0.468,29,0.355,22,0.818,18,3,200.0,122.1,37.5,10,15,83,2.9,2,0.274,17.0,0.412,7.0,58.7,37,0.573,11.2,9,45.0,0.489,22.0,0.667,6,54.06,55.4,52.94622770919068,14.2,15.857142857142858,14.776406035665298,9.78,11.5,11.15843621399177,3.4,4.0,4.142661179698218,102.03999999999999,91.17142857142858,101.76406035665295,60.86,60.41428571428571,57.150891632373124,23.4,23.857142857142858,23.883401920438963,0.5296000000000001,0.5224285714285715,0.5434170096021949,54.0,58.57142857142857,56.34705075445817,0.4814,0.4778571428571428,0.4885733882030179,26.0,28.0,27.528120713305903,0.47919999999999996,0.3945714285714286,0.447724279835391,25.8,22.0,24.47599451303155,0.679,0.6944285714285714,0.7126172839506174,17.6,15.142857142857142,17.4883401920439,1.6,1.1428571428571428,1.8395061728395063,200.0,200.0,200.0,104.25999999999999,105.89999999999999,106.37297668038411,26.619999999999997,31.8,30.63552812071331,7.6,8.714285714285714,8.434842249657066,18.8,17.285714285714285,19.482853223593967,74.8,76.28571428571429,78.62551440329219,12.74,14.4,12.423319615912211,9.0,10.285714285714286,9.049382716049385,0.256,0.24171428571428571,0.26996707818930044,13.8,14.0,15.052126200274351,0.3748,0.3657142857142857,0.3973936899862826,5.2,5.142857142857143,6.08093278463649,45.68,47.55714285714286,45.76666666666667,31.0,32.57142857142857,32.31824417009602,0.5654000000000001,0.5538571428571429,0.5794279835390947,16.3,15.857142857142858,17.977640603566535,13.0,13.0,14.882030178326477,40.2,44.57142857142857,41.29492455418382,0.518,0.5135714285714286,0.5212139917695475,20.8,22.857142857142858,21.447187928669415,0.7612,0.8294285714285714,0.7423580246913581,4.2,3.4285714285714284,4.138545953360769
2009-12-22,"Comcast Center, College Park, Maryland","Winston-Salem
			",MARYLAND,Home,66.7,22,13.6,6,75.3,64.4,29,0.672,58,0.569,33,0.483,28,0.714,20,3,200.0,134.2,36.4,8,16,98,16.4,12,0.31,18.0,0.667,12.0,55.2,37,0.687,11.3,9,40.0,0.525,21.0,0.7,7,51.14,56.2375,55.99748513946045,13.2,16.125,15.8509373571102,11.2,12.2,13.138957475994514,4.2,4.25,4.761774119798812,107.5,93.0125,103.1427069044353,61.82000000000001,62.9375,64.96726108824875,23.8,24.25,24.92226794695931,0.5118,0.522625,0.53694467306813,55.8,59.0,58.23136716963878,0.46180000000000004,0.476625,0.4817155921353453,25.8,28.125,28.018747142203935,0.4633999999999999,0.389625,0.4168161865569273,25.6,22.0,23.6506630086877,0.6948,0.709875,0.7477448559670783,17.8,15.5,17.658893461362602,2.2,1.375,2.226337448559671,200.0,200.0,200.0,105.25999999999999,107.925,111.61531778692276,30.639999999999997,32.5125,32.923685413808876,8.8,8.875,8.956561499771379,19.0,17.0,17.988568815729312,75.0,77.125,80.08367626886147,10.18,12.9625,9.248879743941476,7.2,9.25,6.699588477366257,0.2692,0.24575,0.27131138545953365,15.0,14.375,15.701417466849568,0.36619999999999997,0.3715,0.4022624599908551,5.6,5.375,6.3872885230909935,47.06,48.95,50.07777777777778,32.6,33.125,33.878829446730684,0.5518,0.55625,0.5772853223593966,15.8,15.275,15.718427069044356,12.8,12.5,12.921353452217653,40.8,44.625,42.52994970278922,0.4968,0.5105,0.5104759945130317,20.2,22.75,21.631458619112944,0.6946,0.809125,0.7172386831275721,4.8,3.75,4.759030635573846
2009-12-27,"Comcast Center, College Park, Maryland",FLORIDA-ATLANTIC,MARYLAND,Home,65.6,21,16.7,9,83.1,51.1,27,0.486,69,0.464,32,0.159,11,0.455,5,3,200.0,101.4,44.1,12,13,72,11.3,8,0.174,12.0,0.25,3.0,48.1,39,0.485,13.0,11,57.0,0.509,29.0,0.727,8,53.96,57.400000000000006,59.56499009297364,15.6,16.77777777777778,17.900624904740134,13.02,12.355555555555556,13.292638317329677,5.0,4.444444444444445,5.1745160798658745,102.26,91.04444444444444,93.86180460295687,62.8,63.099999999999994,64.7781740588325,25.0,24.77777777777778,26.28151196463954,0.5708,0.5392222222222222,0.5819631153787533,56.8,58.888888888888886,58.154244779759196,0.5039999999999999,0.48688888888888887,0.5108103947568969,28.6,28.666666666666668,29.67916476146929,0.44299999999999995,0.39999999999999997,0.4388774577046182,25.0,22.666666666666668,25.100442005791802,0.728,0.7103333333333333,0.7364965706447189,18.4,16.0,18.43926230757507,2.6,1.5555555555555556,2.4842249657064475,200.0,200.0,200.0,115.34,110.84444444444443,119.14354519128185,33.3,32.94444444444444,34.08245694253925,8.8,8.777777777777779,8.637707666514252,18.6,16.88888888888889,17.32571254381954,83.2,79.44444444444444,86.05578417924099,10.82,13.344444444444443,11.632586495960984,7.8,9.555555555555555,8.466392318244171,0.2784,0.2528888888888889,0.2842075903063558,15.8,14.777777777777779,16.467611644566382,0.471,0.4043333333333334,0.4905083066605701,7.6,6.111111111111111,8.25819234872733,49.940000000000005,49.644444444444446,51.78518518518519,33.8,33.55555555555556,34.919219631153794,0.605,0.5707777777777778,0.6138568815729311,15.680000000000001,14.833333333333334,14.245618046029573,12.8,12.11111111111111,11.61423563481177,41.0,44.111111111111114,41.686633135192814,0.5146,0.5121111111111111,0.5153173296753545,21.0,22.555555555555557,21.420972412741964,0.6746000000000001,0.797,0.7114924554183815,5.4,4.111111111111111,5.506020423715897
2009-12-30,"Comcast Center, College Park, Maryland",WILLIAM-MARY,MARYLAND,Away,43.3,13,20.0,6,116.9,77.4,24,0.471,68,0.441,30,0.279,19,0.684,13,4,200.0,108.5,37.1,13,18,77,4.2,3,0.368,25.0,0.16,4.0,56.1,37,0.5,9.5,8,43.0,0.605,26.0,0.667,8,60.42,58.220000000000006,61.57666006198242,18.0,17.2,18.933749936493424,14.419999999999998,12.790000000000001,14.428425544886453,6.2,4.9,6.44967738657725,94.88,90.25,90.27453640197125,60.88000000000001,61.9,60.21878270588834,27.0,25.0,26.521007976426365,0.5626,0.5339,0.5499754102525023,59.4,59.9,61.76949651983947,0.5004000000000001,0.48460000000000003,0.49520692983793135,29.6,29.0,30.4527765076462,0.414,0.3759,0.34558497180307884,23.8,21.5,20.40029467052787,0.7013999999999999,0.6848,0.6426643804298127,17.4,14.9,13.959508205050048,2.8,1.7,2.656149977137632,200.0,200.0,200.0,114.38,109.9,113.22903012752124,36.32,34.06,37.42163796169284,9.4,9.1,9.758471777676169,17.2,16.5,15.883808362546361,83.8,78.7,81.37052278616066,10.0,13.14,11.521724330640657,7.4,9.4,8.310928212162782,0.26680000000000004,0.24500000000000002,0.24747172687090388,15.6,14.5,14.978407763044256,0.44399999999999995,0.3889,0.41033887110704675,7.2,5.8,6.505461565818221,50.74,49.489999999999995,50.5567901234568,36.4,34.1,36.27947975410253,0.5944,0.5622,0.5709045877152874,15.8,14.65,13.830412030686382,13.2,12.0,11.409490423207847,43.8,45.4,46.79108875679521,0.514,0.5118,0.513211553116903,22.4,23.2,23.947314941827976,0.6866,0.79,0.7166616369455877,6.2,4.5,6.337346949143932
2010-01-03,"Fleming Gymnasium, Greensboro, North Carolina",MARYLAND,NORTH-CAROLINA-GREENSBORO,Away,44.4,16,15.7,8,79.7,65.3,35,0.568,66,0.545,36,0.424,28,0.786,22,4,200.0,122.8,58.6,14,19,97,15.2,12,0.152,10.0,0.3,3.0,62.8,49,0.612,17.0,16,56.0,0.589,33.0,0.692,9,57.54,56.86363636363637,55.48444004132162,17.6,16.818181818181817,16.955833290995617,15.7,13.445454545454545,16.285617029924303,6.2,5.0,6.299784924384833,100.6,92.67272727272727,99.14969093464751,64.7,63.309090909090905,65.9458551372589,26.0,24.90909090909091,25.680671984284245,0.5532,0.5281818181818182,0.5236502735016682,62.0,60.63636363636363,63.84633101322632,0.49399999999999994,0.48063636363636364,0.4771379532252876,30.4,29.09090909090909,30.30185100509747,0.35700000000000004,0.36709090909090913,0.3233899812020526,21.4,21.272727272727273,19.933529780351915,0.6898,0.6847272727272727,0.6564429202865418,15.4,14.727272727272727,13.639672136700032,3.2,1.9090909090909092,3.104099984758421,200.0,200.0,200.0,115.3,109.77272727272727,111.65268675168085,36.4,34.336363636363636,37.31442530779523,10.0,9.454545454545455,10.838981185117447,17.0,16.636363636363637,16.58920557503091,83.2,78.54545454545455,79.91368185744045,8.76,12.327272727272726,9.081149553760438,6.4,8.818181818181818,6.540618808108522,0.2968,0.2561818181818182,0.28764781791393595,18.2,15.454545454545455,18.31893850869617,0.39259999999999995,0.36809090909090914,0.32689258073803124,7.0,5.636363636363637,5.670307710545481,51.96,50.09090909090909,52.40452674897121,36.0,34.36363636363637,36.51965316940169,0.5795999999999999,0.5565454545454546,0.547269725143525,13.540000000000001,14.181818181818182,12.386941353790922,11.2,11.636363636363637,10.272993615471899,43.8,45.18181818181818,45.52739250453014,0.5374000000000001,0.5202727272727272,0.5438077020779354,23.4,23.454545454545453,24.631543294551985,0.6772,0.7788181818181819,0.7001077579637252,6.8,4.818181818181818,6.891564632762622
2010-01-10,"Comcast Center, College Park, Maryland",FLORIDA-STATE,MARYLAND,Home,48.3,14,7.1,3,104.6,55.2,18,0.548,62,0.468,29,0.274,17,0.529,9,4,200.0,118.5,45.9,15,12,77,4.6,3,0.258,16.0,0.625,10.0,50.0,33,0.549,14.7,11,46.0,0.413,19.0,0.714,10,56.42,55.824999999999996,51.78962669421441,18.0,16.75,16.63722219399708,16.62,13.633333333333333,16.090411353282867,7.0,5.25,6.8665232829232234,92.17999999999999,91.59166666666665,92.66646062309835,67.76,63.475,65.73057009150594,28.4,25.75,28.7871146561895,0.5442,0.5315,0.5384335156677788,64.6,61.083333333333336,64.56422067548422,0.4974,0.486,0.49975863548352517,32.0,29.666666666666668,32.20123400339831,0.34,0.3718333333333333,0.3569266541347017,21.6,21.833333333333332,22.62235318690128,0.6914,0.6931666666666666,0.6996286135243612,15.6,15.333333333333334,16.426448091133356,3.4,2.0833333333333335,3.4027333231722814,200.0,200.0,200.0,117.8,110.85833333333333,115.36845783445389,42.74,36.358333333333334,44.40961687186349,11.4,9.833333333333334,11.892654123411631,16.2,16.833333333333332,17.392803716687276,85.4,80.08333333333333,85.60912123829362,10.0,12.566666666666665,11.120766369173626,7.4,9.083333333333334,8.360412538739016,0.2556,0.24750000000000003,0.24243187860929066,16.4,15.0,15.54595900579745,0.3578,0.36241666666666666,0.3179283871586875,5.8,5.416666666666667,4.7802051403636545,56.17999999999999,51.15,55.86968449931414,39.8,35.583333333333336,40.67976877960113,0.5713999999999999,0.5611666666666667,0.5688464834290167,12.4,14.416666666666666,13.924627569193948,10.6,12.0,12.181995743647933,48.2,46.083333333333336,49.018261669686765,0.5433999999999999,0.526,0.5588718013852902,26.2,24.25,27.42102886303466,0.6906,0.7715833333333334,0.6974051719758168,7.6,5.166666666666667,7.594376421841749
2010-01-12,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",MARYLAND,WAKE-FOREST,Home,64.3,18,3.6,2,109.0,54.1,22,0.457,70,0.4,28,0.357,25,0.76,19,5,225.0,106.4,46.5,18,20,83,10.3,8,0.257,18.0,0.444,8.0,50.0,40,0.507,15.6,15,52.0,0.385,20.0,0.667,10,53.65999999999999,55.24615384615384,50.626417796142945,17.2,16.53846153846154,15.758148129331387,14.62,13.13076923076923,13.093607568855244,6.4,5.076923076923077,5.577682188615483,91.92,92.5923076923077,96.64430708206557,62.68000000000001,62.83846153846154,62.220380061003965,26.6,25.153846153846153,25.191409770793005,0.549,0.5327692307692308,0.5416223437785193,64.6,61.15384615384615,63.709480450322815,0.4974,0.4846153846153846,0.4891724236556835,32.0,29.615384615384617,31.13415600226554,0.32380000000000003,0.3643076923076923,0.3292844360898012,20.6,21.46153846153846,20.748235457934186,0.6336,0.6805384615384615,0.6427524090162409,13.8,14.846153846153847,13.950965394088906,3.6,2.230769230769231,3.6018222154481876,200.0,200.0,200.0,117.08,111.44615384615385,116.41230522296927,44.42,37.09230769230769,44.906411247909,12.4,10.23076923076923,12.928436082274422,15.6,16.46153846153846,15.595202477791519,84.2,79.84615384615384,82.73941415886242,10.34,11.953846153846154,8.947177579449086,7.6,8.615384615384615,6.573608359159345,0.2524,0.24830769230769228,0.2476212524061938,16.2,15.076923076923077,15.697306003864966,0.4004,0.38261538461538463,0.42028559143912503,6.4,5.769230769230769,6.520136760242437,54.44,51.06153846153846,53.913122999542765,39.0,35.38461538461539,38.119845853067424,0.5666,0.5602307692307693,0.5622309889526778,13.1,14.438461538461537,14.1830850461293,11.0,11.923076923076923,11.787997162431957,48.4,46.07692307692308,48.01217444645785,0.5282,0.5173076923076922,0.5102478675901936,25.6,23.846153846153847,24.614019242023108,0.7,0.7671538461538462,0.7029367813172112,8.4,5.538461538461538,8.396250947894499
2010-01-16,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",MARYLAND,BOSTON-COLLEGE,Away,60.7,17,17.5,7,87.7,52.8,20,0.553,57,0.491,28,0.246,14,0.714,10,5,200.0,112.3,28.0,6,18,73,18.5,12,0.211,12.0,0.583,7.0,42.6,26,0.573,12.5,9,45.0,0.467,21.0,0.688,11,53.17999999999999,55.892857142857146,55.184278530761965,16.4,16.642857142857142,16.505432086220928,12.62,12.450000000000001,9.929071712570163,5.6,4.857142857142857,4.385121459076989,98.66,93.76428571428572,100.76287138804372,60.620000000000005,62.214285714285715,59.51358670733598,25.2,24.928571428571427,24.127606513862005,0.506,0.5273571428571429,0.5134148958523461,67.0,61.785714285714285,65.80632030021522,0.4636,0.4785714285714286,0.4594482824371223,31.0,29.5,30.089437334843694,0.29860000000000003,0.36378571428571427,0.3385229573932008,20.0,21.714285714285715,22.16549030528946,0.6428,0.6862142857142857,0.6818349393441606,13.6,15.142857142857142,15.633976929392606,4.0,2.4285714285714284,4.067881476965459,205.0,201.78571428571428,208.33333333333334,111.52000000000001,111.08571428571429,113.07487014864618,46.44,37.76428571428572,45.437607498606,14.4,10.785714285714286,14.618957388182949,16.4,16.714285714285715,17.06346831852768,81.2,80.07142857142857,82.82627610590828,9.120000000000001,11.835714285714285,9.398118386299391,6.8,8.571428571428571,7.049072239439564,0.24180000000000001,0.24892857142857142,0.2507475016041292,16.2,15.285714285714286,16.46487066924331,0.3558,0.387,0.4281903942927501,5.6,5.928571428571429,7.013424506828292,53.4,50.98571428571428,52.60874866636185,39.6,35.714285714285715,38.746563902044954,0.5306,0.5564285714285714,0.5438206593017851,13.959999999999999,14.521428571428572,14.655390030752868,12.2,12.142857142857142,12.858664774954638,50.8,46.5,49.34144963097191,0.5002,0.5078571428571429,0.46849857839346243,25.4,23.571428571428573,23.076012828015408,0.6934,0.76,0.6909578542114742,9.0,5.857142857142857,8.930833965263
