date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-22,"TD Arena, Charleston, South Carolina",Miami (FL),Florida,Home,43.5,10,10.8,4,118.2,66.7,18,0.482,55,0.418,23,0.2,11,0.455,5,2,200,87.9,17.6,6,13,58,9.1,6,0.345,19,0.368,7,39.3,24,0.482,19.0,14,36,0.444,16,0.667,4,41.3,41.3,38.57777777777778,12.0,12.0,11.024691358024693,8.879999999999999,8.879999999999999,9.298765432098767,3.6,3.6,3.8271604938271615,95.36,95.36,96.35555555555557,62.839999999999996,62.839999999999996,62.06172839506174,22.0,22.0,21.654320987654323,0.505,0.505,0.5077777777777779,65.2,65.2,64.33333333333334,0.44279999999999997,0.44279999999999997,0.4391975308641976,28.8,28.8,28.18518518518519,0.2298,0.2298,0.23204938271604938,14.6,14.6,14.481481481481483,0.701,0.701,0.7346666666666668,10.4,10.4,10.827160493827162,1.0,1.0,1.0,200.0,200.0,200.0,107.02000000000001,107.02000000000001,106.99012345679014,24.119999999999997,24.119999999999997,23.09135802469136,8.6,8.6,8.185185185185187,13.8,13.8,14.592592592592593,76.2,76.2,76.07407407407408,9.28,9.28,8.9320987654321,6.6,6.6,6.34567901234568,0.3382,0.3382,0.35244444444444445,22.0,22.0,22.592592592592595,0.3632,0.3632,0.3858641975308642,8.2,8.2,8.876543209876544,43.3,43.3,42.47901234567902,30.6,30.6,29.839506172839513,0.529,0.529,0.5354938271604939,10.26,10.26,10.82962962962963,8.2,8.2,8.580246913580249,43.2,43.2,41.74074074074075,0.4768,0.4768,0.4629753086419754,20.6,20.6,19.308641975308646,0.5434,0.5434,0.581530864197531,2.0,2.0,2.3950617283950617
2019-11-24,"TD Arena, Charleston, South Carolina",Miami (FL),UConn,Home,52.0,13,9.8,4,129.0,64.3,18,0.5,54,0.463,25,0.037,2,0.5,1,3,200,88.7,14.8,4,14,55,6.5,4,0.185,10,0.4,4,40.0,22,0.5,16.7,11,44,0.477,21,0.571,4,42.0,41.666666666666664,40.21851851851852,11.6,11.666666666666666,10.683127572016463,9.219999999999999,9.200000000000001,9.799176954732513,3.6,3.6666666666666665,3.8847736625514413,94.84,99.16666666666667,103.63703703703706,63.08,63.48333333333333,63.60781893004117,21.8,21.333333333333332,20.43621399176955,0.5,0.5011666666666666,0.4991851851851853,62.4,63.5,61.22222222222223,0.4394,0.4386666666666667,0.43213168724279843,27.4,27.833333333333332,26.4567901234568,0.238,0.22483333333333333,0.22136625514403296,14.6,14.0,13.320987654320989,0.7192000000000001,0.66,0.6414444444444446,10.6,9.5,8.884773662551442,1.2,1.1666666666666667,1.3333333333333335,200.0,200.0,200.0,104.04,103.83333333333333,100.62674897119344,22.0,23.03333333333333,21.260905349794243,7.6,8.166666666666666,7.456790123456792,13.8,13.666666666666666,14.061728395061731,73.0,73.16666666666667,70.0493827160494,9.44,9.25,8.9880658436214,6.6,6.5,6.23045267489712,0.3376,0.3393333333333333,0.349962962962963,21.0,21.5,21.395061728395063,0.3534,0.36400000000000005,0.37990946502057615,7.6,8.0,8.251028806584364,42.339999999999996,42.63333333333333,41.41934156378601,29.4,29.5,27.893004115226343,0.5258,0.5211666666666667,0.5176625514403292,11.68,11.716666666666667,13.553086419753088,9.0,9.166666666666666,10.386831275720166,41.4,42.0,39.827160493827165,0.4768,0.4713333333333333,0.456650205761317,19.8,19.833333333333332,18.205761316872433,0.6768000000000001,0.5640000000000001,0.6100205761316874,2.8,2.3333333333333335,2.9300411522633745
2019-12-02,"State Farm Center, Champaign, Illinois",Miami (FL),Illinois,Away,28.1,9,5.6,2,116.2,68.0,17,0.685,54,0.593,32,0.241,13,0.538,7,3,200,119.1,15.4,4,21,81,10.3,7,0.333,18,0.556,10,41.2,21,0.673,14.3,10,36,0.611,22,0.625,5,43.739999999999995,43.142857142857146,44.14567901234568,11.6,11.857142857142858,11.455418381344309,9.82,9.285714285714286,9.79945130315501,3.8,3.7142857142857144,3.923182441700961,103.5,103.42857142857143,112.09135802469139,63.839999999999996,63.6,63.83854595336078,20.8,20.857142857142858,19.6241426611797,0.5016,0.501,0.4994567901234569,60.0,62.142857142857146,58.814814814814824,0.441,0.44214285714285717,0.4424211248285323,26.4,27.428571428571427,25.971193415637867,0.20299999999999999,0.19799999999999998,0.15991083676268866,12.2,12.285714285714286,9.54732510288066,0.6906,0.6371428571428571,0.5942962962962964,9.0,8.285714285714286,6.256515775034295,1.6,1.4285714285714286,1.888888888888889,200.0,200.0,200.0,100.64,101.67142857142858,96.65116598079562,20.259999999999998,21.857142857142858,19.107270233196164,6.8,7.571428571428571,6.304526748971195,14.6,13.714285714285714,14.041152263374489,69.2,70.57142857142857,65.0329218106996,8.459999999999999,8.857142857142858,8.158710562414267,5.8,6.142857142857143,5.486968449931414,0.32,0.3172857142857143,0.29497530864197535,19.4,19.857142857142858,17.596707818930042,0.3778,0.36914285714285716,0.3866063100137175,7.4,7.428571428571429,6.834019204389576,41.71999999999999,42.25714285714286,40.94622770919068,27.6,28.428571428571427,25.928669410150896,0.524,0.5181428571428571,0.5117750342935529,13.719999999999999,12.428571428571429,14.602057613168727,10.2,9.428571428571429,10.591220850480111,40.6,42.285714285714285,41.21810699588478,0.46799999999999997,0.4721428571428571,0.4634334705075447,19.0,20.0,19.13717421124829,0.6910000000000001,0.5650000000000001,0.597013717421125,3.4,2.5714285714285716,3.2866941015089166
2019-12-14,"BankUnited Center, Coral Gables, Florida",Alabama A&M,Miami (FL),Home,55.2,16,17.9,7,102.8,85.2,23,0.589,56,0.518,29,0.536,30,0.733,22,3,200,122.2,26.7,8,12,88,4.2,3,0.339,19,0.421,8,54.4,31,0.626,12.6,10,37,0.568,21,0.667,6,38.32,41.2625,38.79711934156379,10.2,11.5,10.636945587562874,9.879999999999999,8.825,8.399634202103341,3.8,3.5,3.282121627800641,107.02000000000001,105.025,113.46090534979427,66.02,64.15,65.22569730224052,20.2,20.375,18.749428440786467,0.537,0.524,0.5613045267489714,58.4,61.125,57.20987654320989,0.466,0.46099999999999997,0.49261408321902156,27.0,28.0,27.980795610425247,0.1802,0.203375,0.18694055784179245,10.4,12.375,10.698216735253773,0.6528,0.62475,0.575530864197531,7.2,8.125,6.504343850022863,2.0,1.625,2.2592592592592595,200.0,200.0,200.0,102.2,103.85,104.13411065386376,17.880000000000003,21.05,17.871513488797444,5.8,7.125,5.536351165980797,15.6,14.625,16.360768175582994,69.6,71.875,70.35528120713307,8.540000000000001,9.0375,8.872473708276178,5.8,6.25,5.991312299954276,0.322,0.31925,0.3076502057613169,19.0,19.625,17.731138545953364,0.43900000000000006,0.3925,0.44307087334247836,8.4,7.75,7.889346136259718,41.44,42.125,41.03081847279379,26.0,27.5,24.285779606767267,0.5496000000000001,0.5375,0.5655166895290353,14.339999999999998,12.6625,14.501371742112486,10.4,9.5,10.394147233653408,39.4,41.5,39.47873799725652,0.476,0.4895,0.5126223136716965,18.6,20.25,20.09144947416553,0.6826000000000001,0.5725,0.60634247828075,4.0,2.875,3.857796067672611
2019-12-17,"Barclays Center, Brooklyn, New York",Miami (FL),Temple,Away,30.0,9,10.8,4,97.5,80.0,32,0.533,60,0.5,30,0.367,22,0.636,14,3,200,98.7,13.9,5,13,78,11.4,9,0.3,18,0.222,4,48.7,37,0.554,13.6,11,42,0.619,26,0.7,7,41.36,42.81111111111111,44.264746227709196,11.0,12.0,12.424630391708583,10.42,9.833333333333334,11.566422801402227,4.2,3.888888888888889,4.521414418533761,113.52000000000001,104.77777777777777,109.90727023319619,66.84,66.48888888888888,71.88379820149368,18.8,20.666666666666668,20.16628562719098,0.5548,0.5312222222222222,0.5705363511659809,55.2,60.55555555555556,56.80658436213993,0.4862,0.46733333333333327,0.5010760554793477,26.8,28.11111111111111,28.32053040695017,0.2624,0.24033333333333337,0.30329370522786164,14.6,14.333333333333334,17.132144490169182,0.6215999999999999,0.6367777777777778,0.6280205761316874,10.0,9.666666666666666,11.66956256668191,2.4,1.7777777777777777,2.5061728395061733,200.0,200.0,200.0,105.02000000000001,105.88888888888889,110.15607376924251,18.339999999999996,21.677777777777777,20.814342325864963,5.4,7.222222222222222,6.3575674439871985,15.6,14.333333333333334,14.907178783721998,71.2,73.66666666666667,76.23685413808872,7.76,8.5,7.31498247218412,5.2,5.888888888888889,4.994208199969518,0.3176,0.3214444444444444,0.3181001371742113,17.6,19.555555555555557,18.15409236396891,0.43079999999999996,0.39566666666666667,0.43571391556165223,7.6,7.777777777777778,7.926230757506479,42.06,43.48888888888889,45.48721231519586,24.2,27.88888888888889,26.52385307117818,0.5700000000000001,0.5473333333333333,0.5856777930193569,14.959999999999999,12.655555555555555,13.867581161408324,10.8,9.555555555555555,10.262764822435607,37.6,41.0,38.652491998171016,0.5114,0.49822222222222223,0.5310815424477977,19.2,20.333333333333332,20.39429964944369,0.666,0.583,0.6265616521871668,4.6,3.2222222222222223,4.571864045115074
2019-12-21,"BankUnited Center, Coral Gables, Florida",Coppin State,Miami (FL),Home,57.1,16,16.7,6,77.9,73.3,33,0.673,55,0.509,28,0.364,20,0.85,17,3,200,118.2,16.7,4,13,91,9.1,7,0.691,38,0.474,18,53.6,37,0.705,21.0,17,17,0.588,10,0.727,8,41.760000000000005,41.53,39.5098308184728,11.4,11.7,11.283086927805723,10.98,9.93,11.310948534268153,4.2,3.9,4.347609612355841,112.74000000000001,104.05,105.77151348879747,72.84,67.84,74.58919880099579,21.6,21.8,24.110857084793988,0.5578000000000001,0.5314,0.5580242341106539,55.8,60.5,57.87105624142662,0.4984,0.47059999999999996,0.5007173703195652,27.8,28.3,28.88035360463345,0.2762,0.253,0.3245291368185744,15.6,15.1,18.75476299344612,0.5724,0.6367,0.6306803840877916,9.8,10.1,12.446375044454607,2.8,1.9,2.670781893004116,200.0,200.0,200.0,103.32000000000001,105.17,106.33738251282836,17.68,20.9,18.50956155057664,5.4,7.0,5.905044962658133,14.6,14.2,14.271452522481333,72.0,74.1,76.82456942539248,8.3,8.790000000000001,8.67665498145608,5.8,6.2,6.329472133313012,0.3004,0.31930000000000003,0.3120667581161409,16.8,19.4,18.10272824264594,0.3934,0.37829999999999997,0.3644759437077682,6.6,7.4,6.617487171670986,44.72,44.010000000000005,46.55814154346391,27.0,28.8,30.015902047452123,0.567,0.548,0.5751185286795713,15.24,12.75,13.778387440938884,11.2,9.7,10.508509881623738,39.0,41.1,39.76832799878068,0.5438,0.5103,0.5603876949651985,21.2,20.9,22.26286643296246,0.646,0.5947,0.6510411014581112,5.2,3.6,5.381242696743383
2019-12-31,"Littlejohn Coliseum, Clemson, South Carolina",Miami (FL),Clemson,Away,32.1,9,5.0,2,94.4,75.8,25,0.5,64,0.438,28,0.156,10,0.9,9,3,225,101.4,24.2,8,16,73,9.7,7,0.391,25,0.32,8,50.0,33,0.531,14.9,12,39,0.513,20,0.75,9,44.480000000000004,42.945454545454545,45.373220545648536,12.6,12.090909090909092,12.855391285203815,12.16,10.545454545454545,13.107299022845435,4.6,4.090909090909091,4.898406408237228,104.67999999999999,101.67272727272729,96.48100899253166,74.16,68.33636363636364,74.15946586733052,24.6,22.818181818181817,27.073904723195994,0.596,0.5442727272727272,0.5963494894071026,55.8,60.0,56.914037494284415,0.5166,0.47409090909090906,0.5034782468797102,28.8,28.272727272727273,28.586902403088967,0.309,0.2630909090909091,0.33768609121238297,17.4,15.545454545454545,19.169841995630748,0.6514,0.6560909090909091,0.7037869227251945,12.2,10.727272727272727,13.964250029636405,3.0,2.0,2.780521262002744,200.0,200.0,200.0,109.38,106.35454545454546,110.29158834188559,17.5,20.518181818181816,17.906374367051093,5.0,6.7272727272727275,5.270029975105422,14.6,14.090909090909092,13.847635014987556,78.6,75.63636363636364,81.54971295026166,8.3,8.818181818181818,8.817769987637387,6.0,6.2727272727272725,6.552981422208675,0.3696,0.35309090909090907,0.4383778387440939,20.6,21.09090909090909,24.735152161763963,0.4146000000000001,0.38699999999999996,0.4009839624718455,8.8,8.363636363636363,10.411658114447324,47.580000000000005,44.88181818181818,48.905427695642615,29.6,29.545454545454547,32.34393469830142,0.6115999999999999,0.5622727272727274,0.6184123524530476,15.64,13.5,16.185591627292588,11.8,10.363636363636363,12.672339921082493,35.2,38.90909090909091,32.17888533252045,0.5725999999999999,0.5173636363636364,0.5695917966434657,20.0,19.90909090909091,18.175244288641643,0.6579999999999999,0.6067272727272728,0.6763607343054076,6.0,4.0,6.254161797828923
2020-01-04,"BankUnited Center, Coral Gables, Florida",Duke,Miami (FL),Away,26.1,6,5.7,3,125.0,52.0,13,0.414,58,0.397,23,0.31,18,0.778,14,4,200,81.6,18.8,6,13,62,9.2,7,0.207,12,0.167,2,33.3,19,0.466,18.5,15,46,0.457,21,0.692,9,40.5,42.041666666666664,40.94881369709903,11.8,11.833333333333334,11.570260856802545,11.2,10.083333333333334,10.40486601523029,4.2,3.9166666666666665,3.9322709388248187,97.76,101.06666666666666,95.78733932835445,76.46000000000001,68.95833333333333,74.70631057822035,26.0,23.0,26.38260314879733,0.596,0.5405833333333333,0.5642329929380685,57.8,60.333333333333336,59.27602499618962,0.5115999999999999,0.4710833333333333,0.48165216458647353,29.4,28.25,28.39126826872598,0.33280000000000004,0.25416666666666665,0.27712406080825536,19.0,15.083333333333334,16.113227997087165,0.7314,0.6764166666666668,0.7691912818167963,13.8,10.583333333333334,12.309500019757605,3.0,2.0833333333333335,2.853680841335163,205.0,202.08333333333334,208.33333333333334,111.92,105.94166666666666,107.32772556125707,19.380000000000003,20.825,20.004249578034063,5.8,6.833333333333333,6.180019983403615,15.0,14.25,14.565090009991707,82.2,75.41666666666667,78.69980863350779,8.940000000000001,8.891666666666667,9.111846658424925,6.6,6.333333333333333,6.701987614805784,0.41079999999999994,0.35625,0.42258522582939595,23.6,21.416666666666668,24.82343477450931,0.3986,0.3814166666666667,0.3739893083145637,9.6,8.333333333333334,9.607772076298216,49.580000000000005,45.30833333333334,49.27028513042841,31.8,29.833333333333332,32.56262313220095,0.6178,0.5596666666666666,0.5892749016353651,15.279999999999998,13.616666666666667,15.757061084861727,12.0,10.5,12.448226614054997,34.2,38.916666666666664,34.4525902216803,0.5797999999999999,0.517,0.5507278644289771,19.8,19.916666666666668,18.783496192427762,0.6938,0.6186666666666667,0.7009071562036051,7.0,4.416666666666667,7.169441198552616
2020-01-07,"KFC Yum! Center, Louisville, Kentucky",Miami (FL),Louisville,Home,29.4,5,4.3,2,107.2,77.8,28,0.344,61,0.279,17,0.311,19,0.842,16,5,200,84.1,13.3,6,16,58,7.2,5,0.508,31,0.258,8,42.0,34,0.414,6.7,5,30,0.3,9,0.643,9,40.1,40.815384615384616,35.999209131399354,11.2,11.384615384615385,9.713507237868363,11.22,9.746153846153847,8.83657734348686,4.4,3.8461538461538463,3.621513959216546,99.52000000000001,102.9076923076923,105.52489288556964,73.26,67.65384615384616,67.13754038548024,25.2,22.23076923076923,21.921735432531555,0.5418000000000001,0.5308461538461539,0.514155328625379,58.6,60.15384615384615,58.85068333079309,0.47240000000000004,0.4653846153846154,0.4534347763909824,27.6,27.846153846153847,26.594178845817325,0.3466,0.25846153846153846,0.28808270720550355,20.0,15.307692307692308,16.742151998058112,0.7794,0.6842307692307692,0.7721275212111975,15.2,10.846153846153847,12.873000013171737,3.2,2.230769230769231,3.2357872275567754,205.0,201.92307692307693,205.55555555555557,104.42,104.06923076923077,98.75181704083806,20.06,20.66923076923077,19.60283305202271,6.2,6.769230769230769,6.120013322269077,13.4,14.153846153846153,14.043393339994473,78.4,74.38461538461539,73.13320575567187,8.72,8.915384615384616,9.141231105616617,6.6,6.384615384615385,6.801325076537189,0.3856,0.3447692307692308,0.350723483886264,22.4,20.692307692307693,20.54895651633954,0.32080000000000003,0.3649230769230769,0.30499287220970916,8.0,7.846153846153846,7.071848050865478,48.0,44.38461538461539,43.946856753618945,31.4,29.0,28.041748754800633,0.5764,0.5524615384615384,0.5481832677569101,16.119999999999997,13.992307692307692,16.671374056574486,13.0,10.846153846153847,13.298817742703333,36.2,39.46153846153846,38.30172681445354,0.549,0.5123846153846153,0.5194852429526515,19.6,20.0,19.52233079495184,0.7072,0.6243076923076922,0.6979381041357368,7.8,4.769230769230769,7.779627465701744
2020-01-12,"BankUnited Center, Coral Gables, Florida",Pitt,Miami (FL),Home,51.9,14,14.6,7,90.6,61.1,22,0.588,51,0.529,27,0.196,10,0.6,6,5,200,103.1,21.7,5,12,66,4.7,3,0.471,24,0.25,6,45.8,27,0.592,20.2,14,27,0.778,21,0.667,10,34.94,40.0,33.79947275426624,9.0,10.928571428571429,8.142338158578909,8.5,9.357142857142858,7.324384895657907,3.4,3.7142857142857144,3.081009306144364,100.4,103.21428571428571,106.08326192371311,71.78,68.37857142857142,70.69169359032016,26.2,22.642857142857142,23.947823621687704,0.4928,0.5175,0.4574368857502527,59.6,60.214285714285715,59.56712222052873,0.42460000000000003,0.45207142857142857,0.3952898509273216,25.2,27.071428571428573,23.396119230544883,0.3016,0.2622142857142857,0.29572180480366905,17.8,15.571428571428571,17.49476799870541,0.8012,0.6955,0.7954183474741318,14.0,11.214285714285714,13.915333342114494,3.6,2.4285714285714284,3.823858151704517,205.0,201.78571428571428,203.70370370370372,96.8,102.64285714285714,93.86787802722539,17.38,20.142857142857142,17.501888701348477,5.8,6.714285714285714,6.080008881512719,14.2,14.285714285714286,14.695595559996317,72.4,73.21428571428571,68.08880383711458,9.32,8.792857142857143,8.494154070411078,7.0,6.285714285714286,6.200883384358127,0.4194,0.35642857142857143,0.40314898925750936,24.8,21.428571428571427,24.032637677559695,0.28819999999999996,0.35728571428571426,0.28932858147313945,8.0,7.857142857142857,7.381232033910319,45.519999999999996,44.214285714285715,43.297904502412635,32.0,29.357142857142858,30.027832503200422,0.534,0.5425714285714286,0.50345551183794,14.940000000000001,13.471428571428572,13.34758270438299,12.0,10.428571428571429,10.532545161802222,34.8,38.785714285714285,35.534484542969025,0.49539999999999995,0.4972142857142857,0.4463234953017677,17.2,19.214285714285715,16.01488719663456,0.7023999999999999,0.6256428571428572,0.6796254027571579,8.4,5.071428571428571,8.186418310467829
