date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-24,"Frost Arena, Brookings, South Dakota",Mississippi Valley State,South Dakota State,Home,18.2,4,12.1,4,123.5,65.2,15,0.366,67,0.328,22,0.075,5,1.0,5,6,200,79.4,22.0,9,14,54,7.4,5,0.328,22,0.227,5,37.5,24,0.389,10.4,8,45,0.378,17,0.0,0,41.739999999999995,41.739999999999995,40.96172839506173,10.4,10.4,9.777777777777779,5.32,5.32,4.553086419753087,2.8,2.8,2.2962962962962967,125.97999999999999,125.97999999999999,118.25925925925928,65.62,65.62,67.36296296296297,25.0,25.0,26.481481481481485,0.40199999999999997,0.40199999999999997,0.3928148148148149,72.0,72.0,70.80246913580248,0.3568,0.3568,0.34993827160493834,25.4,25.4,24.555555555555557,0.175,0.175,0.18502469135802474,12.2,12.2,12.765432098765434,0.585,0.585,0.5974938271604939,7.8,7.8,8.25925925925926,3.0,3.0,3.3950617283950617,200.0,200.0,200.0,75.78,75.78,75.5530864197531,18.32,18.32,18.82345679012346,8.0,8.0,8.148148148148149,20.2,20.2,20.69135802469136,65.0,65.0,63.3456790123457,4.66,4.66,4.320987654320988,4.0,4.0,3.592592592592593,0.364,0.364,0.3519012345679013,26.4,26.4,25.098765432098773,0.2476,0.2476,0.24048148148148155,6.4,6.4,5.97530864197531,39.68,39.68,41.35555555555556,33.0,33.0,34.62962962962963,0.4208,0.4208,0.4143703703703705,17.660000000000004,17.660000000000004,17.25061728395062,17.0,17.0,16.345679012345684,45.6,45.6,45.70370370370371,0.4222,0.4222,0.4114691358024692,19.0,19.0,18.58024691358025,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-27,"Flowers Hall, Florence, Alabama",Mississippi Valley State,North Alabama,Home,23.8,5,4.8,2,96.1,69.0,29,0.356,66,0.318,21,0.227,15,0.2,3,7,200,65.8,31.1,14,21,50,7.9,6,0.409,27,0.185,5,49.4,43,0.342,18.1,16,39,0.41,16,0.0,0,36.72,37.81666666666667,33.37448559670783,8.6,9.333333333333334,7.851851851851853,7.74,6.45,7.068724279835392,3.6,3.0,2.864197530864198,125.67999999999999,125.56666666666666,120.0061728395062,66.16,65.55,66.64197530864197,23.0,23.333333333333332,22.654320987654327,0.378,0.39599999999999996,0.38387654320987663,70.8,71.16666666666667,69.53497942386832,0.3402,0.35200000000000004,0.34262551440329225,23.8,24.833333333333332,23.703703703703706,0.16799999999999998,0.15833333333333333,0.14834979423868316,11.6,11.0,10.17695473251029,0.71,0.6541666666666667,0.7316625514403293,8.2,7.333333333333333,7.17283950617284,4.0,3.5,4.263374485596708,200.0,200.0,200.0,74.84,76.38333333333334,76.83539094650207,18.060000000000002,18.933333333333334,19.882304526748975,7.8,8.166666666666666,8.4320987654321,21.2,19.166666666666668,18.460905349794242,61.0,63.166666666666664,60.23045267489714,5.460000000000001,5.116666666666667,5.347325102880659,4.4,4.166666666666667,4.061728395061729,0.35019999999999996,0.35800000000000004,0.3439341563786009,25.0,25.666666666666668,24.065843621399182,0.2172,0.24416666666666667,0.2359876543209877,5.2,6.166666666666667,5.650205761316874,38.739999999999995,39.31666666666667,40.07037037037038,30.8,31.5,31.086419753086425,0.4022,0.41550000000000004,0.4059135802469137,15.440000000000001,16.45,14.967078189300416,14.4,15.5,13.563786008230457,45.8,45.5,45.46913580246914,0.4114,0.41483333333333333,0.40031275720164616,18.6,18.666666666666668,18.053497942386834,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-06,"JQH Arena, Springfield, Missouri",Mississippi Valley State,Missouri State,Home,29.2,7,2.7,1,106.2,69.0,20,0.475,59,0.407,24,0.237,14,0.429,6,8,200,76.5,10.3,4,24,62,9.9,8,0.288,17,0.471,8,35.3,24,0.472,22.6,19,42,0.381,16,0.0,0,31.96,35.81428571428571,30.18299039780522,7.6,8.714285714285714,6.901234567901236,6.56,6.214285714285714,6.312482853223595,2.8,2.857142857142857,2.576131687242799,114.8,121.35714285714286,112.0374485596708,66.86,66.04285714285714,67.42798353909465,25.0,24.142857142857142,24.769547325102884,0.3916,0.3902857142857143,0.37458436213991775,68.0,70.42857142857143,68.35665294924556,0.3512,0.34714285714285714,0.33441700960219484,23.8,24.285714285714285,22.802469135802472,0.1984,0.16814285714285715,0.17456652949245544,13.4,11.571428571428571,11.784636488340194,0.65,0.5892857142857143,0.5544417009602196,8.2,6.714285714285714,5.781893004115227,5.0,4.0,5.175582990397805,200.0,200.0,200.0,77.67999999999999,74.87142857142858,73.15692729766805,21.86,20.67142857142857,23.621536351165986,9.2,9.0,10.2880658436214,22.2,19.428571428571427,19.307270233196164,61.2,61.285714285714285,56.82030178326476,5.140000000000001,5.514285714285714,6.198216735253773,3.8,4.428571428571429,4.707818930041153,0.357,0.36528571428571427,0.36562277091906725,24.4,25.857142857142858,25.043895747599457,0.22759999999999997,0.2357142857142857,0.21899176954732513,5.4,6.0,5.433470507544583,42.64,40.75714285714286,43.18024691358025,34.2,33.142857142857146,35.05761316872429,0.4114,0.40499999999999997,0.3846090534979425,15.64,16.685714285714287,16.011385459533614,14.2,15.571428571428571,14.375857338820307,43.6,44.57142857142857,43.31275720164609,0.42539999999999994,0.41414285714285715,0.4035418381344308,18.4,18.285714285714285,17.36899862825789,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-15,"Millett Hall, Oxford, Ohio",Mississippi Valley State,Miami (OH),Home,46.4,13,13.9,5,109.7,63.2,24,0.442,69,0.406,28,0.203,14,0.429,6,9,200,93.1,31.7,13,15,67,11.1,8,0.377,26,0.192,5,46.8,37,0.443,9.6,8,43,0.535,23,0.0,0,27.8,34.9875,29.855326931870145,6.0,8.5,6.934156378600824,5.68,5.775,5.108321902149064,2.2,2.625,2.050754458161866,108.41999999999999,119.4625,110.09163237311387,69.18,66.4125,67.9519890260631,23.6,23.625,23.17969821673526,0.3934,0.400875,0.40805624142661184,65.2,69.0,65.23776863283038,0.3504,0.35462499999999997,0.3586113397347966,22.6,24.25,23.201646090534982,0.202,0.17675,0.19537768632830363,13.0,11.875,12.523090992226797,0.6108,0.56925,0.5126278006401465,7.4,6.625,5.854595336076819,6.0,4.5,6.117055326931871,200.0,200.0,200.0,76.9,75.075,74.27128486511204,20.66,19.375,19.18102423411066,8.6,8.375,8.1920438957476,21.6,20.0,20.871513488797444,58.0,61.375,58.546867855509845,7.12,6.0625,7.432144490169183,5.4,4.875,5.805212620027436,0.327,0.35562499999999997,0.33974851394604483,21.4,24.75,22.362597165066305,0.2718,0.265125,0.3029945130315501,5.4,6.25,6.288980338363055,42.14,40.075,40.553497942386834,32.2,32.0,31.37174211248286,0.409,0.413375,0.41373936899862834,15.7,17.425,18.207590306355744,13.4,16.0,15.917238225880205,43.8,44.25,42.87517146776406,0.3942,0.41000000000000003,0.3960278920896206,17.2,18.0,16.91266575217193,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17,"Ervin J. Nutter Center, Dayton, Ohio",Mississippi Valley State,Wright State,Home,40.0,8,2.2,1,110.8,60.0,24,0.286,77,0.26,20,0.104,8,0.75,6,10,200,60.2,29.6,16,21,50,8.4,7,0.286,22,0.182,4,42.6,40,0.309,16.6,16,55,0.291,16,0.0,0,32.94,36.25555555555556,35.3702179545801,7.4,9.0,8.95610425240055,7.58,6.677777777777778,8.038881268099376,2.8,2.888888888888889,3.033836305441244,105.42,118.3777777777778,109.96108824874258,68.28,66.05555555555556,66.36799268404208,24.2,23.666666666666668,23.453132144490176,0.3786,0.40544444444444444,0.41937082761774125,66.4,69.0,66.49184575522025,0.3396,0.36033333333333334,0.37440755982319773,22.4,24.666666666666668,24.80109739368999,0.1822,0.17966666666666667,0.19791845755220244,12.0,12.11111111111111,13.015393994817865,0.5281999999999999,0.5536666666666666,0.484751867093431,5.4,6.555555555555555,5.903063557384546,7.0,5.0,7.078036884621247,200.0,200.0,200.0,73.32000000000001,77.07777777777778,80.54752324340802,22.16,20.744444444444444,23.354016156073776,9.6,8.88888888888889,9.794695930498401,19.2,19.444444444444443,18.914342325864965,55.2,62.0,61.3645785703399,7.980000000000001,6.622222222222223,8.654762993446122,6.0,5.222222222222222,6.536808413351624,0.3452,0.358,0.3521656759640299,23.0,24.88888888888889,23.57506477671087,0.2324,0.257,0.2659963420210334,5.0,6.111111111111111,5.85932022557537,42.44,40.82222222222222,42.63566529492456,33.8,32.55555555555556,33.247828074988576,0.38520000000000004,0.4166666666666667,0.4234929126657523,15.6,16.555555555555557,15.338393537570497,13.4,15.11111111111111,13.27815881725347,43.4,44.111111111111114,42.91678097850938,0.4034,0.42388888888888887,0.4423519280597471,17.4,18.555555555555557,18.94177716811462,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-20,"Leavey Center, Santa Clara, California",Mississippi Valley State,Santa Clara,Home,41.4,12,5.0,2,120.5,71.0,22,0.485,68,0.426,29,0.118,8,0.625,5,11,200,85.5,10.5,4,10,71,8.4,7,0.294,20,0.4,8,37.7,26,0.494,17.3,15,48,0.438,21,0.0,0,31.52,36.63,36.913478636386735,7.4,8.9,8.6374028349337,7.140000000000001,6.2299999999999995,6.092587512066251,2.6,2.7,2.355890870294163,109.25999999999999,117.62,110.24072549916173,65.28,65.45,64.24532845602806,22.4,23.7,23.63542142966012,0.38499999999999995,0.3935,0.3749138850784942,67.6,69.8,69.99456383681351,0.3438,0.3503,0.3362717065487985,23.0,24.2,23.20073159579333,0.1692,0.1721,0.16661230503480162,11.2,11.7,11.343595996545243,0.5616,0.5732999999999999,0.5731679113956207,5.2,6.5,5.935375704923031,8.0,5.5,8.052024589747498,200.0,200.0,200.0,75.0,75.39,73.76501549560535,24.939999999999998,21.630000000000003,25.436010770715853,11.2,9.6,11.863130620332267,19.0,19.6,19.609561550576643,56.6,60.8,57.57638571355994,8.940000000000001,6.8,8.569841995630748,6.8,5.4,6.6912056089010825,0.3376,0.3508,0.3301104506426866,22.8,24.6,23.050043184473914,0.2514,0.2495,0.2379975613473556,5.4,5.9,5.239546817050247,42.32,41.0,42.62377686328304,33.6,33.3,35.498552049992384,0.391,0.40590000000000004,0.3853286084438349,15.460000000000003,16.560000000000002,15.758929025047,13.4,15.2,14.185439211502313,44.8,45.2,46.94452065233959,0.399,0.41059999999999997,0.39190128537316476,17.6,18.3,17.961184778743082,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-22,"CBU Events Center, Riverside, California",Mississippi Valley State,California Baptist,Home,52.0,13,0.0,0,127.2,69.0,20,0.397,78,0.321,25,0.115,9,0.444,4,12,200,81.5,24.5,13,21,66,13.6,11,0.551,43,0.279,12,40.2,33,0.401,11.8,11,35,0.371,13,0.0,0,36.160000000000004,37.06363636363636,38.40898575759116,9.0,9.181818181818182,9.758268556622468,5.720000000000001,6.118181818181818,5.728391674710835,2.2,2.6363636363636362,2.237260580196109,108.66,117.88181818181819,113.66048366610784,66.44,65.95454545454545,66.49688563735205,23.8,23.545454545454547,23.09028095310675,0.40879999999999994,0.4018181818181818,0.4116092567189962,67.8,69.63636363636364,69.32970922454234,0.36340000000000006,0.35718181818181816,0.366181137699199,24.4,24.636363636363637,25.13382106386222,0.1778,0.16718181818181818,0.15040820335653443,11.8,11.363636363636363,10.22906399769683,0.4866,0.578,0.5904452742637472,5.2,6.363636363636363,5.6235838032820205,9.0,6.0,9.034683059831666,200.0,200.0,200.0,76.22,76.30909090909091,77.67667699707025,22.639999999999997,20.61818181818182,20.45734051381057,10.2,9.090909090909092,9.242087080221513,18.2,18.727272727272727,16.406374367051097,60.0,61.72727272727273,62.05092380903996,9.14,6.945454545454546,8.513227997087165,7.2,5.545454545454546,6.794137072600722,0.3308,0.34563636363636363,0.3180736337617911,22.4,24.181818181818183,22.03336212298261,0.286,0.2631818181818182,0.29199837423157043,6.0,6.090909090909091,6.159697878033498,42.36,40.699999999999996,40.982517908855364,34.0,32.63636363636363,32.33236803332826,0.41200000000000003,0.4139090909090909,0.42155240562922325,16.84,16.62727272727273,16.272619350031334,14.8,15.181818181818182,14.456959474334877,45.4,45.45454545454545,47.29634710155973,0.4109999999999999,0.4130909090909091,0.4072675235821098,18.4,18.545454545454547,18.974123185828724,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,"Harrison HPER Complex, Itta Bena, Mississippi",Arkansas-Pine Bluff,Mississippi Valley State,Away,58.3,14,4.1,2,94.1,55.3,21,0.47,66,0.364,24,0.288,19,0.737,14,13,200,89.4,17.9,7,26,76,8.2,7,0.712,47,0.298,14,36.4,28,0.506,20.4,19,19,0.526,10,0.0,0,41.8,38.30833333333333,42.93932383839411,10.6,9.5,10.838845704414979,4.76,5.608333333333333,3.8189277831405573,1.8,2.4166666666666665,1.4915070534640729,114.88,118.65833333333335,118.17365577740523,66.44,66.20833333333333,67.33125709156803,22.0,23.25,22.060187302071167,0.417,0.4014166666666667,0.4067395044793308,70.2,70.33333333333333,72.2198061496949,0.364,0.3541666666666667,0.3511207584661327,25.2,24.666666666666668,25.089214042574817,0.15539999999999998,0.16283333333333333,0.1386054689043563,10.6,11.166666666666666,9.819375998464555,0.5354,0.5668333333333333,0.5416301828424981,5.4,6.166666666666667,5.082389202188014,10.0,6.5,10.023122039887777,200.0,200.0,200.0,79.35999999999999,76.74166666666666,78.95111799804684,21.32,20.941666666666666,21.804893675873714,10.0,9.416666666666666,10.494724720147676,18.2,18.916666666666668,17.9375829113674,63.2,62.083333333333336,63.36728253935998,10.28,7.5,10.208818664724777,8.2,6.0,8.196091381733815,0.3592,0.36274999999999996,0.3957157558411941,25.6,25.75,29.02224141532174,0.3048,0.2645,0.287665582821047,7.4,6.583333333333333,8.106465252022332,40.519999999999996,40.65833333333333,40.72167860590358,32.0,32.666666666666664,32.55491202221884,0.42379999999999995,0.41283333333333333,0.4147016037528155,15.580000000000002,16.225,14.781746233354225,13.8,14.833333333333334,13.304639649556584,44.6,44.583333333333336,43.19756473437316,0.4032,0.40958333333333335,0.3951783490547399,17.8,18.083333333333332,16.982748790552485,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,"Elmore Health Science Building , Normal, Alabama",Mississippi Valley State,Alabama A&M,Away,46.2,12,5.1,2,95.7,64.9,24,0.534,58,0.448,26,0.241,14,0.714,10,14,200,104.3,16.0,4,15,72,7.2,5,0.431,25,0.4,10,45.2,28,0.557,9.8,7,33,0.485,16,0.067,1,47.62,39.84615384615385,48.05954922559607,12.0,9.846153846153847,11.89256380294332,5.04,5.492307692307692,3.9126185220937053,2.0,2.3846153846153846,1.661004702309382,112.46,116.76923076923077,110.14910385160348,63.7,65.36923076923077,63.32083806104536,22.2,23.076923076923077,21.706791534714114,0.41600000000000004,0.4066923076923077,0.4278263363195539,71.6,70.0,70.14653743312994,0.35540000000000005,0.3549230769230769,0.35541383897742185,25.2,24.615384615384617,24.72614269504988,0.16560000000000002,0.17246153846153847,0.18840364593623754,11.6,11.76923076923077,12.87958399897637,0.5970000000000001,0.5799230769230769,0.606753455228332,7.0,6.769230769230769,8.054926134792009,11.0,7.0,11.015414693258519,200.0,200.0,200.0,81.94,77.71538461538461,82.43407866536457,22.84,20.707692307692305,20.503262450582476,10.6,9.23076923076923,9.32981648009845,18.6,19.46153846153846,20.625055274244936,66.0,63.15384615384615,67.57818835957332,9.94,7.553846153846154,9.539212443149852,8.0,6.076923076923077,7.797394254489211,0.44399999999999995,0.3896153846153846,0.5011438372274628,31.6,27.384615384615383,35.014827610214496,0.2702,0.2670769230769231,0.2911103885473647,8.6,7.153846153846154,10.070976834681556,40.739999999999995,40.33076923076923,39.28111907060239,32.8,32.30769230769231,31.036608014812565,0.4306,0.42,0.4451344025018771,15.14,16.54615384615385,16.654497488902816,13.8,15.153846153846153,15.20309309970439,40.0,42.61538461538461,35.13170982291545,0.43220000000000003,0.4185384615384615,0.4387855660364933,16.6,17.46153846153846,14.655165860368324,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,"Harrison HPER Complex, Itta Bena, Mississippi",Alcorn State,Mississippi Valley State,Away,37.5,9,8.2,4,128.0,54.8,23,0.428,69,0.348,24,0.275,19,0.737,14,15,200,89.0,23.3,10,20,73,11.0,9,0.435,30,0.367,11,38.8,33,0.468,13.4,12,39,0.333,13,0.062,1,47.58,40.300000000000004,47.43969948373072,11.8,10.0,11.92837586862888,3.28,5.464285714285714,4.30841234806247,1.4,2.357142857142857,1.7740031348729213,109.66,115.26428571428572,105.33273590106899,64.03999999999999,65.33571428571429,63.847225374030245,22.2,23.142857142857142,22.471194356476076,0.43439999999999995,0.41578571428571426,0.4632175575463693,69.4,69.14285714285714,66.09769162208663,0.3638,0.3615714285714286,0.38627589265161455,24.8,24.714285714285715,25.150761796699925,0.1732,0.17735714285714285,0.2059357639574917,11.6,11.928571428571429,13.253055999317581,0.6540000000000001,0.5895,0.6425023034855547,7.8,7.0,8.70328408986134,12.0,7.5,12.010276462172346,200.0,200.0,200.0,84.17999999999999,79.61428571428571,89.72271911024305,19.7,20.37142857142857,19.002174967054984,8.8,8.857142857142858,7.553210986732301,18.6,19.142857142857142,18.750036849496624,67.0,63.785714285714285,69.05212557304888,9.16,7.528571428571429,8.759474962099901,7.4,6.0,6.864929502992808,0.4548,0.3925714285714285,0.4777625581516419,31.4,27.214285714285715,31.676551740142997,0.3118,0.2765714285714286,0.32740692569824315,9.6,7.357142857142857,10.047317889787704,40.42,40.67857142857143,41.25407938040159,31.0,32.0,30.02440534320838,0.45339999999999997,0.4297857142857143,0.48242293500125144,15.180000000000001,16.064285714285713,14.36966499260188,13.6,14.571428571428571,12.46872873313626,38.0,41.92857142857143,34.42113988194363,0.42219999999999996,0.4232857142857143,0.4541903773576622,15.2,17.357142857142858,15.103443906912219,0.0134,0.004785714285714286,0.022333333333333334,0.2,0.07142857142857142,0.3333333333333333
