date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-22,"Baha Mar Convention Center, Nassau",Liberty,Morgan State,Away,50.0,7,7.4,2,123.6,76.9,20,0.316,49,0.286,14,0.551,27,0.63,17,3,200,66.7,26.5,9,34,48,9.7,7,0.388,19,0.158,3,48.3,29,0.388,22.8,18,30,0.367,11,0.5,3,48.92,48.92,49.99506172839507,13.0,13.0,14.209876543209878,19.259999999999998,19.259999999999998,20.241975308641976,6.2,6.2,6.703703703703704,82.58000000000001,82.58000000000001,77.6567901234568,78.6,78.6,80.22716049382717,26.2,26.2,26.543209876543216,0.4506,0.4506,0.46423456790123463,63.2,63.2,65.4567901234568,0.4112,0.4112,0.42350617283950626,26.2,26.2,27.913580246913586,0.3176,0.3176,0.29775308641975307,19.6,19.6,19.024691358024693,0.6157999999999999,0.6157999999999999,0.6398395061728397,12.4,12.4,12.481481481481481,1.4,1.4,1.5061728395061729,202.0,202.0,200.98765432098767,93.25999999999999,93.25999999999999,97.20493827160495,38.8,38.8,42.976543209876546,14.0,14.0,15.111111111111112,24.2,24.2,24.567901234567906,69.8,69.8,73.7283950617284,9.02,9.02,9.991358024691358,6.8,6.8,7.629629629629631,0.3256,0.3256,0.3225061728395062,20.6,20.6,21.24691358024692,0.22359999999999997,0.22359999999999997,0.23433333333333337,5.0,5.0,5.419753086419754,57.36,57.36,60.4530864197531,40.2,40.2,41.65432098765433,0.479,0.479,0.49235802469135814,17.060000000000002,17.060000000000002,16.65925925925926,14.8,14.8,14.827160493827163,42.6,42.6,44.20987654320989,0.49540000000000006,0.49540000000000006,0.5089506172839507,21.2,21.2,22.49382716049383,0.5866,0.5866,0.6073580246913581,1.6,1.6,1.888888888888889
2019-11-23,"Baha Mar Convention Center, Nassau",Morgan State,Milwaukee,Home,50.0,9,23.3,7,91.2,77.1,27,0.396,53,0.34,18,0.377,20,0.75,15,4,200,83.8,28.1,9,27,57,1.5,1,0.358,19,0.316,6,53.7,36,0.456,22.6,18,34,0.353,12,0.429,3,48.6,49.1,49.99670781893005,11.2,12.0,11.806584362139919,15.280000000000001,17.283333333333335,15.961316872427986,4.8,5.5,5.135802469135804,95.56,89.41666666666667,92.97119341563787,77.75999999999999,78.31666666666666,79.11810699588479,24.2,25.166666666666668,24.36213991769548,0.4122,0.42816666666666664,0.4148230452674898,59.8,60.833333333333336,59.97119341563787,0.37439999999999996,0.39033333333333337,0.3776707818930042,22.8,24.166666666666668,23.275720164609062,0.3914,0.35650000000000004,0.3821687242798354,22.6,20.833333333333332,21.683127572016463,0.6752,0.6181666666666666,0.6365596707818931,15.0,13.166666666666666,13.987654320987655,2.0,1.6666666666666667,2.004115226337449,202.0,201.66666666666666,200.6584362139918,87.66,88.83333333333333,87.03662551440331,36.88,36.75,37.4843621399177,13.2,13.166666666666666,13.074074074074076,27.6,25.833333333333332,27.711934156378604,65.2,66.16666666666667,65.15226337448561,8.82,9.133333333333333,9.894238683127572,6.6,6.833333333333333,7.419753086419754,0.3304,0.336,0.34433744855967086,19.6,20.333333333333332,20.49794238683128,0.2136,0.21266666666666667,0.20888888888888893,4.6,4.666666666666667,4.613168724279836,55.239999999999995,55.85,56.402057613168736,37.4,38.333333333333336,37.436213991769556,0.45759999999999995,0.4638333333333333,0.4575720164609055,17.76,18.01666666666667,18.706172839506173,15.0,15.333333333333334,15.884773662551444,40.2,40.5,39.473251028806594,0.445,0.47400000000000003,0.4616337448559672,18.2,19.5,18.66255144032922,0.4866,0.5721666666666666,0.5715720164609055,2.0,1.8333333333333333,2.2592592592592595
2019-11-24,"Baha Mar Convention Center, Nassau",Morgan State,Evansville,Home,31.6,12,5.1,2,117.3,90.3,28,0.531,80,0.475,38,0.45,36,0.75,27,5,275,114.3,30.2,13,35,112,4.1,4,0.213,17,0.529,9,55.4,41,0.577,14.3,16,63,0.46,29,0.375,3,47.6,49.228571428571435,49.99780521262004,10.8,11.571428571428571,10.871056241426613,16.3,18.142857142857142,18.40754458161866,5.0,5.714285714285714,5.757201646090536,93.26000000000002,89.67142857142858,92.38079561042525,79.08,78.14285714285714,78.4454046639232,23.4,25.428571428571427,25.24142661179699,0.4074000000000001,0.4235714285714286,0.40854869684499323,59.2,59.714285714285715,57.64746227709192,0.371,0.3831428571428571,0.3651138545953362,22.4,23.285714285714285,21.517146776406044,0.4096,0.35942857142857143,0.38044581618655693,23.4,20.714285714285715,21.122085048010977,0.7002,0.6369999999999999,0.6743731138545954,16.0,13.428571428571429,14.325102880658438,2.6,2.0,2.6694101508916326,200.0,201.42857142857142,200.43895747599453,88.8,88.11428571428571,85.95775034293555,36.94,35.51428571428571,34.3562414266118,13.0,12.571428571428571,11.716049382716053,28.0,26.0,27.474622770919073,65.2,64.85714285714286,62.43484224965708,8.58,8.042857142857143,7.096159122085049,6.4,6.0,5.279835390946503,0.3128,0.33914285714285713,0.34889163237311394,18.4,20.142857142857142,19.99862825788752,0.22080000000000002,0.22742857142857145,0.24459259259259264,4.4,4.857142857142857,5.075445816186558,55.720000000000006,55.542857142857144,55.5013717421125,36.4,38.0,36.95747599451304,0.45919999999999994,0.4627142857142857,0.457048010973937,17.64,18.671428571428574,20.00411522633745,14.8,15.714285714285714,16.58984910836763,40.8,39.57142857142857,37.6488340192044,0.43179999999999996,0.45671428571428574,0.4254224965706448,18.0,18.428571428571427,16.44170096021948,0.47240000000000004,0.5517142857142857,0.524048010973937,2.4,2.0,2.5061728395061733
2019-11-29,"Value City Arena, Columbus, Ohio",Morgan State,Ohio State,Home,28.6,6,2.6,1,125.0,60.6,20,0.393,56,0.375,21,0.357,20,0.65,13,6,200,79.2,20.6,7,22,57,1.4,1,0.196,11,0.182,2,40.3,27,0.435,17.8,14,45,0.422,19,0.333,3,46.64,47.025,43.86520347508003,11.6,11.625,11.247370827617743,15.66,16.5125,13.971696387745773,4.8,5.25,4.504801097393691,97.53999999999999,93.125,100.68719707361683,82.86,79.6625,82.39693644261547,26.0,25.75,26.160951074531326,0.4328,0.43700000000000006,0.4493657978966622,63.8,62.25,65.09830818472795,0.3888,0.394625,0.40174256973022415,25.6,25.125,27.0114311842707,0.3874,0.37075,0.40363054412437127,24.2,22.625,26.08139003200732,0.7314,0.651125,0.6995820759030636,17.6,15.125,18.550068587105628,3.2,2.375,3.446273433927755,215.0,210.625,225.2926383173297,94.1,91.3875,95.40516689529036,37.4,34.85,32.97082761774121,13.2,12.625,12.144032921810702,29.8,27.125,29.983081847279387,74.6,70.75,78.9565614997714,7.239999999999999,7.55,6.097439414723366,5.6,5.75,4.853223593964335,0.30979999999999996,0.323375,0.303594421582076,19.2,19.75,18.99908550525835,0.2958,0.265125,0.3393950617283951,5.8,5.375,6.383630544124372,58.36,55.525,55.46758116140833,39.2,38.375,38.30498399634203,0.48460000000000003,0.477,0.497032007315958,18.040000000000003,18.125,18.10274348422497,16.0,15.75,16.393232738911756,44.6,42.5,46.099222679469605,0.4328,0.457125,0.43694833104709657,19.8,19.75,20.627800640146322,0.4808,0.529625,0.4743653406492914,2.8,2.125,2.670781893004116
2019-12-04,"Hill Field House, Baltimore, Maryland",Towson,Morgan State,Away,47.6,10,11.8,4,115.2,55.6,15,0.489,46,0.457,21,0.37,17,0.824,14,7,200,89.4,28.0,7,22,59,7.6,5,0.304,14,0.214,3,42.3,22,0.546,25.2,18,32,0.563,18,0.3,3,43.56,44.97777777777778,38.77680231672002,10.6,11.0,9.49824721841183,11.959999999999999,14.966666666666665,10.18113092516385,4.2,4.777777777777778,3.3365340649291277,104.25999999999999,96.66666666666667,108.79146471574455,76.97999999999999,77.54444444444444,75.13129096174366,24.6,25.11111111111111,24.107300716354217,0.4314,0.4321111111111111,0.4305771985977748,62.0,61.55555555555556,62.06553878981864,0.38680000000000003,0.39244444444444443,0.39282837982014945,24.8,24.666666666666668,25.0076207895138,0.3942,0.36922222222222223,0.38808702941624756,24.0,22.333333333333332,24.054260021338216,0.709,0.651,0.6830547172687091,17.0,14.88888888888889,16.700045724737087,4.0,2.7777777777777777,4.297515622618503,215.0,209.44444444444446,216.8617588782198,90.52000000000001,90.03333333333333,90.00344459686025,32.34,33.266666666666666,28.847218411827473,11.2,12.0,10.429355281207137,29.2,26.555555555555557,27.322054564852927,72.4,69.22222222222223,71.63770766651427,5.8,6.866666666666666,4.531626276482245,4.6,5.222222222222222,3.5688157293095575,0.306,0.30922222222222223,0.26772961438805065,18.6,18.77777777777778,16.332723670172236,0.3036,0.2558888888888889,0.28693004115226345,5.8,5.0,4.922420362749582,53.279999999999994,53.833333333333336,50.411720774272226,35.8,37.111111111111114,34.536655997561354,0.481,0.4723333333333334,0.47635467154397204,19.020000000000003,18.08888888888889,18.001828989483315,16.6,15.555555555555555,15.595488492607839,43.4,42.77777777777778,45.7328151196464,0.42700000000000005,0.4532222222222222,0.43196555403139775,19.0,19.666666666666668,20.085200426764217,0.4474,0.5077777777777778,0.427243560432861,3.0,2.2222222222222223,2.780521262002744
2019-12-07,"Hill Field House, Baltimore, Maryland",Longwood,Morgan State,Home,68.0,17,12.5,3,89.0,80.0,28,0.594,48,0.521,25,0.438,21,0.762,16,7,200,100.0,22.2,4,24,73,8.2,6,0.354,17,0.412,7,60.4,32,0.63,22.9,17,31,0.581,18,0.364,4,41.56,45.239999999999995,41.71786821114668,8.8,10.9,9.665498145607888,10.040000000000001,14.65,10.720753950109234,3.2,4.7,3.557689376619419,114.46,98.52000000000001,110.9276431438297,72.1,75.35,68.62086064116244,22.0,24.1,21.071533810902814,0.425,0.4378,0.4500514657318499,56.8,60.0,56.710359193212426,0.38659999999999994,0.3989,0.4142189198800997,22.4,24.3,23.671747193009203,0.421,0.3693,0.38205801961083175,24.0,21.8,21.70284001422548,0.7208,0.6683,0.7300364781791394,17.2,14.8,15.800030483158059,5.0,3.2,5.198343748412336,215.0,208.5,211.2411725854799,86.67999999999999,89.97,89.80229639790684,26.68,32.739999999999995,28.56481227455165,9.0,11.5,9.286236854138092,28.0,26.1,25.548036376568618,66.6,68.2,67.42513844434285,4.859999999999999,6.94,5.55441751765483,3.6,5.2,4.045877152873039,0.29179999999999995,0.3087,0.27981974292536715,16.0,18.3,15.555149113448158,0.2798,0.2517,0.2626200274348423,4.6,4.8,4.281613575166388,48.0,52.67999999999999,47.70781384951482,31.0,35.6,30.357770665040903,0.48040000000000005,0.47970000000000007,0.4995697810293147,20.54,18.8,20.40121932632221,16.8,15.8,16.396992328405226,40.8,41.7,41.155210079764274,0.433,0.46420000000000006,0.47564370268759854,17.8,19.5,19.390133617842814,0.38739999999999997,0.487,0.384829040288574,3.0,2.3,2.853680841335163
2019-12-14,"Tom Gola Arena, Philadelphia, Pennsylvania",Morgan State,La Salle,Home,26.9,7,4.0,1,118.1,77.8,28,0.474,58,0.448,26,0.31,18,0.722,13,8,200,94.4,25.8,8,19,68,4.2,3,0.276,16,0.188,3,53.7,36,0.511,19.5,16,42,0.548,23,0.333,4,45.160000000000004,47.309090909090905,50.47857880743112,10.8,11.454545454545455,12.110332097071925,11.059999999999999,14.454545454545455,11.31383596673949,3.4,4.545454545454546,3.3717929177462795,107.54,97.65454545454546,103.61842876255315,72.72,75.77272727272727,72.4139070941083,23.6,24.454545454545453,23.381022540601876,0.4806,0.452,0.4980343104878999,56.6,58.90909090909091,53.806906128808286,0.43360000000000004,0.41,0.44981261325339983,24.6,24.363636363636363,24.114498128672803,0.3984,0.37554545454545457,0.4007053464072212,22.8,21.727272727272727,21.468560009483653,0.7472,0.6768181818181819,0.7406909854527597,17.0,14.909090909090908,15.866686988772042,5.8,3.5454545454545454,5.798895832274891,215.0,207.72727272727272,207.4941150569866,93.34,90.88181818181819,93.2015309319379,25.82,31.781818181818185,26.443208183034432,8.0,10.818181818181818,7.524157902758729,26.0,25.90909090909091,25.032024251045748,71.6,68.63636363636364,69.2834256295619,4.56,7.054545454545454,6.43627834510322,3.4,5.2727272727272725,4.697251435248693,0.285,0.31281818181818183,0.30454649528357813,15.6,18.181818181818183,16.036766075632105,0.3306,0.26627272727272727,0.3124133516232282,5.4,5.0,5.1877423834442595,50.42,53.38181818181818,51.938542566343216,31.6,35.27272727272727,30.905180443360607,0.5288,0.4933636363636364,0.5430465206862098,20.56,19.172727272727272,21.23414621754814,16.6,15.909090909090908,16.597994885603484,41.0,40.72727272727273,37.770140053176185,0.4758,0.4748181818181818,0.5107624684583991,19.2,19.363636363636363,18.926755745228544,0.36019999999999996,0.4758181818181818,0.3778860268590494,3.2,2.4545454545454546,3.2357872275567754
2019-12-16,"Hill Field House, Baltimore, Maryland","Chestnut Hill
			",Morgan State,Home,40.0,14,14.3,5,85.7,83.9,26,0.577,65,0.538,35,0.4,26,0.808,21,8,200,114.3,63.0,17,25,96,13.1,11,0.215,14,0.357,5,74.1,43,0.621,22.3,22,51,0.588,30,0.385,5,40.540000000000006,45.60833333333333,42.61905253828742,10.4,11.083333333333334,10.406888064714618,7.2,13.583333333333334,8.875890644492994,2.2,4.25,2.5811952784975203,112.91999999999999,99.35833333333333,108.44561917503543,72.86,75.94166666666666,74.2092713960722,23.8,24.75,24.920681693734586,0.4962,0.4538333333333333,0.4900228736586,57.6,58.833333333333336,55.20460408587219,0.45520000000000005,0.4131666666666667,0.4492084088355999,26.2,24.5,24.742998752448536,0.385,0.3700833333333333,0.3704702309381475,22.4,21.416666666666668,20.31237333965577,0.7415999999999999,0.6805833333333333,0.7344606569685065,16.6,14.75,14.911124659181361,6.6,3.9166666666666665,6.532597221516594,215.0,207.08333333333334,204.99607670465775,95.46,91.175,93.60102062129194,25.360000000000003,31.28333333333333,26.228805455356287,7.8,10.583333333333334,7.682771935172486,24.4,25.333333333333332,23.021349500697166,73.8,68.58333333333333,68.85561708637461,5.1,6.816666666666666,5.690852230068813,3.8,5.083333333333333,4.131500956832462,0.2686,0.30975,0.29503099685571876,15.0,18.0,16.02451071708807,0.305,0.25975,0.2709422344154855,4.8,4.833333333333333,4.458494922296174,50.419999999999995,53.40833333333333,52.52569504422881,31.6,35.333333333333336,32.603453628907076,0.5398000000000001,0.4948333333333334,0.5323643471241399,19.94,19.2,20.656097478365428,16.2,15.916666666666666,16.39866325706899,42.6,40.833333333333336,39.18009336878413,0.5147999999999999,0.48091666666666666,0.5231749789722662,21.4,19.666666666666668,20.284503830152364,0.34099999999999997,0.4639166666666667,0.36292401790603296,3.4,2.5833333333333335,3.490524818371184
2019-12-28,"Albert Gersten Pavilion, Los Angeles, California",Morgan State,Loyola Marymount,Away,42.3,11,9.5,2,109.2,73.9,17,0.556,54,0.481,26,0.333,18,0.778,14,8,200,113.8,15.4,4,19,74,6.2,4,0.352,19,0.421,8,42.9,21,0.592,11.4,8,35,0.514,18,0.429,6,42.220000000000006,45.176923076923075,41.74603502552495,10.8,11.307692307692308,11.604592043143079,9.040000000000001,13.63846153846154,10.683927096328663,2.8,4.3076923076923075,3.387463518998347,106.6,98.3076923076923,100.8637461166903,71.58,76.55384615384615,77.43951426404814,23.4,24.846153846153847,25.28045446248973,0.5054000000000001,0.4633076923076923,0.5190152491057334,54.6,59.30769230769231,58.46973605724813,0.4678,0.4227692307692308,0.4788056058904,25.6,25.307692307692307,28.161999168299026,0.375,0.3723846153846154,0.38031348729209835,20.4,21.76923076923077,22.20824889310385,0.7532,0.6903846153846154,0.7589737713123377,15.4,15.23076923076923,16.940749772787576,7.2,4.230769230769231,7.021731481011063,200.0,206.53846153846155,203.3307178031052,95.46000000000001,92.95384615384616,100.50068041419462,31.920000000000005,33.723076923076924,38.48587030357086,8.6,11.076923076923077,10.788514623448325,22.4,25.307692307692307,23.680899667131445,70.6,70.6923076923077,77.90374472424975,6.9,7.300000000000001,8.16056815337921,5.2,5.538461538461538,6.421000637888309,0.269,0.30246153846153845,0.26835399790381254,14.4,17.692307692307693,15.349673811392048,0.2706,0.2672307692307692,0.29962815627699035,4.0,4.846153846153846,4.638996614864116,54.160000000000004,55.0,59.71713002948587,32.0,35.92307692307692,36.06896908593805,0.5486,0.5045384615384616,0.5619095647494267,21.54,19.43846153846154,21.204064985576956,17.4,16.384615384615383,18.26577550471266,40.2,41.61538461538461,43.12006224585609,0.5404,0.48915384615384616,0.5447833193148441,21.6,20.46153846153846,23.52300255343491,0.34299999999999997,0.45784615384615385,0.370282678604022,3.8,2.769230769230769,3.993683212247456
2019-12-31,"The Matadome, Northridge, California",Morgan State,Cal State Northridge,Home,31.3,10,2.6,1,125.7,62.5,20,0.538,66,0.485,32,0.197,13,0.846,11,9,200,110.8,36.4,12,24,82,5.4,4,0.333,22,0.318,7,49.2,32,0.568,16.3,14,44,0.568,25,0.4,6,44.959999999999994,44.971428571428575,41.93069001701663,11.8,11.285714285714286,11.403061362095386,10.419999999999998,13.342857142857143,10.289284730885775,3.0,4.142857142857143,2.9249756793322312,103.44000000000001,99.08571428571429,103.64249741112687,74.24000000000001,76.36428571428571,76.2596761760321,22.8,24.285714285714285,22.520302974993157,0.538,0.4699285714285715,0.5313434994038223,54.2,58.92857142857143,56.979824038165425,0.489,0.42692857142857144,0.4795370705936,26.6,25.357142857142858,27.44133277886602,0.3702,0.3695714285714286,0.3645423248613989,20.0,21.5,20.805499262069233,0.7788,0.6966428571428571,0.7653158475415585,15.6,15.142857142857142,15.960499848525052,7.6,4.5,7.347820987340709,200.0,206.07142857142858,202.22047853540346,102.38000000000001,94.44285714285715,104.93378694279642,30.880000000000003,32.41428571428572,30.79058020238058,8.0,10.571428571428571,8.525676415632217,21.8,24.857142857142858,22.12059977808763,74.0,70.92857142857143,76.60249648283317,7.859999999999999,7.221428571428571,7.50704543558614,5.8,5.428571428571429,5.614000425258872,0.30019999999999997,0.306,0.2962359986025417,16.0,17.785714285714285,16.5664492075947,0.3184,0.2782142857142857,0.3400854375179936,5.2,5.071428571428571,5.7593310765760775,54.67999999999999,54.135714285714286,54.11142001965725,30.8,34.857142857142854,31.04597939062537,0.5800000000000001,0.5107857142857143,0.5719397098329511,20.259999999999998,18.864285714285717,17.93604332371797,16.2,15.785714285714286,14.843850336475107,38.2,41.142857142857146,40.41337483057073,0.5588,0.49092857142857144,0.5345222128765628,21.4,20.285714285714285,21.68200170228994,0.36219999999999997,0.4557857142857143,0.389855119069348,4.4,3.0,4.662455474831638
